"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36
 CUPIM,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,0.0,0.0,0.0,0.0,0.0,-1.2
 CONTRAFILÉ,-1.66,-2.55,-0.18,-1.44,-1.63,-0.52,1.29,-1.12,-3.43,3.28,-2.12,-1.1,-1.39,1.48,-1.23,-0.32,-1.02
 FILÉ-MIGNON,-3.64,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.72,0.0,0.0,0.0,1.62,0.0,0.0,-1.77
 CHÃ DE DENTRO,-2.65,-0.77,-0.49,-0.31,-0.63,-0.06,1.61,-1.56,-0.9,-1.24,-0.05,-2.83,-3.67,-0.31,-2.6,-1.37,-0.78
 ALCATRA,-6.77,-2.75,-2.36,-0.31,-2.59,0.79,0.42,0.75,-2.67,-0.37,-1.09,-2.64,-1.06,-1.8,-2.42,1.41,-2.5
 PATINHO,-1.58,0.0,-1.33,0.74,-0.54,0.0,-2.49,1.2,0.0,0.49,0.4,-2.34,-2.03,-2.83,-4.28,-0.67,-0.73
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
 LAGARTO COMUM,0.0,0.04,0.0,0.0,0.82,0.0,0.0,0.0,-0.66,0.0,-1.49,0.0,-2.96,-1.16,0.0,0.0,-0.1
 MÚSCULO,3.88,-1.23,-3.2,-2.5,-0.44,0.0,0.06,0.0,-3.64,-1.89,-2.16,0.0,-3.14,0.81,0.13,1.41,-1.19
 PÁ,0.0,-0.12,-2.24,-0.83,0.53,0.0,-1.38,0.0,0.0,0.0,0.0,0.07,-2.95,-2.53,-1.87,2.23,-0.53
 ACÉM,0.97,2.54,-2.16,-1.65,-3.05,-2.4,-1.16,-3.79,-2.4,2.61,-3.67,3.88,-2.34,-1.3,-3.59,2.04,-1.43
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-1.59,0.0,0.0,0.0,0.0,0.0,-4.51,-1.1,-0.14,-1.46,-1.74
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,-1.85,0.0,-2.12,-3.55,0.0,1.21,-4.17,-0.48,0.0,0.0,-2.37
 COSTELA,-2.81,-2.13,-1.52,-0.34,-2.11,-2.64,-4.13,-1.31,-2.32,-2.07,-4.61,-0.31,-1.96,-0.85,-4.13,0.58,-2.28
 PICANHA,0.0,-0.38,-6.51,0.0,0.0,-2.67,0.0,-1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.63
 PESCADOS,0.9,0.21,1.02,0.46,0.06,1.46,0.02,0.11,0.05,1.02,-0.03,-0.19,0.85,0.06,1.2,0.76,0.39
 PEIXE-ANCHOVA,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
 PEIXE-CORVINA,0.59,0.0,0.0,-2.58,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,2.5,-0.12,0.39
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2
 PEIXE-SARDINHA,0.0,0.21,0.0,2.07,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
 CAMARÃO,1.32,-0.45,0.0,1.47,0.0,-2.9,-3.0,0.98,-2.53,2.04,0.16,1.69,0.0,0.0,0.86,1.33,-0.45
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7
 PEIXE-MERLUZA,0.0,0.0,2.52,1.16,-1.0,0.0,0.0,0.0,-1.91,0.0,-1.9,0.0,0.0,0.0,0.0,0.0,-0.61
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,-0.84,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.23,0.78
 CARANGUEJO,0.9,0.0,0.0,0.0,0.0,0.0,5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
 PEIXE-CASTANHA,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06
 PEIXE-SALMÃO,1.2,0.0,0.0,0.0,1.55,-0.3,0.0,1.21,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
 PEIXE-TILÁPIA,0.0,0.62,0.59,0.92,0.82,2.98,0.0,0.5,0.62,0.87,2.12,1.97,2.17,0.0,0.0,0.93,0.93
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,3.38,-0.23,0.0,0.0,0.0,-0.21,0.0,-1.33,0.06,1.64,0.0,0.81
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,-1.43,-1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.48
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.02,0.0,0.0,0.0,0.0,-3.02
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,-0.03
 CARNES E PEIXES INDUSTRIALIZADOS,0.27,-1.04,0.14,-0.58,0.86,1.66,2.4,0.03,0.88,2.23,0.76,1.43,-2.27,0.27,0.2,-1.33,0.6
 PRESUNTO,0.6,1.39,-1.59,0.0,-2.11,2.61,0.0,0.14,-0.1,1.42,-2.35,-0.76,-1.14,-2.74,0.0,1.72,-0.48
 SALSICHA,0.0,-0.99,0.0,-0.83,0.37,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,-0.07,0.0,0.0,0.09
 LINGUIÇA,-0.03,-2.07,0.01,1.48,1.9,2.43,2.39,0.66,-1.08,2.99,1.68,1.99,-2.61,0.87,-0.34,-0.11,1.03
 MORTADELA,0.41,0.0,2.19,0.32,0.0,0.0,0.0,-0.53,0.0,1.1,0.44,0.0,-2.05,0.0,0.0,0.0,0.44
 SALAME,0.0,-1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.54
 BACALHAU,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,3.7
 CARNE-SECA E DE SOL,-2.67,0.0,0.0,-1.37,0.0,-1.4,2.4,-1.61,1.96,0.0,0.0,1.34,0.0,0.0,0.41,-2.44,0.41
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.42,-0.99,0.0,0.0,0.0,0.0,0.82
 AVES E OVOS,-2.61,0.13,0.45,0.29,-1.32,0.05,-0.58,1.62,-1.84,-1.41,-0.04,0.5,0.65,1.02,-0.94,-0.27,-0.72
 FRANGO INTEIRO,2.64,1.58,-1.52,-0.05,-2.58,-2.09,-0.61,3.27,-0.48,-0.95,-2.81,-1.29,-0.07,0.04,-1.51,0.22,-0.43
 FRANGO EM PEDAÇOS,-4.95,-1.18,-0.61,0.43,-1.61,-0.9,-3.46,-3.0,-3.85,-2.42,0.4,-0.88,-2.49,-0.33,0.46,-1.52,-2.06
 OVO DE GALINHA,3.08,3.28,5.03,0.79,0.52,4.77,2.84,1.97,0.05,1.46,4.01,7.08,8.24,4.72,0.87,1.53,2.25
 LEITES E DERIVADOS,1.0,6.34,3.25,-0.44,3.34,1.05,1.4,-0.54,-1.09,2.79,1.75,1.5,1.88,0.13,-0.43,-0.02,2.36
 LEITE LONGA VIDA,3.02,12.62,5.89,-2.27,4.61,1.55,3.19,-0.84,-2.82,5.81,2.59,3.1,1.52,0.85,2.76,-0.84,4.62
 LEITE CONDENSADO,-1.71,-3.28,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,-0.98,0.0,0.0,-1.79
 LEITE EM PÓ,1.49,0.0,-0.41,0.24,-0.7,0.0,0.12,-1.34,-2.62,0.31,0.12,-0.18,-1.93,-0.49,-1.49,0.44,-0.66
 QUEIJO,0.21,1.23,0.36,-0.91,3.46,-0.57,-0.33,0.77,0.48,-0.6,1.1,-1.23,3.43,-1.51,-1.32,-1.15,1.28
 IOGURTE E BEBIDAS LÁCTEAS,1.34,0.31,3.68,2.31,0.53,4.86,7.82,1.21,4.57,2.31,3.91,1.05,3.52,0.08,0.14,2.22,1.97
 REQUEIJÃO,-2.8,0.0,-0.1,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22
 MANTEIGA,-1.68,0.0,2.16,0.4,0.0,1.77,0.59,-0.5,-0.12,0.0,-0.07,3.58,0.0,1.15,0.0,2.77,0.52
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0,5.12
 PANIFICADOS,0.74,0.43,0.71,-0.44,0.79,0.94,-0.22,-0.15,-0.4,1.06,0.76,0.9,0.66,0.47,1.52,1.15,0.55
 BISCOITO,-1.59,0.48,0.49,0.27,0.87,2.01,-0.33,1.92,0.03,1.84,0.87,1.31,0.49,0.19,1.85,1.83,0.6
 PÃO FRANCÊS,1.13,0.37,0.47,-0.98,0.14,0.38,-0.68,-1.21,-0.76,-0.07,0.59,0.53,-0.18,0.46,1.15,0.95,0.06
 PÃO DOCE,1.75,0.48,0.33,0.0,1.64,0.0,0.0,0.0,2.22,3.2,0.0,2.8,1.57,0.0,0.0,0.0,1.67
 PÃO DE FORMA,3.83,-0.14,3.79,0.0,2.53,-1.26,0.0,0.0,0.0,2.62,0.0,0.76,0.0,0.0,0.0,0.0,2.23
 BOLO,1.99,1.46,0.86,0.82,1.12,1.49,4.33,1.32,-1.4,-1.17,3.04,0.18,6.25,1.45,2.98,-0.3,1.15
 PÃO DE QUEIJO,0.0,0.0,1.28,0.0,0.0,1.95,0.0,0.0,0.0,0.0,-0.39,0.0,0.0,0.0,0.0,0.0,0.89
 ÓLEOS E GORDURAS,-0.38,-0.79,-1.87,0.92,-2.43,-1.42,0.42,-1.25,-1.26,0.17,-2.88,-2.95,-1.48,-1.15,0.24,-0.38,-1.3
 ÓLEO DE SOJA,-2.24,-1.87,-2.24,0.59,-3.66,-2.22,0.44,-2.68,-2.25,-0.38,-3.99,-3.45,-2.23,-1.29,-0.39,-0.18,-2.25
 AZEITE DE OLIVA,1.24,0.0,0.0,0.0,-0.25,0.48,0.85,0.0,0.4,1.18,0.0,-1.38,2.07,-0.28,0.0,0.0,0.4
 MARGARINA,1.32,1.97,-0.42,1.36,-1.1,0.0,-0.09,0.92,0.12,1.01,2.92,0.0,-2.23,0.0,2.05,-0.69,0.32
 BEBIDAS E INFUSÕES,0.25,1.09,-0.71,0.79,-0.01,-0.45,2.35,0.24,-0.59,0.1,0.72,0.83,0.18,-1.41,0.8,0.56,0.31
 SUCO DE FRUTAS,-0.23,1.24,-1.48,0.64,0.23,-0.58,0.0,0.04,0.0,3.33,1.38,1.31,-0.02,0.0,0.0,0.0,0.34
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.81,2.62,0.0,0.0,0.0,0.0,1.98,-1.75,0.0,1.87
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,0.0,0.0,-7.88,5.74,0.0,4.79
 CAFÉ MOÍDO,0.34,0.85,-1.45,0.3,-0.84,-3.32,-0.53,0.15,-2.08,-2.2,-0.97,0.22,-0.95,-0.01,-1.83,-0.95,-0.92
 CAFÉ SOLÚVEL,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
 REFRIGERANTE E ÁGUA MINERAL,0.63,1.11,-0.05,0.76,0.11,-0.42,-1.3,0.33,0.01,1.02,1.67,2.27,1.58,-1.38,1.97,1.26,0.45
 CERVEJA,0.17,0.53,-0.85,1.5,-0.06,2.09,2.81,0.02,0.35,-0.33,0.95,0.23,-0.09,0.0,4.77,1.04,0.25
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.95
 VINHO,-0.08,2.12,0.0,0.0,1.69,0.0,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,1.63
 SUCO EM PÓ,0.0,1.22,2.02,0.0,1.9,0.0,0.0,0.0,0.0,0.24,0.0,0.0,3.68,-0.42,0.0,0.0,1.56
 CHÁ MATE (ERVA MATE),0.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.87,0.0,0.0,-0.61,0.0,0.0,0.0,0.88
 ENLATADOS E CONSERVAS,1.32,-0.13,0.15,0.37,1.19,0.36,1.77,1.84,0.56,-0.5,-0.06,1.25,0.32,0.62,-0.32,3.09,0.65
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77
 PALMITO EM CONSERVA,0.0,0.0,2.31,0.0,1.44,-1.18,0.0,0.0,0.0,0.68,1.84,0.0,0.0,0.0,0.0,0.0,1.35
 PEPINO EM CONSERVA,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86
 SARDINHA EM CONSERVA,0.8,0.09,-1.58,-0.42,-0.21,-0.63,-0.59,1.07,0.9,-2.76,0.0,-0.07,-0.87,1.34,-0.71,2.98,-0.33
 SALSICHA EM CONSERVA,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87
