"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA -OUTUBRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MANDIOCA (AIPIM),       -,       -,2.52,-0.3,       -,1.35,       -,       -,0.13,       -,       -,       -,2.78,0.45,       -,       -,1.32
 ABOBRINHA,       -,       -,       -,       -,4.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.03
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,25.75,       -,       -,       -,       -,       -,       -,25.75
 PIMENTÃO,       -,       -,       -,       -,1.43,0.71,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.36
 TOMATE,-6.26,1.74,-3.81,-8.58,2.75,4.66,1.79,6.88,5.19,0.89,10.54,-8.67,7.19,1.47,5.47,-11.13,0.97
 CEBOLA,11.54,15.95,11.25,0.32,9.39,16.84,6.45,-3.96,0.59,23.75,5.13,13.92,18.12,2,-4.46,-3.25,8.46
 CENOURA,-7.84,-0.5,-6.44,-10,-0.25,0.32,-1.7,-4.91,-4.68,2.83,-6.88,-3.21,       -,       -,       -,-5.22,-3.87
 AÇÚCARES E DERIVADOS,0.15,-1.69,1.77,1.61,0.64,0.02,0.43,0.98,-0.39,-0.09,1,0.97,1.03,0.98,-0.85,0.24,0.37
 AÇÚCAR REFINADO,-0.24,3.55,       -,2.26,3.48,-0.19,-0.45,0.53,3.99,-0.47,       -,       -,       -,1.92,2.92,       -,1.88
 AÇÚCAR CRISTAL,       -,-0.29,2.74,3.3,       -,-1.39,3.19,1.97,-0.51,1.29,2.5,0.79,1.72,1.51,-3.78,-1.59,1.42
 BALAS,       -,-2.69,       -,       -,       -,0.42,       -,       -,       -,3.38,-0.77,       -,-0.31,       -,       -,       -,0.12
 CHOCOLATE EM BARRA E BOMBOM,-1.37,-5.45,2.97,-1.98,-0.88,-0.43,-4.19,0.97,-2.16,-1.77,-0.59,-0.57,-1.73,-2.38,-1.34,-1.02,-1.31
 SORVETE,0.21,-0.29,-0.13,0.4,1.46,1.56,-1.66,-0.07,-1.1,1.46,1.19,3.34,2.47,       -,       -,3.97,0.8
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.99,-0.39,0.55,-2.64,-0.62,-0.27,3.69,-0.17,-1.58,-1.01,-1.12,1.83,-0.08,1.12,-2.43,0.79,-0.13
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,3.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.12
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.4,3.4
 HORTALIÇAS E VERDURAS,0.35,2.83,1.94,-3.34,5.23,-1.96,0.92,2.33,0.81,4.36,0.69,0.69,-0.08,0.43,1.61,2.25,3.0
 ALFACE,3.18,3.02,3.75,-3.56,6.4,-1.95,-2.2,-0.84,2.97,4.7,0.96,1.64,3.69,1.78,3.76,1.28,4.31
 COENTRO,       -,       -,       -,-3.91,       -,       -,       -,       -,-0.26,       -,       -,       -,       -,       -,       -,4.99,-0.78
 COUVE,-0.8,       -,-2.53,       -,3.69,       -,       -,       -,       -,       -,       -,1.4,       -,3.03,       -,-2.49,1.38
 COUVE-FLOR,2.19,       -,       -,       -,       -,1.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.98
 REPOLHO,       -,2.74,       -,       -,0.9,       -,       -,       -,0.85,4.42,-1.15,       -,-13.2,       -,3.02,       -,1.36
 CHEIRO-VERDE,-5.38,-2.8,0.6,-1.24,5.04,-0.95,1.77,3.32,0.53,3.33,1.58,0.16,-0.69,-1.14,0.11,       -,1.52
 BRÓCOLIS,0.68,6.77,0.51,       -,4.31,-4.83,0.41,       -,       -,4.38,       -,-1.72,       -,       -,       -,       -,3.22
 FRUTAS,1.97,2.82,4.12,-0.3,5.62,1.77,-0.93,0.46,0.37,3.65,3.47,3.37,-0.09,3.41,-7.03,0.23,3.06
 BANANA-DA-TERRA,       -,       -,       -,3.42,       -,       -,       -,       -,-2.32,       -,       -,1.67,       -,-0.7,       -,       -,-0.65
 ABACAXI,-1.38,4.98,       -,-5.78,       -,       -,-4.48,       -,       -,       -,11.08,0.32,2.88,       -,       -,-7.3,0.95
 ABACATE,       -,       -,       -,       -,       -,       -,-1.87,       -,       -,       -,       -,       -,       -,-2.41,       -,       -,-1.96
 BANANA-D'ÁGUA,-2.59,4.74,-12.03,       -,2.66,-9.59,       -,       -,       -,-1.95,       -,       -,-12.72,       -,-5.79,       -,-0.78
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.88,       -,-2.02,       -,       -,       -,4.76
 BANANA-PRATA,-0.72,-2.52,-2.33,-6.83,2.31,0.83,-1.36,-3.93,1.78,-1.92,1.13,-1.56,       -,-0.55,-5.54,-2.59,-1.01
 LARANJA-BAÍA,       -,9.96,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.96
 LARANJA-LIMA,       -,       -,14.05,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,14.05
 LIMÃO,3.09,       -,       -,       -,4.38,8.24,       -,       -,       -,       -,1.82,0.45,       -,0.03,       -,       -,4.21
 MAÇÃ,2.33,3.81,1.94,2.17,1.32,-2.64,-1.94,-0.85,1.78,5.86,4.43,3.43,6.34,9.87,-1.68,3.67,2.12
 MAMÃO,8.97,6.77,9.79,-1.53,5.05,12.16,       -,4.33,1.12,2.14,4.96,2.92,10.93,-0.3,       -,-5.5,5.54
 MANGA,10.96,7.84,17.05,       -,14.96,12.86,       -,2.83,2.28,16.75,       -,16.11,       -,       -,       -,5.6,13.05
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-1.43,2.86,       -,       -,       -,       -,       -,       -,0.76,1.22
 MELANCIA,       -,       -,16.09,-1.1,       -,-1.05,6.57,       -,-3.43,9.94,3.54,       -,10.89,0,-8.51,       -,4.34
 MELÃO,2.81,       -,       -,15.51,       -,-2.16,-7.02,       -,       -,-3.98,       -,       -,       -,       -,-18.12,       -,-3.44
 PERA,       -,       -,       -,       -,3.66,       -,       -,       -,       -,       -,1.56,2.47,       -,       -,       -,       -,3.42
 TANGERINA,       -,       -,       -,       -,10.93,       -,       -,       -,       -,4.2,       -,       -,       -,       -,       -,       -,8.95
 UVA,-0.96,-0.33,1.85,3.35,4.97,1.44,0.4,2.06,-0.85,3.82,0.55,5.26,1.85,6.8,1.67,0.15,2.34
 LARANJA-PERA,0.9,       -,14.86,-2.38,9.11,6.01,0.61,4.68,-0.86,2.94,-0.32,9.17,6.45,8.29,-1.7,14.61,6.41
 MORANGO,       -,-1.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.41
 GOIABA,       -,       -,       -,       -,       -,       -,-0.49,11.63,       -,       -,       -,       -,       -,       -,       -,4.39,6.43
 CARNES,4.47,-3.03,1.45,-0.63,1.67,2.18,-0.6,0.21,-0.73,-0.54,-0.41,0.24,-0.75,0.78,2.81,-2.26,0.53
 FÍGADO,       -,       -,       -,-8.31,       -,       -,-1.23,-4.01,-5.13,       -,       -,       -,       -,       -,-3.73,       -,-4.58
 CARNE DE PORCO,1.94,-0.79,0.53,-1.11,1.08,0.07,1.28,-1.66,3.26,0.44,0.38,-0.96,0.25,-0.07,0.16,0.14,0.57
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,0.38,       -,       -,       -,       -,       -,       -,       -,       -,0.38
 CUPIM,       -,       -,       -,0.62,       -,       -,       -,       -,       -,       -,-5.99,       -,       -,       -,       -,       -,-2.91
 CONTRAFILÉ,4.93,-2.33,4.1,-0.05,4.17,2.31,0.64,1.99,-0.33,-1.98,0.48,-3.75,1.02,-0.66,6.91,-1.86,1.94
 FILÉ-MIGNON,3.74,       -,       -,       -,       -,       -,-2.55,       -,       -,-1.45,       -,       -,       -,0.97,       -,       -,0.6
 CHÃ DE DENTRO,6,-3.64,3.44,-3.26,3.02,2.58,-1.1,-0.75,-1.78,1.11,0.75,0.72,-0.81,1.38,8.08,-1.33,0.88
 ALCATRA,6.75,-4.67,2.12,0.23,-0.69,1.73,-0.44,0.64,0.36,3.29,-0.56,4.2,-1.94,1.43,2.89,-3.68,1.19
 PATINHO,4.09,       -,0.54,-0.55,2.55,       -,-0.88,1.81,       -,0.24,-0.58,2.06,0.55,1.59,3.66,-1.12,1.7
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-2.34,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.34
 LAGARTO COMUM,       -,0.34,       -,       -,-1.17,       -,       -,       -,0.92,       -,-0.77,       -,3.6,0.21,       -,       -,-0.23
 MÚSCULO,-1.55,-3.53,0.13,-0.09,1.65,       -,-0.33,       -,-1.37,3.36,-1.83,       -,-2.89,0.38,-1.66,-1.48,-0.47
 PÁ,       -,-4.81,0.44,-1.68,-0.19,       -,-1.91,       -,       -,       -,       -,1.08,-1.41,3.01,2.05,0.27,-1.26
 ACÉM,6.86,-5.06,-0.58,2.49,-0.4,1.33,-0.78,-1.44,-3.8,-0.64,-1.85,2.42,-4.21,1,0.63,-1.07,-0.3
 PEITO,       -,       -,       -,       -,       -,       -,-1.08,       -,       -,       -,       -,       -,-2.23,0.86,0.83,0.59,-0.76
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,1.13,       -,3.82,-1.79,       -,0.25,3.85,-0.12,       -,       -,1.32
 COSTELA,0.05,-2.49,0.17,2.32,3,1.45,-0.94,-1.29,-1.7,-5.11,-2.14,-0.04,-2.1,1.73,0.01,-4.83,-0.89
 PICANHA,       -,-2.54,6.04,       -,       -,6.69,       -,5.09,       -,       -,       -,       -,       -,       -,       -,       -,2.91
 PESCADOS,0.44,1.43,-0.13,0.61,0.89,0.71,0.8,0.95,0.62,0.16,1.62,-0.77,0.63,0.12,-1.65,-1.64,0.42
 PEIXE-ANCHOVA,       -,       -,       -,0.61,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.61
 PEIXE-CORVINA,-0.62,       -,       -,2.79,       -,       -,       -,       -,-1.14,       -,       -,       -,       -,       -,-0.42,1.78,-0.38
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.65,       -,-1.65
 PEIXE-SARDINHA,       -,1.43,       -,1.49,       -,       -,       -,       -,2.33,       -,       -,       -,       -,       -,       -,       -,1.81
 CAMARÃO,2.23,-0.85,       -,-2.02,       -,0.79,3.98,-1.32,4.61,1.32,0.38,1.3,       -,       -,0.08,-2.99,1.27
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-0.26,       -,       -,       -,       -,       -,       -,       -,       -,-0.26
 PEIXE-CAÇÃO,       -,       -,       -,       -,0.72,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.72
 PEIXE-MERLUZA,       -,       -,0.41,-0.3,-1.04,       -,       -,       -,-0.76,       -,1.3,       -,       -,       -,       -,       -,-0.57
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,1.69,       -,       -,       -,       -,       -,       -,       -,       -,1.69
 PEIXE-PESCADA,       -,       -,       -,       -,1.88,       -,1.36,       -,       -,       -,       -,       -,       -,       -,-1.2,-2.2,0.86
 CARANGUEJO,0.44,       -,       -,       -,       -,       -,-3.08,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.55
 PEIXE-CASTANHA,       -,       -,       -,0.61,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.61
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,0.31,       -,       -,       -,       -,       -,       -,       -,       -,0.31
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.35,       -,       -,4.35
 PEIXE-SALMÃO,0.77,       -,       -,       -,1.54,-0.55,       -,1.59,4.16,       -,       -,       -,       -,       -,       -,       -,1.59
 PEIXE-TILÁPIA,       -,2.8,-0.29,1.2,1.4,1.89,       -,1.18,0.63,0,0.96,-2.76,0,       -,       -,-1.24,0.93
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.01,2.17,       -,       -,       -,3.9,       -,0,-1.03,-2.79,       -,-0.49
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-4.17,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.17
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-1.72,1.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.66
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.43,       -,       -,       -,       -,-0.43
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.19,       -,       -,       -,3.19
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.62,       -,       -,       -,       -,       -,1.62
 CARNES E PEIXES INDUSTRIALIZADOS,-1.01,-1.23,-0.12,-1.53,-1.18,-0.27,-0.56,-0.37,0.58,-0.43,0.39,-2.03,-0.73,-0.86,-0.62,-1.64,-0.78
 PRESUNTO,1.67,-1.43,-1.79,       -,0.13,-2.22,       -,-0.84,-0.62,-3.79,0.97,-0.22,-1.31,-2.3,       -,-1.55,-0.65
 SALSICHA,       -,-2.92,       -,-1.92,-0.53,       -,       -,       -,       -,1.51,       -,       -,       -,0.92,       -,       -,-0.79
 LINGUIÇA,-2.15,-0.69,0.27,-1.75,-2.19,0.31,1.13,0.34,1.08,-0.19,-0.11,-2.67,-1.12,-1.09,-1.26,1.63,-1.08
 MORTADELA,-0.62,       -,-1.61,-0.03,1.83,       -,       -,-0.44,       -,0.98,0.6,       -,1.59,       -,       -,       -,0.7
 SALAME,       -,-0.91,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.91
 BACALHAU,-2.79,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.49,       -,-2.52
 CARNE-SECA E DE SOL,-0.5,       -,       -,-1.6,       -,0.64,-1.47,-2.15,0.47,       -,       -,2.02,       -,       -,0.42,-3.37,-0.65
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,2.46,       -,       -,       -,       -,       -,       -,       -,2.76,-2.87,       -,       -,       -,       -,1.69
 AVES E OVOS,1.33,-0.77,0.1,-0.26,-0.57,-0.39,-0.25,0.28,0.13,-1.41,-0.14,1.76,-0.94,0.15,1.39,-1.68,-0.14
 FRANGO INTEIRO,4.39,-2.98,-0.79,-0.65,0.27,0.22,0.58,0.87,1.59,-0.35,-0.71,3.01,-0.38,0.97,3.27,-1.71,0.54
 FRANGO EM PEDAÇOS,2.77,0.59,1.98,1.42,0.54,0.95,1.09,-0.38,-0.71,-2.03,0.8,2.78,1.07,-2.23,-1.63,-0.29,0.73
 OVO DE GALINHA,-3.69,-3.25,-2.55,-1.7,-3.93,-2.78,-4.25,-0.46,-0.85,-0.78,-1.91,-2.13,-4.82,-0.48,-4.5,-4.06,-2.85
 LEITES E DERIVADOS,-4.76,-4.02,-1.83,-0.89,-3.59,-2.84,-1.09,-0.37,-0.52,-3.38,-0.83,-1.76,-2.55,-1.6,-2.37,0.41,-2.78
 LEITE LONGA VIDA,-9.89,-6.22,-2.31,-2.38,-6.95,-4.83,-0.41,-0.98,-3.27,-5.24,-2.5,-3.24,-3.86,-0.27,-5.79,-1.86,-5.48
 LEITE CONDENSADO,-2.53,-2.48,       -,       -,       -,       -,-1.98,       -,       -,       -,       -,       -,       -,-1.46,       -,       -,-2.36
 LEITE EM PÓ,-3.16,       -,-1.11,-0.22,-0.74,       -,-1.81,1.71,-1.27,-0.17,0.33,-0.37,-2.32,-3.31,-1.4,1.52,-0.87
 QUEIJO,-3,-2.57,-3.1,-1.41,-0.46,-1.53,1.04,-1.81,3.17,-2.41,1.3,0.09,-0.55,-2.2,-2.31,1.35,-1.14
 IOGURTE E BEBIDAS LÁCTEAS,-0.17,0.24,0.1,-0.35,-0.58,-3.4,-0.01,-3.82,1.17,-3.66,0.55,0.5,-0.48,0.1,-0.29,0.95,-0.63
 REQUEIJÃO,-0.41,       -,1.72,       -,-2.53,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.33
 MANTEIGA,1.07,       -,0.3,1.81,       -,0.26,-2.21,1.61,-1.81,       -,-2.19,-3.56,       -,-2.09,       -,-1.4,-0.61
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.86,       -,       -,       -,       -,       -,       -,-0.86
 PANIFICADOS,-0.95,-0.61,-0.48,-0.83,1.03,-0.05,-0.23,-1.27,-0.43,-0.42,0.37,-0.14,-1.98,-0.08,-1.19,-0.19,-0.1
 BISCOITO,-0.29,-2.44,-1.24,-1.6,0.72,-1.67,-0.85,-1.29,-1.01,-1.2,-0.94,0,-1.95,-0.07,1.33,-0.84,-0.64
 PÃO FRANCÊS,-1.29,0.97,0,-0.56,1.71,0.96,-0.1,-1.57,-0.03,-0.67,0.63,-0.49,-2.29,0.38,-2.18,0.19,0.19
 PÃO DOCE,0.99,0.12,-1.25,       -,1.94,       -,       -,       -,-0.51,2.51,       -,-0.27,-1.01,       -,       -,       -,1.13
 PÃO DE FORMA,-0.84,-3.02,2.95,       -,-0.67,-0.82,       -,       -,       -,-1.93,       -,0.77,       -,       -,       -,       -,-0.9
 BOLO,-3.61,0.24,-2.25,0.62,-0.08,-1.92,1.18,1.61,-1.28,1.69,-0.25,0.95,-0.41,-3.99,-1.24,-0.51,-0.4
 PÃO DE QUEIJO,       -,       -,-0.19,       -,       -,3.82,       -,       -,       -,       -,3.01,       -,       -,       -,       -,       -,1.24
 ÓLEOS E GORDURAS,0.83,-7.35,-0.97,-0.42,2,2.45,-0.28,0.37,0.3,-1.95,-0.01,0.96,-0.24,1.14,-4.87,0.97,-0.12
 ÓLEO DE SOJA,-1.76,-10.77,-0.6,-0.95,0.05,-0.22,-0.84,1.78,-0.43,-4.6,-0.26,-1.43,-2.29,0.21,-4.19,1.59,-1.77
 AZEITE DE OLIVA,4.65,       -,       -,       -,6.44,6.12,3.21,       -,4.77,3.41,       -,5.2,6.44,4.85,       -,       -,5.32
 MARGARINA,-0.65,-1.18,-2.05,0.14,1.09,       -,-3.14,-1.33,-1.56,-0.46,0.9,       -,-2.17,       -,-6.41,0.27,-0.6
 BEBIDAS E INFUSÕES,-0.32,0.49,1.06,-1.31,0.81,0.55,-1.06,0.16,0.4,-0.03,0.83,-1.33,0.58,-0.52,-0.01,-0.35,0.27
 SUCO DE FRUTAS,-0.63,0.72,2.14,-2.43,1.49,0.72,       -,-0.18,       -,-1.55,1.05,-1.06,-1.2,       -,       -,       -,0.51
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,1.22,-1.75,-3.59,       -,       -,       -,       -,-0.18,-0.13,       -,-1.74
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-2.92,       -,       -,       -,       -,       -,       -,4.88,-3.06,       -,-2.82
 CAFÉ MOÍDO,-2.02,-0.53,-0.06,-2.87,-1.08,-1.07,-2.27,-0.22,-1.27,-1.71,-1.22,-3.53,-0.7,-1.64,-1.08,-0.31,-1.23
 CAFÉ SOLÚVEL,       -,1.61,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.61
 REFRIGERANTE E ÁGUA MINERAL,0.63,0.49,1.36,-1.87,0.06,0.41,0.55,0.41,2.37,1.64,1.21,-1.37,1.4,-1.4,1.57,-0.32,0.44
 CERVEJA,0.97,0.59,1.53,2.5,3.72,1.77,-1.84,2.06,2.1,0.06,1.62,0.73,1.44,       -,4.3,-0.42,1.8
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,2.03,       -,       -,1.15,       -,       -,       -,       -,       -,       -,1.83
 VINHO,-1.45,1.97,       -,       -,1.04,       -,       -,       -,       -,-1.15,       -,       -,       -,       -,       -,       -,0.37
 SUCO EM PÓ,       -,-4.4,0.87,       -,-0.01,       -,       -,       -,       -,-1.47,       -,       -,-0.64,1.36,       -,       -,-0.73
 CHÁ MATE (ERVA MATE),       -,1.19,       -,       -,       -,       -,       -,       -,       -,0.09,       -,       -,0.97,       -,       -,       -,0.91
 ENLATADOS E CONSERVAS,-0.88,0.21,-0.06,-0.78,0.81,0.11,-1.05,0.28,0.37,0.65,0.25,-1.35,-0.87,1.05,-2.71,0.43,0.14
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,-1.05,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.05
 PALMITO EM CONSERVA,       -,       -,1.21,       -,1.78,-2.75,       -,       -,       -,1.73,-1.15,       -,       -,       -,       -,       -,1.29
 PEPINO EM CONSERVA,       -,-0.3,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.3
 SARDINHA EM CONSERVA,-1.89,0.47,-0.58,-1.65,0.33,-1.4,-0.07,1.01,-1.92,0.01,       -,-0.94,-0.91,0.64,-2.67,1.45,-0.59
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,-3.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.09
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.75,       -,       -,0.39,       -,       -,       -,-1.43
 AZEITONA,1.08,-0.47,-0.81,-1.25,1.21,1.2,       -,-0.02,-0.79,2.09,0.67,-0.52,-1.43,2.65,       -,       -,0.67
 MILHO-VERDE EM CONSERVA,-2.29,0.97,0.42,2.69,-0.41,       -,-0.43,-0.8,3.61,-0.73,1.33,-2.64,-0.92,0.17,-2.94,-1.7,0.09
 ATUM EM CONSERVA,-0.89,-0.18,       -,-2.13,0.54,2.61,       -,       -,0.39,2.52,       -,       -,       -,       -,       -,       -,0.58
 SAL E CONDIMENTOS,-4.42,1.75,-0.54,-0.59,0.55,-1.28,0.6,-1.78,0.57,0.44,0.63,-1.39,-0.1,0.91,-2.34,0.91,-0.25
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-0.54,       -,       -,       -,       -,       -,       -,       -,-0.54
 ATOMATADO,-0.99,0.65,0.7,0.83,1.25,-2.74,-1.3,0.25,2.39,3.32,0.11,-1.17,-1.71,1.16,-1.24,1.06,0.83
 ALHO,-7.26,       -,-1.39,-2.06,-0.83,-0.6,2.8,-4.74,-0.15,-3.65,0.95,-2.12,1.88,1.08,-6.36,2.97,-2.3
 SAL,-4.62,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.06,1.22,-2.13,-3.67,-3.78
 COLORAU,       -,       -,       -,       -,       -,       -,       -,0.03,       -,       -,       -,       -,       -,       -,       -,       -,0.03
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-3.76,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.76
 FERMENTO,       -,0.77,       -,       -,       -,       -,       -,       -,       -,0.77,       -,       -,       -,       -,       -,       -,0.77
 MAIONESE,-1.16,4.55,-1.76,1.33,0.11,0.08,-2.44,-0.62,       -,2.01,       -,-0.89,0.1,0.2,       -,       -,0.64
 VINAGRE,       -,-2.86,       -,-1.16,-0.34,-0.05,-1.83,       -,-0.42,       -,       -,       -,       -,       -,3.17,0.94,-0.86
 CALDO CONCENTRADO,       -,3.05,       -,-3.59,       -,       -,       -,-0.62,-1.59,       -,0.64,-0.3,       -,       -,       -,       -,0.33
