"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ABACAXI,-3.89,-5.38,       -,-5.79,       -,       -,0.68,       -,       -,       -,-0.02,-8.58,4.74,       -,       -,-0.36,-3.09
 ABACATE,       -,       -,       -,       -,       -,       -,-1.7,       -,       -,       -,       -,       -,       -,-9.27,       -,       -,-3.15
 BANANA-D'ÁGUA,0.01,-6.71,-4.94,       -,-5.18,2.37,       -,       -,       -,-9.21,       -,       -,-1.87,       -,2.42,       -,-5.07
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,12.52,       -,2.82,       -,       -,       -,10.1
 BANANA-PRATA,-5.28,0.03,-0.91,-1.74,-4.62,-2.79,1.16,2.49,-4.62,-2.96,0.24,2.5,       -,-5.77,-5.89,-0.89,-2.54
 LARANJA-BAÍA,       -,-26.93,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-26.93
 LARANJA-LIMA,       -,       -,-11.22,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-11.22
 LIMÃO,-3.96,       -,       -,       -,0.46,-0.55,       -,       -,       -,       -,0.99,-1.82,       -,6.01,       -,       -,-0.21
 MAÇÃ,0.26,-1.73,3.18,6.61,-0.95,2.1,-2.34,2.66,2.52,-3.06,-0.01,4.33,-1.45,0.84,-3.42,-0.09,0.48
 MAMÃO,-10.23,-8.25,-8.92,-6.08,0.25,-6.26,       -,-12.04,-4.39,-3.78,-5.39,-1.65,-4.09,-9.72,       -,-0.35,-4.27
 MANGA,-15.12,-7.11,-21.48,       -,-6.66,-13.74,       -,-9.95,-5.82,-19.23,       -,-17.79,       -,       -,       -,2.97,-10.83
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-10.63,-4.39,       -,       -,       -,       -,       -,       -,-2.25,-6.13
 MELANCIA,       -,       -,-7.23,-7.48,       -,-7.67,1.1,       -,4.51,7.93,-8.18,       -,-10.4,-0.17,1.69,       -,-1.77
 MELÃO,-4.5,       -,       -,-2.26,       -,0.28,-7.82,       -,       -,6.18,       -,       -,       -,       -,9.5,       -,1.34
 PERA,       -,       -,       -,       -,3.28,       -,       -,       -,       -,       -,-2.76,-3.01,       -,       -,       -,       -,2.44
 TANGERINA,       -,       -,       -,       -,-5.21,       -,       -,       -,       -,-5.41,       -,       -,       -,       -,       -,       -,-5.27
 UVA,-0.78,-2.44,-1.15,-2.91,-6.41,-6.76,-4.1,-11.44,-10.72,-10.66,-3.69,-10.28,-2.3,-1.66,-8.15,-6.9,-5.78
 LARANJA-PERA,-6.32,       -,-7.83,4.98,-2.64,0.82,-0.09,-6.25,-4.98,-4.58,5.94,0.54,4.92,3.52,-10.19,3.16,-2.91
 MORANGO,       -,-6.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.5
 GOIABA,       -,       -,       -,       -,       -,       -,0.41,8.21,       -,       -,       -,       -,       -,       -,       -,5.18,5.46
 CARNES,-1.91,-0.68,-3.43,-2.13,-1.55,-1.48,-0.12,-2.86,-4.4,-1.29,-3.5,-1.87,-3.68,-1.98,-4.4,-2.55,-2.1
 FÍGADO,       -,       -,       -,-1.07,       -,       -,-3.13,-2.6,-0.01,       -,       -,       -,       -,       -,-1.97,       -,-1.43
 CARNE DE PORCO,-0.67,-0.46,-2.65,-2.14,-3.59,-0.02,-1.2,0.47,-3.26,-3.63,-3.21,-2.78,-2.43,-0.26,1.32,-3.45,-2.4
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-0.26,       -,       -,       -,       -,       -,       -,       -,       -,-0.26
 CUPIM,       -,       -,       -,-1.35,       -,       -,       -,       -,       -,       -,-0.72,       -,       -,       -,       -,       -,-1.02
 CONTRAFILÉ,0.46,0,-3.94,-5.37,-3.29,0.42,0.54,-5.26,-5.93,-0.56,-3.55,1.72,-5.03,-2.91,-2.88,-1.07,-2.51
 FILÉ-MIGNON,-4.91,       -,       -,       -,       -,       -,-2.2,       -,       -,0.57,       -,       -,       -,-2.96,       -,       -,-2.39
 CHÃ DE DENTRO,-5.17,-1.72,-4.33,0.35,-1.56,1.42,-0.23,-3.66,-5.19,-3.5,-5.26,-0.82,-4.22,-1.62,-4.27,-1.33,-2.43
 ALCATRA,-2.58,-1.98,-1.87,-5.12,0.02,-3.5,1.19,-6.13,-6.42,-0.12,-4.62,1.55,-4.74,-2.24,-7.75,-1.07,-2.14
 PATINHO,-3.76,       -,-3.69,-4.83,-2.32,       -,1.8,-3.24,       -,-2.88,-3.45,-1.59,-0.81,-0.92,-5.88,-1.24,-2.72
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-1.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.12
 LAGARTO COMUM,       -,-2.32,       -,       -,-3.11,       -,       -,       -,-5.05,       -,-2.16,       -,-5.06,-1.25,       -,       -,-3.36
 MÚSCULO,-3.68,0,-3.74,-1.28,-0.26,       -,-1.27,       -,-4.77,1.89,-1.23,       -,-2.98,-3.02,-1.71,-1.34,-1.32
 PÁ,       -,-2.34,-4.59,-0.45,-1.59,       -,0.87,       -,       -,       -,       -,-6.22,-4.59,-2.07,-7.8,-3.95,-2.15
 ACÉM,-0.83,0.93,-5.21,-0.09,1.8,-4.1,-1.49,-2.82,-4.67,-0.21,-4.25,-6.23,-4.53,-2.07,-10.63,-6.56,-1.3
 PEITO,       -,       -,       -,       -,       -,       -,0.13,       -,       -,       -,       -,       -,-1.22,-0.19,-8.76,-6.28,-1.9
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-0.51,       -,1.93,-1.11,       -,-0.82,-1.59,-1.98,       -,       -,-0.27
 COSTELA,-1.09,0.03,-2.8,-3.33,-0.29,-0.26,-0.69,-2.46,-3.51,-0.18,-4.84,-3.3,-2.81,-0.13,-5.17,-1.51,-1.52
 PICANHA,       -,-1.56,-2.32,       -,       -,-4.77,       -,-0.83,       -,       -,       -,       -,       -,       -,       -,       -,-2.22
 PESCADOS,-0.48,-0.18,-0.55,0.35,0.05,0.05,-0.93,-1.96,0.89,-0.98,0.15,0.51,-0.27,1.03,0.13,-0.47,-0.26
 PEIXE-ANCHOVA,       -,       -,       -,0.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.35
 PEIXE-CORVINA,-1.09,       -,       -,3.11,       -,       -,       -,       -,3.04,       -,       -,       -,       -,       -,1.48,-0.54,1.26
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.13,       -,0.13
 PEIXE-SARDINHA,       -,-0.18,       -,-2.55,       -,       -,       -,       -,-3.44,       -,       -,       -,       -,       -,       -,       -,-2.04
 CAMARÃO,0.42,0.43,       -,0.94,       -,1.71,0.93,0.15,-0.01,-2.46,-1.16,-2.62,       -,       -,0.6,0.44,0.42
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-1.48,       -,       -,       -,       -,       -,       -,       -,       -,-1.48
 PEIXE-CAÇÃO,       -,       -,       -,       -,-1.21,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.21
 PEIXE-MERLUZA,       -,       -,-0.04,-1.3,0.78,       -,       -,       -,-2.6,       -,1.07,       -,       -,       -,       -,       -,0.16
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,2.18,       -,       -,       -,       -,       -,       -,       -,       -,2.18
 PEIXE-PESCADA,       -,       -,       -,       -,1.09,       -,-2.41,       -,       -,       -,       -,       -,       -,       -,-3.53,-1.5,-1.7
 CARANGUEJO,-0.48,       -,       -,       -,       -,       -,-0.85,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.7
 PEIXE-CASTANHA,       -,       -,       -,0.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.35
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,0.64,       -,       -,       -,       -,       -,       -,       -,       -,0.64
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.03,       -,       -,1.03
 PEIXE-SALMÃO,-0.11,       -,       -,       -,-2.95,-2.68,       -,-1.8,0.65,       -,       -,       -,       -,       -,       -,       -,-1.8
 PEIXE-TILÁPIA,       -,-0.54,-0.7,-0.13,1.45,-0.45,       -,-2.97,0.35,-0.77,-1.55,1.53,-0.57,       -,       -,-1.95,-0.4
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,0.93,-3.13,       -,       -,       -,2.25,       -,1.51,1.03,1.96,       -,0.23
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,2.73,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.73
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,2.95,-1.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.56
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.86,       -,       -,       -,       -,1.86
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.76,       -,       -,       -,-1.76
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.15,       -,       -,       -,       -,       -,0.15
 CARNES E PEIXES INDUSTRIALIZADOS,-0.75,0.19,1.01,-1.64,0.26,1.91,-0.74,0.79,-0.78,0.64,-0.78,-0.16,0.1,0.75,0.5,0.95,0.03
 PRESUNTO,-1.83,0.19,-1.33,       -,0.65,0.7,       -,0.7,1.44,0.03,-0.08,0.46,2.87,0.82,       -,-3,0.03
 SALSICHA,       -,0.88,       -,-2.49,0.43,       -,       -,       -,       -,0.54,       -,       -,       -,-2.49,       -,       -,0.22
 LINGUIÇA,-0.65,0.54,2.89,-2.08,-0.13,2.93,-0.06,0.74,1.16,1.08,-1.45,-0.26,-1.13,1.67,1.65,2.5,0.42
 MORTADELA,-0.04,       -,-2,0.02,1.84,       -,       -,-1.05,       -,-0.52,0.37,       -,2.22,       -,       -,       -,0.48
 SALAME,       -,-1.55,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.55
 BACALHAU,0.66,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.24,       -,0.34
 CARNE-SECA E DE SOL,-1.36,       -,       -,-1.56,       -,0.73,-1.11,2.3,-2.01,       -,       -,-1.32,       -,       -,-0.25,0.8,-1.32
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-3.44,       -,       -,       -,       -,       -,       -,       -,1.44,1.53,       -,       -,       -,       -,-1.6
 AVES E OVOS,0.06,0.4,-1.13,-0.52,0.23,-1.2,0.48,-0.14,-1.73,-0.47,-1.38,-0.94,-2.52,-2.02,-1.72,-0.24,-0.37
 FRANGO INTEIRO,-1.22,1.85,-5.2,-2.46,-2.35,-1.04,1.2,0.1,-1.93,1.3,-1.5,-2.6,-2.99,-3.83,-2.68,-1.8,-1.27
 FRANGO EM PEDAÇOS,-1.04,0.23,-1.7,1.86,0.24,-3,-1.16,-1.43,-2.27,-0.69,-2.51,-0.84,-2.71,0.61,1.39,-1.28,-0.62
 OVO DE GALINHA,3.77,0.09,3.23,0.12,1.97,0.91,-0.28,0.45,-0.35,-1.86,2.18,0.91,-1.94,0.81,0.09,4.44,1.28
 LEITES E DERIVADOS,-0.82,-1.31,-2.33,1.45,-2.21,-0.38,0.07,0.27,0.53,-0.86,-2.35,-1.55,-1.89,-0.28,-0.28,-0.64,-1.28
 LEITE LONGA VIDA,-2.79,-2.09,-4.38,1.51,-3.41,-3.78,-1.24,0.8,1.95,-1.73,-3.41,-2.41,-2.46,-0.28,-3.46,0.28,-2.68
 LEITE CONDENSADO,1.22,-0.09,       -,       -,       -,       -,-0.35,       -,       -,       -,       -,       -,       -,0.33,       -,       -,0.33
 LEITE EM PÓ,1.13,       -,-1.13,-0.16,2.47,       -,0.79,-1.63,-0.25,0.44,0.33,-0.98,-1.81,-0.28,0.51,-2.41,0.22
 QUEIJO,-0.02,-0.19,0.74,2.49,-1.77,2.48,-1.41,2.17,1.19,-1.41,-2.77,0.02,-0.41,0.87,1.44,0.23,-0.42
 IOGURTE E BEBIDAS LÁCTEAS,0.43,-1.27,-3.54,2.04,-1.11,0.65,-0.28,1.16,-1.89,1.86,-0.73,-1.31,-2.13,-3.19,1.55,0.67,-0.75
 REQUEIJÃO,0.09,       -,0.19,       -,0.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.13
 MANTEIGA,-0.55,       -,-0.14,0.44,       -,1.21,1.54,0.41,-1.02,       -,0.42,-2.12,       -,0.25,       -,-1.51,-0.11
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.45,       -,       -,       -,       -,       -,       -,1.45
 PANIFICADOS,-0.04,1.15,0.71,0.99,-0.66,-0.05,-0.82,1.29,0.36,-0.12,0.16,-0.25,-0.01,-0.3,0.37,0,0.07
 BISCOITO,-0.26,1.89,0.05,1.49,1.63,-0.08,-0.19,0.84,-0.43,-1.21,-0.71,-1.48,0.89,-0.35,1,-0.04,0.48
 PÃO FRANCÊS,0.59,1.81,1.34,0.83,-2.69,0.66,-1.36,1.77,0.82,-0.05,0.48,0.1,0.27,-0.15,-0.49,0.24,-0.21
 PÃO DOCE,1.9,-1.87,-4.19,       -,1.06,       -,       -,       -,-0.33,3.32,       -,0.42,1.63,       -,       -,       -,0.51
 PÃO DE FORMA,-4.14,-1,0.64,       -,-1.11,-3.8,       -,       -,       -,-2.66,       -,1.94,       -,       -,       -,       -,-1.68
 BOLO,1.41,0.69,2.61,-0.05,1.67,0.48,1.33,-1.26,0.74,2.73,0.61,-0.06,-5.41,-1.45,4.03,-2.22,1.35
 PÃO DE QUEIJO,       -,       -,0.45,       -,       -,-0.19,       -,       -,       -,       -,0.57,       -,       -,       -,       -,       -,0.4
 ÓLEOS E GORDURAS,-2.61,-6.08,-6.92,-4.06,-5.41,-3.26,-6.56,-4.61,-4.8,-5.67,-7.76,-5.82,-5.94,-8.35,-3.85,-8.39,-5.32
 ÓLEO DE SOJA,-8.73,-8.96,-8.86,-7.15,-8.95,-6.58,-12.45,-7.57,-8.13,-9.8,-9.59,-9.38,-9.76,-10.17,-6.16,-13.49,-8.96
 AZEITE DE OLIVA,2.94,       -,       -,       -,-0.44,2.62,-0.04,       -,0.62,1.15,       -,2.46,2.16,0.48,       -,       -,0.87
 MARGARINA,-0.08,0.16,-0.82,-0.26,-1.82,       -,0.11,-0.73,-0.89,-0.1,-0.46,       -,-2.89,       -,1.87,-1.57,-0.73
 BEBIDAS E INFUSÕES,-0.35,-0.07,-0.13,-0.65,0.35,0.17,-2.2,0.72,0.17,-0.43,0.43,-0.13,0.16,0.68,-1.38,-0.14,-0.17
 SUCO DE FRUTAS,-0.62,-0.31,-1.31,2.51,0.91,0.48,       -,2.14,       -,2.43,2.33,0.3,1.67,       -,       -,       -,0.57
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,1.09,2.68,0.5,       -,       -,       -,       -,0.73,0.19,       -,1.04
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-5.28,       -,       -,       -,       -,       -,       -,-0.7,-7.84,       -,-5.36
 CAFÉ MOÍDO,-1.42,-0.6,-0.58,-0.57,0.72,0.06,0.06,0.28,-0.1,0.67,-0.35,-0.37,-0.25,0.76,-0.52,-0.94,0.01
 CAFÉ SOLÚVEL,       -,0.24,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.24
 REFRIGERANTE E ÁGUA MINERAL,1.36,0.81,0.53,-1.46,-0.12,0,-0.27,0.65,0.42,-1.32,1.57,-0.02,0.84,0.96,-0.2,0.38,0.08
 CERVEJA,-1.2,-0.67,-0.1,0.6,-0.16,0.24,1.55,0.49,0.23,-0.91,-0.35,-0.08,-0.19,       -,0.07,-0.12,-0.27
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,0.27,       -,       -,1.67,       -,       -,       -,       -,       -,       -,0.61
 VINHO,0.13,-1.46,       -,       -,1.77,       -,       -,       -,       -,-2.06,       -,       -,       -,       -,       -,       -,0.18
 SUCO EM PÓ,       -,-0.77,0.27,       -,1.72,       -,       -,       -,       -,-0.81,       -,       -,-0.95,0.88,       -,       -,0.63
 CHÁ MATE (ERVA MATE),       -,0.66,       -,       -,       -,       -,       -,       -,       -,-2.24,       -,       -,0.03,       -,       -,       -,-0.09
 ENLATADOS E CONSERVAS,-0.53,0.5,-0.52,-0.48,1.62,1.05,1.02,-0.41,1.04,-0.12,-0.11,-1.25,-0.46,0.07,4.19,0.5,0.61
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,1.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.02
 PALMITO EM CONSERVA,       -,       -,0.89,       -,3.48,0.87,       -,       -,       -,2.19,1.01,       -,       -,       -,       -,       -,2.79
 PEPINO EM CONSERVA,       -,-0.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.5
 SARDINHA EM CONSERVA,-1.27,0.93,0.25,-0.98,-0.33,0.78,1.55,0.45,1.38,-0.95,       -,-1.19,-0.08,0.43,4.56,0.51,0.16
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,-0.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.1
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.73,       -,       -,0.64,       -,       -,       -,1.57
 AZEITONA,-0.56,-0.7,-0.72,-0.33,2.7,0.44,       -,-1.18,0.57,0.7,-0.38,0.17,-1.53,-0.93,       -,       -,0.72
 MILHO-VERDE EM CONSERVA,-0.87,0.14,-1.37,0.63,-0.27,       -,1.38,-1.37,1.98,-0.82,-1.06,-2.6,-0.39,0.53,1.62,0.49,-0.28
 ATUM EM CONSERVA,1.03,3.26,       -,0.27,1.7,2.28,       -,       -,-1.14,-1.85,       -,       -,       -,       -,       -,       -,1.15
 SAL E CONDIMENTOS,3.1,1.43,2.06,3.08,1.29,1.28,1.74,1.38,1.12,0.9,2.42,1.6,4.34,3.11,1.87,0.05,1.71
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-0.25,       -,       -,       -,       -,       -,       -,       -,-0.25
 ATOMATADO,1.3,0.26,0.22,2.85,2.08,1.75,0.21,1.99,0.61,1.5,0.54,0,1.15,-0.31,-0.89,1.05,1.31
 ALHO,5.81,       -,6.6,8.42,3.25,1.04,5.79,0.3,3.38,3.65,4.38,3.58,10.78,6.59,3.44,-1.83,4.39
 SAL,-2,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.87,-1.05,1.08,0.99,-1.13
 COLORAU,       -,       -,       -,       -,       -,       -,       -,3.74,       -,       -,       -,       -,       -,       -,       -,       -,3.74
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,0.7,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.7
 FERMENTO,       -,0.62,       -,       -,       -,       -,       -,       -,       -,1.15,       -,       -,       -,       -,       -,       -,0.91
 MAIONESE,1.11,3.64,-1.04,5.87,-0.5,1.6,2.15,2.62,       -,-2.56,       -,-0.64,1.46,1.32,       -,       -,0.15
