"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 CEBOLA,-6.96,-10.7,-1.2,-6.86,-5.12,-12.27,-12.38,-4.52,-11.81,-9.07,-5.96,-3.86,-6.5,-4.65,-1.75,-4.09,-7.01
 CENOURA,1.29,-6.59,6.35,6.67,-0.55,4.41,5.26,1.02,1.47,11.47,4.76,-1.47,       -,       -,       -,6.51,2.98
 AÇÚCARES E DERIVADOS,1.4,1.09,0.89,1.06,1.35,0.61,1.13,0.43,-0.05,1.62,0.97,0.35,0.36,-0.3,1.4,2.64,1.12
 AÇÚCAR REFINADO,-0.85,-1.31,       -,0.84,1.41,2.15,2.23,-1.63,0.27,2.04,       -,       -,       -,0.68,3.83,       -,0.74
 AÇÚCAR CRISTAL,       -,1.39,0.84,0.63,       -,-2.21,0.11,1,-1.03,1.29,0.41,-0.52,-2.61,-0.77,-0.37,2.94,0.23
 BALAS,       -,-0.76,       -,       -,       -,0.35,       -,       -,       -,3.82,-0.97,       -,0.21,       -,       -,       -,1.0
 CHOCOLATE EM BARRA E BOMBOM,0.95,0.44,-1.38,-2.01,-0.1,-1.54,-1.59,-1.54,-1.47,-0.48,1.59,3.27,-0.87,0.18,-1.15,-2.41,-0.22
 SORVETE,5.84,3.34,2.9,7.82,4.18,4.28,2.72,3.57,2.67,3.87,2.38,0.16,4.83,       -,       -,8.91,3.95
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.87,1.32,1.19,2.23,0.19,1.8,2.01,1.6,1.48,1.95,0.33,-0.93,1.98,-0.26,2.21,1.6,1.01
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-4.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.99
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.21,-0.21
 HORTALIÇAS E VERDURAS,-0.24,8.39,0.24,5.95,1.42,4.88,2.82,2.79,0.99,4.16,1.87,-0.35,4.52,-1.07,4.2,-0.16,2.41
 ALFACE,-0.46,11.19,-0.12,7.05,0.69,9.6,-3.61,4.36,2.17,7.86,2.26,-1.92,2.17,5.39,4.56,0.02,2.76
 COENTRO,       -,       -,       -,6.92,       -,       -,       -,       -,0.65,       -,       -,       -,       -,       -,       -,-0.18,2.52
 COUVE,-0.24,       -,-0.48,       -,2,       -,       -,       -,       -,       -,       -,-0.47,       -,-0.01,       -,-0.43,0.99
 COUVE-FLOR,-0.65,       -,       -,       -,       -,-0.64,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.64
 REPOLHO,       -,16.66,       -,       -,1.66,       -,       -,       -,-0.28,4.99,-2,       -,14.84,       -,1.55,       -,4.62
 CHEIRO-VERDE,0.51,3.59,4.01,0.77,7.37,2.77,4.81,2.31,0.92,-3.72,4.79,0.43,4.2,-5.43,5.58,       -,3.54
 BRÓCOLIS,-0.23,-2.06,-1,       -,-1.06,-0.89,1.43,       -,       -,1.22,       -,2.94,       -,       -,       -,       -,-0.64
 FRUTAS,-4.18,2.3,-0.66,0.46,0.07,1.26,-1,0.07,-1.26,2.14,-3.25,-2.2,0.9,-6.59,3.02,0.81,-0.16
 BANANA-DA-TERRA,       -,       -,       -,4.62,       -,       -,       -,       -,5.82,       -,       -,3.5,       -,-8.91,       -,       -,4.6
 ABACAXI,2.39,-1.84,       -,-4.06,       -,       -,6.53,       -,       -,       -,5.48,0.52,2.54,       -,       -,2.54,1.14
 ABACATE,       -,       -,       -,       -,       -,       -,-4.61,       -,       -,       -,       -,       -,       -,-7.61,       -,       -,-5.17
 BANANA-D'ÁGUA,-8.85,10.24,2.62,       -,-1.2,-3.28,       -,       -,       -,6.66,       -,       -,3.03,       -,6.08,       -,1.14
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-11.02,       -,0.24,       -,       -,       -,-8.57
 BANANA-PRATA,-7.76,-3.6,-1.25,1.03,-6.64,-2.49,-0.59,-5.36,-4.66,-3.51,-5.18,-10.89,       -,-8.47,2.92,0.91,-3.89
 LARANJA-BAÍA,       -,2.11,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.11
 LARANJA-LIMA,       -,       -,0.75,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.75
 LIMÃO,5.45,       -,       -,       -,14.18,1.34,       -,       -,       -,       -,3.45,21.25,       -,14.76,       -,       -,11.19
 MAÇÃ,-8.94,-7.74,-1.94,-9.51,-2.9,-3.48,-7.92,0.41,-8.31,-7.33,-5.47,-3.86,-10.63,-14.42,-11.46,0.36,-5.45
 MAMÃO,-3.24,2.45,0.99,5.64,-3.04,3.89,       -,8,4.52,5.09,4.66,-1.12,10.55,-5.56,       -,5.25,0.23
 MANGA,5.95,7.5,9.89,       -,8.94,19,       -,-2.6,-3.16,4.75,       -,9.71,       -,       -,       -,4.25,7.08
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,0.42,-0.69,       -,       -,       -,       -,       -,       -,-0.5,-0.31
 MELANCIA,       -,       -,-4.13,-1.37,       -,-1.35,1.62,       -,-2.63,-6.1,-9.38,       -,-3.11,-0.02,0.03,       -,-3.66
 MELÃO,4.11,       -,       -,12.41,       -,12.91,0.41,       -,       -,2.7,       -,       -,       -,       -,17.86,       -,7.77
 PERA,       -,       -,       -,       -,-7.44,       -,       -,       -,       -,       -,2.52,-1.32,       -,       -,       -,       -,-6.31
 TANGERINA,       -,       -,       -,       -,13.9,       -,       -,       -,       -,2.14,       -,       -,       -,       -,       -,       -,10.36
 UVA,-4.55,7.06,0.19,1.35,7.53,3.98,4.01,6.09,4.13,16.04,-6.18,-9.46,7.22,0.44,2.02,-3.31,3.99
 LARANJA-PERA,-1.39,       -,-6.26,11.78,-4.64,-1.45,0.7,6.51,3.99,3.39,1.64,-0.06,2.91,9.17,5.18,4.35,-1.68
 MORANGO,       -,15.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,15.07
 GOIABA,       -,       -,       -,       -,       -,       -,0.85,-1.81,       -,       -,       -,       -,       -,       -,       -,-0.67,-0.85
 CARNES,1.27,0.25,-1.19,-0.77,-0.29,-0.51,-2.06,-1.88,-0.61,-0.34,-0.57,-0.84,-0.46,-0.08,1.05,-1.63,-0.45
 FÍGADO,       -,       -,       -,-0.58,       -,       -,0.22,-2.01,1.94,       -,       -,       -,       -,       -,-1.5,       -,0.16
 CARNE DE PORCO,-0.71,2.17,-3.46,-0.26,1.77,0.12,-1.01,-4.52,-0.34,0.16,-1.14,-2.49,1.29,-0.13,-0.4,2.55,-0.51
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,2.15,       -,       -,       -,       -,       -,       -,       -,       -,2.15
 CUPIM,       -,       -,       -,-3.45,       -,       -,       -,       -,       -,       -,0.12,       -,       -,       -,       -,       -,-1.61
 CONTRAFILÉ,2.48,-2.16,-1.28,0.63,-0.85,-4.01,-2.43,-2.46,-0.69,-2.32,-1.07,-1.79,-0.1,2.83,2.65,-2.41,-0.86
 FILÉ-MIGNON,3.93,       -,       -,       -,       -,       -,-3.64,       -,       -,1.15,       -,       -,       -,0.05,       -,       -,1.34
 CHÃ DE DENTRO,4.39,2.62,-1.58,-1.26,-0.51,0.77,-2.74,-1.93,-1.01,0.91,0.33,-0.33,2.29,-0.49,1.04,0.87,-0.16
 ALCATRA,0,2.53,1.43,1.23,-2.82,-2.53,-1.16,0.34,-1.43,-2.74,0.72,-1.46,2.18,-3.03,0.41,-1.56,-0.72
 PATINHO,1.89,       -,-0.9,-0.45,0.86,       -,0.05,1.27,       -,2.19,1.14,-0.42,0.91,-0.42,-1.14,0.31,0.69
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-0.94,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.94
 LAGARTO COMUM,       -,0.79,       -,       -,-0.86,       -,       -,       -,-1.39,       -,-0.21,       -,2.57,-0.72,       -,       -,-0.41
 MÚSCULO,2.76,0.95,1.81,1.52,-0.36,       -,-0.96,       -,-1.81,3.02,-1.33,       -,0.79,-2.42,-5.58,-2.71,0.2
 PÁ,       -,2.85,-1.01,-2.58,0.32,       -,-3.31,       -,       -,       -,       -,1.4,0.06,-2.75,0.19,-4.75,-0.14
 ACÉM,0.54,-2.33,0.51,-2.14,-1.79,2.26,-3.12,-4.43,-0.66,-2.14,-0.96,0.5,-2.35,-0.72,2.07,-0.2,-1.16
 PEITO,       -,       -,       -,       -,       -,       -,-2.12,       -,       -,       -,       -,       -,-0.27,2.41,-3.59,-5.15,-2.23
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-2.43,       -,-4.24,-0.14,       -,-1.38,-7.04,-0.08,       -,       -,-2.73
 COSTELA,1.76,-0.93,-0.14,-0.45,1.8,2.87,-2.57,-0.83,1.21,-0.01,0.89,0.54,-2.66,-1.09,4.5,-2.73,0.19
 PICANHA,       -,-3.46,-4.03,       -,       -,-0.75,       -,-3.47,       -,       -,       -,       -,       -,       -,       -,       -,-3.07
 PESCADOS,2.75,0.29,0.31,0.12,0.65,0.95,4.98,-0.28,1.32,-0.1,-0.04,2.57,0.61,-1.51,0.69,-0.11,1.53
 PEIXE-ANCHOVA,       -,       -,       -,0.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.12
 PEIXE-CORVINA,0.96,       -,       -,-1.72,       -,       -,       -,       -,1.99,       -,       -,       -,       -,       -,-1.22,0.97,0.96
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.69,       -,0.69
 PEIXE-SARDINHA,       -,0.29,       -,0.06,       -,       -,       -,       -,1.5,       -,       -,       -,       -,       -,       -,       -,0.75
 CAMARÃO,7.74,1.32,       -,0.26,       -,-1.93,1.33,-1.32,0.01,-3.6,-0.31,1.08,       -,       -,0.77,-0.94,1.32
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,2.38,       -,       -,       -,       -,       -,       -,       -,       -,2.38
 PEIXE-CAÇÃO,       -,       -,       -,       -,-0.77,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.77
 PEIXE-MERLUZA,       -,       -,1.73,-0.3,-0.8,       -,       -,       -,0.11,       -,-0.01,       -,       -,       -,       -,       -,-0.3
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,-2.04,       -,       -,       -,       -,       -,       -,       -,       -,-2.04
 PEIXE-PESCADA,       -,       -,       -,       -,-0.71,       -,7.85,       -,       -,       -,       -,       -,       -,       -,0.88,-0.81,3.95
 CARANGUEJO,2.75,       -,       -,       -,       -,       -,1.91,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.27
 PEIXE-CASTANHA,       -,       -,       -,0.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.12
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-0.28,       -,       -,       -,       -,       -,       -,       -,       -,-0.28
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.51,       -,       -,-1.51
 PEIXE-SALMÃO,2.04,       -,       -,       -,-0.9,1.48,       -,0.02,-0.06,       -,       -,       -,       -,       -,       -,       -,0.02
 PEIXE-TILÁPIA,       -,-0.33,-0.12,1.49,4.21,1.87,       -,-0.31,1.81,0.43,2.2,-0.97,0.89,       -,       -,1.48,1.48
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,0.44,1.06,       -,       -,       -,-2.31,       -,0.43,-1.51,0.87,       -,0.43
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,5.68,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.68
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,0.01,8.62,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.57
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.38,       -,       -,       -,       -,6.37
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.02,       -,       -,       -,0.02
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.04,       -,       -,       -,       -,       -,-0.04
 CARNES E PEIXES INDUSTRIALIZADOS,0.75,-1.06,-0.28,0.16,-0.58,1.28,0.12,0.82,0.43,-1.03,-1.89,0.83,-1.61,-0.73,-0.34,-0.62,-0.29
 PRESUNTO,-1.04,0.13,-0.65,       -,1.45,0.79,       -,0.65,0.76,2.57,1.58,0.63,2.84,2.14,       -,-0.31,0.75
 SALSICHA,       -,1.49,       -,1.89,2.2,       -,       -,       -,       -,-0.81,       -,       -,       -,2.24,       -,       -,1.49
 LINGUIÇA,2.52,-1.54,-0.41,3,-1.78,1.77,-0.09,0.53,2.08,-1.7,-3.06,1.12,-3.27,-2.01,0.05,-1.73,-0.78
 MORTADELA,0.7,       -,1.02,-3.53,0.47,       -,       -,0.51,       -,-2.99,-0.04,       -,0.58,       -,       -,       -,-0.23
 SALAME,       -,-3.86,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.86
 BACALHAU,-1.61,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.61,       -,-1.61
 CARNE-SECA E DE SOL,1.21,       -,       -,-0.62,       -,0.59,0.24,2.08,-0.4,       -,       -,-0.59,       -,       -,-0.46,-0.08,-0.08
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-0.18,       -,       -,       -,       -,       -,       -,       -,0.03,0.21,       -,       -,       -,       -,-0.07
 AVES E OVOS,0.28,1.31,0.31,1.17,-0.69,-0.39,-0.78,-0.83,-0.07,0.77,0.87,-0.15,1.25,1.23,0.35,-0.58,0.05
 FRANGO INTEIRO,1.06,0.96,-2.98,3.22,0.6,-2.58,-0.78,-1.64,-0.85,-0.95,-0.47,0.24,-4.37,0.3,0.31,-1.74,-0.36
 FRANGO EM PEDAÇOS,-0.33,0.82,-0.18,-1.97,-2.27,-1.31,0.87,-0.01,-1.56,0.6,1.38,-1.91,0.52,0.6,-0.93,-1.69,-0.8
 OVO DE GALINHA,1.76,2.75,4.37,1.41,2.69,3.78,-2.38,0.4,4.51,3.53,1.55,3.19,5.99,3.9,1.62,3.89,2.46
 LEITES E DERIVADOS,1.57,3.43,3.61,0.94,4.27,3.31,0.12,0.96,1.28,1.84,2.07,3.25,4.99,0.74,0.25,1.05,2.85
 LEITE LONGA VIDA,2.25,6.57,5.36,-0.66,6.54,6.4,-2.31,0.86,3.31,2.48,2.5,5.44,6.02,2.55,3.22,2.91,4.96
 LEITE CONDENSADO,0.51,1.87,       -,       -,       -,       -,1.95,       -,       -,       -,       -,       -,       -,-0.72,       -,       -,1.32
 LEITE EM PÓ,1.15,       -,0.78,2.72,0.31,       -,-0.96,1.1,-0.14,1.9,2.49,0.47,1.44,-1.61,-1.06,-0.55,0.52
 QUEIJO,1.34,-1.39,3.89,0.43,3.31,1.33,1.33,1.46,1.02,1.6,1.91,0.99,6.17,-1.41,-0.54,0.57,1.97
 IOGURTE E BEBIDAS LÁCTEAS,0.68,3.68,0.59,0,-0.44,1.11,1.97,0.06,0.81,0.86,1.3,5.17,0.19,2.23,3.66,3.32,0.86
 REQUEIJÃO,2.08,       -,0.5,       -,1.61,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.48
 MANTEIGA,0.87,       -,-1.41,1.05,       -,1.5,2.74,-0.45,1.28,       -,0.7,-0.58,       -,2.72,       -,1.12,0.74
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.66,       -,       -,       -,       -,       -,       -,0.66
 PANIFICADOS,0.43,0.46,0.23,-0.24,1.11,0.87,1.1,1.12,0.32,-1.15,0,0.42,-0.03,0.74,-0.06,1.28,0.5
 BISCOITO,-0.69,-1,-0.13,0.42,1.09,2.41,0.42,3.05,1.11,-0.57,0.86,-0.16,1.13,0.58,2.17,2.62,0.54
 PÃO FRANCÊS,0.36,0.81,0.04,-0.8,1.52,0.39,1.33,0.47,0,-1.66,-0.01,0.3,0.2,0,-0.96,0.62,0.47
 PÃO DOCE,4.94,3.29,4.87,       -,-3.94,       -,       -,       -,-0.79,0.43,       -,-0.66,1.42,       -,       -,       -,-0.21
 PÃO DE FORMA,1.19,-1.6,0.87,       -,0.91,1.09,       -,       -,       -,-2.14,       -,2.36,       -,       -,       -,       -,0.23
 BOLO,-0.34,5.02,0.88,1.4,3.17,0.7,1.93,-0.39,-0.2,-1.71,-0.14,3.19,-5.52,7.95,0.09,0.96,1.51
 PÃO DE QUEIJO,       -,       -,-0.91,       -,       -,-2.34,       -,       -,       -,       -,-1.82,       -,       -,       -,       -,       -,-1.37
 ÓLEOS E GORDURAS,-2.75,-1.85,-5.9,-2.13,-2.68,-3.97,-3.69,-2.66,-0.45,-2.56,-2.41,-2.37,-2,-3.09,-2.14,0.79,-2.81
 ÓLEO DE SOJA,-6.84,-1.62,-7.63,-3.55,-4.06,-6.35,-6.98,-4.4,-0.98,-4.3,-2.7,-4.11,-3.64,-3.85,-3.11,0.93,-4.44
 AZEITE DE OLIVA,1.19,       -,       -,       -,0.54,1.3,1.99,       -,2.46,1.2,       -,2.58,1.07,1.28,       -,       -,1.12
 MARGARINA,-0.08,-2.41,0.58,-0.23,-2.06,       -,-0.71,-0.17,-0.97,-0.36,-1.08,       -,0.18,       -,0.49,0.57,-0.93
 BEBIDAS E INFUSÕES,-0.11,0.97,0.24,0.45,0.75,0.6,3.89,0.95,-0.23,-0.66,0.42,0.22,0.33,-0.11,0.82,0.47,0.68
 SUCO DE FRUTAS,-0.26,1.55,0.66,0.11,0.09,0.73,       -,1.76,       -,-1.3,1.04,-0.58,0.6,       -,       -,       -,0.18
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,1.35,-1.33,-1.14,       -,       -,       -,       -,1.01,-1.25,       -,-0.6
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,7.49,       -,       -,       -,       -,       -,       -,-0.15,3.61,       -,7.2
 CAFÉ MOÍDO,-1.13,1.99,-1.88,0.06,0.17,0.37,0.31,0.8,-1.94,-2.99,-1.47,-0.85,-0.67,-0.7,0.33,-0.54,-0.61
 CAFÉ SOLÚVEL,       -,2.58,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.58
 REFRIGERANTE E ÁGUA MINERAL,-0.34,0.56,1.07,1.26,0.45,2.07,1.11,1.54,1,-0.34,0.84,0.97,2.18,-0.09,0.7,0.91,0.61
 CERVEJA,1.2,0.98,1.53,-1.32,1.97,-0.4,0.67,-0.6,1.53,0.12,1.12,0.9,-0.14,       -,0.38,0.78,1.12
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,1.31,       -,       -,2.95,       -,       -,       -,       -,       -,       -,1.71
 VINHO,0.43,0.81,       -,       -,0.38,       -,       -,       -,       -,1.86,       -,       -,       -,       -,       -,       -,0.66
 SUCO EM PÓ,       -,-1.02,-1.15,       -,1.62,       -,       -,       -,       -,-2.76,       -,       -,-1.66,1.73,       -,       -,-0.05
 CHÁ MATE (ERVA MATE),       -,0.96,       -,       -,       -,       -,       -,       -,       -,0.97,       -,       -,0.71,       -,       -,       -,0.94
 ENLATADOS E CONSERVAS,0.14,0.39,0.15,-0.16,0.45,0.28,2.07,0.16,2.96,1.42,0.38,-0.57,0.83,2.6,-0.2,0.72,0.64
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,2.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.07
 PALMITO EM CONSERVA,       -,       -,2.2,       -,1.2,3.06,       -,       -,       -,5.06,0.54,       -,       -,       -,       -,       -,1.75
 PEPINO EM CONSERVA,       -,1.87,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.87
 SARDINHA EM CONSERVA,-0.56,-2.58,-1.43,-1.19,-1.92,0.59,0.19,-0.53,3.73,1.2,       -,-1.4,-0.48,1.08,-0.36,-0.09,-0.68
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,9.44,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.44
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.02,       -,       -,-0.08,       -,       -,       -,0.01
 AZEITONA,0.87,-0.28,-0.94,0.15,0.1,0.92,       -,0.84,3.55,-1.67,0.43,0.13,1.25,5.21,       -,       -,0.1
 MILHO-VERDE EM CONSERVA,-1.05,2.4,1.39,1.85,0.84,       -,-1.29,0.94,3.12,2.76,0.02,-0.26,1.58,2.56,0.91,2.41,1.24
 ATUM EM CONSERVA,1.5,0.01,       -,2.17,2.27,-2.2,       -,       -,0.65,1.66,       -,       -,       -,       -,       -,       -,1.41
 SAL E CONDIMENTOS,0.69,1.04,0.4,0.11,0.34,2.82,0.26,1.81,-0.32,-0.38,1.43,1.27,1.6,0.24,2.96,0.92,0.54
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,1.44,       -,       -,       -,       -,       -,       -,       -,1.44
 ATOMATADO,1.87,0.37,2.89,1.15,1.42,1.91,3.84,-1.21,1.53,-1.3,1.1,0.06,1.53,1.8,4.94,1.05,1.26
 ALHO,-0.47,       -,-1.82,-1.41,-1.01,3.68,-2.5,3.45,-4.65,-4.45,0.65,0.62,1.35,-0.94,4.29,0.39,-0.99
 SAL,1.69,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.09,0.42,1.07,0.98,1.48
 COLORAU,       -,       -,       -,       -,       -,       -,       -,-1.37,       -,       -,       -,       -,       -,       -,       -,       -,-1.37
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-0.05,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.05
 FERMENTO,       -,-1.6,       -,       -,       -,       -,       -,       -,       -,2.25,       -,       -,       -,       -,       -,       -,0.52
 MAIONESE,1.32,1.39,-0.93,3.68,2.29,3.53,1.08,3.02,       -,3.17,       -,2.8,1.53,0.17,       -,       -,1.9
 VINAGRE,       -,1.26,       -,-2.73,2.08,0.6,-0.24,       -,0.3,       -,       -,       -,       -,       -,0.24,0.01,0.88
 CALDO CONCENTRADO,       -,1.75,       -,2.69,       -,       -,       -,0.96,4.37,       -,4.32,2.98,       -,       -,       -,       -,2.73
 TEMPERO MISTO,       -,3.04,0.21,-2.42,-1.82,4.08,0.43,1.95,2.16,-0.7,1.34,2.04,2.77,1.84,0.27,3.91,-0.25
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.24,0.91,0.5,0.51,0.89,0.95,0.69,0.14,0.48,0.47,0.6,0.42,0.48,0.44,0.77,0.39,0.66
