"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49
 CUPIM,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,-0.04
 CONTRAFILÉ,2.54,-0.7,3.79,3.08,3.13,-0.78,1.55,2.66,2.27,6.3,4.74,3.72,1.21,-2.82,-1.7,0.85,2.88
 FILÉ-MIGNON,2.42,0.0,0.0,0.0,0.0,0.0,7.53,0.0,0.0,9.4,0.0,0.0,0.0,0.6,0.0,0.0,5.78
 CHÃ DE DENTRO,0.76,1.39,3.98,0.09,1.59,-3.16,0.55,2.48,2.69,4.16,1.77,3.58,0.9,-1.01,-3.89,1.34,1.7
 ALCATRA,3.02,0.46,2.52,-1.03,2.41,1.46,0.24,0.16,2.25,6.34,1.34,0.46,0.42,-1.88,1.03,2.67,2.1
 PATINHO,2.7,0.0,3.22,1.3,0.32,0.0,0.5,0.09,0.0,3.1,3.18,2.15,-0.8,-1.29,-4.38,-1.98,1.02
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84
 LAGARTO COMUM,0.0,-1.6,0.0,0.0,1.18,0.0,0.0,0.0,0.02,0.0,2.54,0.0,0.77,0.44,0.0,0.0,0.73
 MÚSCULO,3.03,2.55,1.97,1.15,-1.39,0.0,-3.05,0.0,-0.02,-1.93,0.81,0.0,0.42,-1.69,2.55,-2.7,0.22
 PÁ,0.0,0.89,3.66,2.04,1.54,0.0,1.34,0.0,0.0,0.0,0.0,3.71,3.74,-0.58,4.01,2.11,1.83
 ACÉM,-0.07,-1.24,0.73,-0.41,2.61,-3.54,-0.89,-1.13,3.17,6.86,2.67,2.91,1.32,-1.25,-1.23,0.16,1.38
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,0.0,0.0,0.0,0.0,0.0,1.84,-1.97,-0.41,-0.52,-1.09
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.8,4.65,0.0,2.58,-0.74,0.69,0.0,0.0,1.06
 COSTELA,1.23,2.0,2.81,-2.74,-4.61,-1.13,-1.35,-2.79,-1.08,6.63,-1.39,-0.12,3.02,-0.06,3.31,-0.08,0.17
 PICANHA,0.0,-1.05,-3.68,0.0,0.0,-4.79,0.0,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3
 PESCADOS,0.02,-0.24,1.22,-0.06,-0.28,-4.12,-0.24,-2.38,0.08,1.04,-1.14,1.09,1.97,1.65,-0.36,-0.37,-0.32
 PEIXE-ANCHOVA,0.0,0.0,0.0,-5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.77
 PEIXE-CORVINA,4.18,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,1.72,-0.95,2.17
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.1
 PEIXE-SARDINHA,0.0,-0.24,0.0,-6.53,0.0,0.0,0.0,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.02
 CAMARÃO,-6.63,-0.68,0.0,-0.52,0.0,-1.44,-0.7,1.7,-0.57,-5.19,-0.56,3.33,0.0,0.0,-0.45,0.33,-1.41
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.68
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03
 PEIXE-MERLUZA,0.0,0.0,-0.21,-0.2,-1.33,0.0,0.0,0.0,-0.39,0.0,-2.32,0.0,0.0,0.0,0.0,0.0,-1.09
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.21
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,2.55,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.43,1.09,0.18
 CARANGUEJO,0.02,0.0,0.0,0.0,0.0,0.0,-1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.98
 PEIXE-CASTANHA,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,1.18
 PEIXE-SALMÃO,-1.48,0.0,0.0,0.0,-2.31,0.48,0.0,-0.13,-2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.77
 PEIXE-TILÁPIA,0.0,0.02,1.63,2.4,-0.46,-7.51,0.0,-3.05,1.04,1.89,-0.16,0.33,3.33,0.0,0.0,-2.5,-0.43
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,-2.52,-0.16,0.0,0.0,0.0,-2.37,0.0,-0.56,1.78,0.54,0.0,0.12
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.21
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,-0.56,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.22
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,1.28
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,1.08
 CARNES E PEIXES INDUSTRIALIZADOS,0.39,0.57,0.51,-1.45,-1.96,0.81,-0.83,-2.76,-0.46,-3.0,0.61,-1.42,1.27,-0.95,-1.69,0.23,-1.0
 PRESUNTO,1.19,-1.28,2.26,0.0,-2.53,1.75,0.0,-0.16,-1.22,1.27,-1.13,1.07,-1.02,2.3,0.0,1.7,-0.65
 SALSICHA,0.0,0.49,0.0,-1.56,-3.06,0.0,0.0,0.0,0.0,-0.34,0.0,0.0,0.0,-1.81,0.0,0.0,-1.71
 LINGUIÇA,0.83,2.54,0.29,0.57,-1.37,0.55,-0.71,-5.12,1.12,-4.56,0.66,-1.88,2.75,-1.27,-2.28,-0.39,-0.78
 MORTADELA,-4.64,0.0,1.4,-1.61,-3.18,0.0,0.0,-1.78,0.0,-4.32,2.08,0.0,-2.08,0.0,0.0,0.0,-2.65
 SALAME,0.0,-2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7
 BACALHAU,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.31,0.0,0.99
 CARNE-SECA E DE SOL,1.26,0.0,0.0,-2.16,0.0,0.37,-0.9,2.03,-1.21,0.0,0.0,-2.26,0.0,0.0,-0.88,0.31,-0.93
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,1.01,0.0,0.0,0.0,0.0,-1.4
 AVES E OVOS,0.05,1.25,0.63,0.51,0.31,-0.18,1.04,-1.41,0.15,1.62,1.44,4.12,1.2,1.66,0.3,0.07,0.53
 FRANGO INTEIRO,-3.57,2.72,1.43,0.27,0.59,-1.39,2.01,-1.46,-0.29,3.77,2.76,6.41,4.81,3.1,0.54,1.31,0.81
 FRANGO EM PEDAÇOS,0.4,2.02,2.0,1.74,-0.04,1.94,-0.54,0.29,2.71,2.01,1.2,4.26,1.35,-0.84,2.58,0.72,1.02
 OVO DE GALINHA,0.68,-1.81,-2.79,-0.7,1.04,-1.16,-0.59,-2.81,-3.94,-2.06,-0.18,0.51,-1.33,-0.42,-2.84,-3.24,-0.92
 LEITES E DERIVADOS,0.17,-1.52,-0.88,-1.1,0.9,-1.68,-1.03,-1.05,-1.09,-0.37,-1.31,-1.45,-0.16,-1.16,-0.51,-0.61,-0.29
 LEITE LONGA VIDA,1.85,-2.19,-1.46,-2.05,0.61,-4.05,-0.57,-1.7,-4.27,-0.42,0.2,-3.92,-0.76,-2.84,2.94,-0.88,-0.58
 LEITE CONDENSADO,-0.62,-1.76,0.0,0.0,0.0,0.0,-3.47,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,0.0,0.0,-1.72
 LEITE EM PÓ,0.17,0.0,-1.33,-3.53,-0.02,0.0,-1.93,-1.78,-0.63,-1.88,-1.42,-0.42,-0.11,0.03,-1.41,-2.34,-1.27
 QUEIJO,-1.22,-0.48,-0.34,0.46,1.43,-1.22,-0.85,0.97,0.87,-0.85,-4.31,0.71,1.22,-2.46,-3.0,0.88,0.16
 IOGURTE E BEBIDAS LÁCTEAS,1.29,-1.58,0.04,0.32,1.77,4.63,1.23,1.22,1.05,1.91,0.2,-0.25,-0.26,1.6,0.24,-0.65,0.94
 REQUEIJÃO,-2.65,0.0,-1.14,0.0,-0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.03
 MANTEIGA,0.58,0.0,0.24,-1.36,0.0,-2.12,1.12,-2.5,-1.02,0.0,0.76,2.25,0.0,0.66,0.0,1.04,-0.2
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.16
 PANIFICADOS,0.27,-0.58,-0.64,0.04,-0.07,0.23,1.08,0.13,0.38,-1.03,0.12,0.55,-0.53,-0.18,-1.31,-1.2,-0.13
 BISCOITO,-0.87,-0.86,-0.91,-1.19,-0.31,-1.72,2.78,0.78,-1.12,-2.17,-0.47,0.52,-1.12,-0.85,-0.54,1.79,-0.58
 PÃO FRANCÊS,0.66,-0.14,-0.23,0.8,-0.34,1.19,0.37,0.31,1.03,-0.77,0.01,0.45,-0.43,0.01,-2.16,-3.08,0.01
 PÃO DOCE,-1.79,1.22,-0.73,0.0,-1.8,0.0,0.0,0.0,3.2,-3.24,0.0,-0.72,0.11,0.0,0.0,0.0,-1.24
 PÃO DE FORMA,0.06,0.03,-1.19,0.0,2.28,-3.9,0.0,0.0,0.0,3.25,0.0,1.88,0.0,0.0,0.0,0.0,1.19
 BOLO,5.05,-4.35,-1.64,-0.56,0.73,5.13,0.33,-3.84,0.32,-0.72,0.01,1.03,0.0,0.11,1.99,2.26,0.15
 PÃO DE QUEIJO,0.0,0.0,-0.88,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.07
 ÓLEOS E GORDURAS,3.76,-3.1,1.94,0.74,0.91,4.74,4.73,-1.17,0.48,1.9,0.22,2.33,2.13,1.82,-1.42,-0.7,1.34
 ÓLEO DE SOJA,3.45,-5.34,2.38,1.4,-0.77,1.72,3.34,-2.44,0.55,1.32,0.56,1.16,0.41,1.61,-0.95,-1.54,0.32
 AZEITE DE OLIVA,7.05,0.0,0.0,0.0,5.2,8.63,8.83,0.0,3.35,5.53,0.0,4.27,7.01,2.63,0.0,0.0,6.05
 MARGARINA,-0.12,0.55,0.65,0.05,-0.63,0.0,2.58,0.4,-1.83,0.13,-0.97,0.0,0.85,0.0,-2.51,0.27,-0.09
 BEBIDAS E INFUSÕES,-0.48,-1.52,0.1,-0.82,0.75,-1.29,0.07,-0.21,0.06,0.92,0.58,0.21,-0.11,0.01,-1.53,0.78,0.07
 SUCO DE FRUTAS,0.39,1.33,2.21,-0.97,1.93,-0.8,0.0,-0.21,0.0,1.39,0.81,0.6,1.97,0.0,0.0,0.0,1.19
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,0.28,-1.4,0.15,0.0,0.0,0.0,0.0,2.39,-2.25,0.0,-0.32
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,4.41,-1.72,0.0,1.67
 CAFÉ MOÍDO,-2.44,0.42,-0.24,-0.61,0.74,-4.42,-0.57,-0.32,-0.08,0.68,-1.59,-1.98,-2.59,-1.35,-2.72,0.59,-0.37
 CAFÉ SOLÚVEL,0.0,-5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.93
 REFRIGERANTE E ÁGUA MINERAL,-1.21,-0.6,0.05,-1.6,0.97,-0.77,2.38,0.13,-2.05,1.84,0.86,1.85,-0.58,-0.59,-0.18,0.13,0.22
 CERVEJA,0.73,-1.82,0.02,1.23,0.57,0.33,1.15,-0.77,2.88,0.66,1.49,0.81,1.87,0.0,0.22,1.78,0.49
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,-4.29,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,-3.11
 VINHO,2.07,-2.37,0.0,0.0,-2.77,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,-0.97
 SUCO EM PÓ,0.0,-5.66,-0.36,0.0,1.77,0.0,0.0,0.0,0.0,-0.78,0.0,0.0,0.14,0.49,0.0,0.0,-0.1
 CHÁ MATE (ERVA MATE),0.0,-2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.63,0.0,0.0,-0.03,0.0,0.0,0.0,-2.19
 ENLATADOS E CONSERVAS,-1.18,-0.84,-0.05,-0.7,1.1,-1.0,0.11,0.34,-0.68,0.06,1.63,0.45,-0.9,-0.82,1.32,-1.42,0.13
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
 PALMITO EM CONSERVA,0.0,0.0,2.25,0.0,1.99,-0.63,0.0,0.0,0.0,0.56,1.67,0.0,0.0,0.0,0.0,0.0,1.72
 PEPINO EM CONSERVA,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
 SARDINHA EM CONSERVA,0.39,-0.27,0.55,-1.07,-1.84,-2.74,-1.43,-0.42,0.8,1.28,0.0,-0.49,-0.86,-0.61,0.95,-0.91,-0.57
 SALSICHA EM CONSERVA,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
