"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MASSA SEMIPREPARADA,1.62,-1.21,0.04,0.0,1.7,0.67,-1.52,0.67,0.04,4.48,0.42,0.34,0.96,0.0,0.0,0.0,1.13
 MACARRÃO INSTANTÂNEO,-0.29,0.0,0.0,0.0,0.6,2.04,0.0,0.0,0.0,0.31,0.0,2.58,2.38,4.2,0.0,0.0,0.63
" TUBÉRCULOS, RAÍZES E LEGUMES",-1.43,4.91,-3.81,1.75,-2.44,0.12,-0.42,4.62,1.27,-0.25,0.4,0.57,-1.41,0.88,3.85,1.63,-0.43
 BATATA-DOCE,3.44,0.0,0.0,2.33,-4.29,0.0,0.0,0.0,0.29,0.0,-1.09,0.0,0.0,-1.69,0.0,0.0,-1.23
 BATATA-INGLESA,-5.46,-0.05,-10.11,0.76,-2.95,-9.79,6.97,7.94,4.09,-5.23,-4.18,5.52,-1.67,6.4,3.08,1.07,-3.03
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,-3.0,-1.85
 MANDIOCA (AIPIM),0.0,0.0,-4.88,0.2,0.0,3.2,0.0,0.0,-1.71,0.0,0.0,0.0,-1.97,1.45,0.0,0.0,-1.88
 ABOBRINHA,0.0,0.0,0.0,0.0,-22.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.83
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.57,0.0,0.0,0.0,0.0,0.0,0.0,-5.57
 PIMENTÃO,0.0,0.0,0.0,0.0,2.51,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01
 TOMATE,-2.18,8.79,-3.4,-4.65,-4.24,-0.62,-4.01,4.78,4.52,5.24,2.27,-0.94,-0.67,-0.86,4.96,3.41,-0.31
 CEBOLA,0.65,5.86,-1.7,6.11,4.18,3.19,0.5,2.16,-2.32,-2.88,-0.34,-2.71,-2.62,1.43,2.3,2.33,1.84
 CENOURA,5.64,8.47,12.34,9.79,3.04,5.58,0.49,3.48,-1.6,9.25,4.41,0.41,0.0,0.0,0.0,-0.23,5.2
 AÇÚCARES E DERIVADOS,0.45,0.3,-1.58,-0.95,0.37,0.33,0.31,0.41,0.24,1.61,-0.42,-1.02,-0.16,-1.65,1.79,1.27,0.21
 AÇÚCAR REFINADO,2.2,-0.96,0.0,4.62,0.62,2.53,0.94,2.11,4.05,5.68,0.0,0.0,0.0,-0.69,0.8,0.0,1.58
 AÇÚCAR CRISTAL,0.0,2.11,-2.77,-2.17,0.0,1.3,-0.42,-0.6,-0.17,4.39,-1.4,-1.82,-0.46,-1.65,4.14,1.59,-0.51
 BALAS,0.0,-1.94,0.0,0.0,0.0,0.04,0.0,0.0,0.0,4.61,0.35,0.0,3.18,0.0,0.0,0.0,1.07
 CHOCOLATE EM BARRA E BOMBOM,-3.3,-0.3,-1.34,-2.12,2.09,-1.78,1.23,2.8,-1.09,0.5,-0.18,-0.72,2.0,-1.51,0.16,2.52,0.64
 SORVETE,-0.44,1.57,-1.92,1.33,-0.5,0.88,-0.01,-0.21,-0.01,0.05,0.34,2.46,-1.19,0.0,0.0,0.16,-0.19
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.25,0.07,1.27,-1.13,-1.92,1.65,0.7,-1.37,-0.17,-1.03,0.46,-1.53,-0.92,-2.69,-0.67,-0.74,-0.58
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,1.85
 HORTALIÇAS E VERDURAS,-6.5,-2.32,-2.83,0.84,-1.35,-4.6,-0.97,0.29,1.29,-2.53,1.08,-2.03,-0.29,1.32,0.86,-1.87,-1.81
 ALFACE,-4.95,-5.18,-2.07,6.84,1.02,-5.34,-1.22,-1.75,-0.39,-3.17,-0.19,-4.04,-2.44,-2.7,-1.08,2.68,-1.06
 COENTRO,0.0,0.0,0.0,-2.31,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,-6.6,-0.87
 COUVE,-1.71,0.0,-3.55,0.0,-4.48,0.0,0.0,0.0,0.0,0.0,0.0,-1.84,0.0,4.74,0.0,3.6,-3.55
 COUVE-FLOR,-10.74,0.0,0.0,0.0,0.0,-1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.06
 REPOLHO,0.0,6.49,0.0,0.0,0.88,0.0,0.0,0.0,6.81,0.23,7.36,0.0,4.11,0.0,5.29,0.0,2.9
 CHEIRO-VERDE,-5.74,3.48,-2.8,-4.56,-4.72,-4.95,-0.62,0.92,1.01,-5.28,-0.22,-1.06,2.96,3.0,-1.08,0.0,-2.16
 BRÓCOLIS,-10.03,-3.32,-6.22,0.0,-6.98,-3.64,-2.07,0.0,0.0,-0.68,0.0,1.71,0.0,0.0,0.0,0.0,-5.54
 FRUTAS,3.65,2.88,4.05,0.13,2.35,1.52,0.13,-3.19,-0.84,3.45,-0.19,1.74,2.07,0.66,-1.39,-1.65,1.91
 BANANA-DA-TERRA,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,-0.11,0.0,0.0,-3.19,0.0,-0.01,0.0,0.0,0.12
 ABACAXI,0.95,3.01,0.0,-0.44,0.0,0.0,4.64,0.0,0.0,0.0,-0.75,5.16,5.71,0.0,0.0,-2.03,1.63
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,3.82,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,0.0,0.0,3.0
 BANANA-D'ÁGUA,6.02,-2.8,15.96,0.0,2.65,2.75,0.0,0.0,0.0,12.16,0.0,0.0,2.96,0.0,-2.75,0.0,4.3
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,6.04,0.0,0.0,0.0,1.42
 BANANA-PRATA,9.64,1.82,12.15,0.34,4.75,6.18,-2.12,-2.87,0.76,5.62,1.72,3.55,0.0,2.76,2.3,-2.85,4.44
 LARANJA-BAÍA,0.0,-2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.72
 LARANJA-LIMA,0.0,0.0,-1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.84
 LIMÃO,13.73,0.0,0.0,0.0,19.15,14.04,0.0,0.0,0.0,0.0,19.39,12.57,0.0,7.75,0.0,0.0,17.66
 MAÇÃ,-1.39,1.06,0.78,-6.35,2.82,-2.61,-0.89,-0.33,-0.2,-0.01,3.34,-0.58,-0.88,-0.78,-3.41,-0.09,0.36
 MAMÃO,5.91,6.06,5.81,6.49,1.33,3.99,0.0,0.74,-2.56,5.6,3.54,7.74,4.45,-0.4,0.0,-2.43,3.25
 MANGA,-2.59,-9.02,-5.04,0.0,-2.39,-3.7,0.0,0.2,-1.25,0.18,0.0,2.04,0.0,0.0,0.0,-1.49,-2.65
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.69,-4.65,0.0,0.0,0.0,0.0,0.0,0.0,-2.14,-4.56
 MELANCIA,0.0,0.0,-4.24,3.78,0.0,3.4,-2.7,0.0,-2.21,1.94,-10.01,0.0,-3.68,0.0,-4.17,0.0,-2.16
 MELÃO,-5.52,0.0,0.0,1.16,0.0,-9.26,1.98,0.0,0.0,-1.35,0.0,0.0,0.0,0.0,-6.02,0.0,-3.5
 PERA,0.0,0.0,0.0,0.0,8.49,0.0,0.0,0.0,0.0,0.0,-1.14,2.47,0.0,0.0,0.0,0.0,7.35
 TANGERINA,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,4.03,0.0,0.0,0.0,0.0,0.0,0.0,1.8
 UVA,1.67,-2.05,0.3,1.65,2.89,0.84,0.86,-3.0,-0.64,2.58,-2.88,-1.9,1.92,-0.09,-0.21,1.4,0.93
 LARANJA-PERA,0.11,0.0,-3.9,-1.16,-2.42,1.54,4.68,-1.58,-1.49,-2.3,-3.22,-2.17,2.8,0.31,1.66,-3.98,-1.55
 MORANGO,0.0,16.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.07
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,1.86,-14.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.81,-8.14
 CARNES,-4.33,-1.55,-1.08,-0.45,-2.32,-2.91,-2.98,-1.95,-1.13,-2.13,-1.86,-2.47,-0.1,-1.06,-4.54,-2.5,-2.14
 FÍGADO,0.0,0.0,0.0,-1.61,0.0,0.0,-2.06,-3.51,-0.46,0.0,0.0,0.0,0.0,0.0,0.18,0.0,-1.29
 CARNE DE PORCO,-3.9,0.25,0.67,-3.73,-1.8,-0.24,-7.23,1.73,-5.01,-1.91,-2.17,-0.68,0.87,-1.5,-8.07,-0.08,-1.44
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44
 CUPIM,0.0,0.0,0.0,-2.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.0,0.0,0.0,0.0,0.0,-1.42
 CONTRAFILÉ,-4.55,-2.37,-2.94,2.61,-1.36,-4.69,-3.39,-5.63,-1.44,-3.5,-1.87,-5.34,2.94,1.6,-5.59,-0.56,-2.44
 FILÉ-MIGNON,-1.33,0.0,0.0,0.0,0.0,0.0,-7.11,0.0,0.0,-1.03,0.0,0.0,0.0,-3.22,0.0,0.0,-2.34
 CHÃ DE DENTRO,1.19,-1.06,-0.65,-0.25,-2.39,-2.39,-2.54,-1.44,0.4,0.11,-0.09,-3.41,0.03,-0.99,-4.92,-1.89,-1.27
 ALCATRA,-7.49,1.09,-3.79,-2.81,-5.36,-4.07,-3.0,-5.2,-0.98,-1.93,-2.3,-4.57,4.57,-2.5,-0.96,-2.04,-3.71
 PATINHO,0.51,0.0,-3.85,-0.34,-3.16,0.0,-3.03,-1.26,0.0,-4.3,-0.32,-6.12,0.67,-1.17,0.0,-2.71,-2.66
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.29
 LAGARTO COMUM,0.0,2.19,0.0,0.0,-1.29,0.0,0.0,0.0,-1.46,0.0,-1.08,0.0,0.18,-2.19,0.0,0.0,-0.74
 MÚSCULO,-0.3,-0.12,-0.94,-1.58,-2.19,0.0,-1.75,0.0,-0.57,-3.73,-2.77,0.0,-4.26,-2.9,-4.55,-2.02,-1.64
 PÁ,0.0,0.5,-1.68,0.33,-0.27,0.0,-4.32,0.0,0.0,0.0,0.0,0.58,-0.33,-3.11,-6.28,-0.86,-0.92
 ACÉM,-4.91,-1.28,0.18,-0.28,-3.65,-3.67,-2.85,-1.72,-0.19,-1.37,-2.79,1.15,-1.63,-0.28,-6.96,-3.33,-2.47
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-2.08,0.0,0.0,0.0,0.0,0.0,-1.96,-4.56,-3.55,-0.95,-2.24
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,-0.68,0.0,-1.55,-2.0,0.0,-3.71,-2.36,-1.06,0.0,0.0,-1.62
 COSTELA,-3.69,-4.86,0.55,0.83,-0.55,-3.58,-2.24,-1.98,-1.18,-1.75,-2.23,-0.52,-1.77,-3.24,-5.42,-4.65,-2.24
 PICANHA,0.0,-1.73,-0.37,0.0,0.0,-2.68,0.0,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.45
 PESCADOS,0.85,-0.13,0.65,-0.13,-1.65,1.05,-0.51,-0.24,-0.92,1.93,1.28,-2.02,-3.89,0.41,-1.86,0.13,-0.58
 PEIXE-ANCHOVA,0.0,0.0,0.0,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13
 PEIXE-CORVINA,0.85,0.0,0.0,0.33,0.0,0.0,0.0,0.0,-1.32,0.0,0.0,0.0,0.0,0.0,-1.73,-0.48,-0.36
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.86,0.0,-1.86
 PEIXE-SARDINHA,0.0,-0.13,0.0,-0.94,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15
 CAMARÃO,1.99,-0.19,0.0,-0.66,0.0,0.59,1.59,2.69,-0.99,2.01,0.54,-2.21,0.0,0.0,-2.02,0.12,0.41
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.34
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,-0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.85
 PEIXE-MERLUZA,0.0,0.0,1.21,3.63,-0.22,0.0,0.0,0.0,1.1,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.63
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,-3.37,0.0,-3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,-0.65,-1.96
 CARANGUEJO,0.85,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36
 PEIXE-CASTANHA,0.0,0.0,0.0,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.28
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.41
 PEIXE-SALMÃO,-0.33,0.0,0.0,0.0,-0.68,3.19,0.0,-0.59,-2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.59
 PEIXE-TILÁPIA,0.0,-0.1,0.48,-1.37,-2.65,0.43,0.0,-0.55,-0.53,1.91,1.16,-0.51,-3.14,0.0,0.0,1.43,-0.66
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,1.94,3.57,0.0,0.0,0.0,0.83,0.0,-4.65,0.41,-4.6,0.0,-0.91
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,-0.27,-3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.02
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.14,0.0,0.0,0.0,0.0,-3.14
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.06,0.0,0.0,0.0,-5.06
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,1.28
 CARNES E PEIXES INDUSTRIALIZADOS,0.72,-0.75,-1.68,-1.83,-1.53,-0.26,-2.99,-1.04,-0.56,0.11,-0.72,0.25,0.32,-1.76,-0.67,-2.75,-0.99
 PRESUNTO,1.49,0.35,0.96,0.0,-0.34,1.42,0.0,-2.06,1.3,0.67,2.91,-0.46,-0.05,0.36,0.0,2.44,0.4
 SALSICHA,0.0,-0.14,0.0,-0.41,-0.38,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,-3.8,0.0,0.0,-0.44
 LINGUIÇA,-0.29,-1.52,-2.28,-2.1,-2.45,-0.52,0.36,-0.16,-1.74,0.17,-0.5,0.62,1.41,-1.55,-0.99,-3.97,-1.48
 MORTADELA,1.67,0.0,-1.82,-2.29,0.83,0.0,0.0,-2.06,0.0,0.11,-1.84,0.0,-3.86,0.0,0.0,0.0,-0.03
 SALAME,0.0,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57
 BACALHAU,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,0.0,2.43
 CARNE-SECA E DE SOL,-0.1,0.0,0.0,-1.95,0.0,-1.63,-4.83,-2.21,-0.19,0.0,0.0,-0.79,0.0,0.0,-2.05,-2.95,-1.68
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.34,-0.99,0.0,0.0,0.0,0.0,-2.72
 AVES E OVOS,-1.64,-0.97,-2.27,-2.61,-1.81,-2.91,-1.87,-1.32,-1.19,-3.09,-2.3,-3.84,-1.22,-2.39,-2.14,-1.31,-1.92
 FRANGO INTEIRO,-2.12,-1.14,-0.82,-3.77,-2.35,-4.63,-2.32,-1.93,-1.59,-3.73,-1.48,-2.27,1.46,-2.31,-2.6,-0.4,-2.27
 FRANGO EM PEDAÇOS,-2.17,-1.32,-2.31,-5.72,-2.46,-5.37,-2.24,-2.05,-2.5,-3.6,-3.31,-6.03,-3.63,-4.4,-0.14,-2.34,-2.64
 OVO DE GALINHA,0.02,0.0,-3.31,3.66,0.19,2.25,0.0,0.8,1.89,-0.76,-0.71,-1.45,1.35,-1.49,-1.74,-0.98,0.01
 LEITES E DERIVADOS,-0.35,-1.01,-1.85,0.93,-0.77,-1.42,-1.07,-2.46,-1.94,-0.4,-0.07,-2.39,-0.5,0.28,1.18,-0.66,-0.89
 LEITE LONGA VIDA,-1.15,-1.88,-1.81,-1.87,-2.38,-2.2,-0.89,-3.49,-2.57,-0.16,-0.99,-4.08,-0.13,0.23,4.04,0.65,-1.86
 LEITE CONDENSADO,-2.61,-0.61,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,-1.19
 LEITE EM PÓ,-0.26,0.0,-1.29,2.35,-0.96,0.0,-1.04,-2.19,-1.35,3.46,-1.49,-0.88,-2.39,-0.55,0.09,-1.25,-0.48
 QUEIJO,0.42,-0.41,-3.71,0.58,1.64,-1.97,-4.15,-2.92,-3.16,-1.07,1.74,-1.11,-0.29,1.26,1.64,-1.66,-0.2
 IOGURTE E BEBIDAS LÁCTEAS,-1.19,1.17,0.49,2.18,-0.57,3.39,0.67,1.18,0.27,-1.99,-0.01,-0.66,-1.36,1.19,1.23,-0.2,-0.02
 REQUEIJÃO,1.53,0.0,0.49,0.0,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
 MANTEIGA,1.87,0.0,-0.13,1.5,0.0,-1.4,-0.12,2.01,-0.3,0.0,-0.34,-0.34,0.0,1.66,0.0,0.92,0.26
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.01
 PANIFICADOS,-0.62,-0.26,0.0,0.44,0.97,0.2,0.35,1.16,-1.0,1.01,-0.73,-0.05,-1.16,0.56,0.75,-0.93,0.26
 BISCOITO,0.25,-0.58,-0.45,1.69,1.36,-1.24,0.94,1.39,0.03,1.42,0.87,1.38,-5.54,1.43,0.15,0.58,0.57
 PÃO FRANCÊS,-0.87,-0.34,0.44,0.22,1.19,-0.05,0.34,1.49,-1.97,2.2,-0.62,-0.33,1.2,0.15,1.51,-1.39,0.33
 PÃO DOCE,-0.02,3.24,0.65,0.0,1.36,0.0,0.0,0.0,4.63,-1.45,0.0,-2.21,-2.74,0.0,0.0,0.0,0.95
 PÃO DE FORMA,-0.74,-0.47,-2.06,0.0,-0.42,1.84,0.0,0.0,0.0,0.79,0.0,-2.49,0.0,0.0,0.0,0.0,-0.39
 BOLO,-2.99,-0.98,-0.91,-3.81,0.11,2.77,-1.84,-2.6,-1.01,-1.45,0.16,0.02,-2.5,1.68,-2.21,-4.23,-0.82
 PÃO DE QUEIJO,0.0,0.0,0.63,0.0,0.0,1.87,0.0,0.0,0.0,0.0,-5.6,0.0,0.0,0.0,0.0,0.0,-0.97
 ÓLEOS E GORDURAS,0.67,-8.28,-2.29,-2.55,-2.48,-0.34,-0.74,-1.35,-3.35,-0.66,0.44,-0.21,-0.26,-5.23,-5.02,-0.71,-2.14
 ÓLEO DE SOJA,-2.94,-12.54,-2.29,-5.32,-6.58,-1.67,-2.47,-1.49,-7.34,-1.68,0.62,-0.7,-0.37,-6.71,-7.34,-3.09,-4.77
 AZEITE DE OLIVA,5.12,0.0,0.0,0.0,4.11,1.8,1.71,0.0,4.1,2.96,0.0,0.8,-0.43,1.19,0.0,0.0,3.61
 MARGARINA,0.47,0.11,-2.29,0.61,0.17,0.0,0.15,-1.16,0.06,-0.9,-0.19,0.0,0.22,0.0,0.29,2.09,-0.13
 BEBIDAS E INFUSÕES,0.44,0.07,0.19,1.29,0.46,-0.54,-0.74,-0.63,-0.22,0.25,-0.17,-0.12,1.1,-1.03,1.63,0.54,0.21
 SUCO DE FRUTAS,0.02,-0.32,0.45,1.07,3.69,0.58,0.0,0.98,0.0,-3.39,0.6,-4.11,1.73,0.0,0.0,0.0,1.15
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,0.48,2.09,3.04,0.0,0.0,0.0,0.0,-0.75,1.97,0.0,2.06
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-3.73,0.0,0.0,0.0,0.0,0.0,0.0,-1.91,7.61,0.0,-3.16
 CAFÉ MOÍDO,-1.64,-4.71,0.03,-1.66,-2.06,-1.74,2.11,-2.28,-1.78,-1.99,-1.08,-0.43,-1.03,-2.77,-0.58,0.01,-1.58
 CAFÉ SOLÚVEL,0.0,-4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.44
 REFRIGERANTE E ÁGUA MINERAL,2.5,0.97,1.05,2.76,0.59,-0.65,0.4,0.22,0.79,2.23,-0.66,-0.04,-0.32,0.64,2.48,0.95,1.06
 CERVEJA,0.01,1.42,-0.38,0.64,1.55,-0.05,-0.18,-1.03,0.03,0.25,0.55,1.12,4.59,0.0,0.64,0.46,0.74
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,3.18,0.0,0.0,-0.43,0.0,0.0,0.0,0.0,0.0,0.0,2.29
 VINHO,1.61,1.82,0.0,0.0,2.2,0.0,0.0,0.0,0.0,-0.95,0.0,0.0,0.0,0.0,0.0,0.0,1.6
 SUCO EM PÓ,0.0,-2.37,-0.52,0.0,-0.6,0.0,0.0,0.0,0.0,2.86,0.0,0.0,1.4,0.16,0.0,0.0,-0.25
 CHÁ MATE (ERVA MATE),0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,-0.6,0.0,0.0,0.0,1.87
 ENLATADOS E CONSERVAS,1.24,1.72,-0.73,1.74,-0.46,1.5,-2.89,1.87,0.78,-1.62,0.29,-2.1,-0.88,-0.62,-1.68,1.28,-0.09
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,-2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.89
 PALMITO EM CONSERVA,0.0,0.0,0.95,0.0,0.64,2.73,0.0,0.0,0.0,-1.22,-0.26,0.0,0.0,0.0,0.0,0.0,0.45
