"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 FARINHA DE TRIGO,       -,-0.35,-2.02,       -,2.64,       -,       -,       -,-2.62,0.69,-0.74,0.17,1.03,       -,       -,       -,0.42
 FARINHA DE MANDIOCA,-1.34,       -,-0.64,0.7,-0.83,0.79,-0.24,4.55,1.01,       -,-4.48,-1.49,       -,-0.73,1.68,1.25,0.22
 MASSA SEMIPREPARADA,1.38,1.35,-1.6,       -,2.66,0.19,0.63,1.97,0,-0.15,-0.71,0.59,-0.73,       -,       -,       -,1.1
 MACARRÃO INSTANTÂNEO,-3.14,       -,       -,       -,1.02,0.38,       -,       -,       -,1.64,       -,0.84,0.08,-0.21,       -,       -,0.11
" TUBÉRCULOS, RAÍZES E LEGUMES",9.68,2.67,12.62,4.99,7.6,7.51,3.6,2.25,8.57,11.81,13.83,7.47,10.08,-1.61,7.07,7.24,8.09
 BATATA-DOCE,-8.15,       -,       -,20.64,-8.98,       -,       -,       -,1.59,       -,-5.64,       -,       -,-2.48,       -,       -,-3.44
 BATATA-INGLESA,26.77,10.07,29.15,12.41,16.63,25.02,10.79,14.81,16.96,15.27,25.18,22.05,27.77,14.16,13.02,20.95,19.09
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-11.88,       -,       -,       -,15.59,7.9
 MANDIOCA (AIPIM),       -,       -,1.73,-7.79,       -,-3.96,       -,       -,-4.25,       -,       -,       -,4.82,-1.09,       -,       -,-1.85
 ABOBRINHA,       -,       -,       -,       -,16.25,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,16.25
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,35.32,       -,       -,       -,       -,       -,       -,35.32
 PIMENTÃO,       -,       -,       -,       -,2.44,5.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.72
 TOMATE,-1.27,0.48,6.65,-16.82,8.88,5.01,-1.32,-16.95,2.34,12.03,16.75,3.29,10.23,-3.3,2.86,-2.42,4.83
 CEBOLA,7.43,-1.55,-0.18,17.61,3.88,10.31,9.92,12.46,12.5,-0.61,7.41,2.68,-0.9,-5.42,10.62,10.38,5.11
 CENOURA,3.3,3.71,13.24,1.87,-1.09,-0.04,2.62,1.3,13.69,6.61,4.77,-0.6,       -,       -,       -,0.75,4.4
 AÇÚCARES E DERIVADOS,1.25,0.96,-0.22,-2.31,0.51,-0.31,-0.1,0.98,0.08,0.93,0.57,-1.12,1.32,-0.18,3.23,-0.91,0.46
 AÇÚCAR REFINADO,1.61,-0.36,       -,-7.32,2.3,1.02,-0.54,0.62,1.59,3.12,       -,       -,       -,-1.43,2.59,       -,1.6
 AÇÚCAR CRISTAL,       -,4.57,0.09,-3.16,       -,-0.29,0.7,2.51,-1.25,0.32,1.51,-0.92,1.34,-0.12,4.57,-2.28,0.34
 BALAS,       -,-1.25,       -,       -,       -,-0.38,       -,       -,       -,3.83,-0.97,       -,2.76,       -,       -,       -,0.92
 CHOCOLATE EM BARRA E BOMBOM,5.26,2.44,-2.22,-2.36,0.54,0.04,0.46,-2.82,-1.36,0.76,-0.23,-1.94,-0.25,1.56,2.33,-1.28,0.63
 SORVETE,0.24,-2.17,0.51,-0.2,-0.29,-0.45,-1.79,1.15,2.32,-3.04,-0.07,-2.62,-0.3,       -,       -,1.38,-0.56
 CHOCOLATE E ACHOCOLATADO EM PÓ,-1.35,2.68,0.49,0.8,-0.39,-1.49,1.24,0.71,1.91,3.17,0.23,0.39,4.49,-0.41,2.02,0.66,0.48
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,2.56,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.56
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.42,0.42
 HORTALIÇAS E VERDURAS,5.19,6.28,7.19,2.86,2.43,1.81,-1.17,1.33,2.86,4.25,8.32,3.9,6.2,1.94,-0.77,4.16,3.7
 ALFACE,3.84,6.25,9.67,-0.48,0.45,4.89,2.03,0.48,5.86,1.26,6.49,6.75,2.91,2.29,0.23,0.15,2.97
 COENTRO,       -,       -,       -,5.51,       -,       -,       -,       -,0.8,       -,       -,       -,       -,       -,       -,9.57,3.16
 COUVE,8.78,       -,1.45,       -,3.12,       -,       -,       -,       -,       -,       -,1.11,       -,0,       -,-1.92,3.47
 COUVE-FLOR,2,       -,       -,       -,       -,-5.25,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.76
 REPOLHO,       -,15.47,       -,       -,12.19,       -,       -,       -,1.47,9.52,18.35,       -,29.77,       -,0.04,       -,11.88
 CHEIRO-VERDE,7.98,-2.02,4.33,3.25,-0.02,2.08,-0.77,1.58,3.85,1.07,4.49,3.42,-1.59,2.28,-1.54,       -,1.27
 BRÓCOLIS,4.9,5.19,4.13,       -,7.66,-3.38,-5.47,       -,       -,11.96,       -,0.3,       -,       -,       -,       -,5.99
 FRUTAS,2.38,0.11,7.12,4.36,2.58,4.05,2.03,2.23,5.9,1.28,3.41,3,6.73,8.25,6,7.01,3.37
 BANANA-DA-TERRA,       -,       -,       -,0.66,       -,       -,       -,       -,4.14,       -,       -,-3.63,       -,12.09,       -,       -,2.79
 ABACAXI,8.73,4.15,       -,8.77,       -,       -,13.72,       -,       -,       -,4.44,2.14,7.2,       -,       -,12.02,7.33
 ABACATE,       -,       -,       -,       -,       -,       -,7.25,       -,       -,       -,       -,       -,       -,19.98,       -,       -,9.54
 BANANA-D'ÁGUA,-0.71,-10.17,-9.94,       -,1.66,5.01,       -,       -,       -,-9.7,       -,       -,6.3,       -,0.39,       -,-2.15
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.83,       -,5.21,       -,       -,       -,4.91
 BANANA-PRATA,5.58,5.17,15.81,8.26,5.64,15.25,2.82,-0.05,8.4,2.25,11.6,13.31,       -,25.32,7.07,10.04,8.24
 LARANJA-BAÍA,       -,22.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,22.15
 LARANJA-LIMA,       -,       -,1.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.84
 LIMÃO,-20.4,       -,       -,       -,-20.2,-19.69,       -,       -,       -,       -,-25.79,-22.14,       -,-9,       -,       -,-20.48
 MAÇÃ,3.19,3.85,5.66,6.91,1.27,-0.3,0.08,-1.22,3.16,0.42,2.8,-1.15,2.41,1.75,6.83,0.79,2.75
 MAMÃO,-3.7,-2.15,4.52,-7.49,-0.01,0.72,       -,-10.72,-2.7,1.65,-2.25,7.94,3.98,-1.93,       -,3.45,-0.44
 MANGA,-6.94,-12.05,-8.8,       -,-8,-11.88,       -,-3.86,5.14,-3.19,       -,5.39,       -,       -,       -,-2.13,-6.59
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,27.45,17.71,       -,       -,       -,       -,       -,       -,24.22,21.89
 MELANCIA,       -,       -,16.62,-0.91,       -,3.37,-0.61,       -,8,17,4.68,       -,5.65,-3.35,7.96,       -,8.6
 MELÃO,4.57,       -,       -,0.03,       -,3.23,-0.17,       -,       -,3.08,       -,       -,       -,       -,5.76,       -,3.04
 PERA,       -,       -,       -,       -,6.97,       -,       -,       -,       -,       -,3.63,-1.16,       -,       -,       -,       -,6.38
 TANGERINA,       -,       -,       -,       -,13.66,       -,       -,       -,       -,9.87,       -,       -,       -,       -,       -,       -,12.59
 UVA,8.18,-1.1,7.25,9.06,-2.24,4.14,1.94,8.83,7.75,-0.9,3.21,5.6,4.33,7.44,1.74,1.55,2.39
 LARANJA-PERA,10.45,       -,7.37,3.54,15.39,11.46,0.55,0.1,3.88,2.75,3.01,3.97,17.18,3.58,8.79,5.06,9.49
 MORANGO,       -,-2.16,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.16
 GOIABA,       -,       -,       -,       -,       -,       -,-0.96,3.36,       -,       -,       -,       -,       -,       -,       -,5.01,2.38
 CARNES,0.81,0.28,1.58,0.18,0.68,2.78,-0.4,1.05,0.87,-0.7,1.32,-0.33,-0.56,0.62,-0.21,-1.11,0.55
 FÍGADO,       -,       -,       -,1.94,       -,       -,-0.78,2.59,-3.5,       -,       -,       -,       -,       -,1.4,       -,-0.49
 CARNE DE PORCO,1.29,-1.38,4.4,0.58,2.66,1.01,3.17,0.13,0.78,1.82,0.68,-2.16,0.16,-2.19,1.89,0.72,1.98
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,3.16,       -,       -,       -,       -,       -,       -,       -,       -,3.16
 CUPIM,       -,       -,       -,0.97,       -,       -,       -,       -,       -,       -,1.45,       -,       -,       -,       -,       -,1.22
 CONTRAFILÉ,3.98,-0.04,0.64,1.16,0.67,3.83,-1.8,2.95,1.21,-2.5,1,0.3,0.44,1.03,-1.81,-1.46,0.53
 FILÉ-MIGNON,-1.25,       -,       -,       -,       -,       -,4.7,       -,       -,0.21,       -,       -,       -,-0.43,       -,       -,0.39
 CHÃ DE DENTRO,-1.72,-0.76,-2.76,2.43,-0.67,5.03,-0.31,-1.52,1.5,-0.6,2.57,0.85,1.75,-0.89,2.43,-2.12,-0.11
 ALCATRA,2.12,-0.12,2.16,0.33,1.2,3.62,-0.28,2.52,1.51,-0.22,3.07,1.62,0.65,0.71,-1.23,-1.37,1.17
 PATINHO,1.61,       -,1.93,-0.06,0.98,       -,1.01,1.38,       -,-0.68,-0.56,0.59,1.56,1.42,-0.25,0.95,0.86
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-1.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.41
 LAGARTO COMUM,       -,-0.61,       -,       -,1.71,       -,       -,       -,0.9,       -,1.24,       -,1.95,-0.23,       -,       -,1.22
 MÚSCULO,-2.1,-1.89,0.14,-1.96,-1.95,       -,3.73,       -,2.48,2.38,2.25,       -,-0.35,-0.77,2.52,1.51,-0.06
 PÁ,       -,0.81,0.06,-1.81,0.08,       -,-3.67,       -,       -,       -,       -,1.7,-4.17,0.57,-2.54,-2.07,-0.61
 ACÉM,-0.84,0.61,0.81,-3.44,-0.83,2.25,-1.64,2.85,1.43,-1.13,2.38,-1.38,-2.46,1.83,2.03,0.22,-0.23
 PEITO,       -,       -,       -,       -,       -,       -,-0.37,       -,       -,       -,       -,       -,-1.88,2.66,1.42,-3.59,-0.53
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-2.1,       -,1.9,2.75,       -,-1.62,-0.07,3.91,       -,       -,0.36
 COSTELA,-3.32,1.82,-1.36,-0.63,2.44,0.34,0.51,1.58,-0.61,-3.51,1.43,-1.9,-2.13,-0.35,-1.18,-2.24,-0.04
 PICANHA,       -,3.11,5.61,       -,       -,2.24,       -,-0.87,       -,       -,       -,       -,       -,       -,       -,       -,2.73
 PESCADOS,2.22,0.04,-1.13,-0.33,-0.55,-0.12,3.8,-0.12,-0.52,0.66,-0.66,4.87,0.73,1.14,0.92,0.85,0.83
 PEIXE-ANCHOVA,       -,       -,       -,0.8,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.8
 PEIXE-CORVINA,1.71,       -,       -,-0.44,       -,       -,       -,       -,-0.44,       -,       -,       -,       -,       -,0.47,0.23,0.44
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.18,       -,-2.18
 PEIXE-SARDINHA,       -,1.05,       -,1.12,       -,       -,       -,       -,1.01,       -,       -,       -,       -,       -,       -,       -,1.05
 CAMARÃO,3.22,0.86,       -,-1.59,       -,0.23,1.46,-1.51,1.78,0.05,-2.99,1.09,       -,       -,2.27,-0.75,1.01
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-2.45,       -,       -,       -,       -,       -,       -,       -,       -,-2.45
 PEIXE-CAÇÃO,       -,       -,       -,       -,2.29,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.29
 PEIXE-MERLUZA,       -,       -,-0.4,-0.38,-0.6,       -,       -,       -,-2.87,       -,-2.83,       -,       -,       -,       -,       -,-1.0
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,1.68,       -,       -,       -,       -,       -,       -,       -,       -,1.68
 PEIXE-PESCADA,       -,       -,       -,       -,-1.84,       -,0.5,       -,       -,       -,       -,       -,       -,       -,-0.55,5.18,-0.28
 CARANGUEJO,1.07,       -,       -,       -,       -,       -,1.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.07
 PEIXE-CASTANHA,       -,       -,       -,-0.33,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.33
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,3.96,       -,       -,       -,       -,       -,       -,       -,       -,3.96
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.18,       -,       -,1.18
 PEIXE-SALMÃO,3.06,       -,       -,       -,-4.06,-4.73,       -,3.01,-1.61,       -,       -,       -,       -,       -,       -,       -,-1.61
 PEIXE-TILÁPIA,       -,-0.96,-1.33,0.03,1.01,2.08,       -,-0.88,-1.49,0.74,-0.12,2.36,0.58,       -,       -,2.27,0.11
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.13,-0.36,       -,       -,       -,2.82,       -,0.17,1.13,2.15,       -,1.11
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,16.3,       -,       -,       -,       -,       -,       -,       -,       -,       -,16.3
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-3.79,11.89,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.58
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.53,       -,       -,       -,       -,9.53
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.78,       -,       -,       -,1.78
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.45,       -,       -,       -,       -,       -,0.45
 CARNES E PEIXES INDUSTRIALIZADOS,-0.32,-1.92,0.03,0.83,0.54,-0.51,0.38,-0.44,-0.64,0.74,-0.06,0.61,-0.95,0.48,0.81,-1.63,0.0
 PRESUNTO,1.23,1.09,1.42,       -,1.55,-0.1,       -,-1.5,-3.6,-2.65,0.54,0.96,-0.77,1.15,       -,-1.83,0.56
 SALSICHA,       -,-0.66,       -,-0.34,0.13,       -,       -,       -,       -,-0.75,       -,       -,       -,-3.56,       -,       -,-0.27
 LINGUIÇA,-0.3,-4.78,-0.53,-0.41,0.16,-1.14,1.34,1.5,-2.25,1.79,0.25,0.8,-0.67,1.45,2.01,-0.3,-0.31
 MORTADELA,-2.29,       -,1.28,1.35,1.47,       -,       -,-0.08,       -,2.31,1.29,       -,-2.33,       -,       -,       -,0.88
 SALAME,       -,1.56,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.56
 BACALHAU,-2.34,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.78,       -,-2.28
 CARNE-SECA E DE SOL,0.8,       -,       -,1.46,       -,0.68,-0.15,-5.66,0.64,       -,       -,1.06,       -,       -,0.02,-2.31,0.37
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-0.25,       -,       -,       -,       -,       -,       -,       -,-4.06,-1.96,       -,       -,       -,       -,-1.39
 AVES E OVOS,1.36,-1.34,1.19,-1.75,1.55,1.34,-0.52,0.78,2.19,1.21,1.69,3.05,1.63,-0.47,1.24,-0.64,0.86
 FRANGO INTEIRO,3.72,0.94,3.85,-1.61,2.1,-0.47,-0.5,3.22,2.65,1.62,2.74,5.56,2.22,-0.91,1.6,-1.7,1.51
 FRANGO EM PEDAÇOS,1.31,-0.15,-0.02,-0.87,1.43,2.4,-0.05,0.8,3.23,1.02,1.17,2.51,1.94,0.18,1.67,1.53,1.07
 OVO DE GALINHA,0.5,-6.3,0.92,-3.27,1.5,2.45,-1.09,-4.85,-0.8,1.28,1.36,0.49,0.64,0.25,-0.99,-2.86,-0.48
 LEITES E DERIVADOS,1.11,0.6,-1.17,-0.38,-1.64,-0.84,-1.22,0.47,-1.08,-0.07,-0.58,-1.09,-0.96,-1.29,-2.17,-2.05,-0.75
 LEITE LONGA VIDA,1.88,-0.55,-2.76,-0.64,-2.11,0.39,-0.07,1.75,0.93,-1.45,-2.58,-1.9,-0.88,-3.47,-3.02,-2.24,-1.26
 LEITE CONDENSADO,-1.19,-0.05,       -,       -,       -,       -,-2.9,       -,       -,       -,       -,       -,       -,-1.05,       -,       -,-1.11
 LEITE EM PÓ,2.61,       -,-0.03,-1.52,0.81,       -,-2.06,0.21,-2.61,-1.32,-0.26,-0.46,1.15,-0.14,-2.46,-2,-0.79
 QUEIJO,1.24,1.15,0.24,-0.71,-2.12,-1.95,-0.6,-1.01,-2.32,0.62,2.25,-0.12,-1.84,0.5,1.98,-2.91,-0.73
 IOGURTE E BEBIDAS LÁCTEAS,-0.59,3.66,1.58,4.51,-0.63,-1.35,-0.13,-1.47,0.21,2.38,0.74,-1.54,-1.06,1.35,-1.73,0.02,0.66
 REQUEIJÃO,0.7,       -,-0.89,       -,0.67,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.37
 MANTEIGA,-1.96,       -,-1.94,0.72,       -,-0.1,-0.05,1.21,0.42,       -,-1.92,-0.22,       -,0.22,       -,-0.53,-0.58
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.17,       -,       -,       -,       -,       -,       -,1.17
 PANIFICADOS,-0.03,0.54,1.07,0.42,-0.14,0.43,-0.57,0.26,-0.28,0.27,-0.49,0.47,0.54,0.36,-1.54,-0.76,0.11
 BISCOITO,0.04,1.84,0.05,0.34,-0.95,1.08,-1.09,-0.43,0.1,1,-0.39,-1.34,1.03,0.73,-0.28,0.26,-0.06
 PÃO FRANCÊS,-0.73,-0.23,0.73,0.56,0.31,-0.03,-0.7,0.48,-0.97,-0.86,-0.66,1.29,0.39,0.38,-2.73,-1.2,-0.09
 PÃO DOCE,1.65,1.31,10.57,       -,2.88,       -,       -,       -,2.33,3.84,       -,4.39,0.94,       -,       -,       -,3.47
 PÃO DE FORMA,0.66,-2.78,3.24,       -,-0.23,1.08,       -,       -,       -,-1.44,       -,0.27,       -,       -,       -,       -,-0.28
 BOLO,1.53,5.05,0.79,-0.49,-2.12,-0.16,2.65,0.71,3.27,0.4,-0.31,-0.15,-0.21,-0.8,2.36,-1.95,0.08
 PÃO DE QUEIJO,       -,       -,0.68,       -,       -,0.9,       -,       -,       -,       -,-0.19,       -,       -,       -,       -,       -,0.46
 ÓLEOS E GORDURAS,3.61,2.06,5.23,-0.78,2.16,3.4,2.36,0.74,1.91,-1.03,5.36,7.46,3.96,3.75,-2.03,1.47,2.35
 ÓLEO DE SOJA,8.7,5.2,7.34,0.82,3.13,3.86,2.41,1.81,2.12,-1.46,7.32,9.12,5.11,3.74,-1.94,4.15,3.93
 AZEITE DE OLIVA,1.23,       -,       -,       -,3.47,2.85,4.88,       -,3.71,1.2,       -,4.78,3.8,3.79,       -,       -,2.92
 MARGARINA,0.43,-2.75,-1.09,-2.46,-1.21,       -,-0.95,-0.54,0.09,-2.06,-1.64,       -,1.12,       -,-2.26,-1.53,-1.2
 BEBIDAS E INFUSÕES,0.17,0.24,0.87,1.4,-0.56,0.02,0.31,-0.57,-0.32,0.2,-0.19,-1.09,0.12,1.33,0.41,-0.05,0.01
 SUCO DE FRUTAS,1.66,1.75,-1.28,2.64,-0.09,-0.38,       -,-1.29,       -,2.89,0.95,-2,2.13,       -,       -,       -,0.61
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,3.08,-1.98,0.22,       -,       -,       -,       -,4.5,0.36,       -,0.55
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,1.13,       -,       -,       -,       -,       -,       -,4.15,3.65,       -,1.31
 CAFÉ MOÍDO,-0.37,0.65,2.03,-1.35,-0.06,1.46,0.22,-1.12,-1.5,-1.51,-1.16,-3.65,-0.24,-0.58,-0.35,-0.34,-0.23
 CAFÉ SOLÚVEL,       -,-2.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.18
 REFRIGERANTE E ÁGUA MINERAL,0.59,-0.19,1.33,2.04,-1.05,-0.97,-0.72,0.01,1.09,-0.87,0.65,0.36,0.37,1.66,0.56,0.62,-0.09
 CERVEJA,0.02,0.47,0.38,2.12,-0.46,-0.03,-0.45,0.31,-0.38,1.82,-0.54,0.2,-0.67,       -,-1.01,-0.68,0.14
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,-0.36,       -,       -,0.92,       -,       -,       -,       -,       -,       -,-0.06
 VINHO,-1.76,2.11,       -,       -,0.25,       -,       -,       -,       -,0.06,       -,       -,       -,       -,       -,       -,0.13
 SUCO EM PÓ,       -,1.07,-1.27,       -,-1.85,       -,       -,       -,       -,0.64,       -,       -,-0.34,0.98,       -,       -,-0.9
 CHÁ MATE (ERVA MATE),       -,-0.72,       -,       -,       -,       -,       -,       -,       -,-0.08,       -,       -,2.17,       -,       -,       -,-0.34
 ENLATADOS E CONSERVAS,-0.53,-1.75,0.09,-1.47,-0.62,-0.38,0.35,-0.1,-1.26,0.13,-2.34,-2.61,-0.41,0.2,-0.97,-0.74,-0.69
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,-0.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.41
 PALMITO EM CONSERVA,       -,       -,-0.7,       -,-2.46,-2.71,       -,       -,       -,-2.36,-0.05,       -,       -,       -,       -,       -,-2.1
 PEPINO EM CONSERVA,       -,-4.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.15
 SARDINHA EM CONSERVA,-2.27,-0.48,-0.24,-2.13,1.23,1.38,0.75,-0.21,-3.82,-0.21,       -,-1.45,-0.51,-0.33,-0.68,-0.05,-0.47
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,2.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.12
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.81,       -,       -,1.68,       -,       -,       -,2.64
 AZEITONA,0.21,-0.55,1.37,-0.1,-2.08,-2.21,       -,0.16,-2.02,1.26,-2.87,-1.41,1.79,-0.21,       -,       -,-0.84
 MILHO-VERDE EM CONSERVA,1.71,-1.97,-0.36,-1.15,-2.2,       -,-0.39,-0.13,0.48,0.84,-4.44,-5.17,-2.28,1.51,-2.94,-2.24,-0.95
 ATUM EM CONSERVA,-1.25,0.49,       -,0.63,2.17,0.11,       -,       -,1.8,-1.39,       -,       -,       -,       -,       -,       -,0.94
 SAL E CONDIMENTOS,-0.36,-0.9,0.99,-1.49,1.27,-0.3,-0.2,-1.31,1.18,-0.18,0.11,-1.02,-2.24,-1.04,1.44,-0.41,0.3
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,0.07,       -,       -,       -,       -,       -,       -,       -,0.07
 ATOMATADO,-1.67,1.09,0.16,-6.79,1.21,0.24,0.56,-0.88,1.66,0.66,-0.82,0.41,-2.72,-1.07,3.44,-0.28,0.2
 ALHO,0.5,       -,3.01,1.36,1.48,-1.38,-0.87,-3.24,1.94,-0.04,0.62,-1,-3.14,-2.08,0.45,-2.98,0.75
 SAL,1.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.14,-0.51,-0.44,-0.54,0.67
 COLORAU,       -,       -,       -,       -,       -,       -,       -,1.16,       -,       -,       -,       -,       -,       -,       -,       -,1.16
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-0.21,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.21
 FERMENTO,       -,0.36,       -,       -,       -,       -,       -,       -,       -,2.65,       -,       -,       -,       -,       -,       -,1.67
 MAIONESE,-1.08,-7.17,0.05,-3.06,2.79,-2.16,-4.9,-2.23,       -,-2.54,       -,-3.77,-1.28,0.03,       -,       -,-0.98
 VINAGRE,       -,3.34,       -,1.83,0.88,0.07,2.04,       -,1.43,       -,       -,       -,       -,       -,1.65,4.09,1.57
 CALDO CONCENTRADO,       -,1.92,       -,6.75,       -,       -,       -,2.01,-1.55,       -,0.78,-0.41,       -,       -,       -,       -,1.65
 TEMPERO MISTO,       -,-0.55,0.17,1.02,0.07,2.04,0.5,0.06,0.28,0.26,0.42,0.42,-0.43,0.99,2.01,1.16,0.22
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.61,0.39,0.35,0.59,0.63,0.35,0.77,1.07,0.16,0.54,0.33,0.99,0.64,0.53,-0.06,0.19,0.53
