"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
" FARINHAS, FÉCULAS E MASSAS",1.6,-0.62,0.4,1.43,1.11,2.42,0.44,1.75,2.13,0.42,1.4,0.89,-0.1,3.08,2.74,-0.3,0.98
 FARINHA DE ARROZ,       -,       -,       -,1.45,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.45
 MACARRÃO,0.37,-2.72,-0.04,1.51,0.97,3.94,-0.22,1.66,-0.45,1.03,1.29,0.01,-0.6,0.11,-1.92,-0.16,0.28
 FUBÁ DE MILHO,       -,       -,       -,-0.63,       -,       -,       -,-2.42,       -,       -,       -,       -,       -,       -,-1.32,-0.92,-1.32
 FLOCOS DE MILHO,       -,       -,       -,-1.63,       -,1.8,       -,       -,       -,       -,       -,       -,       -,       -,1.52,0.03,-0.21
 FARINHA DE TRIGO,       -,1.73,-0.39,       -,2.93,       -,       -,       -,-0.98,-3.8,3.73,0.73,-3.78,       -,       -,       -,0.44
 FARINHA DE MANDIOCA,4.43,       -,1.51,4.5,2.28,3.99,0.62,3.89,5.31,       -,0.75,3.73,       -,5.39,4.52,-0.26,2.75
 MASSA SEMIPREPARADA,2.76,-0.58,0.83,       -,0.09,0.55,-0.23,0.32,0.64,3.9,0.69,0.89,2.86,       -,       -,       -,0.92
 MACARRÃO INSTANTÂNEO,-1.42,       -,       -,       -,1.01,1.42,       -,       -,       -,-1.65,       -,0.31,1.05,0.27,       -,       -,0.05
" TUBÉRCULOS, RAÍZES E LEGUMES",3.75,-12.43,0.17,5.97,1.47,0.97,2.92,1.01,1.45,-3.58,-1.89,4.5,1.27,-2.72,0.07,11.37,-0.08
 BATATA-DOCE,21.99,       -,       -,6.11,8.3,       -,       -,       -,7.29,       -,8.32,       -,       -,1.93,       -,       -,9.5
 BATATA-INGLESA,13.45,11.55,15.48,21.75,12.4,25.22,13.77,15.73,13.77,11.84,19.21,17.41,24.71,2.07,9.43,15.45,14.14
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.08,       -,       -,       -,24.28,10.79
 MANDIOCA (AIPIM),       -,       -,-2.29,4.42,       -,-1.49,       -,       -,5.27,       -,       -,       -,4.2,-0.16,       -,       -,1.23
 ABOBRINHA,       -,       -,       -,       -,44.05,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,44.05
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.88,       -,       -,       -,       -,       -,       -,-5.88
 PIMENTÃO,       -,       -,       -,       -,-5.15,6.22,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.14
 TOMATE,12.03,-13.25,3.09,36.79,0.95,8.52,8.58,14.03,10.89,-3.09,-0.6,9.01,11.01,7.61,17.68,26.2,3.89
 CEBOLA,-26.39,-28.64,-33.79,-18.02,-18.17,-29.3,-18.29,-18.53,-12.76,-27.57,-27.52,-23.35,-27.8,-14.92,-16.6,-4.52,-22.68
 CENOURA,29.48,8.11,32.88,23.51,11.51,27.95,19.03,12.22,10.15,3.06,27.96,12.31,       -,       -,       -,7.44,17.55
 AÇÚCARES E DERIVADOS,0.29,0.3,0.37,-0.66,0.75,1.33,-0.14,0.87,0.8,0.21,1.3,1.58,0.63,0.39,0.56,1.11,0.55
 AÇÚCAR REFINADO,1.5,-0.42,       -,1.91,-0.27,1.39,-0.27,0.97,1.68,-1.11,       -,       -,       -,0.08,2.29,       -,0.32
 AÇÚCAR CRISTAL,       -,0.02,0,-2.69,       -,-0.64,-0.46,0.18,0.26,-2.83,0.61,1.26,2.7,1.57,-1.6,0.38,-0.29
 BALAS,       -,1.69,       -,       -,       -,1.66,       -,       -,       -,2.55,1.36,       -,2.07,       -,       -,       -,1.98
 CHOCOLATE EM BARRA E BOMBOM,5.41,-0.03,0.12,1.85,1.66,3.13,1.22,4.08,1.44,2.39,1.29,3.53,-1.14,-1.17,1.29,7.12,1.73
 SORVETE,-1.69,0.57,0.97,0.64,-0.51,0.33,0.16,-0.22,-0.12,-1.95,1.94,-0.4,-2.31,       -,       -,0.75,-0.3
 CHOCOLATE E ACHOCOLATADO EM PÓ,-3.91,0.56,0.74,2.61,1.84,2.03,-0.96,0.83,2.05,0.9,1.95,1.14,1.19,-1.74,1.32,-0.14,0.7
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,1.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.1
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.49,-0.49
 HORTALIÇAS E VERDURAS,12,6.43,5.15,-2.27,9.04,-1.05,-0.39,3.42,4.03,5.3,2.31,2.89,9.33,1.03,-0.89,7.6,6.38
 ALFACE,10.11,3.34,4.84,-0.5,11.38,3.15,11.33,1.64,-1.28,4.23,1.73,1.81,11.12,0.7,0.1,8.68,7.47
 COENTRO,       -,       -,       -,-3.33,       -,       -,       -,       -,6,       -,       -,       -,       -,       -,       -,8.87,3.12
 COUVE,9.99,       -,5.8,       -,5.28,       -,       -,       -,       -,       -,       -,0.89,       -,3.35,       -,1.97,5.94
 COUVE-FLOR,14.76,       -,       -,       -,       -,10.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,13.83
 REPOLHO,       -,4.54,       -,       -,0.5,       -,       -,       -,7.1,7.54,4.91,       -,3.01,       -,-0.53,       -,3.18
 CHEIRO-VERDE,10.11,-1.77,3.06,-3.04,6.57,-7.99,-3.7,3.96,5.05,5.55,2.3,7.97,7.99,0.58,-1.44,       -,2.73
 BRÓCOLIS,16.01,25.67,8.81,       -,9.21,-6.56,2.23,       -,       -,5.84,       -,0.58,       -,       -,       -,       -,10.29
 FRUTAS,4.95,3.06,7.83,2.94,3.24,1.3,3.53,-0.95,4.7,-0.05,3.85,4.73,3.31,8.54,4.46,5.77,3.69
 BANANA-DA-TERRA,       -,       -,       -,4.76,       -,       -,       -,       -,0.02,       -,       -,15,       -,17.81,       -,       -,3.6
 ABACAXI,21.83,1.39,       -,1.39,       -,       -,5.8,       -,       -,       -,7.06,23.87,14.2,       -,       -,6.91,8.39
 ABACATE,       -,       -,       -,       -,       -,       -,-1.9,       -,       -,       -,       -,       -,       -,-1.6,       -,       -,-1.83
 BANANA-D'ÁGUA,-2.62,0.39,-9.88,       -,-0.87,-9.04,       -,       -,       -,-10.51,       -,       -,-8.12,       -,-3.05,       -,-3.7
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1,       -,3.7,       -,       -,       -,1.55
 BANANA-PRATA,8.13,0.12,14.16,3.52,2.83,6.63,2.6,4.41,8.7,-5.07,0.76,2.22,       -,25.75,0.7,11.16,6.1
 LARANJA-BAÍA,       -,11.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,11.02
 LARANJA-LIMA,       -,       -,6.4,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.4
 LIMÃO,-24.07,       -,       -,       -,-41.18,-23.51,       -,       -,       -,       -,-26.54,-31.21,       -,-25.92,       -,       -,-36.45
 MAÇÃ,8.12,1.39,10.32,5.7,6.28,0.86,4.76,3.29,2.94,8.55,3.19,4.08,9.56,7.42,0.58,5.26,6.13
 MAMÃO,5.46,-0.49,-1.03,-3.39,9.3,2.97,       -,-5.3,-2.26,2.69,5.46,4.87,3.28,5.36,       -,5.84,3.91
 MANGA,4.04,8.4,8.04,       -,4.66,17.44,       -,-1.66,19.81,4.57,       -,11.61,       -,       -,       -,0.84,6.48
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-20.94,6.58,       -,       -,       -,       -,       -,       -,3.76,-3.05
 MELANCIA,       -,       -,26.26,2.96,       -,-0.67,7.09,       -,5.61,-3.23,24.93,       -,19.57,4.07,10.75,       -,10.31
 MELÃO,10.57,       -,       -,19.36,       -,1.59,9.31,       -,       -,2.7,       -,       -,       -,       -,23.46,       -,9.53
 PERA,       -,       -,       -,       -,9.05,       -,       -,       -,       -,       -,0.13,0.28,       -,       -,       -,       -,7.97
 TANGERINA,       -,       -,       -,       -,20.7,       -,       -,       -,       -,1.34,       -,       -,       -,       -,       -,       -,15.51
 UVA,2.23,5.07,0.14,-3.15,-4.74,4.85,4.17,6.86,4.34,-2.82,7.07,3.34,-3.59,-0.03,0.89,0.48,-0.03
 LARANJA-PERA,0.36,       -,0.9,0.28,6.56,6.58,-0.17,-4.24,1.17,7.5,2.66,0.19,5.96,-0.96,0.12,5.28,3.68
 MORANGO,       -,16.46,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,16.46
 GOIABA,       -,       -,       -,       -,       -,       -,0.21,-3.23,       -,       -,       -,       -,       -,       -,       -,3.35,-1.25
 CARNES,-0.32,-0.09,-0.01,-1.58,-1.02,-0.54,0.92,-0.5,0.11,-1.55,0.62,0,-0.5,-2.19,-1.1,-0.11,-0.47
 FÍGADO,       -,       -,       -,-4.19,       -,       -,-0.5,-0.08,-3.18,       -,       -,       -,       -,       -,-6.57,       -,-2.93
 CARNE DE PORCO,-1.18,2.6,1.93,0.81,-2.99,-1.05,0.05,-0.17,6.19,3.19,1.67,3.49,1.52,2.78,-4.24,5.03,0.41
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-0.76,       -,       -,       -,       -,       -,       -,       -,       -,-0.76
 CUPIM,       -,       -,       -,1.11,       -,       -,       -,       -,       -,       -,3.18,       -,       -,       -,       -,       -,2.17
 CONTRAFILÉ,0.66,3.77,-1.91,0,0.7,0.61,1.22,-1.17,0.26,-3.19,-0.18,1.3,-2.01,-4.56,-2.55,2.4,-0.12
 FILÉ-MIGNON,1.31,       -,       -,       -,       -,       -,-2.25,       -,       -,-3.56,       -,       -,       -,-3.8,       -,       -,-1.25
 CHÃ DE DENTRO,1.73,2.61,-0.67,-2.93,-1.21,0.06,-0.75,1.46,0.43,-4.51,-0.7,-2.76,-0.5,-0.65,2.95,1.66,-0.71
 ALCATRA,0.62,0.36,1.01,-0.42,-1.78,-3.6,-0.75,-3.57,1.42,-3.52,-0.16,2.86,-1.56,0.62,2.17,0.69,-0.54
 PATINHO,-0.8,       -,-0.18,1.92,0.32,       -,1.25,0.46,       -,-0.45,-0.08,-0.88,-0.31,2.9,2.47,2.14,0.29
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-1.46,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.46
 LAGARTO COMUM,       -,-2.45,       -,       -,-1.34,       -,       -,       -,1.08,       -,0.33,       -,0.18,-1.31,       -,       -,-0.78
 MÚSCULO,-7.4,-2.42,-0.39,-3.03,-1.05,       -,3.3,       -,2.2,3.75,-0.32,       -,-2.51,-2.53,-5.23,-2.85,-0.79
 PÁ,       -,-2.57,-1.3,-1.64,-2.37,       -,2.63,       -,       -,       -,       -,-1.52,1.56,-1.45,-0.59,2.71,-1.3
 ACÉM,-3.91,-3.45,-1.32,-1.46,-2.45,0.34,3.46,-0.67,-1.32,-5.72,1.91,-5.09,-1.68,-3.46,0.58,1.77,-1.93
 PEITO,       -,       -,       -,       -,       -,       -,3.23,       -,       -,       -,       -,       -,0.47,-2.86,-2.11,0.22,1.68
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,1.19,       -,-1.31,-2.47,       -,-2.93,0.47,-2.19,       -,       -,-0.75
 COSTELA,1.32,-0.72,-1.02,-3.03,0.8,0.65,1.25,-0.4,-3,-0.23,3.99,1.72,-0.35,-1.84,-0.55,-4.52,-0.35
 PICANHA,       -,0.64,1.69,       -,       -,0.92,       -,-0.44,       -,       -,       -,       -,       -,       -,       -,       -,0.73
 PESCADOS,3.38,0.2,-0.45,0.23,0.19,0.51,3.39,0.26,0.4,2.5,1.28,0.52,1.32,0.52,3.28,0.7,1.51
 PEIXE-ANCHOVA,       -,       -,       -,0.23,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.23
 PEIXE-CORVINA,5.14,       -,       -,1.69,       -,       -,       -,       -,0.56,       -,       -,       -,       -,       -,2.69,0.17,2.49
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,11.25,       -,11.25
 PEIXE-SARDINHA,       -,0.2,       -,0,       -,       -,       -,       -,3.96,       -,       -,       -,       -,       -,       -,       -,1.72
 CAMARÃO,0.28,0.29,       -,1.55,       -,-1.57,0.3,1.21,-1.94,0.12,2.08,0.45,       -,       -,-0.08,1.09,0.28
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,3.98,       -,       -,       -,       -,       -,       -,       -,       -,3.98
 PEIXE-CAÇÃO,       -,       -,       -,       -,1.3,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.3
 PEIXE-MERLUZA,       -,       -,-1.56,0.79,1.18,       -,       -,       -,-0.47,       -,2.52,       -,       -,       -,       -,       -,0.76
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,0.89,       -,       -,       -,       -,       -,       -,       -,       -,0.89
 PEIXE-PESCADA,       -,       -,       -,       -,0.25,       -,1.74,       -,       -,       -,       -,       -,       -,       -,2.82,0.78,1.52
 CARANGUEJO,3.38,       -,       -,       -,       -,       -,11.88,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.11
 PEIXE-CASTANHA,       -,       -,       -,0.23,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.23
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,2.59,       -,       -,       -,       -,       -,       -,       -,       -,2.58
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.08,       -,       -,2.08
 PEIXE-SALMÃO,2.58,       -,       -,       -,-0.91,-0.05,       -,-0.06,-0.63,       -,       -,       -,       -,       -,       -,       -,-0.06
 PEIXE-TILÁPIA,       -,0.15,-0.12,-1.91,-0.42,1.11,       -,-0.53,0.18,2.88,1.47,-0.18,1.97,       -,       -,0.15,0.15
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.01,-0.07,       -,       -,       -,-1.08,       -,1.69,0.1,3.13,       -,1.33
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,3.94,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.94
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,2.19,13.77,       -,       -,       -,       -,       -,       -,       -,       -,       -,12.31
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.11,       -,       -,       -,       -,1.11
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.92,       -,       -,       -,-0.92
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.28,       -,       -,       -,       -,       -,1.28
 CARNES E PEIXES INDUSTRIALIZADOS,-0.24,-0.36,1.36,0.13,-0.62,-1.2,0.32,2.02,0.06,-1.05,-0.44,0.57,0.07,1.95,-0.32,-0.03,-0.18
 PRESUNTO,0.42,0.19,1.5,       -,-0.34,0.11,       -,0.51,-1.1,2.93,2.82,2.63,1.08,-0.32,       -,-2.6,0.42
 SALSICHA,       -,2.03,       -,0.5,-0.57,       -,       -,       -,       -,-1.3,       -,       -,       -,2.52,       -,       -,-0.04
 LINGUIÇA,-1.22,-1.24,1.82,0.61,-0.32,-2.09,3.02,2.4,0.51,-1.71,-0.59,0.4,-0.82,2.17,-0.17,1.16,-0.17
 MORTADELA,2.61,       -,0.43,-2.48,-2.98,       -,       -,2.94,       -,-2.79,-1.33,       -,2.91,       -,       -,       -,-1.33
 SALAME,       -,-0.77,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.77
 BACALHAU,-0.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.32,       -,-0.12
 CARNE-SECA E DE SOL,-0.8,       -,       -,0.28,       -,-0.45,-1.03,1.5,-0.03,       -,       -,0.59,       -,       -,-0.57,-0.2,-0.19
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-1.08,       -,       -,       -,       -,       -,       -,       -,-1.75,-0.11,       -,       -,       -,       -,-1.08
 AVES E OVOS,-2.01,-1.28,-2.08,-1.57,-0.22,-0.92,-1.89,-0.87,-1.14,-0.79,-1.37,-1.5,-2.07,-0.26,-1.18,-1.49,-1.16
 FRANGO INTEIRO,-1.29,0.02,-1.75,-1.89,-1.04,-0.96,-1.96,-2.2,-1.18,1.14,-0.61,-0.57,-0.87,-0.24,-1.17,-0.42,-1.29
 FRANGO EM PEDAÇOS,-2.55,-1.99,-2.02,-2.65,-1,-1.62,-1.89,-0.51,-0.52,-2,-1.45,-1.56,-1.82,-2.31,-1.63,-2.41,-1.63
 OVO DE GALINHA,-0.41,0.19,-2.59,0.78,2.88,0.23,-1.57,2.52,-2.49,0.97,-2.63,-2.85,-3.54,1.07,-0.82,-1.57,0.24
 LEITES E DERIVADOS,-1.77,2.26,1.13,0.14,0.53,-1.39,-0.38,-0.25,-0.27,0,-0.72,-1.59,-3.11,-1.71,-1.17,-1.28,0.1
 LEITE LONGA VIDA,-4.46,3.66,1.1,-4.04,0.56,-4.07,-2.12,-0.9,-2.22,-1.31,-0.44,-0.94,-5.3,-1.74,-4.28,-3.1,-0.3
 LEITE CONDENSADO,0.08,-2.92,       -,       -,       -,       -,-1.97,       -,       -,       -,       -,       -,       -,0.65,       -,       -,-1.58
 LEITE EM PÓ,-1.5,       -,-0.8,-1.75,0.17,       -,-1.56,-0.22,0.83,-1.32,1.26,1.5,0.24,-1.58,-0.25,0.47,-0.45
 QUEIJO,-0.86,1.73,1.33,2.34,0.27,0.43,4.14,-0.56,0.34,1.13,-1.42,-5.67,-1.67,-5.98,0.19,-2.49,0.46
 IOGURTE E BEBIDAS LÁCTEAS,0.48,0.98,1.67,1.47,2.15,-0.08,2,3.65,0.5,2.27,4.46,0.24,2.42,2.08,-0.7,0.67,1.64
 REQUEIJÃO,1.93,       -,2.79,       -,-0.36,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.67
 MANTEIGA,0.23,       -,-0.32,0.49,       -,0.89,-0.02,1.2,-0.17,       -,-4.57,2.12,       -,-2.37,       -,0.24,-0.33
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.02,       -,       -,       -,       -,       -,       -,0.02
 PANIFICADOS,0.75,0.8,-0.08,-0.51,0.6,0.47,0.7,0.73,0.17,0.84,2.36,0.83,0.35,0.08,0.03,1.66,0.55
 BISCOITO,0.31,0.63,-0.22,0.55,-0.67,1.09,0.79,-1.11,1.15,0.31,3.44,0.57,-0.22,2.91,-1.62,0.05,0.18
 PÃO FRANCÊS,0.64,1.44,0.01,-0.93,1.05,0.35,0.91,1.81,-0.43,1.49,1.83,1.44,1.74,-0.92,1.16,2.58,0.77
 PÃO DOCE,1.87,0.76,-2.86,       -,-0.63,       -,       -,       -,-0.23,0.91,       -,0.38,-0.9,       -,       -,       -,-0.18
 PÃO DE FORMA,0.05,0.3,-1.64,       -,1.07,-0.52,       -,       -,       -,-0.9,       -,-1.21,       -,       -,       -,       -,0.22
 BOLO,3.46,-1.33,2.61,-1.85,2.33,0.78,-1.58,-1.54,1.36,2.17,3.2,0.23,-5.84,1.16,-2.7,0.55,1.35
 PÃO DE QUEIJO,       -,       -,-0.3,       -,       -,-0.49,       -,       -,       -,       -,1.51,       -,       -,       -,       -,       -,0.19
 ÓLEOS E GORDURAS,-0.71,-2.66,-0.65,-0.36,0.49,1.63,-0.22,0.41,0.62,-2.1,2.2,1.75,-0.27,1.85,0.42,-0.74,-0.2
 ÓLEO DE SOJA,-1.39,-3.79,-0.41,1.57,-0.26,2.23,-1.49,1.03,1.52,-2.96,2.75,1.63,-0.55,2.06,0.42,-0.46,-0.46
 AZEITE DE OLIVA,0.47,       -,       -,       -,1.19,0.25,1.56,       -,-0.09,-1.11,       -,2.11,0.22,0.52,       -,       -,0.71
 MARGARINA,-0.61,0.36,-1.6,-2.91,1.86,       -,1.62,-0.5,-1.05,-0.3,-0.59,       -,0.17,       -,0.45,-1.15,0.03
 BEBIDAS E INFUSÕES,-0.2,0.38,1.44,0.76,0.66,2.16,5.37,1.2,2.38,0.98,-0.02,0.9,-0.12,0.83,0.74,0.33,1.1
 SUCO DE FRUTAS,-0.13,-0.35,1.37,2.5,1.16,-0.18,       -,1.42,       -,-2.6,0.79,1.55,-0.59,       -,       -,       -,0.42
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,0.05,-2.54,1.69,       -,       -,       -,       -,0.52,-0.51,       -,0.16
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,12.8,       -,       -,       -,       -,       -,       -,2.8,6.39,       -,12.29
 CAFÉ MOÍDO,-1.93,0.2,0.86,-0.78,0.08,2.93,1.09,1.6,1.95,0.67,-2.69,0.74,-1.28,-0.2,-1.43,-0.35,0.17
 CAFÉ SOLÚVEL,       -,-0.39,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.39
 REFRIGERANTE E ÁGUA MINERAL,0.55,0.77,1.56,0.24,1.41,2.22,-0.12,0.98,1.69,0.63,0.28,-0.39,0.01,1.41,1.29,0.33,1.0
 CERVEJA,0.17,0.89,2.04,3.61,0.75,2.67,2.16,2.9,4.22,2.37,1.31,1.95,0.67,       -,3.22,0.97,1.5
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,0.06,       -,       -,-0.86,       -,       -,       -,       -,       -,       -,-0.17
 VINHO,1.57,2.57,       -,       -,-0.93,       -,       -,       -,       -,1.91,       -,       -,       -,       -,       -,       -,0.77
 SUCO EM PÓ,       -,0.74,0.64,       -,-1.13,       -,       -,       -,       -,2.44,       -,       -,0.3,-0.03,       -,       -,0.06
 CHÁ MATE (ERVA MATE),       -,-2.83,       -,       -,       -,       -,       -,       -,       -,1.89,       -,       -,1.13,       -,       -,       -,-1.41
 ENLATADOS E CONSERVAS,-0.75,1.24,1.58,-0.35,0.09,-0.56,-0.91,0.37,1.19,1.87,1.55,0.48,0.88,1.27,2.41,-2.36,0.51
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,-0.91,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.91
 PALMITO EM CONSERVA,       -,       -,0.96,       -,0.31,-1.25,       -,       -,       -,-0.96,0,       -,       -,       -,       -,       -,0.13
 PEPINO EM CONSERVA,       -,4.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.35
 SARDINHA EM CONSERVA,-0.73,-2,0.93,-0.87,-0.06,0.09,-0.55,-0.76,2.06,2.86,       -,0.87,-2.19,-0.6,2.67,-2.9,0.11
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,-0.11,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.11
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.01,       -,       -,0.76,       -,       -,       -,0.1
 AZEITONA,-0.98,3.03,1.34,0.14,1.74,-0.22,       -,0.01,-0.08,4.17,1.57,-0.08,-0.46,-0.13,       -,       -,1.32
 MILHO-VERDE EM CONSERVA,0.81,0.92,2.46,0.54,-2.47,       -,-1.76,3.05,0.35,1.98,3.77,0.53,3.51,6.18,0.52,-1.14,0.52
 ATUM EM CONSERVA,-2.05,0.65,       -,0.72,0.07,-1.7,       -,       -,1.61,0.51,       -,       -,       -,       -,       -,       -,-0.08
 SAL E CONDIMENTOS,0.91,0.71,-0.69,1.13,-0.35,1.66,-1.46,-1.48,-0.6,-0.03,1.34,0.32,-0.02,0.17,-1.86,0.75,-0.03
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-0.94,       -,       -,       -,       -,       -,       -,       -,-0.94
 ATOMATADO,1.17,0.4,0.41,1.98,0.1,1.03,0.15,0.4,-0.24,-0.89,2.81,2.88,0.9,6.85,-0.05,-0.28,0.38
 ALHO,0.13,       -,-3.15,1.56,-0.65,2.67,-2.58,-2.59,-1.93,-1,0.02,-0.94,-2.21,-1.56,-3.84,1.87,-0.94
 SAL,1.65,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.24,-0.25,1.73,-0.45,1.73
 COLORAU,       -,       -,       -,       -,       -,       -,       -,-2.92,       -,       -,       -,       -,       -,       -,       -,       -,-2.92
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-2,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.0
 FERMENTO,       -,1.47,       -,       -,       -,       -,       -,       -,       -,2.88,       -,       -,       -,       -,       -,       -,2.24
 MAIONESE,2.83,0.62,0.4,-2.1,1.95,2.86,0.44,-0.74,       -,0.06,       -,1.33,1.94,-1.56,       -,       -,1.16
 VINAGRE,       -,0.98,       -,-0.51,-0.66,0.12,-0.09,       -,1.38,       -,       -,       -,       -,       -,-1.82,0.88,-0.07
 CALDO CONCENTRADO,       -,2.1,       -,3.94,       -,       -,       -,-1.59,1.84,       -,0.32,1.61,       -,       -,       -,       -,1.6
 TEMPERO MISTO,       -,-0.13,0.61,-0.08,-2.51,1.06,-2.69,-0.27,0.26,1.61,1.84,-0.41,0.38,0.79,-1.99,2.76,-0.91
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.04,0.57,0.27,0.57,0.86,0.54,0.21,0.86,0.93,-0.02,0.3,1.23,0.44,1.3,1.11,1.02,0.57
