"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 COENTRO,       -,       -,       -,-8.43,       -,       -,       -,       -,-1.25,       -,       -,       -,       -,       -,       -,-2.55,-3.76
 COUVE,0.31,       -,-1.89,       -,9.14,       -,       -,       -,       -,       -,       -,-1.57,       -,0.48,       -,0.33,4.63
 COUVE-FLOR,5.05,       -,       -,       -,       -,-1.04,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.92
 REPOLHO,       -,13.4,       -,       -,11.62,       -,       -,       -,1.27,12.97,-0.36,       -,-5.47,       -,8.61,       -,9.67
 CHEIRO-VERDE,3.5,4.77,-2.61,1.97,12.76,-2.76,0.11,2.22,-2.93,5.09,2.75,-0.64,1.28,5.8,3.39,       -,4.1
 BRÓCOLIS,0.56,10.81,0.78,       -,6.77,-2.45,7.8,       -,       -,13.47,       -,-1.33,       -,       -,       -,       -,6.39
 FRUTAS,1.04,3.76,-9.34,0.88,3.02,-0.25,0.57,-2.48,0.72,3.06,0.62,2.74,-2.03,-3.76,1.08,0.35,0.48
 BANANA-DA-TERRA,       -,       -,       -,4.71,       -,       -,       -,       -,-3.63,       -,       -,-0.89,       -,4.96,       -,       -,-1.53
 ABACAXI,5.66,4.63,       -,12.74,       -,       -,1.42,       -,       -,       -,-0.51,5.07,3.42,       -,       -,23.93,5.63
 ABACATE,       -,       -,       -,       -,       -,       -,-5.31,       -,       -,       -,       -,       -,       -,-12.22,       -,       -,-6.69
 BANANA-D'ÁGUA,0.81,-1.37,-1.21,       -,1.57,3.21,       -,       -,       -,7.38,       -,       -,2.24,       -,5.71,       -,1.94
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.73,       -,0.33,       -,       -,       -,-6.09
 BANANA-PRATA,-7.65,-3.05,-23.6,0.04,0.54,-11.58,0.04,-6.32,-5.19,5.29,-3.93,-5.94,       -,7.67,3.1,-5.42,-6.81
 LARANJA-BAÍA,       -,-12.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-12.03
 LARANJA-LIMA,       -,       -,0.95,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.95
 LIMÃO,6.39,       -,       -,       -,16.86,3.12,       -,       -,       -,       -,6.05,11.43,       -,1.51,       -,       -,12.88
 MAÇÃ,-11.8,-1.55,-28.64,-2.27,-7.73,-6.28,2.23,-12.42,-1.42,-13.95,-4.21,-10.41,-7.64,-16.48,0.47,-3.22,-10.72
 MAMÃO,13.08,7.51,16.02,3.22,11.37,9.62,       -,3.51,6.23,-0.64,11.18,13.24,-1.99,-11.83,       -,3.02,9.8
 MANGA,23.86,19.93,28.63,       -,29.63,25.29,       -,31.74,33.54,34.49,       -,31.65,       -,       -,       -,16.69,28.92
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,8.06,0.02,       -,       -,       -,       -,       -,       -,0.96,2.58
 MELANCIA,       -,       -,0.85,6.54,       -,4.13,-0.43,       -,-4.25,8.13,9.4,       -,-4.91,1.03,-2.3,       -,2.15
 MELÃO,-3.43,       -,       -,-9.57,       -,-9.64,10.05,       -,       -,10.72,       -,       -,       -,       -,-11.02,       -,-1.75
 PERA,       -,       -,       -,       -,-9.01,       -,       -,       -,       -,       -,-7.48,-2.18,       -,       -,       -,       -,-8.65
 TANGERINA,       -,       -,       -,       -,-15.49,       -,       -,       -,       -,3.06,       -,       -,       -,       -,       -,       -,-10.63
 UVA,14.51,4.88,5.43,8.28,12.99,11.24,-0.03,-2.23,9.63,-0.14,7.4,14.87,2.59,7.1,6.66,0.7,8.05
 LARANJA-PERA,7.35,       -,8.45,-11.92,5.15,5.65,-3.94,-0.38,-0.01,-0.1,4.27,-0.37,-5.83,-8.17,12.81,-1.04,3.6
 MORANGO,       -,29.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,29.18
 GOIABA,       -,       -,       -,       -,       -,       -,2.46,-4.2,       -,       -,       -,       -,       -,       -,       -,-1.54,-1.9
 CARNES,-1.26,-1.19,-0.6,-0.48,-1.71,-1.53,-0.98,-0.21,0.55,-0.83,-2.57,-1.29,0.24,-0.62,-0.26,0.17,-1.06
 FÍGADO,       -,       -,       -,3.57,       -,       -,0.1,0.07,-1.39,       -,       -,       -,       -,       -,2.03,       -,0.46
 CARNE DE PORCO,0.79,-2.28,0.58,0.26,-0.34,-0.38,0.92,0.15,2.49,-1.94,0.78,2.95,0.56,0.92,0.75,0.36,-0.03
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,0.89,       -,       -,       -,       -,       -,       -,       -,       -,0.89
 CUPIM,       -,       -,       -,-0.94,       -,       -,       -,       -,       -,       -,0.4,       -,       -,       -,       -,       -,-0.25
 CONTRAFILÉ,-5.02,-3.06,1.2,-5.2,-3.84,-1.66,-3.98,0.65,-0.05,-2.05,-2.99,-2.99,0.23,0.2,-1.74,-0.9,-2.63
 FILÉ-MIGNON,-6.57,       -,       -,       -,       -,       -,-2.6,       -,       -,-0.8,       -,       -,       -,-0.5,       -,       -,-3.59
 CHÃ DE DENTRO,-0.97,-2.04,-0.63,1.79,-0.91,-3.66,-0.2,-1.98,-0.38,3.96,-2.89,-1.9,1.91,-2.25,0.01,-0.54,-0.39
 ALCATRA,-0.26,-0.08,-3.26,-1.54,-1.87,-3.86,-0.4,-1.27,-0.25,-3.82,-3.86,-3.37,-1.18,-1.03,-2.06,-1.19,-1.57
 PATINHO,-2.15,       -,-1.25,-2.73,-2.61,       -,0.67,-2.28,       -,-2.16,-3.7,-2.48,0.58,-1.96,1.58,-0.75,-2.01
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-0.49,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.49
 LAGARTO COMUM,       -,-1.75,       -,       -,-1.18,       -,       -,       -,-0.68,       -,-3.13,       -,0.85,-0.73,       -,       -,-1.23
 MÚSCULO,-0.54,0.5,-3.89,2.07,-1.12,       -,-5.2,       -,3.38,-2.33,-2.63,       -,-0.05,-1.7,3.79,1.51,-0.95
 PÁ,       -,-0.35,-0.33,-0.33,-5.19,       -,1.33,       -,       -,       -,       -,-2.87,-0.4,-0.71,1.48,-0.16,-1.92
 ACÉM,2.03,-0.36,-2.32,1.29,1.1,-0.28,-1.92,1.27,1.86,3.93,-2.43,-0.68,0.8,1.86,0.42,-0.48,0.44
 PEITO,       -,       -,       -,       -,       -,       -,-1.64,       -,       -,       -,       -,       -,2.5,-2.12,3.34,2.43,-0.13
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,0.52,       -,1.87,1.46,       -,0.02,3.67,-0.62,       -,       -,1.37
 COSTELA,-0.76,-1.6,0.15,-1.96,-1.24,-1.18,0.94,1.35,0.46,-1.21,-4.43,-2.23,-1.29,-2.86,-1,1.56,-0.88
 PICANHA,       -,0.17,2.57,       -,       -,1.68,       -,0.84,       -,       -,       -,       -,       -,       -,       -,       -,1.19
 PESCADOS,1.63,0.9,-0.16,1.3,1.46,1.14,0.61,3.45,0.47,3.16,0.51,-1.58,-0.09,2.02,0.88,1.07,1.17
 PEIXE-ANCHOVA,       -,       -,       -,1.3,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.3
 PEIXE-CORVINA,2.99,       -,       -,2.47,       -,       -,       -,       -,2.37,       -,       -,       -,       -,       -,2.94,2.67,2.67
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.88,       -,0.88
 PEIXE-SARDINHA,       -,0.9,       -,-0.71,       -,       -,       -,       -,-1.94,       -,       -,       -,       -,       -,       -,       -,-0.67
 CAMARÃO,-1.43,1.01,       -,0.99,       -,0.14,2.47,1.61,1.01,1.74,-1.59,-2.33,       -,       -,2.43,-0.61,1.01
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,1.64,       -,       -,       -,       -,       -,       -,       -,       -,1.64
 PEIXE-CAÇÃO,       -,       -,       -,       -,0.11,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.11
 PEIXE-MERLUZA,       -,       -,-1.07,-0.33,0.02,       -,       -,       -,-2.01,       -,0.34,       -,       -,       -,       -,       -,-0.33
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,0.9,       -,       -,       -,       -,       -,       -,       -,       -,0.91
 PEIXE-PESCADA,       -,       -,       -,       -,1.27,       -,3.95,       -,       -,       -,       -,       -,       -,       -,3.85,3.19,3.19
 CARANGUEJO,1.63,       -,       -,       -,       -,       -,-3.76,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.53
 PEIXE-CASTANHA,       -,       -,       -,1.3,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.3
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-2.58,       -,       -,       -,       -,       -,       -,       -,       -,-2.58
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.02,       -,       -,2.02
 PEIXE-SALMÃO,1.58,       -,       -,       -,2.62,2.13,       -,1.59,-2.9,       -,       -,       -,       -,       -,       -,       -,1.58
 PEIXE-TILÁPIA,       -,0.83,0.11,2.27,2.56,0.53,       -,5.18,0,3.38,1.42,-1.22,0.16,       -,       -,2.28,2.27
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,1.4,0.24,       -,       -,       -,1.58,       -,-0.32,2.02,-1.76,       -,-0.31
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-2.72,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.72
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,3.31,-4.25,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.38
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.36,       -,       -,       -,       -,-1.36
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.48,       -,       -,       -,-0.48
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.51,       -,       -,       -,       -,       -,0.51
 CARNES E PEIXES INDUSTRIALIZADOS,-1.08,1.49,-0.47,0.25,0.06,-1.19,-2.62,-0.44,0.23,-0.28,0.02,-0.87,-0.56,-0.41,0.96,0.97,-0.12
 PRESUNTO,-2.41,-0.44,1.94,       -,1.07,-2.53,       -,-0.67,0.72,-0.33,-0.36,-0.06,-2.45,-2.35,       -,2.46,0.04
 SALSICHA,       -,0.85,       -,0.21,-0.1,       -,       -,       -,       -,-0.91,       -,       -,       -,-2.07,       -,       -,-0.04
 LINGUIÇA,-1.23,2.49,-0.99,0.6,0.14,-0.6,-0.76,-0.7,1.72,0.31,-0.08,-1.15,0.17,0.38,2.02,2.51,0.17
 MORTADELA,-1.62,       -,-1.42,0.2,-1.99,       -,       -,0.27,       -,-2.24,-1.2,       -,-1.52,       -,       -,       -,-1.62
 SALAME,       -,2.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.02
 BACALHAU,2.29,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.29,       -,2.29
 CARNE-SECA E DE SOL,-1.5,       -,       -,0.15,       -,-1.08,-3.59,0.02,-0.53,       -,       -,-1.04,       -,       -,-1.39,-0.09,-1.04
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-0.32,       -,       -,       -,       -,       -,       -,       -,2.46,0.95,       -,       -,       -,       -,0.49
 AVES E OVOS,-0.25,0.45,1.28,0.53,0.81,1.92,-0.3,0.48,-0.01,1.84,-0.52,0.17,1.47,0.96,-0.44,0.27,0.53
 FRANGO INTEIRO,-2.4,-0.77,-0.34,-2.24,3.03,-0.46,-1.53,-2.91,-1.16,2.75,-1.32,-2.34,-5.05,-1.27,-1.07,-0.57,-0.77
 FRANGO EM PEDAÇOS,-2.03,-2.79,-1.6,-1.05,-1.63,0.52,-2.48,1.28,-2.34,0.51,-2.65,-2.03,-1.06,-2.75,-3.1,-1.63,-1.61
 OVO DE GALINHA,6.68,10.57,9.22,8.74,6.37,7.36,6.81,8.99,7.69,5.1,8.71,9.36,11.22,9.41,5.38,6.19,7.64
 LEITES E DERIVADOS,1.95,0.94,-0.07,-2.34,-0.9,-1.55,0.19,-1.84,-0.14,1.29,0.47,-0.16,0.73,-0.47,-0.42,0.49,-0.13
 LEITE LONGA VIDA,4.29,1.2,-0.8,-1.53,-0.56,-1.39,3.09,-3.4,-2.84,1.7,1.01,-0.28,1.7,-0.85,-1.81,1.51,0.09
 LEITE CONDENSADO,2.25,-0.74,       -,       -,       -,       -,-4.64,       -,       -,       -,       -,       -,       -,-1.12,       -,       -,-0.55
 LEITE EM PÓ,-2.56,       -,-0.94,1.55,1.57,       -,1.16,0.27,2.46,-0.61,1.31,-0.73,1.41,0.22,-0.23,0.2,0.71
 QUEIJO,1.48,1.18,0.35,-5.26,-2.34,-2.1,-0.69,-3.47,-0.59,1.31,0.1,-0.11,-0.72,-1.18,0.61,0.47,-0.98
 IOGURTE E BEBIDAS LÁCTEAS,1.82,-0.07,2.44,-1.34,0.82,-0.86,-0.54,0.29,0.11,0.26,-0.84,0.57,-1.42,0.59,1.6,0.91,0.61
 REQUEIJÃO,-0.1,       -,1.2,       -,-0.46,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.07
 MANTEIGA,0.96,       -,-0.76,-1.2,       -,-0.64,-1.49,0.41,0.51,       -,-0.61,0.24,       -,-0.91,       -,-1.95,-0.29
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.12,       -,       -,       -,       -,       -,       -,2.12
 PANIFICADOS,0.35,0.66,0.89,0.01,0.96,0.29,0.03,0.51,1.78,1.8,0.32,-0.09,0.56,0.07,0.61,-1.21,0.78
 BISCOITO,0.67,-1.7,2.17,-0.01,1.23,0.23,-0.29,-1.63,0.82,1.16,2.02,-0.4,0.49,-0.27,0.99,0.28,0.69
 PÃO FRANCÊS,0.2,1.5,0.07,0.08,0.12,0.48,-0.32,1.35,2.39,1.91,-0.74,-0.4,0.13,0.23,0.64,-2.06,0.5
 PÃO DOCE,0.77,-2.7,0.87,       -,1.94,       -,       -,       -,1.39,0.07,       -,4.03,1.22,       -,       -,       -,0.94
 PÃO DE FORMA,-0.13,2.16,-1.51,       -,0.36,3.58,       -,       -,       -,2.52,       -,1.77,       -,       -,       -,       -,0.83
 BOLO,0.46,5.42,0.11,-0.6,3.81,-0.25,4.34,1.31,1.29,4.23,1.24,-2.15,3.04,-0.4,-0.42,-0.05,2.44
 PÃO DE QUEIJO,       -,       -,3.14,       -,       -,-3.6,       -,       -,       -,       -,0.08,       -,       -,       -,       -,       -,1.29
 ÓLEOS E GORDURAS,-3.07,-1.34,-7.24,-1.58,-1.22,-1.29,-3.03,-1.29,-2.1,-1.1,-4.4,-6.35,-1.21,-4.39,-4.4,-2.32,-2.54
 ÓLEO DE SOJA,-6.84,-2.01,-8.33,-2.4,-2.59,-2.39,-5.24,-1.82,-2.52,-1.64,-5.3,-8.25,-1.82,-5.17,-5.27,-3.91,-4.01
 AZEITE DE OLIVA,2.27,       -,       -,       -,2.13,1.23,-0.47,       -,-1.49,1.43,       -,-0.5,0.56,0.4,       -,       -,1.43
 MARGARINA,-1.73,0.32,-2.96,-0.47,-0.62,       -,0.54,-0.51,-1.48,-1.28,-0.07,       -,-0.92,       -,-1.95,0.12,-0.92
 BEBIDAS E INFUSÕES,0.42,-0.45,1.08,1.89,-0.28,0.62,5.38,1.73,-0.27,0.8,0.94,-1.48,0.41,-0.9,2.63,0.88,0.7
 SUCO DE FRUTAS,1.17,0.1,2.8,3.82,1.77,1.12,       -,2.79,       -,0.69,1.3,0.67,2.88,       -,       -,       -,1.56
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,0.29,1.18,3.5,       -,       -,       -,       -,1,2.67,       -,2.16
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,10.97,       -,       -,       -,       -,       -,       -,-7.3,12.71,       -,10.83
 CAFÉ MOÍDO,-0.92,-3.45,-0.89,-0.22,-2.31,-0.87,-0.65,0.12,-2.81,-0.01,-0.21,-2.91,-1.11,-0.45,1.29,-1.72,-1.41
 CAFÉ SOLÚVEL,       -,-0.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.5
 REFRIGERANTE E ÁGUA MINERAL,0.19,-0.44,1.5,3.14,1.06,1.32,-0.56,2.9,2.79,1.52,0.75,0.3,-1.11,0.18,1.34,2.13,1.12
 CERVEJA,0.49,0.1,2.02,0.23,-0.67,1.06,-0.44,2.46,-0.6,0.84,1.71,-1.95,2.13,       -,-1.72,1.59,0.33
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,4.44,       -,       -,-0.86,       -,       -,       -,       -,       -,       -,3.1
 VINHO,3.41,-0.32,       -,       -,-1.6,       -,       -,       -,       -,1.18,       -,       -,       -,       -,       -,       -,0.21
 SUCO EM PÓ,       -,2.06,1.52,       -,1.13,       -,       -,       -,       -,3.29,       -,       -,0.46,-0.01,       -,       -,1.66
 CHÁ MATE (ERVA MATE),       -,-0.08,       -,       -,       -,       -,       -,       -,       -,-0.91,       -,       -,2.32,       -,       -,       -,-0.09
 ENLATADOS E CONSERVAS,0.14,-0.05,0.3,-0.68,-0.51,-0.36,0.24,-0.32,-0.43,1.67,2.86,-1.39,1.7,0.26,0.11,0.05,0.07
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,0.24,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.24
 PALMITO EM CONSERVA,       -,       -,0.34,       -,0.16,1.62,       -,       -,       -,2.51,2.94,       -,       -,       -,       -,       -,0.73
 PEPINO EM CONSERVA,       -,-0.01,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.01
 SARDINHA EM CONSERVA,-0.42,0.1,-2.07,0.16,-1.65,-1.06,-1.24,-1.53,-1.84,1.08,       -,-3.19,0.58,0.68,0.08,-2.14,-0.84
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,3.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.02
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.04,       -,       -,2.22,       -,       -,       -,3.76
 AZEITONA,-0.01,1.44,0.58,-0.56,-1.42,0.79,       -,-1.14,-1.87,1.57,2.87,0.02,0.22,-0.26,       -,       -,0.01
 MILHO-VERDE EM CONSERVA,2.52,-0.63,1.75,-2.34,0.42,       -,-0.3,2.79,1.38,2.02,2.73,-0.59,2.97,0.08,0.36,4.91,0.93
 ATUM EM CONSERVA,-1.23,-0.49,       -,-2.94,0.29,-1.37,       -,       -,0.49,0.12,       -,       -,       -,       -,       -,       -,-0.22
 SAL E CONDIMENTOS,-1.91,-0.01,-2.18,0.34,0.69,0.56,0.72,0.33,-0.32,0.04,0.2,-1.65,-1.29,0.11,0.61,0.43,-0.17
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,3.25,       -,       -,       -,       -,       -,       -,       -,3.25
 ATOMATADO,0.99,-1.48,-0.04,0.65,0.95,0.9,1.94,1.37,2.51,0.34,2,0.27,1.41,1.76,0.57,1.14,0.68
 ALHO,-4.99,       -,-5.71,-3.26,-0.45,-1.69,-1.39,-1.31,-3.79,-1.95,-3.78,-4.96,-5.82,-0.92,1.2,-0.55,-2.75
 SAL,0.21,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.4,0.5,1.05,2.68,0.43
 COLORAU,       -,       -,       -,       -,       -,       -,       -,-0.15,       -,       -,       -,       -,       -,       -,       -,       -,-0.15
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,3.43,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.43
 FERMENTO,       -,-0.38,       -,       -,       -,       -,       -,       -,       -,-0.45,       -,       -,       -,       -,       -,       -,-0.42
 MAIONESE,1.09,2.78,-1.93,1.34,1.03,0.74,4.46,2.46,       -,0.03,       -,2.01,0.94,0.89,       -,       -,0.89
 VINAGRE,       -,1.59,       -,2.77,2.39,1.34,1.72,       -,-1,       -,       -,       -,       -,       -,0.99,0.43,1.72
 CALDO CONCENTRADO,       -,-1.01,       -,2.45,       -,       -,       -,-0.04,-2.18,       -,0,-0.19,       -,       -,       -,       -,-0.41
