"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MASSA SEMIPREPARADA,-4.95,0.44,2.95,       -,-2.36,0.31,2.04,0.2,4.25,3.77,2.75,1.11,2.9,       -,       -,       -,-0.25
 MACARRÃO INSTANTÂNEO,4.38,       -,       -,       -,3.33,4.31,       -,       -,       -,2.15,       -,4.68,1.76,5.96,       -,       -,3.43
" TUBÉRCULOS, RAÍZES E LEGUMES",27.22,19.79,14.71,9.83,17.87,16.4,18.79,14.53,10.44,17.71,15.05,16.98,21.41,11.43,12.1,4.67,16.74
 BATATA-DOCE,-11.17,       -,       -,-0.34,-1.64,       -,       -,       -,15.79,       -,-5.91,       -,       -,-14.42,       -,       -,-1.09
 BATATA-INGLESA,11.92,12.17,3.64,9.47,-1.5,4.17,19.77,6.83,9.21,1.39,0.95,1.19,0.94,6.83,14.7,11.22,4.89
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.04,       -,       -,       -,-3.05,-2.05
 MANDIOCA (AIPIM),       -,       -,-6.82,0.99,       -,0.85,       -,       -,-0.69,       -,       -,       -,-1.22,8.99,       -,       -,-3.05
 ABOBRINHA,       -,       -,       -,       -,-6.69,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.69
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.51,       -,       -,       -,       -,       -,       -,-1.51
 PIMENTÃO,       -,       -,       -,       -,34.83,19.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,33.12
 TOMATE,45.89,33.91,26.16,6.53,37.11,18.45,13.78,12.28,3.24,47.56,22.17,24.01,40.08,18.82,11.91,-5.84,27.22
 CEBOLA,16.3,10.94,6.61,9.03,10.56,14.41,9.42,16.48,9.23,4.54,13.09,14,11.92,12.88,11.34,6.69,10.55
 CENOURA,52.5,21.12,28.17,27.69,28.01,33.78,37.6,27.86,33.91,24.45,27.91,31.57,       -,       -,       -,25.22,31.47
 AÇÚCARES E DERIVADOS,1.48,-0.06,1.76,-0.76,-0.41,-0.67,1.21,2.01,2.95,-0.7,1.09,-0.06,-1.53,1.73,2.01,1.32,0.39
 AÇÚCAR REFINADO,1.84,-0.29,       -,0.85,-1,-1.96,1.43,1.26,-1.94,-1.98,       -,       -,       -,0.72,-0.02,       -,-0.13
 AÇÚCAR CRISTAL,       -,1.03,1.01,-2.23,       -,0.97,0.65,2.31,5.51,2.01,0.78,-0.42,-3.54,1.88,4.13,1.01,1.3
 BALAS,       -,0.15,       -,       -,       -,1.3,       -,       -,       -,-2.99,2.78,       -,0.35,       -,       -,       -,-0.64
 CHOCOLATE EM BARRA E BOMBOM,-2.26,-1.45,1.56,1.16,-0.89,-2.52,-0.96,1.99,1.49,-2.54,2.24,0.17,-0.18,1.61,1.8,2.85,-0.86
 SORVETE,2.1,0.91,2.97,-0.7,0.44,-1.17,2.78,0.43,0.39,0.25,0.5,0.65,-1.44,       -,       -,0.41,0.82
 CHOCOLATE E ACHOCOLATADO EM PÓ,3.36,0.73,2.66,4.16,0.26,1.22,2.84,4.15,1.88,2.01,1.46,0.32,2.61,2.59,2.5,0.72,1.55
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-0.79,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.79
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.67,2.67
 HORTALIÇAS E VERDURAS,12.8,14.85,2.51,-2.12,9.77,7.33,-0.4,5.42,0.06,14.94,11.3,7.48,13.07,-0.04,12.3,8.12,9.0
 ALFACE,15.28,13.97,2.97,0.28,9.06,10.33,1.5,1.52,3.33,13.7,4.6,6.84,6.84,3.08,6.72,7.15,8.87
 COENTRO,       -,       -,       -,-4.66,       -,       -,       -,       -,-2.45,       -,       -,       -,       -,       -,       -,11.54,-1.92
 COUVE,9.53,       -,1.51,       -,6.3,       -,       -,       -,       -,       -,       -,12.39,       -,-2.59,       -,1.29,5.65
 COUVE-FLOR,5,       -,       -,       -,       -,-2.73,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.61
 REPOLHO,       -,26.91,       -,       -,28.25,       -,       -,       -,18.38,18.91,34.8,       -,31.63,       -,33.46,       -,26.72
 CHEIRO-VERDE,14.84,6.7,-0.59,0.55,7.53,4.58,-2.73,6.6,-6.86,13.13,4.24,9.97,8.51,-1.26,3.34,       -,4.58
 BRÓCOLIS,15.02,12.18,5.43,       -,5.05,8.94,8.33,       -,       -,16.06,       -,-0.39,       -,       -,       -,       -,8.94
 FRUTAS,2.23,13.13,2.2,12.43,6.14,8.02,6.08,2.71,2.62,11.5,3.54,6.5,10.3,-0.05,14.41,2.73,6.39
 BANANA-DA-TERRA,       -,       -,       -,-4.83,       -,       -,       -,       -,-3.35,       -,       -,19.08,       -,0.99,       -,       -,-1.25
 ABACAXI,-4.51,3.54,       -,5.99,       -,       -,-1.7,       -,       -,       -,1.57,2.02,-2.11,       -,       -,3.07,0.91
 ABACATE,       -,       -,       -,       -,       -,       -,-5.91,       -,       -,       -,       -,       -,       -,-10.71,       -,       -,-6.92
 BANANA-D'ÁGUA,7.05,20.14,11.97,       -,7.29,11.45,       -,       -,       -,14.01,       -,       -,14.8,       -,10.6,       -,10.59
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-12.33,       -,-12.38,       -,       -,       -,-12.35
 BANANA-PRATA,-9.25,1.19,-22.73,12.2,0.87,-3.45,7.51,4.17,-4.65,-3.34,-6.29,-13.18,       -,-7.81,6.73,2.78,-4.78
 LARANJA-BAÍA,       -,6.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.5
 LARANJA-LIMA,       -,       -,-1.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.09
 LIMÃO,-29.51,       -,       -,       -,-10.94,5.35,       -,       -,       -,       -,-12.87,19.84,       -,-11.25,       -,       -,-12.12
 MAÇÃ,12.47,23.05,16.82,11.94,9.34,8.94,12.85,9.68,8.26,10.6,10.43,6.89,4.06,5.8,14.29,4,12.15
 MAMÃO,15.81,25.71,27.39,17.61,17.7,16.08,       -,10.09,9.43,19.3,27.07,21.02,34.97,0.86,       -,8.69,19.51
 MANGA,8.18,7.17,13.54,       -,16.11,5.79,       -,8.6,9.13,16.61,       -,6.79,       -,       -,       -,-1.14,13.0
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-19.16,0.46,       -,       -,       -,       -,       -,       -,-9.1,-7.38
 MELANCIA,       -,       -,4.87,9.33,       -,14.15,14.65,       -,15.7,18.54,8.32,       -,12.08,2.55,19.4,       -,12.29
 MELÃO,37.51,       -,       -,48.89,       -,40.52,1.28,       -,       -,32.21,       -,       -,       -,       -,51.34,       -,35.18
 PERA,       -,       -,       -,       -,-8.36,       -,       -,       -,       -,       -,-2.7,-0.98,       -,       -,       -,       -,-7.56
 TANGERINA,       -,       -,       -,       -,-0.09,       -,       -,       -,       -,4.72,       -,       -,       -,       -,       -,       -,0.88
 UVA,9.65,7.54,12.07,11.18,12.29,9.8,8.23,6.77,1.92,9.5,10.3,13.25,7.95,13.39,9.81,9.02,9.8
 LARANJA-PERA,-4.56,       -,9.84,1.09,0.8,-4.25,0.67,-2.46,3.38,-4.64,7.47,2.37,6.5,4,2.18,-6.12,1.3
 MORANGO,       -,8.68,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.68
 GOIABA,       -,       -,       -,       -,       -,       -,-1.96,-5.99,       -,       -,       -,       -,       -,       -,       -,4.11,-3.16
 CARNES,-0.64,1.88,0.18,1.35,0.82,-0.95,0.95,1.11,0.12,-0.13,-1.33,0.47,-0.97,-0.03,-1.68,-0.98,0.33
 FÍGADO,       -,       -,       -,1.98,       -,       -,4.08,-2.09,-0.3,       -,       -,       -,       -,       -,2.64,       -,1.1
 CARNE DE PORCO,-3.6,-0.53,-0.5,-0.99,0.59,0.12,-6.76,3.11,-1.18,-4.64,2.78,-0.09,-1.94,3.58,3.63,-0.99,-0.51
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-8.84,       -,       -,       -,       -,       -,       -,       -,       -,-8.84
 CUPIM,       -,       -,       -,0.31,       -,       -,       -,       -,       -,       -,0.9,       -,       -,       -,       -,       -,0.61
 CONTRAFILÉ,1.61,1.6,0.06,2.32,-0.57,-3.42,2.66,0.47,2.27,1.62,-1.79,-0.37,-2.9,-1.48,-3.44,1.32,-0.07
 FILÉ-MIGNON,-5.99,       -,       -,       -,       -,       -,0.54,       -,       -,-4.99,       -,       -,       -,-0.26,       -,       -,-4.35
 CHÃ DE DENTRO,1.79,2.28,1.39,1.8,0.06,-0.58,2.07,1.88,1.07,1.51,-0.85,0.41,-0.82,0.08,1.31,-0.75,0.92
 ALCATRA,0.16,0.23,0.24,1.33,2.63,0.41,-0.82,0.86,-0.78,2.16,-2.39,-1.57,0.06,1.32,-3.98,-0.4,0.47
 PATINHO,0.98,       -,1.66,1.31,2.71,       -,1,0.69,       -,3.23,-1.34,-0.47,-0.16,5.61,3.34,-1.72,2.05
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,4.49,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.49
 LAGARTO COMUM,       -,0.79,       -,       -,1.13,       -,       -,       -,1.62,       -,-1.02,       -,-0.2,-2.15,       -,       -,0.78
 MÚSCULO,1.73,2.46,-0.49,-0.51,0.57,       -,-1.11,       -,-1.08,-1.39,-2.76,       -,-0.77,-0.02,-4.51,-1.61,-0.07
 PÁ,       -,2.62,2.63,-0.82,1.44,       -,-0.28,       -,       -,       -,       -,0.8,-2.73,-0.18,-1.03,1.55,1.15
 ACÉM,-0.7,3.24,0.92,1.62,0.31,-3.76,0.39,-0.48,0.88,-2.9,-2.65,3.67,-1.17,0.52,-1.14,-1.63,0.1
 PEITO,       -,       -,       -,       -,       -,       -,0.06,       -,       -,       -,       -,       -,2.7,2.28,-2.89,-2.04,-0.15
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-1.58,       -,3.89,0.81,       -,-0.77,2.48,-0.03,       -,       -,0.78
 COSTELA,-4.03,3.08,-2.05,2.48,1.29,-0.3,3.72,2,-1.55,0.28,-2.58,2.75,-1.27,-0.82,-4.06,-1.93,0.36
 PICANHA,       -,-0.13,-1.08,       -,       -,0.43,       -,2.01,       -,       -,       -,       -,       -,       -,       -,       -,0.22
 PESCADOS,0.42,1.46,0.62,0.59,0.51,3.87,2.53,4.03,-1.16,1.01,0.7,1.71,-0.81,-0.27,-1.29,0.31,0.87
 PEIXE-ANCHOVA,       -,       -,       -,0.59,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.59
 PEIXE-CORVINA,-0.24,       -,       -,2.1,       -,       -,       -,       -,-2.79,       -,       -,       -,       -,       -,1.14,-0.18,-0.96
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.49,       -,3.5
 PEIXE-SARDINHA,       -,1.46,       -,0.63,       -,       -,       -,       -,0.24,       -,       -,       -,       -,       -,       -,       -,0.76
 CAMARÃO,-0.8,1.01,       -,-0.04,       -,1.69,0.92,1.02,3.43,2.88,2.59,1.64,       -,       -,1.61,0.09,1.0
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,2.71,       -,       -,       -,       -,       -,       -,       -,       -,2.71
 PEIXE-CAÇÃO,       -,       -,       -,       -,1.82,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.82
 PEIXE-MERLUZA,       -,       -,-1.26,-1.53,1.47,       -,       -,       -,-3.49,       -,1.58,       -,       -,       -,       -,       -,0.32
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,0.47,       -,       -,       -,       -,       -,       -,       -,       -,0.47
 PEIXE-PESCADA,       -,       -,       -,       -,-1.05,       -,1.01,       -,       -,       -,       -,       -,       -,       -,-2.46,0.4,-0.35
 CARANGUEJO,0,       -,       -,       -,       -,       -,2.56,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.41
 PEIXE-CASTANHA,       -,       -,       -,0.59,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.59
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,0.86,       -,       -,       -,       -,       -,       -,       -,       -,0.86
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.27,       -,       -,-0.27
 PEIXE-SALMÃO,3.76,       -,       -,       -,3.77,3.87,       -,3.78,3.71,       -,       -,       -,       -,       -,       -,       -,3.77
 PEIXE-TILÁPIA,       -,1.74,1.18,0.96,-1.83,3.89,       -,5.43,-2.52,0.7,2.56,1.78,-1.78,       -,       -,1.33,0.96
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,4.93,3.65,       -,       -,       -,-3.71,       -,-0.59,-0.27,-2.83,       -,-0.21
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,5.58,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.58
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,4.31,4.61,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.56
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.71,       -,       -,       -,       -,1.71
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.68,       -,       -,       -,1.68
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.7,       -,       -,       -,       -,       -,0.7
 CARNES E PEIXES INDUSTRIALIZADOS,1.46,-0.7,-1.79,1.72,1.36,2.54,-0.98,-2.3,-0.12,-1.5,-0.72,0.11,-0.08,-0.79,-2.82,-0.21,0.22
 PRESUNTO,0.26,-1.16,-2.44,       -,0.72,2.88,       -,-1.35,-3.98,2.44,-2.73,-0.86,-1.69,0.7,       -,-1.04,-0.08
 SALSICHA,       -,-4.2,       -,-0.3,0.42,       -,       -,       -,       -,-0.13,       -,       -,       -,-2.52,       -,       -,-0.71
 LINGUIÇA,2.36,-0.49,-1.51,0.81,1.87,2.23,-3.01,-3.49,0.26,-3.22,-0.3,-0.38,0.53,-0.54,-2.9,-2.06,0.21
 MORTADELA,1.43,       -,-2.32,-0.19,0.1,       -,       -,-2.8,       -,0.4,-1.03,       -,-0.9,       -,       -,       -,-0.19
 SALAME,       -,2.68,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.68
 BACALHAU,1.46,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.82,       -,0.92
 CARNE-SECA E DE SOL,0.89,       -,       -,2.69,       -,2.89,0.05,1.29,0.19,       -,       -,2.9,       -,       -,-2.71,0.89,0.89
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-1.79,       -,       -,       -,       -,       -,       -,       -,-0.72,1.99,       -,       -,       -,       -,-1.0
 AVES E OVOS,-2.35,0.16,0.8,0.82,0.26,2.44,2.48,2.39,-1.38,0.81,0.6,1.01,1.88,1.6,1.25,0.99,0.41
 FRANGO INTEIRO,0.87,-0.25,3.64,-0.6,-0.04,2.71,0.4,4.04,-0.33,-4.94,0.78,-2.9,-5.33,-2.1,0.65,1.05,0.54
 FRANGO EM PEDAÇOS,-4.27,-1.78,-2.97,-2.27,-1.77,-2.27,1.31,0.44,-5.15,0.11,0.35,-0.64,1.01,-0.32,0.81,-1.22,-2.03
 OVO DE GALINHA,3.5,6.75,7.28,9.9,7.3,10.16,12.47,-0.17,6.36,12.47,1.2,12.2,9.4,14.2,5.18,6.45,7.08
 LEITES E DERIVADOS,4.08,7.33,5.15,-0.23,4.57,4.68,3.66,1.63,0.75,6.14,2.51,3.47,2.16,2.08,4.01,2.19,4.15
 LEITE LONGA VIDA,11.58,14.06,8.45,-5.52,10.46,7.94,4.29,2.01,1.23,11.62,8.06,8,4.07,2.61,5.49,2.36,9.34
 LEITE CONDENSADO,0.46,1.17,       -,       -,       -,       -,4.03,       -,       -,       -,       -,       -,       -,2.89,       -,       -,1.51
 LEITE EM PÓ,-0.03,       -,0.68,-0.86,1.25,       -,5.25,1.91,-0.93,0.25,1.14,-0.4,-0.25,1.99,3.89,1.76,1.14
 QUEIJO,-0.13,0.93,2.56,0.84,-1.59,3.61,2.03,0.06,1.44,2.86,-3.03,-0.54,-1.43,-0.79,2.87,3.51,0.21
 IOGURTE E BEBIDAS LÁCTEAS,2.92,0.5,1.98,0.52,1.97,-1.2,-0.33,4.11,2.97,3.56,-2.58,0.24,2.92,2.61,1.74,1.32,1.73
 REQUEIJÃO,1.29,       -,2.26,       -,1.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.8
 MANTEIGA,3.65,       -,4.84,3.57,       -,3.57,2.93,-0.2,0.91,       -,2.19,-0.65,       -,1.9,       -,-0.45,2.53
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.1,       -,       -,       -,       -,       -,       -,2.1
 PANIFICADOS,1.88,1.71,1.62,2.15,2.18,3.32,3.83,3.83,6.08,1.91,3.31,1.85,5.71,1.06,3.93,5.37,2.62
 BISCOITO,4.3,0.61,2.03,1.26,1.38,2.92,0.94,1.66,6.04,2.05,3.82,3.57,4.12,2.31,0.8,3.08,2.33
 PÃO FRANCÊS,0.77,1.38,1.46,2.78,2.84,4.18,4.9,4.92,6.23,0.92,3.81,0.18,7.02,0.22,5.78,6.57,2.97
 PÃO DOCE,1.2,2.55,4.36,       -,1.39,       -,       -,       -,5.48,2.92,       -,1.93,4.26,       -,       -,       -,2.31
 PÃO DE FORMA,0.12,5.45,5.95,       -,0.9,3.69,       -,       -,       -,2.72,       -,4.99,       -,       -,       -,       -,2.2
 BOLO,3.15,1.79,0.04,1.27,2.99,1.92,6.46,3.35,5.03,3.04,3.64,2.37,3.54,5.12,2.14,4.39,2.71
 PÃO DE QUEIJO,       -,       -,-0.96,       -,       -,1.48,       -,       -,       -,       -,0.12,       -,       -,       -,       -,       -,-0.27
 ÓLEOS E GORDURAS,4.49,5,11.32,5.09,3.98,5.83,5.37,7.59,8.34,4.58,12.18,8.94,4.89,8.8,10.32,8.5,6.13
 ÓLEO DE SOJA,8.73,5.67,14.03,7.96,5.78,8.64,7.81,10.67,15.6,6.88,14.21,10.8,6.37,9.58,13.84,12.71,8.99
 AZEITE DE OLIVA,2.66,       -,       -,       -,0.8,-0.43,1.62,       -,-2.59,-1.23,       -,2.87,1.27,3.49,       -,       -,0.8
 MARGARINA,-2.46,2.91,-0.55,0.6,1.63,       -,1.82,2.35,-1.87,1.97,0.81,       -,2.9,       -,-0.19,1.53,0.75
 BEBIDAS E INFUSÕES,1.9,0.7,0.41,1.65,1.96,1.59,8.3,2.1,0.63,1.43,1.33,0.69,1.43,1.91,4.3,0.23,2.03
 SUCO DE FRUTAS,1.14,1.44,0.85,1.71,2.88,1.8,       -,1.31,       -,2.41,0.98,3.09,1.19,       -,       -,       -,1.96
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,2.59,2.48,2.18,       -,       -,       -,       -,4.53,3.87,       -,2.59
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,13.79,       -,       -,       -,       -,       -,       -,-3.28,14.29,       -,13.6
 CAFÉ MOÍDO,4.45,2.98,0.43,3.44,3.01,3.64,2.98,2.93,0.47,5.59,3.45,-0.53,2.38,4.3,3.97,-2.44,2.87
 CAFÉ SOLÚVEL,       -,2.53,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.53
 REFRIGERANTE E ÁGUA MINERAL,0.47,1.19,1.29,1.28,2.88,-1.12,4.11,1.47,1.85,0.46,0.75,0.57,3.34,0.86,0.84,0.89,1.71
 CERVEJA,1.38,-0.55,-0.53,0.38,-0.27,1.73,3.15,1.74,-1.11,-1.18,0.3,1.7,-0.2,       -,2.33,1.94,0.01
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,4.98,       -,       -,-0.39,       -,       -,       -,       -,       -,       -,3.66
 VINHO,0.88,0.81,       -,       -,0.43,       -,       -,       -,       -,2.83,       -,       -,       -,       -,       -,       -,0.87
 SUCO EM PÓ,       -,1.4,0.97,       -,1.48,       -,       -,       -,       -,1.97,       -,       -,-1.47,1.76,       -,       -,1.4
 CHÁ MATE (ERVA MATE),       -,-1.54,       -,       -,       -,       -,       -,       -,       -,0.11,       -,       -,-0.6,       -,       -,       -,-1.06
 ENLATADOS E CONSERVAS,2.16,2.05,1.68,2.67,2.07,3.83,1.73,1.27,3.24,0.95,2.63,1.72,1.5,1.19,0.36,2.37,2.01
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,4.59,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.59
 PALMITO EM CONSERVA,       -,       -,-2.2,       -,2.8,3.17,       -,       -,       -,0.51,3.17,       -,       -,       -,       -,       -,2.15
 PEPINO EM CONSERVA,       -,4.27,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.27
 SARDINHA EM CONSERVA,5.56,-0.46,3.41,2.43,3.3,3.83,0.84,0.59,4.26,3.05,       -,1.43,0.97,1.41,-0.05,3.11,2.63
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,0.96,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.96
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.91,       -,       -,-1.41,       -,       -,       -,1.43
 AZEITONA,-1.31,1.57,-0.19,0.97,1.28,3.26,       -,4.18,0.43,0.26,2.53,0.92,3.95,0.9,       -,       -,0.97
 MILHO-VERDE EM CONSERVA,2.95,4.47,3.71,6.02,2.64,       -,0.41,0.23,4.05,1.24,1.9,3.04,1.2,1.08,3.56,0.46,2.81
 ATUM EM CONSERVA,1.93,-0.5,       -,-0.3,0.3,4.82,       -,       -,1.87,-1.73,       -,       -,       -,       -,       -,       -,0.55
 SAL E CONDIMENTOS,1.88,2.68,0.73,1.17,2.72,1.97,2.6,0.52,1.59,3.22,1.41,4.86,-0.19,0.64,1.69,0.48,2.18
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-0.25,       -,       -,       -,       -,       -,       -,       -,-0.25
 ATOMATADO,-0.28,2.27,1.47,1.85,0.59,4.98,3.86,2.97,0.71,1.45,2.93,2.27,1.06,0.71,0.81,0.3,1.22
 ALHO,2.27,       -,-0.78,1.19,4.36,-0.25,2.14,-1.14,2.79,2.97,-0.36,6.63,-2.62,-0.72,1.07,0.56,2.27
 SAL,5.11,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.46,1.62,-1.27,-0.73,3.57
 COLORAU,       -,       -,       -,       -,       -,       -,       -,0.78,       -,       -,       -,       -,       -,       -,       -,       -,0.78
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-0.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.18
 FERMENTO,       -,-0.26,       -,       -,       -,       -,       -,       -,       -,1.38,       -,       -,       -,       -,       -,       -,0.66
 MAIONESE,3.55,4.93,4.03,2.87,5.68,0.87,1.98,3,       -,5.55,       -,4.38,1.7,3.66,       -,       -,4.76
 VINAGRE,       -,-0.05,       -,-2.61,-0.47,1.31,5.01,       -,0.45,       -,       -,       -,       -,       -,6.48,2.24,0.47
 CALDO CONCENTRADO,       -,1.88,       -,-0.45,       -,       -,       -,2.67,0.84,       -,0.8,5.15,       -,       -,       -,       -,1.41
 TEMPERO MISTO,       -,4.42,-0.63,2.58,2.72,2.15,1.92,0.38,3.3,5.51,3.09,2.03,2.24,2.54,3.1,-0.69,2.62
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.24,0.79,0.53,0.23,0.95,0.18,0.07,-0.11,0.97,0.78,0.39,0.58,1.07,-0.08,0.26,0.58,0.65
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.24,0.79,0.53,0.23,0.95,0.18,0.07,-0.11,0.97,0.78,0.39,0.58,1.07,-0.08,0.26,0.58,0.65
 REFEIÇÃO,0.78,0.71,0.89,0.19,0.73,-0.3,0.44,-0.93,1.09,0.51,1.57,0.18,0.08,-0.06,-0.06,0.17,0.6
 LANCHE,-1.37,0.38,-0.17,0.52,1.82,1.18,-0.98,1.8,0.96,1.05,-1.02,1.39,2.62,-0.37,0.24,1.74,0.76
