"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-0.68,       -,-0.34,-4.33,       -,3.18,-0.69,1.37,       -,       -,-1.26
 COSTELA,-0.69,-0.56,-0.39,1.72,2.92,1.04,1.51,3.47,2.61,1.57,0.43,1.88,2.63,1.97,2.41,0.84,1.39
 PICANHA,       -,1.33,-1.53,       -,       -,-5.16,       -,-1.02,       -,       -,       -,       -,       -,       -,       -,       -,-1.23
 PESCADOS,0.54,1.11,-0.15,-0.51,1.05,1.09,1.82,0.13,3.11,-2.04,0.32,0.94,-0.19,0.49,0.85,0.59,0.99
 PEIXE-ANCHOVA,       -,       -,       -,-0.51,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.51
 PEIXE-CORVINA,0.54,       -,       -,-1.88,       -,       -,       -,       -,5.74,       -,       -,       -,       -,       -,3.56,3.55,2.74
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.02,       -,3.02
 PEIXE-SARDINHA,       -,1.11,       -,0.13,       -,       -,       -,       -,1.12,       -,       -,       -,       -,       -,       -,       -,0.9
 CAMARÃO,1.18,-1,       -,-0.41,       -,1.19,3.72,1.49,0.54,-0.93,2.85,0.11,       -,       -,-0.13,-0.39,1.18
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,2.67,       -,       -,       -,       -,       -,       -,       -,       -,2.67
 PEIXE-CAÇÃO,       -,       -,       -,       -,0.96,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.96
 PEIXE-MERLUZA,       -,       -,1.05,-0.34,1.35,       -,       -,       -,2.28,       -,2.02,       -,       -,       -,       -,       -,1.35
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,-1.95,       -,       -,       -,       -,       -,       -,       -,       -,-1.94
 PEIXE-PESCADA,       -,       -,       -,       -,1.59,       -,1.42,       -,       -,       -,       -,       -,       -,       -,1.32,0.59,1.42
 CARANGUEJO,0,       -,       -,       -,       -,       -,2.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.66
 PEIXE-CASTANHA,       -,       -,       -,-0.51,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.51
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-2.68,       -,       -,       -,       -,       -,       -,       -,       -,-2.68
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.31,       -,       -,-1.31
 PEIXE-SALMÃO,0.26,       -,       -,       -,1.48,1.09,       -,0.69,-1.59,       -,       -,       -,       -,       -,       -,       -,0.71
 PEIXE-TILÁPIA,       -,2.43,-0.49,0.13,0.3,2.09,       -,0.15,2.06,-2.23,-2.03,2.6,-0.17,       -,       -,0.14,0.13
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-2.36,0.36,       -,       -,       -,-1.6,       -,-1.09,0.98,-0.03,       -,-0.03
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,1.82,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.82
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,3.31,1.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.81
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.23,       -,       -,       -,       -,0.23
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.83,       -,       -,       -,0.83
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.32,       -,       -,       -,       -,       -,0.32
 CARNES E PEIXES INDUSTRIALIZADOS,0.84,2.07,-0.43,1.17,1.02,-0.31,1.91,0.08,1.67,1.82,0.89,1.18,2.26,-1.6,1.79,1.98,1.13
 PRESUNTO,2.88,2.62,0.74,       -,1.09,0.21,       -,0.83,2.72,-0.35,-0.76,2.6,2.26,-0.66,       -,2.81,1.41
 SALSICHA,       -,4.02,       -,1.66,3.03,       -,       -,       -,       -,2.81,       -,       -,       -,-0.56,       -,       -,3.0
 LINGUIÇA,-0.6,1.96,-1.37,-0.69,0.74,-1.1,0.13,-1.39,1.06,2.99,1.05,1.24,2.14,-2.08,2.85,2.06,0.7
 MORTADELA,-1.63,       -,2.33,-0.83,0.63,       -,       -,2.99,       -,-2.17,1.56,       -,2.8,       -,       -,       -,0.23
 SALAME,       -,-0.17,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.17
 BACALHAU,1.38,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.18,       -,1.19
 CARNE-SECA E DE SOL,2.82,       -,       -,1.99,       -,1.08,2.78,2.08,1.82,       -,       -,0.83,       -,       -,0.93,1.8,2.08
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,0.46,       -,       -,       -,       -,       -,       -,       -,0.89,-0.26,       -,       -,       -,       -,0.44
 AVES E OVOS,1.6,2.09,2.34,1.35,1.72,1.3,0.87,2.4,3.83,3.79,3.48,3.62,1.27,2.7,1.93,0.87,2.11
 FRANGO INTEIRO,-0.69,3.54,2.76,1.69,5.27,2.06,-0.08,1.3,3.62,3.87,4.91,7.31,0.88,3.48,2.26,-0.23,2.39
 FRANGO EM PEDAÇOS,1.21,2.61,0.81,-0.44,1.64,2.05,1.62,0.87,4.22,4.37,3.06,2.47,0.74,1.2,0.02,1.4,1.93
 OVO DE GALINHA,4.15,-0.26,5.45,3.4,-0.58,-1,3.56,7.54,3.37,1.62,2.14,1.37,2.66,1.69,1.94,2.11,2.19
 LEITES E DERIVADOS,5.45,7.11,6.64,3.2,6.36,4.49,1.45,1.94,3.69,5.03,7.63,4.33,4.96,5.04,7.04,1.57,5.52
 LEITE LONGA VIDA,13.57,10.49,12.59,8.27,10.67,9.51,3.72,3.51,6.92,8.92,11.02,7.04,7.23,8.47,12.89,5.45,10.31
 LEITE CONDENSADO,2.55,1.93,       -,       -,       -,       -,2.6,       -,       -,       -,       -,       -,       -,3.25,       -,       -,2.34
 LEITE EM PÓ,0.62,       -,3.61,0.77,4.5,       -,-0.65,0.1,0.78,0.87,-0.19,3.28,2.29,3.38,5.47,-0.67,1.6
 QUEIJO,1.04,3.71,1.14,3.26,2.96,1.11,4.49,2.49,5.66,3.64,7.05,1.73,3.94,0.8,4.65,0.51,2.95
 IOGURTE E BEBIDAS LÁCTEAS,1.82,3.24,1.91,4.67,0.43,0.18,1.36,0.28,0.16,-1.28,4.2,0.62,-1.27,3.11,4.74,1.98,1.22
 REQUEIJÃO,1.69,       -,0.59,       -,0.39,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.67
 MANTEIGA,3.46,       -,1.25,1.97,       -,3.3,2.86,3.09,1.43,       -,3.39,1.77,       -,3.32,       -,3.17,2.37
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.57,       -,       -,       -,       -,       -,       -,2.57
 PANIFICADOS,3.57,3.06,2.68,3.47,3.88,3.47,0.64,3.6,3.74,3.3,2,2.49,2.43,4.08,4.19,6.1,3.31
 BISCOITO,2.14,0.69,1.02,2.32,1.85,1.32,0.54,1.11,2.59,3.84,0.88,1.63,0.86,-0.1,2.37,2.7,1.78
 PÃO FRANCÊS,4.65,5,4.54,4.36,5,5.17,0.93,5.14,4.4,4.83,3.27,3.02,3.76,5.25,5.22,7.96,4.52
 PÃO DOCE,-1.98,2.4,2.04,       -,5.38,       -,       -,       -,3.72,0.35,       -,6.26,3.89,       -,       -,       -,3.01
 PÃO DE FORMA,7.3,2.93,-1.27,       -,4.7,4.45,       -,       -,       -,0.74,       -,1.25,       -,       -,       -,       -,3.81
 BOLO,1.85,1.17,1.19,1.64,2.04,2.56,-1.45,0.24,3.21,1.93,-0.29,0.8,-1.74,6.36,3.1,3.1,1.59
 PÃO DE QUEIJO,       -,       -,1.1,       -,       -,1.83,       -,       -,       -,       -,0.94,       -,       -,       -,       -,       -,1.16
 ÓLEOS E GORDURAS,5,5.29,5.24,10.43,6.04,7.94,8.75,8.06,5.88,6.22,4.72,2.62,5.28,7.48,7.06,9.24,6.17
 ÓLEO DE SOJA,6.98,6.6,5.38,14.92,9.27,11.31,11.42,10.54,8.87,8.35,5.1,3.54,6.73,8.14,8.22,12.98,8.24
 AZEITE DE OLIVA,2.8,       -,       -,       -,-2.16,-0.26,3.42,       -,-0.2,2.65,       -,-0.63,1.39,2.74,       -,       -,0.16
 MARGARINA,2.72,1.1,4.57,2.9,3.76,       -,5.57,3.5,1.43,2.01,2.36,       -,3.42,       -,3.1,2.39,3.1
 BEBIDAS E INFUSÕES,1.49,1.41,2.94,0.36,1.81,-0.21,6.14,1.83,1.69,2.07,0.09,-0.04,0.73,1.45,1.81,1.51,2.01
 SUCO DE FRUTAS,1.41,1.72,2.48,1.36,0.83,0.42,       -,0.12,       -,-0.19,1.48,1.29,0.62,       -,       -,       -,1.07
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,0.7,-0.77,1.42,       -,       -,       -,       -,3.7,-0.12,       -,0.7
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,12.16,       -,       -,       -,       -,       -,       -,-6.57,7.69,       -,11.73
 CAFÉ MOÍDO,1.07,3.17,4.12,-1.66,3.55,-1.41,2.48,2.29,2.35,3.88,0.48,0.14,0.13,2.86,0.53,4.04,2.5
 CAFÉ SOLÚVEL,       -,1.29,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.29
 REFRIGERANTE E ÁGUA MINERAL,1.74,1.63,3.8,1.4,2.44,1.22,0.5,2.06,1.71,3.9,-0.51,0.15,0.89,2.26,1.63,0.49,2.13
 CERVEJA,1.83,0.14,1.33,-0.33,0.03,-0.49,-1.08,1.64,0.44,0.22,0,-0.71,1.28,       -,1.25,0.54,0.36
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,1.33,       -,       -,1.71,       -,       -,       -,       -,       -,       -,1.42
 VINHO,1.44,2.52,       -,       -,-0.31,       -,       -,       -,       -,0.72,       -,       -,       -,       -,       -,       -,0.84
 SUCO EM PÓ,       -,-1.01,1.74,       -,1.06,       -,       -,       -,       -,-0.26,       -,       -,0.6,0.88,       -,       -,0.63
 CHÁ MATE (ERVA MATE),       -,1.96,       -,       -,       -,       -,       -,       -,       -,-0.01,       -,       -,0.96,       -,       -,       -,1.4
 ENLATADOS E CONSERVAS,0.85,-0.48,1.05,0.18,2.15,1.58,2.94,0.31,1.16,0.91,1.72,0.57,2.23,1.13,0.79,1.38,1.3
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,-0.27,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.27
 PALMITO EM CONSERVA,       -,       -,2.16,       -,1.22,-0.45,       -,       -,       -,3.08,0.34,       -,       -,       -,       -,       -,1.36
 PEPINO EM CONSERVA,       -,1.57,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.57
 SARDINHA EM CONSERVA,0.83,-4.64,0.63,-0.31,1.25,1.56,3.71,-0.49,-1.01,-0.56,       -,-1.12,3.15,2.7,0.85,1.33,0.17
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,3.96,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.96
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.48,       -,       -,0.09,       -,       -,       -,0.42
 AZEITONA,0.74,0.71,0.73,0.84,3.42,3.1,       -,1.94,1.13,0.77,1.96,0.24,0.35,-0.41,       -,       -,1.87
 MILHO-VERDE EM CONSERVA,-0.19,0.89,1.27,1.79,3.42,       -,4.62,0.68,4.92,1.93,3.58,3.12,3.44,-0.21,0.33,1.51,2.3
 ATUM EM CONSERVA,2.08,0.11,       -,-0.84,2.16,0.84,       -,       -,0.57,0.53,       -,       -,       -,       -,       -,       -,1.41
 SAL E CONDIMENTOS,0.12,2.23,2.54,3.69,2.56,1.03,1.66,3.06,2.18,0.87,2.11,0.96,2.44,2.28,3.75,1.12,2.0
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,3.76,       -,       -,       -,       -,       -,       -,       -,3.76
 ATOMATADO,0.88,2.78,1.2,4.27,3.19,0.79,1.2,1.68,1.24,0.39,1.69,1.97,2.99,1.57,1.85,1.67,2.11
 ALHO,-1.14,       -,4.04,7.23,0.93,-1.29,0.54,5.36,3.01,-0.82,2.05,-0.68,2.9,3.06,6.4,1.04,1.31
 SAL,0.08,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.41,1.06,2.38,-0.24,0.53
 COLORAU,       -,       -,       -,       -,       -,       -,       -,0.83,       -,       -,       -,       -,       -,       -,       -,       -,0.83
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,1.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.5
 FERMENTO,       -,1.39,       -,       -,       -,       -,       -,       -,       -,1.59,       -,       -,       -,       -,       -,       -,1.5
 MAIONESE,3.71,3.43,4.4,3.13,6.44,3.78,-0.3,5,       -,4.37,       -,5.1,2.37,2.67,       -,       -,4.76
 VINAGRE,       -,0.58,       -,-1.75,0.81,2.16,1.16,       -,0.98,       -,       -,       -,       -,       -,0.38,0.25,0.67
 CALDO CONCENTRADO,       -,0.86,       -,3.04,       -,       -,       -,0.29,-0.15,       -,2.63,3,       -,       -,       -,       -,1.33
 TEMPERO MISTO,       -,1.41,0.28,1.01,1.54,4.09,4.23,0.72,3.21,-1,2.65,0.01,0.35,1.09,2.66,1.96,1.39
 ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.38,1,1.28,1.15,0.49,-0.1,0.84,-0.32,0.95,0.47,1.5,1.07,1.45,1.43,0.91,1.48,0.62
 ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.38,1,1.28,1.15,0.49,-0.1,0.84,-0.32,0.95,0.47,1.5,1.07,1.45,1.43,0.91,1.48,0.62
 REFEIÇÃO,-0.19,0.53,0.55,0.8,0.43,0.56,0.79,-0.1,0.36,0.32,0.66,0.55,1.13,0.29,0.37,1.5,0.42
 LANCHE,-0.48,2.7,2.86,1.19,0.42,-1.46,1.12,-1.03,1.92,1.01,2.22,1.94,2.36,3.86,1.83,0.91,0.98
