"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 BATATA-INGLESA,-5.96,11.74,2.36,4.36,-2.33,-1.56,10.03,-7.49,-4.63,0.97,3.7,2.38,7.16,6.86,11.58,-6.51,0.83
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,23.63,       -,       -,       -,3.83,11.63
 MANDIOCA (AIPIM),       -,       -,-1.38,14.97,       -,19.26,       -,       -,0.33,       -,       -,       -,5.76,-0.7,       -,       -,5.33
 ABOBRINHA,       -,       -,       -,       -,-16.81,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-16.81
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.7,       -,       -,       -,       -,       -,       -,-0.7
 PIMENTÃO,       -,       -,       -,       -,3.86,0.08,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.48
 TOMATE,8.47,18.25,31.94,1.39,12.85,11.49,10.4,16.44,11.21,13.38,25.54,18.35,15.92,11.88,9.3,0.16,15.71
 CEBOLA,34.65,23.86,33.54,20.85,12.17,31.95,35.13,22.75,12.14,33.79,31.51,34.5,33.89,28.67,18.67,12.7,23.02
 CENOURA,-7.06,-12.28,-6.09,-1.58,5.24,-4.98,-3.36,-0.45,-0.4,-3.8,-9.2,-2.06,       -,       -,       -,-1.22,-2.34
 AÇÚCARES E DERIVADOS,0.93,0.2,1,0.19,1.11,1.19,-1.72,0.11,-0.44,-1.17,0.05,-0.59,0.56,-0.18,-1.42,-0.74,0.38
 AÇÚCAR REFINADO,1.91,-3.09,       -,-2.27,0.71,2.28,-1.15,-0.35,-0.5,-3.16,       -,       -,       -,-1.93,-2.33,       -,0.06
 AÇÚCAR CRISTAL,       -,-1.86,-0.05,0.68,       -,-1.84,-3.5,-0.79,-1.27,-2.1,-1.05,-1.05,-2.63,0.51,-1.92,-3.34,-1.14
 BALAS,       -,4.49,       -,       -,       -,1.86,       -,       -,       -,0.7,2.93,       -,1.19,       -,       -,       -,2.47
 CHOCOLATE EM BARRA E BOMBOM,-0.75,0.16,1.25,0.67,2.66,2.98,-1.58,1.48,-0.22,-3.16,1.98,0.31,2.81,-0.93,-1.26,1.6,1.07
 SORVETE,1.51,1.6,1.63,-0.37,0.94,2.6,-1.12,1.32,1.36,1.43,0.21,0.76,3.07,       -,       -,3.28,1.16
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.08,-0.08,2.35,0.15,-1.27,-2.02,1.46,1.42,0.42,1.31,0.15,-1.3,2.63,0.24,3.06,0.91,0.03
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-0.64,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.64
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.48,1.48
 HORTALIÇAS E VERDURAS,-1.56,-8.86,4.18,6.91,1.91,-0.54,-2.91,5.66,-1.28,-0.76,8.31,-1.7,2.89,0.66,3.39,-6.79,0.5
 ALFACE,-0.91,-4.97,4.45,3.13,1.74,-2.79,-3.18,1.67,0.09,-3.46,7.2,-3.5,-0.09,3.21,-2.41,-3.84,0.64
 COENTRO,       -,       -,       -,13.24,       -,       -,       -,       -,-1.29,       -,       -,       -,       -,       -,       -,-9.2,2.33
 COUVE,-4.61,       -,2.21,       -,4.12,       -,       -,       -,       -,       -,       -,-0.2,       -,0.01,       -,-5.94,1.88
 COUVE-FLOR,1.68,       -,       -,       -,       -,1.8,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.71
 REPOLHO,       -,-26.83,       -,       -,-0.6,       -,       -,       -,-0.7,-3.54,17.36,       -,15.14,       -,2.84,       -,-4.33
 CHEIRO-VERDE,-1.85,-3.61,2.67,-0.59,1.71,0.63,-4.41,6.94,-2.65,1.33,4.63,0.15,4.37,-0.78,5.73,       -,0.52
 BRÓCOLIS,-2.12,-9.66,7.98,       -,2.62,2.6,3.68,       -,       -,7.41,       -,-1.41,       -,       -,       -,       -,1.49
 FRUTAS,5.58,0.69,8.58,-0.55,2.75,1.76,-0.47,0.52,1.48,0.89,4.89,0.41,3.67,-0.95,2.5,0.94,2.91
 BANANA-DA-TERRA,       -,       -,       -,0.63,       -,       -,       -,       -,-0.59,       -,       -,-0.25,       -,5.42,       -,       -,-0.15
 ABACAXI,0.63,4.85,       -,7.22,       -,       -,2.78,       -,       -,       -,-0.65,-4.96,6.25,       -,       -,-8.18,2.4
 ABACATE,       -,       -,       -,       -,       -,       -,4.08,       -,       -,       -,       -,       -,       -,13.67,       -,       -,5.99
 BANANA-D'ÁGUA,6.44,1.19,-2.44,       -,4.34,5.13,       -,       -,       -,-2.75,       -,       -,-0.01,       -,2.08,       -,2.07
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,16.79,       -,10.27,       -,       -,       -,15.3
 BANANA-PRATA,12.79,-1.18,23.75,-1.61,6.53,3.56,1.06,-2.48,7.57,-0.02,10.46,-0.52,       -,-8.2,2.35,2.95,7.93
 LARANJA-BAÍA,       -,11.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,11.41
 LARANJA-LIMA,       -,       -,8.11,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.11
 LIMÃO,4.9,       -,       -,       -,2.22,-3.46,       -,       -,       -,       -,-3.73,1.16,       -,-0.59,       -,       -,1.64
 MAÇÃ,3.58,3.4,7.38,0.76,3.61,3.06,-0.29,0.06,1.45,3.81,-1.36,0.89,-3.83,1.06,2.52,0.24,3.28
 MAMÃO,6.83,0.23,-2.22,-4.96,2.68,4.76,       -,0.03,4.81,1.62,-0.44,2.54,6.54,-18.89,       -,5.64,1.8
 MANGA,-4.48,-5.18,-7.62,       -,-6.2,-8.02,       -,-9.9,-10.56,-9.69,       -,-5.52,       -,       -,       -,-9.81,-7.12
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,5.13,1.67,       -,       -,       -,       -,       -,       -,-0.16,2.4
 MELANCIA,       -,       -,14.57,2.81,       -,12.74,-4.64,       -,-6.38,4.48,16.79,       -,23.24,0,8.78,       -,6.42
 MELÃO,-9.67,       -,       -,-1.4,       -,-10.28,-12.12,       -,       -,5.12,       -,       -,       -,       -,0.82,       -,-3.68
 PERA,       -,       -,       -,       -,5.16,       -,       -,       -,       -,       -,-0.49,6.27,       -,       -,       -,       -,4.66
 TANGERINA,       -,       -,       -,       -,7.33,       -,       -,       -,       -,8,       -,       -,       -,       -,       -,       -,7.5
 UVA,1.45,-2.42,1.17,-3.63,-0.95,-1.17,4.49,-0.32,1.64,-0.65,0.89,0.11,1.24,-0.31,-0.3,1.49,-0.32
 LARANJA-PERA,6.02,       -,4.33,2.65,-0.21,3.15,-0.29,2.95,1.07,2.12,1.9,0.09,1.04,3.06,-0.01,-1.59,1.64
 MORANGO,       -,-2.42,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.42
 GOIABA,       -,       -,       -,       -,       -,       -,3.03,13.29,       -,       -,       -,       -,       -,       -,       -,8.7,9.59
 CARNES,1.26,-0.97,1.07,0.06,0.81,0.05,-1.56,-1.1,0.51,-1.16,-1.13,0.72,-0.06,-0.39,0.47,0.19,0.06
 FÍGADO,       -,       -,       -,0.28,       -,       -,3.8,-5.63,-1.06,       -,       -,       -,       -,       -,2.83,       -,0.03
 CARNE DE PORCO,3.24,1.1,1.52,1.36,0.77,3.02,0.52,-0.57,2.21,-0.61,-2.57,-0.12,2.43,-0.48,2.51,2.41,0.88
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-0.09,       -,       -,       -,       -,       -,       -,       -,       -,-0.09
 CUPIM,       -,       -,       -,-1.08,       -,       -,       -,       -,       -,       -,-0.19,       -,       -,       -,       -,       -,-0.61
 CONTRAFILÉ,-3.33,-3.43,1.59,2.02,3.38,-0.53,0.71,-1.07,1.36,-3.96,-1.17,2.35,1.59,-1.04,3.95,-3.38,0.37
 FILÉ-MIGNON,-1.18,       -,       -,       -,       -,       -,3.85,       -,       -,2.44,       -,       -,       -,-3.32,       -,       -,0.96
 CHÃ DE DENTRO,2.16,-0.06,1.24,1.18,0.13,-1.25,-2.57,-4.55,1.67,-1.15,-0.2,1.75,-1.17,0.52,-1.87,1.66,-0.1
 ALCATRA,3.51,-0.22,0.92,2.08,-1.02,0.08,-0.88,-0.4,-0.6,3.89,0.03,1.93,1.66,0.51,0.72,-0.24,0.77
 PATINHO,1.41,       -,1.84,0.89,4.05,       -,-0.11,-1.07,       -,-0.99,-1.68,-0.15,-1.71,-1.89,-2.24,-2.98,1.74
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-0.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.1
 LAGARTO COMUM,       -,0.88,       -,       -,1.93,       -,       -,       -,-0.37,       -,-0.81,       -,-0.95,-2.03,       -,       -,0.83
 MÚSCULO,0.31,2.25,-0.13,-1.91,-0.2,       -,0.99,       -,-0.9,-3.54,-1.99,       -,-2.57,1.21,2.37,1.26,-0.08
 PÁ,       -,-0.85,1.11,-2.42,0.52,       -,-3.71,       -,       -,       -,       -,-1.95,0.12,-0.76,-4.9,-1.2,-0.65
 ACÉM,0.77,-1.08,1.7,-0.33,-2.54,-3.83,-2.59,1.31,-2.36,-1.07,-2.88,1.22,1.34,-0.04,-2.35,1.83,-1.15
 PEITO,       -,       -,       -,       -,       -,       -,-2.48,       -,       -,       -,       -,       -,1.35,-0.95,-1.83,2.01,-1.48
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-1.84,       -,1.68,-0.59,       -,0.79,-0.02,-0.39,       -,       -,-0.33
 COSTELA,2.36,-3.03,0.15,-1.67,-0.19,1.29,-5.71,-1.23,1.12,-2.52,1.04,-1.07,-1.36,1.97,-2.8,0.04,-1.22
 PICANHA,       -,-0.91,-3.27,       -,       -,1.48,       -,2.25,       -,       -,       -,       -,       -,       -,       -,       -,-0.4
 PESCADOS,2.19,0.37,0.31,-0.78,0.58,0.51,1.95,0.02,0.88,2.31,-0.85,-0.04,-0.45,1.42,-0.23,0.69,0.78
 PEIXE-ANCHOVA,       -,       -,       -,-0.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.78
 PEIXE-CORVINA,2.77,       -,       -,-1.19,       -,       -,       -,       -,0.06,       -,       -,       -,       -,       -,0.84,0.79,0.99
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.32,       -,-3.32
 PEIXE-SARDINHA,       -,0.37,       -,-2.13,       -,       -,       -,       -,1.74,       -,       -,       -,       -,       -,       -,       -,0.39
 CAMARÃO,2.45,0.68,       -,-2.87,       -,-0.39,-1.32,-2.19,2.21,0.33,-2.68,1.76,       -,       -,6.33,0.98,0.68
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-3.87,       -,       -,       -,       -,       -,       -,       -,       -,-3.87
 PEIXE-CAÇÃO,       -,       -,       -,       -,-1.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.18
 PEIXE-MERLUZA,       -,       -,0.41,1.35,0.45,       -,       -,       -,1.62,       -,-2.79,       -,       -,       -,       -,       -,0.37
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,0.23,       -,       -,       -,       -,       -,       -,       -,       -,0.23
 PEIXE-PESCADA,       -,       -,       -,       -,-0.13,       -,2.54,       -,       -,       -,       -,       -,       -,       -,-4.09,-0.47,0.31
 CARANGUEJO,0,       -,       -,       -,       -,       -,-2.8,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.56
 PEIXE-CASTANHA,       -,       -,       -,-0.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.78
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,2.61,       -,       -,       -,       -,       -,       -,       -,       -,2.61
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.48,       -,       -,3.48
 PEIXE-SALMÃO,2,       -,       -,       -,2.8,1.17,       -,2.4,1.92,       -,       -,       -,       -,       -,       -,       -,2.4
 PEIXE-TILÁPIA,       -,0.19,0.28,0.67,0.59,1.62,       -,0.03,0.54,2.63,0.31,0.05,-1.64,       -,       -,0.68,0.67
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.96,2.4,       -,       -,       -,1.88,       -,2.08,0.88,0.26,       -,1.04
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,3.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.35
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-1.69,7.45,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.02
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.24,       -,       -,       -,       -,-1.24
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.49,       -,       -,       -,-0.49
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.85,       -,       -,       -,       -,       -,-0.85
 CARNES E PEIXES INDUSTRIALIZADOS,0.88,2.59,1.83,0.83,-0.39,-0.12,-1.06,-0.03,1.27,-0.36,-0.85,-0.58,0.72,-2.11,-3.3,-0.79,0.35
 PRESUNTO,1.21,2.71,-0.46,       -,0.78,-0.14,       -,-0.55,1.44,1.07,-3.65,-0.81,-0.99,-2.21,       -,2.61,0.86
 SALSICHA,       -,1.49,       -,-0.45,-1.09,       -,       -,       -,       -,0.46,       -,       -,       -,-0.83,       -,       -,-0.23
 LINGUIÇA,1.47,2.85,2.82,2.24,-0.88,-0.88,-1.91,-0.4,0.98,-1.11,0.32,-0.75,1.43,-2.45,-3.53,-0.42,0.14
 MORTADELA,-0.91,       -,0.5,0.49,1.42,       -,       -,-0.02,       -,0.43,-3.42,       -,-0.46,       -,       -,       -,0.49
 SALAME,       -,2.68,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.68
 BACALHAU,2.51,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.3,       -,1.82
 CARNE-SECA E DE SOL,-1.09,       -,       -,0.65,       -,1.81,-0.64,1.59,1.39,       -,       -,-1.66,       -,       -,-2.88,-1.52,0.37
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,1.33,       -,       -,       -,       -,       -,       -,       -,-2.1,2.53,       -,       -,       -,       -,0.74
 AVES E OVOS,-1.34,0.29,-0.91,-0.21,-1.85,1.03,1.84,0.39,-0.06,0.74,-1.69,-0.57,-0.03,-0.08,0.85,-0.58,-0.51
 FRANGO INTEIRO,2.83,2.09,-1.07,-1.43,0.87,1.59,3.55,1.1,0.42,3.9,0.42,1.39,0.96,0.07,1.09,0.27,1.19
 FRANGO EM PEDAÇOS,-2.74,-0.02,-1.58,1.25,-2.91,0.07,-0.37,-1.12,-0.13,-1.05,-3.36,-1.67,-0.72,-1.77,-0.87,-0.94,-1.75
 OVO DE GALINHA,1.89,0.27,0.88,0.15,-0.48,1.66,-1.9,0.1,-0.91,3.23,0.34,-0.66,0.77,0.7,1.29,-1.51,0.29
 LEITES E DERIVADOS,-2.81,-5.1,-2.16,-1.88,-4.62,-1.42,-2.02,-2.06,-1.27,-3.19,-1.61,-5.37,-0.18,-0.37,-2.38,-3.54,-3.27
 LEITE LONGA VIDA,-7.33,-8.24,-4.99,-4.1,-8.78,-4.27,-6.85,-4.6,-7.07,-4.96,-4.74,-9.59,-0.68,-1.01,-8.45,-13.03,-7.09
 LEITE CONDENSADO,2.55,7.32,       -,       -,       -,       -,-4.15,       -,       -,       -,       -,       -,       -,-2.23,       -,       -,2.83
 LEITE EM PÓ,-0.18,       -,1.34,1.44,0.34,       -,-0.36,-1.87,1.9,-1.53,3.09,-0.19,2.61,0.08,-0.52,0.23,0.35
 QUEIJO,-1.68,-4.79,0.05,-3.79,-0.74,1.17,-3.3,1.5,0.11,-2.44,0.98,-3.14,-0.54,-0.13,-0.61,-0.28,-1.38
 IOGURTE E BEBIDAS LÁCTEAS,2.62,2.55,0.55,0.62,0.88,-0.36,0.42,2.05,2.3,-1.47,0.16,3.43,0.84,0.21,1.24,0.79,1.04
 REQUEIJÃO,1.53,       -,1.73,       -,-1.04,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.04
 MANTEIGA,-0.04,       -,0.31,-0.33,       -,-0.46,-1.25,-1.32,1.64,       -,1.01,-1.97,       -,0.99,       -,-0.8,0.19
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.07,       -,       -,       -,       -,       -,       -,-0.07
 PANIFICADOS,1.89,2.01,0.12,0.47,0.31,2.6,1.68,1,-0.02,-0.44,0.99,1.87,0.5,-0.48,2.49,-0.91,0.73
 BISCOITO,2.61,3.78,1.12,0.69,1.14,1.89,2.28,1.66,0.67,-0.85,1.03,0.08,0.42,-0.4,1.23,1.97,1.3
 PÃO FRANCÊS,1.91,0.72,-0.38,0.68,-0.66,2.74,1.22,0.96,-0.33,-0.95,-0.28,2.38,0.41,-0.94,3.95,-2.61,0.24
 PÃO DOCE,0.04,2.38,1.45,       -,0.96,       -,       -,       -,-0.58,1.75,       -,7.13,3.3,       -,       -,       -,1.21
 PÃO DE FORMA,0.4,2.38,0.45,       -,1.18,2.46,       -,       -,       -,2.23,       -,1.65,       -,       -,       -,       -,1.38
 BOLO,3.08,1.63,-3.72,-2.19,1.32,4.03,3.31,-0.93,-0.38,-2.11,3.64,3.01,-0.45,3.76,-2.61,2.81,0.43
 PÃO DE QUEIJO,       -,       -,2.49,       -,       -,2.76,       -,       -,       -,       -,4.33,       -,       -,       -,       -,       -,3.07
 ÓLEOS E GORDURAS,-0.27,-0.69,2.43,1.33,0.69,1.37,-0.13,0.8,1.29,-1.81,1.38,-2.35,0.18,-1.72,0.36,0.02,0.44
 ÓLEO DE SOJA,0.35,-1.1,2.69,0.77,0.35,1.7,0.33,-0.16,1.39,-2.76,1.57,-2.96,-0.15,-2.11,0.34,0.37,0.33
 AZEITE DE OLIVA,-1.85,       -,       -,       -,2.37,0.62,-0.15,       -,-0.77,-2.09,       -,-0.39,0.73,0.68,       -,       -,0.4
 MARGARINA,0.13,0.39,1.45,2.03,0.19,       -,-1.31,2.24,2.34,1.12,0.47,       -,0.73,       -,0.4,-0.5,0.73
 BEBIDAS E INFUSÕES,0.74,1.03,1.92,0.98,0.44,0.73,0.09,0.04,0.6,-0.4,0.42,0.12,0.72,0.84,1.11,0.3,0.59
 SUCO DE FRUTAS,2.21,4.43,3.11,3.79,1.73,0.31,       -,3.04,       -,-0.66,0.62,0.53,1.35,       -,       -,       -,1.9
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,2.22,-0.78,0.45,       -,       -,       -,       -,2.9,-0.88,       -,0.49
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,1.96,       -,       -,       -,       -,       -,       -,1.88,2.06,       -,1.97
 CAFÉ MOÍDO,0.87,-0.21,1.81,0.61,-0.71,-2.34,-0.86,-0.93,1.01,-1.31,-1.88,-1.1,-0.19,-0.08,2,0.59,-0.16
 CAFÉ SOLÚVEL,       -,3.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.78
 REFRIGERANTE E ÁGUA MINERAL,-0.21,0.01,2.12,0.8,1.27,1.6,-0.56,0.17,-0.08,1.04,1.47,0.57,2.75,0.88,0.05,-0.15,0.86
 CERVEJA,1.42,2.66,1.19,1.09,0.2,3.13,-1.28,2.14,0.69,-0.97,1.15,0.95,-0.11,       -,-0.14,0.6,0.75
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,-1.84,       -,       -,-1.21,       -,       -,       -,       -,       -,       -,-1.69
 VINHO,-0.98,-1.94,       -,       -,0.19,       -,       -,       -,       -,0.35,       -,       -,       -,       -,       -,       -,-0.56
 SUCO EM PÓ,       -,0.83,4.27,       -,0.41,       -,       -,       -,       -,1.73,       -,       -,1.6,1.65,       -,       -,1.37
 CHÁ MATE (ERVA MATE),       -,0.85,       -,       -,       -,       -,       -,       -,       -,-2.59,       -,       -,-0.07,       -,       -,       -,-0.05
 ENLATADOS E CONSERVAS,0.94,1.9,0.96,-0.16,-0.76,-0.38,-0.02,1.14,0.41,0.93,0.71,1.56,0.9,-0.45,0.36,2.94,0.32
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,1.2,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.2
 PALMITO EM CONSERVA,       -,       -,2.14,       -,-1.9,2.67,       -,       -,       -,-0.9,-0.3,       -,       -,       -,       -,       -,-1.13
 PEPINO EM CONSERVA,       -,1.81,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.81
 SARDINHA EM CONSERVA,-1.8,3.02,-0.06,-0.47,-2.62,-1.06,-2.15,1.38,-0.4,3.71,       -,1.3,-1.37,-1.7,0.04,2.58,-0.36
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,-0.22,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.22
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.6,       -,       -,0.52,       -,       -,       -,0.59
 AZEITONA,0.58,2.12,-0.49,-2.1,0.61,-1.05,       -,1.63,-0.58,1.08,-0.17,0.84,0.13,0.74,       -,       -,0.36
 MILHO-VERDE EM CONSERVA,5.29,3.28,2.53,1.62,4.15,       -,0.74,0.2,2.04,0.84,4.88,2.56,2.86,0.59,2.8,3.78,2.77
 ATUM EM CONSERVA,1.72,-2.32,       -,0.62,-1.87,0.16,       -,       -,0.09,-1.54,       -,       -,       -,       -,       -,       -,-1.09
 SAL E CONDIMENTOS,-0.13,2.16,2.93,0.39,1.06,-0.65,0.28,-0.15,0.75,2.12,0.72,0.92,0.85,-0.04,2.74,-0.74,1.16
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-0.51,       -,       -,       -,       -,       -,       -,       -,-0.51
 ATOMATADO,0.5,1.41,1.45,-1.03,1.98,0.65,-0.65,-0.49,2.64,2.88,1.82,0.97,0.33,0.65,0.79,0.21,1.55
 ALHO,-0.67,       -,5.17,0.59,0.91,-3.26,-0.06,-1.13,-0.47,2.6,-1.55,1.03,1.89,0.06,2.64,-2.96,0.78
 SAL,-3.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.19,-0.61,3.83,-1.63,-1.64
 COLORAU,       -,       -,       -,       -,       -,       -,       -,-2.7,       -,       -,       -,       -,       -,       -,       -,       -,-2.7
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,0.01,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.01
 FERMENTO,       -,3.05,       -,       -,       -,       -,       -,       -,       -,1.12,       -,       -,       -,       -,       -,       -,1.97
 MAIONESE,2.28,1.32,3.37,4.53,1.32,-1.14,-1.65,3.4,       -,1.28,       -,0.12,-0.98,0.02,       -,       -,1.55
 VINAGRE,       -,-1.03,       -,-0.25,-0.52,0.51,-0.45,       -,-0.21,       -,       -,       -,       -,       -,-2.54,0.57,-0.53
 CALDO CONCENTRADO,       -,3.34,       -,-0.25,       -,       -,       -,-0.74,2.92,       -,2.94,1.06,       -,       -,       -,       -,2.16
 TEMPERO MISTO,       -,6.41,1.29,1.56,-0.1,1.59,2.45,1.8,-0.33,1.71,1.51,1.42,0.68,-0.58,8.13,2,1.27
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.31,0.06,0.52,0.77,0.52,0.07,0.5,0.24,0.29,0.29,-0.18,1.38,0.81,0.48,-0.16,0.01,0.39
