"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 BATATA-DOCE,5.43,0.0,0.0,3.41,2.77,0.0,0.0,0.0,-6.9,0.0,6.9,0.0,0.0,4.9,0.0,0.0,1.83
 BATATA-INGLESA,9.99,4.0,11.18,-3.06,-3.23,4.06,-0.54,8.22,-1.28,2.14,2.09,7.42,19.01,-8.16,1.57,-5.61,2.76
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.12,0.0,0.0,0.0,-4.77,4.92
 MANDIOCA (AIPIM),0.0,0.0,-3.3,-3.96,0.0,9.16,0.0,0.0,3.55,0.0,0.0,0.0,1.28,4.26,0.0,0.0,-0.58
 ABOBRINHA,0.0,0.0,0.0,0.0,7.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.83,0.0,0.0,0.0,0.0,0.0,0.0,-14.83
 PIMENTÃO,0.0,0.0,0.0,0.0,3.48,12.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38
 TOMATE,5.35,7.27,1.89,-4.5,-9.56,1.66,-4.53,-12.95,-4.55,-6.71,-1.23,-2.62,0.55,-2.73,-7.22,-16.03,-3.82
 CEBOLA,11.03,17.28,13.8,5.8,8.98,7.83,4.67,4.15,12.36,18.28,10.59,5.47,9.71,9.3,12.44,4.66,11.22
 CENOURA,0.68,-6.64,4.45,0.9,-7.09,6.55,-1.53,-3.04,-10.49,0.56,2.12,-2.6,0.0,0.0,0.0,-10.79,-2.8
 AÇÚCARES E DERIVADOS,-0.73,1.51,0.14,0.53,-0.03,0.83,1.61,-0.01,0.48,1.3,-0.48,0.01,0.26,0.45,-0.6,2.11,0.33
 AÇÚCAR REFINADO,-3.34,1.16,0.0,-3.56,-1.17,-4.21,1.78,0.52,1.36,-0.39,0.0,0.0,0.0,0.1,1.04,0.0,-1.07
 AÇÚCAR CRISTAL,0.0,0.96,-0.59,-0.42,0.0,-2.31,0.32,-1.22,-0.66,-0.43,-2.81,-1.61,-1.36,0.09,-3.21,2.68,-0.77
 BALAS,0.0,0.8,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3.24,2.27,0.0,1.97,0.0,0.0,0.0,1.79
 CHOCOLATE EM BARRA E BOMBOM,1.59,0.63,-0.33,1.38,0.3,3.71,3.58,1.0,-1.29,2.22,-0.41,-0.03,0.32,2.03,-0.5,-0.02,0.73
 SORVETE,1.71,3.41,1.27,3.32,1.44,2.13,3.21,2.41,2.74,2.65,1.61,3.76,0.81,0.0,0.0,1.08,1.96
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.25,1.56,1.01,0.8,-1.38,0.23,0.31,-0.44,3.04,-0.15,1.39,2.1,2.94,0.81,3.34,3.21,0.09
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.24
 HORTALIÇAS E VERDURAS,0.15,-4.48,-8.51,-8.55,-4.93,-2.66,1.07,-0.99,-0.74,-2.06,-0.63,-2.22,-4.03,-3.06,-7.48,-2.67,-3.93
 ALFACE,-2.79,-5.02,-11.33,-12.96,-6.61,-6.73,7.67,-0.81,1.62,-4.31,-0.22,-4.53,-4.29,-3.82,-0.36,-3.43,-5.85
 COENTRO,0.0,0.0,0.0,-6.9,0.0,0.0,0.0,0.0,-4.6,0.0,0.0,0.0,0.0,0.0,0.0,-3.93,-5.27
 COUVE,-1.09,0.0,-6.16,0.0,-2.96,0.0,0.0,0.0,0.0,0.0,0.0,-0.94,0.0,-0.32,0.0,2.05,-3.21
 COUVE-FLOR,5.78,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83
 REPOLHO,0.0,0.36,0.0,0.0,-11.9,0.0,0.0,0.0,-14.79,3.02,-1.66,0.0,-6.65,0.0,-18.89,0.0,-6.78
 CHEIRO-VERDE,-4.22,1.96,-7.47,-2.5,3.05,2.02,0.09,-1.04,7.69,-2.16,-1.6,0.63,-1.09,-3.35,-3.28,0.0,0.06
 BRÓCOLIS,6.18,-11.16,4.5,0.0,-1.64,-2.19,-1.19,0.0,0.0,-0.72,0.0,-1.57,0.0,0.0,0.0,0.0,-1.49
 FRUTAS,6.09,0.31,9.21,-0.07,0.94,7.67,4.46,0.41,1.3,3.66,5.75,6.05,5.59,3.96,-1.6,2.63,3.09
 BANANA-DA-TERRA,0.0,0.0,0.0,-1.86,0.0,0.0,0.0,0.0,4.09,0.0,0.0,4.14,0.0,-2.31,0.0,0.0,2.89
 ABACAXI,-0.16,0.89,0.0,-4.89,0.0,0.0,2.37,0.0,0.0,0.0,6.95,6.39,6.97,0.0,0.0,-8.37,0.88
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0,0.0,0.09
 BANANA-D'ÁGUA,8.51,1.75,25.26,0.0,6.17,15.92,0.0,0.0,0.0,17.22,0.0,0.0,15.47,0.0,9.99,0.0,10.0
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.01,0.0,0.96,0.0,0.0,0.0,7.62
 BANANA-PRATA,12.7,3.23,25.35,-4.29,0.36,7.58,6.18,2.67,1.19,9.36,15.65,10.6,0.0,-0.82,1.83,0.05,7.51
 LARANJA-BAÍA,0.0,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69
 LARANJA-LIMA,0.0,0.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93
 LIMÃO,39.56,0.0,0.0,0.0,31.18,48.78,0.0,0.0,0.0,0.0,38.25,48.65,0.0,27.14,0.0,0.0,34.57
 MAÇÃ,6.64,7.08,7.5,4.43,1.26,3.68,11.67,-0.11,5.35,6.78,8.89,4.82,5.63,3.03,4.9,3.98,5.13
 MAMÃO,4.25,4.18,-2.25,8.41,-6.25,3.5,0.0,-3.33,0.81,-9.45,0.1,8.29,-3.1,19.92,0.0,3.38,-1.87
 MANGA,-8.44,-15.87,-12.25,0.0,-13.88,-10.66,0.0,-16.25,-1.5,-4.9,0.0,-7.94,0.0,0.0,0.0,-3.02,-11.05
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29,9.43,0.0,0.0,0.0,0.0,0.0,0.0,5.39,7.71
 MELANCIA,0.0,0.0,-16.94,-10.38,0.0,-4.31,-9.9,0.0,-12.93,-18.48,-17.22,0.0,-11.37,-0.44,-20.25,0.0,-14.44
 MELÃO,-0.99,0.0,0.0,-4.07,0.0,5.34,6.81,0.0,0.0,-6.88,0.0,0.0,0.0,0.0,3.03,0.0,-0.7
 PERA,0.0,0.0,0.0,0.0,4.07,0.0,0.0,0.0,0.0,0.0,1.06,2.7,0.0,0.0,0.0,0.0,3.7
 TANGERINA,0.0,0.0,0.0,0.0,8.98,0.0,0.0,0.0,0.0,18.06,0.0,0.0,0.0,0.0,0.0,0.0,11.15
 UVA,0.89,8.92,8.25,5.08,1.32,5.47,6.45,2.53,4.07,4.37,9.23,4.68,5.56,4.28,4.29,11.19,4.28
 LARANJA-PERA,-0.37,0.0,2.25,3.06,-4.16,11.68,1.58,2.97,-0.02,10.71,2.83,-2.45,8.11,4.17,-15.31,1.87,0.31
 MORANGO,0.0,-21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.77
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,3.39,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.07
 CARNES,-0.28,-0.76,0.04,-0.94,-1.49,-3.96,0.21,-1.3,-0.73,0.21,0.31,-1.32,-1.41,-0.06,0.1,-0.91,-0.72
 FÍGADO,0.0,0.0,0.0,0.49,0.0,0.0,-1.32,-3.19,1.85,0.0,0.0,0.0,0.0,0.0,-2.2,0.0,-0.24
 CARNE DE PORCO,1.31,0.08,-0.81,-1.91,-1.88,-3.33,1.1,2.07,-1.1,0.59,0.33,2.51,0.12,-1.36,-1.4,2.12,-0.56
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.91
 CUPIM,0.0,0.0,0.0,-1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,-0.62
 CONTRAFILÉ,1.42,-0.24,1.35,0.22,-0.51,-3.49,0.8,-3.91,-2.14,2.87,0.76,-2.45,0.19,0.42,-1.05,-1.54,0.11
 FILÉ-MIGNON,2.37,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,1.53,0.0,0.0,0.0,-2.44,0.0,0.0,1.46
 CHÃ DE DENTRO,-4.96,1.41,-0.08,-0.27,-3.85,-0.9,2.69,-2.98,-1.56,2.83,0.45,-1.63,-1.97,0.99,-0.6,-0.1,-1.22
 ALCATRA,-0.41,-2.2,-0.84,-0.99,-2.86,-7.69,-1.42,-0.1,0.94,-0.75,-0.74,-4.95,-1.95,0.27,0.74,-1.21,-1.44
 PATINHO,-0.95,0.0,0.75,1.69,-0.51,0.0,0.2,-3.67,0.0,2.4,0.46,-0.47,-2.91,-0.19,3.47,-0.83,-0.03
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38
 LAGARTO COMUM,0.0,0.45,0.0,0.0,-3.27,0.0,0.0,0.0,-0.29,0.0,-1.73,0.0,-0.85,-1.26,0.0,0.0,-1.92
 MÚSCULO,-0.68,-1.09,-1.33,0.88,-1.78,0.0,1.96,0.0,-1.38,0.65,-0.2,0.0,-5.78,1.33,1.8,0.8,-0.76
 PÁ,0.0,0.46,2.21,-2.08,3.03,0.0,2.89,0.0,0.0,0.0,0.0,1.5,-0.08,-0.72,0.83,-0.43,1.66
 ACÉM,-2.64,-1.41,0.95,-2.44,-1.37,-2.7,1.04,-2.08,-2.02,-2.24,1.49,-3.53,-3.17,0.51,4.31,-4.21,-1.17
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,-4.1,-0.71,2.65,-4.24,0.38
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,3.04,-0.25,0.0,-2.57,-1.43,-0.06,0.0,0.0,0.32
 COSTELA,0.67,-1.74,-0.22,-2.23,-1.08,-4.62,-3.06,-1.03,-0.89,-4.73,-0.39,-0.32,-0.69,-0.82,-0.87,0.71,-1.54
 PICANHA,0.0,-1.32,-0.92,0.0,0.0,-4.67,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.12
 PESCADOS,2.34,0.18,-1.79,0.42,-0.64,-1.4,-0.14,0.94,1.13,0.09,-0.52,2.05,-1.91,-0.11,0.57,-0.57,0.12
 PEIXE-ANCHOVA,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
 PEIXE-CORVINA,4.82,0.0,0.0,1.58,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,-2.06,-1.41,2.4
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67
 PEIXE-SARDINHA,0.0,0.18,0.0,0.41,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
 CAMARÃO,1.45,1.67,0.0,1.66,0.0,-0.2,2.33,1.37,2.36,-2.36,3.36,2.57,0.0,0.0,2.1,-0.24,1.66
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,-0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41
 PEIXE-MERLUZA,0.0,0.0,-1.38,-2.18,-1.95,0.0,0.0,0.0,-3.14,0.0,-3.53,0.0,0.0,0.0,0.0,0.0,-2.18
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,0.46,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-1.2,1.01
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,-1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.14
 PEIXE-CASTANHA,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.69
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.33,0.0,0.0,-1.33
 PEIXE-SALMÃO,-0.84,0.0,0.0,0.0,-0.83,-1.4,0.0,-0.82,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63
 PEIXE-TILÁPIA,0.0,-0.72,-1.91,-0.13,-0.26,-0.12,0.0,1.18,2.39,0.5,-0.64,0.24,-2.68,0.0,0.0,-0.05,-0.13
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,0.01,-2.94,0.0,0.0,0.0,0.12,0.0,0.5,0.22,0.35,0.0,-0.69
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.12
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,-10.63,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.98
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,3.1
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.74,0.0,0.0,0.0,-2.74
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.52,0.0,0.0,0.0,0.0,0.0,-0.52
 CARNES E PEIXES INDUSTRIALIZADOS,-0.68,0.72,1.1,0.18,-1.56,-0.38,-0.65,-0.82,-1.94,1.22,-0.62,-2.02,-1.7,0.04,1.16,-0.58,-0.6
 PRESUNTO,-1.03,-0.25,1.69,0.0,1.9,0.04,0.0,-1.62,-1.74,-0.68,-0.72,2.55,-0.21,-2.69,0.0,-2.73,0.47
 SALSICHA,0.0,-0.5,0.0,-0.74,-0.91,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,-0.34,0.0,0.0,-0.34
 LINGUIÇA,-1.69,2.39,2.33,2.28,-2.87,-1.51,-2.57,-0.84,-0.95,1.39,-0.29,-2.86,-2.55,0.63,0.99,0.17,-0.94
 MORTADELA,0.74,0.0,-3.06,0.54,0.13,0.0,0.0,-1.77,0.0,2.41,-2.53,0.0,0.37,0.0,0.0,0.0,-0.01
 SALAME,0.0,-1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.59
 BACALHAU,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,-0.05
 CARNE-SECA E DE SOL,0.9,0.0,0.0,-0.39,0.0,1.91,0.28,0.7,-2.42,0.0,0.0,1.12,0.0,0.0,1.45,-0.6,-0.72
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,-2.92,0.0,0.0,0.0,0.0,-2.49
 AVES E OVOS,-0.22,-1.12,0.7,3.06,-0.71,0.11,0.15,-1.19,0.34,0.8,-0.55,1.07,0.46,0.83,1.27,0.04,0.02
 FRANGO INTEIRO,-1.71,-1.09,0.98,1.78,1.83,-0.89,0.01,-3.15,-1.19,-0.68,0.02,4.11,0.86,1.54,1.45,-1.56,0.01
 FRANGO EM PEDAÇOS,-0.65,-0.85,-0.03,1.02,-1.73,-1.01,1.03,0.86,0.39,1.12,-1.2,-0.73,0.13,1.2,1.68,0.08,-0.58
 OVO DE GALINHA,2.24,-1.96,2.18,9.1,0.66,3.53,-0.34,2.26,3.64,1.59,0.78,1.58,0.91,-1.54,-0.06,3.37,1.68
 LEITES E DERIVADOS,-6.17,-9.31,-9.21,0.53,-7.8,-6.31,-2.22,-0.64,0.39,-6.75,-5.81,-4.54,-4.48,0.95,-2.63,-0.57,-6.15
 LEITE LONGA VIDA,-11.5,-17.94,-16.77,-4.05,-15.32,-11.97,-8.93,-3.4,-3.54,-15.34,-9.94,-10.91,-8.32,-0.08,-9.14,-4.71,-13.71
 LEITE CONDENSADO,-1.28,13.93,0.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,5.54
 LEITE EM PÓ,0.13,0.0,2.59,4.16,1.84,0.0,-2.53,2.4,1.62,1.47,3.85,4.96,2.96,1.11,-0.28,0.88,1.37
 QUEIJO,-5.15,2.68,-1.44,0.15,2.57,-3.23,-0.17,-0.88,4.01,1.28,-3.38,1.27,0.11,0.87,0.49,0.53,0.55
 IOGURTE E BEBIDAS LÁCTEAS,1.01,1.08,0.78,1.62,1.7,5.53,0.14,3.34,2.34,3.37,0.43,3.35,3.35,5.49,0.1,2.48,1.78
 REQUEIJÃO,-1.68,0.0,0.2,0.0,-0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.81
 MANTEIGA,1.94,0.0,0.99,0.26,0.0,0.69,0.06,0.58,0.59,0.0,-1.47,3.78,0.0,1.99,0.0,3.92,0.77
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.28
 PANIFICADOS,0.46,1.61,1.02,-0.59,0.08,0.71,0.98,0.32,0.91,0.76,0.58,0.18,1.1,0.23,3.04,0.54,0.59
 BISCOITO,1.37,2.75,1.32,-0.37,0.46,0.94,0.28,1.57,2.78,0.31,1.6,1.37,1.54,1.72,2.58,-0.06,1.13
 PÃO FRANCÊS,0.09,0.61,0.07,-0.76,-0.28,0.55,1.85,-0.14,-0.04,-0.63,0.65,-1.26,1.27,-0.12,4.38,0.97,0.14
 PÃO DOCE,0.42,-1.29,3.73,0.0,3.42,0.0,0.0,0.0,0.57,1.93,0.0,0.69,3.12,0.0,0.0,0.0,2.19
 PÃO DE FORMA,0.48,3.89,2.21,0.0,0.58,1.76,0.0,0.0,0.0,0.63,0.0,1.84,0.0,0.0,0.0,0.0,1.24
 BOLO,-0.79,1.9,1.17,-0.13,-2.21,-1.09,-4.02,-0.26,0.5,5.86,0.46,3.31,-2.22,-0.83,-3.03,-1.02,-0.26
 PÃO DE QUEIJO,0.0,0.0,3.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.79,0.0,0.0,0.0,0.0,0.0,1.74
 ÓLEOS E GORDURAS,-4.26,-5.63,-3.88,-4.56,-4.29,-4.0,-4.43,-3.34,-4.64,-0.98,-7.71,-4.1,-2.14,-3.82,-7.5,0.31,-4.2
 ÓLEO DE SOJA,-7.63,-7.94,-5.38,-8.8,-5.98,-6.26,-6.36,-6.27,-7.36,-1.84,-9.34,-5.13,-4.29,-4.33,-9.24,-1.04,-6.27
 AZEITE DE OLIVA,-3.39,0.0,0.0,0.0,-1.06,1.7,-1.64,0.0,-2.98,-1.28,0.0,-0.52,0.47,-0.39,0.0,0.0,-1.51
 MARGARINA,1.34,1.21,2.37,1.67,-2.17,0.0,-1.7,1.7,1.46,1.79,0.98,0.0,2.89,0.0,-1.95,2.49,0.33
 BEBIDAS E INFUSÕES,-0.42,0.06,0.43,1.2,0.12,0.53,-0.02,-0.49,-0.01,-0.31,-0.49,0.64,0.76,1.53,-0.3,0.53,0.06
 SUCO DE FRUTAS,0.84,0.45,0.07,0.49,0.13,2.54,0.0,-0.71,0.0,1.31,2.18,1.34,3.17,0.0,0.0,0.0,0.66
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,2.53,5.29,0.04,0.0,0.0,0.0,0.0,0.31,1.28,0.0,1.82
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-2.19,0.0,0.0,0.0,0.0,0.0,0.0,9.36,-2.1,0.0,-2.03
 CAFÉ MOÍDO,-2.34,-0.76,-1.4,-1.57,0.31,-0.25,1.72,-1.02,-0.73,-2.22,-1.96,-0.3,-0.98,0.36,-1.0,-0.8,-0.76
 CAFÉ SOLÚVEL,0.0,-0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48
 REFRIGERANTE E ÁGUA MINERAL,-0.95,-0.05,0.86,3.2,-0.07,-0.28,1.39,-0.67,-0.87,1.48,-1.58,0.32,2.04,0.46,0.79,0.31,0.28
 CERVEJA,0.98,-1.8,1.55,-0.65,0.39,0.9,1.87,-0.67,2.51,-1.12,0.83,1.79,0.53,0.0,1.64,2.08,0.37
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
 VINHO,1.42,4.44,0.0,0.0,-1.01,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.88
 SUCO EM PÓ,0.0,5.31,2.93,0.0,0.24,0.0,0.0,0.0,0.0,-0.43,0.0,0.0,3.72,2.88,0.0,0.0,1.41
 CHÁ MATE (ERVA MATE),0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,1.03,0.0,0.0,0.0,0.34
 ENLATADOS E CONSERVAS,0.82,2.22,2.0,0.83,0.26,-0.37,-0.28,1.14,0.09,0.04,-0.08,1.5,1.83,1.35,0.18,0.8,0.65
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,-2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.58
 PALMITO EM CONSERVA,0.0,0.0,-1.49,0.0,0.98,-0.56,0.0,0.0,0.0,1.86,-0.14,0.0,0.0,0.0,0.0,0.0,0.71
 PEPINO EM CONSERVA,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71
 SARDINHA EM CONSERVA,2.19,3.2,3.48,0.01,1.2,1.44,0.2,0.37,-2.51,-1.15,0.0,1.66,-0.91,2.25,-0.29,-0.47,0.89
