"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 PICANHA,       -,-0.54,1.56,       -,       -,-1.85,       -,-1.8,       -,       -,       -,       -,       -,       -,       -,       -,-0.57
 PESCADOS,-0.33,-0.91,0.15,0.18,0.74,0.48,-0.56,0.28,-1.09,-2.23,1.37,-0.51,-0.82,-0.18,-0.22,0.54,-0.11
 PEIXE-ANCHOVA,       -,       -,       -,0.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.18
 PEIXE-CORVINA,-1.39,       -,       -,-0.91,       -,       -,       -,       -,-2.1,       -,       -,       -,       -,       -,1.03,-0.61,-1.44
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.33,       -,-0.33
 PEIXE-SARDINHA,       -,-0.91,       -,1.75,       -,       -,       -,       -,0.31,       -,       -,       -,       -,       -,       -,       -,0.19
 CAMARÃO,0.5,0,       -,0.39,       -,1.41,-0.47,-1.41,1.03,0.22,0.4,-1.68,       -,       -,1.81,1.54,0.39
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-0.86,       -,       -,       -,       -,       -,       -,       -,       -,-0.86
 PEIXE-CAÇÃO,       -,       -,       -,       -,0.6,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.6
 PEIXE-MERLUZA,       -,       -,2.26,0.8,0.9,       -,       -,       -,-1.58,       -,1.5,       -,       -,       -,       -,       -,0.81
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,0.46,       -,       -,       -,       -,       -,       -,       -,       -,0.46
 PEIXE-PESCADA,       -,       -,       -,       -,-0.6,       -,-1.19,       -,       -,       -,       -,       -,       -,       -,0.93,-0.41,-0.56
 CARANGUEJO,0,       -,       -,       -,       -,       -,1.06,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.6
 PEIXE-CASTANHA,       -,       -,       -,0.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.18
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,0.19,       -,       -,       -,       -,       -,       -,       -,       -,0.19
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.01,       -,       -,-0.01
 PEIXE-SALMÃO,1.08,       -,       -,       -,1.69,0.48,       -,0,-1.09,       -,       -,       -,       -,       -,       -,       -,0.98
 PEIXE-TILÁPIA,       -,-1.45,-0.47,-0.08,0.87,0.15,       -,0.64,0.59,-2.63,1.81,0.34,-1.47,       -,       -,-0.07,-0.08
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.01,1.64,       -,       -,       -,1.57,       -,1.7,-0.23,-1.78,       -,-0.22
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-1.93,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.93
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,1.73,-1.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.8
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.42,       -,       -,       -,       -,-0.42
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.99,       -,       -,       -,-1.99
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.37,       -,       -,       -,       -,       -,1.37
 CARNES E PEIXES INDUSTRIALIZADOS,0.74,0.04,-1.19,-1.36,1.34,1.91,-1.21,2.3,0.06,1.56,1.39,1.13,1.75,0.74,1.28,-0.38,0.6
 PRESUNTO,1.98,-0.7,-0.71,       -,1.88,0.65,       -,0.98,2.49,-0.31,2.25,-2.14,2.38,0.32,       -,-0.58,0.96
 SALSICHA,       -,1.83,       -,1.13,1.46,       -,       -,       -,       -,-1.67,       -,       -,       -,-0.79,       -,       -,0.91
 LINGUIÇA,1.02,-0.01,-1.84,-1.83,1.82,2.59,-0.19,2.91,1.57,3.04,1.78,1.25,1.85,1.27,1.89,1.24,1.24
 MORTADELA,-1.01,       -,0.96,0.2,-2.59,       -,       -,2.58,       -,0.78,1.14,       -,0.52,       -,       -,       -,-0.87
 SALAME,       -,-0.39,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.39
 BACALHAU,0.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.28,       -,0.16
 CARNE-SECA E DE SOL,0.14,       -,       -,-1.88,       -,1.76,-1.69,1.34,-0.88,       -,       -,2.28,       -,       -,0.21,-1.15,-0.99
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-0.34,       -,       -,       -,       -,       -,       -,       -,-1.53,2.03,       -,       -,       -,       -,-0.24
 AVES E OVOS,1.63,2.82,3.18,0.27,3.04,1.69,1.28,1.63,1.01,2.3,2.31,2.18,1.84,0.73,-0.09,0.61,2.06
 FRANGO INTEIRO,3.45,2.07,3.19,-1.76,1.79,2.49,2.09,0.91,1.2,3.32,2,1.74,4.72,1.57,-0.8,-1.04,1.37
 FRANGO EM PEDAÇOS,1.64,3.81,3.73,1.36,4.19,2.42,0.84,2.9,0.5,2.47,2.71,2.52,1.12,0.74,2.08,-0.01,2.87
 OVO DE GALINHA,0.73,0.24,1.84,3.16,0.32,-0.66,-1.14,2.35,1.91,0.36,1.39,1.85,1.43,-1.7,1.7,5.91,0.96
 LEITES E DERIVADOS,0.4,-4.68,-2.67,4,0.27,0.78,7.5,6.59,7.25,-2.89,2.29,3.14,1.58,3.46,1.25,9.51,0.44
 LEITE LONGA VIDA,-2.59,-9,-6.53,13.25,-0.11,-1.81,14.45,6.48,13.93,-6.45,0.34,-2.96,0.12,2.09,-2.21,14.48,-1.78
 LEITE CONDENSADO,-0.66,2.71,       -,       -,       -,       -,14.91,       -,       -,       -,       -,       -,       -,14.51,       -,       -,4.1
 LEITE EM PÓ,4.99,       -,3.95,3.73,1.17,       -,5.47,8.77,5.51,5.52,2.69,7.38,4.12,2.83,2.7,6.17,4.55
 QUEIJO,3.72,2.89,3.56,1.61,0.67,4.19,8.9,6.12,3.28,0.49,4.68,16.36,6.08,4.12,1.75,11.51,2.58
 IOGURTE E BEBIDAS LÁCTEAS,1.54,1.3,-0.26,0,-0.71,-0.35,-0.19,0.61,0.88,-0.93,5.6,4.09,-0.66,1.27,2.89,2.38,0.25
 REQUEIJÃO,-1.49,       -,0.14,       -,2.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.58
 MANTEIGA,0.41,       -,1.61,3.56,       -,2.87,6.36,1.74,4.72,       -,3.66,5.21,       -,5.5,       -,2.31,3.3
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.96,       -,       -,       -,       -,       -,       -,0.96
 PANIFICADOS,0.76,1.36,0.47,2.85,0.06,1.98,4.87,1.14,2.91,1.82,0.25,2.26,1.76,2.14,3.05,2.08,1.22
 BISCOITO,-0.67,1.51,1.61,2.26,0.38,4.8,5.57,-0.96,4.13,2.21,1.93,3.33,4.26,4.11,1.18,2.89,1.62
 PÃO FRANCÊS,0.89,0.74,0.36,3.59,-0.11,1.39,3.87,2.33,2.61,1.37,-1.3,1.66,0.58,1.69,3,1.25,1.12
 PÃO DOCE,1.71,0.44,-2.97,       -,-2.54,       -,       -,       -,-1.87,1.27,       -,2.01,-1.25,       -,       -,       -,-1.13
 PÃO DE FORMA,2.71,4.05,2.38,       -,1.42,0.31,       -,       -,       -,4.5,       -,3.62,       -,       -,       -,       -,2.44
 BOLO,1.79,1.05,-2.82,-0.48,0.7,0.31,11.48,-1.07,3.02,-0.11,0.44,-0.15,4.24,0.83,7.67,7.21,0.87
 PÃO DE QUEIJO,       -,       -,1.51,       -,       -,-0.7,       -,       -,       -,       -,2.93,       -,       -,       -,       -,       -,1.61
 ÓLEOS E GORDURAS,-3.21,-1.53,-7.38,-5.51,-2.41,-4.5,-6.38,-1.11,-3.74,-1.3,-4.5,-5.15,-0.1,-5.93,-0.3,-4.59,-3.44
 ÓLEO DE SOJA,-6.93,-2.44,-8.47,-10.17,-4.48,-6.03,-9.57,-2.73,-6.85,-3.25,-5.48,-6.63,-0.46,-7.08,-0.85,-7.62,-5.56
 AZEITE DE OLIVA,-1.24,       -,       -,       -,0.63,-0.4,0.26,       -,2.51,0.99,       -,0.33,1.43,2.47,       -,       -,0.33
 MARGARINA,2.62,1.27,-2.57,2.3,1.3,       -,-2.98,1.82,1.08,3.41,1.09,       -,-0.19,       -,1.5,0.78,1.08
 BEBIDAS E INFUSÕES,0.92,1.1,0.31,0.48,1.76,0.44,-3.22,1.36,1.67,0.89,0.92,1.71,1.26,1.17,-0.43,-0.04,0.82
 SUCO DE FRUTAS,1.91,1.41,-2.75,3.09,1.51,-0.57,       -,1.03,       -,1.6,2.13,4.28,-0.95,       -,       -,       -,1.14
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,2.1,1.96,3.47,       -,       -,       -,       -,0.07,-2.24,       -,2.1
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-8.03,       -,       -,       -,       -,       -,       -,4.73,-0.27,       -,-7.49
 CAFÉ MOÍDO,-0.4,-1.98,-0.06,-0.9,-0.89,-0.39,-0.28,0.11,1.42,-0.8,-0.64,0.47,0.25,0,-1.62,-1.72,-0.5
 CAFÉ SOLÚVEL,       -,-1.01,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.01
 REFRIGERANTE E ÁGUA MINERAL,0.27,3.06,0.71,0.2,2.83,0.27,0.01,2.1,1.71,0.06,0.93,1.74,1.93,1.67,2.07,0.49,1.66
 CERVEJA,1.66,0.91,0.98,2.31,4.03,1.94,1.52,3.54,1.49,2.61,1.78,2.49,2.4,       -,-0.29,0.9,2.37
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,0.12,       -,       -,2.6,       -,       -,       -,       -,       -,       -,0.71
 VINHO,3.41,1.01,       -,       -,-0.47,       -,       -,       -,       -,2.51,       -,       -,       -,       -,       -,       -,1.08
 SUCO EM PÓ,       -,1.14,0.95,       -,1.84,       -,       -,       -,       -,0.49,       -,       -,0.16,0.78,       -,       -,1.33
 CHÁ MATE (ERVA MATE),       -,0.41,       -,       -,       -,       -,       -,       -,       -,1.12,       -,       -,1.52,       -,       -,       -,0.67
 ENLATADOS E CONSERVAS,2.62,1.85,-0.26,1.71,-0.17,0.81,2.53,0.63,2.22,2.03,1.29,2.67,2.13,0.67,1.7,3.08,1.08
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,7.69,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.69
 PALMITO EM CONSERVA,       -,       -,-0.44,       -,-1.3,-2.35,       -,       -,       -,1.36,0.1,       -,       -,       -,       -,       -,-0.86
 PEPINO EM CONSERVA,       -,1.67,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.67
 SARDINHA EM CONSERVA,3.69,2.11,-1.72,1.97,-0.01,0.53,1.02,-0.37,3.35,3.03,       -,4.11,3.45,0.76,1.64,1.88,1.37
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,0.67,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.67
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.79,       -,       -,3.03,       -,       -,       -,1.97
 AZEITONA,1.14,1.06,0.01,0.57,0.42,2.23,       -,0.53,-0.29,1.05,0.71,0.44,1.75,0.61,       -,       -,0.7
 MILHO-VERDE EM CONSERVA,4.24,4.31,0.81,2.04,-0.36,       -,-0.06,2.97,2.38,1.89,5.15,3.15,1.26,0.57,2.14,6.08,1.82
 ATUM EM CONSERVA,1.53,-1.44,       -,0.64,0.52,1.09,       -,       -,1.27,2.74,       -,       -,       -,       -,       -,       -,0.79
 SAL E CONDIMENTOS,1.51,1.66,-0.94,0.21,0.64,-0.07,0.95,0.29,-0.99,1.75,0.79,1.53,1.49,1.29,-2.74,0,0.65
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,2.25,       -,       -,       -,       -,       -,       -,       -,2.25
 ATOMATADO,2.33,2.51,2.3,1.95,1.26,1.01,2.4,2.1,0.66,2,2.84,2.09,1.44,-0.46,-0.41,0.81,1.75
 ALHO,1.07,       -,-5.05,-5.68,-2.33,-3.38,-2.18,-2.04,-5.07,-0.99,-2.99,0,-0.29,0.58,-7.74,-0.89,-2.22
 SAL,-2.75,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.26,4.13,1.24,-0.11,-1.32
 COLORAU,       -,       -,       -,       -,       -,       -,       -,0.64,       -,       -,       -,       -,       -,       -,       -,       -,0.64
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,2.9,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.9
 FERMENTO,       -,0.39,       -,       -,       -,       -,       -,       -,       -,0.71,       -,       -,       -,       -,       -,       -,0.57
 MAIONESE,4.06,1.03,-0.06,0.25,3.16,3.22,4.44,4.7,       -,4.24,       -,2.38,3.71,2.48,       -,       -,2.74
 VINAGRE,       -,1.3,       -,0.86,-0.05,0.6,1.01,       -,1.13,       -,       -,       -,       -,       -,-1.13,-0.27,0.48
 CALDO CONCENTRADO,       -,0.42,       -,3.62,       -,       -,       -,1.29,1.67,       -,3.1,5.28,       -,       -,       -,       -,1.86
 TEMPERO MISTO,       -,2.69,0.22,3.53,2.16,1.7,1.76,1.46,2.99,1.71,3.37,3.44,4.15,2.66,3.58,0.5,2.1
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.6,0.83,0.84,1.53,1.17,0.67,0.88,0.74,0.39,0.57,0.98,0.58,0.34,0.42,1,0.56,0.89
