"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 FARINHA DE MANDIOCA,-2.67,       -,2.22,-3.01,1.41,2.47,-0.78,-3.5,2.18,       -,-1.47,1.7,       -,-0.2,1.77,-1.19,-0.1
 MASSA SEMIPREPARADA,1.08,0.11,1.49,       -,0.4,1.73,-0.36,3.32,0.04,0.92,2.02,1.68,1.16,       -,       -,       -,0.75
 MACARRÃO INSTANTÂNEO,2.98,       -,       -,       -,4.79,4.8,       -,       -,       -,10.25,       -,3.17,0.38,4.72,       -,       -,4.99
" TUBÉRCULOS, RAÍZES E LEGUMES",-3.85,-2.56,-8.3,-7.03,-1.91,-8.73,-10.12,-12.02,-7.78,-8.25,-8.63,-3.55,-10.41,-5.54,-4.51,-9.15,-5.53
 BATATA-DOCE,9.38,       -,       -,13.15,-0.25,       -,       -,       -,-0.71,       -,-1.1,       -,       -,-2.37,       -,       -,2.62
 BATATA-INGLESA,1.23,0.45,-6.81,-10.54,1.61,-5.33,-0.67,-13.92,-11.72,-6.23,-8.19,-10.46,-8.3,0.51,-10.23,-11.19,-3.47
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.18,       -,       -,       -,-7.81,-6.69
 MANDIOCA (AIPIM),       -,       -,-4.14,-0.83,       -,0.16,       -,       -,-1.29,       -,       -,       -,3.54,-1.19,       -,       -,-1.94
 ABOBRINHA,       -,       -,       -,       -,7.21,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.21
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.81,       -,       -,       -,       -,       -,       -,8.81
 PIMENTÃO,       -,       -,       -,       -,-5.57,-6.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.65
 TOMATE,-0.55,-1.72,-3.06,6.07,-1.16,-8.94,-7.61,6.15,-4.5,-6.78,-5.48,5.48,-10.65,-14.83,-3.23,-4.79,-2.7
 CEBOLA,-7.21,-3.31,-14.46,-12.8,-0.92,-7.49,-5.4,-19.4,-5.25,-10.06,-12.37,-13.14,-18.72,3.5,-4.19,-0.92,-7.06
 CENOURA,-23.66,-22.4,-22.31,-29.37,-21.38,-24.83,-28.25,-25.35,-19.94,-24.21,-20.7,-14.02,       -,       -,       -,-30.44,-23.36
 AÇÚCARES E DERIVADOS,0.28,0.71,-0.07,1.51,1.13,1.07,0.19,1.35,1.17,0.22,0.87,0.53,-1.08,1.13,1.08,0.21,0.73
 AÇÚCAR REFINADO,0.45,1.39,       -,-1.09,0.14,-1.84,-0.73,0.14,-0.25,-0.07,       -,       -,       -,3.01,0.77,       -,0.19
 AÇÚCAR CRISTAL,       -,0.05,-2.84,2.09,       -,1.27,-0.72,1.5,0.99,-2.23,0.29,-0.03,-2.89,0.57,2.2,-0.79,-0.41
 BALAS,       -,-3.39,       -,       -,       -,2.12,       -,       -,       -,-0.16,0.82,       -,0.14,       -,       -,       -,-0.99
 CHOCOLATE EM BARRA E BOMBOM,-0.68,-0.54,2.66,3.35,1.51,1.98,1.1,3.19,2.88,0.69,1.94,1.35,0.51,-0.64,-3.89,1.68,1.18
 SORVETE,0.9,2.82,1.8,1.24,0.79,0.15,2.62,1.44,0.5,0.72,0.39,0.02,0.2,       -,       -,1.61,1.12
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.21,2.97,1.96,1.51,2.07,1.45,0.52,1.57,2.08,1.36,2.41,1.41,0.38,2.24,3.71,1.71,1.74
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-2.71,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.71
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.09,0.09
 HORTALIÇAS E VERDURAS,-4.44,-6.05,-4.6,13.67,-5.81,4.27,0.28,1.48,1.16,-1.07,-3.04,-8.74,-8.08,-2.95,-4.32,3.48,-3.8
 ALFACE,-1.3,-10.81,-5.54,19.21,-6.3,3.73,6.85,-0.16,0.45,-2.91,4.39,-9.51,-5.85,-4.46,-3.04,2.72,-4.8
 COENTRO,       -,       -,       -,8.79,       -,       -,       -,       -,5.72,       -,       -,       -,       -,       -,       -,5.95,6.77
 COUVE,-0.35,       -,-0.33,       -,-2.07,       -,       -,       -,       -,       -,       -,-10.53,       -,-1.45,       -,-1.54,-1.66
 COUVE-FLOR,-9.63,       -,       -,       -,       -,-12.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-10.13
 REPOLHO,       -,1.94,       -,       -,-8.51,       -,       -,       -,-13.54,-7.96,-25.43,       -,-20.22,       -,-10.94,       -,-8.75
 CHEIRO-VERDE,-7.43,-4.3,-1.92,15.21,-3.75,9.68,-3.04,1.96,3.64,7.85,-1.18,-13.58,1.18,-2.37,-0.04,       -,-0.99
 BRÓCOLIS,-6.18,1.22,-8.91,       -,-6.34,7.25,7.17,       -,       -,3.88,       -,4.3,       -,       -,       -,       -,-2.9
 FRUTAS,-2.12,1.04,1.23,-0.58,0.39,1.68,0.67,1.28,0.15,-1.75,0.38,-0.09,1.76,-3.63,0.43,-4.59,0.11
 BANANA-DA-TERRA,       -,       -,       -,0.97,       -,       -,       -,       -,3.57,       -,       -,6.66,       -,-1.91,       -,       -,3.33
 ABACAXI,-5.59,-1.96,       -,0.29,       -,       -,3.67,       -,       -,       -,1.07,0.1,-1.53,       -,       -,-4.46,-1.35
 ABACATE,       -,       -,       -,       -,       -,       -,-0.45,       -,       -,       -,       -,       -,       -,-7.81,       -,       -,-1.89
 BANANA-D'ÁGUA,0.93,1.97,17.44,       -,-3.1,13.38,       -,       -,       -,-7.93,       -,       -,5.01,       -,-0.78,       -,-0.78
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.29,       -,-0.41,       -,       -,       -,2.29
 BANANA-PRATA,-6.66,-4.86,0.11,0.72,-0.86,4.09,-0.54,-3.81,5.62,-1.45,2.26,-3.66,       -,-2.04,-0.63,-6.64,-1.06
 LARANJA-BAÍA,       -,-20.87,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-20.87
 LARANJA-LIMA,       -,       -,-11.48,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-11.48
 LIMÃO,-10.83,       -,       -,       -,7.6,-3.62,       -,       -,       -,       -,-6.18,-7.62,       -,3.69,       -,       -,2.81
 MAÇÃ,-2.96,0.76,1.54,4.19,-0.6,-0.45,0.99,-1.71,0.41,-2.06,0.28,-1.06,4.45,-0.72,3.09,-0.63,0.08
 MAMÃO,10.57,7.44,23.2,-3.63,9.47,8.81,       -,-3.35,0.56,11.11,6.33,5.94,5.72,-2.96,       -,-5.31,9.07
 MANGA,1.88,2.75,-5.23,       -,3.89,4.53,       -,15.25,0.48,1.31,       -,-2.19,       -,       -,       -,7.12,2.27
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,16.15,2.68,       -,       -,       -,       -,       -,       -,2.95,6.92
 MELANCIA,       -,       -,-7.52,-1.26,       -,-4.63,-1.98,       -,-9.14,-5.32,-2.67,       -,0.99,-1.07,-2.13,       -,-4.75
 MELÃO,2.56,       -,       -,2.37,       -,1.15,0.79,       -,       -,1.78,       -,       -,       -,       -,5.78,       -,2.36
 PERA,       -,       -,       -,       -,2.64,       -,       -,       -,       -,       -,-5.84,-0.26,       -,       -,       -,       -,1.53
 TANGERINA,       -,       -,       -,       -,-8.09,       -,       -,       -,       -,-1.75,       -,       -,       -,       -,       -,       -,-6.59
 UVA,-10.98,-1.93,-7.69,-8.88,-0.62,-4.05,2.78,-1.44,-12.12,-1.85,-4.51,-3.79,-4.65,-21.83,-4.52,-12.85,-4.52
 LARANJA-PERA,-0.05,       -,-8.7,-4.04,-4.62,-6.26,3.18,1.72,-4.77,-5.55,2.48,-5.16,-5.62,0.23,2.46,-5.52,-4.05
 MORANGO,       -,13.3,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,13.3
 GOIABA,       -,       -,       -,       -,       -,       -,-0.68,12.16,       -,       -,       -,       -,       -,       -,       -,0.02,6.01
 CARNES,-1.51,-0.03,0.3,-0.12,-0.91,-1.73,-0.39,0.28,-2.08,-0.56,0.1,-1.08,-0.23,-0.01,-0.34,-0.97,-0.62
 FÍGADO,       -,       -,       -,-1.07,       -,       -,-1.66,0.18,-4.05,       -,       -,       -,       -,       -,6.38,       -,-1.1
 CARNE DE PORCO,3.55,1.15,1.47,-3.53,1.48,1.18,-1.81,0.02,-0.43,1.46,1.56,-3.78,-1.74,2.9,-2.73,2.75,1.02
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-2.56,       -,       -,       -,       -,       -,       -,       -,       -,-2.55
 CUPIM,       -,       -,       -,0.71,       -,       -,       -,       -,       -,       -,4.68,       -,       -,       -,       -,       -,2.71
 CONTRAFILÉ,-1.2,0.16,-0.7,1.12,-1.65,-3.52,-1.45,3.34,-2.29,2.56,-0.22,1.02,-0.42,1.41,-2.28,0.28,-0.66
 FILÉ-MIGNON,0.14,       -,       -,       -,       -,       -,0.77,       -,       -,-1.74,       -,       -,       -,0.09,       -,       -,-0.41
 CHÃ DE DENTRO,-0.79,-1.5,-2.31,0.15,-3.77,-1.83,-1.25,0.6,-1.72,-1.53,-0.54,0.62,-1.03,-1.34,-1,-0.9,-1.96
 ALCATRA,-4.45,0.08,1.02,2.08,0.57,-2.62,-0.57,1.8,-1.65,-5.02,-0.58,-0.51,0.24,0.61,1.16,-0.51,-1.18
 PATINHO,-1.54,       -,0.3,-0.77,-1.64,       -,2,0.39,       -,-2.49,-1.11,-0.58,-0.59,-0.23,-0.62,-0.97,-1.07
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-1.19,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.19
 LAGARTO COMUM,       -,-1.82,       -,       -,-1.71,       -,       -,       -,-3.58,       -,0.07,       -,0.77,-0.79,       -,       -,-1.65
 MÚSCULO,-4.77,0.9,-2.13,-1.55,1.45,       -,1.18,       -,-0.92,-4.38,-0.36,       -,0.04,-1.37,-0.39,1.41,-0.46
 PÁ,       -,-2.11,-1.63,1.41,-0.14,       -,-1.18,       -,       -,       -,       -,-1.77,-0.2,-0.91,2.96,-0.84,-0.78
 ACÉM,-2.45,-0.7,-1.1,-2.29,-1.32,-4.98,-2.28,-1.7,-1.59,0.95,-1.69,-2.05,-1.28,-0.2,0.01,-3.49,-1.48
 PEITO,       -,       -,       -,       -,       -,       -,-0.3,       -,       -,       -,       -,       -,-1.09,-0.88,0.36,1.42,-0.16
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-0.43,       -,-0.74,-3.41,       -,-1.04,-1.5,-0.01,       -,       -,-1.42
 COSTELA,4.2,1.2,4.05,-0.46,0.26,1.58,2.24,-1.65,-3.17,1.23,0.96,-1.64,0.84,-1.57,1.31,-2.12,0.66
 PICANHA,       -,-1.55,4.95,       -,       -,-0.67,       -,-1.49,       -,       -,       -,       -,       -,       -,       -,       -,0.18
 PESCADOS,1.64,0.26,1.06,0.09,1.13,-0.86,-3.16,-1.75,-0.24,-0.51,0.56,-1.57,0.1,2.26,-2.91,0.52,-0.63
 PEIXE-ANCHOVA,       -,       -,       -,0.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.09
 PEIXE-CORVINA,3.5,       -,       -,0.19,       -,       -,       -,       -,0.42,       -,       -,       -,       -,       -,-1.22,1.17,1.44
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.91,       -,0.91
 PEIXE-SARDINHA,       -,0.26,       -,-2.14,       -,       -,       -,       -,2.64,       -,       -,       -,       -,       -,       -,       -,0.73
 CAMARÃO,-0.54,-0.49,       -,0.15,       -,-3.79,0.16,1.4,-2.1,-2.73,0.97,-1.92,       -,       -,3.47,0.58,0.15
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-CAÇÃO,       -,       -,       -,       -,1.69,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.69
 PEIXE-MERLUZA,       -,       -,0.16,0.83,-0.98,       -,       -,       -,-2.02,       -,-1.92,       -,       -,       -,       -,       -,-0.92
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-PESCADA,       -,       -,       -,       -,0.64,       -,-8.71,       -,       -,       -,       -,       -,       -,       -,-8.99,-0.53,-6.2
 CARANGUEJO,0,       -,       -,       -,       -,       -,2.89,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.62
 PEIXE-CASTANHA,       -,       -,       -,0.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.09
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-0.82,       -,       -,       -,       -,       -,       -,       -,       -,-0.82
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.26,       -,       -,2.26
 PEIXE-SALMÃO,0.5,       -,       -,       -,1.55,-0.86,       -,0.51,-2.83,       -,       -,       -,       -,       -,       -,       -,0.5
 PEIXE-TILÁPIA,       -,0.72,1.33,0.48,2.53,-0.06,       -,-3.02,0.14,-0.14,0.93,-1.27,1.02,       -,       -,0.49,0.48
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,0,-1.85,       -,       -,       -,3.29,       -,-1.11,2.26,-2.13,       -,-1.11
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,1.29,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.29
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-2.4,-2.75,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.69
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.57,       -,       -,       -,       -,-1.57
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.99,       -,       -,       -,-0.99
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.56,       -,       -,       -,       -,       -,0.56
 CARNES E PEIXES INDUSTRIALIZADOS,1.03,1.73,1.12,1,-0.01,1.7,0.82,2.61,-0.33,-1.18,1.17,0.36,0.56,1.9,0.64,1.58,0.46
 PRESUNTO,1.68,1.2,1.47,       -,2.73,3.04,       -,3.46,-0.28,-0.82,0.74,0.67,-0.28,1.67,       -,2.75,1.67
 SALSICHA,       -,3.04,       -,3.14,3.14,       -,       -,       -,       -,3.18,       -,       -,       -,3.13,       -,       -,3.13
 LINGUIÇA,0.08,1.46,1.48,0.46,-1.82,1.17,0.45,2.51,-1.25,-2.79,1.57,0.82,1.08,1.57,2.92,-0.76,-0.59
 MORTADELA,2.99,       -,1.89,2.71,3.93,       -,       -,1.5,       -,2,2.58,       -,-0.81,       -,       -,       -,2.93
 SALAME,       -,2.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.09
 BACALHAU,0.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0,       -,0.74
 CARNE-SECA E DE SOL,1.32,       -,       -,0.55,       -,1.47,1,3,0.1,       -,       -,-2.32,       -,       -,-2.85,2.6,0.6
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-2.8,       -,       -,       -,       -,       -,       -,       -,-2.43,-0.66,       -,       -,       -,       -,-2.4
 AVES E OVOS,2.03,1.5,1.33,2.14,0.51,-0.14,0.72,1.4,1.04,0.56,0.2,2.73,1,1.52,0.18,1.05,1.05
 FRANGO INTEIRO,-0.5,4.52,0.99,2.07,3.48,-0.75,1.25,0.39,-0.3,-2.2,-0.12,1.03,0.43,2.03,0.05,0.81,0.97
 FRANGO EM PEDAÇOS,3.24,1.28,2.2,3.58,0.63,0.15,1.63,2.72,2.95,1.66,0.61,3.87,1.06,2.12,0.99,1.85,1.71
 OVO DE GALINHA,-1.13,0.61,-0.28,0.06,-2.13,0.38,-2.21,2.94,-0.6,0.29,-0.72,2.15,1.26,-0.29,0.18,-0.33,-0.57
 LEITES E DERIVADOS,3.07,7.64,7.92,2.08,6.01,5.82,1.25,4.08,2.85,8.18,6.38,5.76,5.62,6.42,8.79,3.99,5.68
 LEITE LONGA VIDA,6.69,12.58,13.96,5.99,11.26,8.92,4.66,6.7,4.24,13.16,9.8,7.95,8.19,7.21,17.83,4.96,10.72
 LEITE CONDENSADO,8.63,0.42,       -,       -,       -,       -,2.23,       -,       -,       -,       -,       -,       -,4.83,       -,       -,4.04
 LEITE EM PÓ,1.5,       -,2.47,2.97,0.92,       -,0.11,2.93,2.69,0.07,0.83,3.7,2.88,6.15,7.03,1.29,2.24
 QUEIJO,0.01,3.18,1.81,0.93,-0.26,3.45,1.58,3.06,2.72,7.62,6.52,4.59,0.79,11.02,1.55,6.63,1.84
 IOGURTE E BEBIDAS LÁCTEAS,2.27,-1.77,1.49,-1.27,3.62,2.91,0.27,-0.48,0.1,-1.91,-0.72,2.93,4.86,-1.59,1.21,1.25,1.29
 REQUEIJÃO,1.97,       -,4.22,       -,1.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.27
 MANTEIGA,-2.81,       -,2.61,2.88,       -,4.64,1.35,2.21,1.9,       -,-0.23,1.04,       -,6.69,       -,4.9,1.48
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.58,       -,       -,       -,       -,       -,       -,1.58
 PANIFICADOS,0.99,1.29,0.9,2.77,1.49,2.88,0.99,2.64,3.52,2.68,0.53,2.65,2.14,2.98,1.67,2.45,1.74
 BISCOITO,2.28,1.57,0.87,3.54,1.68,3.49,0.71,1.36,2.75,4.68,1.59,1.59,1.71,1.72,4.52,3.14,2.12
 PÃO FRANCÊS,0.46,2.71,0.08,2.19,0.9,2.45,1.76,2.79,3.83,3.4,0.15,4.05,2.08,3.63,1.88,2.31,1.66
 PÃO DOCE,3.79,-1.28,0.97,       -,-0.43,       -,       -,       -,5.15,-0.36,       -,-3.28,3.09,       -,       -,       -,0.49
 PÃO DE FORMA,-1.26,-2.12,2.68,       -,3.07,5.81,       -,       -,       -,1.67,       -,2.67,       -,       -,       -,       -,1.55
 BOLO,0.23,-0.73,4.58,4.09,3.73,1.48,-4.8,6.29,3.37,-1.78,1.91,2.81,3.05,0.63,-5.25,0.46,2.1
 PÃO DE QUEIJO,       -,       -,1.35,       -,       -,1.76,       -,       -,       -,       -,-1.17,       -,       -,       -,       -,       -,0.66
 ÓLEOS E GORDURAS,-1.7,-0.84,-1.37,2.4,1.41,0.85,0.78,0.85,-0.68,0.72,-1.76,-0.1,-0.62,1.51,-0.59,-0.96,0.14
 ÓLEO DE SOJA,-3.21,-1.93,-2.12,1.42,1,0.34,-0.68,-0.44,-1.75,0.77,-2.39,0.02,-2.35,1.53,-1.24,-2.92,-0.68
 AZEITE DE OLIVA,-0.36,       -,       -,       -,2.2,2.25,4.2,       -,0.96,-2.9,       -,-0.55,2.26,1.39,       -,       -,1.2
 MARGARINA,0.51,2.8,2.33,4.22,2.1,       -,2.32,3.41,1.52,3.21,2.28,       -,3.39,       -,1.66,2.92,2.32
 BEBIDAS E INFUSÕES,0.73,0.68,-0.07,1.45,-0.26,0.4,-4.35,1.3,0.95,0.94,0.62,-0.29,0.75,0.71,-1.34,0.98,-0.06
 SUCO DE FRUTAS,3.68,1.22,0.28,0.36,2.02,2.68,       -,-0.19,       -,-0.43,2.82,1.36,2.85,       -,       -,       -,1.86
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,2.34,3.24,1.74,       -,       -,       -,       -,0.18,3.68,       -,2.34
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-10.35,       -,       -,       -,       -,       -,       -,-3.01,-9.12,       -,-10.22
 CAFÉ MOÍDO,-0.17,1.17,-2.02,2.91,-0.41,0.97,3.09,2.35,1.35,0.65,-0.16,0.73,-0.4,1.64,-0.62,2.3,0.21
 CAFÉ SOLÚVEL,       -,0.65,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.65
 REFRIGERANTE E ÁGUA MINERAL,1.02,1.26,1.17,0.84,-0.66,-0.96,1.11,0.82,0.25,0.79,0.61,-1.58,1.78,0.61,-0.54,0.3,0.31
 CERVEJA,-0.72,0.6,0.79,1.68,-0.88,-0.19,-0.33,-1.5,0.81,1.79,0.76,-0.8,0.9,       -,1.8,0.57,0.14
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,0.97,       -,       -,-0.33,       -,       -,       -,       -,       -,       -,0.66
 VINHO,1.33,-2.11,       -,       -,0.92,       -,       -,       -,       -,0.76,       -,       -,       -,       -,       -,       -,0.32
 SUCO EM PÓ,       -,-0.86,-0.09,       -,0.98,       -,       -,       -,       -,-1.05,       -,       -,-0.79,2.45,       -,       -,0.18
 CHÁ MATE (ERVA MATE),       -,1.23,       -,       -,       -,       -,       -,       -,       -,4.84,       -,       -,0.85,       -,       -,       -,2.05
 ENLATADOS E CONSERVAS,1.19,1.4,2.05,1.95,0.65,1.4,1.5,0.98,1.25,-0.4,0.99,1.92,0.66,1.95,5.16,2.52,1.07
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,1.8,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.8
 PALMITO EM CONSERVA,       -,       -,1.2,       -,-1.67,1.48,       -,       -,       -,-1.04,0.17,       -,       -,       -,       -,       -,-1.08
 PEPINO EM CONSERVA,       -,0.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.83
 SARDINHA EM CONSERVA,1.11,1.04,0.94,2.03,1.35,0.76,2.95,-0.19,0.1,-0.28,       -,1.37,1.65,0.82,5.59,2.58,1.33
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,0.93,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.93
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.28,       -,       -,-0.54,       -,       -,       -,1.02
 AZEITONA,0.91,-0.66,1.72,1.38,1.4,3.57,       -,0.6,0.75,-2.08,1.4,-1.7,0.34,1.27,       -,       -,0.84
 MILHO-VERDE EM CONSERVA,1.79,2.27,3.7,2.81,-0.43,       -,0.26,4.15,1.88,-1.88,1.2,6.55,0.52,5.04,1.9,2.37,1.3
 ATUM EM CONSERVA,1.16,3.35,       -,0.24,2.68,-0.08,       -,       -,3.31,3.49,       -,       -,       -,       -,       -,       -,2.42
 SAL E CONDIMENTOS,2.36,1.26,2.87,3.62,0.68,4.1,-0.22,1.27,-0.33,0.16,1.94,5.43,2.21,0.3,-1.13,-0.67,1.31
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,2.56,       -,       -,       -,       -,       -,       -,       -,2.56
 ATOMATADO,3.28,0.33,2.42,1.87,1.94,2.7,-0.88,1.8,0.37,0.73,1.87,0.17,0.89,1.12,1.45,-0.09,1.64
 ALHO,2.2,       -,3.99,4.22,-2.57,6.72,-1.64,1.53,-2.59,-1.87,1.19,8.14,3.54,-1.11,-4.39,-2.42,0.26
 SAL,0.17,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.47,3.44,6,-0.17,0.96
 COLORAU,       -,       -,       -,       -,       -,       -,       -,-1.14,       -,       -,       -,       -,       -,       -,       -,       -,-1.14
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,2.36,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.36
 FERMENTO,       -,0.56,       -,       -,       -,       -,       -,       -,       -,3.87,       -,       -,       -,       -,       -,       -,2.38
 MAIONESE,2.26,2.15,2.83,3.7,2.09,5.78,3.04,4.05,       -,2.1,       -,5.61,2.57,2.75,       -,       -,2.45
 VINAGRE,       -,2.1,       -,0.52,1.83,1.02,1.12,       -,0.12,       -,       -,       -,       -,       -,1.32,1.95,1.45
 CALDO CONCENTRADO,       -,2.37,       -,6.22,       -,       -,       -,2.14,1.81,       -,2.81,2.33,       -,       -,       -,       -,2.88
 TEMPERO MISTO,       -,1.01,1.37,7.2,2.03,2.46,-0.51,-0.17,1.81,-3.37,3.1,3.67,1.93,0.77,-1.94,-0.33,1.29
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.19,1.4,1.61,0.78,1.75,0.86,0.87,1.93,0.84,1.11,1.05,0.53,1.14,0.56,-0.32,0.94,1.26
