"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MASSA SEMIPREPARADA,-0.02,-1.12,1.1,       -,1.24,1.12,2.88,1.1,-0.08,-0.83,3.82,-0.05,-0.19,       -,       -,       -,0.48
 MACARRÃO INSTANTÂNEO,4.11,       -,       -,       -,0.94,2.55,       -,       -,       -,-0.08,       -,0.74,-0.67,0.16,       -,       -,1.43
" TUBÉRCULOS, RAÍZES E LEGUMES",12.25,-5.38,20.25,9.56,3.4,6.58,7.59,16.52,11.13,7.9,16.03,19.95,6.75,3.25,14.51,21.83,8.7
 BATATA-DOCE,4.26,       -,       -,2.34,-6.55,       -,       -,       -,4.02,       -,-3.52,       -,       -,-1.48,       -,       -,-2.05
 BATATA-INGLESA,17.23,-4.66,33.06,0.75,5.3,4.97,-5.9,3.54,-1.13,8.84,22.96,23.43,18.03,-6.29,5.1,5.82,9.65
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.22,       -,       -,       -,14.59,11.07
 MANDIOCA (AIPIM),       -,       -,1.34,-8.06,       -,-1.2,       -,       -,-2.3,       -,       -,       -,3.62,2.36,       -,       -,-1.2
 ABOBRINHA,       -,       -,       -,       -,22.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,22.83
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,26.23,       -,       -,       -,       -,       -,       -,26.23
 PIMENTÃO,       -,       -,       -,       -,-14.71,9.89,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-12.44
 TOMATE,5.94,-15.12,15.49,15.8,-1.47,3.66,9.4,24.31,18.56,-0.44,16.83,21.2,3.9,4.98,14.01,34.9,6.21
 CEBOLA,14.43,5.26,9.22,12.2,20.86,5.73,11.46,8.53,13.53,9.49,4.24,4.4,7.2,8.28,19.39,12.34,12.43
 CENOURA,23.91,20.5,49.51,35.69,19.85,40.17,14.56,41.24,17.52,20.14,39.67,40.49,       -,       -,       -,25.61,27.64
 AÇÚCARES E DERIVADOS,1.68,0.8,1.16,2.62,1.33,1.03,4.66,1.33,1.52,0.75,0.75,2.45,0.92,1.03,2.01,0.69,1.42
 AÇÚCAR REFINADO,0.31,1.21,       -,0.85,-0.15,0.07,2.49,-1.18,-1.95,-0.76,       -,       -,       -,-2.26,3.1,       -,0.14
 AÇÚCAR CRISTAL,       -,1.67,2.1,3.3,       -,2.96,7.44,1,3.27,1.13,0.75,3.16,1.06,2.13,0.07,1.03,2.45
 BALAS,       -,-0.83,       -,       -,       -,-3.27,       -,       -,       -,1.04,-2.05,       -,2.57,       -,       -,       -,-0.38
 CHOCOLATE EM BARRA E BOMBOM,4.74,1.41,1.29,4.22,1.47,0.99,1.72,4.52,2.79,0.71,2.5,2.96,-0.22,1.55,3.51,2.37,1.7
 SORVETE,3.14,0.08,0.71,1.17,0.54,-1.18,5.02,1.34,-1.01,1.69,-1.17,1.02,0.34,       -,       -,-1.15,0.8
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.97,0.31,-1.06,1.07,4.24,6.42,3.02,5.35,-0.13,0.67,3.24,0.52,1.61,1.12,3.39,-0.09,2.2
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,1.05,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.05
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.37,0.37
 HORTALIÇAS E VERDURAS,10.92,14.56,12.13,-6.64,7.89,7.49,0.73,-2.06,4.37,14.06,5.29,1.95,3.93,10.43,5.04,-3.64,8.1
 ALFACE,7.31,17.47,13.58,-2,10.93,9.95,-5.97,-3.08,3.47,16.78,4.19,5.93,2.92,-0.12,-5.7,0.69,10.35
 COENTRO,       -,       -,       -,-12.44,       -,       -,       -,       -,2.75,       -,       -,       -,       -,       -,       -,-7.49,-3.38
 COUVE,18.81,       -,9.39,       -,1.82,       -,       -,       -,       -,       -,       -,-1.16,       -,16.22,       -,-1.37,6.22
 COUVE-FLOR,15.35,       -,       -,       -,       -,0.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,12.21
 REPOLHO,       -,16.15,       -,       -,-0.06,       -,       -,       -,5.8,22.29,13.87,       -,5.06,       -,4.14,       -,8.1
 CHEIRO-VERDE,0.13,2.45,10.35,1.95,9.12,5.05,0.98,-1.77,7.01,9.66,0.89,-2.15,6.64,16.88,9.81,       -,5.05
 BRÓCOLIS,17.54,13.84,10.31,       -,4.93,8.59,8.13,       -,       -,6.14,       -,0.87,       -,       -,       -,       -,8.59
 FRUTAS,5.52,5.54,5.72,-0.85,2.68,1.46,-0.11,3.95,3.89,4.06,1.29,2.88,-0.9,2.32,3.65,6.41,3.4
 BANANA-DA-TERRA,       -,       -,       -,0.39,       -,       -,       -,       -,-4.56,       -,       -,-18.74,       -,3.96,       -,       -,-5.24
 ABACAXI,10.35,2.63,       -,4.34,       -,       -,0.11,       -,       -,       -,-2.57,5.67,5.32,       -,       -,13.79,4.15
 ABACATE,       -,       -,       -,       -,       -,       -,0.15,       -,       -,       -,       -,       -,       -,5.92,       -,       -,1.3
 BANANA-D'ÁGUA,-4.99,4.54,-10.12,       -,5.81,5.31,       -,       -,       -,12.72,       -,       -,-2.42,       -,4.07,       -,4.06
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.35,       -,12.92,       -,       -,       -,7.43
 BANANA-PRATA,16.9,7.83,16.66,2.56,11.05,6.49,-0.02,5.92,16.11,26.07,10.77,20.42,       -,4.39,2.28,13.08,11.73
 LARANJA-BAÍA,       -,14.9,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,14.9
 LARANJA-LIMA,       -,       -,0.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.47
 LIMÃO,-4.45,       -,       -,       -,-12.84,-16.3,       -,       -,       -,       -,-9.12,-16.37,       -,-20.63,       -,       -,-11.94
 MAÇÃ,-0.04,6.69,0.52,-6.48,0.73,-0.07,2.15,6.03,-0.27,7.83,0.43,0.35,-0.96,1.03,5.66,1.67,1.52
 MAMÃO,-1.09,-2.41,-4.82,-8.11,3.44,0.57,       -,7.64,2.21,-1.67,-7.98,0.67,-3.59,16.97,       -,-3.48,-0.03
 MANGA,5.24,16.14,11.88,       -,1.81,1.59,       -,6.44,5.08,0.35,       -,9.33,       -,       -,       -,6.03,4.39
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-17.14,-1.85,       -,       -,       -,       -,       -,       -,-4.06,-7.21
 MELANCIA,       -,       -,12.06,-12.83,       -,-2.72,-1.27,       -,-3.72,1.24,0.54,       -,-7.18,0.06,7.97,       -,0.58
 MELÃO,-0.34,       -,       -,0.02,       -,6.98,7.45,       -,       -,3.74,       -,       -,       -,       -,2.46,       -,3.15
 PERA,       -,       -,       -,       -,3.25,       -,       -,       -,       -,       -,4.93,1.75,       -,       -,       -,       -,3.36
 TANGERINA,       -,       -,       -,       -,7.55,       -,       -,       -,       -,-4.44,       -,       -,       -,       -,       -,       -,5.11
 UVA,7.48,4.05,-1.98,11.24,-5.68,0.83,-1.08,10.77,1.76,-0.7,1.82,9.56,5.83,6.71,0.82,11.14,0.82
 LARANJA-PERA,-1.29,       -,7.45,-1.29,-0.25,-0.07,-4.99,-7.45,6.91,-5.67,-4.41,1.11,-5.53,-4.56,6.7,-1.06,-0.01
 MORANGO,       -,6.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.5
 GOIABA,       -,       -,       -,       -,       -,       -,-0.11,14.22,       -,       -,       -,       -,       -,       -,       -,8.55,8.9
 CARNES,0.74,1.75,-0.99,1.06,2.15,1.81,2.2,0.01,0.82,1.24,3.15,-0.71,1.83,0.91,0.52,0.11,1.32
 FÍGADO,       -,       -,       -,-1.2,       -,       -,1.19,-1.91,2.01,       -,       -,       -,       -,       -,-5.73,       -,-0.32
 CARNE DE PORCO,-1.06,1.44,-5.32,1.73,-1.65,1.69,-2.38,-2.29,-1.28,-0.01,-1.29,-4.83,-2.71,0.56,-1.63,-2.89,-1.94
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-0.98,       -,       -,       -,       -,       -,       -,       -,       -,-0.98
 CUPIM,       -,       -,       -,1.36,       -,       -,       -,       -,       -,       -,2.9,       -,       -,       -,       -,       -,2.16
 CONTRAFILÉ,1.38,2.28,2.76,-1.22,5.19,1.04,2.85,1.85,0.14,1.7,5.5,4.28,1.97,2.25,4.02,1.85,3.46
 FILÉ-MIGNON,-0.43,       -,       -,       -,       -,       -,-2.28,       -,       -,2.13,       -,       -,       -,1.3,       -,       -,0.2
 CHÃ DE DENTRO,0.56,0.61,1.11,-2.49,1.23,1.63,4.8,-1.38,0.63,1.87,3.98,-0.46,4.08,-1.09,1.76,1,1.11
 ALCATRA,0.49,3.21,3.47,0.93,3.34,5.85,3.94,1.93,1.67,-0.9,2.56,0.82,4.3,-0.03,-0.99,2.09,2.18
 PATINHO,1.46,       -,-0.45,5.36,2.97,       -,1.77,3.3,       -,3.88,1,1.28,0.22,-0.57,1.3,-0.22,2.34
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,1.76,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.76
 LAGARTO COMUM,       -,4.8,       -,       -,1.8,       -,       -,       -,0.56,       -,2.67,       -,3.04,-0.41,       -,       -,2.11
 MÚSCULO,2.27,2.31,-1.76,1.94,-1.09,       -,1.76,       -,2.73,-1.34,3.58,       -,3.81,-2.06,-4.05,-2.35,0.47
 PÁ,       -,-2.82,-3.11,3.45,0.36,       -,2.88,       -,       -,       -,       -,-0.75,0.42,0.44,0.91,1.26,-0.24
 ACÉM,1.88,2.81,-1.2,-0.15,3.63,-2.73,2.41,-1.47,-0.17,1.51,2.11,-0.73,-0.7,1.49,-0.13,-2.61,1.53
 PEITO,       -,       -,       -,       -,       -,       -,1.62,       -,       -,       -,       -,       -,3.62,1.4,3.66,2.73,2.22
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,0.92,       -,1.89,3.18,       -,0.35,0.77,0.91,       -,       -,1.66
 COSTELA,0.65,2.38,-1,4.38,1.53,-1.14,0.4,0.32,0.93,1.95,-0.38,-5.37,1.86,1.69,-0.18,0.37,1.16
 PICANHA,       -,1.71,1.88,       -,       -,3.77,       -,-1.14,       -,       -,       -,       -,       -,       -,       -,       -,1.56
 PESCADOS,1.91,0.47,0.33,0.31,0.32,-0.86,2.38,1.61,3.2,0.69,0.33,0.01,0.84,1.98,0.38,0.6,1.18
 PEIXE-ANCHOVA,       -,       -,       -,0.31,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.31
 PEIXE-CORVINA,4.08,       -,       -,-0.16,       -,       -,       -,       -,5.66,       -,       -,       -,       -,       -,3.62,0.09,4.08
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.47,       -,-1.47
 PEIXE-SARDINHA,       -,0.47,       -,0.93,       -,       -,       -,       -,0.57,       -,       -,       -,       -,       -,       -,       -,0.62
 CAMARÃO,-0.35,-0.12,       -,-0.34,       -,-3.82,1.38,1.61,-1.58,-2.62,-2.1,-0.1,       -,       -,-2.43,0.73,-0.35
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-0.22,       -,       -,       -,       -,       -,       -,       -,       -,-0.22
 PEIXE-CAÇÃO,       -,       -,       -,       -,2.16,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.16
 PEIXE-MERLUZA,       -,       -,1.55,1.35,1.01,       -,       -,       -,3.91,       -,0.13,       -,       -,       -,       -,       -,1.36
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,0.27,       -,       -,       -,       -,       -,       -,       -,       -,0.27
 PEIXE-PESCADA,       -,       -,       -,       -,0.74,       -,3.04,       -,       -,       -,       -,       -,       -,       -,1.72,-0.14,2.07
 CARANGUEJO,0,       -,       -,       -,       -,       -,4.57,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.48
 PEIXE-CASTANHA,       -,       -,       -,0.31,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.31
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,1.5,       -,       -,       -,       -,       -,       -,       -,       -,1.5
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.98,       -,       -,1.98
 PEIXE-SALMÃO,0.16,       -,       -,       -,-0.51,-0.86,       -,0.17,3.28,       -,       -,       -,       -,       -,       -,       -,0.16
 PEIXE-TILÁPIA,       -,0.86,-0.04,0.47,-0.79,0,       -,2.32,-0.97,1.27,2.66,0.1,2.04,       -,       -,1.39,0.47
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.86,1.67,       -,       -,       -,0.33,       -,0.84,1.98,0.32,       -,0.84
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,2.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.07
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-0.86,1.86,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.39
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.01,       -,       -,       -,       -,0.01
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.53,       -,       -,       -,-2.53
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.33,       -,       -,       -,       -,       -,0.33
 CARNES E PEIXES INDUSTRIALIZADOS,-0.7,0.24,1.66,-2.07,-0.32,0.46,-0.31,1.25,0.35,-1.37,0.26,1.77,-1.81,0.59,-1.18,-0.23,-0.2
 PRESUNTO,0.16,1.09,2.85,       -,0.34,0.19,       -,2.82,-2.4,2.83,2.83,2.33,-1.17,2.79,       -,-0.02,0.88
 SALSICHA,       -,-2.32,       -,1.5,0.19,       -,       -,       -,       -,0.1,       -,       -,       -,-0.51,       -,       -,-0.21
 LINGUIÇA,-1.63,1.84,1.62,0.89,-1.05,0.9,2.65,2.12,1.54,-2.7,0.4,2.67,-2.99,0.54,-1.15,-1.57,-0.26
 MORTADELA,0.79,       -,-0.13,-1.83,2.92,       -,       -,-2.39,       -,-1.86,-2.68,       -,2.93,       -,       -,       -,0.79
 SALAME,       -,-3.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.15
 BACALHAU,-0.7,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.18,       -,-0.76
 CARNE-SECA E DE SOL,-0.58,       -,       -,-3.71,       -,-0.34,-1.76,-0.14,0.16,       -,       -,-2.18,       -,       -,-1.23,0.44,-1.23
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,1.66,       -,       -,       -,       -,       -,       -,       -,0.26,-1.79,       -,       -,       -,       -,0.84
 AVES E OVOS,-1.18,-1.14,-1.66,-0.25,-1.06,0.26,0.29,0.64,-1.46,-0.57,-0.08,-0.6,-1.08,-1.38,-1.57,-0.48,-0.81
 FRANGO INTEIRO,2.14,-2.89,-1.94,0.1,-0.89,-0.82,0.19,1.05,-2.82,-2.53,-2.22,0.08,-0.01,-1.98,-1.76,-2.14,-0.85
 FRANGO EM PEDAÇOS,-1.77,-0.72,-1.18,-0.92,-1.05,1.47,0.2,-0.97,-0.56,1.09,1.63,-0.79,-1.28,0.6,-0.33,0.95,-0.71
 OVO DE GALINHA,-0.43,-1.46,-2.63,0.05,-1.24,-0.02,0.84,1.3,-0.63,-4.3,-2.14,-1.23,-1.48,-0.94,-1.73,-0.16,-1.03
 LEITES E DERIVADOS,2.56,-1.32,2.12,-0.63,1.04,0.6,-0.81,1.35,-0.94,1.25,-0.05,0.14,0.2,-0.83,-0.78,-2.08,0.69
 LEITE LONGA VIDA,5.03,-2.04,2.13,-1.3,0.39,3.41,-1.73,1.26,-4.22,0.42,-0.53,-2.13,0.77,-0.65,-0.66,-4.26,0.4
 LEITE CONDENSADO,0.89,-2.66,       -,       -,       -,       -,0.76,       -,       -,       -,       -,       -,       -,-1.12,       -,       -,-0.55
 LEITE EM PÓ,1.06,       -,1.22,0.44,1.48,       -,-2.58,0.87,-0.51,-0.77,-2.17,0.95,2.4,-1.53,-1.1,-1.58,-0.07
 QUEIJO,2.03,-1.18,2.82,-1.27,1.25,-2.39,2.17,2.81,1.37,3.32,0.28,3.18,-2.47,-1.76,2.59,-1.34,1.07
 IOGURTE E BEBIDAS LÁCTEAS,2.78,1.78,2.82,-0.56,3.18,0.53,-1.29,1.97,0.4,1.18,0.68,0.45,1.84,0.53,-2.6,-0.8,1.87
 REQUEIJÃO,-0.39,       -,1.36,       -,1.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.05
 MANTEIGA,-0.93,       -,-1.11,0.77,       -,2.86,3.53,-2.11,-0.66,       -,2.19,2.37,       -,0.44,       -,-1.56,0.38
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.39,       -,       -,       -,       -,       -,       -,-1.39
 PANIFICADOS,1.55,0.03,2,-0.1,3.15,1.83,0.26,1.99,0.04,1.24,0.27,0.95,-0.07,-1.16,-0.66,1.39,1.56
 BISCOITO,1.37,1.35,2.11,0.89,4.07,1.77,2.18,0.31,0.58,1.19,3.42,1.79,-0.2,2.07,-0.02,0.48,2.06
 PÃO FRANCÊS,-0.07,-0.75,2.32,-0.87,2.61,1.24,-1.3,3.08,-0.37,1.57,-1.34,-0.38,-0.6,-2.08,-1.2,2.37,0.98
 PÃO DOCE,3.92,-3.43,1.49,       -,0.82,       -,       -,       -,0.76,0.86,       -,2.48,3.33,       -,       -,       -,0.95
 PÃO DE FORMA,7.05,1.55,1.46,       -,4.84,4.57,       -,       -,       -,0.24,       -,5.92,       -,       -,       -,       -,3.9
 BOLO,2.86,0.69,-0.14,1.56,3.64,4.13,5.87,-0.11,0.75,1.61,2.01,0.32,1.16,-1.91,0.61,-3.78,2.16
 PÃO DE QUEIJO,       -,       -,2.33,       -,       -,-0.38,       -,       -,       -,       -,-0.99,       -,       -,       -,       -,       -,0.93
 ÓLEOS E GORDURAS,1.3,2.71,0.76,0.88,1.88,0.75,1.61,1.76,1.69,1.43,0.94,1.44,1.28,0.09,0.21,-0.56,1.5
 ÓLEO DE SOJA,1.41,2.94,0.29,0.63,2.01,0.31,1.43,1.06,1.48,1.74,0.85,1.44,2.38,-0.11,-0.39,-1.14,1.43
 AZEITE DE OLIVA,1.47,       -,       -,       -,1.03,1.75,2.86,       -,2.91,1.48,       -,1.46,-0.63,1.5,       -,       -,1.46
 MARGARINA,0.93,2.01,2.91,1.28,2.31,       -,0.95,2.95,1.43,0.46,1.49,       -,-0.77,       -,2.06,0.43,1.75
 BEBIDAS E INFUSÕES,1.37,0.42,1.93,0.63,1.31,2.93,7.2,1.22,3.05,1.49,1.42,2.8,1.31,1.57,6.27,2.43,1.93
 SUCO DE FRUTAS,0.19,-0.45,-0.83,0.91,-0.54,-0.32,       -,0.24,       -,1.89,0.15,2,-0.08,       -,       -,       -,-0.05
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,-0.18,1.52,-0.63,       -,       -,       -,       -,-0.15,-1.73,       -,-0.18
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,11.1,       -,       -,       -,       -,       -,       -,1.21,9.09,       -,10.86
 CAFÉ MOÍDO,4.47,6.05,5.88,4.62,3.72,6.92,5.74,3.83,5.3,3.28,5.52,7.59,2.87,4.21,11.41,5.85,4.75
 CAFÉ SOLÚVEL,       -,2.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.09
 REFRIGERANTE E ÁGUA MINERAL,1.78,-0.25,0.43,-1.24,1.38,1.59,1.78,-0.3,1.24,0.39,0.85,0.72,0.36,0.22,0.72,0.43,0.76
 CERVEJA,-0.09,-0.2,0.32,1.19,-0.09,2.05,2.01,-2.1,2.68,1.51,-0.49,-0.59,1.06,       -,0.23,2.05,0.42
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,7.2,       -,       -,-0.25,       -,       -,       -,       -,       -,       -,5.21
 VINHO,-3.23,2.08,       -,       -,1.24,       -,       -,       -,       -,1.75,       -,       -,       -,       -,       -,       -,0.41
 SUCO EM PÓ,       -,1.43,0.5,       -,-1.47,       -,       -,       -,       -,0.37,       -,       -,-0.88,-1.56,       -,       -,-0.41
 CHÁ MATE (ERVA MATE),       -,-3.2,       -,       -,       -,       -,       -,       -,       -,0.82,       -,       -,1.24,       -,       -,       -,-1.92
 ENLATADOS E CONSERVAS,1.89,0.24,1.69,1.03,0.96,2.21,2.06,2.13,1.84,0.77,1.54,0.79,0.6,1.26,2.57,2.53,1.22
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,3.62,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.62
 PALMITO EM CONSERVA,       -,       -,2.28,       -,0.28,1.41,       -,       -,       -,3.71,0.77,       -,       -,       -,       -,       -,0.9
 PEPINO EM CONSERVA,       -,1.77,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.77
 SARDINHA EM CONSERVA,3.61,-1.12,2.52,0.19,2.58,1.85,0.67,1.48,3.65,0.28,       -,0.78,2.24,2.03,2.95,2.96,1.7
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,1.01,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.01
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,1,       -,       -,1.47,       -,       -,       -,1.07
 AZEITONA,2.84,2.53,0.42,2.45,0.94,3.36,       -,3.05,-0.22,0.46,1.79,1.36,-0.3,1.28,       -,       -,1.38
 MILHO-VERDE EM CONSERVA,-0.39,0.55,1.94,2.3,-0.51,       -,2.73,2.84,-0.46,-0.28,2.18,0.16,-0.16,-0.3,-0.18,1.48,0.57
 ATUM EM CONSERVA,0.15,-2.01,       -,2.48,1.06,1.86,       -,       -,2.85,1.03,       -,       -,       -,       -,       -,       -,0.81
 SAL E CONDIMENTOS,-0.34,0.88,1.09,0.74,0.44,-0.25,1.08,0.44,1.59,0.47,1.15,-2,-1.36,0.88,0.84,1.43,0.49
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,0.7,       -,       -,       -,       -,       -,       -,       -,0.7
 ATOMATADO,1.25,0.4,0.85,-0.33,1.26,-0.32,0.16,4.45,0.4,0.84,1.43,0.66,0.57,1.82,2.05,2,0.94
 ALHO,-1.37,       -,1.3,0.92,-0.98,-1.87,-0.31,-3.6,3.39,2.01,-0.84,-4.74,-3.55,0.56,-0.13,0.7,-0.45
 SAL,-1.91,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.95,-1.72,-0.33,0.95,-1.49
 COLORAU,       -,       -,       -,       -,       -,       -,       -,6.19,       -,       -,       -,       -,       -,       -,       -,       -,6.19
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-0.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.83
 FERMENTO,       -,1.05,       -,       -,       -,       -,       -,       -,       -,-0.18,       -,       -,       -,       -,       -,       -,0.36
 MAIONESE,1.28,1.48,0.31,3.33,0.19,2.42,4.29,5.7,       -,0.45,       -,1.06,1.45,1.88,       -,       -,0.87
 VINAGRE,       -,0.1,       -,-0.99,-1.63,1.64,3.65,       -,-1.13,       -,       -,       -,       -,       -,-0.84,2.38,-0.4
 CALDO CONCENTRADO,       -,1.73,       -,5.08,       -,       -,       -,3.84,0.97,       -,2.81,3.13,       -,       -,       -,       -,2.5
 TEMPERO MISTO,       -,0.86,1.86,-0.06,2.05,0.38,1.62,1.12,1.65,-2.54,4.41,0.18,-1.1,2.13,3.79,1.13,1.32
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.37,-0.04,0.4,0.52,-0.14,0.77,0.67,0.09,0.85,0.73,-0.01,0.58,0.68,0.08,0.78,0.96,0.25
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.37,-0.04,0.4,0.52,-0.14,0.77,0.67,0.09,0.85,0.73,-0.01,0.58,0.68,0.08,0.78,0.96,0.25
 REFEIÇÃO,0.38,-0.12,0.06,0.52,0.32,1.02,0.43,0.5,0.87,1.16,0.34,1.01,0.29,0.81,2.64,0.92,0.44
