"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MAMÃO,-12.77,-8.55,-15.08,-5.64,-4.36,-12.41,       -,-0.02,-5.61,-10.83,-9.66,-12.05,-18,-13.3,       -,-1.6,-7.97
 MANGA,6.95,13.78,20.78,       -,15.52,11.27,       -,20.73,7.7,10.03,       -,12.2,       -,       -,       -,3.89,13.62
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-8.25,-7.03,       -,       -,       -,       -,       -,       -,-3.14,-6.81
 MELANCIA,       -,       -,-8.85,-5.61,       -,-10.56,-3.34,       -,-0.27,-4.17,-18.7,       -,-27.95,0,-0.32,       -,-7.69
 MELÃO,-13.63,       -,       -,-5.57,       -,6.18,-0.44,       -,       -,1.45,       -,       -,       -,       -,-5.81,       -,-3.07
 PERA,       -,       -,       -,       -,-4.36,       -,       -,       -,       -,       -,4.45,-1.88,       -,       -,       -,       -,-3.31
 TANGERINA,       -,       -,       -,       -,-8.13,       -,       -,       -,       -,-2.08,       -,       -,       -,       -,       -,       -,-6.77
 UVA,-1.58,-1.35,-4.6,-11.55,-1.53,-8.26,-0.58,-5.35,-2.68,-9.08,-4.02,-12.72,-4.94,-5.92,-4.03,-4.76,-4.03
 LARANJA-PERA,-2.92,       -,-6.38,-7.1,-3.79,2.7,3.7,-8.45,2.84,3.94,2.19,3.01,-9.29,-4.4,-4.76,-1.58,-2.51
 MORANGO,       -,13.24,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,13.24
 GOIABA,       -,       -,       -,       -,       -,       -,0.48,3.59,       -,       -,       -,       -,       -,       -,       -,3.87,2.65
 CARNES,1.31,1.11,-0.03,-1.27,-0.12,0.84,-0.72,2.13,-0.26,0.88,-0.28,1.01,0.22,-1.13,0.99,-0.03,0.24
 FÍGADO,       -,       -,       -,0.05,       -,       -,-1.38,1.36,2.8,       -,       -,       -,       -,       -,2.72,       -,1.28
 CARNE DE PORCO,-1.45,-1.37,3.16,0.5,0.05,-0.77,-0.15,6.97,0.05,-1.24,-0.19,4.86,-1.31,1.13,2.13,-1.86,0.75
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,5.58,       -,       -,       -,       -,       -,       -,       -,       -,5.58
 CUPIM,       -,       -,       -,0.87,       -,       -,       -,       -,       -,       -,-4.79,       -,       -,       -,       -,       -,-2.06
 CONTRAFILÉ,-1.51,1.37,0.38,-0.37,-0.17,1.35,-1.56,-0.03,-0.14,0.68,-0.2,-0.14,1.93,-2.74,1.6,-1.86,-0.07
 FILÉ-MIGNON,6.69,       -,       -,       -,       -,       -,1.06,       -,       -,2.03,       -,       -,       -,2.61,       -,       -,3.83
 CHÃ DE DENTRO,1.18,-0.48,-0.78,-2.4,0.11,-2.97,0.13,2.25,-0.98,-3.54,-1.82,0.43,-0.05,-0.06,0.35,0.53,-0.63
 ALCATRA,3.12,0.16,-2.28,-3.78,3.35,2.92,0,3.2,0.16,3.05,0.32,-0.8,0.5,-0.49,-1.78,1.73,1.42
 PATINHO,1.47,       -,-1.44,1.02,-0.17,       -,-1.09,3.89,       -,0.36,0.07,-0.51,1.29,-1.51,1.58,0.22,0.16
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-0.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.47
 LAGARTO COMUM,       -,2.52,       -,       -,-0.14,       -,       -,       -,1.93,       -,0.51,       -,-1.08,-1.26,       -,       -,0.51
 MÚSCULO,1.29,1.77,-0.92,0.57,-0.36,       -,-0.28,       -,-0.93,1.49,-0.07,       -,-0.21,1.17,-1.88,0.64,0.19
 PÁ,       -,1.4,-0.15,-1.79,2.3,       -,1.34,       -,       -,       -,       -,0.55,2.86,-0.34,0.35,-1.83,1.24
 ACÉM,-0.8,2.85,-1.98,-1.91,-2.99,4.54,1.15,-0.7,0.98,2.46,0.68,1.59,-0.31,-0.38,-2.13,-0.76,-0.84
 PEITO,       -,       -,       -,       -,       -,       -,-0.39,       -,       -,       -,       -,       -,-1.15,-3.47,1.24,-2.49,-0.59
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-0.58,       -,1.63,2.14,       -,-1.01,3.47,-1.13,       -,       -,1.03
 COSTELA,2.92,1.27,-0.82,-1.06,-1.51,-1.82,-4,-1.63,-1.92,4.06,-0.35,1.49,-1.15,-1.7,3.16,0.8,-0.14
 PICANHA,       -,3.6,-0.29,       -,       -,2.56,       -,1.29,       -,       -,       -,       -,       -,       -,       -,       -,1.94
 PESCADOS,-1.12,-0.76,0.42,0.84,0.84,-1.28,-1.5,1.15,-2.04,-0.28,-0.76,-0.05,0.73,-0.73,0.9,1.22,-0.22
 PEIXE-ANCHOVA,       -,       -,       -,0.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.84
 PEIXE-CORVINA,-2.94,       -,       -,-0.21,       -,       -,       -,       -,-4.13,       -,       -,       -,       -,       -,-2.42,2.19,-2.94
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.03,       -,-0.03
 PEIXE-SARDINHA,       -,-0.76,       -,2.74,       -,       -,       -,       -,0.56,       -,       -,       -,       -,       -,       -,       -,0.56
 CAMARÃO,1.92,0.31,       -,1.49,       -,2.24,1.08,-2.77,-0.86,-2.8,0.9,-0.27,       -,       -,2.02,1.39,0.9
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-0.4,       -,       -,       -,       -,       -,       -,       -,       -,-0.4
 PEIXE-CAÇÃO,       -,       -,       -,       -,0.81,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.81
 PEIXE-MERLUZA,       -,       -,0.84,1.22,2.32,       -,       -,       -,-0.78,       -,-2.72,       -,       -,       -,       -,       -,1.22
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,-0.42,       -,       -,       -,       -,       -,       -,       -,       -,-0.42
 PEIXE-PESCADA,       -,       -,       -,       -,2.47,       -,-2.03,       -,       -,       -,       -,       -,       -,       -,-0.27,0.63,-0.44
 CARANGUEJO,0,       -,       -,       -,       -,       -,-2.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.18
 PEIXE-CASTANHA,       -,       -,       -,0.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.84
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-0.62,       -,       -,       -,       -,       -,       -,       -,       -,-0.62
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.73,       -,       -,-0.73
 PEIXE-SALMÃO,-0.46,       -,       -,       -,-0.93,-1.28,       -,-0.45,1.7,       -,       -,       -,       -,       -,       -,       -,-0.46
 PEIXE-TILÁPIA,       -,-1.41,0.3,0.23,-0.1,-1.49,       -,2.46,-1.53,0.16,1.26,-2.34,1.06,       -,       -,0.24,0.23
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-3.68,-1.91,       -,       -,       -,-1.48,       -,-0.03,-0.73,2.06,       -,-0.03
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-3.85,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.85
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,0.01,1.56,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.29
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.9,       -,       -,       -,       -,1.9
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.73,       -,       -,       -,0.73
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.76,       -,       -,       -,       -,       -,-0.76
 CARNES E PEIXES INDUSTRIALIZADOS,1.76,2.33,0.69,2.24,2.65,-0.11,1.79,0.77,0.69,2.34,-0.91,1.89,0.72,2.74,2.47,-0.86,1.85
 PRESUNTO,3.21,3.26,-2.92,       -,1.54,-0.01,       -,3.92,0.92,1.69,-1.91,0.92,3.06,3.61,       -,2.66,1.54
 SALSICHA,       -,2.74,       -,-1.24,2.75,       -,       -,       -,       -,1.86,       -,       -,       -,2.18,       -,       -,2.18
 LINGUIÇA,2.49,2.56,1.46,3.97,2.87,0.5,2.9,-0.25,1.59,2.49,-1.06,2.26,0.39,2.76,2.27,1.23,2.27
 MORTADELA,3.71,       -,2.45,1.62,3,       -,       -,1.91,       -,3.1,0.59,       -,-0.58,       -,       -,       -,2.7
 SALAME,       -,-0.08,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.08
 BACALHAU,1.76,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.47,       -,1.84
 CARNE-SECA E DE SOL,-2.94,       -,       -,2.41,       -,-1.71,1.25,0.55,0.25,       -,       -,2.25,       -,       -,2.8,-2.48,0.55
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,0.48,       -,       -,       -,       -,       -,       -,       -,-0.71,-0.74,       -,       -,       -,       -,0.04
 AVES E OVOS,1.09,4.29,2.59,1.33,0.83,0.43,1.37,2.87,1.83,0.75,0.8,1.94,-0.39,1.48,4.6,0.78,1.65
 FRANGO INTEIRO,1.23,1.85,0.4,-0.02,1.15,0.49,1.12,3.88,3.76,2.13,0.83,-0.53,-0.84,2.98,4.15,-0.72,1.78
 FRANGO EM PEDAÇOS,1.75,2.78,3.42,3.23,0.89,0.01,4.76,1.01,0.68,0.24,0.68,4.16,1.36,2.26,2.65,2.09,1.62
 OVO DE GALINHA,-1.29,10.3,3.13,1.46,0.41,1.01,-1.33,2.02,0.45,0.76,1.18,-0.13,-3.72,-2.97,8.98,1.06,1.51
 LEITES E DERIVADOS,3.01,4.76,2.24,0.61,4.37,4.48,3.8,2.36,3.96,2.18,-0.2,2.93,4.79,4.14,1.17,4.43,3.37
 LEITE LONGA VIDA,2.65,6.05,1.87,11.28,5.06,8.24,11.79,1.75,8.17,5,-0.18,4.66,6.46,3.19,1.45,8.73,4.65
 LEITE CONDENSADO,4.39,8.3,       -,       -,       -,       -,6.2,       -,       -,       -,       -,       -,       -,2.82,       -,       -,6.2
 LEITE EM PÓ,4.67,       -,1.91,1.88,0.12,       -,4.32,2.27,3.49,1.17,3.48,3.19,5.19,6.04,1.08,1,2.47
 QUEIJO,3.37,3.79,1.89,-3.03,4.49,2.44,-0.5,4.42,0.4,-0.29,-2.25,1.03,2.87,4.08,3.34,6.6,2.4
 IOGURTE E BEBIDAS LÁCTEAS,1.82,-0.04,4.37,1.35,2.87,1.44,-0.51,0.51,2.33,0.86,1.02,1.33,0.33,2.42,-1.85,1.03,1.88
 REQUEIJÃO,2.07,       -,3.35,       -,3.7,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.32
 MANTEIGA,2.19,       -,2.84,1.26,       -,-0.29,0.8,1.5,5.21,       -,2.39,-0.33,       -,3.8,       -,1.15,2.43
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.53,       -,       -,       -,       -,       -,       -,-0.53
 PANIFICADOS,0.17,1.57,2.56,2.37,1.8,1.33,5.71,2.54,0.77,0.88,2.96,1.58,0.75,3.93,1.56,2,1.83
 BISCOITO,-0.14,2.11,4.01,1.38,2.43,0.37,2.26,1.32,-0.04,0.73,3.56,1.97,1.2,0.24,-0.58,3.13,1.78
 PÃO FRANCÊS,0.06,0.04,1.32,3.6,1.57,2.99,7.26,2.98,1.34,-0.32,3.06,1.2,1.25,4.9,2.38,1.61,1.81
 PÃO DOCE,1.27,3.39,2.6,       -,2.03,       -,       -,       -,-2.49,2.83,       -,2.98,-1.36,       -,       -,       -,1.9
 PÃO DE FORMA,-0.16,6.41,1.05,       -,2.71,-1.23,       -,       -,       -,1.14,       -,2.78,       -,       -,       -,       -,2.25
 BOLO,1.88,0.17,4.57,-2.92,0.29,-1.32,5.92,3.49,2.16,3.34,0.26,-0.4,-2.02,5.96,2.1,0.71,1.41
 PÃO DE QUEIJO,       -,       -,3.96,       -,       -,1.65,       -,       -,       -,       -,3.1,       -,       -,       -,       -,       -,3.36
 ÓLEOS E GORDURAS,1.88,2.16,1.32,2.54,2.32,2.66,1.81,0.88,0.95,2.9,-0.68,0.87,-0.82,-0.88,1.21,1.61,1.8
 ÓLEO DE SOJA,1.41,1.82,0.97,1.79,3.17,2.88,1.81,1.27,0.84,2.91,-0.8,1.37,-1.14,-0.79,0.46,0.88,1.81
 AZEITE DE OLIVA,1.57,       -,       -,       -,0.04,2.06,2.98,       -,0.89,1.42,       -,-0.97,0.24,-1.56,       -,       -,0.89
 MARGARINA,3.34,3.32,3.12,3.93,1.57,       -,0.71,0.11,1.31,3.95,0.11,       -,-0.54,       -,3.9,3.09,2.31
 BEBIDAS E INFUSÕES,0.84,0.93,1.37,0.9,0.97,1.04,0.15,0.42,1.92,0.41,0.84,0.47,0.03,1.13,0.64,1.47,0.86
 SUCO DE FRUTAS,0.43,0.27,2.13,-0.78,0.47,1.58,       -,0.96,       -,2.71,3.78,0.98,0.43,       -,       -,       -,0.96
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,0.06,-1.16,0.49,       -,       -,       -,       -,0.69,0.55,       -,0.06
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-1.43,       -,       -,       -,       -,       -,       -,0.33,-2.14,       -,-1.45
 CAFÉ MOÍDO,0.07,3.99,1.08,2.17,1.49,1.59,1.97,0.42,2.32,1.16,-0.92,-1.15,-0.93,1.74,1.06,3.84,1.25
 CAFÉ SOLÚVEL,       -,3.58,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.58
 REFRIGERANTE E ÁGUA MINERAL,2.19,0.11,2.16,0.01,1.08,1.93,1.69,0.36,1.3,0.88,1.02,1.88,0.49,0.76,1.56,0.44,1.09
 CERVEJA,0.72,0.55,0.86,2.46,0.25,-0.51,1.18,1.4,2.43,-1.74,1.45,1.11,0.05,       -,0.52,0.57,0.44
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,1.9,       -,       -,0.89,       -,       -,       -,       -,       -,       -,1.66
 VINHO,0.19,-4.02,       -,       -,1.27,       -,       -,       -,       -,3.05,       -,       -,       -,       -,       -,       -,-0.02
 SUCO EM PÓ,       -,2.7,1.02,       -,1.32,       -,       -,       -,       -,1.33,       -,       -,1.28,1.46,       -,       -,1.48
 CHÁ MATE (ERVA MATE),       -,3.52,       -,       -,       -,       -,       -,       -,       -,-1.44,       -,       -,1.53,       -,       -,       -,2.16
 ENLATADOS E CONSERVAS,2.33,3.3,2.29,2.16,2.45,0.46,4.24,2.64,2.46,1.09,0.4,1.38,1.34,0.54,0.03,2.45,2.2
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,8.72,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.72
 PALMITO EM CONSERVA,       -,       -,2.99,       -,1.89,-0.76,       -,       -,       -,-0.93,0.44,       -,       -,       -,       -,       -,1.45
 PEPINO EM CONSERVA,       -,2.58,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.58
 SARDINHA EM CONSERVA,7.27,5.25,3.6,4.44,6.25,1.88,1.86,3.15,4.53,2.27,       -,1.47,3.01,0.46,-0.07,2.16,4.25
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,2.89,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.89
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.23,       -,       -,2.18,       -,       -,       -,0.5
 AZEITONA,-1.16,1.22,0.95,-2.73,-1.1,-2.63,       -,1.95,0.88,2.01,-0.28,0.88,-2.3,-0.5,       -,       -,-0.32
 MILHO-VERDE EM CONSERVA,2.12,4.14,2.12,-1.69,2.71,       -,3.22,2.1,3.03,2.04,2.47,1.81,2.27,1.91,0.78,3.2,2.4
 ATUM EM CONSERVA,0.45,1.76,       -,1.41,2.74,2.43,       -,       -,-1.86,-1.19,       -,       -,       -,       -,       -,       -,1.5
 SAL E CONDIMENTOS,1.59,2.62,2.16,-0.49,0.8,0.83,1.19,1.88,1.34,1.07,-0.27,-1.13,-0.29,1.87,0.34,1.41,1.12
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,3.18,       -,       -,       -,       -,       -,       -,       -,3.18
 ATOMATADO,-0.32,3.38,1.59,1.23,0.51,2.98,3.11,2.88,3.58,0.84,1.34,0.99,0.69,-0.48,3,1.93,1.27
 ALHO,2.33,       -,1.1,-6.53,0.42,-2.32,0.37,0.07,-0.36,-1.24,-2.51,-2.47,-1.96,3.52,-1.56,1.77,0.06
 SAL,4.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.83,3.69,1.31,-0.61,3.66
 COLORAU,       -,       -,       -,       -,       -,       -,       -,3.46,       -,       -,       -,       -,       -,       -,       -,       -,3.46
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,3.79,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.79
 FERMENTO,       -,2.3,       -,       -,       -,       -,       -,       -,       -,-2.22,       -,       -,       -,       -,       -,       -,-0.24
 MAIONESE,1.09,3.95,5.16,5.3,1.92,0.33,4.06,2.14,       -,4.72,       -,0.74,2.07,-1.16,       -,       -,3.02
 VINAGRE,       -,-0.02,       -,-0.31,-0.26,0.33,-0.84,       -,0.31,       -,       -,       -,       -,       -,-1.59,0.62,-0.23
 CALDO CONCENTRADO,       -,1.05,       -,3.94,       -,       -,       -,6.49,1.66,       -,1.98,1.31,       -,       -,       -,       -,2.25
 TEMPERO MISTO,       -,1.39,2.64,-0.31,1.34,4.14,0.33,2.1,-0.44,1.47,0.24,-2.45,-0.06,-0.36,2.53,0.69,1.29
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.36,-0.16,0.67,0.95,0.9,0.45,0.71,0.98,0.8,-0.12,0.52,1.55,0.27,0.14,0.41,0.95,0.61
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.36,-0.16,0.67,0.95,0.9,0.45,0.71,0.98,0.8,-0.12,0.52,1.55,0.27,0.14,0.41,0.95,0.61
