"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 AÇÚCAR CRISTAL,       -,2.32,-0.67,-0.78,       -,-1.51,-0.58,-1.15,-1.66,3.52,-1.62,0.17,-1.7,-1.81,-2.21,-2.13,-0.55
 BALAS,       -,-0.53,       -,       -,       -,0.36,       -,       -,       -,-3.68,1.33,       -,-0.92,       -,       -,       -,-1.42
 CHOCOLATE EM BARRA E BOMBOM,-1.5,6.03,1.49,-0.78,-0.6,1.29,0.56,-2.25,1.99,3.05,1.1,0.5,0.61,1.72,-0.51,0.21,0.85
 SORVETE,0.21,3.3,-0.54,1.69,2.9,2.44,5.58,2.93,0.29,-0.81,2.06,-0.74,3.34,       -,       -,1.32,1.96
 CHOCOLATE E ACHOCOLATADO EM PÓ,3.33,1.25,2.55,0.55,2.6,1.19,2.37,0.04,0.16,1.29,2.22,1.86,-1.4,2.9,-0.76,1.83,2.06
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,1.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.84
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.06,2.06
 HORTALIÇAS E VERDURAS,-3.18,-8.76,2.84,4.91,0.74,3.22,1.5,-3.36,1.63,-3.93,0.16,2.14,-2.19,0.85,-5.61,4,-0.77
 ALFACE,-3.21,-12.45,5.08,7.76,3.32,6.11,-0.06,-0.64,-3.4,1.24,-0.16,3.23,1.22,0.56,-2.74,-0.09,0.7
 COENTRO,       -,       -,       -,3.29,       -,       -,       -,       -,7.77,       -,       -,       -,       -,       -,       -,6.32,6.2
 COUVE,-1.48,       -,0.94,       -,-4.52,       -,       -,       -,       -,       -,       -,1.53,       -,0.43,       -,5.76,-2.42
 COUVE-FLOR,-4.56,       -,       -,       -,       -,7.82,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.32
 REPOLHO,       -,-9.9,       -,       -,0.96,       -,       -,       -,3.77,-13.07,0.58,       -,-13.04,       -,-0.59,       -,-4.49
 CHEIRO-VERDE,-1.99,4.95,1.63,3,-0.85,-0.69,2.6,-4.2,-1.97,-2.82,1.32,2.27,-4.69,1.17,-8.95,       -,-0.73
 BRÓCOLIS,-4.45,-4.83,-5.17,       -,-4.01,-0.28,-1.35,       -,       -,-9.49,       -,-0.07,       -,       -,       -,       -,-4.63
 FRUTAS,1.09,7.25,0.62,-0.55,6.98,1.9,-0.21,4.63,2.6,0.46,4.8,2.47,3.71,5.49,-2.87,-0.18,3.56
 BANANA-DA-TERRA,       -,       -,       -,0.01,       -,       -,       -,       -,-4.1,       -,       -,7.78,       -,0.52,       -,       -,-1.75
 ABACAXI,-1.21,8.48,       -,-4.23,       -,       -,-1.15,       -,       -,       -,3.85,-0.3,-2.63,       -,       -,6.31,1.58
 ABACATE,       -,       -,       -,       -,       -,       -,0.79,       -,       -,       -,       -,       -,       -,7.57,       -,       -,2.07
 BANANA-D'ÁGUA,5.62,17.12,5.23,       -,8.05,2.93,       -,       -,       -,10.35,       -,       -,6.38,       -,8.68,       -,8.67
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,22.26,       -,9.7,       -,       -,       -,19.15
 BANANA-PRATA,0.9,3.75,-9.08,-3.17,2.6,7.44,-2.04,5.8,4.35,-5.13,3.98,1.49,       -,13.85,-1.15,-4.35,-0.23
 LARANJA-BAÍA,       -,7.7,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.7
 LARANJA-LIMA,       -,       -,10.94,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,10.94
 LIMÃO,20.48,       -,       -,       -,23.99,6.15,       -,       -,       -,       -,10.69,15.05,       -,17.97,       -,       -,20.6
 MAÇÃ,-1.67,4.33,3.62,4.65,1.18,2.79,1.5,2.78,2.68,0.65,-0.2,0.23,4.07,4.67,3.73,3.66,2.14
 MAMÃO,7.19,8.3,15.57,2.96,8.44,7.05,       -,6.55,6.14,12.88,8.35,1.07,7.52,-3.05,       -,1.14,8.64
 MANGA,-5.28,-3.36,-8.56,       -,1.76,-10.78,       -,-8.11,-2.91,-4.47,       -,-2.24,       -,       -,       -,-0.31,-2.12
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-1.5,5.29,       -,       -,       -,       -,       -,       -,2.42,2.65
 MELANCIA,       -,       -,-1.81,-10.85,       -,-14.44,-0.2,       -,4.28,-10.03,1.11,       -,-6.24,0.82,-10.68,       -,-4.56
 MELÃO,-14.63,       -,       -,-25.02,       -,-3.23,-5.4,       -,       -,-13.43,       -,       -,       -,       -,-16.19,       -,-13.29
 PERA,       -,       -,       -,       -,11,       -,       -,       -,       -,       -,0.03,0.89,       -,       -,       -,       -,9.52
 TANGERINA,       -,       -,       -,       -,7.42,       -,       -,       -,       -,4.03,       -,       -,       -,       -,       -,       -,6.56
 UVA,0.23,2.69,3.38,12.43,6.99,-2.36,-0.33,-0.59,2,3.27,3.24,-2.47,7.6,4.04,4.05,-0.07,4.04
 LARANJA-PERA,0.44,       -,0.78,12.65,6.04,4.57,4.71,15.41,9.74,-14.64,0.69,8.04,-0.65,2.83,5.76,3.33,3.16
 MORANGO,       -,11.67,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,11.67
 GOIABA,       -,       -,       -,       -,       -,       -,1.09,15.71,       -,       -,       -,       -,       -,       -,       -,-1.42,8.13
 CARNES,-0.55,0.46,-0.1,-0.12,-0.39,0.52,-0.66,1.27,-0.19,-0.35,-0.32,0.97,0.59,-1.04,0.08,0.57,-0.14
 FÍGADO,       -,       -,       -,-1.37,       -,       -,-2.75,0.05,-2.19,       -,       -,       -,       -,       -,-4.88,       -,-2.22
 CARNE DE PORCO,-0.43,-0.62,-0.02,3.74,-0.02,-3.28,1.38,2.3,0.65,0.17,3,2.63,-0.3,-0.03,2,0.94,0.33
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,3.67,       -,       -,       -,       -,       -,       -,       -,       -,3.66
 CUPIM,       -,       -,       -,-0.47,       -,       -,       -,       -,       -,       -,-1.85,       -,       -,       -,       -,       -,-1.19
 CONTRAFILÉ,2.22,0.42,-0.62,2.57,0.29,2.26,-0.69,4.14,-0.63,0.29,-0.79,1.39,-1.66,-1.16,-0.42,1.87,0.22
 FILÉ-MIGNON,1.55,       -,       -,       -,       -,       -,-0.89,       -,       -,-5.07,       -,       -,       -,-0.05,       -,       -,-1.37
 CHÃ DE DENTRO,4.14,-0.44,-0.57,-2.04,0.45,-2.9,-2.53,2.9,0.09,1.15,-0.59,0.36,2.64,-4.2,1.06,-1.31,0.07
 ALCATRA,-3.13,2.37,1.64,-0.46,1.67,3.23,-2.17,-0.16,0.4,-4.42,-1.07,0.75,0.16,-2.43,0.51,1.82,-0.37
 PATINHO,-1.25,       -,-0.74,-0.77,-4.39,       -,-1.71,2.14,       -,-1.46,-1.07,3,3.47,-1.12,1.23,-0.05,-2.19
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-1.13,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.13
 LAGARTO COMUM,       -,-1.39,       -,       -,-0.26,       -,       -,       -,-2.72,       -,0.83,       -,0.92,-1.1,       -,       -,-0.62
 MÚSCULO,2.5,-2.14,-0.3,0.04,-1.39,       -,-3.74,       -,0.58,-0.77,-0.17,       -,2.64,0.31,-2.81,0.59,-0.94
 PÁ,       -,-1.61,-1.09,-0.4,-2.4,       -,0.04,       -,       -,       -,       -,0.24,-0.34,-0.23,-1.67,0.77,-1.36
 ACÉM,-0.28,-1.02,-0.75,2.85,0.89,3.39,-0.36,-1.87,2.21,1.42,-0.93,-2.12,0.1,-0.19,0.38,0.5,0.35
 PEITO,       -,       -,       -,       -,       -,       -,-0.21,       -,       -,       -,       -,       -,2.36,-0.55,0.19,0.1,0.15
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-0.84,       -,-0.39,-1.94,       -,1.23,-1.03,-1.04,       -,       -,-0.91
 COSTELA,-2.32,2.75,-0.7,-0.19,-0.77,1.05,3.72,1.33,-0.76,2.03,-1.12,1.35,0.97,-0.61,0.44,0.24,0.65
 PICANHA,       -,2.63,3.83,       -,       -,1.44,       -,-4.41,       -,       -,       -,       -,       -,       -,       -,       -,1.14
 PESCADOS,-0.71,1.74,0.07,-0.33,0.39,0.98,0.65,-0.02,1.39,0.65,0.29,-0.49,0.77,-1.38,-0.02,1.68,0.38
 PEIXE-ANCHOVA,       -,       -,       -,-0.33,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.33
 PEIXE-CORVINA,-1.9,       -,       -,-1.75,       -,       -,       -,       -,1.61,       -,       -,       -,       -,       -,2.22,-1.58,-0.11
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.51,       -,0.51
 PEIXE-SARDINHA,       -,1.74,       -,1.23,       -,       -,       -,       -,2.01,       -,       -,       -,       -,       -,       -,       -,1.74
 CAMARÃO,0.57,1.45,       -,-0.98,       -,1.32,-1.26,0.73,-0.06,-1.55,0.96,1.66,       -,       -,-2.85,3.88,-0.29
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,1.25,       -,       -,       -,       -,       -,       -,       -,       -,1.25
 PEIXE-CAÇÃO,       -,       -,       -,       -,0.62,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.62
 PEIXE-MERLUZA,       -,       -,-0.8,0.11,0.05,       -,       -,       -,0.03,       -,1.87,       -,       -,       -,       -,       -,0.11
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,1.04,       -,       -,       -,       -,       -,       -,       -,       -,1.04
 PEIXE-PESCADA,       -,       -,       -,       -,1.8,       -,2.61,       -,       -,       -,       -,       -,       -,       -,1.78,0.33,2.15
 CARANGUEJO,0,       -,       -,       -,       -,       -,-3.62,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.05
 PEIXE-CASTANHA,       -,       -,       -,-0.33,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.33
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-0.88,       -,       -,       -,       -,       -,       -,       -,       -,-0.88
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.68,       -,       -,-1.68
 PEIXE-SALMÃO,0.35,       -,       -,       -,0.28,-1.19,       -,0.36,1.33,       -,       -,       -,       -,       -,       -,       -,0.35
 PEIXE-TILÁPIA,       -,1.92,0.34,0.4,-0.19,2.02,       -,-0.38,2.61,1,-0.19,0,-1.17,       -,       -,0.41,0.4
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,1.28,2.35,       -,       -,       -,-1.64,       -,3.41,-1.3,-0.5,       -,0.36
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-1.04,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.04
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-1.62,0.65,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.29
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.16,       -,       -,       -,       -,-2.16
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.84,       -,       -,       -,2.84
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.29,       -,       -,       -,       -,       -,0.29
 CARNES E PEIXES INDUSTRIALIZADOS,-0.03,2.29,0.51,-1.87,0.04,0.21,-0.66,-0.43,0.99,-1.75,-0.12,-0.82,1.08,0.38,1.14,-0.68,0.04
 PRESUNTO,-1.86,0.31,3.09,       -,0.84,-2.85,       -,0.4,-1.29,-2.99,2.45,1.87,-2.43,-0.04,       -,-2.43,-0.05
 SALSICHA,       -,2.96,       -,-2.35,0.11,       -,       -,       -,       -,-1.08,       -,       -,       -,-2.51,       -,       -,0.19
 LINGUIÇA,0.35,2.91,-0.43,-2.51,0.08,2.67,2.96,-0.77,2.17,-2.51,-1.05,-0.77,1.96,1.29,1.25,-2.56,0.15
 MORTADELA,-1.36,       -,2.68,-3.5,-1.6,       -,       -,-2.06,       -,2.94,0,       -,1.45,       -,       -,       -,-0.44
 SALAME,       -,2.75,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.75
 BACALHAU,2.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.14,       -,2.03
 CARNE-SECA E DE SOL,0.7,       -,       -,-1.32,       -,-2.06,-2.37,1.12,0.72,       -,       -,-1.66,       -,       -,0.94,0.57,-0.44
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-0.63,       -,       -,       -,       -,       -,       -,       -,2.93,-2.94,       -,       -,       -,       -,-0.21
 AVES E OVOS,-0.91,2.03,0.25,-0.01,3.23,-0.24,-0.28,0.82,0.01,0.08,1.88,-0.42,0.2,0.29,-0.65,1.36,0.97
 FRANGO INTEIRO,3.04,3.35,1.86,1.09,-1.45,-0.28,-0.14,0.9,-0.74,-0.5,0.35,2.07,1.23,0.11,-1.19,1.82,0.23
 FRANGO EM PEDAÇOS,-1.63,1.69,-0.81,-0.64,4.27,-0.03,-1.64,-0.15,-0.19,0.28,2.22,-1.86,-0.27,-0.24,0.72,1.79,1.17
 OVO DE GALINHA,-0.04,2.36,1.04,-1.3,3.65,-0.5,0.84,1.68,2.11,0.07,3.81,-0.29,0.5,1.24,0.89,-0.54,1.54
 LEITES E DERIVADOS,-1.96,-3.24,-1.1,-0.53,-3.15,-2.24,0.36,-1.76,-2.1,-4.21,-2.92,-1.75,-0.92,-0.2,-2.54,-1.07,-2.43
 LEITE LONGA VIDA,-6.67,-8.79,-3.89,-11.56,-5.84,-7.28,-7.37,-4.34,-8.53,-8.79,-4.37,-3.72,-3.02,-0.63,-6.31,-5.88,-6.32
 LEITE CONDENSADO,-0.63,1.59,       -,       -,       -,       -,5.05,       -,       -,       -,       -,       -,       -,2.88,       -,       -,1.58
 LEITE EM PÓ,-0.4,       -,1.78,2.92,2.37,       -,3.19,0.06,1.3,0.97,2.75,1.57,4.83,-0.12,-1.36,2.23,1.45
 QUEIJO,2.2,3.09,2.27,0.63,-1.68,1.44,-2.22,-0.71,1.26,-1.69,-3.78,0.14,1.21,-2.27,-1.39,0.24,0.01
 IOGURTE E BEBIDAS LÁCTEAS,0.67,4.73,0.97,3.5,2.35,3.84,2.21,1.54,2.79,1.71,2.56,0.69,1.42,1.5,0.33,0.97,2.27
 REQUEIJÃO,0.73,       -,0.42,       -,1.45,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.12
 MANTEIGA,-1.02,       -,1.04,1.46,       -,1.05,-1.99,0.68,-1.54,       -,-0.7,-1.89,       -,-0.08,       -,-2.31,-0.46
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.88,       -,       -,       -,       -,       -,       -,0.88
 PANIFICADOS,-0.23,1.66,1.3,0.99,1.66,1.83,-1.24,0.53,-0.64,1.99,1.45,1.44,0.14,2.7,-0.14,1.55,1.03
 BISCOITO,-1.39,1.46,1.14,0.06,2.36,0.97,1.93,0.95,-0.41,4.5,1.64,0.9,0.72,2.64,-1.77,1.26,1.34
 PÃO FRANCÊS,-0.3,0.2,0.83,1.3,1.24,1.99,-3.24,-0.18,-1.39,1.25,1.51,1.84,-0.03,2.78,-0.34,1.59,0.41
 PÃO DOCE,1.94,5.19,2.46,       -,-0.78,       -,       -,       -,4.97,0.98,       -,-0.31,-0.87,       -,       -,       -,1.07
 PÃO DE FORMA,0.02,3.81,1.79,       -,4.16,4.78,       -,       -,       -,1.79,       -,0.91,       -,       -,       -,       -,2.93
 BOLO,2.76,4.63,3.71,2.7,1.25,2.47,4.48,5.09,2.38,-2.06,0.44,3.63,0.15,2.13,4.81,2.76,2.05
 PÃO DE QUEIJO,       -,       -,1.42,       -,       -,-0.04,       -,       -,       -,       -,1.45,       -,       -,       -,       -,       -,1.22
 ÓLEOS E GORDURAS,0.03,-1.99,-2.04,-1.19,-2.18,-2,-2.33,-4.57,-2.14,-1.35,-0.6,-1.93,-0.9,-2.95,-2.25,-2.69,-1.81
 ÓLEO DE SOJA,-0.84,-2.84,-2.05,-2.56,-3.6,-3.39,-4.59,-6.98,-3.71,-1.59,-0.4,-2.64,-2.21,-3.45,-2.85,-4.25,-2.85
 AZEITE DE OLIVA,0.63,       -,       -,       -,-1.72,1.23,-0.46,       -,-0.85,1.06,       -,0.39,1.67,0.28,       -,       -,-0.47
 MARGARINA,1.01,0.28,-2.01,0.61,1.37,       -,1.97,-0.76,0.82,-2.2,-1.55,       -,1.02,       -,-0.47,-0.24,0.28
 BEBIDAS E INFUSÕES,0.84,0.43,0.31,1.2,0.28,0.05,0.15,0.61,-0.25,0.97,0.77,-0.26,0.93,0.71,0.27,0.36,0.45
 SUCO DE FRUTAS,-0.27,0.69,0.94,0.01,-0.54,0.44,       -,2.7,       -,-0.2,1.27,1.16,1.92,       -,       -,       -,0.06
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,3.63,1.89,3.12,       -,       -,       -,       -,1.68,1.06,       -,2.68
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-1.46,       -,       -,       -,       -,       -,       -,5.21,-3.16,       -,-1.45
 CAFÉ MOÍDO,0.38,0.57,-0.36,1.08,0.51,-1.12,1.76,0.22,-1.32,0.9,0.08,-2.25,0.24,-1.56,0.44,0.47,0.22
 CAFÉ SOLÚVEL,       -,0.72,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.72
 REFRIGERANTE E ÁGUA MINERAL,0,0.01,0.18,1.06,-0.07,-0.18,1.79,0.77,-0.53,0.79,1.24,0.09,0.09,0.99,0.74,0.17,0.27
 CERVEJA,3.17,0.75,0.6,2.14,0.84,1.14,0.31,-0.9,1,1.26,0.79,1.33,2.25,       -,2.2,0.52,1.11
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,0.7,       -,       -,1.97,       -,       -,       -,       -,       -,       -,1.01
 VINHO,0.94,0.27,       -,       -,0.57,       -,       -,       -,       -,0.74,       -,       -,       -,       -,       -,       -,0.61
 SUCO EM PÓ,       -,0.92,2.36,       -,-0.23,       -,       -,       -,       -,2.17,       -,       -,0.76,3.16,       -,       -,0.81
 CHÁ MATE (ERVA MATE),       -,0.39,       -,       -,       -,       -,       -,       -,       -,0.19,       -,       -,0.68,       -,       -,       -,0.36
 ENLATADOS E CONSERVAS,-0.39,0.79,1.59,0.67,1.13,0.79,0.56,0.94,2.12,1.36,0.14,0.76,1.28,1.37,4.27,1.99,1.03
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,3.85,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.85
 PALMITO EM CONSERVA,       -,       -,-0.01,       -,1.21,0.31,       -,       -,       -,2.84,-0.5,       -,       -,       -,       -,       -,1.12
 PEPINO EM CONSERVA,       -,-0.97,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.97
 SARDINHA EM CONSERVA,-0.09,2.18,-0.85,0.45,-0.4,-0.56,-1.3,-0.05,2.03,0.36,       -,1.23,1.48,-0.54,4.99,2.66,0.47
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,-0.44,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.44
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.54,       -,       -,1.06,       -,       -,       -,-1.17
 AZEITONA,-0.16,1.66,1.24,1.15,1.66,4.48,       -,1.61,1.6,1.6,-0.68,-0.28,0.96,3.42,       -,       -,1.28
 MILHO-VERDE EM CONSERVA,1.11,1.5,4.47,0.23,3.08,       -,-0.5,2.47,2.46,2.99,3.66,1.2,1.41,2.85,-0.89,0.45,2.29
 ATUM EM CONSERVA,-2.69,-0.1,       -,2.77,1.02,-0.85,       -,       -,2.08,0.66,       -,       -,       -,       -,       -,       -,0.37
 SAL E CONDIMENTOS,0.79,0.52,2.2,1.52,1.9,2.29,0.91,1.29,3.81,1.6,1.73,3.17,3.19,0.12,0.63,0.51,1.72
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,2.9,       -,       -,       -,       -,       -,       -,       -,2.9
 ATOMATADO,-0.75,0.56,1.54,-0.21,1.4,1.78,1.01,2.05,1.31,3.25,2.04,2.22,3.25,1.2,1.42,1.84,1.32
 ALHO,1.89,       -,4.86,1.09,2.72,2,0.49,0.14,7.49,-0.67,1.15,5.55,3.97,-1.18,3.29,-1.56,2.64
 SAL,2.57,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.57,2.07,0.32,0.63,1.97
 COLORAU,       -,       -,       -,       -,       -,       -,       -,2.01,       -,       -,       -,       -,       -,       -,       -,       -,2.01
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,4.74,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.74
 FERMENTO,       -,-0.86,       -,       -,       -,       -,       -,       -,       -,1.21,       -,       -,       -,       -,       -,       -,0.28
 MAIONESE,-0.72,-0.74,1.17,6.32,1.2,1.51,1.32,2.29,       -,3.59,       -,1.53,3.84,0.06,       -,       -,1.31
 VINAGRE,       -,-0.08,       -,2.44,-0.67,1.58,0.76,       -,1.16,       -,       -,       -,       -,       -,-1.24,1.61,0.19
 CALDO CONCENTRADO,       -,2.67,       -,0.31,       -,       -,       -,3.97,2.88,       -,2.48,2.45,       -,       -,       -,       -,2.45
 TEMPERO MISTO,       -,2.36,-0.25,3.63,2.94,5.24,0.16,0.97,2.12,-2.06,1.77,-1.64,1.7,1.92,-4.91,0,1.57
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.09,0.32,0.49,0.74,0.52,0.65,0.43,0.05,0.15,1,0.76,0.79,0.27,0.55,0.37,1.13,0.49
