"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MELANCIA,0.0,0.0,51.64,20.4,0.0,30.39,18.43,0.0,27.09,32.36,45.5,0.0,30.61,5.31,12.73,0.0,31.26
 MELÃO,-2.43,0.0,0.0,-1.56,0.0,-1.07,-3.28,0.0,0.0,-12.36,0.0,0.0,0.0,0.0,0.37,0.0,-4.35
 PERA,0.0,0.0,0.0,0.0,6.21,0.0,0.0,0.0,0.0,0.0,5.46,0.69,0.0,0.0,0.0,0.0,5.92
 TANGERINA,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,-1.56,0.0,0.0,0.0,0.0,0.0,0.0,-0.21
 UVA,5.06,-6.15,0.97,3.83,-3.66,2.22,-9.9,-1.76,0.14,2.38,-1.32,3.19,-2.36,-3.27,-1.33,-3.32,-1.33
 LARANJA-PERA,-3.46,0.0,-2.98,-1.2,0.05,5.47,-4.54,-2.79,0.55,-14.57,-6.58,1.88,3.31,5.98,0.38,-2.06,-2.12
 MORANGO,0.0,-1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.76
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,1.04,-5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,-2.33
 CARNES,-1.32,-0.39,0.11,0.93,-0.12,1.15,0.16,-2.38,0.11,-1.85,2.32,0.41,0.24,-0.76,-0.98,-0.26,-0.21
 FÍGADO,0.0,0.0,0.0,-2.88,0.0,0.0,0.27,3.12,3.91,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,1.25
 CARNE DE PORCO,-1.49,-2.66,0.54,2.36,1.96,2.3,1.25,-1.56,2.01,-2.82,3.46,1.45,3.46,0.73,-1.99,0.23,0.43
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
 CUPIM,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,2.74
 CONTRAFILÉ,-1.27,-0.78,0.25,-2.08,-1.14,3.22,0.38,-9.84,-1.47,-6.31,3.51,-1.08,0.61,-1.41,-0.98,-1.39,-0.83
 FILÉ-MIGNON,-1.67,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.78,0.0,0.0,0.0,0.18,0.0,0.0,-0.1
 CHÃ DE DENTRO,3.16,1.1,-0.13,0.5,1.86,1.35,0.79,-3.85,-0.52,-1.66,1.37,-3.52,0.87,-0.66,-1.56,-1.05,0.45
 ALCATRA,-3.83,0.51,-1.02,1.13,-2.15,1.16,1.07,-2.61,1.05,2.61,1.6,0.87,-1.89,-1.92,-2.27,-1.96,-0.92
 PATINHO,-0.44,0.0,-0.93,1.78,-1.05,0.0,-0.7,-4.7,0.0,-0.53,1.44,-0.04,0.65,-0.48,-0.71,-1.81,-0.93
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
 LAGARTO COMUM,0.0,0.82,0.0,0.0,-0.85,0.0,0.0,0.0,0.6,0.0,1.28,0.0,1.25,-0.23,0.0,0.0,-0.02
 MÚSCULO,1.15,-1.38,-0.3,0.1,0.8,0.0,0.33,0.0,0.18,-3.51,-0.48,0.0,0.28,0.09,2.82,-2.8,-0.27
 PÁ,0.0,0.18,2.78,-0.71,-2.4,0.0,0.29,0.0,0.0,0.0,0.0,1.02,-1.21,0.57,0.06,-1.1,-0.55
 ACÉM,4.97,1.75,2.65,2.07,0.66,-1.46,1.7,2.46,-1.48,-2.95,0.02,4.77,1.91,-1.23,-1.91,-0.41,1.14
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.23,-1.26,1.35,1.63,-0.24
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,-2.94,0.6,0.0,-1.41,-0.73,-0.76,0.0,0.0,-0.09
 COSTELA,-4.81,-0.93,-2.28,3.18,0.23,1.12,-2.91,3.07,0.42,-0.46,-0.21,1.61,-0.4,-0.84,-0.77,2.72,-0.49
 PICANHA,0.0,-0.55,-3.42,0.0,0.0,-0.5,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1
 PESCADOS,-2.84,0.81,-0.36,0.35,0.28,-0.32,-0.51,0.96,0.64,-0.52,-1.29,0.49,0.75,-0.49,-3.14,-0.63,-0.53
 PEIXE-ANCHOVA,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
 PEIXE-CORVINA,-6.62,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,-2.1,-0.45,-2.07
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,-0.64
 PEIXE-SARDINHA,0.0,0.81,0.0,1.4,0.0,0.0,0.0,0.0,-2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55
 CAMARÃO,0.15,-0.63,0.0,-0.64,0.0,-0.22,0.49,-0.65,0.24,-0.08,-0.62,-2.43,0.0,0.0,-3.99,-0.84,-0.64
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5
 PEIXE-MERLUZA,0.0,0.0,-1.07,0.79,0.48,0.0,0.0,0.0,3.96,0.0,-5.91,0.0,0.0,0.0,0.0,0.0,0.14
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.04
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,0.4,0.0,-1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.82,-1.24,-2.6
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-CASTANHA,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49,0.0,0.0,-0.49
 PEIXE-SALMÃO,1.67,0.0,0.0,0.0,2.01,-0.32,0.0,1.34,-1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34
 PEIXE-TILÁPIA,0.0,1.68,-0.15,1.22,-0.09,-0.58,0.0,1.48,-1.32,-0.59,0.28,1.47,0.71,0.0,0.0,0.21,0.28
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,0.07,0.93,0.0,0.0,0.0,2.66,0.0,1.85,-0.49,0.03,0.0,0.41
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.45
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,1.63
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,0.0,0.0,0.0,-0.44
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.29,0.0,0.0,0.0,0.0,0.0,-1.29
 CARNES E PEIXES INDUSTRIALIZADOS,0.3,0.43,2.33,1.21,-1.0,-1.0,2.12,-0.8,1.06,-0.96,1.1,0.07,0.32,1.74,-0.98,-0.05,0.08
 PRESUNTO,1.3,-0.38,2.98,0.0,-2.59,1.82,0.0,2.86,-1.94,-0.55,0.19,0.61,0.38,-0.11,0.0,-0.56,-0.56
 SALSICHA,0.0,0.83,0.0,2.88,1.91,0.0,0.0,0.0,0.0,2.29,0.0,0.0,0.0,1.34,0.0,0.0,1.86
 LINGUIÇA,-0.32,0.32,2.22,2.47,-1.58,-2.29,1.21,-1.18,-1.66,-2.58,1.03,-0.15,-0.21,2.2,-0.74,-1.19,-0.74
 MORTADELA,0.54,0.0,1.76,0.52,2.22,0.0,0.0,-0.82,0.0,2.97,1.16,0.0,2.73,0.0,0.0,0.0,1.76
 SALAME,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66
 BACALHAU,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.04,0.0,0.38
 CARNE-SECA E DE SOL,-0.19,0.0,0.0,0.61,0.0,-1.1,2.56,-2.74,2.69,0.0,0.0,-0.13,0.0,0.0,-0.5,0.62,1.46
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,1.7,0.0,0.0,0.0,0.0,2.42
 AVES E OVOS,4.54,2.15,0.23,2.56,1.4,1.09,-1.48,0.39,1.84,1.04,0.1,0.18,1.7,2.44,1.48,1.98,1.43
 FRANGO INTEIRO,0.28,1.73,-0.8,3.36,1.5,1.35,-3.0,1.21,1.37,1.05,1.15,1.15,3.99,2.81,1.36,2.93,0.69
 FRANGO EM PEDAÇOS,5.8,3.06,1.87,2.2,1.45,1.05,1.07,0.84,2.7,0.65,-0.67,0.13,2.24,1.37,4.24,2.07,2.23
 OVO DE GALINHA,1.93,-0.3,-2.46,1.33,1.17,0.76,1.25,-2.47,0.7,2.46,0.9,-1.13,-1.01,2.15,-0.42,-0.32,0.42
 LEITES E DERIVADOS,15.58,17.9,15.91,9.82,13.45,14.86,6.62,10.1,9.12,17.58,15.47,19.23,10.46,7.93,13.84,10.69,14.06
 LEITE LONGA VIDA,32.25,29.28,27.06,26.54,21.95,27.3,14.59,22.85,25.22,30.18,26.28,30.78,17.12,9.41,23.54,26.86,25.46
 LEITE CONDENSADO,7.64,7.36,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0,7.21,0.0,0.0,6.66
 LEITE EM PÓ,9.12,0.0,7.95,3.5,3.15,0.0,6.29,2.99,5.14,1.99,1.19,3.19,2.15,10.36,12.56,3.78,5.36
 QUEIJO,5.09,3.4,3.85,10.62,4.85,6.98,3.28,1.66,1.3,8.37,7.9,10.1,1.17,5.28,2.06,7.24,5.28
 IOGURTE E BEBIDAS LÁCTEAS,3.7,-0.83,3.38,-0.54,1.92,-0.94,2.79,2.41,-1.81,7.01,0.55,4.36,0.48,3.22,0.16,4.02,2.0
 REQUEIJÃO,5.72,0.0,0.94,0.0,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22
 MANTEIGA,6.48,0.0,5.49,7.43,0.0,4.2,8.04,2.89,4.63,0.0,7.2,5.53,0.0,1.13,0.0,5.71,5.75
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,2.87
 PANIFICADOS,0.73,1.68,1.1,1.07,3.76,0.18,2.1,0.0,0.62,1.75,3.47,1.66,1.97,2.32,1.49,-0.05,1.96
 BISCOITO,0.11,4.46,1.26,-0.03,5.69,0.85,3.7,0.48,1.83,2.96,1.35,0.89,0.77,2.14,0.97,3.0,2.71
 PÃO FRANCÊS,0.11,-1.01,0.98,1.63,4.28,-1.37,1.47,-0.81,0.05,-0.28,4.58,2.13,2.68,2.56,2.33,-1.28,1.58
 PÃO DOCE,-0.17,4.74,2.7,0.0,2.96,0.0,0.0,0.0,1.37,3.83,0.0,-0.1,3.05,0.0,0.0,0.0,2.66
 PÃO DE FORMA,4.38,2.87,4.1,0.0,0.69,0.18,0.0,0.0,0.0,1.61,0.0,0.66,0.0,0.0,0.0,0.0,1.9
 BOLO,3.01,3.46,-2.16,1.51,0.36,4.38,1.62,5.22,-0.71,3.23,2.75,5.27,0.22,0.62,-1.78,-1.84,1.2
 PÃO DE QUEIJO,0.0,0.0,2.42,0.0,0.0,1.53,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,2.79
 ÓLEOS E GORDURAS,-0.54,0.17,-1.24,-0.55,-0.87,-2.23,-0.94,-0.1,-1.43,0.56,-1.71,-2.47,-1.46,-1.87,-1.29,-0.58,-0.8
 ÓLEO DE SOJA,-3.97,-0.7,-2.39,-2.9,-3.04,-2.38,-2.42,-2.21,-2.4,-0.11,-2.76,-2.77,-2.86,-2.34,-1.99,-2.41,-2.41
 AZEITE DE OLIVA,3.4,0.0,0.0,0.0,0.65,-1.82,-0.06,0.0,-0.42,0.16,0.0,-1.33,-0.63,1.75,0.0,0.0,0.78
 MARGARINA,3.29,2.92,4.2,3.65,4.9,0.0,3.0,3.93,0.8,3.07,4.78,0.0,2.87,0.0,1.05,2.85,3.65
 BEBIDAS E INFUSÕES,-0.06,1.15,0.58,0.75,1.41,1.34,-5.73,1.09,0.36,0.75,0.87,0.27,0.07,1.04,0.82,0.64,0.35
 SUCO DE FRUTAS,-1.54,3.17,-0.19,1.37,2.1,2.89,0.0,2.92,0.0,-0.52,0.2,1.27,1.84,0.0,0.0,0.0,0.96
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-1.46,0.01,0.0,0.0,0.0,0.0,0.59,1.92,0.0,-0.1
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-11.68,0.0,0.0,0.0,0.0,0.0,0.0,0.98,-1.66,0.0,-11.09
 CAFÉ MOÍDO,-0.97,1.97,-0.46,1.33,1.17,-0.69,-0.41,0.04,-0.36,0.32,0.38,-0.97,-0.97,1.1,1.26,-1.51,0.33
 CAFÉ SOLÚVEL,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32
 REFRIGERANTE E ÁGUA MINERAL,0.44,1.43,0.82,0.51,2.51,1.05,0.08,1.71,0.9,1.83,2.4,0.85,-0.58,0.84,1.46,1.64,1.55
 CERVEJA,1.84,0.21,1.29,0.47,0.41,2.82,-1.03,3.46,1.22,0.56,0.22,0.98,0.94,0.0,-0.41,1.49,0.75
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,-1.54,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.93
 VINHO,-0.77,0.09,0.0,0.0,-1.25,0.0,0.0,0.0,0.0,-0.97,0.0,0.0,0.0,0.0,0.0,0.0,-0.82
 SUCO EM PÓ,0.0,1.21,2.58,0.0,2.19,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.17,2.35,0.0,0.0,1.98
 CHÁ MATE (ERVA MATE),0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,1.65,0.0,0.0,0.0,0.4
 ENLATADOS E CONSERVAS,1.56,1.16,1.8,1.36,0.5,2.4,1.98,1.11,0.33,0.09,1.4,1.83,-0.14,0.72,-3.79,2.91,0.9
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66
 PALMITO EM CONSERVA,0.0,0.0,-1.14,0.0,0.14,0.1,0.0,0.0,0.0,1.89,0.33,0.0,0.0,0.0,0.0,0.0,0.23
 PEPINO EM CONSERVA,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29
 SARDINHA EM CONSERVA,1.04,2.14,0.99,0.26,1.32,4.66,0.45,0.84,-1.83,-2.64,0.0,3.02,-2.34,-0.43,-4.3,1.73,0.51
 SALSICHA EM CONSERVA,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58
