"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 LARANJA-PERA,4.37,       -,-5.81,9.82,-1.24,7.94,2.72,5.67,2.75,-3.3,2.2,-1.26,-5.76,-8.66,6.87,-1.83,0.64
 MORANGO,       -,3.67,1.33,       -,       -,       -,       -,       -,       -,9,       -,       -,       -,       -,       -,       -,4.26
 GOIABA,       -,       -,       -,       -,       -,       -,       -,-0.89,       -,       -,       -,       -,       -,       -,       -,       -,-0.89
 CARNES,-0.32,0.46,-1.73,-0.57,-0.4,-1.88,-1.08,-1.24,-0.43,1.43,-0.76,-0.89,1.84,0.92,0.14,-0.55,-0.38
 FÍGADO,       -,       -,       -,-3.23,       -,       -,-1.54,-0.73,2.13,       -,       -,       -,       -,       -,1.51,-1.01,-0.56
 CARNE DE PORCO,-3.87,-0.03,-1.52,-2.34,-0.71,-3.48,0.66,-1.38,-1.71,2.03,-2.61,-3.07,-2.55,3.27,-1.83,0.69,-1.03
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-1.21,2.86,       -,       -,       -,       -,       -,       -,       -,1.42
 CONTRAFILÉ,2.01,0.95,-2.08,4.01,-0.33,-1.36,-2.27,-1.22,0.36,2.31,-2.31,-2.93,2.08,6.41,0.86,0.53,0.11
 FILÉ-MIGNON,3.92,       -,       -,0.92,       -,       -,0.03,       -,-0.3,3.09,1.19,       -,0.54,       -,       -,       -,1.86
 CHÃ DE DENTRO,0.23,1.2,-0.17,-1.63,1.72,-1,-2.19,-0.11,-0.98,-1.8,-2.07,0.14,2.81,-2.04,-3.18,2.14,0.12
 ALCATRA,1.69,0.65,-2.79,-1.84,-0.65,-1.02,-0.19,-1.61,-1.16,-2.63,-0.2,-0.14,1.42,0.63,-0.45,1.28,-0.74
 PATINHO,-1,1.02,-1.07,-1.43,-0.74,-3.41,-0.37,-2.5,-1.84,0.34,-1.52,1.97,4.93,0.29,2.63,-1.13,-0.86
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-1.07,       -,-1.03,       -,       -,       -,       -,       -,       -,       -,-1.06
 LAGARTO COMUM,       -,       -,       -,       -,-0.71,-0.22,       -,-0.63,1.51,       -,-0.19,       -,1.9,-0.55,       -,-0.22,-0.27
 MÚSCULO,0.07,-2.65,0.12,1.65,-0.46,       -,1.6,       -,-1.29,3.53,-1,-2.01,5.5,-0.09,3.08,-6.73,-0.17
 PÁ,       -,-1.01,       -,0.88,0.15,-1.98,-3.85,       -,-1.11,1.59,       -,       -,0.1,0.24,1.23,-2.77,-0.72
 ACÉM,-1.63,-2.22,-2.04,-1.13,-0.77,-2.05,-1.03,-2.43,2.89,1.81,-1.89,0.97,3.32,0.92,-1.95,-3.85,-0.79
 PEITO,       -,       -,       -,       -,       -,       -,-1.13,-0.18,-1.79,       -,-1.12,       -,1.66,-1.15,-3.6,0.62,-1.25
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.64,0.92,       -,       -,4.15
 COSTELA,-4.86,1.44,-2.33,-1.53,-2.08,-3.57,0.6,0.62,-0.22,4.93,1.14,-1.66,0.76,-0.69,0.99,-0.99,-0.16
 PESCADOS,-1.01,-5.88,-3.53,-0.29,-0.42,2.97,-2.38,-1.89,-3.93,-1.04,0.95,-0.67,-0.17,1.77,1.05,-0.02,-1.51
 PEIXE-ANCHOVA,2.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.83
 PEIXE-BADEJO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.49,       -,       -,       -,       -,-0.49
 PEIXE-CORVINA,-14.97,       -,       -,2.68,       -,       -,       -,       -,-2.55,       -,       -,       -,       -,       -,       -,2.61,-4.99
 PEIXE-CAVALINHA,       -,       -,       -,-1.89,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.89
 PEIXE,       -,-5.88,-3.53,       -,       -,2.97,       -,       -,       -,-1.04,0.95,       -,       -,       -,       -,       -,-2.32
 PEIXE-PESCADINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.04,       -,-2.04
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.82,-4.82
 PEIXE-SARDINHA,       -,       -,       -,0.5,-2.64,       -,       -,       -,-5.79,       -,       -,       -,0.1,       -,       -,2.82,-2.67
 CAMARÃO,-1.9,       -,       -,-4.15,       -,       -,0.93,       -,-8.51,       -,       -,2.85,-0.17,       -,2.42,0,-2.26
 PEIXE-VERMELHO,       -,       -,       -,       -,       -,       -,       -,       -,-3.52,       -,       -,       -,       -,       -,       -,       -,-3.52
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,1.68,1.09,       -,       -,       -,       -,       -,       -,       -,1.33
 PEIXE-PACU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.15,       -,       -,       -,0.15
 PEIXE-DOURADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.46,       -,       -,       -,       -,-2.46
 PEIXE-CAÇÃO,7.33,       -,       -,       -,-2.13,       -,       -,       -,       -,       -,       -,-3.45,       -,       -,       -,       -,1.52
 PEIXE-MERLUZA,5.02,       -,       -,0.89,-0.42,       -,       -,       -,4.55,       -,       -,       -,-2.51,       -,       -,       -,2.31
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,-2.83,-6.11,       -,       -,       -,       -,       -,       -,0.57,       -,-3.13
 PEIXE-PESCADA,3,       -,       -,-0.27,-0.2,       -,-0.23,       -,-1.35,       -,       -,-1.52,       -,       -,0.75,-0.02,0.12
 CARANGUEJO,       -,       -,       -,       -,       -,       -,6.13,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.13
 PEIXE-CASTANHA,       -,       -,       -,-2.27,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.27
 PEIXE-PIAU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.17,       -,       -,4.17
 PEIXE-SURUBIM,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.77,       -,       -,1.77
 SURURU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.02,-0.02
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.77,0.76,       -,0.97
 PEIXE-SALMÃO,       -,       -,       -,       -,4.52,       -,       -,-1.89,       -,       -,       -,       -,-0.17,       -,       -,       -,3.07
 PEIXE-TILÁPIA,       -,       -,       -,       -,       -,       -,       -,-1.84,       -,       -,       -,       -,       -,       -,       -,-0.02,-1.8
 PEIXE-TUCUNARÉ,       -,       -,       -,       -,       -,       -,-2.38,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.38
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.48,1.34,       -,1.24
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-9.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,-9.84
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.48,       -,       -,       -,       -,-4.48
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.97,       -,       -,       -,0.97
 PEIXE-MANDI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.77,       -,       -,1.77
 CARNES E PEIXES INDUSTRIALIZADOS,-1.22,1.76,-2.18,-1.84,-2.19,-0.86,-1.48,-2.15,1.94,1.84,0.51,0.44,0.99,-0.13,0.61,-0.78,-0.78
 PRESUNTO,0.62,-1.88,-0.74,       -,-2.5,2.79,-4.51,0.86,1.91,-1.47,0.33,4.11,0.4,-0.74,       -,1.02,-1.05
 SALSICHA,-3.14,1.34,-1.49,3.03,-0.87,0.97,1.48,       -,       -,1.44,0.12,1.06,-3.07,0.98,0.57,6.74,-0.22
 LINGUIÇA,-0.03,5.21,-3.41,0.21,-3.77,-3.94,0.38,-2.93,1.1,2.86,0.72,0.01,2.35,-0.5,0.29,-6.38,-1.47
 MORTADELA,-3.3,2.2,-0.75,-1.68,2.36,       -,-1,-1.15,       -,3.32,       -,-0.12,1.04,0.31,       -,2.95,0.8
 SALAME,       -,-1.05,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.05
 CARNE-SECA E DE SOL,-1.77,       -,       -,-2.9,       -,       -,-2.41,-2.47,2.72,       -,       -,-2.75,       -,-0.29,1.06,-0.71,-0.49
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-1.54,       -,       -,       -,       -,       -,-1.43,       -,       -,       -,       -,       -,       -,       -,-1.49
 HAMBÚRGUER,       -,       -,       -,       -,       -,1.38,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.38
 AVES E OVOS,-2.5,0.47,-0.21,-1.86,-1.09,-0.22,-0.36,-3.3,-0.31,-1.67,-0.41,-1.79,-0.56,-1.28,-1.1,-1.62,-1.13
 FRANGO INTEIRO,-3.4,2.14,0.61,-4.47,2.42,0.38,0.01,-4.96,-0.95,-0.92,0.65,-1.16,0.25,-1.1,-1.46,-3.75,-0.99
 FRANGO EM PEDAÇOS,-3.18,-0.93,-1.4,1.45,0.17,-1.88,-4.14,-0.82,0.83,-1.68,-1.43,-1.64,0.88,-0.99,-0.27,-0.19,-0.97
 OVO DE GALINHA,-0.19,2.49,0.06,2.16,-6.43,1.17,0.42,0.47,0.21,-2.46,-2.81,-3.07,-4.02,-1.95,-0.5,0.12,-1.62
 LEITE E DERIVADOS,0.53,-0.28,1.28,0.42,3.02,1.66,0.9,0.24,0.83,2.32,2.68,1.04,2.18,0.17,1.58,0.53,1.56
 LEITE LONGA VIDA,1.03,1.47,2.37,0.58,3.67,3.88,5.05,1.16,0.45,4.12,3.08,1.87,3.03,1.06,0.53,1.27,2.65
 LEITE CONDENSADO,       -,-0.29,       -,       -,       -,       -,-0.65,-2.65,       -,       -,       -,       -,0.22,0.09,       -,       -,-0.82
 LEITE EM PÓ,-0.28,1.73,       -,0.48,-1.71,       -,1.25,-0.62,1.52,-0.38,1.27,1.29,-2.59,1.03,2.6,0.8,0.49
 QUEIJO,0.81,-4.04,-1.26,0.73,2.65,-0.73,-0.03,0.25,0.77,0.05,2.21,0.62,1.67,-3.82,1.84,-1.68,0.65
 CREME DE LEITE,       -,       -,       -,       -,       -,       -,       -,2.6,       -,       -,       -,       -,       -,       -,       -,       -,2.6
 IOGURTE E BEBIDAS LÁCTEAS,-1.64,-0.65,1.89,1.19,2.77,-1.16,-2.44,-0.79,1.02,-0.69,2,0.81,2.61,-2.24,-0.35,3.28,0.91
 MANTEIGA,       -,       -,       -,-4.82,       -,       -,-3.87,0.75,-0.22,       -,       -,-2.31,       -,-0.47,       -,-0.53,-1.73
 PANIFICADOS,-0.35,0.32,0.16,-0.48,0.36,-0.33,-1.55,1.18,1.28,0.33,1.44,-0.27,-0.14,0.61,0.08,-0.83,0.2
 BISCOITO,-1.12,0.15,-0.19,-0.91,-1.21,-1.34,-2.13,-0.11,-0.5,1.52,0.38,0.16,-0.29,-1.1,2.04,0.41,-0.51
 PÃO FRANCÊS,0.1,1.26,0.42,-0.23,1.38,0.2,-1.52,1.39,2.1,-0.49,2.34,-0.45,-0.32,1.21,-0.93,-1.39,0.65
 PÃO DOCE,0.15,-0.12,0.95,       -,-0.21,-0.37,0.09,2.98,3.45,0.61,       -,-0.63,3.5,       -,       -,-1.47,0.39
 PÃO DE FORMA,-1.36,0.57,-1.38,       -,-0.78,-0.04,       -,       -,       -,2.18,1.12,-0.9,0.41,       -,       -,       -,-0.45
 BOLO,-1.25,-4.02,-0.46,-0.93,-1.33,0.28,-0.1,3.52,-0.96,0.05,0.84,0.54,-0.89,0.42,2.53,0.41,-0.77
 PÃO DE QUEIJO,       -,       -,0.16,       -,       -,-2.22,       -,       -,       -,       -,-0.45,       -,       -,       -,       -,       -,-0.37
 ÓLEOS E GORDURAS,-0.62,0.11,-0.72,-0.14,0.48,-0.7,0.4,0.18,0.05,-0.03,0.24,-0.45,1.11,-1.18,-0.94,-0.6,-0.01
 ÓLEO DE SOJA,-1.14,0.39,-1.22,-0.79,2.12,-1.62,0.69,0.07,-0.05,0,0.56,-1.24,0.36,-1.28,-1.87,-1.73,0.22
 AZEITE DE OLIVA,0.72,       -,       -,       -,-0.81,       -,       -,       -,       -,       -,       -,0.33,       -,       -,       -,       -,-0.22
 MARGARINA,-0.79,-0.41,0.61,0.34,-1.72,0.39,-0.06,0.3,0.19,-0.08,-0.92,0.97,2.96,-0.9,0.92,0.94,-0.36
 BEBIDAS E INFUSÕES,-1.21,-0.24,-1.38,-0.85,-1.3,-0.71,-0.68,-0.28,-0.43,-1.14,-1.65,0.32,0.58,-0.53,0.97,-1.08,-0.94
 SUCO DE FRUTAS,-3.45,-0.43,0.39,-0.95,-0.62,-0.69,-1.9,-0.66,0.45,1.19,0.18,2.31,-0.04,-0.73,-0.03,-0.89,-0.55
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-0.64,       -,       -,       -,       -,       -,       -,-0.29,       -,       -,-0.64
 CAFÉ MOÍDO,-1.66,-1.73,-5,-1.37,-2.64,-2.16,-1.9,-0.6,-1.57,-2.11,-1.98,0.86,-0.94,-0.98,2.27,-1.94,-2.28
 CAFÉ SOLÚVEL,       -,0.22,       -,0.53,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.98,0.35
 CHÁ,       -,-2.22,       -,       -,       -,       -,       -,       -,       -,0.37,       -,       -,0.08,       -,       -,       -,-1.58
 REFRIGERANTE E ÁGUA MINERAL,-1.18,-0.46,0.47,-0.23,-0.43,-0.45,-0.59,0.82,0.26,-1.95,-2.54,-0.45,0.88,-1.87,1.03,-0.75,-0.51
 CERVEJA,-0.85,2.07,-1.23,-2.75,-2.31,-0.38,1.29,-3.63,-0.36,-0.23,-0.36,-0.11,1.71,2,-0.56,-2.1,-0.88
 OUTRAS BEBIDAS ALCOÓLICAS,0.04,0.18,-1.59,-1.32,0.73,2.25,0.84,-1.04,-1.03,0.26,0.38,0.18,       -,       -,       -,0.31,0.11
 ENLATADOS E CONSERVAS,0.33,-0.63,-0.5,0.68,-0.33,-0.1,0.17,0.18,1.12,0.11,0.81,1.51,-0.96,0.1,3.82,0.98,0.03
 COCO RALADO,       -,       -,       -,       -,0.3,-1.33,       -,       -,       -,-2.53,       -,       -,1.22,       -,       -,       -,-0.59
 ERVILHA EM CONSERVA,3.23,-2.95,       -,       -,       -,0.86,       -,       -,1.98,       -,       -,       -,-1.47,       -,       -,2.29,-0.3
 PALMITO EM CONSERVA,1.56,       -,-0.97,       -,-1.53,       -,       -,       -,       -,3.12,1.09,2.83,       -,       -,       -,       -,-0.08
 PEPINO EM CONSERVA,       -,0.05,       -,       -,       -,       -,       -,       -,       -,-4.18,       -,       -,-0.96,       -,       -,       -,-1.37
 SARDINHA EM CONSERVA,-0.65,-0.14,0.28,-0.25,1.66,       -,0.01,0.22,1.72,0.21,0.29,2.3,0.01,-0.33,4.56,-0.1,0.78
 SALSICHA EM CONSERVA,       -,       -,       -,-0.08,       -,1.32,2.25,-0.49,       -,       -,       -,       -,       -,1.2,       -,2.36,1.16
 CARNE EM CONSERVA,       -,       -,       -,2.99,       -,       -,-0.39,-0.14,       -,       -,       -,       -,       -,-0.58,3.61,2.32,1.37
 PATÊ,4.81,-1.6,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.12
 SOPA DESIDRATADA,       -,-0.02,1.82,       -,0.73,0.34,       -,       -,       -,       -,2.08,1.73,       -,1.24,       -,       -,0.97
 AZEITONA,0.91,       -,-1.36,-2.51,-1,1.65,-0.11,       -,1.16,-0.19,1,-1.02,-3.17,       -,       -,       -,-0.6
 MILHO-VERDE EM CONSERVA,-1.56,1.03,-2.84,1.13,-3.13,-1.28,-0.79,-2.22,0.13,1.09,-0.82,1.58,-1.53,-1.17,-2.46,0.7,-1.22
 ATUM EM CONSERVA,-2.27,-0.01,1.19,       -,-0.42,-1.32,       -,2.94,0.37,1.68,       -,       -,       -,       -,       -,       -,-0.2
 SAL E CONDIMENTOS,2.1,2.24,-0.83,-0.07,1.5,-0.99,0.28,-0.6,1.16,0.87,-0.37,-0.84,0.19,0.6,-0.63,0.71,0.83
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,0.85,       -,       -,       -,       -,       -,       -,       -,0.85
 ATOMATADO,-1.01,3.12,-0.95,-1.52,-0.3,0.63,-0.35,-2.35,0.42,-0.78,-0.22,-0.7,0.51,-0.56,0.9,0,-0.17
 ALHO,7.44,       -,-1.1,1.53,3.34,-6.44,-2.22,-2.07,3.72,-1.01,-2.11,-2.3,0.53,1.78,0.32,2.08,1.64
 SAL,       -,       -,       -,       -,       -,2.28,1.48,1.62,       -,       -,0.24,       -,-0.6,-0.3,-2.63,       -,0.43
 FERMENTO,       -,1.48,       -,       -,       -,       -,       -,       -,       -,2.72,       -,1.2,       -,       -,       -,       -,1.99
