"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MANDIOQUINHA (BATATA-BAROA),       -,       -,       -,       -,4.01,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.01
 AÇÚCARES E DERIVADOS,2.04,-0.48,1.49,0.9,1.96,-0.78,0.89,0.93,0.13,-0.31,1.47,4.17,0.82,-0.55,1,-1.01,1.11
 AÇÚCAR REFINADO,4.33,-0.51,       -,       -,0.23,       -,0.35,2.43,       -,0.38,       -,       -,       -,-2.22,2.48,-0.71,1.61
 AÇÚCAR CRISTAL,0.22,-0.1,3.6,0.32,2.54,-2.57,0.63,-0.59,0.09,-1.73,3.1,7.2,-0.61,-0.21,0.64,-2.07,1.2
 BALAS,       -,1.03,       -,       -,       -,       -,       -,       -,       -,0.2,       -,       -,       -,       -,       -,       -,0.58
 CHOCOLATE EM BARRA E BOMBOM,0.47,-2.21,-0.75,0.81,1.85,4.12,4.1,       -,-1.78,1.26,-1.64,-0.69,0.08,-1.04,       -,0.28,0.5
 SORVETE,-0.51,1.62,2.88,2.23,0.04,0.91,       -,1.94,2.39,-0.29,-1.07,-0.1,3.15,       -,-2.16,0.5,0.59
 CHOCOLATE E ACHOCOLATADO EM PÓ,2.72,-0.64,-3.11,2.91,4.65,0.22,0.72,0.39,0.41,-0.74,0.53,-0.06,1.96,-0.08,0.92,0.83,1.64
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-0.47,       -,-1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.74
 HORTALIÇAS E VERDURAS,-1.04,-2.68,3.49,1.2,-2.96,-4.89,-2.26,3.12,-1.2,2.03,2.65,0.81,4.38,-0.17,4.48,1.14,-0.83
 ALFACE,-4.93,-3.7,1.89,1.41,-2.82,-5.44,-5.81,-0.92,1.75,5.2,3.93,2.6,4.67,0.14,-0.06,1.62,-1.4
 COENTRO,       -,       -,       -,-0.29,       -,       -,       -,       -,0.23,       -,       -,       -,       -,       -,       -,1.97,0.15
 COUVE,-4.1,       -,1.56,       -,-2.76,-7.57,       -,       -,       -,-2.11,0.76,1.2,       -,       -,       -,       -,-1.79
 COUVE-FLOR,4.71,7.57,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.43,       -,       -,       -,       -,4.91
 REPOLHO,10.81,-5.46,17.42,6.38,-6.94,-8.68,2.41,       -,-7.73,-8.75,1.44,1.07,-0.49,1.45,       -,-1.9,-1.63
 CHEIRO-VERDE,-3.88,       -,       -,       -,-1.46,-2.33,-1.95,3.74,-1.69,       -,       -,0.6,6.9,-0.77,7.18,       -,0.24
 AGRIÃO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.58,       -,       -,       -,6.58
 BRÓCOLIS,3.89,0.35,3.18,       -,-2.29,-0.63,       -,       -,       -,3.58,       -,       -,       -,       -,       -,       -,0.66
 FRUTAS,-1.99,4.47,5.73,-3.14,0.31,-3.56,-0.58,-4.66,-1.48,-1.55,5.25,1,2.08,-3.14,-4.93,1.28,0.51
 BANANA-DA-TERRA,       -,       -,       -,2.3,       -,       -,       -,       -,2.91,       -,       -,4.85,       -,1.74,       -,       -,2.8
 ABACAXI,-8.69,0.57,4.19,1.35,4.51,       -,       -,       -,       -,-10.68,3.67,       -,1.69,       -,       -,4.29,0.42
 ABACATE,       -,       -,       -,       -,       -,       -,2.43,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.43
 BANANA-D'ÁGUA,2.4,0.48,       -,       -,1.68,8.21,       -,       -,       -,-8.81,       -,       -,-2.36,       -,       -,       -,0.21
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,16.25,       -,26.02,       -,       -,       -,18.16
 BANANA-PRATA,-0.19,-2.99,1.71,-2.79,-0.34,-5.44,0.8,-5.58,-2.92,-13.18,6.8,4.92,       -,1.41,-7.6,1.69,-1.48
 LARANJA-BAÍA,       -,8.61,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.61
 LIMÃO,       -,       -,       -,       -,       -,       -,0.49,       -,       -,       -,       -,       -,       -,       -,25.18,       -,5.73
 MAÇÃ,-0.76,-0.31,11.13,2.3,1.12,-0.47,-2.63,-0.36,0.13,0.63,5.21,4.66,-0.43,4.13,2.33,3.6,1.66
 MAMÃO,-9.64,-5.28,3.64,-3.38,-5.02,-8.54,-6.74,-19.67,-1.01,-8.33,       -,-10.87,-1.05,       -,-11.34,1.55,-5.96
 MANGA,-16.5,       -,       -,-23.91,       -,-10.19,       -,       -,       -,       -,       -,-10.09,       -,       -,       -,-12.34,-17.07
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,5.5,7.79,       -,       -,       -,       -,       -,       -,3.42,6.58
 MELANCIA,       -,       -,-4.58,-10.34,1.78,-2.97,4.44,-3.87,-10.84,-8.16,-4.6,       -,7.3,-13.89,-13.93,0.95,-4.14
 PÊRA,1.58,       -,       -,       -,4.35,-7.98,       -,       -,       -,       -,6.5,2.25,       -,       -,       -,       -,2.38
 TANGERINA,       -,7.72,       -,       -,-2.6,       -,       -,       -,       -,       -,       -,-1.21,       -,       -,       -,       -,7.23
 UVA,-5.02,       -,2.19,4.63,1.9,0.32,3.02,5.47,-9.47,5.03,-4.21,-2.63,2.79,-3.14,2.98,2.24,0.05
 LARANJA-PERA,3.69,       -,9.43,-0.67,-1.34,-0.69,-5.33,3.71,6.48,7.84,6.43,3.64,-1.58,-8.53,-0.96,3.67,2.31
 MORANGO,       -,-15.87,10.49,       -,       -,       -,       -,       -,       -,12.54,       -,       -,       -,       -,       -,       -,2.65
 GOIABA,       -,       -,       -,       -,       -,       -,       -,-0.29,       -,       -,       -,       -,       -,       -,       -,       -,-0.29
 CARNES,-0.63,0.48,0.97,1.19,-0.23,2.3,0.83,0.39,0.78,1.92,0.93,0.8,2.24,1.24,1.01,1.63,0.57
 FÍGADO,       -,       -,       -,6.26,       -,       -,3.75,0.27,-0.43,       -,       -,       -,       -,       -,-0.38,5.76,2.37
 CARNE DE PORCO,-0.36,2.32,-1.05,-4.82,-1.51,-3.24,0.66,-3.89,2.55,4.04,-1.52,2.94,-0.5,-2.87,1.1,-0.91,-0.25
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,4.56,0.5,       -,       -,       -,       -,       -,       -,       -,1.9
 CONTRAFILÉ,-2.98,-1.2,1.96,-0.71,0.54,3.33,0.55,-0.29,-0.32,0.81,1.26,-1.21,3.55,2.92,3.01,-0.68,0.09
 FILÉ-MIGNON,-1.24,       -,       -,-1.92,       -,       -,4.58,       -,0.32,0.56,-0.1,       -,0.48,       -,       -,       -,0.56
 CHÃ DE DENTRO,0.61,-0.57,0.54,3.05,-1.44,2.27,-1.36,1.68,0.23,4.64,1.27,1.91,4.88,1.97,4.85,2.25,0.36
 ALCATRA,0.16,0.45,2.33,2.51,2.78,2.19,0.12,1.3,1.33,2.42,0.85,-0.5,5.28,1.62,3.69,0.84,1.68
 PATINHO,-1.22,0.08,0.26,1.44,-1.19,2.05,-2.46,1.28,1.68,8.08,0.75,1.92,3.15,0.79,-0.67,0.98,0.76
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-0.93,       -,-1.27,       -,       -,       -,       -,       -,       -,       -,-1.04
 LAGARTO COMUM,       -,       -,       -,       -,1.56,2.09,       -,0.82,-1.33,       -,1.31,       -,4.95,-0.29,       -,-0.66,1.32
 MÚSCULO,-2.27,3.17,1.42,-1.72,0.54,       -,-0.48,       -,-0.46,-0.66,0.61,0.77,2.25,-2.43,-2.26,-0.1,0.36
 PÁ,       -,2.99,       -,0.22,0.92,6.18,1.95,       -,-0.77,2.37,       -,       -,-0.9,0.94,3.83,3.09,1.54
 ACÉM,0.41,-1.73,0.43,3.74,-2.74,2.06,1.61,0.47,3.24,-2.98,0.17,3.31,-0.35,1.24,1.5,4.75,-0.65
 PEITO,       -,       -,       -,       -,       -,       -,0.95,2.28,3.27,       -,1.3,       -,0.77,-0.87,1.9,1.51,1.85
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.77,1.24,       -,       -,1.71
 COSTELA,1.92,0.24,0.01,1.04,1.76,2.22,2.19,-0.77,-0.59,-0.18,1.77,-1,0.73,2.13,-2.43,0.88,0.66
 PESCADOS,-1.11,6.12,3.37,0.13,2.05,3.78,3.81,-3.53,0.48,1.61,-2.18,2.73,-3.2,0.97,2.27,0.69,1.42
 PEIXE-ANCHOVA,12.21,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,12.21
 PEIXE-BADEJO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.37,       -,       -,       -,       -,1.37
 PEIXE-CORVINA,-2.33,       -,       -,1.58,       -,       -,       -,       -,1.1,       -,       -,       -,       -,       -,       -,-1.79,0.22
 PEIXE-CAVALINHA,       -,       -,       -,-2.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.35
 PEIXE,       -,6.12,3.37,       -,       -,3.78,       -,       -,       -,1.61,-2.18,       -,       -,       -,       -,       -,3.09
 PEIXE-PESCADINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.28,       -,3.28
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.75,-0.75
 PEIXE-SARDINHA,       -,       -,       -,-1.87,2.69,       -,       -,       -,0.56,       -,       -,       -,-1.03,       -,       -,-1.84,1.55
 CAMARÃO,0.5,       -,       -,3.53,       -,       -,0.07,       -,-0.08,       -,       -,8.85,-3.2,       -,6.56,1.56,1.39
 PEIXE-VERMELHO,       -,       -,       -,       -,       -,       -,       -,       -,-4.16,       -,       -,       -,       -,       -,       -,       -,-4.16
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,7.14,0.26,       -,       -,       -,       -,       -,       -,       -,3.01
 PEIXE-PACU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.21,       -,       -,       -,-4.21
 PEIXE-DOURADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.89,       -,       -,       -,       -,5.89
 PEIXE-CAÇÃO,-1.11,       -,       -,       -,1.59,       -,       -,       -,       -,       -,       -,0.98,       -,       -,       -,       -,0.51
 PEIXE-MERLUZA,-3.69,       -,       -,-4.66,2.05,       -,       -,       -,2.96,       -,       -,       -,-2.28,       -,       -,       -,-1.06
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,2.06,2.61,       -,       -,       -,       -,       -,       -,1.51,       -,2.11
 PEIXE-PESCADA,-6.66,       -,       -,-0.24,-0.49,       -,6.4,       -,2.78,       -,       -,-5.8,       -,       -,-0.1,0.69,1.73
 CARANGUEJO,       -,       -,       -,       -,       -,       -,2.19,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.19
 PEIXE-CASTANHA,       -,       -,       -,3.51,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.51
 PEIXE-PIAU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.1,       -,       -,-1.1
 PEIXE-SURUBIM,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.97,       -,       -,0.97
 SURURU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.8,-0.8
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.97,-3.95,       -,-3.0
 PEIXE-SALMÃO,       -,       -,       -,       -,9.47,       -,       -,-3.53,       -,       -,       -,       -,-3.2,       -,       -,       -,6.38
 PEIXE-TILÁPIA,       -,       -,       -,       -,       -,       -,       -,-5.84,       -,       -,       -,       -,       -,       -,       -,0.69,-5.68
 PEIXE-TUCUNARÉ,       -,       -,       -,       -,       -,       -,3.81,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.81
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.11,5.71,       -,5.28
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,2.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.47
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.3,       -,       -,       -,       -,6.3
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.51,       -,       -,       -,-4.51
 PEIXE-MANDI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.97,       -,       -,0.97
 CARNES E PEIXES INDUSTRIALIZADOS,0.65,0.31,-0.94,1.68,0.15,0.76,-1,-1.93,0.25,1.18,-0.37,0.79,1.26,1,3.98,0.05,0.25
 PRESUNTO,0.46,0.65,0.97,       -,2.88,-0.59,-4.6,-2.6,0.26,-1.57,-2.73,0.85,2.47,-1.78,       -,0.1,0.87
 SALSICHA,-2.56,0.45,-0.02,3.13,1.17,-1.06,1.09,       -,       -,1.69,-0.63,0.4,0.09,-0.59,2.51,3.67,0.64
 LINGUIÇA,1.28,1.9,-2.79,1.12,-0.59,2.2,-1.34,-2.19,0.76,2.6,1.32,2.14,0.67,0.88,5.27,0.6,0.03
 MORTADELA,2.1,-2.01,0.32,-1.37,-1.9,       -,-0.57,-3.72,       -,0.85,       -,-3.66,2.75,5.46,       -,-1.42,-0.73
 SALAME,       -,-1.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.32
 CARNE-SECA E DE SOL,1.03,       -,       -,2.1,       -,       -,-0.82,0.58,-0.05,       -,       -,-0.87,       -,1.63,2.75,-0.71,0.56
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,1.71,       -,       -,       -,       -,       -,1.02,       -,       -,       -,       -,       -,       -,       -,1.37
 HAMBÚRGUER,       -,       -,       -,       -,       -,0.2,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.2
 AVES E OVOS,0.94,1.09,2.3,0.31,-0.1,2.53,1.4,1.22,2.82,0.74,2.64,1.11,1.24,0.35,1.94,2.11,1.12
 FRANGO INTEIRO,1.44,0.25,2.6,0.69,2.38,2.34,2.6,1.22,2.2,2.65,3.12,1.91,0.71,0.62,1.5,3.99,1.95
 FRANGO EM PEDAÇOS,2.34,2.4,1.81,0.02,-0.22,3.05,2.22,1.86,3.89,1.45,2.03,1.06,1.43,2.29,3.54,2.27,1.46
 OVO DE GALINHA,-2.83,-1.38,2.47,-0.62,-2.76,2.08,-2.76,0.97,3.43,-3.5,1.3,-0.62,1.7,-1.77,2.24,-2.4,-1.12
 LEITE E DERIVADOS,-3.1,0.62,-1.59,0.99,-1.21,-2.75,0.19,0.05,2.51,-1.59,-1.99,-0.94,-3,-1.1,-0.93,0.7,-0.91
 LEITE LONGA VIDA,-5.04,0.66,-3.06,-0.89,-3.51,-3.95,-0.19,-0.18,-0.03,-1.98,-2.96,-2.16,-5.19,-1.47,-0.47,0.57,-2.6
 LEITE CONDENSADO,       -,-1.86,       -,       -,       -,       -,1.07,-4.14,       -,       -,       -,       -,0.93,-1.18,       -,       -,-1.3
 LEITE EM PÓ,0.02,-0.95,       -,-0.21,-1.47,       -,-1.13,0.09,1.88,0.08,-1.62,1.16,-0.6,-0.18,-1.75,3.61,-0.17
 QUEIJO,-1.58,1.15,0.62,2.09,1.69,-1.46,4.25,1.32,5.91,-0.95,1.79,0.75,-0.88,-0.85,-0.35,-0.82,1.04
 CREME DE LEITE,       -,       -,       -,       -,       -,       -,       -,0.06,       -,       -,       -,       -,       -,       -,       -,       -,0.06
 IOGURTE E BEBIDAS LÁCTEAS,-2.56,0.78,1.74,2.49,3.54,-0.52,-0.87,-0.05,4.77,-1.31,-2.99,0.69,0.81,0.07,1.24,-1.56,1.44
 MANTEIGA,       -,       -,       -,4.59,       -,       -,4.62,1.82,4.09,       -,       -,-1.02,       -,-2.33,       -,-1.37,2.86
 PANIFICADOS,-1,0.78,-0.83,1.42,0.5,0.55,1.89,0.47,2.81,-0.49,0.6,0.3,-0.81,0.24,2.8,0.64,0.43
 BISCOITO,-1.1,-1.07,1.51,-0.26,2.2,-1.2,-0.26,1.01,0.73,0.57,0.92,1.6,0.24,-0.32,0.33,0.98,0.64
 PÃO FRANCÊS,-1.07,2.92,-1.74,2.21,0.42,1.52,2.85,0.63,4.14,-1.35,0.59,-0.86,-0.84,0.58,3.89,0.41,0.65
 PÃO DOCE,-2.73,-3.23,-2.46,       -,-0.56,0.69,-0.67,-2.25,0.08,1.43,       -,2.65,-3.7,       -,       -,1.92,-1.1
 PÃO DE FORMA,-0.08,0.28,-3.26,       -,-2.62,-1.39,       -,       -,       -,1.43,-0.08,-1.16,-2.37,       -,       -,       -,-1.27
 BOLO,0.11,0.3,1.45,1.79,1.81,0.27,0.68,-1.98,1.57,-1.28,3.22,4.02,-0.78,-1.78,0.64,1.09,0.8
 PÃO DE QUEIJO,       -,       -,0.58,       -,       -,-0.65,       -,       -,       -,       -,-1.47,       -,       -,       -,       -,       -,-0.07
 ÓLEOS E GORDURAS,1.97,2.71,1.41,2.36,0.67,-3.3,0.41,0.37,1.15,0.53,1.46,0,-0.11,0.03,-0.37,0.69,1.05
 ÓLEO DE SOJA,2.45,3.08,3.23,-0.53,0.44,-1.55,0.66,0.13,-1.28,1.05,1.98,0.34,0.07,-0.02,-1.27,0.46,1.11
 AZEITE DE OLIVA,1.03,       -,       -,       -,2.08,       -,       -,       -,       -,       -,       -,0.25,       -,       -,       -,       -,1.63
 MARGARINA,2,2.01,-3.04,4.5,0.39,-5.27,0.01,0.63,4.57,-0.49,-0.48,-0.9,-0.58,0.16,1.33,1.02,0.84
 BEBIDAS E INFUSÕES,-2.43,-0.1,-0.73,-0.34,0.73,0.38,-0.49,0.56,-0.54,1.25,-0.49,0.05,-0.41,0.32,-0.37,1,-0.07
 SUCO DE FRUTAS,-1.46,0.4,1.46,1.02,-0.72,-0.31,1.6,-0.22,1.67,-0.73,-0.26,-1.36,0.51,0.66,-0.98,0.32,-0.12
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-4.68,       -,       -,       -,       -,       -,       -,4.52,       -,       -,-4.55
 CAFÉ MOÍDO,-3.36,-0.37,-1.39,-2.92,0.43,-0.95,-2.31,-0.29,-2.75,0.28,-1.48,-2.69,-0.6,-0.27,-0.95,-0.09,-0.94
 CAFÉ SOLÚVEL,       -,-0.78,       -,-0.64,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.03,-0.55
 CHÁ,       -,-1.28,       -,       -,       -,       -,       -,       -,       -,-0.51,       -,       -,-1.79,       -,       -,       -,-1.14
 REFRIGERANTE E ÁGUA MINERAL,-2.27,0.79,-1.1,0.29,1.68,0.97,2.29,0.89,0.43,1.28,-0.37,1.64,-0.19,0.87,0.02,0.67,0.57
 CERVEJA,-2.8,-1.06,-0.3,-0.85,-0.1,0.71,1.72,2.07,-0.1,3.27,-0.24,0.92,-0.51,-0.99,0.1,1.72,-0.1
 OUTRAS BEBIDAS ALCOÓLICAS,-1.63,0.99,1.02,1.33,1.19,1.92,-1,0.93,-1.43,1.5,1.64,1.08,       -,       -,       -,1.14,0.39
 ENLATADOS E CONSERVAS,-0.47,-0.07,1.23,-1.34,1,0.28,2.07,-0.18,-0.76,0.67,0.84,0.94,-1,-0.59,-0.54,0.84,0.51
 COCO RALADO,       -,       -,       -,       -,0.42,2.23,       -,       -,       -,-0.34,       -,       -,-0.03,       -,       -,       -,0.29
 ERVILHA EM CONSERVA,-2.82,-2.44,       -,       -,       -,2.48,       -,       -,-4.89,       -,       -,       -,-3.03,       -,       -,0.47,-2.51
 PALMITO EM CONSERVA,-1.01,       -,3.21,       -,-0.85,       -,       -,       -,       -,0.98,0.13,3.24,       -,       -,       -,       -,0.16
 PEPINO EM CONSERVA,       -,-1.14,       -,       -,       -,       -,       -,       -,       -,1.73,       -,       -,-1,       -,       -,       -,-0.17
 SARDINHA EM CONSERVA,-1.32,2.22,0.86,-2.2,-0.26,       -,4.27,0.63,0.97,2.25,2.47,1.46,-0.43,-0.93,-0.5,0.87,0.6
 SALSICHA EM CONSERVA,       -,       -,       -,0.28,       -,0.71,-0.38,-3.68,       -,       -,       -,       -,       -,2.95,       -,-3.12,-0.67
 CARNE EM CONSERVA,       -,       -,       -,-0.99,       -,       -,3.26,0.22,       -,       -,       -,       -,       -,-2.94,-0.93,3.68,0.74
 PATÊ,0.46,1.49,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.02
 SOPA DESIDRATADA,       -,0.94,2.3,       -,1.38,1.59,       -,       -,       -,       -,-1.06,0.87,       -,1.13,       -,       -,1.4
 AZEITONA,1.53,       -,0.3,-1.79,3.59,-2.61,-1.32,       -,-4.24,-2.88,0.99,-0.57,-2.16,       -,       -,       -,0.96
 MILHO-VERDE EM CONSERVA,-0.43,-2.53,1.22,0.62,2.51,-0.58,-1.02,-1.37,-1.2,1.34,0.58,-0.69,-0.65,-2.26,-0.43,2.77,0.5
 ATUM EM CONSERVA,-0.44,1.46,0.55,       -,-0.02,-0.75,       -,0.62,4.82,3.08,       -,       -,       -,       -,       -,       -,0.63
 SAL E CONDIMENTOS,-0.45,-0.69,-0.96,0.31,0.25,-1,-1.06,-0.35,-0.82,-0.24,0.45,-0.38,2.73,0.26,-0.9,-0.49,-0.24
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,3.26,       -,       -,       -,       -,       -,       -,       -,3.26
 ATOMATADO,1,-2.9,0.75,-0.17,1.64,-1.42,0.8,0.61,-0.99,-0.92,-1.04,-0.09,3.29,1.21,-1.57,-1.43,0.34
 ALHO,-2.42,       -,-4.78,3.54,-2.25,-4.41,-1.32,0.51,1.23,-1.22,1.85,-0.67,5.09,-1.91,0.26,-1.58,-1.61
 SAL,       -,       -,       -,       -,       -,3.37,-2.06,-2.68,       -,       -,-0.61,       -,-1.27,3.36,-0.07,       -,-0.76
 FERMENTO,       -,2.76,       -,       -,       -,       -,       -,       -,       -,1.8,       -,0.32,       -,       -,       -,       -,2.18
 MAIONESE,0.15,0.65,-0.84,0.44,-0.79,0.15,-2.6,-2.72,       -,-0.75,0.9,-1.39,1.9,-0.63,       -,       -,-0.46
 VINAGRE,       -,       -,       -,2.19,       -,       -,-0.42,       -,       -,       -,       -,       -,       -,       -,-0.69,3.22,0.72
