"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.5,1.5
 COSTELA,2.78,0.29,1.13,-1.61,0.86,1.25,-2.14,2.74,-0.06,2.99,-2.8,0.04,-2.23,0.49
 PESCADOS,1.46,4.23,-1.31,-0.32,-1.68,-5.84,4.98,3.06,4.58,1.51,3.24,2.61,-0.98,2.14
 PEIXE-ANCHOVA,11.19,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,11.19
 PEIXE-BADEJO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.4,       -,-4.4
 PEIXE-CORVINA,5.07,       -,       -,-3.47,       -,       -,       -,       -,1.98,       -,       -,       -,       -,1.37
 PEIXE-CAVALINHA,       -,       -,       -,5.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.12
 PEIXE,       -,4.23,-1.31,       -,       -,-5.84,       -,       -,       -,1.51,3.24,       -,       -,0.62
 PEIXE-SARDINHA,       -,       -,       -,3.98,-3.47,       -,       -,       -,7.33,       -,       -,       -,0.87,-0.11
 CAMARÃO,0.74,       -,       -,-2.04,       -,       -,1.43,       -,7.76,       -,       -,10.18,3.61,3.04
 PEIXE-VERMELHO,       -,       -,       -,       -,       -,       -,       -,       -,1.12,       -,       -,       -,       -,1.12
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,1.89,2.93,       -,       -,       -,       -,2.51
 PEIXE-PACU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.64,-6.64
 PEIXE-DOURADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.17,       -,4.16
 PEIXE-CAÇÃO,2.2,       -,       -,       -,8.32,       -,       -,       -,       -,       -,       -,0.96,       -,5.22
 PEIXE-MERLUZA,3.25,       -,       -,-4,-1.68,       -,       -,       -,3.47,       -,       -,       -,-1.13,0.27
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,0.54,-3.29,       -,       -,       -,       -,       -,-0.94
 PEIXE-PESCADA,-8.68,       -,       -,4.9,-1.62,       -,4.48,       -,4.86,       -,       -,2.6,       -,1.56
 CARANGUEJO,       -,       -,       -,       -,       -,       -,8.26,       -,       -,       -,       -,       -,       -,8.26
 PEIXE-CASTANHA,       -,       -,       -,-1.74,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.74
 PEIXE-SALMÃO,       -,       -,       -,       -,-6.1,       -,       -,3.06,       -,       -,       -,       -,-0.98,-4.08
 PEIXE-TILÁPIA,       -,       -,       -,       -,       -,       -,       -,4.12,       -,       -,       -,       -,       -,4.12
 PEIXE-TUCUNARÉ,       -,       -,       -,       -,       -,       -,4.98,       -,       -,       -,       -,       -,       -,4.98
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,7.08,       -,       -,       -,       -,       -,       -,7.08
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.88,       -,-5.88
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.78,-4.78
 CARNES E PEIXES INDUSTRIALIZADOS,-0.03,0.42,-1.12,1.46,0.72,-1.01,-0.16,2.24,-1.2,0.92,-0.75,-0.32,0.06,0.21
 PRESUNTO,0.23,1.14,-0.22,       -,-1.52,-1.33,0.28,1.35,-1.4,1.25,-2.86,0.81,0.63,-0.48
 SALSICHA,-0.57,-0.77,0.44,-0.12,0.73,2.77,-2.5,       -,       -,8.08,0.73,0.57,-2.39,0.48
 LINGUIÇA,1.12,2.14,-1.85,-1.79,1.04,-1.74,-1.61,2.3,1.31,0.36,0.33,-0.28,0.71,0.52
 MORTADELA,-0.68,-0.2,0.77,-1.66,2.39,       -,-1.42,1.01,       -,-2.12,       -,0.1,-0.48,0.32
 SALAME,       -,-0.43,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.43
 CARNE-SECA E DE SOL,-1.42,       -,       -,2.88,       -,       -,1.05,3.5,-2.29,       -,       -,-3.14,       -,0.01
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-2.89,       -,       -,       -,       -,       -,0.5,       -,       -,       -,       -,-1.09
 HAMBÚRGUER,       -,       -,       -,       -,       -,-0.95,       -,       -,       -,       -,       -,       -,       -,-0.95
 AVES E OVOS,-1.22,-1.37,-0.45,-1.61,-0.03,-0.43,-1.22,1.16,0.33,-0.36,0.28,-1.41,0.05,-0.49
 FRANGO INTEIRO,-0.84,-0.92,-0.85,-1.83,-0.1,-0.1,-1.64,1.69,0.99,-1.22,0.57,-1.25,2.02,-0.36
 FRANGO EM PEDAÇOS,-0.85,-0.91,-0.83,-2.28,0.08,-0.85,0.99,-0.12,-0.05,-0.18,-1.46,-0.07,-1.48,-0.49
 OVO DE GALINHA,-2.43,-2.9,0.81,-0.19,-0.15,-0.37,-1.01,0.03,-1.77,0.3,0.62,-3.21,0.09,-0.75
 LEITE E DERIVADOS,1.33,2.95,-2.92,1.19,-0.73,-1.3,-1.53,0.08,1.77,-0.28,-0.48,-0.92,0.15,-0.01
 LEITE LONGA VIDA,4.19,4.29,-4.73,-2.04,-1.86,-2.88,-0.72,-0.69,0.57,-1.11,-1.33,-2.17,-0.52,-0.68
 LEITE CONDENSADO,       -,1.54,       -,       -,       -,       -,-1.67,2.37,       -,       -,       -,       -,1.6,0.88
 LEITE EM PÓ,-3.44,-1.46,       -,-0.67,-1.47,       -,-2.84,-1.44,-0.29,0.69,-2.29,-1.36,-1.72,-1.59
 QUEIJO,-0.64,1.21,0.04,4.11,1.15,-1.56,-0.49,2.1,7.82,1.77,0.73,0.07,1.85,1.41
 CREME DE LEITE,       -,       -,       -,       -,       -,       -,       -,0.38,       -,       -,       -,       -,       -,0.38
 IOGURTE E BEBIDAS LÁCTEAS,3.42,3.39,-1.52,0.1,-0.54,2.98,1.41,2.8,0.43,-0.66,4.15,-0.86,-0.14,0.59
 MANTEIGA,       -,       -,       -,3.23,       -,       -,-1.01,1.7,0.55,       -,       -,3.62,       -,1.2
 PANIFICADOS,1.68,0.83,0.13,1.35,-1.19,2.23,0.25,0.53,0.44,0.62,0.12,-0.11,-0.18,0.21
 BISCOITO,2.17,1.3,-0.37,3.4,-0.24,1.83,-0.08,1.5,-1.23,0.08,0.14,1.36,-0.46,0.52
 PÃO FRANCÊS,1.17,-1.04,0.19,0.34,-2.45,2.2,0.35,0.26,1.05,-0.38,-0.24,-0.03,0.15,-0.38
 PÃO DOCE,-1.44,3.83,-0.05,       -,0.45,2.59,-0.68,2.31,3.01,-0.81,       -,-1.12,-0.27,0.69
 PÃO DE FORMA,5.4,3.89,2.34,       -,1.25,-0.55,       -,       -,       -,4.23,3.35,-3.55,-1.48,2.65
 BOLO,0.63,2.35,1.53,1.2,1.5,2.93,1.13,-1.59,1.14,5.13,-0.08,-0.28,-0.87,1.62
 PÃO DE QUEIJO,       -,       -,-1.17,       -,       -,5.3,       -,       -,       -,       -,0,       -,       -,0.12
 ÓLEOS E GORDURAS,-1.33,-0.64,1.32,-0.67,-0.24,-2.74,0.42,-1.03,-0.51,-0.16,0.8,-1.31,0.03,-0.27
 ÓLEO DE SOJA,-2.35,-0.88,1.87,-1.59,-1.9,-3.64,-0.92,-0.81,-1.65,-0.41,1.2,-2.39,-0.96,-0.87
 AZEITE DE OLIVA,-0.18,       -,       -,       -,1.86,       -,       -,       -,       -,       -,       -,1.85,       -,1.14
 MARGARINA,-0.84,-0.15,-0.23,0.06,1.78,-1.62,2.68,-1.28,1.19,0.37,-0.76,-0.37,2.64,0.52
 BEBIDAS E INFUSÕES,-0.31,0.62,-0.22,0.64,-0.15,0.28,0.97,-0.05,-0.63,0.28,-0.4,0.54,-0.06,0.04
 SUCO DE FRUTAS,0.21,2.8,0.88,0.41,-0.99,-0.29,0.68,1.42,1.28,0.47,1.09,-2.25,-0.83,0.12
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,3.38,       -,       -,       -,       -,       -,       -,3.38
 CAFÉ MOÍDO,1.56,0.2,-1.01,-0.15,-0.82,-0.36,-0.45,-1.19,-0.46,2.14,-1.31,1.45,0.04,-0.21
 CAFÉ SOLÚVEL,       -,1.59,       -,0.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.05
 CHÁ,       -,1.28,       -,       -,       -,       -,       -,       -,       -,-0.09,       -,       -,0.54,0.97
 REFRIGERANTE E ÁGUA MINERAL,-0.85,0.25,-0.61,1.42,0.34,0.31,0.33,0.37,0.01,-0.35,-0.31,1.1,-0.11,0.05
 CERVEJA,-1.55,0.48,0.97,-0.28,-0.13,1.36,-0.05,0.74,-2.79,-0.61,-0.41,0.23,0.04,-0.29
 OUTRAS BEBIDAS ALCOÓLICAS,0.45,0.11,1.4,0.09,0.37,-1.2,0.02,-0.69,0.09,0.49,1.42,0.36,       -,0.37
 ENLATADOS E CONSERVAS,0.9,-0.02,0.72,-0.57,0.61,0.53,0,1.17,-0.43,0.78,0.3,1.28,-0.03,0.45
 COCO RALADO,       -,       -,       -,       -,0.27,1.38,       -,       -,       -,-0.43,       -,       -,0.84,0.17
 ERVILHA EM CONSERVA,1.92,1.31,       -,       -,       -,0.3,       -,       -,1.34,       -,       -,       -,2.22,1.44
 PALMITO EM CONSERVA,1.31,       -,0.83,       -,-2.38,       -,       -,       -,       -,-0.14,-1.16,0.05,       -,-1.11
 PEPINO EM CONSERVA,       -,-0.78,       -,       -,       -,       -,       -,       -,       -,2.31,       -,       -,0.77,0.3
 SARDINHA EM CONSERVA,2.36,0.86,1.53,-1.24,3.51,       -,0.25,1.64,-1.43,1.3,1.13,2.38,-0.6,1.4
 SALSICHA EM CONSERVA,       -,       -,       -,-2.33,       -,1.79,0.47,-0.31,       -,       -,       -,       -,       -,-0.23
 CARNE EM CONSERVA,       -,       -,       -,0.88,       -,       -,-1.15,1.29,       -,       -,       -,       -,       -,0.12
 PATÊ,-0.19,-0.29,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.25
 SOPA DESIDRATADA,       -,-0.2,1.7,       -,-0.76,1.02,       -,       -,       -,       -,1.82,-0.8,       -,0.22
 AZEITONA,-0.76,       -,-0.75,-0.07,0.26,0.13,-0.16,       -,-0.06,1.41,-0.13,1.1,-0.58,0.08
 MILHO-VERDE EM CONSERVA,1.63,-1.99,0.22,-0.51,2.34,1.27,0.95,-1.78,-0.82,-0.03,0.44,2.28,0.13,0.58
 ATUM EM CONSERVA,0.29,0.33,2.41,       -,-0.15,-1.13,       -,2.93,0,0.74,       -,       -,       -,0.38
 SAL E CONDIMENTOS,-3,0.55,-1.4,0.05,-0.6,-1.01,-0.36,-1.06,-0.88,1.05,-1.06,-3.84,-0.63,-0.73
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,0.46,       -,       -,       -,       -,0.46
 ATOMATADO,-0.35,0.56,0.02,0.46,-0.91,0.05,0,0.44,-2.32,1.11,-0.43,-1.41,0.72,-0.39
 ALHO,-6.74,       -,-6.04,-1.47,-0.86,-4.67,-3.1,-3.52,-0.06,-1.91,-4.74,-10.09,-3.85,-3.31
 SAL,       -,       -,       -,       -,       -,2.13,1.15,0.27,       -,       -,1.28,       -,-1.13,0.85
 FERMENTO,       -,0.85,       -,       -,       -,       -,       -,       -,       -,1.06,       -,-0.11,       -,0.87
 MAIONESE,-1.27,0.52,0.08,-0.54,-0.65,1.36,0.63,0.36,       -,1.7,0.92,1.22,-0.7,0.08
 VINAGRE,       -,       -,       -,0.42,       -,       -,-0.91,       -,       -,       -,       -,       -,       -,-0.23
 CALDO CONCENTRADO,0.28,1.8,-1.22,0.63,-3.42,1.02,       -,2.11,-0.51,       -,       -,0.62,       -,-0.93
 TEMPERO MISTO,       -,-0.57,2.03,0.51,2.15,-0.64,1.81,0.36,0.18,3.38,0.42,1.37,1.17,1.5
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.41,-0.13,0.08,-1.02,-0.46,-0.27,1.13,0.41,0.2,1.48,0.2,0.72,0.9,0.06
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.41,-0.13,0.08,-1.02,-0.46,-0.27,1.13,0.41,0.2,1.48,0.2,0.72,0.9,0.06
 REFEIÇÃO,0.51,-0.3,0.19,-1.49,-0.9,-0.28,1.12,0.43,0.15,1.29,0.95,0.61,1.1,-0.11
 LANCHE,0.18,0.31,-0.22,-0.46,0.67,-0.45,1.72,1.03,-0.23,2.05,-1.21,0.36,0.95,0.42
 CAFÉ DA MANHÃ,0.32,-2.85,2.59,-2.02,1.02,-1.21,1.48,       -,1.47,       -,       -,0.54,       -,0.47
 REFRIGERANTE E ÁGUA MINERAL,0.3,1.9,-0.02,1.7,-1.12,0.93,-0.34,0.84,-0.19,1.39,-0.87,0.34,-0.73,0.06
 CAFEZINHO,-0.18,-2.27,       -,       -,3.52,       -,       -,       -,       -,       -,1.1,       -,       -,1.66
 CERVEJA,0.76,0.17,0.01,-2.56,-0.85,1.39,0.9,-1.7,0.64,2.1,0.05,2.24,1.22,-0.03
 OUTRAS BEBIDAS ALCOÓLICAS,1.42,       -,-0.3,0.9,       -,1.54,0.62,-0.45,0.08,       -,       -,0.68,       -,0.47
 DOCES,-1.22,-0.56,0.66,-0.24,-0.25,-0.24,-0.22,0.62,1.54,0.27,0.08,3.09,-0.2,0.07
 HABITAÇÃO,-0.52,1.33,-1.45,-1.37,-0.89,-0.85,-2.06,-0.52,-1.55,-0.85,-1.55,0.35,-1.68,-0.85
 ENCARGOS E MANUTENÇÃO,0.51,0.18,0.22,0.27,0.4,0.13,0.96,0.62,0.2,0.54,0.41,0.53,0.33,0.39
 ALUGUEL E TAXAS,0.76,0.34,0.27,0.15,0.59,0.24,1.29,0.76,0.24,0.39,0.53,0.69,0.66,0.51
 ALUGUEL RESIDENCIAL,0.41,0.17,0.26,0.11,0.71,0.21,0.83,0.21,0.6,0.26,0.7,0.93,0.23,0.48
 CONDOMÍNIO,1.74,1.19,0.83,0.3,0.79,0.56,1.81,1.8,0.06,1.62,0.96,1.05,1.21,0.99
 TAXA DE ÁGUA E ESGOTO,0,0,0,0,0,0,3.32,1.43,0,0,0,0,1.31,0.12
 MUDANÇA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.21,0.87,       -,-0.6,-0.59
 REPAROS,0.01,0.3,0.24,0.68,0.1,0.02,0.01,0.39,0.15,0.47,0.16,0.39,-0.09,0.2
 FERRAGENS,       -,       -,-0.19,       -,2.2,       -,       -,2.77,       -,0.21,2.25,0.63,       -,1.46
 MATERIAL DE ELETRICIDADE,       -,0.2,       -,       -,       -,       -,1.07,       -,       -,1.24,       -,       -,       -,0.91
 MATERIAL DE PINTURA,       -,       -,1.23,       -,       -,       -,       -,       -,0.8,       -,       -,1.83,-0.95,1.0
 VIDRO,2.26,       -,-0.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.91
 TINTA,1.04,1.32,-0.06,0.17,-0.02,-0.85,0.18,1.93,-1.07,0.46,0.07,1.52,-1.35,0.33
 REVESTIMENTO DE PISO E PAREDE,-3.89,2.03,0.28,2.8,-0.05,0.64,-1.25,-0.68,2.59,2.65,0.45,1.4,0.09,0.46
 CIMENTO,-1.15,-1.67,-0.14,0.53,0.04,-3.28,-0.67,0.53,-0.55,0.59,-0.66,1.25,1.5,-0.37
 TIJOLO,       -,-0.25,1.17,1.73,-0.65,0.2,1.28,-0.32,0.19,0.03,-0.71,-1.38,       -,0.16
 MATERIAL HIDRÁULICO,       -,       -,0.52,       -,-0.8,       -,-0.13,       -,0.18,2.31,       -,-0.64,       -,0.0
 MÃO DE OBRA,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
 AREIA,-1.03,       -,0.23,       -,       -,       -,       -,2.2,-1.12,1.23,1.33,2.29,       -,0.2
 TELHA,0.28,       -,0.82,       -,       -,       -,-0.55,-0.96,-2.24,0.31,-0.78,-0.72,       -,0.01
 ARTIGOS DE LIMPEZA,-1.01,-1.34,-0.24,0.63,-0.56,-0.87,1.54,0.18,0.09,1.97,-0.02,-0.36,-1.19,-0.12
 ÁGUA SANITÁRIA,-4.01,       -,-1.09,0.29,-0.18,-1.21,0.38,0.23,-1.64,1.03,       -,       -,       -,-0.54
 DETERGENTE,-1.7,2.02,-0.86,1.28,-0.42,-1.04,0.71,-0.05,1.6,4.69,0.48,-1.33,-1.9,0.28
 SABÃO EM PÓ,-1.9,-3.29,-0.1,1.27,-1.44,-0.54,2.63,0.48,-0.41,1.86,-1.23,0.46,-2.43,-0.69
