"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MAÇÃ,6.22,4.62,13.06,2.87,2.62,5.44,0.89,1.74,6.87,6.87,4.45,4.11,5.08,0.87,1.83,-0.1,5.2
 MAMÃO,8.02,4.82,5.89,-5.17,5.27,4.12,5.76,2.37,0.94,8.88,       -,12.38,1.53,       -,1.74,1.45,4.78
 MANGA,-5.2,       -,       -,-9.12,       -,-2.59,       -,       -,       -,       -,       -,-8.54,       -,       -,       -,-4.85,-6.19
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,20.81,25.06,       -,       -,       -,       -,       -,       -,29.48,24.27
 MELANCIA,       -,       -,-6.22,5.53,-11.52,-2.93,2.03,5.74,10.18,5.97,-0.65,       -,-9.48,-0.74,3.25,4.76,-1.74
 PÊRA,0.68,       -,       -,       -,-0.22,3.45,       -,       -,       -,       -,-2.63,-2,       -,       -,       -,       -,0.25
 TANGERINA,       -,1.66,       -,       -,0.47,       -,       -,       -,       -,       -,       -,1.06,       -,       -,       -,       -,1.62
 UVA,3.65,       -,6.3,9.23,3.56,5.68,1.68,15.05,3.63,1.75,6.52,6.28,5.17,-0.44,10.89,0.99,4.27
 LARANJA-PERA,3.57,       -,-1.76,-9.69,2.57,-0.53,5.31,-2.01,2.36,6.19,-0.87,0.99,-3.58,-6,-4.79,8.13,1.07
 MORANGO,       -,-15.34,6.79,       -,       -,       -,       -,       -,       -,-13.57,       -,       -,       -,       -,       -,       -,-5.93
 GOIABA,       -,       -,       -,       -,       -,       -,       -,5.56,       -,       -,       -,       -,       -,       -,       -,       -,5.56
 CARNES,3.98,1.82,0.22,-0.14,2.8,-0.41,1.71,0.06,5.57,1.19,0.18,2.28,1,1.48,1.83,1.94,2.04
 FÍGADO,       -,       -,       -,2.75,       -,       -,-0.61,1.39,-5.21,       -,       -,       -,       -,       -,5.79,3.14,0.07
 CARNE DE PORCO,4.85,-1.44,-0.91,-3.75,3.03,-0.23,0.1,-1.42,-2.28,0.74,-0.39,3.96,1.79,-5.08,1,-1.47,1.01
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-3.43,2.87,       -,       -,       -,       -,       -,       -,       -,0.66
 CONTRAFILÉ,9.31,1.86,-0.33,-4.19,6.75,0.65,2.49,-0.87,7.01,3.29,0.32,5.93,1.04,2.91,0.97,1.29,3.88
 FILÉ-MIGNON,10.93,       -,       -,-2.58,       -,       -,4.85,       -,10.53,6.73,3.52,       -,-0.95,       -,       -,       -,6.22
 CHÃ DE DENTRO,3.22,-0.36,0.92,6.59,2.11,1.27,4.29,-0.69,4.89,0.41,-0.85,2.48,2.95,-0.57,1.57,0.17,2.03
 ALCATRA,7.69,4.15,1.08,1.61,6.24,3.22,3.35,3.09,9.26,0.94,0.81,6.4,1.6,2.88,3.05,1.64,4.11
 PATINHO,2.49,0.48,-0.76,6.5,3.9,0.73,1.41,0.7,3.47,1.74,0.35,0.16,0.5,2.09,4.96,-0.39,2.43
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,1.59,       -,3.99,       -,       -,       -,       -,       -,       -,       -,2.35
 LAGARTO COMUM,       -,       -,       -,       -,6.51,-2.73,       -,-0.21,5.72,       -,0.98,       -,-0.09,4.48,       -,2.77,3.92
 MÚSCULO,-3.15,-0.48,0.44,-1.26,0.68,       -,0.53,       -,6.4,-2.93,-0.37,-0.1,-0.29,-0.97,-0.93,2.9,0.18
 PÁ,       -,3.16,       -,-2.47,-0.1,-1.47,-0.73,       -,3.48,7.21,       -,       -,-1.21,1.11,2.53,2.41,1.42
 ACÉM,-2.89,2.94,0.1,-5.19,0.41,-1.29,-1.88,2.71,10.19,-4.61,-0.71,-0.76,-2.23,1.48,-0.47,5.54,0.25
 PEITO,       -,       -,       -,       -,       -,       -,0.67,-0.05,5.4,       -,-1.09,       -,1.46,0.13,-3.21,-1.19,1.43
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.83,1.48,       -,       -,2.66
 COSTELA,-2.67,1.86,0.58,-2.94,-1.04,-2.71,2.76,-1.25,4.95,-0.73,-0.02,-1.04,1.3,1.44,1.68,2.55,0.3
 PESCADOS,-0.32,-0.29,1.99,-0.05,-1.12,0.63,-2.25,3.12,3.61,1.44,3.69,1.4,0.95,-0.45,4.22,-1.09,0.45
 PEIXE-ANCHOVA,-1.86,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.86
 PEIXE-BADEJO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.93,       -,       -,       -,       -,-2.93
 PEIXE-CORVINA,6.04,       -,       -,1.91,       -,       -,       -,       -,5.32,       -,       -,       -,       -,       -,       -,-1.42,4.56
 PEIXE-CAVALINHA,       -,       -,       -,1.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.83
 PEIXE,       -,-0.29,1.99,       -,       -,0.63,       -,       -,       -,1.44,3.69,       -,       -,       -,       -,       -,1.25
 PEIXE-PESCADINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.63,       -,2.63
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.48,0.48
 PEIXE-SARDINHA,       -,       -,       -,-1.8,0.7,       -,       -,       -,3.92,       -,       -,       -,-0.66,       -,       -,-4,0.85
 CAMARÃO,-2.45,       -,       -,-0.94,       -,       -,0.3,       -,4.98,       -,       -,2.36,0.95,       -,5.97,-1.05,0.9
 PEIXE-VERMELHO,       -,       -,       -,       -,       -,       -,       -,       -,-0.45,       -,       -,       -,       -,       -,       -,       -,-0.45
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,8.83,-3.56,       -,       -,       -,       -,       -,       -,       -,1.41
 PEIXE-PACU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.11,       -,       -,       -,-0.11
 PEIXE-DOURADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.59,       -,       -,       -,       -,-2.59
 PEIXE-CAÇÃO,-0.32,       -,       -,       -,-1.44,       -,       -,       -,       -,       -,       -,2.32,       -,       -,       -,       -,-0.77
 PEIXE-MERLUZA,5.4,       -,       -,-3.39,-1.12,       -,       -,       -,5.07,       -,       -,       -,-2.73,       -,       -,       -,1.66
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,-2.25,5.39,       -,       -,       -,       -,       -,       -,4.37,       -,1.36
 PEIXE-PESCADA,-9.37,       -,       -,0.47,-4.55,       -,-2.74,       -,0.91,       -,       -,8.9,       -,       -,3.06,-1.09,-2.42
 CARANGUEJO,       -,       -,       -,       -,       -,       -,-3.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.12
 PEIXE-CASTANHA,       -,       -,       -,-0.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.07
 PEIXE-PIAU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.9,       -,       -,6.9
 PEIXE-SURUBIM,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.45,       -,       -,-0.45
 SURURU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.39,-0.39
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.45,-0.38,       -,-0.39
 PEIXE-SALMÃO,       -,       -,       -,       -,6.66,       -,       -,3.12,       -,       -,       -,       -,0.95,       -,       -,       -,5.58
 PEIXE-TILÁPIA,       -,       -,       -,       -,       -,       -,       -,1.95,       -,       -,       -,       -,       -,       -,       -,-1.09,1.87
 PEIXE-TUCUNARÉ,       -,       -,       -,       -,       -,       -,-2.25,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.25
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.1,7.03,       -,5.64
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-2.31,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.31
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.52,       -,       -,       -,       -,-4.52
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.57,       -,       -,       -,7.57
 PEIXE-MANDI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.45,       -,       -,-0.45
 CARNES E PEIXES INDUSTRIALIZADOS,-0.42,-0.47,-1.94,-1.74,-1.92,-1.83,-0.11,-0.71,0.43,-0.29,1.93,-0.97,-0.95,0.46,-1.29,-0.13,-1.03
 PRESUNTO,2.35,-0.3,-1.06,       -,-0.41,-3.25,1.61,-2.76,-0.75,-2.75,3.1,-0.98,-1.82,2.16,       -,-0.51,-0.35
 SALSICHA,-3.07,-2.42,-4.43,0.17,-2.42,1.23,-1.67,       -,       -,1.94,2.17,-0.11,0.67,-1.02,-0.94,-1.45,-2.02
 LINGUIÇA,-2.99,1.18,-2.86,1.06,-2.85,-3.49,-1.55,-0.62,0.82,1.6,1.11,-2.33,-0.61,-1.47,-1.92,1.25,-1.7
 MORTADELA,0.65,-0.11,0.75,0.08,0.48,       -,-1.81,-1.02,       -,-2.66,       -,3.1,-2.42,3.21,       -,1.03,-0.15
 SALAME,       -,0.39,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.39
 CARNE-SECA E DE SOL,3.07,       -,       -,-2.85,       -,       -,0.98,0.34,0.81,       -,       -,0.67,       -,1.7,-0.52,-0.79,0.0
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-0.16,       -,       -,       -,       -,       -,-2.22,       -,       -,       -,       -,       -,       -,       -,-1.19
 HAMBÚRGUER,       -,       -,       -,       -,       -,3.52,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.52
 AVES E OVOS,2.42,-1.24,1.07,0.93,1.8,1.28,0,0.63,-0.47,0.11,1.65,1.54,0.72,0.6,0.04,-0.91,0.82
 FRANGO INTEIRO,3.3,-0.52,1.28,3.25,2.07,1.74,0.02,1.7,-1.15,0.93,1.62,1.3,2.1,0.82,0.06,-2.65,1.16
 FRANGO EM PEDAÇOS,3.45,-0.46,1.52,-0.89,1.72,3.73,1.69,0.4,-0.47,-0.27,0.53,2.98,1.14,1.18,-1.63,0.89,1.21
 OVO DE GALINHA,-1.06,-3.87,-0.08,-4.52,1.61,-3.39,-1.04,-2.54,2.68,-0.26,2.78,0.29,-2.29,-0.44,1.3,-0.71,-0.54
 LEITE E DERIVADOS,-4.25,-5.8,-6.05,-1.27,-3.64,-2.75,-0.56,-0.94,-1.38,-6.65,-4.08,-5.24,-4.52,-0.74,-1.67,-2.66,-3.78
 LEITE LONGA VIDA,-11.1,-9.89,-9.58,-6.77,-6.56,-6.02,-3.48,-2.86,-3.67,-10.44,-5.71,-10.54,-7.88,-1.27,-3.21,-4.55,-7.73
 LEITE CONDENSADO,       -,1.85,       -,       -,       -,       -,1.46,-2.29,       -,       -,       -,       -,2.1,-0.59,       -,       -,0.88
 LEITE EM PÓ,0.89,2.2,       -,0.4,-1.47,       -,-0.3,1.07,1.17,-1.6,-1.37,1.31,-0.42,-0.51,-1.32,-1.87,0.11
 QUEIJO,1.62,-0.95,-0.87,-0.67,0.17,3.47,1.64,0.59,-2.56,-1.25,-1.44,-1.15,-0.01,0.31,-0.9,-2.45,-0.12
 CREME DE LEITE,       -,       -,       -,       -,       -,       -,       -,-3.53,       -,       -,       -,       -,       -,       -,       -,       -,-3.53
 IOGURTE E BEBIDAS LÁCTEAS,0.2,-2.72,-0.31,2.11,-0.57,-0.71,-0.77,-0.06,-0.37,-0.11,0.43,0.87,-3.38,3.03,1.32,-3.35,-0.43
 MANTEIGA,       -,       -,       -,1.47,       -,       -,0.89,0.67,1.33,       -,       -,2.97,       -,-2.28,       -,1.17,1.18
 PANIFICADOS,-1.28,-0.62,-0.56,-1.23,-1.78,-0.28,0.45,-0.5,-1.72,-0.27,-0.29,0.53,0.69,-0.17,0.29,-0.19,-0.98
 BISCOITO,-0.11,-0.89,-0.05,-0.7,0.07,-2.07,-0.5,-0.54,-0.2,-0.66,0.36,0.23,1.04,-0.64,-1.78,0.01,-0.3
 PÃO FRANCÊS,-1.38,-1.41,-0.26,-1.6,-2.89,1.19,0.84,-0.25,-2.4,-0.21,-0.41,0.89,0.68,-0.11,0.6,-0.12,-1.31
 PÃO DOCE,2.76,-1.54,-3.88,       -,-1.42,-1.67,0.56,1.4,-3.43,-2.8,       -,-0.06,0.25,       -,       -,-0.68,-1.39
 PÃO DE FORMA,-3.88,2.23,-0.44,       -,2.96,-4.89,       -,       -,       -,-1.17,-3.48,0.65,-1.52,       -,       -,       -,0.26
 BOLO,-3.27,1.78,-1.47,0.34,-3.85,-2.2,-0.53,-3.96,-0.52,2.44,0.34,-0.63,1.84,1,2.54,-2.01,-1.26
 PÃO DE QUEIJO,       -,       -,-1.43,       -,       -,-0.71,       -,       -,       -,       -,0.88,       -,       -,       -,       -,       -,-0.82
 ÓLEOS E GORDURAS,0.94,-0.6,-0.38,-1.24,-0.2,1.61,0.11,0.25,0.5,0.42,-1.55,2.51,1.72,1.41,-1.01,-0.07,0.01
 ÓLEO DE SOJA,2.44,-0.24,-0.34,-2.09,0.15,2.99,-0.26,-0.22,1.1,0.26,-1.88,3.41,1.68,1.45,-2.2,0.33,0.15
 AZEITE DE OLIVA,-3.09,       -,       -,       -,-0.14,       -,       -,       -,       -,       -,       -,1.16,       -,       -,       -,       -,-1.11
 MARGARINA,1.53,-1.31,-0.49,-0.6,-0.83,0.03,0.72,0.78,-0.34,0.73,-0.32,1.19,1.82,1.31,1.25,-0.63,-0.03
 BEBIDAS E INFUSÕES,-0.24,0.81,0.33,-0.52,0.25,-1.9,2.68,-0.15,-0.49,0.56,0.41,0.89,0.15,-0.09,-0.56,0.34,0.33
 SUCO DE FRUTAS,0.46,-0.07,1.57,-1.26,0.88,-0.45,0.08,-0.75,-1.5,0.2,0.12,1.51,0.22,1.24,-3.55,-0.47,0.33
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,7.47,       -,       -,       -,       -,       -,       -,2.47,       -,       -,7.4
 CAFÉ MOÍDO,-3.25,-1.55,-1.24,0.2,0.23,-2.01,-1.15,-1.27,-0.68,-1.46,0.69,-0.15,-1.66,-0.79,-2.33,-1.05,-0.88
 CAFÉ SOLÚVEL,       -,2.69,       -,0.04,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.33,1.87
 CHÁ,       -,0.58,       -,       -,       -,       -,       -,       -,       -,-1.62,       -,       -,-0.92,       -,       -,       -,0.05
 REFRIGERANTE E ÁGUA MINERAL,1.58,0.79,1.04,-0.5,-0.08,-0.52,2.65,0.53,0.18,1.98,0.45,1.98,0.99,0.33,0.5,0.58,0.7
 CERVEJA,0.06,1.93,0.24,-1,1.16,-5.18,-0.4,0.58,-0.61,1.11,-0.32,0.16,0.68,-1.19,1.78,0.51,0.57
 OUTRAS BEBIDAS ALCOÓLICAS,-2.24,0.48,0.03,-1.19,-2.12,0.48,2.18,-0.42,-1.69,-0.33,2.41,0.32,       -,       -,       -,-0.13,-1.07
 ENLATADOS E CONSERVAS,0.51,1.32,0.58,-0.1,0.23,-0.56,-1.11,-0.34,0.87,-0.63,-0.86,-0.13,-0.02,0.15,-1.07,1.53,0.12
 COCO RALADO,       -,       -,       -,       -,-0.19,-0.21,       -,       -,       -,0.45,       -,       -,-0.16,       -,       -,       -,-0.01
 ERVILHA EM CONSERVA,2.72,2.41,       -,       -,       -,0.78,       -,       -,0.57,       -,       -,       -,2.38,       -,       -,0.09,2.07
 PALMITO EM CONSERVA,-1.05,       -,0.81,       -,-1.16,       -,       -,       -,       -,-0.47,-1.44,-2.95,       -,       -,       -,       -,-0.85
 PEPINO EM CONSERVA,       -,4.23,       -,       -,       -,       -,       -,       -,       -,-0.22,       -,       -,-0.02,       -,       -,       -,2.55
 SARDINHA EM CONSERVA,1.62,3.5,1.05,0.05,-1.67,       -,-0.54,-1.09,2.24,-0.44,-0.03,0.2,0.08,0.88,-1.13,1.77,-0.12
 SALSICHA EM CONSERVA,       -,       -,       -,-0.18,       -,0.27,0.62,0.16,       -,       -,       -,       -,       -,0.09,       -,1.08,0.33
 CARNE EM CONSERVA,       -,       -,       -,-0.56,       -,       -,-2.72,1.49,       -,       -,       -,       -,       -,-0.59,-2.52,4.01,-1.11
 PATÊ,0.55,1.45,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.04
 SOPA DESIDRATADA,       -,0.09,-0.12,       -,-0.2,1.94,       -,       -,       -,       -,-0.83,-0.02,       -,-0.09,       -,       -,0.0
 AZEITONA,-0.25,       -,-0.98,1.51,2.3,-3.21,0.42,       -,-1.42,-1.74,-2.31,0.7,-0.65,       -,       -,       -,0.41
 MILHO-VERDE EM CONSERVA,1.83,-1.82,2.16,-0.63,1.53,-3.74,-4.76,-0.79,2.16,1.72,2.92,1.22,-0.26,-0.46,1.42,-1.01,0.63
 ATUM EM CONSERVA,-1.1,-5.28,2.16,       -,1.13,-0.71,       -,0.58,-0.48,-3.26,       -,       -,       -,       -,       -,       -,-0.35
 SAL E CONDIMENTOS,-0.81,0.51,-0.86,0,-0.42,0.01,-0.9,-0.93,1.56,0.32,-0.19,1.71,-0.06,-0.13,-1.59,-0.6,-0.19
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-0.12,       -,       -,       -,       -,       -,       -,       -,-0.12
 ATOMATADO,1.49,1.31,0.27,3.63,0.68,1,-1.82,0.92,2.54,1.24,-0.16,0.64,0.81,0.64,1.07,2.1,0.99
 ALHO,-2.69,       -,-4.11,-5.95,-3.12,-1.63,-0.98,-2.73,-0.16,-0.17,-0.67,4.6,-3.91,-1.45,-7.94,-5.06,-2.43
 SAL,       -,       -,       -,       -,       -,2.05,-1.14,-0.74,       -,       -,0.31,       -,-0.25,-0.85,2.19,       -,0.01
 FERMENTO,       -,-1.29,       -,       -,       -,       -,       -,       -,       -,-0.65,       -,-1.05,       -,       -,       -,       -,-1.0
 MAIONESE,-2.51,-0.6,0.28,-2.13,1.5,-3.31,-0.33,1.49,       -,0.75,0.71,-0.57,-0.62,0.06,       -,       -,0.13
