"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 HORTALIÇAS E VERDURAS,0.05,9.38,3.45,-5.41,-2.91,-3.26,2.89,-1.12,3.12,11.05,3.55,0.76,5.57,0.87
 ALFACE,-0.86,12.93,3.57,-3.15,-2.42,-4.58,2.35,-1.5,7.01,15.61,4.81,1.48,7.56,2.09
 COENTRO,0.0,0.0,0.0,-8.25,0.0,0.0,0.0,0.0,-4.89,0.0,0.0,0.0,0.0,-6.72
 COUVE,-3.03,0.0,4.89,0.0,-7.54,-3.64,0.0,0.0,0.0,-3.96,-1.91,-3.01,0.0,-3.31
 COUVE-FLOR,1.41,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54,0.0,3.69
 REPOLHO,0.72,2.57,2.69,0.84,1.38,-0.97,2.64,0.0,5.51,-1.31,5.62,-0.64,3.08,2.1
 CHEIRO-VERDE,-3.23,0.0,0.0,0.0,-2.26,-4.8,3.21,-1.06,5.98,0.0,0.0,0.87,2.5,0.0
 AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,2.87
 BRÓCOLIS,6.74,10.32,-0.13,0.0,-6.28,6.79,0.0,0.0,0.0,15.59,0.0,0.0,0.0,2.15
 FRUTAS,-2.21,-0.25,-2.22,0.1,-2.61,4.02,0.95,1.65,-2.43,-0.23,0.73,-3.37,4.81,-1.13
 BANANA-DA-TERRA,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,-3.42,0.0,0.0,-16.46,0.0,-3.11
 ABACAXI,10.76,1.58,7.85,7.65,3.05,0.0,0.0,0.0,0.0,-4.19,2.9,0.0,-1.34,4.48
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-31.1,0.0,0.0,0.0,0.0,0.0,0.0,-31.1
 BANANA-D'ÁGUA,-6.58,-2.09,0.0,0.0,-6.27,3.52,0.0,0.0,0.0,3.72,0.0,0.0,9.08,-3.9
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.54,0.0,-2.66,-1.79
 BANANA-PRATA,-3.27,-2.28,-6.0,2.14,-1.92,1.63,4.17,6.75,-4.36,-0.2,2.51,-4.7,0.0,-0.61
 LARANJA-BAÍA,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13
 LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,-22.78,0.0,0.0,0.0,0.0,0.0,0.0,-22.78
 MAÇÃ,-2.37,0.38,-1.29,-4.42,2.97,13.43,6.88,1.55,2.68,1.66,4.23,-1.53,8.78,1.59
 MAMÃO,-2.66,-1.87,-4.95,5.49,-6.29,2.26,7.53,0.95,18.13,-9.9,0.0,-13.65,1.35,-2.09
 MANGA,3.16,0.0,0.0,4.27,0.0,4.85,0.0,0.0,0.0,0.0,0.0,16.17,0.0,4.67
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.72,-17.47,0.0,0.0,0.0,0.0,-12.95
 MELANCIA,0.0,0.0,-4.38,-3.71,-3.76,2.34,-2.16,-2.27,-0.35,-2.57,5.97,0.0,1.49,-2.0
 PÊRA,-4.47,0.0,0.0,0.0,-2.31,7.15,0.0,0.0,0.0,0.0,0.09,-2.71,0.0,-2.01
 TANGERINA,0.0,-0.25,0.0,0.0,-2.61,0.0,0.0,0.0,0.0,0.0,0.0,-3.37,0.0,-0.42
 UVA,-3.02,0.0,-5.9,1.43,-3.47,5.5,1.68,-8.36,-5.65,-13.71,-13.53,-5.2,2.05,-4.3
 LARANJA-PERA,-1.67,0.0,2.27,-5.22,-0.76,0.52,1.0,-3.9,-4.3,5.45,0.07,3.19,8.8,-0.59
 MORANGO,0.0,14.23,0.15,0.0,0.0,0.0,0.0,0.0,0.0,9.67,0.0,0.0,0.0,6.68
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.99,0.0,0.0,0.0,0.0,0.0,-8.99
 CARNES,-2.91,-0.31,-0.03,-1.14,-1.56,-2.29,-0.81,-0.84,0.45,-0.94,-1.14,-1.46,-3.7,-1.09
 FÍGADO,0.0,0.0,0.0,-0.55,0.0,0.0,-2.43,-4.28,-4.96,0.0,0.0,0.0,0.0,-2.96
 CARNE DE PORCO,-1.2,1.67,2.13,-5.76,-2.04,1.12,0.56,1.45,-1.08,-0.03,-2.37,1.82,0.87,-0.25
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.75,1.34,0.0,0.0,0.0,0.0,-1.18
 CONTRAFILÉ,-4.73,0.24,-1.46,-3.92,-2.86,-3.66,0.08,-3.84,-1.35,-5.02,-0.75,-2.66,-3.98,-2.58
 FILÉ-MIGNON,-4.85,0.0,0.0,-7.3,0.0,0.0,-1.93,0.0,0.79,-3.79,-2.73,0.0,1.69,-3.33
 CHÃ DE DENTRO,-1.09,1.66,-0.02,0.49,-2.65,-4.46,1.41,0.63,1.58,-0.24,0.28,-3.15,-6.27,-0.88
 ALCATRA,-3.12,-4.29,-1.43,2.13,-0.91,-4.77,1.32,-2.95,1.89,0.64,-2.53,-4.88,-4.32,-1.14
 PATINHO,4.42,1.65,2.66,1.3,-4.11,-2.11,1.04,-0.27,1.36,-0.27,-0.04,-1.35,-3.76,-0.33
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0.45,0.0,0.0,0.0,0.0,-0.32
 LAGARTO COMUM,0.0,0.0,0.0,0.0,-1.76,-1.74,0.0,-1.85,-0.31,0.0,-0.53,0.0,-6.76,-1.63
 MÚSCULO,-5.81,0.56,0.39,0.64,0.02,0.0,-0.4,0.0,-2.29,-0.3,-0.03,-0.8,-0.22,-0.69
 PÁ,0.0,1.55,0.0,-2.81,-3.12,1.63,0.37,0.0,0.37,-1.26,0.0,0.0,-1.13,-0.73
 ACÉM,-1.13,-1.18,0.75,0.77,0.38,-1.45,-3.65,1.06,0.37,1.03,0.62,0.21,-8.33,-0.33
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-3.18,-0.29,0.83,0.0,2.28,0.0,-3.82,-0.88
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.01,-3.01
 COSTELA,-3.18,-0.37,-0.39,-2.92,-0.19,-0.95,-3.44,-0.49,0.58,0.27,-1.88,1.1,-2.97,-0.96
 PESCADOS,1.78,-0.15,1.38,-1.65,-0.95,2.44,1.08,0.32,2.0,-1.7,-2.63,-1.77,-2.9,0.51
 PEIXE-ANCHOVA,10.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.03
 PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,2.89
 PEIXE-CORVINA,1.1,0.0,0.0,-1.85,0.0,0.0,0.0,0.0,4.37,0.0,0.0,0.0,0.0,2.05
 PEIXE-CAVALINHA,0.0,0.0,0.0,-4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.12
 PEIXE,0.0,-0.15,1.38,0.0,0.0,2.44,0.0,0.0,0.0,-1.7,-2.63,0.0,0.0,-0.03
 PEIXE-SARDINHA,0.0,0.0,0.0,-1.82,2.11,0.0,0.0,0.0,3.34,0.0,0.0,0.0,-6.13,1.66
 CAMARÃO,-3.05,0.0,0.0,5.32,0.0,0.0,-3.75,0.0,0.38,0.0,0.0,-3.16,-0.85,-1.38
 PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,3.8
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-0.44,0.0,0.0,0.0,0.0,0.66
 PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.15,-5.15
 PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,0.0,4.89
 PEIXE-CAÇÃO,-3.83,0.0,0.0,0.0,-5.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.79,0.0,-4.62
 PEIXE-MERLUZA,4.7,0.0,0.0,-0.55,-0.95,0.0,0.0,0.0,-1.74,0.0,0.0,0.0,-0.53,1.02
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,3.17,2.69,0.0,0.0,0.0,0.0,0.0,2.99
 PEIXE-PESCADA,12.69,0.0,0.0,-9.28,-1.78,0.0,6.8,0.0,2.33,0.0,0.0,-5.79,0.0,3.51
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,-5.12,0.0,0.0,0.0,0.0,0.0,0.0,-5.12
 PEIXE-CASTANHA,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
 PEIXE-SALMÃO,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.32,0.0,0.0,0.0,0.0,-2.9,-0.31
 PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,-0.27
 PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,1.08
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-3.56,0.0,0.0,0.0,0.0,0.0,0.0,-3.56
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.96,0.0,-1.96
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.55,-3.55
 CARNES E PEIXES INDUSTRIALIZADOS,-1.2,1.68,-3.63,-0.34,0.39,-2.31,1.13,-3.37,-0.46,0.25,-0.47,-1.45,-0.7,-0.36
 PRESUNTO,-1.2,8.34,-1.83,0.0,0.79,0.06,0.67,-2.85,-1.91,-2.44,0.91,-7.2,0.94,0.16
 SALSICHA,-3.41,-1.99,-5.41,-4.47,1.96,-2.07,2.25,0.0,0.0,-2.61,-6.07,-2.93,-1.21,-0.76
 LINGUIÇA,-0.98,3.23,-5.32,3.44,-0.49,-4.11,3.5,-3.32,-1.3,-0.1,-0.13,0.22,-0.64,-0.82
 MORTADELA,1.0,-0.31,-2.06,1.22,0.98,0.0,-0.79,-1.35,0.0,5.14,0.0,2.39,-2.56,0.87
 SALAME,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34
 CARNE-SECA E DE SOL,-1.83,0.0,0.0,-0.81,0.0,0.0,0.48,-5.28,0.07,0.0,0.0,-1.14,0.0,-0.51
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,-0.02
 HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.52
 AVES E OVOS,-0.8,0.89,0.79,-0.32,-1.02,0.33,-0.48,-1.11,-0.76,-0.22,-1.05,-1.95,-1.54,-0.51
 FRANGO INTEIRO,-2.74,3.45,0.88,-0.88,-2.85,0.34,0.45,-1.46,0.29,-0.11,-0.84,-3.74,-2.37,-0.7
 FRANGO EM PEDAÇOS,-0.49,0.7,-0.24,1.49,-1.12,-0.13,-2.92,-0.16,-3.12,-0.5,1.58,-0.97,-1.66,-0.65
 OVO DE GALINHA,0.49,-0.9,2.11,-0.58,1.3,1.03,-2.18,-0.4,-0.75,0.2,-3.58,0.51,-0.15,0.08
 LEITE E DERIVADOS,-0.48,-0.3,0.61,0.06,0.53,-0.55,0.6,-0.26,-1.38,1.13,-0.7,0.44,-1.64,0.06
 LEITE LONGA VIDA,-0.06,-2.22,1.17,-1.07,1.09,-1.32,2.95,0.23,-2.0,1.11,-1.22,-0.1,-1.56,0.16
 LEITE CONDENSADO,0.0,1.17,0.0,0.0,0.0,0.0,-2.06,-1.42,0.0,0.0,0.0,0.0,-2.53,-0.64
 LEITE EM PÓ,2.06,-1.95,0.0,-1.03,-1.67,0.0,0.35,-0.17,-0.86,2.77,-0.3,-1.3,4.47,-0.18
 QUEIJO,-2.14,3.52,-0.58,0.96,0.22,1.36,-1.37,-1.17,-2.4,-0.7,0.69,1.23,-4.49,-0.19
 CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49,0.0,0.0,0.0,0.0,0.0,-0.49
 IOGURTE E BEBIDAS LÁCTEAS,0.43,0.28,0.94,1.88,0.0,-0.98,2.06,-0.92,-0.07,3.64,-0.64,0.9,1.56,0.6
 MANTEIGA,0.0,0.0,0.0,-1.11,0.0,0.0,0.17,0.58,-0.14,0.0,0.0,2.2,0.0,0.05
 PANIFICADOS,-0.24,0.85,0.25,0.26,0.16,-1.54,-0.42,-0.11,-2.19,0.3,-1.21,0.77,1.12,-0.12
 BISCOITO,-1.3,-0.43,-0.29,-1.03,-1.89,-3.23,-0.35,-0.47,-4.86,-0.16,0.04,0.55,0.39,-1.37
 PÃO FRANCÊS,0.13,2.07,0.55,1.12,1.62,-1.2,-0.6,0.27,-1.14,0.72,-2.15,0.41,1.28,0.56
 PÃO DOCE,1.08,0.23,2.66,0.0,-1.81,-1.76,1.39,-2.86,-1.11,0.54,0.0,1.2,1.05,-0.4
 PÃO DE FORMA,-0.16,-1.47,-1.6,0.0,-3.14,1.35,0.0,0.0,0.0,-2.17,-2.52,1.96,-0.91,-1.81
 BOLO,-2.43,3.37,-1.83,-2.19,1.7,1.15,0.66,-1.16,1.31,0.95,0.49,2.25,4.32,0.67
 PÃO DE QUEIJO,0.0,0.0,0.67,0.0,0.0,-4.05,0.0,0.0,0.0,0.0,1.12,0.0,0.0,-0.04
 ÓLEOS E GORDURAS,-0.22,-2.68,-1.05,0.32,-0.39,-0.94,-1.72,-0.02,-2.69,0.31,-2.12,-0.23,-3.24,-0.95
 ÓLEO DE SOJA,-1.6,-3.41,-2.71,-0.35,-0.02,-0.91,-2.14,-1.19,-4.39,-0.18,-2.76,-1.05,-3.47,-1.73
 AZEITE DE OLIVA,-0.09,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,-0.21
 MARGARINA,1.13,-1.22,3.71,0.84,-1.08,-0.97,-1.03,1.3,-0.19,1.33,0.39,1.56,-2.65,0.23
 BEBIDAS E INFUSÕES,-0.83,-0.3,-0.55,0.63,-0.72,-0.95,1.3,0.34,-2.17,-0.39,-0.91,-1.07,-1.1,-0.52
 SUCO DE FRUTAS,-2.39,-0.47,-1.17,-0.43,-1.31,-0.88,1.91,-0.01,0.16,0.56,1.04,-1.92,-3.46,-0.79
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5
 CAFÉ MOÍDO,-0.02,-0.56,-1.17,-0.47,-0.88,-3.99,1.35,-0.61,-1.72,0.19,-1.89,-1.87,0.02,-0.75
 CAFÉ SOLÚVEL,0.0,-1.6,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.82
 CHÁ,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,-0.53,0.42
 REFRIGERANTE E ÁGUA MINERAL,-1.0,-0.91,-0.15,2.62,0.15,0.96,-0.95,1.47,-1.92,-0.85,-0.91,-1.05,-1.21,-0.27
 CERVEJA,-1.47,0.69,-0.09,-3.31,-2.01,-1.14,0.1,-1.01,-4.6,-1.11,-0.55,-0.51,-1.2,-1.38
 OUTRAS BEBIDAS ALCOÓLICAS,0.48,-0.1,-1.74,-0.89,0.37,0.81,0.43,-1.01,-0.27,0.66,-0.49,0.43,0.0,0.09
 ENLATADOS E CONSERVAS,0.14,1.3,0.09,1.15,-1.35,0.58,0.23,-0.17,0.13,0.86,0.04,-0.05,0.66,-0.07
 COCO RALADO,0.0,0.0,0.0,0.0,-4.78,-0.58,0.0,0.0,0.0,0.69,0.0,0.0,-1.28,-2.77
 ERVILHA EM CONSERVA,-1.15,0.07,0.0,0.0,0.0,3.75,0.0,0.0,0.71,0.0,0.0,0.0,-1.29,0.03
 PALMITO EM CONSERVA,-2.72,0.0,0.04,0.0,-0.07,0.0,0.0,0.0,0.0,1.34,1.47,-2.08,0.0,-0.01
 PEPINO EM CONSERVA,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35,0.0,0.0,0.89,1.53
 SARDINHA EM CONSERVA,2.29,1.77,0.12,3.75,-1.5,0.0,1.63,0.24,1.23,0.04,1.57,-0.72,1.27,0.65
 SALSICHA EM CONSERVA,0.0,0.0,0.0,2.3,0.0,0.27,-0.79,-1.67,0.0,0.0,0.0,0.0,0.0,-0.03
 CARNE EM CONSERVA,0.0,0.0,0.0,-2.86,0.0,0.0,0.25,-0.34,0.0,0.0,0.0,0.0,0.0,-1.35
 PATÊ,-0.49,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47
 SOPA DESIDRATADA,0.0,-0.15,0.47,0.0,0.44,0.38,0.0,0.0,0.0,0.0,-0.75,-0.13,0.0,0.27
 AZEITONA,-0.12,0.0,-0.12,0.16,-1.03,0.6,-0.07,0.0,-1.5,0.22,-1.3,2.1,1.82,-0.46
 MILHO-VERDE EM CONSERVA,-1.82,1.36,-0.73,1.39,-4.84,1.71,-3.15,-2.28,-1.17,3.24,-0.76,0.94,-0.12,-1.2
 ATUM EM CONSERVA,1.26,2.79,1.26,0.0,0.35,-0.29,0.0,1.53,1.49,2.45,0.0,0.0,0.0,1.08
 SAL E CONDIMENTOS,-2.96,-0.12,-0.35,-0.97,-0.81,-0.1,0.15,-1.6,-2.5,0.04,-0.6,-2.6,-2.44,-0.96
 LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.14,0.0,0.0,0.0,0.0,-3.14
 ATOMATADO,-2.04,-0.35,0.64,-1.23,1.5,-0.1,1.86,-1.51,-0.45,-0.51,1.5,-0.25,-1.96,0.26
 ALHO,-5.1,0.0,-4.45,-3.98,-5.7,-0.58,-2.66,-2.74,-9.44,-1.06,-4.88,-7.86,-5.34,-4.79
 SAL,0.0,0.0,0.0,0.0,0.0,-0.8,-0.18,-0.63,0.0,0.0,0.26,0.0,-5.73,-0.86
 FERMENTO,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,-0.5,0.0,0.51
 MAIONESE,0.1,-0.27,0.67,-1.74,-0.54,1.32,0.25,-1.61,0.0,1.4,0.77,1.85,1.78,0.11
 VINAGRE,0.0,0.0,0.0,-0.23,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.85
 CALDO CONCENTRADO,-2.25,0.39,3.24,-0.13,-0.02,-1.81,0.0,-0.65,-0.25,0.0,0.0,0.55,0.0,0.23
 TEMPERO MISTO,0.0,-0.11,0.96,1.76,-0.17,0.61,1.42,0.23,0.63,0.68,-0.03,0.77,-0.22,0.45
 ALIMENTAÇÃO FORA DO DOMICÍLIO,1.72,-1.49,0.17,0.21,0.11,0.68,0.06,-0.5,0.69,-0.71,-0.1,0.33,0.13,0.18
 ALIMENTAÇÃO FORA DO DOMICÍLIO,1.72,-1.49,0.17,0.21,0.11,0.68,0.06,-0.5,0.69,-0.71,-0.1,0.33,0.13,0.18
 REFEIÇÃO,2.25,-2.67,0.19,0.0,0.01,0.91,0.69,0.01,0.34,-0.45,-0.57,0.05,0.54,0.16
 LANCHE,0.68,0.36,-0.11,-0.33,0.6,0.53,0.4,-1.96,0.96,-0.78,1.13,0.93,-1.8,0.26
 CAFÉ DA MANHÃ,0.25,3.1,0.36,4.67,-0.56,-1.23,-0.48,0.0,-0.61,0.0,0.0,-0.79,0.0,0.34
 REFRIGERANTE E ÁGUA MINERAL,0.76,-0.26,0.47,1.49,2.18,1.49,-1.35,-0.5,0.01,-0.43,-0.52,0.21,0.08,0.72
 CAFEZINHO,1.05,3.33,0.0,0.0,-1.12,0.0,0.0,0.0,0.0,0.0,-1.09,0.0,0.0,0.01
 CERVEJA,-0.81,-0.71,0.39,0.17,-1.64,-1.91,-1.96,-0.22,1.3,-3.5,-0.44,-0.56,2.54,-0.81
 OUTRAS BEBIDAS ALCOÓLICAS,0.34,0.0,0.96,0.97,0.0,1.63,3.19,0.5,-3.75,0.0,0.0,0.0,0.0,0.49
 DOCES,1.64,1.43,0.97,2.45,1.75,-2.56,1.06,2.24,3.36,0.71,0.11,2.03,1.35,1.53
 HABITAÇÃO,0.31,0.71,0.09,-0.4,0.26,-0.05,1.06,0.2,0.36,0.02,-1.04,0.05,1.19,0.22
 ENCARGOS E MANUTENÇÃO,0.54,0.2,0.17,0.25,0.3,0.03,0.05,1.24,0.47,-0.07,0.05,-0.03,0.31,0.29
 ALUGUEL E TAXAS,0.65,0.33,0.06,0.32,0.29,0.06,0.82,1.61,0.63,0.02,0.07,0.0,0.44,0.36
 ALUGUEL RESIDENCIAL,0.3,0.53,0.05,0.06,0.01,0.09,0.0,0.54,0.5,0.05,0.05,0.0,0.14,0.14
 CONDOMÍNIO,1.59,0.42,0.2,0.94,1.21,0.04,0.22,0.95,1.47,0.2,0.24,0.02,2.24,1.0
