"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 UVA,5.84,0.0,3.65,0.51,-2.41,0.1,2.4,-5.87,-6.73,12.4,4.47,10.65,2.06,0.39
 LARANJA-PERA,8.71,0.0,6.55,16.41,2.32,7.79,0.63,4.34,9.33,11.8,5.04,4.63,4.02,6.31
 MORANGO,0.0,9.96,16.71,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,14.73
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.46,0.0,0.0,0.0,0.0,0.0,-3.46
 CARNES,-1.1,0.71,-1.31,0.12,-0.79,0.68,0.19,0.66,0.95,-0.99,-0.57,-1.42,0.86,-0.31
 FÍGADO,0.0,0.0,0.0,-0.54,0.0,0.0,-0.48,-2.47,-3.71,0.0,0.0,0.0,0.0,-1.62
 CARNE DE PORCO,2.91,0.11,-3.79,1.32,-2.03,-1.4,0.24,-0.35,0.84,-0.69,-1.84,-0.78,0.01,-1.27
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,-2.43,0.0,0.0,0.0,0.0,0.27
 CONTRAFILÉ,-3.47,0.33,-0.04,-2.53,-2.2,0.06,-1.5,2.43,2.4,1.63,-0.6,2.16,2.54,-0.87
 FILÉ-MIGNON,-6.23,0.0,0.0,-3.91,0.0,0.0,1.88,0.0,5.74,-2.25,-0.4,0.0,0.43,-1.46
 CHÃ DE DENTRO,-3.25,-3.66,-0.95,1.23,0.84,-2.41,-0.52,1.03,1.53,1.93,-0.2,-3.81,3.85,0.21
 ALCATRA,0.28,-0.71,0.68,2.95,-0.46,3.29,-0.44,1.52,-0.82,4.08,-0.27,-2.58,1.26,0.36
 PATINHO,-1.22,-1.94,-0.15,-3.56,-0.82,1.33,-1.15,0.71,3.04,-3.13,-0.7,-4.0,-2.57,-0.52
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,-1.11,0.0,0.0,0.0,0.0,-0.11
 LAGARTO COMUM,0.0,0.0,0.0,0.0,-1.62,2.02,0.0,-2.15,0.34,0.0,-2.36,0.0,1.87,-0.96
 MÚSCULO,-0.5,2.41,-2.65,-4.07,-0.52,0.0,-0.89,0.0,-2.27,-3.25,-0.94,1.65,-1.92,-1.15
 PÁ,0.0,2.4,0.0,3.52,-0.1,0.33,0.92,0.0,0.81,-4.4,0.0,0.0,1.22,0.68
 ACÉM,-1.68,-1.47,-4.91,0.4,-1.26,-0.79,0.58,-0.15,1.82,-0.16,0.72,-1.45,1.78,-0.93
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,0.63,-1.32,0.87,0.0,-1.87,0.0,1.66,0.25
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0
 COSTELA,1.18,2.17,-0.47,1.81,0.3,0.77,2.62,0.01,3.09,-5.81,-0.06,-2.64,0.09,0.47
 PESCADOS,-4.51,1.41,3.14,-1.02,-0.45,4.7,-0.27,-0.26,-2.09,0.28,0.61,-1.28,5.42,-0.89
 PEIXE-ANCHOVA,-5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.93
 PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
 PEIXE-CORVINA,1.29,0.0,0.0,-5.68,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,-0.49
 PEIXE-CAVALINHA,0.0,0.0,0.0,-4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.45
 PEIXE,0.0,1.41,3.14,0.0,0.0,4.7,0.0,0.0,0.0,0.28,0.61,0.0,0.0,1.96
 PEIXE-SARDINHA,0.0,0.0,0.0,0.56,-5.18,0.0,0.0,0.0,1.8,0.0,0.0,0.0,1.92,-2.77
 CAMARÃO,-9.09,0.0,0.0,0.87,0.0,0.0,6.35,0.0,-1.33,0.0,0.0,-4.14,5.42,-2.66
 PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.15,0.0,0.0,0.0,0.0,-5.15
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.52,-11.52,0.0,0.0,0.0,0.0,-8.38
 PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.58,14.58
 PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.43,0.0,-1.43
 PEIXE-CAÇÃO,0.18,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,-2.49,0.0,-0.01
 PEIXE-MERLUZA,-3.39,0.0,0.0,-0.14,-0.45,0.0,0.0,0.0,-8.24,0.0,0.0,0.0,-1.3,-2.46
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,-9.43,0.11,0.0,0.0,0.0,0.0,0.0,-5.82
 PEIXE-PESCADA,-0.91,0.0,0.0,2.4,0.67,0.0,0.62,0.0,-2.67,0.0,0.0,3.78,0.0,0.49
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,-2.07,0.0,0.0,0.0,0.0,0.0,0.0,-2.07
 PEIXE-CASTANHA,0.0,0.0,0.0,9.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12
 PEIXE-SALMÃO,0.0,0.0,0.0,0.0,5.11,0.0,0.0,-0.26,0.0,0.0,0.0,0.0,5.42,4.22
 PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18
 PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,-0.27
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-2.17,0.0,0.0,0.0,0.0,0.0,0.0,-2.17
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.82,0.0,-2.82
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,1.99
 CARNES E PEIXES INDUSTRIALIZADOS,-0.77,-0.78,-0.71,0.72,-1.15,-0.84,-0.44,-1.52,0.55,-1.43,-2.69,-0.57,-1.03,-0.7
 PRESUNTO,-4.03,3.78,2.27,0.0,-1.94,-2.3,1.43,1.01,3.97,0.19,-2.87,-4.71,0.87,-0.52
 SALSICHA,2.71,-1.41,-6.0,2.55,-1.87,-1.25,-2.98,0.0,0.0,-1.28,-0.78,1.72,1.22,-1.23
 LINGUIÇA,-1.67,-4.46,-0.65,-2.02,0.42,0.44,1.17,-1.62,0.48,-1.74,-2.99,-0.72,-1.44,-0.64
 MORTADELA,-0.81,0.7,-0.46,2.36,-4.88,0.0,0.19,-0.84,0.0,-2.46,0.0,1.34,-4.25,-1.97
 SALAME,0.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29
 CARNE-SECA E DE SOL,1.6,0.0,0.0,0.79,0.0,0.0,-1.02,-2.99,0.82,0.0,0.0,2.6,0.0,0.43
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-2.47,0.0,0.0,0.0,0.0,0.0,-3.7,0.0,0.0,0.0,0.0,-3.14
 HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,-2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.04
 AVES E OVOS,-0.68,-1.39,-0.14,2.33,-2.54,-1.09,-0.53,-0.49,-5.03,-4.08,-4.77,0.29,-1.18,-1.51
 FRANGO INTEIRO,-1.98,-3.08,-1.59,3.48,-4.78,-2.85,-0.7,-1.03,-6.26,-4.15,-5.1,3.2,-1.04,-2.08
 FRANGO EM PEDAÇOS,-0.28,-1.12,0.15,0.79,-3.69,0.34,-0.48,-0.03,-3.72,-3.55,-4.48,-3.13,-2.43,-1.88
 OVO DE GALINHA,-0.3,-0.55,2.05,0.72,1.63,-0.14,-0.01,0.91,-2.35,-4.95,-4.02,-1.09,0.77,0.08
 LEITE E DERIVADOS,1.24,2.41,6.48,-1.34,3.53,2.28,-1.66,-0.05,0.81,4.35,0.95,4.38,2.44,2.41
 LEITE LONGA VIDA,2.68,1.99,9.82,0.39,6.89,3.36,-0.17,-0.81,0.65,5.76,3.09,8.59,5.47,4.94
 LEITE CONDENSADO,0.0,0.63,0.0,0.0,0.0,0.0,-0.78,-0.45,0.0,0.0,0.0,0.0,-0.33,-0.08
 LEITE EM PÓ,-1.13,-1.94,0.0,-2.0,-1.29,0.0,-1.77,1.55,-1.04,4.69,-0.68,-1.54,-0.08,-0.89
 QUEIJO,0.56,4.68,1.12,-2.37,-0.52,1.24,-2.7,0.16,3.9,3.05,-3.96,0.97,-1.92,0.5
 CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.72,0.0,0.0,0.0,0.0,0.0,-1.72
 IOGURTE E BEBIDAS LÁCTEAS,0.74,1.65,3.73,0.08,1.37,0.82,-2.59,-1.19,0.49,0.53,-1.39,1.91,1.05,0.96
 MANTEIGA,0.0,0.0,0.0,0.79,0.0,0.0,-1.55,0.34,0.34,0.0,0.0,0.28,0.0,0.06
 PANIFICADOS,-0.16,-0.36,-0.03,0.6,-1.26,0.24,-0.85,0.55,-0.87,0.62,0.24,0.88,0.84,-0.38
 BISCOITO,0.16,-0.85,-0.73,-1.71,-2.59,-0.49,-0.44,0.68,-0.79,0.04,0.91,2.05,0.36,-0.92
 PÃO FRANCÊS,-0.01,0.32,-0.05,2.07,-0.74,0.37,-1.16,0.74,-0.69,1.85,-0.2,0.13,1.45,-0.01
 PÃO DOCE,0.68,-1.42,1.42,0.0,-1.45,-2.47,1.24,-0.14,-3.48,-0.66,0.0,-1.59,-4.24,-0.93
 PÃO DE FORMA,-2.27,-1.08,0.17,0.0,-1.64,0.04,0.0,0.0,0.0,-0.09,-1.13,2.16,-0.98,-1.26
 BOLO,0.7,-0.23,1.24,-2.89,-0.76,0.68,0.08,-1.51,-0.95,-2.57,2.36,2.58,2.36,-0.53
 PÃO DE QUEIJO,0.0,0.0,0.6,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.05
 ÓLEOS E GORDURAS,-0.58,2.26,-1.53,-0.17,0.31,-2.44,0.7,-1.48,-0.02,-0.84,-2.08,-0.16,-1.62,-0.25
 ÓLEO DE SOJA,-0.68,2.59,-1.81,-0.01,-0.73,-2.37,1.89,-1.93,0.69,-1.07,-2.65,0.15,-2.52,-0.48
 AZEITE DE OLIVA,1.37,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.47
 MARGARINA,-1.45,1.65,-0.76,-0.3,2.28,-2.52,-1.2,-0.97,-0.97,-0.38,0.09,-1.22,0.69,0.01
 BEBIDAS E INFUSÕES,-2.2,-0.42,-0.52,0.08,-0.11,0.27,2.64,-0.5,-0.56,-0.59,-1.47,0.16,-0.5,-0.32
 SUCO DE FRUTAS,0.51,0.03,1.85,-0.43,-0.63,1.58,0.56,-0.91,-0.72,-2.15,-2.02,-1.71,-1.9,-0.3
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,8.69,0.0,0.0,0.0,0.0,0.0,0.0,8.69
 CAFÉ MOÍDO,-4.41,-2.8,-0.03,2.0,-0.14,0.02,-0.29,0.25,3.39,-0.28,-1.56,-0.39,-0.54,-0.36
 CAFÉ SOLÚVEL,0.0,-0.08,0.0,-1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42
 CHÁ,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,-1.57,0.09
 REFRIGERANTE E ÁGUA MINERAL,-1.68,0.98,-1.11,0.39,-0.59,1.04,0.17,-0.75,-1.83,-0.53,-0.27,0.57,-0.65,-0.51
 CERVEJA,-4.15,-2.46,-0.87,-1.8,1.16,-1.03,0.69,-1.86,-2.91,-0.76,-3.85,2.12,0.42,-0.91
 OUTRAS BEBIDAS ALCOÓLICAS,1.21,0.59,-0.26,-1.08,-0.97,-0.83,0.45,1.14,-1.08,-1.39,-0.92,-0.74,0.0,-0.23
 ENLATADOS E CONSERVAS,-0.33,1.01,2.54,0.82,-0.37,0.66,0.32,0.4,-1.19,0.15,-1.29,-0.29,0.95,0.26
 COCO RALADO,0.0,0.0,0.0,0.0,-0.36,0.89,0.0,0.0,0.0,-0.99,0.0,0.0,1.08,-0.4
 ERVILHA EM CONSERVA,-1.3,0.29,0.0,0.0,0.0,4.1,0.0,0.0,-2.75,0.0,0.0,0.0,-0.04,-0.4
 PALMITO EM CONSERVA,0.95,0.0,1.81,0.0,0.18,0.0,0.0,0.0,0.0,-0.27,1.75,-3.16,0.0,0.37
 PEPINO EM CONSERVA,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,0.0,0.95,1.9
 SARDINHA EM CONSERVA,-0.79,1.61,2.57,1.19,-0.22,0.0,0.37,1.45,0.96,0.52,-0.53,-0.53,2.04,0.57
 SALSICHA EM CONSERVA,0.0,0.0,0.0,2.03,0.0,2.98,1.12,0.66,0.0,0.0,0.0,0.0,0.0,1.51
 CARNE EM CONSERVA,0.0,0.0,0.0,0.29,0.0,0.0,-0.1,-2.92,0.0,0.0,0.0,0.0,0.0,-0.23
 PATÊ,-5.15,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.51
 SOPA DESIDRATADA,0.0,2.61,1.95,0.0,1.66,1.32,0.0,0.0,0.0,0.0,-0.82,0.8,0.0,1.68
 AZEITONA,-0.76,0.0,3.41,-0.93,-0.92,-2.41,1.26,0.0,-0.88,-0.74,-3.28,2.35,-1.39,-0.2
 MILHO-VERDE EM CONSERVA,1.27,-2.33,4.1,0.63,-0.5,0.69,-1.34,1.15,-5.31,0.06,-3.27,-0.81,2.22,-0.1
 ATUM EM CONSERVA,2.22,2.34,-0.36,0.0,-1.46,-0.77,0.0,-1.13,1.44,0.82,0.0,0.0,0.0,0.0
 SAL E CONDIMENTOS,-2.34,0.0,0.05,-0.4,-2.61,1.42,0.39,-1.59,3.44,-1.32,-1.01,0.79,1.01,-0.86
 LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.59,0.0,0.0,0.0,0.0,-2.59
 ATOMATADO,-2.84,-1.36,-0.31,-1.57,-0.53,2.22,-1.11,-0.55,3.96,-0.41,-1.73,-0.07,2.7,-0.36
 ALHO,-2.83,0.0,1.38,4.35,-8.24,0.45,0.1,-3.83,9.9,-3.55,-1.66,2.57,-0.09,-2.6
 SAL,0.0,0.0,0.0,0.0,0.0,1.46,1.64,0.46,0.0,0.0,-1.28,0.0,-2.09,0.24
 FERMENTO,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.53,0.0,1.5
 MAIONESE,-0.26,0.22,-1.67,-1.24,0.6,-1.8,2.27,1.03,0.0,-0.57,-2.16,-1.31,1.02,-0.1
 VINAGRE,0.0,0.0,0.0,-1.57,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,1.2
 CALDO CONCENTRADO,-0.51,0.18,0.56,1.58,0.84,1.23,0.0,-1.13,1.9,0.0,0.0,-1.63,0.0,0.67
 TEMPERO MISTO,0.0,1.64,-0.08,-2.65,-3.37,1.83,-1.2,-0.65,1.59,-2.82,1.76,1.72,0.62,-1.21
 ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.24,0.8,-0.41,-0.13,-1.04,0.25,0.1,0.54,1.51,-0.19,0.18,-0.64,0.98,-0.22
 ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.24,0.8,-0.41,-0.13,-1.04,0.25,0.1,0.54,1.51,-0.19,0.18,-0.64,0.98,-0.22
 REFEIÇÃO,-0.41,0.98,-1.82,0.04,-1.7,0.13,0.59,0.35,2.78,-0.5,-0.18,-0.5,1.29,-0.55
 LANCHE,0.34,1.57,0.74,-0.5,0.43,0.54,-0.63,0.1,-0.15,-0.19,0.76,-1.04,0.28,0.31
 CAFÉ DA MANHÃ,-1.2,-0.88,2.33,-4.51,-0.38,-2.43,1.55,0.0,-0.17,0.0,0.0,0.58,0.0,-0.37
 REFRIGERANTE E ÁGUA MINERAL,-1.47,1.35,1.23,0.55,1.03,-1.24,-1.25,0.16,0.8,0.48,2.04,-0.12,-0.48,0.54
 CAFEZINHO,0.21,1.46,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,1.36
 CERVEJA,0.67,-2.9,1.18,0.83,-1.87,2.12,0.12,3.59,0.87,0.24,0.14,0.36,1.67,-0.21
 OUTRAS BEBIDAS ALCOÓLICAS,-0.38,0.0,1.23,-1.73,0.0,-0.23,0.57,1.71,-2.23,0.0,0.0,-3.24,0.0,-0.26
 DOCES,0.88,-0.78,-1.17,0.26,-0.04,0.9,2.94,-0.91,1.59,2.43,-1.09,-1.25,2.21,0.4
 HABITAÇÃO,0.91,0.88,-0.24,0.03,-0.24,-0.05,0.79,0.54,0.7,-0.11,-1.29,-0.07,2.59,0.17
 ENCARGOS E MANUTENÇÃO,-0.11,0.02,-0.1,0.43,-0.2,0.11,0.04,-0.04,0.06,-0.03,-0.27,-0.15,0.36,-0.07
 ALUGUEL E TAXAS,-0.19,-0.28,-0.12,0.49,-0.29,0.21,0.05,0.09,0.02,-0.3,-0.28,-0.25,0.65,-0.15
 ALUGUEL RESIDENCIAL,-0.68,-0.24,-0.25,0.16,-0.59,0.33,-0.04,0.15,0.02,-0.4,-0.56,0.11,0.95,-0.36
 CONDOMÍNIO,0.56,-0.75,0.06,1.34,0.19,0.17,0.72,-0.02,0.05,-0.79,0.09,-1.21,0.44,0.17
 TAXA DE ÁGUA E ESGOTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
