"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
" TUBÉRCULOS, RAÍZES E LEGUMES",-4.65,0.63,-3.39,-7.41,-5.89,9.69,-5.13,-4.5,-4.92,-7.96,-1.84,1.15,-1.18,-6.3,-5.86,-8.09,-4.36
 BATATA-INGLESA,-8.15,2.87,-9.9,-4.89,-14.56,3.81,-5.74,-0.33,-12.17,-10.53,-8.56,-1.16,-4.14,0.74,-1.47,-7.94,-8.11
 INHAME,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.28,0.8
 MANDIOCA (AIPIM),0.0,1.29,0.0,-4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.58,4.0,0.0,0.0,6.16,-0.87
 ABÓBORA,-6.9,0.0,1.56,0.0,0.0,1.98,0.0,0.0,0.0,0.0,-4.51,0.0,0.0,0.0,0.0,0.0,-2.97
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35
 QUIABO,0.0,0.0,-13.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.61
 TOMATE,5.18,3.62,4.35,-13.62,-2.2,13.47,-0.95,-4.68,-2.22,-0.06,7.07,11.03,3.61,-2.51,-2.71,-10.92,-0.05
 CEBOLA,-18.76,-10.43,-11.79,-12.32,-9.31,-2.89,-10.13,-17.24,-16.57,-25.33,-16.54,-5.78,-15.66,-15.14,-12.56,-18.91,-12.85
 CENOURA,2.19,0.0,8.76,0.0,-0.47,24.88,0.0,3.07,9.83,3.93,3.01,3.11,0.0,0.0,0.0,7.35,4.07
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4
 AÇÚCARES E DERIVADOS,-1.66,0.21,-0.21,1.82,-0.58,-0.3,-5.45,1.06,1.57,1.12,-0.7,0.17,-1.58,0.19,-1.54,0.33,-0.35
 AÇÚCAR REFINADO,-3.24,-4.94,0.0,0.0,-3.42,0.0,-0.79,1.43,0.0,-1.31,0.0,0.0,0.0,-1.97,-2.82,-0.51,-2.53
 AÇÚCAR CRISTAL,0.68,0.38,0.34,1.93,1.12,-0.61,-9.53,0.88,0.94,-0.32,-1.0,-0.28,-1.9,0.4,-0.45,0.69,-0.24
 BALAS,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,2.69
 CHOCOLATE EM BARRA E BOMBOM,-0.73,2.26,-0.11,0.85,0.66,-1.3,-0.23,0.0,3.11,2.95,-0.02,2.64,-2.35,1.84,0.0,1.91,0.95
 SORVETE,0.35,-0.99,-0.84,1.67,-1.66,-1.18,0.0,-1.41,0.54,0.74,-0.69,-1.48,-1.9,0.0,-3.23,-2.71,-0.87
 CHOCOLATE E ACHOCOLATADO EM PÓ,-2.91,-0.66,-1.18,2.65,-0.04,2.24,-2.32,1.87,3.8,1.49,-0.13,0.36,0.24,0.48,-0.75,1.09,-0.1
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,1.04,0.0,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
 HORTALIÇAS E VERDURAS,-1.23,2.16,-0.08,-0.82,4.06,3.13,-3.09,-1.08,-2.17,-6.82,-2.65,-0.86,-4.39,-4.44,-8.67,1.54,0.32
 ALFACE,-1.24,-0.46,-0.45,-2.0,5.45,5.47,4.84,0.03,-6.97,-7.76,-2.45,0.25,-3.77,-3.09,-5.38,5.87,1.15
 COENTRO,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.97,1.98
 COUVE,3.12,0.0,3.82,0.0,1.3,1.49,0.0,0.0,0.0,0.58,1.39,-0.28,0.0,0.0,0.0,0.0,2.06
 COUVE-FLOR,-7.96,-1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.63,0.0,0.0,0.0,0.0,-5.04
 REPOLHO,1.63,7.5,-5.6,-8.82,2.56,-0.09,-7.27,0.0,-0.2,-5.05,-6.78,-13.11,-12.25,-1.27,0.0,-5.45,-0.77
 CHEIRO-VERDE,1.07,0.0,0.0,0.0,3.63,1.26,-4.97,-1.25,-2.02,0.0,0.0,4.05,1.52,-6.14,-10.52,0.0,-1.12
 AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.09,0.0,0.0,0.0,-6.09
 BRÓCOLIS,-4.9,7.99,-0.14,0.0,0.34,3.29,0.0,0.0,0.0,-8.83,0.0,0.0,0.0,0.0,0.0,0.0,-1.04
 FRUTAS,1.31,12.95,0.46,1.58,4.46,4.5,-0.4,-3.77,4.26,6.12,1.02,1.7,8.79,4.01,2.96,0.8,4.42
 BANANA-DA-TERRA,0.0,0.0,0.0,-1.06,0.0,0.0,0.0,0.0,-1.33,0.0,0.0,2.33,0.0,6.48,0.0,0.0,-0.6
 ABACAXI,-1.88,0.98,-4.9,-1.03,1.5,0.0,0.0,0.0,0.0,9.54,7.49,0.0,0.01,0.0,0.0,-4.7,0.49
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.24
 BANANA-D'ÁGUA,-2.57,-2.85,0.0,0.0,4.5,7.38,0.0,0.0,0.0,11.34,0.0,0.0,25.59,0.0,0.0,0.0,4.15
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.27,0.0,0.78,0.0,0.0,0.0,-1.68
 BANANA-PRATA,-1.35,-0.42,1.03,-6.89,-0.58,5.64,-1.23,-14.59,2.19,-2.86,-1.85,-3.55,0.0,2.14,-2.06,-3.81,-2.16
 LARANJA-BAÍA,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05
 LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.24,0.0,29.19
 MAÇÃ,0.45,2.79,-0.44,0.87,0.36,-2.02,1.38,-1.9,8.88,3.64,2.86,-3.97,2.75,2.77,-4.82,1.37,1.32
 MAMÃO,12.9,9.45,4.93,6.62,2.27,14.22,-2.95,20.69,17.29,26.99,0.0,12.52,6.78,0.0,6.11,11.45,8.79
 MANGA,3.78,0.0,0.0,1.99,0.0,3.05,0.0,0.0,0.0,0.0,0.0,-2.93,0.0,0.0,0.0,0.44,2.45
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.35,-1.16,0.0,0.0,0.0,0.0,0.0,0.0,7.08,-4.34
 MELANCIA,0.0,0.0,6.99,-6.43,-1.59,-1.06,-7.41,2.08,11.88,-1.97,14.03,0.0,4.81,3.08,13.41,-2.03,1.97
 PÊRA,2.1,0.0,0.0,0.0,8.34,20.34,0.0,0.0,0.0,0.0,1.43,4.62,0.0,0.0,0.0,0.0,7.27
 TANGERINA,0.0,20.26,0.0,0.0,22.54,0.0,0.0,0.0,0.0,0.0,0.0,14.95,0.0,0.0,0.0,0.0,20.23
 UVA,2.11,0.0,0.88,-2.79,11.94,1.36,-2.54,-9.33,4.54,-4.24,8.09,1.68,3.33,4.01,0.74,2.45,5.21
 LARANJA-PERA,0.27,0.0,1.64,19.4,7.21,-0.77,-2.2,2.83,-2.05,5.53,-5.39,-0.12,9.46,9.83,3.68,1.61,3.87
 MORANGO,0.0,-6.48,-15.5,0.0,0.0,0.0,0.0,0.0,0.0,-5.37,0.0,0.0,0.0,0.0,0.0,0.0,-9.62
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31
 CARNES,0.22,-0.94,0.35,-0.67,0.98,-0.56,0.12,1.75,0.3,0.0,0.76,1.02,2.78,0.99,-2.34,-1.1,0.3
 FÍGADO,0.0,0.0,0.0,-0.21,0.0,0.0,-1.45,-3.66,-1.84,0.0,0.0,0.0,0.0,0.0,0.86,-3.26,-1.27
 CARNE DE PORCO,-3.9,-1.9,-0.79,2.29,0.81,2.52,-3.15,0.15,-3.92,-1.49,-0.28,-1.71,1.73,-0.59,-1.55,0.49,-0.78
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.44,-3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.87
 CONTRAFILÉ,3.66,-1.97,-1.07,-1.01,-0.34,0.75,0.9,0.4,0.37,3.39,1.51,3.28,5.46,0.65,-1.36,-0.27,0.6
 FILÉ-MIGNON,5.76,0.0,0.0,2.23,0.0,0.0,-1.97,0.0,0.33,-4.24,2.05,0.0,-1.85,0.0,0.0,0.0,0.17
 CHÃ DE DENTRO,-0.62,1.14,-0.15,-0.72,1.38,-0.07,1.81,1.12,1.03,-1.52,0.23,0.32,2.13,2.71,-5.02,-1.57,0.62
 ALCATRA,-1.15,-1.79,1.02,1.0,0.06,-1.96,1.24,-1.27,1.59,0.94,-0.68,2.96,2.14,-0.69,-3.81,-1.04,0.09
 PATINHO,1.74,-0.66,1.67,-4.83,4.1,-0.22,0.9,4.63,0.24,-2.56,0.62,-0.52,2.04,0.35,-1.97,-1.68,1.35
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-1.61,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.61
 LAGARTO COMUM,0.0,0.0,0.0,0.0,2.83,-1.02,0.0,0.54,2.57,0.0,0.93,0.0,3.45,1.86,0.0,0.96,1.94
 MÚSCULO,-1.89,3.57,3.31,0.18,1.07,0.0,0.71,0.0,1.85,-0.16,0.95,0.28,1.34,5.48,-0.4,0.64,1.37
 PÁ,0.0,-1.69,0.0,1.58,0.64,1.61,-0.58,0.0,0.62,0.55,0.0,0.0,1.76,0.74,-3.83,-1.87,-0.02
 ACÉM,-2.03,1.33,1.55,-0.81,1.9,1.97,0.8,2.76,-2.67,-1.48,2.78,1.58,3.0,0.99,-0.91,-1.56,0.88
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,1.35,3.8,0.89,0.0,1.05,0.0,3.71,0.05,0.11,0.39,1.36
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.99,0.0,0.0,1.1
 COSTELA,-0.46,-1.24,-1.79,-1.9,-1.34,-2.24,-2.47,2.11,0.86,1.03,1.55,0.04,4.79,-0.25,-2.57,-1.34,-0.66
 PESCADOS,0.8,-1.27,-0.84,1.44,1.88,-0.28,-0.55,3.51,-0.54,-1.85,4.45,3.94,3.06,-1.34,-1.75,-1.42,0.3
 PEIXE-ANCHOVA,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68
 PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,0.0,0.0,0.0,0.0,5.77
 PEIXE-CORVINA,0.78,0.0,0.0,2.19,0.0,0.0,0.0,0.0,-4.58,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,-1.68
 PEIXE-CAVALINHA,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27
 PEIXE,0.0,-1.27,-0.84,0.0,0.0,-0.28,0.0,0.0,0.0,-1.85,4.45,0.0,0.0,0.0,0.0,0.0,-0.58
 PEIXE-PESCADINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,3.19
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.97,-0.97
 PEIXE-SARDINHA,0.0,0.0,0.0,0.96,2.39,0.0,0.0,0.0,-5.68,0.0,0.0,0.0,-0.95,0.0,0.0,0.67,0.49
 CAMARÃO,-3.81,0.0,0.0,-0.6,0.0,0.0,0.76,0.0,4.52,0.0,0.0,1.55,3.06,0.0,3.76,-1.91,0.03
 PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.68,-1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.37
 PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.79,0.0,0.0,0.0,8.79
 PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,2.51
 PEIXE-CAÇÃO,0.8,0.0,0.0,0.0,5.18,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,3.26
 PEIXE-MERLUZA,3.76,0.0,0.0,6.1,1.88,0.0,0.0,0.0,4.11,0.0,0.0,0.0,1.68,0.0,0.0,0.0,3.3
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,4.71,5.73,0.0,0.0,0.0,0.0,0.0,0.0,3.69,0.0,4.8
 PEIXE-PESCADA,4.18,0.0,0.0,-1.21,2.23,0.0,-0.79,0.0,-0.12,0.0,0.0,9.24,0.0,0.0,-1.24,-1.42,0.5
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
 PEIXE-CASTANHA,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18
 PEIXE-PIAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78,0.0,0.0,-2.78
 PEIXE-SURUBIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.34,0.0,0.0,-1.34
 SURURU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.34,-5.56,0.0,-4.78
 PEIXE-SALMÃO,0.0,0.0,0.0,0.0,-2.6,0.0,0.0,3.51,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,-1.25
 PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.42,4.12
 PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.52,-6.44,0.0,-5.78
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.43
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,-0.4
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.24
 PEIXE-MANDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.34,0.0,0.0,-1.34
 CARNES E PEIXES INDUSTRIALIZADOS,-1.92,0.09,2.64,-2.33,1.41,1.66,0.28,0.47,2.56,-1.36,-0.22,-0.3,-0.86,3.54,-0.87,-1.52,0.52
 PRESUNTO,-1.58,1.61,-2.65,0.0,-1.04,3.28,2.88,-2.97,-3.45,-1.37,0.64,1.04,-1.65,3.4,0.0,-2.07,-0.89
 SALSICHA,1.04,0.61,1.71,-2.78,-0.38,2.03,3.91,0.0,0.0,-1.72,-0.31,-0.48,0.41,2.14,2.95,-2.13,0.14
 LINGUIÇA,-4.18,-1.84,5.01,-1.39,2.8,0.89,-0.95,1.63,0.95,-2.62,-0.78,-1.35,-1.49,4.79,-2.07,-2.18,0.95
 MORTADELA,-1.96,0.32,3.75,-2.97,2.12,0.0,-1.62,2.43,0.0,1.04,0.0,2.67,1.28,4.32,0.0,-4.58,0.79
 SALAME,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02
 CARNE-SECA E DE SOL,-0.23,0.0,0.0,-2.35,0.0,0.0,0.21,-2.21,4.64,0.0,0.0,0.0,0.0,1.07,-0.91,-0.05,0.94
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,-2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
 HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
 AVES E OVOS,1.96,-0.67,-1.39,-0.16,-0.5,1.27,-0.84,-0.4,-0.62,-0.44,2.28,0.3,-1.16,-0.89,-2.55,-1.68,-0.3
 FRANGO INTEIRO,-0.67,0.24,1.14,-0.69,-0.05,0.7,-0.67,-0.68,-1.04,-0.99,2.71,0.37,-1.46,-2.03,-4.72,-1.14,-0.5
 FRANGO EM PEDAÇOS,2.41,1.09,-0.08,3.88,0.17,0.8,2.89,1.12,0.6,1.25,1.85,3.18,1.19,0.81,1.8,-0.05,1.14
 OVO DE GALINHA,3.76,-5.41,-7.92,-3.23,-2.19,3.05,-3.23,-0.15,-1.18,-3.15,1.05,-3.13,-4.79,0.88,2.03,-5.97,-2.15
 LEITE E DERIVADOS,-3.49,-5.3,-3.8,0.11,-4.02,-2.02,1.27,-0.47,-0.46,-5.55,-1.9,-1.99,-2.36,0.47,0.0,1.16,-3.05
 LEITE LONGA VIDA,-6.05,-8.18,-6.07,-0.27,-6.81,-4.92,0.54,-0.2,-1.21,-8.63,-3.13,-3.31,-4.24,0.11,-1.81,0.1,-5.82
 LEITE CONDENSADO,0.0,3.86,0.0,0.0,0.0,0.0,-1.49,3.03,0.0,0.0,0.0,0.0,2.02,1.72,0.0,0.0,2.03
 LEITE EM PÓ,-1.72,1.21,0.0,1.34,5.38,0.0,2.37,-1.38,0.21,-3.24,0.73,0.88,3.2,2.73,0.18,2.65,0.93
 QUEIJO,-1.47,-2.22,0.6,-0.91,-0.54,1.73,-1.06,-1.18,-0.34,-0.08,0.99,-0.06,1.91,-1.1,3.08,1.28,-0.56
 CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89
 IOGURTE E BEBIDAS LÁCTEAS,1.43,-1.31,0.0,1.72,-0.65,3.25,1.29,0.53,-1.18,1.36,-0.14,-0.49,-5.95,-2.04,2.89,1.74,0.05
 MANTEIGA,0.0,0.0,0.0,-0.59,0.0,0.0,2.69,-1.66,1.6,0.0,0.0,-2.34,0.0,-0.53,0.0,-0.94,0.35
 PANIFICADOS,0.95,-0.06,1.32,0.83,1.34,0.59,-0.36,0.58,0.59,1.38,0.38,1.43,0.56,-0.39,2.51,-0.57,0.91
 BISCOITO,1.1,0.41,0.55,1.8,-1.22,0.54,-0.66,-0.41,1.86,1.38,0.26,0.95,-1.03,1.09,-1.79,-0.13,0.26
 PÃO FRANCÊS,1.08,-0.91,0.93,0.3,2.23,0.29,-0.34,1.25,0.06,-0.05,-0.35,1.23,0.57,-0.98,3.85,-0.88,0.96
 PÃO DOCE,-0.34,1.33,4.57,0.0,2.39,3.28,0.55,0.14,-0.44,3.18,0.0,4.55,1.27,0.0,0.0,2.4,2.06
 PÃO DE FORMA,1.22,0.57,6.37,0.0,2.35,-0.87,0.0,0.0,0.0,3.82,2.72,-0.03,2.27,0.0,0.0,0.0,2.23
 BOLO,-1.2,0.81,1.4,1.76,-1.53,-1.88,0.28,-2.16,0.29,5.4,0.03,3.89,4.29,1.27,2.92,-0.95,0.5
 PÃO DE QUEIJO,0.0,0.0,0.55,0.0,0.0,4.28,0.0,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,1.95
 ÓLEOS E GORDURAS,2.82,0.46,0.01,1.41,0.69,0.82,-0.65,1.92,0.24,1.03,0.76,-0.22,0.33,0.94,1.73,-1.25,0.8
 ÓLEO DE SOJA,3.82,0.35,-1.36,2.09,1.01,1.07,-1.89,3.03,-0.6,1.0,0.85,-0.93,0.46,0.15,1.76,-1.32,0.53
 AZEITE DE OLIVA,1.94,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,1.54
 MARGARINA,2.28,0.68,3.53,0.92,-0.1,0.53,1.41,0.73,1.45,1.09,0.44,0.01,0.01,3.16,1.68,-1.16,1.1
 BEBIDAS E INFUSÕES,-0.08,0.39,1.31,-0.55,1.22,-0.34,-2.58,-0.8,-1.17,-0.5,-0.16,0.81,0.15,0.77,0.25,-0.49,0.22
 SUCO DE FRUTAS,0.63,0.83,0.06,-0.47,-0.72,0.54,-0.79,1.23,-1.03,-0.73,0.67,1.77,1.14,0.34,0.94,0.65,-0.17
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-9.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.54,0.0,0.0,-9.78
 CAFÉ MOÍDO,-2.41,-3.19,1.64,-0.8,1.55,-1.47,-0.58,-0.64,1.57,-1.38,-2.89,0.56,-1.01,-1.95,-0.48,-0.74,-0.02
 CAFÉ SOLÚVEL,0.0,5.06,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,3.38
 CHÁ,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,1.31,0.0,0.0,0.0,0.19
 REFRIGERANTE E ÁGUA MINERAL,1.6,0.51,1.26,-0.7,1.22,-0.8,0.58,-0.71,-2.94,-1.19,0.42,0.17,0.62,0.1,-0.34,-0.18,0.45
 CERVEJA,-1.64,1.06,1.53,-0.67,1.59,0.3,0.52,-2.89,-2.34,0.97,1.36,2.65,-0.14,4.14,1.98,-1.55,0.66
 OUTRAS BEBIDAS ALCOÓLICAS,0.42,0.23,1.21,0.24,2.05,2.41,-0.55,-1.63,1.93,0.7,0.06,-0.21,0.0,0.0,0.0,1.89,0.95
 ENLATADOS E CONSERVAS,1.38,-0.84,0.15,0.56,1.01,0.87,0.73,1.31,-1.76,-0.32,0.96,0.11,-0.02,0.88,0.5,0.08,0.45
 COCO RALADO,0.0,0.0,0.0,0.0,3.14,-0.69,0.0,0.0,0.0,2.0,0.0,0.0,0.19,0.0,0.0,0.0,2.4
 ERVILHA EM CONSERVA,-0.59,0.48,0.0,0.0,0.0,-2.19,0.0,0.0,0.49,0.0,0.0,0.0,3.46,0.0,0.0,1.43,0.15
 PALMITO EM CONSERVA,1.14,0.0,0.12,0.0,-1.34,0.0,0.0,0.0,0.0,2.47,1.74,0.66,0.0,0.0,0.0,0.0,-0.02
