"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 BRÓCOLIS,-2.71,-24.41,1.21,       -,-6.93,-4.17,       -,       -,       -,-11.04,       -,       -,       -,       -,       -,       -,-8.61
 FRUTAS,-9.61,-1.95,-12.28,-6.47,-1.05,-10.4,-3.52,-10.17,-9.93,-8.68,-2.31,-6.46,-8.34,2.52,-5.31,-2.85,-5.55
 BANANA-DA-TERRA,       -,       -,       -,-3.6,       -,       -,       -,       -,-5.61,       -,       -,3.43,       -,-7.6,       -,       -,-3.77
 ABACAXI,-10.11,-6.98,-4.02,-9.67,-2.48,       -,       -,       -,       -,-3.85,0.18,       -,-7.61,       -,       -,-5.55,-5.41
 ABACATE,       -,       -,       -,       -,       -,       -,-11.48,       -,       -,       -,       -,       -,       -,       -,       -,       -,-11.48
 BANANA-D'ÁGUA,-7.18,-0.82,       -,       -,3.03,-15.64,       -,       -,       -,-10.47,       -,       -,-12.37,       -,       -,       -,-0.71
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.86,       -,-0.09,       -,       -,       -,-2.36
 BANANA-PRATA,-9.62,-6.84,-15.5,-8.2,-3.54,-17.18,-5.94,-12.48,-6.89,-3.3,-4.73,-8.18,       -,2.94,-8.28,-4.58,-8.63
 LARANJA-BAÍA,       -,-16.46,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-16.46
 LIMÃO,       -,       -,       -,       -,       -,       -,16.21,       -,       -,       -,       -,       -,       -,       -,-0.85,       -,12.28
 MAÇÃ,-3.6,-0.34,-3.41,-11.28,-1.31,0.29,-3.2,-2.12,-9.32,-0.11,3.43,-0.31,-2.76,-7.27,-3.98,-3.16,-2.61
 MAMÃO,-16.06,-14.51,-13.54,0.14,-9.42,-10.91,-2.04,-6.96,-16.51,-7.55,       -,-18.63,-7.75,       -,-7.05,-5.94,-10.6
 MANGA,-11.8,       -,       -,-1.06,       -,-8.68,       -,       -,       -,       -,       -,-5.31,       -,       -,       -,-5.02,-7.52
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-12.06,-24.29,       -,       -,       -,       -,       -,       -,-14.98,-19.42
 MELANCIA,       -,       -,-17.26,3.05,-2.02,-15.97,-4.31,-7.53,-10.07,-7.83,-13.82,       -,-11.43,25.44,-4.25,11.25,-5.96
 PÊRA,5.16,       -,       -,       -,10.72,-0.2,       -,       -,       -,       -,8.94,10.41,       -,       -,       -,       -,8.01
 TANGERINA,       -,2.24,       -,       -,-6.99,       -,       -,       -,       -,       -,       -,-6.46,       -,       -,       -,       -,1.65
 UVA,-13.48,       -,-3.54,-1.32,5.62,-4.11,-4.21,-13.32,-6.09,2.89,7.74,-10.02,-9.6,2.52,-11.44,0.13,-1.4
 LARANJA-PERA,-13.53,       -,-18.83,-15.14,-4.16,-10.81,0.76,-7.36,-12.4,-20.84,-4,-10.27,-9.09,-6.17,1.96,-4.87,-10.07
 MORANGO,       -,-0.83,-7.17,       -,       -,       -,       -,       -,       -,-18.68,       -,       -,       -,       -,       -,       -,-9.19
 GOIABA,       -,       -,       -,       -,       -,       -,       -,-21.56,       -,       -,       -,       -,       -,       -,       -,       -,-21.55
 CARNES,-4.14,-1.12,-0.24,-1.41,-1.89,-1.5,-0.45,-0.17,-1.39,-0.43,0,0.38,0.42,1.01,0.47,-3.57,-1.27
 FÍGADO,       -,       -,       -,-6.91,       -,       -,4.03,-4.02,2.93,       -,       -,       -,       -,       -,-0.14,-8.19,-0.11
 CARNE DE PORCO,-0.68,-0.16,-0.77,0.52,-1.99,2.2,-2.03,3.1,-4.15,0.97,-0.51,2.7,-0.95,1.84,-0.76,-0.95,-0.79
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-0.63,0.89,       -,       -,       -,       -,       -,       -,       -,0.35
 CONTRAFILÉ,-3.82,0.44,0.11,-2.34,-2.02,-5.18,-0.23,1.93,-0.39,3.01,-0.64,0.45,-3.78,3.33,6.44,-1.85,-0.77
 FILÉ-MIGNON,2.94,       -,       -,2.29,       -,       -,-1.59,       -,-0.48,7.05,2.45,       -,2.1,       -,       -,       -,2.58
 CHÃ DE DENTRO,-5.19,-2.8,-0.19,0.46,-5.16,-0.96,-0.38,0.59,-1.54,-6.08,-0.22,-1,1.89,2.17,-3.21,-4.02,-2.89
 ALCATRA,-4.91,0.15,0.14,0.56,0.03,-2.06,-0.7,-0.51,-3.46,5.5,-0.22,-0.6,1.81,0.68,2.35,-2.95,-0.41
 PATINHO,-3.01,-0.29,-0.27,-1.62,-4.41,-2.39,-1.43,-1.47,0.84,-5.61,-0.15,1.01,-0.4,-2.43,0.07,-3.36,-2.18
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,1.84,       -,-3.47,       -,       -,       -,       -,       -,       -,       -,0.17
 LAGARTO COMUM,       -,       -,       -,       -,-2.11,1.08,       -,0.13,-0.61,       -,-1.35,       -,-3.08,-1.92,       -,-5.4,-1.55
 MÚSCULO,-5.57,1.03,0.15,-6.48,1.79,       -,-0.68,       -,-2.18,5.52,-0.54,-1.4,-1.01,-1.17,-3.54,-4.85,-0.39
 PÁ,       -,-4.42,       -,2.18,-1.72,-2.8,-2.81,       -,0.65,-0.32,       -,       -,1.55,0.81,-3.87,-3.46,-1.71
 ACÉM,-7.52,1.79,-1.05,1.98,0.35,-4.78,-2.44,-0.73,-2.22,2.57,-1.05,0.44,-0.33,1.01,0.17,-5.5,-0.95
 PEITO,       -,       -,       -,       -,       -,       -,-1.79,0.9,-3.88,       -,1.87,       -,0.44,3.4,-3.26,-0.78,-1.65
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.56,1.01,       -,       -,-1.26
 COSTELA,-4.59,-2.03,-0.61,-4.54,-3.42,-0.09,3.07,-1.39,-0.81,-7.4,1.12,2.05,2.33,1.61,-0.27,-2.32,-2.2
 PESCADOS,-4.87,-1.24,-1.65,-1.17,1.23,-0.56,-0.07,-1.53,3.37,-2.53,-0.95,0.22,-3.23,-0.88,1.64,-0.8,-0.49
 PEIXE-ANCHOVA,-15.06,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-15.06
 PEIXE-BADEJO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.96,       -,       -,       -,       -,-0.96
 PEIXE-CORVINA,0.65,       -,       -,-3.89,       -,       -,       -,       -,8.38,       -,       -,       -,       -,       -,       -,0.34,3.34
 PEIXE-CAVALINHA,       -,       -,       -,-2.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.35
 PEIXE,       -,-1.24,-1.65,       -,       -,-0.56,       -,       -,       -,-2.53,-0.95,       -,       -,       -,       -,       -,-1.56
 PEIXE-PESCADINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.58,       -,-1.58
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.67,-0.67
 PEIXE-SARDINHA,       -,       -,       -,-3.78,-2.22,       -,       -,       -,-1.06,       -,       -,       -,-1,       -,       -,2.59,-2.05
 CAMARÃO,-5.39,       -,       -,0.64,       -,       -,-0.61,       -,2.42,       -,       -,-0.19,-3.23,       -,-0.44,-1.25,-1.65
 PEIXE-VERMELHO,       -,       -,       -,       -,       -,       -,       -,       -,3.75,       -,       -,       -,       -,       -,       -,       -,3.75
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-3.27,-2.05,       -,       -,       -,       -,       -,       -,       -,-2.55
 PEIXE-PACU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.92,       -,       -,       -,-6.92
 PEIXE-DOURADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.4,       -,       -,       -,       -,2.4
 PEIXE-CAÇÃO,-4.87,       -,       -,       -,1.75,       -,       -,       -,       -,       -,       -,0.18,       -,       -,       -,       -,-1.03
 PEIXE-MERLUZA,-5.2,       -,       -,2.46,1.23,       -,       -,       -,0.58,       -,       -,       -,4.23,       -,       -,       -,-1.32
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,0.56,0.34,       -,       -,       -,       -,       -,       -,0.79,       -,0.54
 PEIXE-PESCADA,-2.29,       -,       -,1.09,0.74,       -,-5.84,       -,-2.49,       -,       -,0.32,       -,       -,-1.35,-0.8,-2.66
 CARANGUEJO,       -,       -,       -,       -,       -,       -,5.8,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.8
 PEIXE-CASTANHA,       -,       -,       -,-2.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.31
 PEIXE-PIAU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.08,       -,       -,-2.08
 PEIXE-SURUBIM,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.88,       -,       -,-0.88
 SURURU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.8,-0.8
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.88,3.03,       -,2.26
 PEIXE-SALMÃO,       -,       -,       -,       -,8.68,       -,       -,-1.53,       -,       -,       -,       -,-3.23,       -,       -,       -,6.04
 PEIXE-TILÁPIA,       -,       -,       -,       -,       -,       -,       -,-1.52,       -,       -,       -,       -,       -,       -,       -,-0.8,-1.51
 PEIXE-TUCUNARÉ,       -,       -,       -,       -,       -,       -,-0.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.07
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.19,7.96,       -,6.98
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,8.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.03
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.55,       -,       -,       -,       -,0.55
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.09,       -,       -,       -,-6.09
 PEIXE-MANDI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.88,       -,       -,-0.88
 CARNES E PEIXES INDUSTRIALIZADOS,2.52,1.43,1.85,1.27,4.43,4.37,2.99,1.57,1.61,0.74,0.22,-1.04,0.28,3.41,-2.58,-0.27,2.48
 PRESUNTO,3.11,1.89,3.43,       -,4.83,4.16,1.93,3.52,1.89,-2.29,1.85,2.55,1.25,5.85,       -,-0.86,2.95
 SALSICHA,3.46,-0.23,3.77,3.85,3.22,3.5,3.63,       -,       -,0.98,1.7,2.85,0.34,1.46,-1.08,-2.91,2.33
 LINGUIÇA,3.72,1.87,0.88,1.78,6,5.7,7.31,2.6,6,1.69,-1.2,-3.75,0.2,5.86,-3.18,2.6,3.79
 MORTADELA,1.19,1.78,2.32,2.9,-0.01,       -,2.39,0.43,       -,1.65,       -,1.49,-0.87,-1.02,       -,2.37,1.11
 SALAME,       -,4.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.1
 CARNE-SECA E DE SOL,-0.04,       -,       -,0.55,       -,       -,1.35,-0.96,0.32,       -,       -,0.11,       -,1.85,-2.51,-1.76,0.35
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,0.7,       -,       -,       -,       -,       -,-0.36,       -,       -,       -,       -,       -,       -,       -,0.18
 HAMBÚRGUER,       -,       -,       -,       -,       -,1.33,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.33
 AVES E OVOS,-0.46,0.17,0.36,3.25,0.99,-0.46,-0.64,2.09,1.1,1.55,2.12,2.86,2.07,3.43,-0.51,-0.11,0.84
 FRANGO INTEIRO,1.81,0.76,0.86,5.54,0.1,-4,-0.16,3.49,0.69,1.54,3.76,4.09,4.76,4.04,0.5,-0.71,1.51
 FRANGO EM PEDAÇOS,0.81,-0.16,2.25,2.33,3.9,2.21,3.41,0.67,2.29,4.06,2.15,2.63,0.94,2.35,0.09,2.6,2.26
 OVO DE GALINHA,-5.19,0.43,-3.03,-2.54,-2.53,2.19,-4.07,-1.43,0.63,-3.28,-3.1,0.62,0.32,2.65,-4.6,-3.58,-2.47
 LEITE E DERIVADOS,10.9,7.15,6.82,4.67,6.49,5.66,5.66,3.24,5.23,5.87,9.75,4.93,3.98,3.72,7.01,3.18,6.65
 LEITE LONGA VIDA,21.96,12.01,9.71,13.13,11.46,10.2,18.17,4.56,15.03,9.18,13.3,9.38,4.91,6.61,13.3,10.78,11.99
 LEITE CONDENSADO,       -,1.96,       -,       -,       -,       -,8.66,0.91,       -,       -,       -,       -,4.62,4.63,       -,       -,3.81
 LEITE EM PÓ,4.91,0.45,       -,4.83,4.93,       -,2.55,3.47,1.36,1.82,3.05,2.79,4.05,1.92,6.95,2.51,3.49
 QUEIJO,1.34,1.74,1.08,2.1,-1.4,-0.34,2.83,2.67,0.39,-0.07,3.08,-0.8,3.8,4.32,-1.94,-0.7,0.38
 CREME DE LEITE,       -,       -,       -,       -,       -,       -,       -,1.68,       -,       -,       -,       -,       -,       -,       -,       -,1.68
 IOGURTE E BEBIDAS LÁCTEAS,-0.26,-3.24,2.24,-0.18,0.63,-1.23,3.32,1.13,-0.13,-0.61,1.43,0.87,-0.48,-2.53,-4.53,-2.6,0.15
 MANTEIGA,       -,       -,       -,0.83,       -,       -,0.41,-0.47,1.12,       -,       -,-3.06,       -,0.46,       -,-0.28,0.21
 PANIFICADOS,0.43,1.24,1.63,2.98,1.72,0.45,2.3,0.97,0.69,0.91,1.7,1.16,0.72,2.18,0.1,2.99,1.38
 BISCOITO,1.75,-0.98,-0.49,0.51,-0.37,1.61,1.27,0.95,-0.5,-0.86,0.18,0.88,-0.06,-0.49,-1.94,0.06,0.0
 PÃO FRANCÊS,0.34,3.64,2.6,4.22,2.98,-0.38,2.81,1.21,1.4,1.24,2.65,1.4,1.26,3.38,0.59,4.25,2.22
 PÃO DOCE,0.79,1.92,2.88,       -,0.35,5.92,2.25,-0.16,0,2.76,       -,0.57,2.49,       -,       -,1.78,1.23
 PÃO DE FORMA,-1.72,-0.69,0.47,       -,0.13,0.89,       -,       -,       -,2.37,0.95,0.96,-1.13,       -,       -,       -,-0.1
 BOLO,0.45,-1.33,-0.22,3.09,0.89,1.73,0.15,-0.81,-0.78,1.29,-4.38,1.13,-1.03,-1.92,1.5,2.97,0.34
 PÃO DE QUEIJO,       -,       -,2.36,       -,       -,-1.46,       -,       -,       -,       -,5.28,       -,       -,       -,       -,       -,2.33
 ÓLEOS E GORDURAS,0.21,2.67,0.61,0.61,3.08,-0.6,0.05,0.81,2.95,0.27,1.41,1.35,1.55,1.36,-1.66,0.64,1.47
 ÓLEO DE SOJA,-1.96,3.08,-0.09,0.03,3.57,-1.65,0.3,0.24,3.87,-0.72,1.81,2.16,2.31,0.91,-1.59,1.23,1.35
 AZEITE DE OLIVA,2.45,       -,       -,       -,4.05,       -,       -,       -,       -,       -,       -,-1.16,       -,       -,       -,       -,3.25
 MARGARINA,1.29,1.88,2.42,1.03,1.78,0.6,-0.38,1.46,1.68,2.28,-0.07,0.9,-0.3,2.64,-1.81,-0.14,1.37
 BEBIDAS E INFUSÕES,1.76,-0.22,-1.16,0.05,0.82,-0.36,-2.84,0.09,0.34,-0.66,-0.32,0.9,-0.85,-0.24,-1.42,0.78,0.0
 SUCO DE FRUTAS,3.21,0.61,2.17,0.02,2.62,-0.05,-1.72,2.02,-0.57,0.18,-0.92,1.45,-0.66,-0.57,-2.79,0.88,1.36
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-8.04,       -,       -,       -,       -,       -,       -,-0.32,       -,       -,-7.96
 CAFÉ MOÍDO,-0.83,-1,-4.04,0.85,-2.66,-1.8,-1.19,-1.18,-0.52,-1.22,0.31,-1.81,0.25,-1.27,-3.15,0.11,-1.84
 CAFÉ SOLÚVEL,       -,1.56,       -,0.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.49,1.35
 CHÁ,       -,-0.62,       -,       -,       -,       -,       -,       -,       -,0.38,       -,       -,0.78,       -,       -,       -,-0.35
 REFRIGERANTE E ÁGUA MINERAL,2.35,0.09,-0.62,-0.03,1.14,0.46,-0.73,1.25,1.04,-1.61,-0.15,2.57,-1.02,1.44,0.53,1.57,0.47
 CERVEJA,1.34,-0.32,0.03,-1.52,2.7,-0.3,1.45,-3.04,1.08,0.85,-1.21,0.76,-1.9,-2.13,-1.38,-0.17,0.98
 OUTRAS BEBIDAS ALCOÓLICAS,3.56,-1.63,-0.41,1.25,0.44,-0.88,0.03,0.99,-1.23,0.07,-0.47,1.34,       -,       -,       -,0.23,0.69
 ENLATADOS E CONSERVAS,1.51,0.67,-0.18,-0.75,0.43,0.81,0.45,-0.68,-1.4,-0.06,0.08,-0.75,-0.15,0.59,0.69,-0.06,0.25
 COCO RALADO,       -,       -,       -,       -,4.02,5.95,       -,       -,       -,-2.78,       -,       -,-0.66,       -,       -,       -,1.88
 ERVILHA EM CONSERVA,-3.2,-1.98,       -,       -,       -,-6.01,       -,       -,-0.17,       -,       -,       -,1.42,       -,       -,-4.8,-2.29
 PALMITO EM CONSERVA,-0.79,       -,-0.86,       -,1.97,       -,       -,       -,       -,-2.04,4.11,-2.3,       -,       -,       -,       -,0.66
 PEPINO EM CONSERVA,       -,0.34,       -,       -,       -,       -,       -,       -,       -,4.18,       -,       -,-0.15,       -,       -,       -,1.56
 SARDINHA EM CONSERVA,4.66,0.57,0.44,-1.54,-1.92,       -,0.37,-1.84,-0.44,1.2,-1.89,-0.24,0.85,2.9,1.11,1.19,-0.14
 SALSICHA EM CONSERVA,       -,       -,       -,2.13,       -,0.89,1.26,-0.09,       -,       -,       -,       -,       -,-0.63,       -,0.28,1.12
 CARNE EM CONSERVA,       -,       -,       -,-1.74,       -,       -,0.43,1.84,       -,       -,       -,       -,       -,0.51,-0.61,-0.55,-0.44
 PATÊ,4.04,1.77,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.77
 SOPA DESIDRATADA,       -,0.7,0.4,       -,1.74,0.72,       -,       -,       -,       -,0.8,1.21,       -,-0.89,       -,       -,1.05
 AZEITONA,2.37,       -,-1.59,0.93,0.37,4.94,0.16,       -,-1.56,-0.73,-0.54,0,-0.69,       -,       -,       -,0.04
 MILHO-VERDE EM CONSERVA,-5.97,2.48,-0.83,2.63,1.23,-5.11,-0.07,0.59,-3.52,-1.5,-2.17,-2.55,-1.98,-3.28,-1.52,-0.69,-0.75
 ATUM EM CONSERVA,3.43,2.81,3.02,       -,-0.67,2.19,       -,-0.04,-1.44,2.43,       -,       -,       -,       -,       -,       -,1.15
 SAL E CONDIMENTOS,0.77,0,0.79,-0.64,1.8,-0.54,1.7,1.56,1.37,-0.31,2.11,2.66,2.03,1.6,0.93,-0.02,1.03
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,0.79,       -,       -,       -,       -,       -,       -,       -,0.79
 ATOMATADO,0.2,0.25,-0.26,1.44,1.99,-1.52,-1.1,0.39,1.67,0.35,0.73,2.2,3.07,-1.18,-1.05,-0.23,0.93
 ALHO,1.48,       -,0.71,-3.19,2.85,-0.95,4.26,4.05,1.79,-2.03,4.46,5.38,3.18,1.97,4.46,1.24,1.93
 SAL,       -,       -,       -,       -,       -,-3.87,4.73,-0.51,       -,       -,1.66,       -,1.62,2.85,-1.28,       -,1.52
