"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 FLOCOS DE MILHO,       -,       -,       -,0.73,       -,-3.28,       -,       -,       -,       -,       -,       -,       -,0.08
 FARINHA DE TRIGO,-1.94,-0.95,0.05,       -,-2.95,       -,-0.3,       -,       -,-0.02,-2.83,-1.15,-1.36,-1.38
 FARINHA VITAMINADA,       -,       -,       -,-0.16,       -,       -,       -,0.68,       -,       -,       -,       -,       -,0.24
 FARINHA DE MANDIOCA,2.35,       -,       -,-3.41,       -,7.61,-0.02,-3.93,-1.64,       -,       -,-0.59,       -,-1.07
 MASSA SEMIPREPARADA,-2.07,-0.3,-0.17,       -,-0.65,-2.53,       -,       -,       -,-1.4,0.46,1.7,-1.66,-0.73
" TUBÉRCULOS, RAÍZES E LEGUMES",0.52,-2.28,-1.18,-4.99,-0.12,-1.89,-5.31,-6.32,-5.46,-1.36,-9.2,-0.86,-3.78,-2.4
 BATATA-INGLESA,-2.97,-6.92,-3.98,-4.44,5.12,-9.75,-2.38,-7.96,-18.32,-0.13,-5.27,-7.81,-7.11,-3.49
 INHAME,       -,       -,       -,1.93,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.93
 MANDIOCA (AIPIM),       -,-5.04,       -,3.47,       -,       -,       -,       -,       -,       -,       -,0.08,-7.21,-1.16
 ABÓBORA,-2.91,       -,11.2,       -,       -,7.11,       -,       -,       -,       -,1.58,       -,       -,3.48
 PIMENTÃO,       -,       -,       -,       -,       -,       -,       -,       -,20.15,       -,       -,       -,       -,20.15
 QUIABO,       -,       -,-0.62,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.62
 TOMATE,2.93,3.84,-3.89,-13.77,-4.3,-2.18,-9.8,-10.56,-8.03,-6.83,-19.34,2.28,-3.92,-5.31
 CEBOLA,0.68,-3.63,1.85,-1.21,3.83,5.05,-0.31,-2.57,3.13,10.03,4.11,4.18,5.55,2.1
 CENOURA,4.84,       -,6.97,       -,-0.67,2.22,       -,2.7,-2.54,-4.21,5.64,2.8,       -,1.35
 MANDIOQUINHA (BATATA-BAROA),       -,       -,       -,       -,-6.24,       -,       -,       -,       -,       -,       -,       -,       -,-6.24
 AÇÚCARES E DERIVADOS,-1.81,-3.44,-4.06,-2.67,-1.22,-5.13,-0.95,-0.9,-2.62,-4.15,-1.91,-2.09,-4,-2.4
 AÇÚCAR REFINADO,-4.83,-7.91,       -,       -,0.37,       -,-0.66,-3.23,       -,-4.42,       -,       -,       -,-2.63
 AÇÚCAR CRISTAL,4.76,-5.44,-6.81,-2.69,0.92,-6.97,-0.87,2.35,-2.89,-9.17,-2.29,-2.73,-5.71,-2.84
 BALAS,       -,-0.51,       -,       -,       -,       -,       -,       -,       -,-2.41,       -,       -,       -,-1.52
 CHOCOLATE EM BARRA E BOMBOM,-3.82,-4.49,-1.99,-7.59,-6.73,-8.87,-4.42,       -,-8.69,-4.75,-2.7,-1.82,-4.1,-5.28
 SORVETE,-2.02,-1.17,-1.49,-2.76,-1.02,-2.37,       -,-4.42,-0.44,-2.49,-1.93,-1.29,-2.82,-1.58
 CHOCOLATE E ACHOCOLATADO EM PÓ,-0.09,-0.56,-0.21,0.19,0.79,0.23,0.24,-0.84,1.19,0.71,-0.45,-0.48,-0.97,0.26
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,0.25,       -,-3.55,       -,       -,       -,       -,       -,       -,       -,-1.57
 HORTALIÇAS E VERDURAS,3.68,7.29,3.2,4.97,-3.19,3.73,-1.07,3.14,2.06,2.36,-1.85,-0.47,-5.07,0.8
 ALFACE,6.32,4.88,1.73,0.75,-6.38,1.87,-0.72,0.07,2.35,-1.42,0.21,-1.71,-6.82,-1.59
 COENTRO,       -,       -,       -,8.94,       -,       -,       -,       -,5.13,       -,       -,       -,       -,7.17
 COUVE,4.21,       -,0.26,       -,6.65,4,       -,       -,       -,-3.48,-0.16,1.08,       -,3.45
 COUVE-FLOR,3.57,11.6,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.04,       -,6.94
 REPOLHO,2.56,4.3,14.01,-0.43,-2.96,2.64,-3.27,       -,-0.03,11.1,-7.3,9.76,-5.31,1.64
 CHEIRO-VERDE,4.68,       -,       -,       -,-3.52,9.61,-0.62,3.64,-0.07,       -,       -,-5.65,0.71,0.41
 AGRIÃO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.34,-3.34
 BRÓCOLIS,-2.43,20.24,4.26,       -,8.81,-2.06,       -,       -,       -,13.56,       -,       -,       -,7.47
 FRUTAS,4.14,11.08,8.34,-1.57,5.96,5.14,-0.73,3.94,0.38,9.34,0.31,4.83,7.24,5.32
 BANANA-DA-TERRA,       -,       -,       -,-12.41,       -,       -,       -,       -,-10.42,       -,       -,4.25,       -,-10.25
 ABACAXI,9.72,1.1,3.22,11.26,-2.75,       -,       -,       -,       -,6.01,8.21,       -,16.35,3.75
 ABACATE,       -,       -,       -,       -,       -,       -,-5.99,       -,       -,       -,       -,       -,       -,-5.99
 BANANA-D'ÁGUA,7.33,7.24,       -,       -,6.1,15.25,       -,       -,       -,16.92,       -,       -,15.78,8.15
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-10.15,       -,-8.38,-9.75
 BANANA-PRATA,2.62,3.06,5.37,-9.06,1.88,4.79,-1.9,5.27,3.84,6.24,-1.28,3.58,       -,1.95
 LARANJA-BAÍA,       -,14.26,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,14.26
 LIMÃO,       -,       -,       -,       -,       -,       -,-11.93,       -,       -,       -,       -,       -,       -,-11.93
 MAÇÃ,0.25,14.63,-8.93,-1.01,-1.71,-7.26,0.32,-3.82,-6.47,5.83,-2.45,-0.91,7.43,-0.51
 MAMÃO,16,24.83,49.88,5.82,28.88,22.75,-2.76,6.47,1.33,16.55,       -,42.72,9.96,21.54
 MANGA,5.26,       -,       -,-2.65,       -,6.79,       -,       -,       -,       -,       -,13.75,       -,3.05
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-4.1,6.51,       -,       -,       -,       -,2.86
 MELANCIA,       -,       -,5.37,3.67,10.51,1.35,1.61,2.1,-5.05,10.53,-5.56,       -,3.96,3.69
 PÊRA,-2.91,       -,       -,       -,-12.12,-1.53,       -,       -,       -,       -,-2.08,-9.27,       -,-8.1
 TANGERINA,       -,11.08,       -,       -,5.96,       -,       -,       -,       -,       -,       -,4.83,       -,10.74
 UVA,3.86,       -,2.85,0.32,8.94,-2.77,6.87,5.22,9.79,15.62,2.58,-4.63,-0.3,6.8
 LARANJA-PERA,4.27,       -,14.11,2.18,5.01,10.28,2.52,9.21,0.97,4.04,14,4.95,6.66,5.81
 MORANGO,       -,-6.02,5.21,       -,       -,       -,       -,       -,       -,-7.03,       -,       -,       -,-1.76
 GOIABA,       -,       -,       -,       -,       -,       -,       -,-1.13,       -,       -,       -,       -,       -,-1.13
 CARNES,-2.92,-0.54,-0.31,0,-1.11,-0.1,-0.22,-0.9,-1.98,-2.28,-1.73,-0.74,-2.06,-1.18
 FÍGADO,       -,       -,       -,0.1,       -,       -,1.51,-1.08,-1.89,       -,       -,       -,       -,-0.09
 CARNE DE PORCO,-0.1,-2.2,0.49,-0.09,-1.57,2.2,-0.82,-3.74,0.01,-0.06,-0.24,-4.69,-2.15,-0.9
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,0.91,2.43,       -,       -,       -,       -,1.91
 CONTRAFILÉ,-5.23,-3,-0.85,1.61,-2.64,2.87,-0.9,-1.71,-3.9,-8.36,-3.14,-4.39,-1.95,-3.03
 FILÉ-MIGNON,-1.36,       -,       -,6.09,       -,       -,-0.86,       -,-5.38,-4.95,-0.43,       -,-2.81,-1.74
 CHÃ DE DENTRO,-0.53,3.18,0.56,-2.71,-1.1,0.75,1.79,-0.56,-3.03,-0.96,-3.81,-0.6,-2.97,-0.75
 ALCATRA,-7.06,4.9,-0.9,-3.3,-4.38,-0.26,-0.17,-2.76,-1.87,-4.84,-1.75,-0.83,-1.69,-2.3
 PATINHO,-3.13,-1.88,-0.84,2.3,-0.3,-1.37,1.07,-0.44,-4.34,0.08,-1.67,-0.35,-1.85,-1.05
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,0.48,       -,-3.65,       -,       -,       -,       -,-0.9
 LAGARTO COMUM,       -,       -,       -,       -,-1.26,-3.8,       -,0.17,-3.22,       -,-0.16,       -,-0.08,-1.54
 MÚSCULO,1.62,2.8,-2.58,3.59,2.3,       -,-0.09,       -,3.01,-0.52,-1.37,2.35,-0.12,0.94
 PÁ,       -,-2.15,       -,-3.69,3.19,-3.47,-1.94,       -,-1.33,2.99,       -,       -,-3.72,-0.49
 ACÉM,1.84,2.78,2.73,-1.45,-0.42,2.69,-0.05,-0.65,-4.24,2.31,-1.37,1.29,2.69,0.07
 PEITO,       -,       -,       -,       -,       -,       -,-0.31,1.3,2.49,       -,1.42,       -,0.91,1.1
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.44,-3.44
 COSTELA,-1.45,-2.33,0.5,1.63,-0.57,0.56,-1.26,0.04,-0.74,-0.63,-1.74,0.64,-3.26,-0.98
 PESCADOS,3.87,-1.65,1.1,2.45,2.56,-2.89,0.99,-0.39,0.52,-1.26,-1.13,3.95,1.37,1.34
 PEIXE-ANCHOVA,-2.28,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.28
 PEIXE-BADEJO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.84,       -,0.84
 PEIXE-CORVINA,8.24,       -,       -,4.11,       -,       -,       -,       -,4.38,       -,       -,       -,       -,5.28
 PEIXE-CAVALINHA,       -,       -,       -,3.56,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.56
 PEIXE,       -,-1.65,1.1,       -,       -,-2.89,       -,       -,       -,-1.26,-1.13,       -,       -,-0.85
 PEIXE-SARDINHA,       -,       -,       -,0.84,3.93,       -,       -,       -,-6.09,       -,       -,       -,-2.33,1.09
 CAMARÃO,2.74,       -,       -,-1.53,       -,       -,0.69,       -,-5.12,       -,       -,3.85,0.13,-0.46
 PEIXE-VERMELHO,       -,       -,       -,       -,       -,       -,       -,       -,-1.45,       -,       -,       -,       -,-1.45
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-0.25,7.01,       -,       -,       -,       -,4.03
 PEIXE-PACU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.58,4.58
 PEIXE-DOURADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.57,       -,3.57
 PEIXE-CAÇÃO,-2.6,       -,       -,       -,5.93,       -,       -,       -,       -,       -,       -,2.17,       -,2.14
 PEIXE-MERLUZA,11.22,       -,       -,0.66,2.56,       -,       -,       -,14.06,       -,       -,       -,2.99,6.74
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,-1.21,-0.43,       -,       -,       -,       -,       -,-0.92
 PEIXE-PESCADA,-0.66,       -,       -,7.23,1.7,       -,0.19,       -,0.99,       -,       -,8.35,       -,1.09
 CARANGUEJO,       -,       -,       -,       -,       -,       -,-2.64,       -,       -,       -,       -,       -,       -,-2.64
 PEIXE-CASTANHA,       -,       -,       -,-0.43,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.43
 PEIXE-SALMÃO,       -,       -,       -,       -,-0.14,       -,       -,-0.39,       -,       -,       -,       -,1.37,-0.02
 PEIXE-TILÁPIA,       -,       -,       -,       -,       -,       -,       -,-0.4,       -,       -,       -,       -,       -,-0.4
 PEIXE-TUCUNARÉ,       -,       -,       -,       -,       -,       -,0.99,       -,       -,       -,       -,       -,       -,0.99
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,4.03,       -,       -,       -,       -,       -,       -,4.03
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.9,       -,1.9
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.34,2.34
 CARNES E PEIXES INDUSTRIALIZADOS,0.48,-0.89,-2.51,-1.43,-0.45,-2.19,-0.24,1.9,-2.09,-2.52,1.27,-1.77,-1.02,-0.92
 PRESUNTO,-0.9,-5.38,-5.37,       -,-0.54,-1.62,-1.27,-1.69,-3.9,-2.63,0.34,-0.85,-0.38,-2.09
 SALSICHA,0.26,0.01,0.62,-1.06,1.85,-0.89,2.74,       -,       -,-1.9,4.23,-7.08,-3,0.71
 LINGUIÇA,3.68,0.04,-1.98,0.17,-1.28,-3.07,-3.63,2.87,-4.49,-0.79,1.27,-0.33,-1.17,-0.84
 MORTADELA,-2.02,0.67,-1.97,-3.33,-0.53,       -,2.06,0.06,       -,-5.78,       -,-4.12,0.62,-1.43
 SALAME,       -,-1.57,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.57
 CARNE-SECA E DE SOL,-1.58,       -,       -,-1.49,       -,       -,0.29,2.74,-1.68,       -,       -,-2.68,       -,-1.12
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-2.3,       -,       -,       -,       -,       -,2.51,       -,       -,       -,       -,0.28
 HAMBÚRGUER,       -,       -,       -,       -,       -,-1.35,       -,       -,       -,       -,       -,       -,       -,-1.35
 AVES E OVOS,0.38,-0.8,0.91,-2.5,0.5,0.54,-2.31,-3.51,-2.82,1.7,-0.37,-0.31,-1.61,-0.82
 FRANGO INTEIRO,-0.7,-2.91,1.64,-4.28,-1.12,-1.3,-3.75,-5.14,-4.44,-0.69,-2.07,-4.13,-2.69,-2.85
 FRANGO EM PEDAÇOS,-0.72,-1.25,0.24,-1.3,-2.03,-0.96,-0.08,-2.36,-2.56,0.21,-1.45,-0.24,-2.49,-1.24
 OVO DE GALINHA,3.93,2.31,0.57,1.51,6.74,6.22,1.28,1.07,3.89,7.27,5.87,6.92,1.46,3.83
 LEITE E DERIVADOS,0.57,3.93,1.87,-0.72,2.27,3.03,-1.59,-1.73,-1.72,1.22,2.05,1.37,-1.27,1.09
 LEITE LONGA VIDA,0.23,7.38,2.75,0.41,5.44,6.32,-2.9,-1.68,0.4,3.35,4.15,2.42,-2.39,3.42
 LEITE CONDENSADO,       -,-1.79,       -,       -,       -,       -,-2.56,-7.43,       -,       -,       -,       -,-3.48,-3.55
 LEITE EM PÓ,3.05,0.65,       -,0.24,-2.34,       -,-0.49,-2.51,-2.48,-5.1,-3.01,-1.32,-2.24,-0.97
 QUEIJO,0.97,0.22,0.48,-2.39,-0.46,-0.85,-2.32,-1.34,-4.91,-1.98,-1.74,-0.14,1.84,-0.74
 CREME DE LEITE,       -,       -,       -,       -,       -,       -,       -,0.08,       -,       -,       -,       -,       -,0.08
 IOGURTE E BEBIDAS LÁCTEAS,-2.85,0.02,1.19,2.36,-1.55,-0.06,-1.84,1.71,0.02,0.5,0.94,0.36,-1.35,-0.44
 MANTEIGA,       -,       -,       -,-3.51,       -,       -,-3.38,-1.67,-1.53,       -,       -,3.79,       -,-1.8
 PANIFICADOS,-1,-0.23,-0.36,-0.15,0.92,0.38,0.27,-0.04,-0.15,-1.09,0.85,-0.74,-1.34,0.0
 BISCOITO,-1.46,-0.37,-0.53,0.74,0.47,1.28,-0.07,-1.34,1.46,-0.76,-0.57,-2.17,-2.44,-0.12
 PÃO FRANCÊS,-0.57,-0.28,0.3,-0.68,1.31,0.18,0.42,0.22,-0.73,-1.78,1.85,-0.45,-0.67,0.16
 PÃO DOCE,-2.72,-1.32,-5.56,       -,2.63,0.53,0.08,-0.57,-2.54,-0.04,       -,-0.62,-1.06,-0.29
 PÃO DE FORMA,-1.84,-2.29,-2.29,       -,-0.25,-2.9,       -,       -,       -,2.24,-0.73,1.83,0.77,-0.89
 BOLO,-0.95,4.55,-0.01,0.86,-1.54,-0.11,-0.15,2.96,-0.14,-1.41,0.48,-1.22,-5.24,-0.1
 PÃO DE QUEIJO,       -,       -,0.71,       -,       -,2.86,       -,       -,       -,       -,0.57,       -,       -,1.03
 ÓLEOS E GORDURAS,-1.67,-3.72,-0.27,-1.09,-2.52,1.63,0.51,-1.51,-2.54,-3.17,-1.21,-1.11,-2.18,-1.81
 ÓLEO DE SOJA,-2.32,-5.06,-0.2,-3.58,-2.79,0.18,0.46,-1.81,-4.17,-4.38,-1.37,-2.12,-1.82,-2.44
 AZEITE DE OLIVA,-2.03,       -,       -,       -,-2.58,       -,       -,       -,       -,       -,       -,-1.04,       -,-2.33
 MARGARINA,-0.84,-1.14,-0.45,0.84,-2.02,3.39,0.58,-1.19,-0.25,-0.67,-0.61,1.29,-3.08,-0.68
 BEBIDAS E INFUSÕES,-0.96,0.09,0.59,-0.14,0.21,0.81,0.05,-2.02,0.7,0.75,0.81,0.09,0.15,0.12
 SUCO DE FRUTAS,0.8,-1.11,0.22,0.26,-0.87,1.35,0.59,0.83,-0.24,2.13,-1.18,-1.27,1.3,-0.09
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,2.69,       -,       -,       -,       -,       -,       -,2.69
 CAFÉ MOÍDO,-2.59,-1.16,-2.43,-2.57,0.16,0.5,-1.72,-3.77,-1.94,-1.68,1.7,0.45,-1.51,-1.25
 CAFÉ SOLÚVEL,       -,2.98,       -,-0.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.89
 CHÁ,       -,-1.07,       -,       -,       -,       -,       -,       -,       -,-0.65,       -,       -,-1,-0.98
 REFRIGERANTE E ÁGUA MINERAL,-1.43,0.99,1.98,-0.05,0.11,1.08,-1.13,-1.8,2.28,3.32,0.67,-0.12,0.72,0.53
 CERVEJA,0.17,-0.19,1.87,1.7,0.62,0.39,-0.44,-0.45,1.71,-0.97,0.78,-0.28,0.68,0.5
 OUTRAS BEBIDAS ALCOÓLICAS,0,-0.81,0.77,1.06,1.3,0.97,-0.3,-0.03,0.72,0.21,0.68,1.63,       -,0.49
 ENLATADOS E CONSERVAS,-0.7,-0.28,-0.87,0.96,0.78,0.02,-0.53,-0.7,0.1,-0.45,0.66,-0.35,-0.86,0.02
 COCO RALADO,       -,       -,       -,       -,2.64,-0.62,       -,       -,       -,0.49,       -,       -,-1.24,1.6
 ERVILHA EM CONSERVA,0.75,1.7,       -,       -,       -,-1.21,       -,       -,-0.22,       -,       -,       -,1.31,0.95
 PALMITO EM CONSERVA,0.21,       -,2.96,       -,1.98,       -,       -,       -,       -,-1.53,0.95,-1.2,       -,1.15
 PEPINO EM CONSERVA,       -,-1.63,       -,       -,       -,       -,       -,       -,       -,-3.61,       -,       -,-2.62,-2.32
 SARDINHA EM CONSERVA,-2.89,-1.6,-3.02,1.11,0.5,       -,-0.86,-2.42,0.95,0.21,1.69,-0.02,0.66,-0.43
 SALSICHA EM CONSERVA,       -,       -,       -,1.49,       -,-1.98,-0.74,1.61,       -,       -,       -,       -,       -,0.09
 CARNE EM CONSERVA,       -,       -,       -,1.86,       -,       -,-1.16,1.11,       -,       -,       -,       -,       -,0.57
 PATÊ,3.34,-0.39,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.21
 SOPA DESIDRATADA,       -,0.46,-0.34,       -,0.09,-0.12,       -,       -,       -,       -,-0.33,-0.11,       -,-0.01
 AZEITONA,-0.65,       -,-1.18,-0.64,1.2,1.84,0.42,       -,-2.08,-0.03,1.02,-1.39,-3.66,0.13
 MILHO-VERDE EM CONSERVA,-1.01,1.04,-0.96,-2.74,-0.87,0.51,1.22,2.43,-0.07,0.05,-1.88,0.96,0.09,-0.32
 ATUM EM CONSERVA,-1.19,-0.76,-1.09,       -,-0.29,0.71,       -,0.04,1.86,-0.29,       -,       -,       -,-0.38
 SAL E CONDIMENTOS,1.27,-0.43,0,-0.54,0.77,-0.01,-0.28,0.38,-2.32,-0.18,0.39,1.25,0.39,0.11
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-4.11,       -,       -,       -,       -,-4.11
 ATOMATADO,1.15,-0.8,-0.71,2.46,-1.38,-0.91,-1.41,-0.57,-0.92,0.15,0.73,0.7,0.42,-0.51
 ALHO,1.74,       -,1.08,-6.37,5.73,0.7,-0.64,1.1,-7.49,-2.79,0.78,3.58,1.43,1.34
 SAL,       -,       -,       -,       -,       -,1.7,-0.35,0.62,       -,       -,1.14,       -,2.98,0.76
 FERMENTO,       -,-1.44,       -,       -,       -,       -,       -,       -,       -,-1.49,       -,1.11,       -,-1.29
 MAIONESE,1.29,1.09,-1.54,-0.07,-0.16,-2.65,-0.42,-2.95,       -,0.21,1.25,-1.7,-3.98,-0.14
 VINAGRE,       -,       -,       -,-0.79,       -,       -,-2.65,       -,       -,       -,       -,       -,       -,-1.7
 CALDO CONCENTRADO,-0.84,-0.73,0.04,0.73,-2.4,0.31,       -,2.19,-0.11,       -,       -,-0.35,       -,-0.8
 TEMPERO MISTO,       -,-0.53,1.31,-0.78,1.61,0.63,2.05,1.23,0.55,1.88,-1.54,0.22,0.4,1.03
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.2,-0.31,0.17,0.7,0.86,0.48,0.26,0.72,0.26,1.08,0.41,0.7,0.58,0.52
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.2,-0.31,0.17,0.7,0.86,0.48,0.26,0.72,0.26,1.08,0.41,0.7,0.58,0.52
 REFEIÇÃO,0.28,-0.87,0.2,0.92,1,0.7,0.36,0.9,0.53,1.68,0.5,0.49,0.1,0.62
 LANCHE,0.43,0.11,0.46,0.62,0.1,-0.15,0.13,0.75,-0.04,0.75,0.61,1.4,2.27,0.34
 CAFÉ DA MANHÃ,-2.39,2.43,-1.11,3.33,1.79,-0.31,3.25,       -,1.64,       -,       -,2.08,       -,1.14
 REFRIGERANTE E ÁGUA MINERAL,-0.55,0.81,-0.36,-0.7,-1.33,0.11,0.8,0.34,2.06,-1.21,-0.35,0.24,1.67,-0.35
 CAFEZINHO,-1.72,-1.17,       -,       -,3.13,       -,       -,       -,       -,       -,2.06,       -,       -,1.26
 CERVEJA,0.04,1.78,-0.36,-0.86,2.52,0.78,-0.12,0.11,-0.28,0.94,-0.32,0.81,-0.47,0.8
 OUTRAS BEBIDAS ALCOÓLICAS,0.72,       -,-0.35,1.88,       -,0.63,-2.81,-0.09,4.03,       -,       -,-1.02,       -,0.6
 DOCES,-0.09,0.74,0.06,2.99,0.53,3.81,1.37,0.18,-2.55,-2.37,-0.33,-0.81,-2.92,-0.1
 HABITAÇÃO,1.42,-0.37,0.58,0.11,0.1,0.21,-0.05,0.45,0.2,-0.55,-0.37,-1.37,-1.4,0.19
 ENCARGOS E MANUTENÇÃO,0.04,-0.05,0.02,-0.2,0.2,-0.06,0.39,0.11,0.08,-0.05,-0.23,0.04,-0.01,0.06
 ALUGUEL E TAXAS,0.17,-0.14,0,-0.15,0.42,0.04,0.55,0,-0.08,-0.27,-0.4,-0.01,0.12,0.12
 ALUGUEL RESIDENCIAL,0.17,-0.32,-0.03,-0.3,0.25,0,0.66,0.01,-0.21,-0.55,-0.78,-0.21,0.17,0.02
 CONDOMÍNIO,0.25,0,0.13,0,1.16,0.19,0.11,0,0,0.07,0.23,0.35,1.09,0.47
 TAXA DE ÁGUA E ESGOTO,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.01
 MUDANÇA,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.36,-2.9,       -,-2.92,-1.0
 REPAROS,0.1,0.28,0.49,0.49,0.22,0.12,0.21,0.37,0.63,0.26,0.27,0.32,-0.29,0.3
 FERRAGENS,       -,       -,1.36,       -,1.17,       -,       -,-0.29,       -,-1.91,-0.14,1.03,       -,0.6
 MATERIAL DE ELETRICIDADE,       -,0.94,       -,       -,       -,       -,-3.22,       -,       -,-0.74,       -,       -,       -,-0.88
 MATERIAL DE PINTURA,       -,       -,2.42,       -,       -,       -,       -,       -,1.73,       -,       -,0.56,-0.41,1.98
 VIDRO,-2.82,       -,1.62,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.98
 TINTA,0.99,0.29,0.28,0.79,0.27,0.11,1.99,-0.6,1.53,0.59,0.4,0.84,-1.72,0.47
 REVESTIMENTO DE PISO E PAREDE,0,3.04,0.37,-1.29,3.87,-0.78,0.53,1.14,2.77,2.29,3.05,1.17,-1.68,2.18
 CIMENTO,0.22,0.71,3.3,2.77,-1.92,2.44,2.88,4.2,1.11,0.52,0.19,0.32,1.2,0.53
 TIJOLO,       -,-1.64,-1.15,1.22,-0.91,-1.12,0.7,-0.6,-2.27,0.02,-0.82,0.63,       -,-0.65
 MATERIAL HIDRÁULICO,       -,       -,-0.14,       -,-1.87,       -,-3.41,       -,2.25,-0.41,       -,0.5,       -,-0.94
 MÃO DE OBRA,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
 AREIA,-0.79,       -,0.46,       -,       -,       -,       -,-1.32,1.23,-0.03,-0.14,-2.69,       -,-0.17
 TELHA,1.09,       -,1.67,       -,       -,       -,-1.01,2,-0.23,1.15,1.46,1.43,       -,1.08
 ARTIGOS DE LIMPEZA,-2.23,-0.5,-1.58,-1.87,-1.91,-1.88,0.15,0.36,-0.33,0.56,0.04,-0.74,-0.47,-1.09
