"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 BRÓCOLIS,-11.07,9.27,-4.66,       -,-7.66,-4.16,       -,       -,       -,11.74,       -,       -,       -,       -,       -,       -,-3.88
 FRUTAS,2.79,-3.13,5.76,-1.27,1.45,5.33,1.89,6.67,2.79,-1.17,1.15,5.29,7.26,-4.06,6.27,1.35,1.61
 BANANA-DA-TERRA,       -,       -,       -,6.44,       -,       -,       -,       -,-1.71,       -,       -,9.82,       -,0.09,       -,       -,3.16
 ABACAXI,3.21,0.92,-1,-4.74,0.2,       -,       -,       -,       -,0.25,4.11,       -,8.5,       -,       -,4.63,0.28
 ABACATE,       -,       -,       -,       -,       -,       -,16.13,       -,       -,       -,       -,       -,       -,       -,       -,       -,16.13
 BANANA-D'ÁGUA,2.07,-7.63,       -,       -,-0.85,17.29,       -,       -,       -,-6.4,       -,       -,3.13,       -,       -,       -,-2.27
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.59,       -,-7.02,       -,       -,       -,2.26
 BANANA-PRATA,-8.05,1.62,2.38,-3.81,-0.18,2.41,1.41,8.55,-2.07,2.41,4.49,3.41,       -,-9.37,7.84,-8.34,0.29
 LARANJA-BAÍA,       -,-11.37,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-11.37
 LIMÃO,       -,       -,       -,       -,       -,       -,22.72,       -,       -,       -,       -,       -,       -,       -,21.48,       -,22.43
 MAÇÃ,9.91,-3.88,16.32,5.4,10.04,7.19,7.19,9.73,4.57,3.93,1.44,0.39,11.77,12.6,4.86,4.77,7.33
 MAMÃO,7.79,0.16,2.91,1.99,1.73,10.17,-16.66,7.5,2.35,-8.36,       -,5.59,-0.51,       -,6.95,3.27,1.36
 MANGA,6.17,       -,       -,-2.8,       -,7.83,       -,       -,       -,       -,       -,-0.3,       -,       -,       -,5.16,3.26
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-2.51,16.27,       -,       -,       -,       -,       -,       -,10.18,8.9
 MELANCIA,       -,       -,-7.1,13.79,-1.88,-6.94,8.58,12.72,12.97,11.91,-8.25,       -,7.58,-16.8,11.26,-1.51,3.56
 PÊRA,1.5,       -,       -,       -,1.59,6.91,       -,       -,       -,       -,1.86,11.11,       -,       -,       -,       -,2.35
 TANGERINA,       -,-3.13,       -,       -,1.45,       -,       -,       -,       -,       -,       -,5.29,       -,       -,       -,       -,-2.76
 UVA,4.82,       -,6.33,-4.51,-1.57,-3.63,-4.22,2.28,4.37,-12.69,-8.45,3.1,0.37,-4.06,-0.63,9.99,-0.43
 LARANJA-PERA,7.39,       -,13.68,-11.96,1.67,10.08,2.01,-2.32,0.66,1.48,4.09,10.68,17.25,-0.18,-0.54,4.13,3.35
 MORANGO,       -,15.51,-10.28,       -,       -,       -,       -,       -,       -,4.87,       -,       -,       -,       -,       -,       -,0.95
 GOIABA,       -,       -,       -,       -,       -,       -,       -,11.55,       -,       -,       -,       -,       -,       -,       -,       -,11.55
 CARNES,9.65,1.99,4.12,3.99,6.75,4.5,2.05,4.07,4.21,3.77,2.19,3.81,1.95,1.1,1.34,3.97,4.6
 FÍGADO,       -,       -,       -,5.91,       -,       -,-3.47,4.83,5.97,       -,       -,       -,       -,       -,3.38,2.39,2.29
 CARNE DE PORCO,5.41,-1.5,4.22,3.01,8.04,0.37,-3.95,0.58,4.63,-0.01,4.82,4.53,4.18,0.46,5.68,2.06,4.15
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,1.22,-0.94,       -,       -,       -,       -,       -,       -,       -,-0.19
 CONTRAFILÉ,8.05,1.51,5.83,0.26,6.19,4.13,6.07,2.72,3.12,0.94,2.27,2.81,-1.36,2.09,-5.68,1.44,4.31
 FILÉ-MIGNON,2.83,       -,       -,2.38,       -,       -,0.8,       -,2.2,-1.9,-2.69,       -,2.12,       -,       -,       -,0.68
 CHÃ DE DENTRO,10.07,3.68,5.17,3.6,4.98,5.83,3.44,1.22,4.89,8.19,2.46,8.25,2.05,-0.08,5.9,2.84,4.74
 ALCATRA,10.18,1.17,3.55,1.72,4.94,5.2,1.56,4.4,2.6,0.32,1.09,3.19,-0.56,1.14,1.23,1.75,3.43
 PATINHO,9.98,3.7,1.26,5.64,7.82,8.06,3.46,6.87,4.18,11.4,2.82,3.9,5.53,1.57,1.49,4.21,6.2
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,2.33,       -,8.68,       -,       -,       -,       -,       -,       -,       -,4.25
 LAGARTO COMUM,       -,       -,       -,       -,7.43,6.61,       -,1.01,4.68,       -,2.66,       -,5.17,0.57,       -,2.85,5.9
 MÚSCULO,9.2,-1.4,3.59,6.34,3.95,       -,-0.03,       -,7,0.19,2.92,2.67,1.19,2.73,-0.01,4.96,3.61
 PÁ,       -,5.13,       -,2.36,6.22,7.14,3.9,       -,5.55,9,       -,       -,2.56,0.19,2.06,5.5,5.27
 ACÉM,14.69,2.8,5.85,4.69,8.87,2.9,1.48,7.88,2.49,4.44,4.53,3.3,-0.35,1.1,4.45,9.42,6.88
 PEITO,       -,       -,       -,       -,       -,       -,4.28,6.62,3.99,       -,2.43,       -,1.6,-1.85,5.48,-1.56,3.87
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.44,1.1,       -,       -,7.51
 COSTELA,12.26,2.25,2.84,6.88,7.91,1.63,-0.67,2.65,5.9,6.52,1.84,3.38,1.49,0.94,1.4,4.72,4.59
 PESCADOS,5.12,-1.61,3.5,2.56,3.71,1.65,-4.18,1.83,-3.58,2.86,0.13,-3.7,-4.62,5.43,-3.48,1.29,0.06
 PEIXE-ANCHOVA,4.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.02
 PEIXE-BADEJO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.48,       -,       -,       -,       -,-1.48
 PEIXE-CORVINA,5.72,       -,       -,4.95,       -,       -,       -,       -,-1.42,       -,       -,       -,       -,       -,       -,2.38,1.93
 PEIXE-CAVALINHA,       -,       -,       -,7.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.09
 PEIXE,       -,-1.61,3.5,       -,       -,1.65,       -,       -,       -,2.86,0.13,       -,       -,       -,       -,       -,1.55
 PEIXE-PESCADINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.9,       -,-3.9
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.7,0.7
 PEIXE-SARDINHA,       -,       -,       -,1.07,6.47,       -,       -,       -,0.79,       -,       -,       -,-1.47,       -,       -,-2.1,4.35
 CAMARÃO,6.51,       -,       -,-0.37,       -,       -,1.35,       -,-10.76,       -,       -,-10.91,-4.62,       -,-14.1,1.48,-1.85
 PEIXE-VERMELHO,       -,       -,       -,       -,       -,       -,       -,       -,-0.16,       -,       -,       -,       -,       -,       -,       -,-0.16
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-2.94,0.37,       -,       -,       -,       -,       -,       -,       -,-1.01
 PEIXE-PACU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.65,       -,       -,       -,-7.65
 PEIXE-DOURADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1,       -,       -,       -,       -,-1.0
 PEIXE-CAÇÃO,-2.7,       -,       -,       -,2.75,       -,       -,       -,       -,       -,       -,0.84,       -,       -,       -,       -,0.35
 PEIXE-MERLUZA,6.63,       -,       -,3.07,3.71,       -,       -,       -,-1.26,       -,       -,       -,-0.3,       -,       -,       -,4.29
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,1.82,2.03,       -,       -,       -,       -,       -,       -,-3.79,       -,0.69
 PEIXE-PESCADA,3.31,       -,       -,0.74,2.96,       -,-6.26,       -,1.29,       -,       -,-2.84,       -,       -,-4.3,1.29,-2.32
 CARANGUEJO,       -,       -,       -,       -,       -,       -,-2.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.78
 PEIXE-CASTANHA,       -,       -,       -,-1.29,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.29
 PEIXE-PIAU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.67,       -,       -,6.67
 PEIXE-SURUBIM,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.43,       -,       -,5.43
 SURURU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.29,1.29
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.43,10.81,       -,9.7
 PEIXE-SALMÃO,       -,       -,       -,       -,1.9,       -,       -,1.83,       -,       -,       -,       -,-4.62,       -,       -,       -,1.16
 PEIXE-TILÁPIA,       -,       -,       -,       -,       -,       -,       -,2.51,       -,       -,       -,       -,       -,       -,       -,1.29,2.48
 PEIXE-TUCUNARÉ,       -,       -,       -,       -,       -,       -,-4.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.18
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.73,1.03,       -,1.46
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-4.82,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.82
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.62,       -,       -,       -,       -,5.62
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.3,       -,       -,       -,-6.3
 PEIXE-MANDI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.43,       -,       -,5.43
 CARNES E PEIXES INDUSTRIALIZADOS,-0.09,-0.98,3.51,1.99,1.76,-0.6,-0.43,1.65,0.96,2.51,0.06,1.63,-0.4,2.39,0.85,2.2,1.21
 PRESUNTO,2.95,0.91,3.31,       -,0.56,0.3,1.03,2.98,0.89,3.75,0.99,1.05,2.42,1.12,       -,2.62,1.67
 SALSICHA,-2.69,-0.4,3.69,3.9,3.27,-0.36,0.43,       -,       -,3.72,6.15,3.35,-2.57,2.84,1.97,1.05,1.75
 LINGUIÇA,-1.6,-1.62,3.45,0.62,1.89,-2.53,-0.32,0.08,1.81,1.55,-1.85,1.02,-0.82,2.59,1.75,3.03,1.05
 MORTADELA,1.89,-1.53,4.32,-2.1,0.59,       -,4.83,4.1,       -,2.51,       -,3.7,-0.73,3.79,       -,1.23,1.27
 SALAME,       -,-2.91,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.91
 CARNE-SECA E DE SOL,0.16,       -,       -,2.71,       -,       -,-2.02,2.93,0.72,       -,       -,2.07,       -,1.1,-0.9,2.21,0.78
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,3.12,       -,       -,       -,       -,       -,0.66,       -,       -,       -,       -,       -,       -,       -,1.9
 HAMBÚRGUER,       -,       -,       -,       -,       -,3.94,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.94
 AVES E OVOS,5.82,4.41,1.87,5.63,6.89,2.1,1.07,4.75,14.77,8.86,8.94,6.75,1.97,3.54,6.36,5.92,5.87
 FRANGO INTEIRO,7.07,4.04,2.99,8.83,8.64,7.79,1.02,7,18.19,19.68,11.26,12.69,2.81,3.74,9,10.26,8.02
 FRANGO EM PEDAÇOS,5.27,4.42,-0.15,3.03,4.17,-0.78,-0.15,1.83,12.41,6.9,3.72,1.12,-0.22,2.18,-0.36,2.47,4.16
 OVO DE GALINHA,5.84,4.69,2.7,-0.28,9.41,-3.2,1.86,-0.22,5.72,0.67,5.57,1.83,4.63,4.04,2.34,3.66,4.43
 LEITE E DERIVADOS,5.97,7.86,14.51,3.18,9.9,8.33,3.49,1.92,1.18,13.67,7.7,10.6,6.21,4.58,6.3,4.49,8.18
 LEITE LONGA VIDA,10.77,12.53,23.5,12.17,17.64,15.17,4.67,4.61,3.61,21.75,11.15,20.77,10.83,7.16,11.86,9.77,15.63
 LEITE CONDENSADO,       -,0,       -,       -,       -,       -,8.86,1.7,       -,       -,       -,       -,3.81,3.06,       -,       -,2.95
 LEITE EM PÓ,2.72,0.21,       -,2.8,-0.46,       -,5.02,0.11,1.3,-1.83,-0.05,1.06,3.2,2.12,4.36,1.55,2.06
 QUEIJO,2.27,1.92,1.34,0.1,1.44,0.03,0.71,-1.01,-2.21,1.97,3.4,0.59,-0.87,1.38,-0.13,5.48,1.25
 CREME DE LEITE,       -,       -,       -,       -,       -,       -,       -,1.18,       -,       -,       -,       -,       -,       -,       -,       -,1.18
 IOGURTE E BEBIDAS LÁCTEAS,2.27,4.06,-0.35,-0.03,-0.12,-0.16,-1.08,1.27,0.79,2.49,-1.78,0.97,2.17,2.47,5.77,2.84,0.82
 MANTEIGA,       -,       -,       -,4.13,       -,       -,-1.92,0.68,1.12,       -,       -,0.33,       -,4.31,       -,-1,0.94
 PANIFICADOS,2.47,2.08,0.85,1.98,1.71,1.96,1.64,2.8,1.39,2.27,0.64,1.73,0.49,1.05,1.08,2.22,1.76
 BISCOITO,3.5,1.47,0.65,3.77,1.82,-0.93,1.69,0.5,3.55,-0.33,0.14,0.92,-0.24,-0.69,2.04,0.47,1.71
 PÃO FRANCÊS,2.12,2.3,0.88,1,1.82,3.64,1.63,3.83,0.49,3.16,0.59,2.82,0.68,1.56,0.98,3.14,1.8
 PÃO DOCE,1.5,2.05,1.41,       -,0.63,-1.63,1.7,1.31,-0.5,-0.67,       -,1.82,0.15,       -,       -,-1.27,0.79
 PÃO DE FORMA,2.87,4.55,1.66,       -,2.24,-0.21,       -,       -,       -,3.3,2.5,-0.17,2.82,       -,       -,       -,2.62
 BOLO,2.97,-0.2,0.16,3.29,1.03,0.06,1.44,2.28,1.67,4.96,2.6,-0.66,-0.41,1.99,-0.38,2.5,1.57
 PÃO DE QUEIJO,       -,       -,0.77,       -,       -,2.9,       -,       -,       -,       -,-0.22,       -,       -,       -,       -,       -,0.91
 ÓLEOS E GORDURAS,1.61,-0.34,3.27,1.8,-0.73,0.55,2.64,1.82,0.04,2.36,-0.03,3.89,2.28,2.58,3.14,3.69,1.08
 ÓLEO DE SOJA,5.07,-0.12,3.23,2.96,-1.13,0.33,4.09,2.97,0.21,3.23,-0.07,4.2,2.69,3.22,2.79,3.86,1.58
 AZEITE DE OLIVA,-0.51,       -,       -,       -,0.63,       -,       -,       -,       -,       -,       -,2.75,       -,       -,       -,       -,0.31
 MARGARINA,-0.69,-0.76,3.39,0.96,-0.63,0.8,0.24,0.57,-0.21,0.65,0.14,3.82,1.27,0.77,3.82,3.47,0.38
 BEBIDAS E INFUSÕES,-0.54,-0.19,0.61,1.1,0.12,0.03,-1,0.1,-0.39,1.04,0.44,-0.92,-0.33,0.3,1.22,-0.4,0.08
 SUCO DE FRUTAS,-1.74,-0.15,0.7,1.78,0.12,1.9,-1.47,-0.85,0.33,1.36,-0.38,-1.24,0.04,1.32,1.2,0.56,0.09
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-1.44,       -,       -,       -,       -,       -,       -,-1.82,       -,       -,-1.45
 CAFÉ MOÍDO,1.84,-0.9,4.06,-0.85,0.86,1.23,-1.65,0.88,-1.15,1.33,0.05,0.28,-1.55,1.37,0.88,1.33,0.9
 CAFÉ SOLÚVEL,       -,-1.27,       -,0.42,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.38,-0.74
 CHÁ,       -,2.4,       -,       -,       -,       -,       -,       -,       -,1.67,       -,       -,-0.37,       -,       -,       -,2.13
 REFRIGERANTE E ÁGUA MINERAL,-0.97,-0.3,-1.29,1.06,-0.2,-1.31,0,-0.59,-1,1.75,0.66,-0.94,0.33,-0.04,1.64,-0.56,-0.21
 CERVEJA,-0.5,-1.06,0.33,3.75,-0.16,-0.51,-1.54,1.55,1.34,-0.84,0.53,-2.92,-0.34,0.21,1.06,-1.11,-0.17
 OUTRAS BEBIDAS ALCOÓLICAS,-1.98,-0.52,0.56,0.62,0.74,2.34,-0.05,0.24,-0.6,1.19,1.11,-0.2,       -,       -,       -,0.14,-0.08
 ENLATADOS E CONSERVAS,-0.16,0.73,0.81,-1.14,0.78,-1.11,-0.22,0.6,-0.05,0.86,0.1,0.03,0.07,-0.17,-0.4,0.43,0.38
 COCO RALADO,       -,       -,       -,       -,-4.22,-3.3,       -,       -,       -,3.38,       -,       -,-0.32,       -,       -,       -,-1.8
 ERVILHA EM CONSERVA,-0.26,2.33,       -,       -,       -,1.07,       -,       -,-2.01,       -,       -,       -,-2.45,       -,       -,-1.58,0.72
 PALMITO EM CONSERVA,-0.67,       -,-1.84,       -,2.14,       -,       -,       -,       -,-0.97,-2.23,1.82,       -,       -,       -,       -,0.53
 PEPINO EM CONSERVA,       -,0.67,       -,       -,       -,       -,       -,       -,       -,2.66,       -,       -,0.07,       -,       -,       -,1.28
 SARDINHA EM CONSERVA,-1.14,-0.03,2.7,-0.55,2.29,       -,0.33,0.52,-0.05,0.72,0.82,1.36,1.27,-0.13,-0.41,1.36,0.83
 SALSICHA EM CONSERVA,       -,       -,       -,0.98,       -,-0.8,0.11,-0.82,       -,       -,       -,       -,       -,-0.66,       -,-1.07,-0.03
 CARNE EM CONSERVA,       -,       -,       -,-3.48,       -,       -,-0.67,1.34,       -,       -,       -,       -,       -,1.25,-1,-1.26,-1.67
 PATÊ,1.11,1.61,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.39
 SOPA DESIDRATADA,       -,0.81,0.46,       -,0.16,-1.11,       -,       -,       -,       -,1.12,-1.55,       -,-1.56,       -,       -,0.2
 AZEITONA,-1.72,       -,-0.03,2.44,-0.5,-2.32,-1.66,       -,0.27,2.94,1.04,-1.53,1.21,       -,       -,       -,-0.01
 MILHO-VERDE EM CONSERVA,1.62,-2.09,2.33,-1.15,-1.3,-2.13,0.01,-1.36,2.5,-4.16,-1.27,-1.38,-2.88,1.23,0.58,2.67,-0.64
 ATUM EM CONSERVA,1.04,1.72,0.83,       -,3.81,0.33,       -,3.16,-2.01,1.73,       -,       -,       -,       -,       -,       -,2.15
 SAL E CONDIMENTOS,3.63,0,1.11,1.74,0.62,1.7,1.42,0.71,2.72,1.11,0.87,5.21,1.87,1.41,2.69,1.62,1.36
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,1.91,       -,       -,       -,       -,       -,       -,       -,1.91
 ATOMATADO,1.01,-0.02,0.44,-0.43,-0.53,0.98,2.12,1.16,0.34,0.71,-0.83,-1.39,-1.46,1.16,2.71,0.96,0.1
 ALHO,7.36,       -,2.14,2.06,1.85,5.69,2.15,0.37,7.05,2.58,3.68,14.44,12.93,2.81,6.35,4.31,3.89
 SAL,       -,       -,       -,       -,       -,0.41,-1.01,2.36,       -,       -,1.55,       -,-1.4,1.66,0.12,       -,0.33
 FERMENTO,       -,0.42,       -,       -,       -,       -,       -,       -,       -,-0.8,       -,1.36,       -,       -,       -,       -,-0.04
 MAIONESE,1.98,-0.42,-2.06,1.7,0.71,0.05,2.43,-0.33,       -,0.55,-1,0.46,0.79,-0.42,       -,       -,0.33
 VINAGRE,       -,       -,       -,0.7,       -,       -,5.42,       -,       -,       -,       -,       -,       -,       -,1.33,-1.7,2.67
 CALDO CONCENTRADO,0.43,-0.18,3,2.18,0.29,-1.16,       -,-0.07,0.7,       -,       -,0.63,       -,       -,       -,4.51,0.84
 TEMPERO MISTO,       -,0.4,2.46,5.75,2.03,0.59,-0.84,1.14,5.77,1.89,0.86,0.43,-1.39,-0.09,1.48,0.59,1.82
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.51,0.36,0,0.45,-0.15,0.66,-0.97,0.47,0.37,1.05,0.23,0.19,-0.35,-0.58,-0.02,-0.56,0.17
