" VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2024",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MAMÃO,1.82,-3.27,-0.96,-3.24,6.42,-9.56,0.0,-8.92,-8.55,3.27,-3.62,2.86,5.14,9.7,0.0,-1.64,1.25
 MANGA,12.48,14.37,20.53,0.0,20.97,16.52,0.0,-2.95,-1.17,21.65,0.0,2.64,0.0,0.0,0.0,7.05,16.91
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.54,2.53,0.0,0.0,0.0,0.0,0.0,0.0,-5.59,-7.23
 MELANCIA,0.0,0.0,-20.17,-3.47,0.0,-18.15,-3.37,0.0,-2.61,-16.39,-10.69,0.0,-12.4,0.0,8.55,0.0,-10.47
 MELÃO,-2.98,0.0,0.0,-3.65,0.0,-4.88,3.42,0.0,0.0,-0.52,0.0,0.0,0.0,0.0,-6.64,0.0,-2.87
 PERA,0.0,0.0,0.0,0.0,-1.17,0.0,0.0,0.0,0.0,0.0,0.08,3.76,0.0,0.0,0.0,0.0,-0.9
 TANGERINA,0.0,0.0,0.0,0.0,5.06,0.0,0.0,0.0,0.0,5.84,0.0,0.0,0.0,0.0,0.0,0.0,5.28
 UVA,0.35,3.49,3.17,2.2,-1.38,2.38,4.82,3.85,0.21,-0.57,-1.8,2.29,-0.88,0.96,4.82,-0.37,0.74
 LARANJA-PERA,4.27,0.0,5.4,8.23,7.76,4.38,3.54,17.35,3.24,8.76,5.89,6.13,6.35,12.33,9.19,4.36,6.66
 MORANGO,0.0,-2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.09
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,7.03,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,5.34
 CARNES,0.89,-1.61,-1.15,-0.65,0.73,-1.01,-1.06,-1.03,-0.67,-2.34,-1.68,-1.91,-0.58,-0.03,-0.75,0.54,-0.58
 FÍGADO,0.0,0.0,0.0,-4.07,0.0,0.0,-0.33,-3.76,-7.25,0.0,0.0,0.0,0.0,0.0,-2.45,0.0,-4.12
 CARNE DE PORCO,-0.83,0.07,-2.17,0.55,0.14,-1.56,-2.1,-4.75,-1.49,-4.3,-0.75,-0.16,-1.82,0.84,-3.43,-2.22,-1.49
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47
 CUPIM,0.0,0.0,0.0,-2.46,0.0,0.0,0.0,0.0,0.0,0.0,-1.74,0.0,0.0,0.0,0.0,0.0,-2.09
 CONTRAFILÉ,-0.7,-0.6,-0.52,1.17,-0.11,-1.94,-3.4,-0.75,-2.13,0.33,-2.14,-3.5,-2.09,0.87,1.29,-0.23,-0.84
 FILÉ-MIGNON,-1.81,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.0,0.0,-0.41
 CHÃ DE DENTRO,2.64,-0.77,-1.78,-3.13,0.54,-1.42,-0.37,3.8,-1.4,-4.2,-0.52,0.75,2.25,-0.54,-6.35,-0.13,-0.68
 ALCATRA,2.33,-2.61,-1.05,2.07,1.46,-0.72,-1.32,0.94,-0.34,0.91,-1.06,-0.94,-2.58,2.36,-2.48,1.14,0.24
 PATINHO,-0.92,0.0,-0.05,-2.19,1.85,0.0,-1.22,0.86,0.0,0.3,-1.51,1.09,-2.12,2.29,-0.25,-0.03,0.62
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15
 LAGARTO COMUM,0.0,0.41,0.0,0.0,0.82,0.0,0.0,0.0,-0.44,0.0,-2.09,0.0,2.42,0.78,0.0,0.0,0.34
 MÚSCULO,-0.66,-1.12,-2.49,-1.03,-0.86,0.0,-1.19,0.0,-3.22,-4.53,-0.11,0.0,-0.68,0.88,-6.63,0.12,-1.72
 PÁ,0.0,1.3,-0.3,0.73,3.27,0.0,0.94,0.0,0.0,0.0,0.0,-3.35,4.24,-0.81,-0.85,-0.58,1.59
 ACÉM,2.26,0.73,-1.48,1.38,0.66,2.68,-0.87,1.63,-2.39,-6.9,-1.15,-3.39,-2.25,-1.98,0.01,2.42,-0.31
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-0.61,0.0,0.0,0.0,0.0,0.0,-1.08,-1.27,1.9,0.89,-0.21
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,-0.81,-2.94,0.0,-3.14,0.85,0.47,0.0,0.0,-0.7
 COSTELA,1.64,-4.82,0.01,0.41,0.95,0.44,-0.86,-7.68,3.67,-3.33,-3.01,-5.94,-2.06,-3.06,3.29,0.78,-1.11
 PICANHA,0.0,-0.64,2.81,0.0,0.0,-2.99,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
 PESCADOS,0.77,-3.06,2.25,-0.2,0.74,1.37,-5.01,0.79,0.92,1.87,-0.66,4.21,-1.96,3.39,-0.83,0.29,-0.59
 PEIXE-ANCHOVA,0.0,0.0,0.0,-9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1
 PEIXE-CORVINA,-1.05,0.0,0.0,3.08,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,1.76,1.45,0.57
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0.0,3.72
 PEIXE-SARDINHA,0.0,1.63,0.0,2.1,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
 CAMARÃO,2.53,-4.79,0.0,-4.58,0.0,-3.22,-0.73,0.19,-2.82,-1.49,-2.3,1.75,0.0,0.0,0.41,-1.21,-1.03
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
 PEIXE-MERLUZA,0.0,0.0,2.25,0.83,-1.32,0.0,0.0,0.0,1.28,0.0,-0.81,0.0,0.0,0.0,0.0,0.0,-0.39
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.02
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,0.05,0.0,-2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.14,-2.09,-1.85
 CARANGUEJO,0.77,0.0,0.0,0.0,0.0,0.0,-3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.77
 PEIXE-CASTANHA,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.06
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,5.26
 PEIXE-SALMÃO,3.1,0.0,0.0,0.0,0.87,1.92,0.0,-0.75,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42
 PEIXE-TILÁPIA,0.0,-4.5,2.25,0.99,2.61,3.66,0.0,2.66,1.68,2.28,1.72,0.94,-2.28,0.0,0.0,4.48,1.84
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,-1.54,-0.6,0.0,0.0,0.0,-1.81,0.0,-0.79,2.87,-1.43,0.0,-0.64
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.7
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,1.0,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.79
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,0.0,0.0,0.0,0.0,7.93
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.49,0.0,0.0,0.0,-2.49
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,-0.71
 CARNES E PEIXES INDUSTRIALIZADOS,0.75,0.94,-1.93,-0.06,1.91,0.59,0.49,-0.74,0.8,0.55,0.35,-0.48,2.99,-0.82,-3.48,0.34,0.72
 PRESUNTO,3.99,3.11,-0.58,0.0,-0.05,-1.95,0.0,2.43,-4.6,3.96,-0.01,0.36,3.06,1.58,0.0,1.89,1.09
 SALSICHA,0.0,1.98,0.0,-1.14,1.78,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.91,0.0,0.0,1.3
 LINGUIÇA,-0.46,-0.04,-2.86,0.43,2.64,2.64,1.45,-0.97,3.51,0.39,0.55,-0.56,3.3,-1.69,-4.56,0.97,0.98
 MORTADELA,1.15,0.0,0.7,-2.58,1.16,0.0,0.0,-2.06,0.0,-3.34,-0.29,0.0,1.58,0.0,0.0,0.0,0.04
 SALAME,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37
 BACALHAU,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.15,0.0,0.64
 CARNE-SECA E DE SOL,-2.0,0.0,0.0,0.36,0.0,-1.55,-0.07,-1.72,0.07,0.0,0.0,-1.91,0.0,0.0,-0.29,-0.28,-0.24
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.98,0.0,0.0,0.0,0.0,-0.34
 AVES E OVOS,2.92,1.2,2.11,0.04,0.36,0.15,-0.4,4.05,1.05,0.22,-0.02,0.69,2.94,1.95,4.23,1.88,1.22
 FRANGO INTEIRO,1.15,-1.48,2.43,0.02,1.01,-2.64,-2.65,4.97,3.67,-0.42,0.07,1.35,3.73,3.42,4.67,2.47,1.27
 FRANGO EM PEDAÇOS,3.16,0.68,0.21,1.82,-0.14,-0.13,1.98,0.29,0.48,-0.29,-0.58,-1.16,2.36,2.19,2.92,1.64,0.67
 OVO DE GALINHA,3.02,4.48,5.75,-2.41,1.27,4.36,5.07,5.47,-2.87,2.66,1.53,4.07,3.59,-1.83,3.21,1.27,2.43
 LEITES E DERIVADOS,0.17,1.82,2.16,-1.17,1.82,1.85,0.82,-0.55,1.14,1.98,-0.79,0.85,-0.9,0.31,0.34,-0.12,1.21
 LEITE LONGA VIDA,0.57,5.35,4.16,-3.42,5.1,2.65,1.9,-2.04,1.87,4.76,-0.55,2.49,-0.79,-0.31,0.35,-1.57,3.49
 LEITE CONDENSADO,-1.95,0.65,0.0,0.0,0.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.23
 LEITE EM PÓ,-0.56,0.0,-1.09,0.29,-1.47,0.0,0.15,-0.83,2.83,2.36,-0.49,-0.65,-0.63,0.23,0.07,1.56,0.22
 QUEIJO,-0.45,-0.51,0.28,-1.19,-1.12,2.19,0.35,1.65,-1.09,-0.5,-1.33,-1.11,-1.39,0.1,2.71,-0.79,-0.62
 IOGURTE E BEBIDAS LÁCTEAS,0.92,-4.5,1.4,-4.63,0.95,-0.26,0.67,1.5,0.11,0.31,-1.54,-0.98,-0.54,1.08,-0.11,1.19,-0.19
 REQUEIJÃO,0.3,0.0,0.46,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32
 MANTEIGA,3.34,0.0,2.08,1.5,0.0,0.07,1.26,1.53,1.72,0.0,0.24,2.43,0.0,1.87,0.0,-1.08,1.63
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,1.83
 PANIFICADOS,-0.39,0.66,0.18,0.54,0.79,0.2,-0.57,0.39,0.8,-1.32,0.19,0.18,1.05,1.36,-0.54,-0.46,0.27
 BISCOITO,-1.32,-0.26,0.23,2.76,0.13,1.58,-3.05,-0.55,0.61,-1.8,0.38,-2.0,0.55,0.12,-0.87,-0.7,-0.18
 PÃO FRANCÊS,0.34,0.61,0.92,-0.51,1.35,-0.34,0.72,0.7,0.86,-2.51,-0.11,1.61,1.45,1.93,-0.78,-0.65,0.56
 PÃO DOCE,-0.48,3.74,-5.31,0.0,1.11,0.0,0.0,0.0,0.69,-0.04,0.0,0.61,2.02,0.0,0.0,0.0,0.25
 PÃO DE FORMA,-1.44,0.71,-2.54,0.0,0.52,-3.24,0.0,0.0,0.0,-0.31,0.0,-1.93,0.0,0.0,0.0,0.0,-0.3
 BOLO,0.2,1.44,0.29,-0.7,0.07,0.21,-1.73,0.97,1.42,1.49,-0.26,2.28,-1.04,0.0,1.61,2.98,0.39
 PÃO DE QUEIJO,0.0,0.0,0.37,0.0,0.0,2.26,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.92
 ÓLEOS E GORDURAS,-1.89,2.39,-2.51,2.47,0.47,0.65,-1.09,-1.62,1.12,1.28,-2.7,-1.05,-0.37,-0.4,-3.24,-2.28,-0.18
 ÓLEO DE SOJA,-6.13,3.85,-2.79,4.39,-0.5,-1.15,-4.2,-1.96,0.31,2.1,-2.88,-3.85,-2.98,-1.08,-3.66,-1.56,-1.06
 AZEITE DE OLIVA,1.04,0.0,0.0,0.0,2.23,2.79,4.29,0.0,1.92,1.95,0.0,3.71,4.02,2.24,0.0,0.0,2.23
 MARGARINA,-0.27,-0.13,-1.57,0.35,0.26,0.0,-1.68,-1.2,2.02,-1.13,-1.99,0.0,1.02,0.0,-2.2,-3.18,-0.33
 BEBIDAS E INFUSÕES,0.18,1.37,0.98,0.76,-0.64,-0.11,5.91,0.89,0.14,0.13,-0.52,0.37,0.51,-0.32,0.95,0.23,0.61
 SUCO DE FRUTAS,1.09,2.84,0.73,3.2,0.06,0.21,0.0,-2.23,0.0,-2.03,1.72,-0.92,0.54,0.0,0.0,0.0,0.46
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,-0.56,0.76,1.29,0.0,0.0,0.0,0.0,-0.87,0.73,0.0,0.65
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,13.23,0.0,0.0,0.0,0.0,0.0,0.0,-4.94,14.43,0.0,13.04
 CAFÉ MOÍDO,-1.32,3.53,2.06,0.26,-1.82,-0.1,0.73,1.64,1.73,3.6,0.08,0.77,1.62,1.19,-2.16,0.17,0.21
 CAFÉ SOLÚVEL,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
 REFRIGERANTE E ÁGUA MINERAL,0.22,0.49,0.2,0.78,-0.17,-0.17,-0.83,0.95,-0.66,-1.25,-0.98,0.77,-0.18,-0.25,-0.56,0.69,-0.08
 CERVEJA,0.58,1.19,0.98,0.46,-0.52,-0.24,0.66,0.15,-1.71,-0.61,-0.95,0.0,0.74,0.0,-0.1,-0.33,-0.02
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,1.06
 VINHO,1.27,2.52,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.97
 SUCO EM PÓ,0.0,2.67,-0.05,0.0,-0.88,0.0,0.0,0.0,0.0,0.89,0.0,0.0,-1.36,1.33,0.0,0.0,0.05
 CHÁ MATE (ERVA MATE),0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,0.0,0.0,-0.66,0.0,0.0,0.0,0.57
 ENLATADOS E CONSERVAS,-1.25,0.33,0.31,-1.41,0.64,-0.26,-0.24,-0.66,-1.22,-0.66,-0.81,-2.39,0.44,0.09,-0.64,-0.34,-0.15
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26
 PALMITO EM CONSERVA,0.0,0.0,1.29,0.0,1.35,-0.67,0.0,0.0,0.0,0.43,-2.85,0.0,0.0,0.0,0.0,0.0,0.82
 PEPINO EM CONSERVA,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66
 SARDINHA EM CONSERVA,-2.52,-0.61,0.08,-2.61,0.81,-0.09,-2.48,-1.28,-2.51,-3.45,0.0,0.15,-1.07,-0.26,-0.63,-0.11,-1.03
 SALSICHA EM CONSERVA,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
