Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
72, FILÉ-MIGNON,3.06,0.0,0.0,13.04,0.0,0.0,1.06,0.0,0.85,2.35,2.06,0.0,2.33,3.26
73, CHÃ DE DENTRO,1.96,-1.19,0.3,4.3,2.93,-3.43,-1.11,3.13,0.63,1.32,2.93,5.07,8.02,1.8
74, ALCATRA,7.21,1.64,-1.37,1.19,3.11,-1.14,5.31,0.95,-0.99,-0.5,1.8,1.9,8.21,2.02
75, PATINHO,2.69,0.09,-1.74,1.2,0.33,-0.67,2.77,0.09,0.61,-3.0,2.44,1.56,2.46,0.33
76, LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,1.32,0.0,0.0,0.0,0.0,1.11
77, LAGARTO COMUM,0.0,0.0,0.0,0.0,2.3,0.72,0.0,-0.39,0.39,0.0,2.23,0.0,5.36,1.86
78, MÚSCULO,2.95,-2.33,-0.54,-1.07,-0.07,0.0,0.64,0.0,0.22,1.03,2.55,2.2,1.27,0.15
79, PÁ,0.0,-0.22,0.0,5.89,0.81,0.32,3.58,0.0,0.1,3.25,0.0,0.0,-0.81,1.61
80, ACÉM,2.18,3.98,3.6,-0.84,0.31,-0.74,2.86,1.12,6.91,1.34,3.75,-0.5,2.32,1.78
81, PEITO,0.0,0.0,0.0,0.0,0.0,0.0,2.55,1.65,-3.35,0.0,2.89,0.0,3.11,0.4
82, CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,3.86
83, COSTELA,-0.2,-1.97,-1.53,5.65,-0.28,-0.2,7.34,-0.54,2.54,-5.12,2.88,0.51,4.83,0.05
84, PESCADOS,3.14,1.91,1.0,1.15,-0.19,1.23,1.42,-1.63,-0.47,3.11,1.53,-0.75,-2.31,0.88
85, PEIXE-ANCHOVA,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47
86, PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,1.13
87, PEIXE-CORVINA,-2.51,0.0,0.0,4.62,0.0,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,1.77
88, PEIXE-CAVALINHA,0.0,0.0,0.0,-1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.29
89, PEIXE,0.0,1.91,1.0,0.0,0.0,1.23,0.0,0.0,0.0,3.11,1.53,0.0,0.0,1.81
90, PEIXE-SARDINHA,0.0,0.0,0.0,-5.2,-0.91,0.0,0.0,0.0,-6.85,0.0,0.0,0.0,-3.76,-3.02
91, CAMARÃO,3.29,0.0,0.0,-1.36,0.0,0.0,-0.76,0.0,1.48,0.0,0.0,1.07,0.74,1.43
92, PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,1.85
93, PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-7.43,0.0,0.0,0.0,0.0,-5.39
94, PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.16,-6.16
95, PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,4.99
96, PEIXE-CAÇÃO,-6.32,0.0,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,-1.29
97, PEIXE-MERLUZA,4.69,0.0,0.0,2.94,-0.19,0.0,0.0,0.0,-8.44,0.0,0.0,0.0,0.81,0.66
98, PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.05,0.0,0.0,0.0,0.0,0.0,-1.66
99, PEIXE-PESCADA,12.68,0.0,0.0,2.52,-2.22,0.0,2.49,0.0,0.32,0.0,0.0,-8.54,0.0,1.63
100, CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,7.59
101, PEIXE-CASTANHA,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89
102, PEIXE-SALMÃO,0.0,0.0,0.0,0.0,5.55,0.0,0.0,-1.63,0.0,0.0,0.0,0.0,-2.31,3.57
103, PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,-1.14
104, PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,1.42
105, PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,0.0,0.0,0.0,-0.79
106, PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.43,0.0,-2.43
107, PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.86,-4.86
108, CARNES E PEIXES INDUSTRIALIZADOS,-1.4,-0.22,-0.06,-0.56,0.21,-1.92,1.27,-1.13,0.41,-1.09,-0.85,-0.62,-1.21,-0.2
109, PRESUNTO,0.34,0.1,1.6,0.0,1.19,-2.08,4.46,-1.5,0.69,-2.38,-2.98,-1.7,-2.76,0.33
110, SALSICHA,2.67,-0.7,2.6,2.35,0.17,-0.21,-0.55,0.0,0.0,2.05,-1.84,-0.75,2.07,0.55
111, LINGUIÇA,-2.51,2.66,-1.22,-3.0,0.55,-3.16,1.68,-0.71,-3.54,-0.73,0.87,0.4,-1.94,-0.41
112, MORTADELA,-2.55,-3.67,-2.56,0.5,-2.25,0.0,0.08,-2.77,0.0,-2.17,0.0,-3.4,0.04,-2.16
113, SALAME,0.0,-1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.33
114, CARNE-SECA E DE SOL,-3.52,0.0,0.0,-0.66,0.0,0.0,1.24,-0.65,1.86,0.0,0.0,-1.38,0.0,0.4
115, CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,1.54
116, HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59
117, AVES E OVOS,0.84,-0.34,-1.04,-2.87,-2.52,-2.08,0.24,0.45,-0.93,0.21,-0.39,-0.07,-0.47,-0.93
118, FRANGO INTEIRO,1.58,5.22,0.33,-4.6,1.45,-3.97,0.56,0.38,-2.44,-0.31,0.24,2.38,1.5,-0.27
119, FRANGO EM PEDAÇOS,-0.11,-0.68,-0.69,2.12,-3.34,-1.21,-2.18,-0.73,-0.14,4.43,-2.89,-2.11,-0.92,-0.92
120, OVO DE GALINHA,2.3,-3.59,-3.67,-2.72,-5.3,0.01,0.47,1.17,3.91,-6.26,-0.46,-2.2,-2.14,-2.14
121, LEITE E DERIVADOS,-0.67,-3.09,-1.62,-0.51,-1.93,-0.51,-0.46,-1.05,-1.14,-5.34,-1.35,-2.73,-2.39,-1.8
122, LEITE LONGA VIDA,-1.21,-3.5,-2.07,-3.31,-3.32,-1.85,-1.84,-1.38,-1.44,-7.1,-1.59,-5.18,-2.48,-3.0
123, LEITE CONDENSADO,0.0,-0.22,0.0,0.0,0.0,0.0,-0.71,0.31,0.0,0.0,0.0,0.0,-2.62,-0.42
124, LEITE EM PÓ,-1.88,0.06,0.0,-0.61,2.01,0.0,0.3,-2.63,0.07,-0.79,-0.57,-1.68,-1.82,-0.41
125, QUEIJO,0.34,-3.27,-1.57,1.04,-1.06,1.57,-0.09,0.44,-1.26,-3.3,-1.36,1.05,-1.22,-0.93
126, CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.47,0.0,0.0,0.0,0.0,0.0,-2.47
127, IOGURTE E BEBIDAS LÁCTEAS,-0.08,-3.35,0.52,-1.07,0.4,0.45,-1.95,2.45,-3.89,-3.21,-0.24,0.16,-4.69,-0.83
128, MANTEIGA,0.0,0.0,0.0,0.26,0.0,0.0,-0.67,-0.57,0.56,0.0,0.0,-3.42,0.0,-0.26
129, PANIFICADOS,-1.04,-1.29,0.4,-1.17,1.14,1.34,-1.13,0.55,-1.3,0.17,1.33,-0.69,-0.09,-0.02
130, BISCOITO,-2.65,-0.22,-0.41,2.86,0.75,1.3,-1.79,0.41,3.22,-0.61,-0.58,0.01,1.46,0.3
131, PÃO FRANCÊS,-0.04,-0.8,0.89,-2.78,1.33,1.23,-0.89,0.36,-3.52,-0.16,2.21,-0.17,-0.27,-0.08
132, PÃO DOCE,0.08,-0.6,3.76,0.0,2.14,1.89,-1.36,-0.51,-0.93,0.54,0.0,-3.43,1.59,1.16
133, PÃO DE FORMA,-3.75,-6.94,-3.51,0.0,1.1,1.14,0.0,0.0,0.0,2.39,-0.47,-0.35,2.51,-1.46
134, BOLO,-1.72,-0.45,0.77,-4.56,-0.56,1.02,-1.02,3.61,-1.38,1.85,2.05,-4.96,-7.84,-0.37
135, PÃO DE QUEIJO,0.0,0.0,-0.86,0.0,0.0,2.18,0.0,0.0,0.0,0.0,2.96,0.0,0.0,0.44
136, ÓLEOS E GORDURAS,-0.78,-3.75,-1.03,-0.89,0.63,-0.35,-1.59,-3.08,-0.29,-0.6,-1.8,1.21,-0.7,-0.81
137, ÓLEO DE SOJA,1.92,-4.54,-1.8,-0.68,-0.46,-1.92,-2.77,-4.92,-0.34,-0.45,-2.12,2.51,-1.05,-1.31
138, AZEITE DE OLIVA,-2.77,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,-1.55,0.0,0.38
139, MARGARINA,-2.41,-2.27,1.05,-1.05,1.78,1.57,0.39,-0.91,-0.2,-0.88,-0.53,-0.19,0.14,-0.18
140, BEBIDAS E INFUSÕES,-0.8,0.65,0.33,0.36,0.23,0.89,-1.45,-0.4,1.39,0.06,-0.07,-0.72,0.86,0.11
141, SUCO DE FRUTAS,-0.34,0.15,-0.84,1.79,-0.37,-1.1,0.36,-0.77,-0.77,-0.17,-0.47,-0.06,1.26,-0.28
142, AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-5.28,0.0,0.0,0.0,0.0,0.0,0.0,-5.28
143, CAFÉ MOÍDO,-2.08,0.63,0.58,-1.94,-1.13,0.3,-1.65,-2.67,-1.34,-0.46,-0.32,-2.04,0.28,-0.93
144, CAFÉ SOLÚVEL,0.0,1.54,0.0,-1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
145, CHÁ,0.0,-1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.01,0.0,0.0,-0.61,-1.43
146, REFRIGERANTE E ÁGUA MINERAL,-0.3,1.08,-0.18,-0.04,-0.76,2.82,0.18,0.37,1.32,0.49,0.34,-0.65,-0.23,0.04
147, CERVEJA,-0.24,1.48,2.12,5.29,3.81,0.61,3.19,3.23,5.64,1.65,-0.66,-0.45,3.01,2.56
148, OUTRAS BEBIDAS ALCOÓLICAS,-1.46,0.56,-2.54,-0.83,-1.22,-2.78,-1.41,0.87,2.57,-3.91,0.71,0.75,0.0,-1.04
149, ENLATADOS E CONSERVAS,-0.81,-1.23,0.42,3.21,0.3,-0.87,1.69,1.1,1.58,0.29,-0.37,-0.86,-0.74,0.34
150, COCO RALADO,0.0,0.0,0.0,0.0,0.31,-0.74,0.0,0.0,0.0,0.24,0.0,0.0,0.94,0.25
151, ERVILHA EM CONSERVA,-3.41,-2.87,0.0,0.0,0.0,0.31,0.0,0.0,2.54,0.0,0.0,0.0,-3.06,-1.97
152, PALMITO EM CONSERVA,-0.04,0.0,-0.49,0.0,-1.83,0.0,0.0,0.0,0.0,-3.07,0.2,-2.19,0.0,-1.61
153, PEPINO EM CONSERVA,0.0,-1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,-0.84,-1.1
154, SARDINHA EM CONSERVA,-1.17,-0.27,-0.23,3.65,-1.87,0.0,2.05,2.45,0.12,2.47,2.39,-1.0,3.29,0.53
155, SALSICHA EM CONSERVA,0.0,0.0,0.0,1.53,0.0,1.64,5.13,0.41,0.0,0.0,0.0,0.0,0.0,2.92
156, CARNE EM CONSERVA,0.0,0.0,0.0,4.91,0.0,0.0,-0.02,0.43,0.0,0.0,0.0,0.0,0.0,2.34
157, PATÊ,-0.72,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36
158, SOPA DESIDRATADA,0.0,-1.44,-0.07,0.0,2.19,-0.07,0.0,0.0,0.0,0.0,-0.88,0.34,0.0,0.65
159, AZEITONA,-0.95,0.0,0.14,-0.73,2.07,-2.85,0.84,0.0,1.37,1.24,-1.82,-0.58,-4.66,0.73
160, MILHO-VERDE EM CONSERVA,-2.82,-0.5,2.5,0.44,1.5,-1.1,0.18,-2.29,3.48,-0.36,-1.81,-0.38,-2.76,0.47
161, ATUM EM CONSERVA,1.89,-1.21,0.59,0.0,0.9,-2.1,0.0,-0.23,1.25,-0.45,0.0,0.0,0.0,0.52
162, SAL E CONDIMENTOS,-6.32,-0.03,-5.87,-1.99,-2.31,-0.31,-0.93,-0.7,-0.2,-0.88,-1.51,-7.17,-5.36,-2.53
163, LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.43
164, ATOMATADO,-1.14,-0.45,0.42,1.64,-0.55,-1.01,-1.18,0.94,6.07,2.73,-1.12,-0.27,-0.73,0.46
165, ALHO,-12.01,0.0,-19.51,-15.81,-8.98,-2.23,-2.89,-1.79,-10.55,-8.74,-4.8,-15.77,-17.99,-10.42
166, SAL,0.0,0.0,0.0,0.0,0.0,1.62,-0.99,0.53,0.0,0.0,-0.07,0.0,3.08,0.22
167, FERMENTO,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.25,0.0,0.86
168, MAIONESE,-2.49,-0.18,-0.22,7.89,-2.87,-2.62,0.22,-1.51,0.0,-1.72,-2.03,0.66,-1.54,-1.32
169, VINAGRE,0.0,0.0,0.0,-2.31,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,-0.64
170, CALDO CONCENTRADO,-0.63,1.29,-2.06,4.04,3.12,-1.17,0.0,0.38,1.38,0.0,0.0,-0.65,0.0,1.23
171, TEMPERO MISTO,0.0,-0.27,1.07,4.97,4.11,3.12,0.57,0.6,1.11,0.9,1.85,1.08,0.02,2.1
172, ALIMENTAÇÃO FORA DO DOMICÍLIO,0.96,-0.15,0.02,0.51,0.37,-2.71,-0.1,0.75,-0.37,-0.38,0.38,0.88,0.45,0.18
173, ALIMENTAÇÃO FORA DO DOMICÍLIO,0.96,-0.15,0.02,0.51,0.37,-2.71,-0.1,0.75,-0.37,-0.38,0.38,0.88,0.45,0.18
174, REFEIÇÃO,1.09,-0.32,-0.04,0.72,0.42,-4.44,-0.38,1.08,-0.14,-0.71,0.48,0.94,0.83,0.16
175, LANCHE,0.98,0.01,0.72,0.28,-0.01,0.29,0.62,0.75,-0.32,0.88,-0.13,1.07,-0.29,0.33
176, CAFÉ DA MANHÃ,1.56,-2.89,0.45,0.9,1.6,1.84,0.08,0.0,0.51,0.0,0.0,1.16,0.0,0.67
177, REFRIGERANTE E ÁGUA MINERAL,1.09,0.85,-1.06,0.05,1.79,-0.81,0.42,-0.13,-1.83,-1.74,1.21,-1.36,-0.18,0.39
178, CAFEZINHO,-0.49,-2.33,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,-0.46
179, CERVEJA,-0.48,1.5,-1.15,1.13,0.47,2.95,-0.95,-0.33,-1.3,-0.45,0.88,3.37,0.98,-0.05
180, OUTRAS BEBIDAS ALCOÓLICAS,-0.09,0.0,-0.81,-1.08,0.0,0.22,-0.26,-0.33,-3.13,0.0,0.0,-1.82,0.0,-0.84
181, DOCES,0.57,0.3,-0.97,-0.18,-0.88,0.11,-0.95,0.16,2.32,-0.66,-0.02,-2.76,0.15,-0.23
182, HABITAÇÃO,-0.43,-0.26,0.22,0.68,-0.71,-0.28,1.24,0.75,1.15,-0.07,-0.43,0.54,-0.91,-0.12
183, ENCARGOS E MANUTENÇÃO,-0.07,0.6,-0.11,-0.11,0.09,0.23,1.48,0.65,0.25,0.04,-0.17,0.37,-0.5,0.13
