Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
14, FLOCOS DE MILHO,0.0,0.0,0.0,-0.9,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57
15, FARINHA DE TRIGO,0.82,-3.13,1.89,0.0,-0.5,0.0,-3.96,0.0,0.0,-1.91,-1.91,-0.62,-1.39,-1.22
16, FARINHA VITAMINADA,0.0,0.0,0.0,-0.87,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,-0.3
17, FARINHA DE MANDIOCA,1.82,0.0,0.0,6.21,0.0,1.25,2.08,9.8,0.69,0.0,0.0,5.03,0.0,2.63
18, MASSA SEMIPREPARADA,0.1,-0.8,0.83,0.0,0.28,0.6,0.0,0.0,0.0,-1.32,-1.54,-1.73,0.53,-0.09
19," TUBÉRCULOS, RAÍZES E LEGUMES",-0.73,-8.56,-5.33,-8.23,1.03,-6.7,-3.55,0.59,-2.93,-5.23,-0.75,0.89,-3.41,-2.83
20, BATATA-INGLESA,-3.72,-7.61,-12.73,-10.59,-1.88,-7.67,-11.24,-2.63,-1.45,7.77,-12.42,2.71,-6.35,-5.06
21, INHAME,0.0,0.0,0.0,-16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.4
22, MANDIOCA (AIPIM),0.0,13.02,0.0,6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48,0.66,8.09
23, ABÓBORA,-10.81,0.0,-5.01,0.0,0.0,-9.31,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,-7.36
24, PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.86,0.0,0.0,0.0,0.0,-5.86
25, QUIABO,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42
26, TOMATE,3.4,-17.81,-0.06,-9.8,-0.53,-8.16,-0.27,2.02,-2.33,-15.61,3.78,5.78,-3.12,-3.33
27, CEBOLA,-6.36,-5.97,-10.87,-0.03,0.38,-13.11,-1.7,-2.68,-7.19,-11.13,-6.85,-10.03,-5.73,-4.36
28, CENOURA,12.81,0.0,12.08,0.0,15.09,6.88,0.0,11.19,4.3,8.2,20.7,-2.45,0.0,11.77
29, MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17
30, AÇÚCARES E DERIVADOS,-0.5,-0.95,-0.24,-0.48,-0.58,2.39,-2.35,-1.01,-3.41,2.35,-1.19,0.51,-0.16,-0.59
31, AÇÚCAR REFINADO,-2.56,-1.65,0.0,0.0,-0.51,0.0,1.03,-1.4,0.0,1.02,0.0,0.0,0.0,-1.1
32, AÇÚCAR CRISTAL,-0.76,-0.63,-1.0,-0.91,0.96,5.42,-3.93,-1.72,-5.46,5.72,-1.88,0.01,-0.01,-0.99
33, BALAS,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.56,0.0,0.0,0.0,-0.27
34, CHOCOLATE EM BARRA E BOMBOM,2.48,-2.0,1.43,2.91,-0.1,1.81,0.29,0.0,2.16,0.03,-0.19,1.03,-0.01,0.22
35, SORVETE,-1.77,-1.87,-0.12,0.07,-1.72,1.09,0.0,-0.8,-0.15,0.3,0.53,3.97,-0.7,-1.0
36, CHOCOLATE E ACHOCOLATADO EM PÓ,3.61,0.28,1.02,-0.63,-1.82,-3.48,-2.32,2.43,4.01,4.42,-0.22,0.61,-0.17,0.44
37, DOCE  FRUTAS EM PASTA,0.0,0.0,0.0,-2.2,0.0,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.34
38, HORTALIÇAS E VERDURAS,0.21,12.16,-3.4,-5.67,13.8,-1.8,1.2,1.78,3.68,10.56,-0.23,5.86,1.05,5.88
39, ALFACE,-0.07,12.14,-3.42,-0.69,14.95,-6.64,7.83,-1.43,2.34,11.93,-0.95,8.95,-0.52,7.76
40, COENTRO,0.0,0.0,0.0,-8.39,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,-4.67
41, COUVE,0.15,0.0,-2.41,0.0,12.04,12.33,0.0,0.0,0.0,1.31,1.24,5.18,0.0,5.18
42, COUVE-FLOR,-1.84,13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,4.65
43, REPOLHO,-6.32,3.84,-8.26,-5.48,8.1,-15.87,-1.41,0.0,19.5,16.37,0.73,-6.92,7.99,3.63
44, CHEIRO-VERDE,4.09,0.0,0.0,0.0,16.51,4.59,-1.16,2.3,-0.93,0.0,0.0,9.61,-0.01,5.39
45, AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0
46, BRÓCOLIS,2.92,25.54,2.05,0.0,9.25,2.2,0.0,0.0,0.0,3.25,0.0,0.0,0.0,8.41
47, FRUTAS,-5.21,-7.15,-4.55,3.36,-0.74,-5.43,-0.12,3.84,-1.63,-4.68,2.06,-0.21,-4.6,-2.46
48, BANANA-DA-TERRA,0.0,0.0,0.0,-2.64,0.0,0.0,0.0,0.0,-8.25,0.0,0.0,-13.83,0.0,-6.48
49, ABACAXI,11.46,3.65,-1.24,1.12,-5.62,0.0,0.0,0.0,0.0,1.43,1.48,0.0,5.35,0.39
50, ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-28.81,0.0,0.0,0.0,0.0,0.0,0.0,-28.81
51, BANANA-D'AGUA,-14.4,-19.19,0.0,0.0,0.58,-27.14,0.0,0.0,0.0,-18.98,0.0,0.0,-25.57,-8.25
52, BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,-3.82,-0.57
53, BANANA-PRATA,-10.07,-2.91,-6.68,2.06,-1.54,-9.74,5.78,9.43,-0.62,-9.7,-2.12,-4.83,0.0,-1.65
54, LARANJA-BAIA,0.0,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54
55, LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,-35.53,0.0,0.0,0.0,0.0,0.0,0.0,-35.53
56, MAÇÃ,-7.94,-0.98,-16.2,6.2,-4.57,-4.58,-3.44,-4.3,-6.78,-1.7,-2.7,-1.04,-7.07,-5.69
57, MAMÃO,-7.02,-9.04,-4.62,-6.7,-7.61,-9.1,11.5,-9.15,-13.16,-8.54,0.0,-4.03,-12.55,-7.55
58, MANGA,8.78,0.0,0.0,4.23,0.0,-2.88,0.0,0.0,0.0,0.0,0.0,33.19,0.0,6.94
59, MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.58,-14.08,0.0,0.0,0.0,0.0,-10.94
60, MELANCIA,0.0,0.0,-4.02,10.79,-6.44,6.74,-9.38,1.69,11.32,-8.74,-0.3,0.0,8.22,0.12
61, PÊRA,-5.21,0.0,0.0,0.0,-5.8,1.45,0.0,0.0,0.0,0.0,4.52,-2.87,0.0,-4.56
62, TANGERINA,0.0,-7.15,0.0,0.0,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,0.0,-6.77
63, UVA,-4.31,0.0,-4.03,-1.92,-7.15,-1.78,-6.52,-3.83,0.2,2.31,9.56,-4.65,-3.49,-3.95
64, LARANJA-PÊRA,1.82,0.0,10.09,10.76,13.3,4.4,8.69,12.47,3.25,7.12,10.0,10.41,14.88,9.12
65, MORANGO,0.0,-7.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,12.69,0.0,0.0,0.0,1.9
66, GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.41,0.0,0.0,0.0,0.0,0.0,-1.4
67, CARNES,-3.32,-0.38,-0.81,0.1,-0.16,-0.96,-0.93,-2.64,-1.23,-3.05,-2.85,-1.27,-1.45,-1.22
68, FÍGADO,0.0,0.0,0.0,-3.99,0.0,0.0,-1.59,-0.7,-3.37,0.0,0.0,0.0,0.0,-2.6
69, CARNE DE PORCO,-3.89,1.53,2.58,0.22,1.84,-0.3,-0.05,-2.1,-1.02,1.58,0.2,3.24,0.87,1.01
70, CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.53,2.74,0.0,0.0,0.0,0.0,0.23
71, CONTRAFILÉ,-2.75,0.11,-1.16,-0.94,-3.61,-6.65,0.79,-2.3,0.5,-8.94,-6.6,-1.08,-3.36,-2.71
72, FILÉ-MIGNON,-6.81,0.0,0.0,-0.39,0.0,0.0,-0.42,0.0,-1.95,-6.81,-0.4,0.0,1.58,-3.72
73, CHÃ DE DENTRO,-1.41,-2.76,-2.78,0.45,0.53,-1.69,1.54,-3.18,-0.84,-3.87,-2.47,-3.25,2.4,-0.75
74, ALCATRA,-3.69,3.18,-2.47,1.21,-2.05,-0.28,0.82,-4.65,0.51,-6.81,-3.48,-4.0,-2.11,-1.72
75, PATINHO,-3.89,0.1,-0.01,3.4,-1.06,-2.2,1.28,-3.17,-2.79,-1.22,-1.68,-3.88,-0.83,-1.39
76, LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,-1.13,0.0,0.0,0.0,0.0,0.35
77, LAGARTO COMUM,0.0,0.0,0.0,0.0,-1.53,-0.58,0.0,-2.44,-1.87,0.0,-2.99,0.0,0.09,-1.63
78, MÚSCULO,-1.78,-4.13,0.9,-0.96,0.49,0.0,-2.55,0.0,-2.23,-4.27,-2.88,2.05,-1.43,-0.97
79, PÁ,0.0,3.89,0.0,-3.02,1.7,1.91,-5.23,0.0,-1.16,4.68,0.0,0.0,-3.17,0.26
80, ACÉM,-2.55,0.77,-2.51,0.42,2.51,5.72,-3.89,-3.84,-1.57,3.33,-2.26,-2.46,-1.18,0.03
81, PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-2.78,-1.55,-1.78,0.0,-3.72,0.0,-4.19,-2.49
82, CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.51,-1.51
83, COSTELA,-3.56,-2.68,-0.7,0.64,-0.64,-1.72,-1.98,-0.39,-2.38,-0.83,-1.62,0.25,-3.04,-1.62
84, PESCADOS,0.59,2.49,3.8,-2.63,-1.8,6.51,2.63,0.22,-2.29,4.35,0.1,-2.54,-5.91,0.4
85, PEIXE-ANCHOVA,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78
86, PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,5.65
87, PEIXE-CORVINA,-4.99,0.0,0.0,-6.17,0.0,0.0,0.0,0.0,-5.67,0.0,0.0,0.0,0.0,-5.61
88, PEIXE-CAVALINHA,0.0,0.0,0.0,-9.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.02
89, PEIXE,0.0,2.49,3.8,0.0,0.0,6.51,0.0,0.0,0.0,4.35,0.1,0.0,0.0,3.61
90, PEIXE-SARDINHA,0.0,0.0,0.0,-2.14,-6.54,0.0,0.0,0.0,-1.47,0.0,0.0,0.0,-6.36,-4.8
91, CAMARÃO,1.16,0.0,0.0,4.22,0.0,0.0,7.48,0.0,-1.07,0.0,0.0,-3.19,-4.59,1.88
92, PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,1.77
93, PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.29,-4.02,0.0,0.0,0.0,0.0,-2.92
94, PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.07,-13.07
95, PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,1.95
96, PEIXE-CAÇÃO,3.14,0.0,0.0,0.0,-2.54,0.0,0.0,0.0,0.0,0.0,0.0,-3.95,0.0,-0.17
97, PEIXE-MERLUZA,-4.55,0.0,0.0,-0.72,1.41,0.0,0.0,0.0,3.25,0.0,0.0,0.0,-7.81,-0.93
98, PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,-5.76,3.53,0.0,0.0,0.0,0.0,0.0,-2.44
99, PEIXE-PESCADA,11.02,0.0,0.0,-1.54,-2.36,0.0,2.88,0.0,-2.47,0.0,0.0,-1.88,0.0,1.56
100, CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,-5.36
101, PEIXE-CASTANHA,0.0,0.0,0.0,-4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3
102, PEIXE-SALMÃO,0.0,0.0,0.0,0.0,3.71,0.0,0.0,0.22,0.0,0.0,0.0,0.0,-5.91,2.13
103, PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104, PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,2.63
105, PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,3.83
106, PEIXE-PEROA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.77,0.0,-11.77
107, PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,3.95
108, CARNES E PEIXES INDUSTRIALIZADOS,0.45,-0.21,2.71,0.11,0.28,0.72,0.37,0.34,-0.96,0.26,0.21,0.7,-0.52,0.31
109, PRESUNTO,-0.6,1.17,0.99,0.0,-1.11,-1.97,1.17,2.5,0.47,1.86,-1.39,0.92,-2.74,-0.12
110, SALSICHA ,2.64,-1.04,0.58,2.46,2.27,-2.1,-1.54,0.0,0.0,-0.71,-1.21,2.14,-2.81,1.01
111, LINGUIÇA,2.48,-0.58,3.82,2.99,0.84,2.71,2.3,2.06,0.72,-0.72,1.65,1.67,0.22,1.33
112, MORTADELA,-2.76,-0.14,2.8,-0.34,-2.67,0.0,0.92,3.3,0.0,1.12,0.0,1.07,1.99,-0.78
113, SALAME ,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18
114, CARNE-SECA E DE SOL,-0.69,0.0,0.0,-0.74,0.0,0.0,-0.28,-6.57,-1.8,0.0,0.0,-5.79,0.0,-1.37
115, CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,-0.73,0.0,0.0,0.0,0.0,0.94
116, HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28
117, AVES E OVOS,-1.41,-0.89,-1.74,-5.64,-3.75,-1.52,-0.09,-2.1,-3.0,0.56,-3.74,-5.57,-0.23,-2.37
118, FRANGO INTEIRO,-6.86,0.46,-2.12,-6.89,-8.98,2.03,0.17,-2.57,-2.47,-1.59,-5.83,-8.48,-0.33,-3.83
119, FRANGO EM PEDAÇOS,-0.81,-2.66,-2.87,-3.87,-1.99,-5.02,-1.27,-3.0,-2.01,-1.81,-2.57,-5.08,-2.68,-2.16
120, OVO DE GALINHA,4.14,2.37,1.05,-3.09,-0.49,-2.94,-0.33,0.07,-7.21,8.43,2.7,0.48,4.96,0.5
121, LEITES E DERIVADOS,0.95,1.91,0.9,-1.47,-0.04,-0.39,-1.33,-0.91,-1.75,4.23,1.1,0.11,-2.71,0.26
122, LEITE LONGA VIDA,0.54,2.51,0.23,-3.66,1.07,0.23,-3.16,-2.22,-8.28,4.6,0.86,0.2,-4.33,0.32
123, LEITE CONDENSADO,0.0,0.78,0.0,0.0,0.0,0.0,-3.76,0.55,0.0,0.0,0.0,0.0,-0.74,-0.68
124, LEITE EM PÓ,0.0,1.36,0.0,-0.27,-0.71,0.0,-0.77,-1.07,1.54,0.27,0.24,0.41,0.63,-0.04
125, QUEIJO,1.45,0.83,1.97,-2.96,-0.78,-1.0,0.21,-1.35,1.41,6.13,2.02,-0.08,-1.67,0.33
126, CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,3.16
127, IOGURTE E BEBIDAS LÁCTEAS,2.84,2.27,1.75,2.19,-2.77,-1.43,-1.59,1.58,0.84,1.38,1.41,-1.92,-0.03,-0.02
128, MANTEIGA,0.0,0.0,0.0,4.53,0.0,0.0,-1.22,5.34,2.07,0.0,0.0,2.52,0.0,2.36
129, PANIFICADOS,1.76,-0.75,0.2,-0.3,-0.69,0.08,-1.49,0.12,-0.94,-0.73,0.48,0.25,0.14,-0.22
130, BISCOITO,1.3,0.84,1.33,-1.33,-1.05,1.51,-1.36,0.01,-2.84,-1.37,-0.36,0.73,-1.02,-0.44
131, PÃO FRANCÊS,1.44,-1.6,0.04,0.0,-1.92,0.05,-1.61,0.13,-0.2,-0.18,0.54,0.11,0.96,-0.55
132, PÃO DOCE,2.95,-0.25,-2.41,0.0,-0.44,-3.05,-3.82,-4.81,0.7,-3.28,0.0,-1.36,-0.89,-0.77
133, PÃO DE FORMA,3.21,-2.84,-1.85,0.0,3.83,-0.21,0.0,0.0,0.0,3.18,0.84,0.47,-0.76,1.83
134, BOLO,3.53,1.09,0.74,1.98,5.18,1.56,1.42,3.24,0.52,-3.22,3.23,0.58,-1.4,2.15
135, PÃO DE QUEIJO,0.0,0.0,0.86,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.51
136, ÓLEOS E GORDURAS,-0.11,2.5,1.54,0.15,0.8,1.77,2.2,1.02,0.15,2.75,0.84,1.5,1.02,1.13
137, ÓLEO DE SOJA,-2.1,1.29,0.83,-0.52,1.57,1.06,3.17,0.82,-0.39,3.49,0.74,0.33,1.06,1.05
138, AZEITE DE OLIVA,-0.47,0.0,0.0,0.0,-1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-1.26
139, MARGARINA,2.4,5.35,4.01,0.79,0.55,2.71,0.27,1.28,1.14,1.03,1.29,5.86,0.9,1.73
140, BEBIDAS E INFUSÕES,0.23,-0.13,0.47,0.79,1.08,1.16,2.28,-0.02,1.18,1.32,0.69,0.81,0.01,0.82
141, SUCO DE FRUTAS,1.33,-2.55,2.61,2.36,-4.98,0.13,1.95,0.44,-0.43,1.08,0.31,-0.39,0.47,-1.43
142, AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,10.95,0.0,0.0,0.0,0.0,0.0,0.0,10.95
143, CAFÉ MOÍDO,-0.58,0.48,1.6,3.15,2.02,2.2,0.55,0.31,3.81,3.04,4.57,3.04,0.17,1.82
144, CAFÉ SOLÚVEL,0.0,0.77,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36
145, CHÁ,0.0,-3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,0.0,0.0,1.77,-2.59
146, REFRIGERANTE E ÁGUA MINERAL,1.29,1.67,-0.73,0.17,2.89,1.4,-1.93,-0.19,1.38,0.76,-0.44,0.18,-0.55,1.09
147, CERVEJA,-1.19,-1.36,0.63,0.41,0.55,0.74,-1.87,-0.45,-0.88,1.01,-0.43,0.37,0.03,-0.07
148, OUTRAS BEBIDAS ALCOÓLICAS,0.09,1.27,1.36,-3.33,-0.88,-0.57,-0.74,-0.39,-1.9,2.17,-2.21,-0.17,0.0,-0.15
149, ENLATADOS E CONSERVAS,-1.4,-0.76,1.17,-1.54,-0.99,0.95,-0.75,0.82,1.63,-2.04,0.76,-1.31,-0.15,-0.66
150, COCO RALADO,0.0,0.0,0.0,0.0,2.1,-1.55,0.0,0.0,0.0,1.6,0.0,0.0,0.68,1.66
151, ERVILHA EM CONSERVA,-1.89,-0.9,0.0,0.0,0.0,1.69,0.0,0.0,4.68,0.0,0.0,0.0,1.36,-0.15
152, PALMITO EM CONSERVA,-3.61,0.0,3.5,0.0,-1.05,0.0,0.0,0.0,0.0,-7.85,3.88,-3.25,0.0,-1.65
153, PEPINO EM CONSERVA,0.0,-0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.14,0.0,0.0,-0.91,-0.84
154, SARDINHA EM CONSERVA,-3.73,-1.03,1.12,-0.52,-2.41,0.0,0.75,0.56,-2.26,-0.63,-0.31,-1.29,-0.32,-1.11
155, SALSICHA EM CONSERVA,0.0,0.0,0.0,-8.64,0.0,2.73,0.34,-0.22,0.0,0.0,0.0,0.0,0.0,-1.75
156, CARNE EM CONSERVA,0.0,0.0,0.0,-1.59,0.0,0.0,-4.6,3.55,0.0,0.0,0.0,0.0,0.0,-2.29
157, PATÊ,-0.73,-1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9
158, SOPA  DESIDRATADA,0.0,-0.19,-1.45,0.0,1.3,1.83,0.0,0.0,0.0,0.0,3.18,1.67,0.0,0.52
159, AZEITONA,0.61,0.0,0.82,0.47,-2.12,3.5,0.73,0.0,3.06,-3.94,0.27,-2.18,-0.77,-0.95
160, MILHO-VERDE EM CONSERVA,-1.2,1.97,3.24,0.53,-3.21,-1.29,-1.37,1.46,4.11,-0.95,-3.5,-0.45,0.22,-0.27
161, ATUM EM CONSERVA,-0.1,-4.11,0.31,0.0,1.51,-0.11,0.0,-0.52,0.66,0.42,0.0,0.0,0.0,0.32
162, SAL E CONDIMENTOS,-3.24,0.03,-2.02,-2.46,-1.79,-4.2,0.29,0.09,1.01,-3.13,-1.35,-5.15,-5.58,-1.79
163, LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64,0.0,0.0,0.0,0.0,9.64
164, ATOMATADO,2.57,-0.74,0.56,-6.32,-1.43,-0.52,1.4,0.53,0.04,-1.52,1.05,0.12,-2.8,-0.64
165, ALHO,-8.05,0.0,-7.15,-1.9,-5.31,-13.25,0.86,-0.08,-1.5,-5.7,-5.19,-10.76,-13.81,-5.55
166, SAL ,0.0,0.0,0.0,0.0,0.0,2.5,-0.77,5.77,0.0,0.0,-0.39,0.0,-1.24,0.6
167, FERMENTO,0.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.04,0.0,0.02,0.0,-1.73
168, MAIONESE,-0.79,-1.3,0.52,-0.1,-1.09,2.08,-2.5,-2.99,0.0,-1.13,-2.23,-0.88,-1.26,-0.98
169, VINAGRE,0.0,0.0,0.0,0.31,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.21
170, CALDO CONCENTRADO,-2.01,0.38,2.0,0.13,0.6,0.15,0.0,-1.31,1.71,0.0,0.0,1.81,0.0,0.62
171, TEMPERO MISTO,0.0,0.17,-1.13,-0.9,3.08,-2.44,0.46,-0.49,-0.1,-2.64,0.14,0.44,0.1,0.34
172, ALIMENTAÇÃO FORA DO DOMICÍLIO,0.55,0.4,0.36,-0.45,0.05,-0.02,-0.92,0.75,0.07,-0.26,-0.04,-0.14,0.75,0.11
173, ALIMENTAÇÃO FORA DO DOMICÍLIO,0.55,0.4,0.36,-0.45,0.05,-0.02,-0.92,0.75,0.07,-0.26,-0.04,-0.14,0.75,0.11
174, REFEIÇÃO,0.5,0.98,0.12,-1.34,-0.07,-0.22,-1.59,0.82,0.3,0.82,0.13,-0.2,0.36,0.17
175, LANCHE,0.38,-0.18,0.24,-0.3,0.45,0.5,0.49,0.89,0.46,-1.92,-0.09,-0.39,2.15,0.16
176, CAFÉ DA MANHÃ,0.66,-0.69,0.54,2.86,1.06,0.09,0.38,0.0,3.26,0.0,0.0,0.11,0.0,1.0
177, REFRIGERANTE E ÁGUA MINERAL,1.16,-4.48,2.18,-0.86,-0.7,-0.53,-1.8,1.95,-1.03,-1.88,0.41,-0.35,0.41,-0.65
178, CAFEZINHO,1.1,-1.59,0.0,0.0,-0.78,0.0,0.0,0.0,0.0,0.0,-3.4,0.0,0.0,-0.56
179, CERVEJA,2.92,0.98,0.76,2.55,0.33,-0.56,-2.17,-0.34,-1.86,-2.04,-0.65,0.56,-0.04,-0.06
180, OUTRAS BEBIDAS ALCOÓLICAS,0.03,0.0,0.22,-1.99,0.0,1.34,-2.4,0.95,-0.43,0.0,0.0,-1.3,0.0,-0.49
181, DOCES,-2.15,1.45,0.88,0.73,-0.22,-0.86,0.6,-1.14,3.03,-1.57,-0.05,2.19,-0.98,0.14
182, HABITAÇÃO,0.81,0.55,0.29,-0.49,0.37,0.05,-0.28,-0.02,0.1,0.01,-1.02,0.62,-0.7,0.24
183, ENCARGOS E MANUTENÇÃO,0.91,0.71,0.34,0.05,0.12,0.28,0.33,0.36,0.12,0.05,0.24,0.39,0.31,0.32
184, ALUGUEL E TAXAS,1.04,1.15,0.37,0.29,0.19,0.32,0.08,0.42,0.35,0.17,0.36,0.36,0.46,0.43
