Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
153, PEPINO EM CONSERVA,0.0,-2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.81,0.0,0.0,0.43,-2.04
154, SARDINHA EM CONSERVA,-0.4,1.28,1.69,1.35,0.96,0.0,0.57,-0.15,0.02,-1.24,-1.85,0.92,0.29,0.5
155, SALSICHA EM CONSERVA,0.0,0.0,0.0,0.88,0.0,-2.97,0.43,7.29,0.0,0.0,0.0,0.0,0.0,1.32
156, CARNE EM CONSERVA,0.0,0.0,0.0,6.93,0.0,0.0,0.15,5.29,0.0,0.0,0.0,0.0,0.0,3.88
157, PATÊ,-11.4,-0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.52
158, SOPA  DESIDRATADA,0.0,-1.22,-2.35,0.0,-1.67,1.46,0.0,0.0,0.0,0.0,-0.54,0.02,0.0,-1.4
159, AZEITONA,-0.73,0.0,-0.48,-0.35,2.57,-1.54,-0.74,0.0,-1.55,-1.78,-2.0,1.04,2.18,0.48
160, MILHO-VERDE EM CONSERVA,-1.81,1.74,11.29,-2.34,-0.56,3.67,-2.03,-4.96,-3.1,-1.02,-3.71,-1.03,2.14,0.72
161, ATUM EM CONSERVA,1.64,0.58,-1.71,0.0,-0.02,0.25,0.0,1.09,1.15,-0.16,0.0,0.0,0.0,0.22
162, SAL E CONDIMENTOS,-3.2,0.81,2.07,0.29,-1.32,4.37,0.36,-2.16,2.61,-0.38,0.44,-3.45,-0.97,-0.25
163, LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.33,0.0,0.0,0.0,0.0,-1.33
164, ATOMATADO,2.45,0.56,1.86,1.15,-1.08,3.05,-0.9,1.18,0.46,-1.39,-0.14,0.61,2.07,0.17
165, ALHO,-8.11,0.0,3.08,0.46,-3.68,5.07,-0.11,-5.56,7.44,-1.91,1.18,-7.46,-7.08,-2.18
166, SAL ,0.0,0.0,0.0,0.0,0.0,0.23,-1.32,-1.96,0.0,0.0,0.28,0.0,2.2,-0.45
167, FERMENTO,0.0,-1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.85,0.0,1.23,0.0,-2.71
168, MAIONESE,0.8,2.14,-0.4,-7.52,0.88,2.24,-0.62,2.17,0.0,6.09,-0.79,1.63,1.9,1.36
169, VINAGRE,0.0,0.0,0.0,2.79,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.69
170, CALDO CONCENTRADO,-1.1,-0.05,1.21,-2.1,-5.25,4.45,0.0,3.75,-1.12,0.0,0.0,0.12,0.0,-1.73
171, TEMPERO MISTO,0.0,1.93,3.03,2.02,3.75,7.48,2.05,0.22,5.06,-0.39,0.92,-0.39,1.35,2.64
172, ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.32,0.13,0.81,0.23,-0.27,1.06,0.43,-0.03,0.94,0.2,1.71,0.02,0.09,0.15
173, ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.32,0.13,0.81,0.23,-0.27,1.06,0.43,-0.03,0.94,0.2,1.71,0.02,0.09,0.15
174, REFEIÇÃO,-0.61,-0.12,0.12,0.09,-1.23,0.66,1.15,-0.08,1.38,0.17,2.58,0.36,0.47,-0.3
175, LANCHE,0.74,0.06,1.73,0.99,1.59,2.15,0.68,0.23,-0.35,-0.33,1.37,-0.66,-1.07,0.92
176, CAFÉ DA MANHÃ,0.59,1.94,2.68,-4.63,0.24,-0.19,1.16,0.0,1.77,0.0,0.0,1.66,0.0,0.74
177, REFRIGERANTE E ÁGUA MINERAL,-0.39,2.08,-0.71,2.04,1.19,-0.16,0.04,-3.12,0.43,0.69,1.9,-0.61,0.59,0.65
178, CAFEZINHO,-0.92,-5.67,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,-0.08
179, CERVEJA,-0.05,2.91,0.76,-0.1,0.8,1.36,-1.76,0.86,1.76,1.5,-0.65,-0.65,0.63,0.7
180, OUTRAS BEBIDAS ALCOÓLICAS,1.83,0.0,0.56,-0.64,0.0,0.3,-1.37,1.14,2.88,0.0,0.0,0.0,0.0,0.65
181, DOCES,-1.69,-0.93,2.59,-2.11,1.31,-0.12,2.11,-2.07,0.11,0.51,-3.34,0.64,0.64,0.29
182, HABITAÇÃO,0.84,1.16,1.87,1.44,2.17,0.08,2.25,2.24,0.98,2.19,1.86,0.68,0.42,1.64
183, ENCARGOS E MANUTENÇÃO,0.36,0.43,0.29,0.24,0.39,0.11,-0.09,2.2,0.28,0.23,1.22,-0.1,-0.23,0.39
