Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
70,CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.02,0.0,0.0,0.0,0.0,0.19
71,CONTRAFILÉ,2.34,-4.19,0.44,-0.13,-3.55,1.72,2.8,-6.46,0.44,-2.64,0.32,-0.66,-3.7,-1.3
72,FILÉ-MIGNON,5.7,0.0,0.0,-4.79,0.0,0.0,-1.32,0.0,-2.18,3.15,-3.91,0.0,-1.71,0.63
73,CHÃ DE DENTRO,4.15,1.27,-2.3,-1.95,-0.5,-0.08,-5.93,-1.77,-0.39,-4.77,-0.71,-1.94,0.3,-1.39
74,ALCATRA,3.72,-1.18,-0.38,-4.45,-2.08,0.14,2.74,-2.55,0.79,-3.1,-0.57,-2.39,-2.87,-0.42
75,PATINHO,3.37,-0.78,0.2,3.1,-1.02,-4.33,-0.57,-0.09,0.87,-3.35,-0.45,-0.44,-0.21,-0.08
76,LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,-2.06,0.0,0.0,0.0,0.0,-0.17
77,LAGARTO COMUM,0.0,0.0,0.0,0.0,-0.29,0.69,0.0,-2.61,1.2,0.0,-2.42,0.0,-6.41,-0.62
78,MÚSCULO,0.31,0.75,0.67,-0.36,-1.5,0.0,-0.64,0.0,-2.15,-3.73,0.42,-2.57,-4.76,-0.71
79,PÁ,0.0,0.08,0.0,-1.39,-3.44,1.32,-2.42,0.0,0.1,-5.21,0.0,0.0,-2.51,-1.92
80,ACÉM,1.31,-0.36,-0.29,-2.22,-2.96,-2.54,-1.11,-0.46,0.46,-4.94,-0.26,0.39,1.15,-1.55
81,PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-3.04,-0.48,1.29,0.0,-0.48,0.0,-0.03,-0.82
82,CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.74,-5.74
83,COSTELA,0.08,-1.69,-2.11,-1.01,-2.97,0.34,-6.84,-1.14,-1.94,-1.21,-1.6,2.99,-0.53,-1.88
84,PESCADOS,1.69,-2.0,-0.38,-1.05,4.25,-1.27,-6.7,-0.75,-3.26,-2.36,2.97,0.28,2.0,-1.6
85,PEIXE-ANCHOVA,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3
86,PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.84
87,PEIXE-CORVINA,8.33,0.0,0.0,-2.64,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,2.88
88,PEIXE-CAVALINHA,0.0,0.0,0.0,-2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.96
89,PEIXE,0.0,-2.0,-0.38,0.0,0.0,-1.27,0.0,0.0,0.0,-2.36,2.97,0.0,0.0,-1.07
90,PEIXE-SARDINHA,0.0,0.0,0.0,-1.52,8.38,0.0,0.0,0.0,0.81,0.0,0.0,0.0,-0.17,4.97
91,CAMARÃO,3.17,0.0,0.0,-2.21,0.0,0.0,-6.68,0.0,-13.03,0.0,0.0,-5.11,-2.56,-4.4
92,PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.29,0.0,0.0,0.0,0.0,-7.29
93,PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,7.07,0.0,0.0,0.0,0.0,5.07
94,PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,7.22
95,PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,2.55
96,PEIXE-CAÇÃO,-3.75,0.0,0.0,0.0,-1.64,0.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.0,-2.64
97,PEIXE-MERLUZA,1.3,0.0,0.0,0.52,-6.86,0.0,0.0,0.0,-2.43,0.0,0.0,0.0,2.76,-2.78
98,PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,-2.35,-0.39,0.0,0.0,0.0,0.0,0.0,-1.63
99,PEIXE-PESCADA,-3.11,0.0,0.0,3.76,8.33,0.0,-7.48,0.0,4.45,0.0,0.0,5.29,0.0,-1.66
100,CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,4.12
101,PEIXE-CASTANHA,0.0,0.0,0.0,-1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.46
102,PEIXE-SALMÃO,0.0,0.0,0.0,0.0,11.51,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,2.0,8.56
103,PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.24,0.0,0.0,0.0,0.0,0.0,-1.24
104,PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,-6.7,0.0,0.0,0.0,0.0,0.0,0.0,-6.7
105,PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-9.21,0.0,0.0,0.0,0.0,0.0,0.0,-9.21
106,PEIXE-PEROA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,0.0,5.39
107,PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,8.1
108,CARNES E PEIXES INDUSTRIALIZADOS,0.71,1.15,-0.59,0.04,0.34,0.69,0.06,0.43,-1.66,0.61,-0.93,0.54,-0.47,0.08
109,PRESUNTO,-0.26,-0.95,-0.21,0.0,-2.51,2.26,0.23,0.33,0.65,1.5,-1.85,0.07,-2.07,-0.89
110,SALSICHA,3.16,2.87,-2.98,-1.04,1.13,-0.56,-2.73,0.0,0.0,-2.79,0.46,-0.25,1.03,0.9
111,LINGUIÇA,1.03,-0.03,0.9,-2.92,1.3,0.57,2.32,1.29,-0.67,0.71,-0.66,1.94,-1.14,0.78
112,MORTADELA,-1.15,1.74,-1.47,-1.14,-0.59,0.0,0.77,-2.74,0.0,1.44,0.0,-1.75,2.62,-0.25
113,SALAME,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45
114,CARNE-SECA E DE SOL,0.94,0.0,0.0,0.98,0.0,0.0,-0.51,0.99,-2.56,0.0,0.0,-2.69,0.0,-0.77
115,CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-6.14,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,-2.74
116,HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67
117,AVES E OVOS,-1.62,0.99,-0.85,-0.77,-2.12,-1.58,-0.03,-0.7,1.11,-5.52,-1.62,1.27,-1.76,-1.08
118,FRANGO INTEIRO,-3.78,-2.35,0.65,-1.68,0.64,-0.82,-0.33,-1.16,1.79,-8.06,-1.23,3.0,-4.81,-0.77
119,FRANGO EM PEDAÇOS,-0.11,1.71,-4.98,1.27,-3.44,-2.58,-1.38,-0.55,0.19,-2.72,-1.19,-2.49,-0.83,-1.55
120,OVO DE GALINHA,-2.89,1.95,2.58,-0.08,-2.72,-1.46,1.74,0.67,-0.01,-7.21,-2.97,2.24,0.8,-0.96
121,LEITES E DERIVADOS,-1.01,-1.55,-0.88,0.42,-1.43,-0.25,1.61,-0.29,0.09,-0.43,-1.54,-0.46,-0.09,-0.76
122,LEITE LONGA VIDA,-0.71,-1.82,-0.99,3.4,-1.41,-0.4,3.32,0.04,2.41,-0.46,-1.49,0.49,-1.51,-0.72
123,LEITE CONDENSADO,0.0,-4.34,0.0,0.0,0.0,0.0,-0.09,-0.42,0.0,0.0,0.0,0.0,-3.68,-2.19
124,LEITE EM PÓ,-2.02,-1.67,0.0,-1.13,-0.66,0.0,1.45,-0.5,-0.64,-0.69,-2.09,-0.62,-1.28,-0.54
125,QUEIJO,-0.62,-1.29,-1.01,-0.61,-1.63,-2.06,1.15,-1.84,-2.66,0.56,-2.06,-1.67,4.09,-1.12
126,CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75
127,IOGURTE E BEBIDAS LÁCTEAS,-2.5,0.76,0.02,2.98,-1.34,2.53,-0.28,0.09,0.72,-1.9,-0.08,-2.81,0.64,-0.44
128,MANTEIGA,0.0,0.0,0.0,0.41,0.0,0.0,3.56,1.98,-0.54,0.0,0.0,0.17,0.0,0.87
129,PANIFICADOS,-0.53,0.82,0.98,-0.64,0.96,0.27,-0.13,-1.04,-0.06,0.35,1.84,-0.09,-0.74,0.34
130,BISCOITO,0.3,-0.74,-0.92,-1.32,-0.39,2.96,0.51,-1.23,0.87,1.44,1.46,1.41,-0.66,-0.09
131,PÃO FRANCÊS,-0.63,0.09,2.18,-0.53,1.32,-0.28,-0.34,-1.13,-0.51,0.72,2.51,-0.49,-0.53,0.44
132,PÃO DOCE,-2.5,3.65,0.98,0.0,2.3,-1.83,-0.2,0.43,2.36,-4.78,0.0,2.55,1.6,0.96
133,PÃO DE FORMA,-0.64,4.46,1.71,0.0,0.86,0.06,0.0,0.0,0.0,-1.75,0.13,-0.9,-2.0,0.82
134,BOLO,-0.63,2.74,-2.28,1.92,0.62,0.96,-0.37,-0.1,-3.12,0.8,1.14,-3.12,-3.4,0.15
135,PÃO DE QUEIJO,0.0,0.0,-0.16,0.0,0.0,-1.21,0.0,0.0,0.0,0.0,0.26,0.0,0.0,-0.24
136,ÓLEOS E GORDURAS,-1.73,-0.94,0.66,-2.27,-1.12,-0.08,-1.53,-2.4,-1.73,1.23,-1.68,-1.32,-0.39,-1.01
137,ÓLEO DE SOJA,-0.93,-1.82,0.49,-3.63,-1.08,-0.71,-2.47,-3.7,-3.42,1.65,-1.8,-2.15,-0.81,-1.32
138,AZEITE DE OLIVA,-1.44,0.0,0.0,0.0,-2.07,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,-1.78
139,MARGARINA,-2.67,0.8,1.16,-1.09,-0.74,0.68,0.14,-0.74,1.06,0.39,-1.2,0.02,0.67,-0.35
140,BEBIDAS E INFUSÕES,0.49,0.71,-0.74,-0.33,0.79,-0.16,0.41,0.7,0.37,0.39,-0.55,-0.52,0.29,0.35
141,SUCO DE FRUTAS,1.13,-0.55,2.1,-0.03,1.29,1.03,1.93,-1.32,1.0,1.12,-0.31,0.22,-0.75,0.98
142,AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.25
143,CAFÉ MOÍDO,1.41,-0.57,-0.91,0.06,2.58,-0.96,-2.8,1.25,1.08,0.09,-0.61,-1.55,0.31,0.65
144,CAFÉ SOLÚVEL,0.0,-0.44,0.0,-2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.16
145,CHÁ,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,0.0,0.0,1.53,0.0
146,REFRIGERANTE E ÁGUA MINERAL,0.8,0.91,-0.77,-0.48,0.35,0.82,1.21,0.83,-0.17,1.09,-0.18,0.22,0.31,0.37
147,CERVEJA,-1.01,2.55,-1.34,0.88,0.05,-0.67,1.04,0.35,0.23,0.12,-1.6,-0.58,0.29,0.08
148,OUTRAS BEBIDAS ALCOÓLICAS,0.38,-1.91,-1.85,-0.75,-0.88,-3.09,-1.76,-0.76,-0.42,-0.23,0.67,-0.92,0.0,-0.72
149,ENLATADOS E CONSERVAS,-2.16,-0.83,-1.39,0.72,-0.66,-0.32,0.92,0.28,-0.28,-0.42,-0.22,-0.41,0.67,-0.57
150,COCO RALADO,0.0,0.0,0.0,0.0,-6.53,5.09,0.0,0.0,0.0,1.67,0.0,0.0,3.3,-3.08
151,ERVILHA EM CONSERVA,-1.77,-0.77,0.0,0.0,0.0,-3.74,0.0,0.0,-0.35,0.0,0.0,0.0,-0.86,-1.15
152,PALMITO EM CONSERVA,-0.34,0.0,-3.27,0.0,2.9,0.0,0.0,0.0,0.0,-1.34,-1.49,-1.79,0.0,0.64
153,PEPINO EM CONSERVA,0.0,-3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,-1.85,-1.62
154,SARDINHA EM CONSERVA,-2.54,2.5,1.84,2.08,-0.98,0.0,1.93,1.47,0.39,1.63,3.47,-0.3,0.75,0.65
155,SALSICHA EM CONSERVA,0.0,0.0,0.0,-0.39,0.0,-2.98,1.41,-1.62,0.0,0.0,0.0,0.0,0.0,-0.14
156,CARNE EM CONSERVA,0.0,0.0,0.0,-0.99,0.0,0.0,1.08,-2.87,0.0,0.0,0.0,0.0,0.0,-0.33
157,PATÊ,-3.69,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25
158,SOPA  DESIDRATADA,0.0,-1.09,-1.44,0.0,-1.48,-1.58,0.0,0.0,0.0,0.0,0.46,0.88,0.0,-1.24
159,AZEITONA,-2.0,0.0,0.81,3.05,1.22,0.72,1.29,0.0,2.7,-0.93,-2.27,1.59,2.42,0.54
160,MILHO-VERDE EM CONSERVA,-3.25,-4.66,-7.93,-0.88,-0.75,0.88,-3.99,3.67,-3.45,-4.64,0.69,-2.33,-2.5,-3.17
161,ATUM EM CONSERVA,-1.35,0.99,0.77,0.0,-2.49,-0.46,0.0,-1.48,-1.0,0.15,0.0,0.0,0.0,-1.2
162,SAL E CONDIMENTOS,0.12,1.34,-0.93,4.51,2.44,1.21,2.28,3.17,2.19,-0.05,0.17,-2.74,1.47,1.36
163,LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.0,0.0,2.31
164,ATOMATADO,0.05,1.77,-0.41,3.78,2.71,-1.29,2.15,0.36,0.12,-0.42,0.51,0.64,3.32,1.28
165,ALHO,0.58,0.0,-3.62,6.47,2.37,5.63,3.88,5.22,4.07,-1.21,-0.27,-5.82,0.14,1.23
166,SAL,0.0,0.0,0.0,0.0,0.0,1.06,0.84,5.43,0.0,0.0,0.9,0.0,2.94,1.85
167,FERMENTO,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,-3.01,0.0,1.33
168,MAIONESE,-0.67,0.45,0.77,0.5,2.75,2.67,-0.5,0.28,0.0,0.18,-1.35,2.31,-0.47,0.94
169,VINAGRE,0.0,0.0,0.0,-0.69,0.0,0.0,3.54,0.0,0.0,0.0,0.0,0.0,0.0,1.38
170,CALDO CONCENTRADO,-2.12,-0.26,4.38,2.63,-0.64,0.14,0.0,2.22,3.5,0.0,0.0,1.65,0.0,1.02
171,TEMPERO MISTO,0.0,3.01,-0.37,11.99,3.17,0.42,1.39,-0.14,2.88,0.92,0.34,0.33,0.47,2.23
172,ALIMENTAÇÃO FORA DO DOMICÍLIO,0.24,0.14,0.41,-0.15,0.53,-0.62,0.44,0.4,0.05,0.06,1.32,0.69,-0.43,0.32
173,ALIMENTAÇÃO FORA DO DOMICÍLIO,0.24,0.14,0.41,-0.15,0.53,-0.62,0.44,0.4,0.05,0.06,1.32,0.69,-0.43,0.32
174,REFEIÇÃO,0.15,-0.15,0.37,0.98,0.6,-1.28,0.45,0.0,0.08,-0.57,2.13,0.18,-0.17,0.28
175,LANCHE,0.67,0.91,0.18,-0.67,0.53,1.04,0.98,1.18,1.36,0.89,0.31,1.73,-0.72,0.62
176,CAFÉ DA MANHÃ,-1.13,-0.45,-1.24,0.69,3.81,-0.55,-1.79,0.0,-2.88,0.0,0.0,-2.25,0.0,0.64
177,REFRIGERANTE E ÁGUA MINERAL,1.23,-0.13,0.41,-3.19,-2.44,-1.01,-0.62,0.65,1.91,-1.79,-0.6,-0.44,1.32,-0.84
178,CAFEZINHO,-0.04,0.02,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,1.45
179,CERVEJA,-0.15,1.97,1.16,-2.96,0.44,-1.54,-0.23,1.4,-1.74,3.37,0.65,1.66,-1.72,0.15
180,OUTRAS BEBIDAS ALCOÓLICAS,-0.59,0.0,1.11,1.6,0.0,-1.5,2.18,-1.72,-1.24,0.0,0.0,0.39,0.0,0.11
181,DOCES,-0.24,-0.98,1.39,1.28,1.02,0.53,0.67,0.72,-1.18,1.0,0.09,1.48,-1.14,0.45
182,HABITAÇÃO,-0.45,-1.4,-2.21,-0.09,-1.18,-0.05,-0.35,-0.58,1.38,0.25,-0.95,-1.17,-1.16,-0.77
