Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
65, MORANGO,0.0,1.96,11.05,0.0,0.0,0.0,0.0,0.0,0.0,7.62,0.0,0.0,0.0,7.53
66, GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.86,0.0,0.0,0.0,0.0,0.0,5.86
67, CARNES,1.42,0.11,0.25,-0.25,0.35,1.29,-2.16,-1.97,1.05,1.3,-0.03,-0.97,-0.11,0.14
68, FÍGADO,0.0,0.0,0.0,-1.36,0.0,0.0,1.29,-1.74,-0.65,0.0,0.0,0.0,0.0,-0.28
69, CARNE DE PORCO,2.23,-0.01,0.21,-2.9,0.77,0.38,-1.21,-0.2,2.57,1.62,-1.02,-2.48,1.25,0.58
70, CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-0.52,0.0,0.0,0.0,0.0,-0.33
71, CONTRAFILÉ,5.53,1.54,0.74,-2.03,0.79,-2.42,-5.92,-0.92,-0.66,0.19,-1.61,0.12,-0.92,0.47
72, FILÉ-MIGNON,-1.7,0.0,0.0,1.22,0.0,0.0,-6.44,0.0,1.89,0.57,1.42,0.0,0.32,-1.2
73, CHÃ DE DENTRO,-2.84,0.66,-0.77,-2.41,-0.74,2.29,-3.95,-2.94,-0.21,4.32,-0.31,-0.06,-1.82,-0.82
74, ALCATRA,4.24,2.96,0.22,-1.24,-0.2,1.75,-3.5,0.41,0.55,5.65,0.19,-1.24,-0.35,0.8
75, PATINHO,-2.75,4.4,1.03,-1.92,1.33,-1.07,-3.95,-3.35,-1.23,0.14,-0.26,-1.01,0.16,-0.57
76, LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-4.56,0.0,-0.12,0.0,0.0,0.0,0.0,-3.17
77, LAGARTO COMUM,0.0,0.0,0.0,0.0,0.46,-0.3,0.0,2.09,-0.74,0.0,1.19,0.0,-0.3,0.38
78, MÚSCULO,-1.94,0.6,-0.9,3.24,0.51,0.0,-2.88,0.0,1.39,-3.87,-2.57,0.0,2.88,-0.32
79, PÁ,0.0,-1.88,0.0,1.57,-0.55,-1.45,0.56,0.0,2.41,-4.54,0.0,0.0,1.26,-0.46
80, ACÉM,-2.54,1.26,2.13,2.34,-0.54,4.42,0.02,-2.9,6.42,2.55,-0.36,-0.33,1.89,0.32
81, PEITO,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-3.74,4.37,0.0,-1.02,0.0,1.07,1.28
82, CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.96
83, COSTELA,0.21,-1.71,-0.1,0.91,2.73,3.59,2.4,-1.33,0.55,0.43,1.64,-2.3,-1.54,0.42
84, PESCADOS,-3.24,-1.53,1.91,1.52,-4.27,1.12,-2.29,-2.63,-4.49,2.15,1.83,-4.21,0.22,-2.31
85, PEIXE-ANCHOVA,-7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.95
86, PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.27,0.0,-5.27
87, PEIXE-CORVINA,-15.59,0.0,0.0,1.35,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,-3.69
88, PEIXE-CAVALINHA,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07
89, PEIXE,0.0,-1.53,1.91,0.0,0.0,1.12,0.0,0.0,0.0,2.15,1.83,0.0,0.0,0.96
90, PEIXE-SARDINHA,0.0,0.0,0.0,7.66,-8.36,0.0,0.0,0.0,-3.77,0.0,0.0,0.0,-4.14,-5.13
91, CAMARÃO,0.73,0.0,0.0,5.31,0.0,0.0,-0.6,0.0,-10.5,0.0,0.0,-2.79,0.33,-2.72
92, PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.56,0.0,0.0,0.0,0.0,-1.56
93, PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.99,-11.25,0.0,0.0,0.0,0.0,-9.52
94, PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47,-0.47
95, PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.26,0.0,-14.26
96, PEIXE-CAÇÃO,1.6,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,-0.76,0.0,1.97
97, PEIXE-MERLUZA,0.02,0.0,0.0,-5.56,1.47,0.0,0.0,0.0,10.97,0.0,0.0,0.0,3.36,1.21
98, PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,-2.77,-1.38,0.0,0.0,0.0,0.0,0.0,-2.26
99, PEIXE-PESCADA,-3.3,0.0,0.0,1.52,-8.14,0.0,-4.5,0.0,-3.84,0.0,0.0,-1.33,0.0,-4.95
100, CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,3.77
101, PEIXE-CASTANHA,0.0,0.0,0.0,-4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7
102, PEIXE-SALMÃO,0.0,0.0,0.0,0.0,-0.39,0.0,0.0,-2.63,0.0,0.0,0.0,0.0,0.22,-0.69
103, PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.11,0.0,0.0,0.0,0.0,0.0,-2.11
104, PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,-2.29,0.0,0.0,0.0,0.0,0.0,0.0,-2.29
105, PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-1.09,0.0,0.0,0.0,0.0,0.0,0.0,-1.09
106, PEIXE-PEROA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.61,0.0,-3.61
107, PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,2.75
108, CARNES E PEIXES INDUSTRIALIZADOS,1.9,-0.16,0.52,0.6,-0.71,-1.29,0.98,-1.75,1.84,-0.14,-0.74,-0.6,-0.19,0.21
109, PRESUNTO,1.9,0.27,0.66,0.0,-1.87,-8.82,2.2,1.18,-2.7,-1.7,0.87,-1.41,1.28,-0.82
110, SALSICHA ,4.01,0.23,1.21,-4.0,-1.41,2.16,2.49,0.0,0.0,2.22,1.4,0.56,1.47,0.03
111, LINGUIÇA,2.6,-0.79,0.67,-0.44,-0.03,1.78,1.66,-2.83,5.4,2.98,-2.29,-2.21,-0.99,0.66
112, MORTADELA,0.84,-0.49,0.45,0.41,-0.65,0.0,-0.99,-0.55,0.0,-5.61,0.0,-5.6,-0.72,-0.93
113, SALAME ,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
114, CARNE-SECA E DE SOL,-0.09,0.0,0.0,1.53,0.0,0.0,0.69,-1.58,1.69,0.0,0.0,11.15,0.0,1.28
115, CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-1.11,0.0,0.0,0.0,0.0,0.0,-2.66,0.0,0.0,0.0,0.0,-1.93
116, HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
117, AVES E OVOS,1.32,-0.79,3.08,1.9,0.28,1.31,-0.28,-4.18,-2.58,-2.24,-1.27,-1.2,-0.2,-0.21
118, FRANGO INTEIRO,-2.14,2.53,-0.6,2.7,0.11,-0.19,-0.91,-5.92,-4.94,3.76,-2.81,-2.19,-1.32,-1.32
119, FRANGO EM PEDAÇOS,2.12,-2.66,4.05,-1.84,1.48,1.45,0.17,-0.27,0.86,-2.88,1.41,1.65,0.31,0.57
120, OVO DE GALINHA,3.24,1.04,8.18,3.38,-1.56,3.91,1.69,-0.08,1.41,-7.45,1.42,-2.39,0.5,0.73
121, LEITES E DERIVADOS,0.68,-1.28,1.36,0.97,1.57,-1.55,0.52,0.31,1.93,0.93,1.21,0.62,1.71,0.93
122, LEITE LONGA VIDA,2.73,-1.12,2.86,0.31,2.17,-2.56,2.07,0.8,6.19,1.49,1.87,1.83,2.07,1.87
123, LEITE CONDENSADO,0.0,-5.02,0.0,0.0,0.0,0.0,-0.22,-2.79,0.0,0.0,0.0,0.0,2.32,-2.62
124, LEITE EM PÓ,-4.31,-1.11,0.0,-0.02,1.49,0.0,-0.52,-0.52,-0.81,-0.96,1.04,-0.38,-0.22,-0.78
125, QUEIJO,0.13,0.96,0.18,0.66,1.52,-0.98,2.98,2.3,-0.71,0.52,0.78,-0.32,1.94,0.83
126, CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,1.42
127, IOGURTE E BEBIDAS LÁCTEAS,0.44,-6.35,-3.17,4.98,-0.94,0.8,-1.96,-1.14,3.19,-0.15,-2.48,-2.58,0.37,-0.73
128, MANTEIGA,0.0,0.0,0.0,2.73,0.0,0.0,3.9,0.22,0.4,0.0,0.0,1.16,0.0,1.55
129, PANIFICADOS,1.54,1.21,-0.25,-1.87,-0.73,-0.59,-0.4,1.02,-1.95,-0.58,-0.96,0.89,0.06,-0.27
130, BISCOITO,0.75,0.73,0.3,-0.39,-0.37,-0.52,-0.12,1.54,0.51,-3.27,-2.33,-0.64,0.9,-0.1
131, PÃO FRANCÊS,1.2,0.62,-0.37,-2.64,-0.9,-1.94,-0.6,0.71,-3.37,-0.38,-0.13,0.03,0.1,-0.67
132, PÃO DOCE,4.38,0.87,-0.93,0.0,0.64,2.24,1.05,0.98,-0.45,1.75,0.0,0.97,-2.57,0.9
133, PÃO DE FORMA,3.31,5.95,-0.62,0.0,-1.45,3.75,0.0,0.0,0.0,3.77,-1.74,9.97,2.11,1.44
134, BOLO,2.25,-0.44,0.74,-1.02,-0.88,-0.13,0.08,2.22,1.95,-0.01,-1.11,0.65,-3.23,0.04
135, PÃO DE QUEIJO,0.0,0.0,-1.19,0.0,0.0,2.84,0.0,0.0,0.0,0.0,-1.25,0.0,0.0,-0.58
136, ÓLEOS E GORDURAS,-2.86,-4.45,-8.78,0.48,-3.27,-0.53,-5.15,-2.38,-2.51,-6.57,-2.59,-6.41,-4.68,-4.03
137, ÓLEO DE SOJA,-6.27,-6.76,-10.22,0.93,-5.73,-1.89,-8.37,-3.07,-3.35,-9.39,-3.2,-9.61,-6.98,-6.3
138, AZEITE DE OLIVA,-1.84,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,0.0,0.62
139, MARGARINA,0.34,0.46,-4.34,0.1,-1.02,1.16,1.26,-1.48,-1.07,-0.4,-0.03,-1.69,1.55,-0.63
140, BEBIDAS E INFUSÕES,1.19,-0.32,0.42,-0.27,0.85,-0.73,-0.66,-1.76,0.21,0.05,0.01,0.25,-0.52,0.25
141, SUCO DE FRUTAS,0.67,0.3,0.42,-1.21,0.04,-1.42,0.27,0.64,2.84,0.89,0.74,-0.66,0.37,0.36
142, AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-3.04,0.0,0.0,0.0,0.0,0.0,0.0,-3.04
143, CAFÉ MOÍDO,1.29,1.6,1.13,-0.12,2.96,-2.23,0.53,-3.68,-0.42,0.05,0.66,1.82,1.21,1.0
144, CAFÉ SOLÚVEL,0.0,3.43,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53
145, CHÁ,0.0,-4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-2.17,-2.66
146, REFRIGERANTE E ÁGUA MINERAL,0.78,0.45,-0.5,-1.23,0.58,0.38,0.71,-0.59,0.53,0.25,-0.68,-0.41,-0.39,0.21
147, CERVEJA,2.92,-1.02,1.52,0.57,0.01,-0.58,-0.37,-3.08,0.26,-1.17,0.44,-0.13,-2.02,0.16
148, OUTRAS BEBIDAS ALCOÓLICAS,-0.32,0.53,0.07,1.61,-0.22,0.53,-0.4,0.55,-2.74,-0.33,0.01,0.1,0.0,-0.19
149, ENLATADOS E CONSERVAS,2.16,-0.62,0.88,-1.12,0.72,0.08,0.1,0.68,1.9,0.8,1.08,1.1,1.55,0.64
150, COCO RALADO,0.0,0.0,0.0,0.0,0.07,-3.05,0.0,0.0,0.0,0.52,0.0,0.0,0.32,0.01
151, ERVILHA EM CONSERVA,-2.65,-4.63,0.0,0.0,0.0,2.32,0.0,0.0,-2.03,0.0,0.0,0.0,-2.83,-3.27
152, PALMITO EM CONSERVA,4.78,0.0,-0.32,0.0,-1.81,0.0,0.0,0.0,0.0,0.27,3.06,0.33,0.0,-0.35
153, PEPINO EM CONSERVA,0.0,-2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,-1.87,-1.38
154, SARDINHA EM CONSERVA,2.19,2.0,3.41,-2.39,0.44,0.0,0.1,1.44,5.95,1.93,2.15,3.35,4.01,1.14
155, SALSICHA EM CONSERVA,0.0,0.0,0.0,5.96,0.0,1.59,-0.01,1.88,0.0,0.0,0.0,0.0,0.0,2.03
156, CARNE EM CONSERVA,0.0,0.0,0.0,-2.69,0.0,0.0,2.59,0.68,0.0,0.0,0.0,0.0,0.0,-0.18
157, PATÊ,6.99,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18
158, SOPA  DESIDRATADA,0.0,-0.24,1.24,0.0,1.61,0.92,0.0,0.0,0.0,0.0,-1.55,-0.46,0.0,0.93
159, AZEITONA,4.32,0.0,2.0,0.36,0.54,-0.07,-0.8,0.0,1.17,0.28,2.02,3.71,1.15,1.17
160, MILHO-VERDE EM CONSERVA,-0.98,0.32,-3.01,1.41,-0.64,0.04,-3.47,-3.29,1.86,0.29,-3.7,-3.45,1.72,-0.87
161, ATUM EM CONSERVA,1.08,1.4,1.63,0.0,5.09,-0.53,0.0,-0.49,-0.61,1.88,0.0,0.0,0.0,2.62
162, SAL E CONDIMENTOS,2.56,0.69,0.88,1.29,2.28,-0.63,1.82,1.89,0.55,1.54,1.67,2.51,1.6,1.63
163, LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.81,0.0,0.0,0.0,0.0,-0.81
164, ATOMATADO,-0.26,-0.41,0.39,1.95,-0.14,2.83,3.14,0.9,0.36,-0.23,0.43,0.86,-3.05,0.15
165, ALHO,3.79,0.0,1.87,1.61,5.92,-7.93,2.32,4.13,0.45,2.38,3.47,3.9,7.56,3.44
166, SAL ,0.0,0.0,0.0,0.0,0.0,1.61,-0.33,-3.3,0.0,0.0,-0.34,0.0,1.53,-0.43
167, FERMENTO,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,1.16,0.0,1.12
168, MAIONESE,5.83,-0.66,1.49,-0.81,0.19,3.14,0.28,0.48,0.0,1.86,2.36,2.45,2.73,1.2
169, VINAGRE,0.0,0.0,0.0,0.89,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.91
170, CALDO CONCENTRADO,3.11,0.53,-2.12,1.78,6.93,0.2,0.0,-0.88,-0.33,0.0,0.0,0.85,0.0,2.32
171, TEMPERO MISTO,0.0,5.04,1.14,0.63,1.13,0.93,2.24,1.75,3.82,4.66,2.33,0.2,-0.59,2.2
172, ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.46,0.74,0.5,0.12,0.21,0.95,-0.39,-0.48,-0.95,0.4,-0.84,0.25,0.57,0.06
173, ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.46,0.74,0.5,0.12,0.21,0.95,-0.39,-0.48,-0.95,0.4,-0.84,0.25,0.57,0.06
174, REFEIÇÃO,-0.6,1.32,0.85,0.23,0.67,1.12,-1.02,-0.17,-0.9,0.47,-1.8,0.38,-0.02,0.27
175, LANCHE,-0.92,0.03,0.3,-0.4,-0.9,0.86,-0.91,-0.95,-0.5,0.13,-0.25,0.34,0.21,-0.44
176, CAFÉ DA MANHÃ,1.49,0.5,2.52,0.16,-3.11,-1.29,1.79,0.0,-0.35,0.0,0.0,1.3,0.0,-0.63
177, REFRIGERANTE E ÁGUA MINERAL,0.36,0.28,0.14,2.35,0.33,1.73,0.26,-0.49,1.64,0.47,0.72,0.43,-0.1,0.52
178, CAFEZINHO,1.3,0.14,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-2.22,0.0,0.0,-0.05
179, CERVEJA,0.5,-2.28,-0.1,-1.04,0.28,-1.25,1.7,-1.13,-2.14,-0.29,1.68,-0.82,3.79,-0.22
180, OUTRAS BEBIDAS ALCOÓLICAS,0.3,0.0,0.18,2.45,0.0,-0.05,-3.77,0.38,-1.59,0.0,0.0,0.11,0.0,0.17
181, DOCES,1.91,0.3,-0.57,0.84,0.05,0.44,0.54,-1.83,-2.35,1.84,2.31,-1.34,3.71,0.3
182, HABITAÇÃO,1.57,1.98,1.28,4.72,2.39,0.99,1.28,2.04,2.62,2.77,0.92,2.08,4.03,2.14
183, ENCARGOS E MANUTENÇÃO,0.3,0.21,0.25,0.43,0.41,0.37,0.01,0.07,0.08,1.12,0.12,0.38,0.04,0.36
184, ALUGUEL E TAXAS,0.41,0.21,0.13,0.72,0.5,0.43,0.25,0.0,0.06,1.65,0.18,0.45,0.32,0.46
