Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
70, CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,1.13,0.0,0.0,0.0,0.0,1.34
71, CONTRAFILÉ,0.29,-2.89,-1.13,4.91,-0.37,0.44,0.96,0.67,-0.72,-1.66,0.28,0.32,-3.68,-0.43
72, FILÉ-MIGNON,-2.56,0.0,0.0,-5.22,0.0,0.0,0.76,0.0,0.19,0.6,1.18,0.0,-2.82,-0.94
73, CHÃ DE DENTRO,4.64,0.12,-2.26,0.62,-0.58,-1.36,0.91,1.78,-0.43,2.25,1.48,-1.66,1.1,0.15
74, ALCATRA,2.51,-4.23,-0.73,1.0,-1.19,0.57,-1.27,-1.39,-4.58,2.05,0.78,-1.18,-0.8,-0.81
75, PATINHO,3.88,2.21,0.02,3.74,1.55,-2.18,1.68,2.08,-0.62,2.51,1.36,0.77,2.3,1.57
76, LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-1.42,0.0,0.67,0.0,0.0,0.0,0.0,-0.74
77, LAGARTO COMUM,0.0,0.0,0.0,0.0,2.39,2.36,0.0,-2.31,0.86,0.0,2.0,0.0,0.61,1.88
78, MÚSCULO,0.38,-2.44,-1.91,-2.29,0.23,0.0,-2.46,0.0,-1.88,1.57,1.03,0.08,-0.79,-0.83
79, PÁ,0.0,-2.36,0.0,-1.81,3.8,1.44,2.28,0.0,-2.48,-3.21,0.0,0.0,-3.15,-0.09
80, ACÉM,4.29,1.46,-1.23,-1.81,0.32,-0.1,0.44,-2.48,-2.43,-9.74,3.69,0.81,-2.46,-0.13
81, PEITO,0.0,0.0,0.0,0.0,0.0,0.0,0.76,-2.28,-4.11,0.0,2.5,0.0,-4.86,-1.32
82, CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.94,-3.94
83, COSTELA,1.0,2.84,-2.39,-5.38,-0.02,2.52,2.8,-1.35,-2.46,-2.29,3.14,-0.88,1.48,0.22
84, PESCADOS,1.83,-3.19,3.18,-0.39,1.22,-0.75,-0.97,2.49,0.26,-0.71,-3.67,0.04,-2.6,0.29
85, PEIXE-ANCHOVA,-3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.01
86, PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,1.05
87, PEIXE-CORVINA,-4.51,0.0,0.0,-4.01,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,-0.84
88, PEIXE-CAVALINHA,0.0,0.0,0.0,-1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.44
89, PEIXE,0.0,-3.19,3.18,0.0,0.0,-0.75,0.0,0.0,0.0,-0.71,-3.67,0.0,0.0,-0.57
90, PEIXE-SARDINHA,0.0,0.0,0.0,2.41,3.64,0.0,0.0,0.0,2.86,0.0,0.0,0.0,-8.45,3.0
91, CAMARÃO,4.97,0.0,0.0,6.41,0.0,0.0,-0.04,0.0,-1.53,0.0,0.0,-2.8,1.4,1.94
92, PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.74,0.0,0.0,0.0,0.0,-1.74
93, PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,-1.48,0.0,0.0,0.0,0.0,1.09
94, PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.89,-2.89
95, PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.79,0.0,-3.79
96, PEIXE-CAÇÃO,-4.61,0.0,0.0,0.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,-2.07
97, PEIXE-MERLUZA,4.68,0.0,0.0,-0.03,1.22,0.0,0.0,0.0,-0.22,0.0,0.0,0.0,1.37,2.01
98, PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,7.36,-1.81,0.0,0.0,0.0,0.0,0.0,3.66
99, PEIXE-PESCADA,1.92,0.0,0.0,-2.16,0.28,0.0,-3.2,0.0,0.56,0.0,0.0,4.31,0.0,-1.38
100, CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,4.9
101, PEIXE-CASTANHA,0.0,0.0,0.0,-1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.49
102, PEIXE-SALMÃO,0.0,0.0,0.0,0.0,1.29,0.0,0.0,2.49,0.0,0.0,0.0,0.0,-2.6,1.06
103, PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,2.76
104, PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,-0.97,0.0,0.0,0.0,0.0,0.0,0.0,-0.97
105, PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-1.39,0.0,0.0,0.0,0.0,0.0,0.0,-1.39
106, PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,2.15
107, PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.43,-8.43
108, CARNES E PEIXES INDUSTRIALIZADOS,-0.22,-0.55,-0.04,-0.07,-1.46,0.97,-0.97,-1.72,-3.16,0.58,-0.73,-2.49,1.59,-0.99
109, PRESUNTO,-1.22,0.69,-0.87,0.0,1.66,0.85,-0.3,2.31,-1.62,-0.66,-0.54,-4.05,5.15,0.27
110, SALSICHA,-2.25,-1.53,3.42,-1.77,-2.02,-0.38,-3.4,0.0,0.0,1.9,-5.21,-4.22,1.32,-1.46
111, LINGUIÇA,3.16,0.36,0.23,1.34,-1.81,2.82,0.5,-3.15,-2.36,0.27,0.18,-3.32,0.46,-0.65
112, MORTADELA,-2.03,-1.18,-0.09,0.46,-3.24,0.0,-1.44,-4.35,0.0,1.65,0.0,0.78,1.39,-1.56
113, SALAME,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8
114, CARNE-SECA E DE SOL,-1.82,0.0,0.0,-0.22,0.0,0.0,-1.12,2.1,-3.7,0.0,0.0,2.93,0.0,-1.82
115, CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-2.77,0.0,0.0,0.0,0.0,0.0,-2.67,0.0,0.0,0.0,0.0,-2.72
116, HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,-4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.15
117, AVES E OVOS,-1.92,-0.7,-1.1,-1.07,-1.67,-2.34,-1.8,-1.51,-1.67,-3.34,-0.26,-1.83,0.6,-1.56
118, FRANGO INTEIRO,0.05,1.9,-0.38,0.78,-4.18,-0.6,-2.14,-2.22,-0.62,-2.37,1.02,-0.95,3.27,-1.29
119, FRANGO EM PEDAÇOS,-2.58,-0.12,-0.81,-0.54,0.91,-1.31,-2.95,1.02,-1.77,-2.85,-0.77,-0.42,-0.1,-0.77
120, OVO DE GALINHA,-2.38,-4.21,-2.77,-6.69,-3.19,-6.93,-0.05,-0.37,-5.44,-5.4,-3.55,-4.92,-1.65,-3.28
121, LEITE E DERIVADOS,0.6,1.5,-0.72,-0.58,-0.44,-0.21,-1.32,-0.84,-1.16,1.14,-0.35,0.94,1.34,-0.15
122, LEITE LONGA VIDA,2.16,2.77,-1.03,-0.89,-0.5,-0.01,-1.02,-0.83,-1.21,3.03,0.19,2.25,2.81,0.41
123, LEITE CONDENSADO,0.0,-0.8,0.0,0.0,0.0,0.0,-3.81,-4.46,0.0,0.0,0.0,0.0,-3.01,-2.74
124, LEITE EM PÓ,-2.59,-1.4,0.0,-2.43,-1.61,0.0,-2.07,-0.63,-2.06,-0.62,-0.73,-3.1,-1.3,-1.87
125, QUEIJO,-0.59,0.63,-0.35,0.36,-0.83,0.54,-0.01,-0.17,-0.7,-2.48,-1.82,0.73,-0.58,-0.54
126, CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.62
127, IOGURTE E BEBIDAS LÁCTEAS,3.3,-0.18,-0.11,0.1,1.22,-1.64,1.14,-1.42,0.91,0.32,-0.31,0.23,2.41,0.72
128, MANTEIGA,0.0,0.0,0.0,2.3,0.0,0.0,-1.25,-0.46,-2.35,0.0,0.0,-0.65,0.0,-0.84
129, PANIFICADOS,0.47,0.13,0.23,-0.55,-0.7,-0.07,0.28,-2.01,-0.45,-0.24,-1.07,0.13,0.07,-0.32
130, BISCOITO,0.66,1.22,-0.53,-0.52,0.47,1.51,-0.05,-0.05,1.65,1.23,-0.78,-0.12,0.67,0.45
131, PÃO FRANCÊS,0.92,-0.45,0.69,-0.7,-0.92,-0.36,0.3,-2.48,-1.75,-1.03,-1.0,0.17,-1.22,-0.55
132, PÃO DOCE,0.74,-0.31,2.12,0.0,-1.37,-0.61,2.66,-3.17,3.19,-1.05,0.0,0.43,1.83,-0.09
133, PÃO DE FORMA,-1.75,-0.88,-1.12,0.0,-2.07,2.25,0.0,0.0,0.0,-1.83,0.99,-1.15,0.84,-1.48
134, BOLO,-1.85,0.81,-1.29,1.03,0.36,0.0,0.13,-4.41,-0.83,1.82,-6.32,2.21,8.75,-0.14
135, PÃO DE QUEIJO,0.0,0.0,-0.17,0.0,0.0,-3.59,0.0,0.0,0.0,0.0,-0.72,0.0,0.0,-0.85
136, ÓLEOS E GORDURAS,1.48,2.72,1.14,-0.96,-0.16,-1.16,-1.56,-0.56,0.85,1.54,-0.82,0.42,2.44,0.45
137, ÓLEO DE SOJA,3.19,4.33,1.95,-2.46,-0.2,-0.57,-1.46,-1.05,1.69,2.7,-0.85,0.65,3.2,0.99
138, AZEITE DE OLIVA,-1.11,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.27
139, MARGARINA,1.08,-0.3,-1.08,0.24,-0.64,-1.86,-1.73,0.01,-0.42,-0.78,-0.73,-0.31,0.63,-0.4
140, BEBIDAS E INFUSÕES,1.26,1.07,-1.07,-0.04,-0.21,0.35,-0.59,-0.37,-1.05,-0.44,0.77,0.01,0.42,-0.05
141, SUCO DE FRUTAS,1.68,-0.25,-0.05,1.93,0.06,1.19,-1.11,0.68,1.72,-0.72,-1.28,-0.28,1.65,0.28
142, AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,-3.75
143, CAFÉ MOÍDO,1.76,-1.33,-2.29,0.74,-1.28,-1.22,1.99,-3.06,-0.87,-2.33,0.16,-0.78,0.24,-0.95
144, CAFÉ SOLÚVEL,0.0,-0.27,0.0,-0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41
145, CHÁ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.55,0.89
146, REFRIGERANTE E ÁGUA MINERAL,2.32,2.01,-0.59,-0.69,-0.41,1.54,0.25,1.06,-0.04,0.11,1.22,0.21,0.94,0.39
147, CERVEJA,-0.09,1.46,-0.72,-0.28,0.92,-0.11,0.52,0.62,-4.44,0.51,1.68,1.2,-0.53,0.19
148, OUTRAS BEBIDAS ALCOÓLICAS,-0.58,0.23,-1.42,1.64,0.11,-0.22,-1.3,0.51,1.11,-0.61,-1.29,-0.22,0.0,-0.15
149, ENLATADOS E CONSERVAS,-1.04,-0.56,1.27,0.59,-0.54,0.53,-0.55,0.31,1.89,-0.75,-0.79,0.2,-0.31,-0.2
150, COCO RALADO,0.0,0.0,0.0,0.0,0.96,0.49,0.0,0.0,0.0,0.13,0.0,0.0,-0.11,0.64
151, ERVILHA EM CONSERVA,-0.58,-1.81,0.0,0.0,0.0,1.69,0.0,0.0,0.57,0.0,0.0,0.0,0.14,-0.83
152, PALMITO EM CONSERVA,-1.94,0.0,3.85,0.0,-1.05,0.0,0.0,0.0,0.0,0.68,-0.49,-0.16,0.0,-0.16
153, PEPINO EM CONSERVA,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,-0.17,-0.19
154, SARDINHA EM CONSERVA,-2.13,-1.72,-0.66,1.47,-2.36,0.0,-1.18,0.57,3.19,-1.0,0.29,0.7,1.9,-0.78
155, SALSICHA EM CONSERVA,0.0,0.0,0.0,-0.35,0.0,-0.21,1.63,3.81,0.0,0.0,0.0,0.0,0.0,1.26
156, CARNE EM CONSERVA,0.0,0.0,0.0,-0.32,0.0,0.0,-1.05,0.12,0.0,0.0,0.0,0.0,0.0,-0.57
157, PATÊ,2.68,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
158, SOPA DESIDRATADA,0.0,0.23,2.88,0.0,-0.19,0.17,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,0.65
159, AZEITONA,0.17,0.0,0.92,1.65,0.5,-2.68,-0.74,0.0,1.86,-0.95,-0.78,1.15,-4.3,0.16
160, MILHO-VERDE EM CONSERVA,-0.32,0.99,1.55,-0.78,0.87,2.66,-0.13,-3.29,0.96,-4.16,-4.13,-1.87,0.93,-0.09
161, ATUM EM CONSERVA,-3.05,0.36,0.02,0.0,-1.09,1.52,0.0,-2.03,1.94,1.01,0.0,0.0,0.0,-0.69
162, SAL E CONDIMENTOS,0.0,0.14,-0.02,-1.69,-0.57,-0.68,-0.52,-4.32,-3.42,-0.02,-1.02,0.95,-1.79,-0.77
163, LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8,0.0,0.0,0.0,0.0,-5.8
164, ATOMATADO,-1.31,0.36,-1.99,-2.8,-0.27,-0.85,-1.99,-0.34,-4.24,-0.98,0.24,0.59,-1.03,-1.11
165, ALHO,2.16,0.0,6.41,-8.03,-1.6,-1.12,-4.21,-10.37,-3.58,0.79,-1.31,1.61,-6.97,-1.04
166, SAL,0.0,0.0,0.0,0.0,0.0,0.08,5.39,0.5,0.0,0.0,-1.87,0.0,0.48,1.58
167, FERMENTO,0.0,-1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,1.33,0.0,0.42
168, MAIONESE,-2.99,0.03,-3.55,-2.41,-0.6,-1.78,-0.28,-0.21,0.0,-2.21,-0.22,-0.38,-0.44,-1.42
169, VINAGRE,0.0,0.0,0.0,5.18,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,2.53
170, CALDO CONCENTRADO,1.14,0.92,-1.68,1.77,0.39,0.82,0.0,1.33,-1.98,0.0,0.0,0.55,0.0,0.02
171, TEMPERO MISTO,0.0,0.24,-1.23,0.19,-0.06,-0.25,1.89,-0.4,0.68,2.1,-2.57,0.55,2.07,0.29
172, ALIMENTAÇÃO FORA DO DOMICÍLIO,0.9,0.32,0.16,0.19,0.22,2.06,0.54,-0.29,0.24,-1.7,-0.08,0.16,1.07,0.21
173, ALIMENTAÇÃO FORA DO DOMICÍLIO,0.9,0.32,0.16,0.19,0.22,2.06,0.54,-0.29,0.24,-1.7,-0.08,0.16,1.07,0.21
174, REFEIÇÃO,1.31,0.24,0.24,1.09,0.14,3.13,1.28,-0.23,0.53,-3.51,0.64,-0.2,0.75,0.24
175, LANCHE,-0.33,0.58,-0.13,-1.03,0.18,-0.2,0.13,-0.02,0.05,0.65,-1.8,0.39,2.06,0.01
176, CAFÉ DA MANHÃ,0.9,1.76,0.43,2.05,0.19,3.72,-2.39,0.0,2.0,0.0,0.0,0.71,0.0,0.77
177, REFRIGERANTE E ÁGUA MINERAL,0.9,-1.19,-0.15,1.01,2.27,1.33,3.09,-0.54,0.2,3.66,-0.62,-0.44,0.35,1.21
178, CAFEZINHO,1.71,2.86,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.69,0.0,0.0,1.4
179, CERVEJA,-0.11,0.95,0.36,-0.6,-0.37,0.91,-0.42,-1.56,-0.24,1.27,0.26,1.49,1.76,-0.04
180, OUTRAS BEBIDAS ALCOÓLICAS,0.13,0.0,0.49,0.52,0.0,0.67,0.29,-1.25,0.09,0.0,0.0,1.74,0.0,0.09
181, DOCES,0.08,-0.13,1.28,-1.95,0.59,1.88,-1.47,1.62,-1.04,-0.13,1.45,1.28,-1.81,0.12
182, HABITAÇÃO,1.09,1.19,1.02,0.92,1.64,0.95,1.03,0.47,0.46,0.89,3.92,0.82,1.86,1.27
183, ENCARGOS E MANUTENÇÃO,-0.32,-0.07,0.02,0.13,0.81,0.2,0.36,0.34,0.04,0.11,0.05,-0.04,-0.11,0.25
