Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
29, MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.92
30, AÇÚCARES E DERIVADOS,-1.69,-3.73,2.4,-3.66,-1.75,-3.04,-4.16,-1.1,-2.82,-2.58,-2.37,-1.62,-3.46,-1.94
31, AÇÚCAR REFINADO,-2.56,-2.34,0.0,0.0,-3.12,0.0,-3.95,-2.43,0.0,-3.6,0.0,0.0,0.0,-2.92
32, AÇÚCAR CRISTAL,-2.52,-9.48,6.25,-6.08,-2.57,-5.7,-6.37,-1.23,-3.92,-7.52,-4.87,-2.17,-4.49,-3.05
33, BALAS,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.67
34, CHOCOLATE EM BARRA E BOMBOM,-1.92,-2.88,-2.6,1.59,-1.26,-2.37,-0.98,0.0,0.29,3.31,-0.78,0.5,-2.87,-1.15
35, SORVETE,-1.08,-1.29,-2.3,0.17,-1.55,-2.42,0.0,1.87,-0.5,-1.53,1.74,-1.8,-4.88,-1.35
36, CHOCOLATE E ACHOCOLATADO EM PÓ,0.4,-3.07,-0.07,-1.82,-0.58,-0.15,1.14,1.36,0.3,-1.93,0.71,-1.36,0.32,-0.57
37, DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,2.45,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74
38, HORTALIÇAS E VERDURAS,-2.17,4.0,-5.71,-4.75,2.5,4.59,-2.82,-0.11,-2.49,-6.36,1.94,-5.02,-0.45,-0.54
39, ALFACE,1.22,8.59,-6.53,-6.08,2.43,9.76,-1.01,-0.6,-5.04,-10.51,2.33,-2.03,-0.05,0.04
40, COENTRO,0.0,0.0,0.0,-4.24,0.0,0.0,0.0,0.0,-0.76,0.0,0.0,0.0,0.0,-2.63
41, COUVE,2.62,0.0,-5.69,0.0,4.63,1.22,0.0,0.0,0.0,-4.87,-2.05,-1.25,0.0,0.65
42, COUVE-FLOR,-8.12,-5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.05,0.0,-6.85
43, REPOLHO,-13.09,-4.91,-4.87,-4.09,-0.97,-4.69,-11.92,0.0,-3.89,4.12,4.61,-10.78,-3.94,-4.02
44, CHEIRO-VERDE,-2.23,0.0,0.0,0.0,3.49,4.28,-1.04,-0.03,-0.38,0.0,0.0,-6.28,0.6,0.33
45, AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,6.86
46, BRÓCOLIS,-2.91,13.29,-0.39,0.0,2.87,-1.3,0.0,0.0,0.0,-1.97,0.0,0.0,0.0,1.98
47, FRUTAS,1.31,0.95,-2.83,1.8,1.36,-3.98,0.55,-3.06,0.71,-0.27,0.89,-2.46,3.97,0.35
48, BANANA-DA-TERRA,0.0,0.0,0.0,4.86,0.0,0.0,0.0,0.0,-4.11,0.0,0.0,-2.29,0.0,-0.16
49, ABACAXI,3.17,9.04,1.72,-7.0,6.66,0.0,0.0,0.0,0.0,15.51,15.63,0.0,3.15,4.32
50, ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,6.75
51, BANANA-D'ÁGUA,-1.48,2.42,0.0,0.0,4.6,-4.14,0.0,0.0,0.0,-4.83,0.0,0.0,10.65,2.59
52, BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,-3.59,-0.76
53, BANANA-PRATA,-0.59,-1.8,-13.79,-4.15,-3.68,-9.96,-0.74,-10.7,-7.57,-4.63,-5.57,-5.47,0.0,-5.68
54, LARANJA-BAÍA,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
55, LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,7.52,0.0,0.0,0.0,0.0,0.0,0.0,7.52
56, MAÇÃ,4.02,-0.55,3.49,5.52,7.06,2.49,1.68,-2.73,4.04,-1.94,1.31,-1.07,2.66,3.25
57, MAMÃO,-1.94,-3.32,-9.18,5.26,-0.04,-1.71,-3.19,-0.89,-0.79,0.05,0.0,-8.56,3.95,-1.53
58, MANGA,-8.77,0.0,0.0,-8.09,0.0,-6.68,0.0,0.0,0.0,0.0,0.0,-4.49,0.0,-7.91
59, MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.54,35.38,0.0,0.0,0.0,0.0,33.74
60, MELANCIA,0.0,0.0,-2.6,-3.08,0.8,0.2,7.76,-8.01,5.83,-3.56,1.13,0.0,1.93,0.79
61, PÊRA,-3.18,0.0,0.0,0.0,-2.45,-2.98,0.0,0.0,0.0,0.0,4.34,1.42,0.0,-2.31
62, TANGERINA,0.0,0.95,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,-2.46,0.0,0.88
63, UVA,11.02,0.0,3.19,-3.37,-6.39,-4.34,-7.04,7.63,-1.82,-2.55,9.33,8.59,-2.91,-1.83
64, LARANJA-PERA,2.86,0.0,4.63,19.88,4.02,-1.03,0.79,11.33,4.78,2.49,0.26,-2.46,7.0,4.71
65, MORANGO,0.0,9.76,7.16,0.0,0.0,0.0,0.0,0.0,0.0,17.45,0.0,0.0,0.0,11.32
66, GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01
67, CARNES,0.61,-0.62,0.05,-1.5,0.96,0.28,-1.07,0.46,0.63,0.86,0.04,0.91,-0.48,0.22
68, FÍGADO,0.0,0.0,0.0,-3.65,0.0,0.0,-2.98,-1.29,-3.61,0.0,0.0,0.0,0.0,-3.1
69, CARNE DE PORCO,-0.61,-0.18,-1.48,-2.18,2.69,1.2,0.19,-1.41,3.57,1.19,0.4,-0.69,2.67,0.66
70, CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.96,-1.39,0.0,0.0,0.0,0.0,-2.32
71, CONTRAFILÉ,3.47,-2.77,-0.06,-1.44,0.54,-0.27,-5.78,-0.62,0.22,-0.66,-0.22,2.88,-2.16,-0.3
72, FILÉ-MIGNON,5.35,0.0,0.0,-0.31,0.0,0.0,4.54,0.0,0.04,-2.59,-0.11,0.0,0.76,1.44
73, CHÃ DE DENTRO,-2.36,0.1,0.49,-7.23,-0.25,2.41,0.44,-0.82,2.76,-0.28,-0.65,1.63,-3.94,-0.3
74, ALCATRA,0.93,3.03,1.48,0.2,2.81,2.15,-1.74,2.25,1.24,1.04,0.94,4.01,-1.71,1.33
75, PATINHO,-2.14,-2.02,2.15,-2.73,0.78,2.62,-4.08,-0.22,0.29,2.25,-0.47,2.14,0.36,-0.01
76, LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-0.53,0.0,0.07,0.0,0.0,0.0,0.0,-0.34
77, LAGARTO COMUM,0.0,0.0,0.0,0.0,-0.21,-1.1,0.0,4.74,0.87,0.0,0.53,0.0,2.08,0.2
78, MÚSCULO,-0.27,1.82,-0.83,2.05,1.11,0.0,-0.39,0.0,1.86,1.14,0.42,-2.76,1.12,0.53
79, PÁ,0.0,2.57,0.0,-5.16,-1.05,-2.66,-1.21,0.0,2.27,0.65,0.0,0.0,0.66,-0.14
80, ACÉM,-4.3,0.67,-3.02,2.55,1.29,-1.12,2.76,2.24,-3.45,6.84,-2.12,-1.12,4.16,0.35
81, PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,0.49,3.06,0.0,-0.27,0.0,-0.94,0.88
82, CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,1.63
83, COSTELA,1.11,-2.76,1.49,0.36,0.53,-0.32,-2.3,3.65,0.11,1.19,0.12,0.77,-1.45,-0.24
84, PESCADOS,-0.58,4.26,0.57,3.62,-1.21,-3.41,0.31,-3.34,1.28,0.92,2.38,1.18,4.63,0.25
85, PEIXE-ANCHOVA,-5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.15
86, PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.08
87, PEIXE-CORVINA,0.05,0.0,0.0,10.5,0.0,0.0,0.0,0.0,-0.58,0.0,0.0,0.0,0.0,2.26
88, PEIXE-CAVALINHA,0.0,0.0,0.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53
89, PEIXE,0.0,4.26,0.57,0.0,0.0,-3.41,0.0,0.0,0.0,0.92,2.38,0.0,0.0,1.25
90, PEIXE-SARDINHA,0.0,0.0,0.0,-2.24,4.16,0.0,0.0,0.0,0.86,0.0,0.0,0.0,1.88,2.44
91, CAMARÃO,0.12,0.0,0.0,2.09,0.0,0.0,-6.79,0.0,4.1,0.0,0.0,1.14,0.13,0.07
92, PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,3.47
93, PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.28,3.04,0.0,0.0,0.0,0.0,-0.52
94, PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.36,8.36
95, PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.4
96, PEIXE-CAÇÃO,0.01,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.97
97, PEIXE-MERLUZA,-1.4,0.0,0.0,1.84,-1.21,0.0,0.0,0.0,-6.56,0.0,0.0,0.0,10.4,-1.38
98, PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,-1.68,-0.22,0.0,0.0,0.0,0.0,0.0,-1.09
99, PEIXE-PESCADA,0.43,0.0,0.0,-0.06,-2.69,0.0,1.11,0.0,-0.14,0.0,0.0,4.81,0.0,-0.11
100, CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.95
101, PEIXE-CASTANHA,0.0,0.0,0.0,-1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.83
102, PEIXE-SALMÃO,0.0,0.0,0.0,0.0,-7.18,0.0,0.0,-3.34,0.0,0.0,0.0,0.0,4.63,-5.44
103, PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.48,0.0,0.0,0.0,0.0,0.0,-3.48
104, PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.31
105, PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,2.82
106, PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.88,0.0,-3.88
107, PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01,9.01
108, CARNES E PEIXES INDUSTRIALIZADOS,-0.86,1.31,-0.47,-0.35,-0.16,-1.86,-0.81,1.26,-1.58,1.46,1.2,-1.25,0.46,-0.22
109, PRESUNTO,-1.8,-1.07,-2.46,0.0,-3.76,0.92,-2.21,-3.61,-3.27,3.74,-0.53,0.29,2.39,-1.93
110, SALSICHA,-0.55,2.89,-1.92,-4.15,-0.23,0.56,1.03,0.0,0.0,-0.41,-2.58,-2.2,-2.88,0.02
111, LINGUIÇA,-2.74,0.95,-0.27,3.76,0.68,-3.87,-1.26,2.44,0.25,1.77,3.28,-2.72,1.27,0.32
112, MORTADELA,-1.05,0.71,0.94,0.88,1.51,0.0,0.38,0.64,0.0,-0.21,0.0,5.96,-1.28,0.67
113, SALAME,0.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06
114, CARNE-SECA E DE SOL,3.74,0.0,0.0,-0.82,0.0,0.0,-0.99,1.3,-2.41,0.0,0.0,-0.99,0.0,-1.01
115, CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,1.85
116, HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,-1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.85
117, AVES E OVOS,-0.43,-1.58,-0.18,-1.92,0.12,1.6,0.74,-0.63,1.66,2.35,-0.17,-3.43,-1.6,-0.08
118, FRANGO INTEIRO,-2.67,-2.09,2.76,-2.54,2.17,3.16,0.54,-0.83,0.51,4.98,0.05,-3.83,-0.87,0.19
119, FRANGO EM PEDAÇOS,0.53,0.59,-2.03,-0.46,0.36,0.09,2.85,-1.64,2.95,2.1,0.04,-1.67,-1.2,0.48
120, OVO DE GALINHA,-0.34,-6.07,-2.35,-1.67,-2.57,1.16,0.31,0.38,3.88,-0.12,-0.92,-4.53,-3.22,-1.41
121, LEITE E DERIVADOS,-3.59,-0.46,-3.0,-1.92,-1.83,-2.07,-1.71,0.06,-0.22,-0.11,-1.1,-1.2,-1.67,-1.63
122, LEITE LONGA VIDA,-8.3,-1.54,-4.35,-1.96,-3.06,-2.65,-2.09,-0.39,-1.18,-0.09,-1.62,-1.42,-3.54,-2.99
123, LEITE CONDENSADO,0.0,-1.71,0.0,0.0,0.0,0.0,-3.91,3.08,0.0,0.0,0.0,0.0,-0.69,-1.07
124, LEITE EM PÓ,-1.93,-1.8,0.0,-2.12,-1.46,0.0,-1.81,1.56,-1.16,-3.03,-1.3,-2.92,-2.14,-1.36
125, QUEIJO,0.53,-0.05,-0.68,-1.97,-0.7,-2.67,-0.32,-2.14,-0.92,0.56,-0.31,-1.18,-0.06,-0.58
126, CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.11
127, IOGURTE E BEBIDAS LÁCTEAS,0.22,5.49,-1.82,0.02,0.42,0.13,0.38,-0.51,4.88,-0.14,0.97,0.75,3.41,0.89
128, MANTEIGA,0.0,0.0,0.0,-4.57,0.0,0.0,-4.3,0.22,0.77,0.0,0.0,-0.63,0.0,-1.49
129, PANIFICADOS,-1.02,-0.1,-0.82,0.56,0.25,0.12,-0.26,1.21,2.36,1.36,-0.95,-0.54,0.05,0.18
130, BISCOITO,-0.05,0.39,1.13,0.02,2.4,-0.19,-0.81,-0.38,-1.16,0.04,0.37,-1.97,0.07,0.51
131, PÃO FRANCÊS,-1.17,1.03,-1.08,1.06,-0.51,0.51,0.0,1.7,4.71,2.66,-2.11,-0.32,0.62,0.35
132, PÃO DOCE,-4.2,-0.73,-5.27,0.0,0.71,-0.23,-1.92,1.65,-0.95,-0.25,0.0,6.47,-4.16,-0.96
133, PÃO DE FORMA,-0.95,-5.24,-0.49,0.0,-0.39,-0.8,0.0,0.0,0.0,-0.87,-1.46,-1.78,-1.29,-1.28
134, BOLO,0.31,-0.61,-3.99,-2.41,0.46,-0.03,-0.17,2.52,-1.71,0.6,4.58,-0.59,-1.16,-0.21
135, PÃO DE QUEIJO,0.0,0.0,0.25,0.0,0.0,-0.7,0.0,0.0,0.0,0.0,-0.33,0.0,0.0,-0.03
136, ÓLEOS E GORDURAS,0.06,2.55,4.64,0.86,-0.16,2.28,-2.0,1.75,-1.87,1.56,0.0,0.52,0.6,0.66
137, ÓLEO DE SOJA,-1.11,3.55,5.6,0.68,-0.42,1.77,-1.95,2.19,-3.6,2.04,-0.23,1.5,0.54,0.73
138, AZEITE DE OLIVA,3.86,0.0,0.0,0.0,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.14
139, MARGARINA,-0.63,0.74,2.11,1.0,1.12,2.87,-2.08,1.25,0.85,0.63,0.9,-1.7,0.76,0.64
140, BEBIDAS E INFUSÕES,-0.15,0.06,0.35,0.91,-0.57,1.12,-2.39,0.94,0.75,0.64,0.22,0.56,0.19,-0.09
141, SUCO DE FRUTAS,-0.67,0.21,-0.83,-0.91,-0.44,-0.69,-2.94,0.53,0.27,0.06,-0.82,0.73,0.3,-0.48
142, AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-6.62,0.0,0.0,0.0,0.0,0.0,0.0,-6.62
143, CAFÉ MOÍDO,-3.13,0.97,0.25,-1.74,-0.83,2.48,-0.24,2.02,-1.26,-0.89,-1.25,-0.65,-0.34,-0.61
144, CAFÉ SOLÚVEL,0.0,-3.55,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.17
145, CHÁ,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,-0.07,0.45
146, REFRIGERANTE E ÁGUA MINERAL,1.1,-0.07,0.88,2.4,0.12,0.91,-0.96,0.11,2.09,1.21,1.08,0.5,0.8,0.61
147, CERVEJA,0.61,0.06,-0.49,0.75,-1.69,1.59,0.66,1.01,1.06,1.25,0.32,2.17,-0.13,-0.22
148, OUTRAS BEBIDAS ALCOÓLICAS,-0.26,1.36,2.1,0.27,0.08,-1.74,-2.17,2.52,1.83,1.26,1.0,0.88,0.0,0.52
149, ENLATADOS E CONSERVAS,0.75,2.17,-0.28,1.84,2.18,0.86,-0.18,1.49,-2.09,1.18,0.87,1.34,0.6,1.19
150, COCO RALADO,0.0,0.0,0.0,0.0,-1.32,2.45,0.0,0.0,0.0,-0.82,0.0,0.0,-0.2,-0.88
151, ERVILHA EM CONSERVA,1.27,2.45,0.0,0.0,0.0,-2.69,0.0,0.0,-0.08,0.0,0.0,0.0,0.94,1.36
152, PALMITO EM CONSERVA,1.92,0.0,-0.07,0.0,4.51,0.0,0.0,0.0,0.0,5.08,-0.15,-0.22,0.0,3.37
153, PEPINO EM CONSERVA,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,0.0,0.0,1.56,2.09
154, SARDINHA EM CONSERVA,3.39,1.17,-0.51,4.01,4.25,0.0,0.54,2.9,-4.79,1.79,0.31,2.13,1.17,2.15
155, SALSICHA EM CONSERVA,0.0,0.0,0.0,1.22,0.0,0.54,-1.49,-0.59,0.0,0.0,0.0,0.0,0.0,-0.38
156, CARNE EM CONSERVA,0.0,0.0,0.0,0.68,0.0,0.0,0.05,-0.89,0.0,0.0,0.0,0.0,0.0,0.25
157, PATÊ,0.74,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
158, SOPA DESIDRATADA,0.0,1.47,-2.35,0.0,1.7,2.56,0.0,0.0,0.0,0.0,2.12,0.98,0.0,0.75
159, AZEITONA,-1.47,0.0,-0.73,-0.77,1.17,2.75,-0.43,0.0,-1.63,2.03,0.66,1.37,0.01,0.46
160, MILHO-VERDE EM CONSERVA,-0.18,3.93,2.61,-2.53,-1.48,-0.92,-1.09,1.03,-2.44,-2.15,2.89,1.75,0.48,-0.16
161, ATUM EM CONSERVA,-0.24,3.11,-0.46,0.0,3.4,-0.03,0.0,1.13,1.8,0.96,0.0,0.0,0.0,1.76
162, SAL E CONDIMENTOS,-5.42,-1.24,-2.18,-1.33,-1.99,1.2,-2.14,-3.84,-3.5,-2.02,-1.34,-4.05,-2.41,-2.37
163, LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19,0.0,0.0,0.0,0.0,6.19
164, ATOMATADO,0.57,-1.35,0.53,-2.34,-0.66,0.82,-0.39,-0.95,-2.7,-1.73,-1.0,-1.96,-2.42,-0.84
165, ALHO,-13.3,0.0,-9.07,-4.84,-4.93,0.15,-6.01,-9.46,-14.77,-4.66,-4.12,-7.64,-5.68,-7.69
166, SAL,0.0,0.0,0.0,0.0,0.0,0.49,0.89,4.0,0.0,0.0,-0.45,0.0,-0.96,0.78
167, FERMENTO,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8,0.0,0.06,0.0,-0.7
168, MAIONESE,0.49,-5.52,0.64,-2.35,-2.62,0.08,-4.89,-0.87,0.0,-2.3,-1.04,-2.22,-0.2,-2.19
169, VINAGRE,0.0,0.0,0.0,3.46,0.0,0.0,-1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.9
170, CALDO CONCENTRADO,1.79,1.22,-1.52,1.48,-1.04,0.53,0.0,0.24,0.5,0.0,0.0,-1.42,0.0,-0.1
171, TEMPERO MISTO,0.0,1.66,0.33,-0.28,-0.47,3.42,0.93,1.62,1.48,0.75,1.19,-1.26,0.55,0.57
172, ALIMENTAÇÃO FORA DO DOMICÍLIO,-1.46,0.03,-0.89,0.26,0.34,0.4,2.55,0.5,0.62,1.8,0.0,-0.05,-0.17,0.16
173, ALIMENTAÇÃO FORA DO DOMICÍLIO,-1.46,0.03,-0.89,0.26,0.34,0.4,2.55,0.5,0.62,1.8,0.0,-0.05,-0.17,0.16
174, REFEIÇÃO,-2.15,-0.32,-1.28,-0.38,0.44,0.97,5.35,0.25,0.89,2.98,-0.15,-0.27,0.21,0.14
175, LANCHE,-0.29,0.68,-0.54,0.19,0.38,-0.42,-0.15,0.55,0.12,-0.59,0.35,-0.19,-0.53,0.04
176, CAFÉ DA MANHÃ,-1.29,0.61,-0.33,2.39,-5.67,0.68,1.14,0.0,-3.74,0.0,0.0,0.75,0.0,-2.52
177, REFRIGERANTE E ÁGUA MINERAL,0.16,0.68,-0.79,1.21,-1.57,-1.21,0.31,-0.03,1.8,0.0,0.22,0.13,1.09,-0.25
178, CAFEZINHO,0.55,2.48,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.61
179, CERVEJA,0.58,-0.73,-0.49,1.78,1.24,-3.4,2.83,1.79,1.02,1.88,-0.21,0.11,-2.64,0.95
180, OUTRAS BEBIDAS ALCOÓLICAS,1.51,0.0,-0.52,2.7,0.0,-0.05,8.06,1.58,3.62,0.0,0.0,0.41,0.0,2.21
181, DOCES,1.07,1.48,-0.78,-0.59,1.77,-0.07,1.19,0.24,-1.14,0.21,-0.39,3.51,1.85,0.62
182, HABITAÇÃO,0.07,0.85,1.48,2.12,1.42,1.46,1.83,1.63,1.39,1.21,4.83,-0.56,1.7,1.33
183, ENCARGOS E MANUTENÇÃO,0.16,0.23,0.08,-0.21,0.74,0.04,-0.15,0.64,0.29,0.26,0.21,-0.32,-0.19,0.33
184, ALUGUEL E TAXAS,0.09,0.05,0.04,-0.16,0.76,0.0,0.69,0.66,0.17,0.3,0.22,-0.39,-0.12,0.33
