Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
30, AÇÚCARES E DERIVADOS,1.06,-0.58,1.06,0.22,0.76,-0.06,-2.48,0.57,3.4,0.22,0.65,3.34,1.69,0.7
31, AÇÚCAR REFINADO,2.14,-0.35,0.0,0.0,2.06,0.0,-1.65,-0.76,0.0,-0.56,0.0,0.0,0.0,1.01
32, AÇÚCAR CRISTAL,4.7,0.28,3.05,0.69,0.46,0.85,-4.4,2.15,5.54,0.04,1.23,6.62,5.3,1.95
33, BALAS,0.0,-1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,-1.03
34, CHOCOLATE EM BARRA E BOMBOM,-1.74,-1.9,-2.22,0.45,2.27,-1.24,1.95,0.0,-0.27,0.76,0.86,-1.69,0.88,0.21
35, SORVETE,-0.98,-0.36,-2.42,-1.21,-1.38,-1.34,0.0,-1.63,-2.18,0.04,0.85,-1.63,-2.84,-1.18
36, CHOCOLATE E ACHOCOLATADO EM PÓ,-0.18,0.53,1.12,-1.89,0.67,-0.45,-0.04,1.21,-1.77,1.1,-1.37,-1.45,-0.66,0.23
37, DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,2.2,0.0,-0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
38, HORTALIÇAS E VERDURAS,3.11,-1.88,6.19,8.44,-2.45,0.0,-0.22,-3.65,1.49,-1.19,1.59,4.25,0.98,0.19
39, ALFACE,4.52,-7.57,8.4,1.03,-1.28,5.02,-0.35,0.29,1.28,-0.43,3.47,5.05,2.44,0.27
40, COENTRO,0.0,0.0,0.0,15.89,0.0,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,9.25
41, COUVE,3.05,0.0,7.86,0.0,-6.88,-1.99,0.0,0.0,0.0,-6.26,4.24,2.24,0.0,-0.88
42, COUVE-FLOR,3.83,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34,0.0,4.49
43, REPOLHO,-0.24,9.22,-3.61,-2.62,-7.78,-4.35,0.19,0.0,1.78,-0.83,-4.38,9.86,0.33,-0.87
44, CHEIRO-VERDE,2.31,0.0,0.0,0.0,-2.41,-6.54,-0.28,-4.24,0.29,0.0,0.0,1.62,-1.86,-1.76
45, AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,-3.2
46, BRÓCOLIS,2.45,-1.72,1.38,0.0,0.68,5.0,0.0,0.0,0.0,-2.36,0.0,0.0,0.0,0.6
47, FRUTAS,0.69,3.81,4.42,1.15,-0.53,-1.81,1.11,5.65,-1.88,3.72,2.65,2.25,3.45,1.33
48, BANANA-DA-TERRA,0.0,0.0,0.0,-2.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,-0.77
49, ABACAXI,-9.07,-0.02,-1.93,2.82,8.81,0.0,0.0,0.0,0.0,-3.19,-0.34,0.0,-10.46,1.13
50, ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,12.93,0.0,0.0,0.0,0.0,0.0,0.0,12.93
51, BANANA-D'ÁGUA,6.16,4.8,0.0,0.0,3.73,2.56,0.0,0.0,0.0,16.96,0.0,0.0,19.36,5.8
52, BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0.0,15.11,6.89
53, BANANA-PRATA,5.39,0.86,13.6,6.24,-1.28,-4.74,-0.87,11.37,-1.14,4.16,7.72,5.57,0.0,3.42
54, LARANJA-BAÍA,0.0,18.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.34
55, LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,-7.47,0.0,0.0,0.0,0.0,0.0,0.0,-7.47
56, MAÇÃ,2.92,0.71,2.0,-1.71,6.26,-2.11,3.43,4.05,-0.81,9.43,2.88,3.35,-8.21,3.35
57, MAMÃO,-2.08,2.55,1.72,-4.49,3.71,-3.38,0.49,-5.26,-4.19,-7.44,0.0,10.79,-4.55,-0.17
58, MANGA,-8.36,0.0,0.0,5.12,0.0,-6.35,0.0,0.0,0.0,0.0,0.0,-8.57,0.0,-3.55
59, MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,-20.17,0.0,0.0,0.0,0.0,-13.91
60, MELANCIA,0.0,0.0,10.08,4.41,-4.28,1.2,2.46,3.31,-6.23,6.02,10.07,0.0,9.71,0.41
61, PÊRA,-0.21,0.0,0.0,0.0,1.17,3.06,0.0,0.0,0.0,0.0,2.91,-0.79,0.0,0.95
62, TANGERINA,0.0,3.81,0.0,0.0,-0.53,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,3.59
63, UVA,-2.9,0.0,0.5,6.16,-19.39,-4.99,-0.08,9.16,2.42,-7.35,6.93,-3.72,0.13,-8.79
64, LARANJA-PERA,0.08,0.0,0.86,-3.52,2.25,2.74,6.27,1.45,1.8,3.95,-7.8,3.11,-4.61,1.17
65, MORANGO,0.0,-6.86,1.73,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,0.0,0.0,0.0,-4.0
66, GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,3.27
67, CARNES,3.29,1.26,2.88,0.72,1.31,0.76,-0.51,0.3,1.13,4.31,2.02,2.07,2.56,1.67
68, FÍGADO,0.0,0.0,0.0,-1.98,0.0,0.0,-0.16,-1.68,1.72,0.0,0.0,0.0,0.0,-0.24
69, CARNE DE PORCO,-2.06,-0.98,-0.31,3.45,0.47,-1.1,-2.97,-2.19,-2.62,2.76,-0.56,-0.36,-0.51,-0.17
70, CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4,-1.64,0.0,0.0,0.0,0.0,-2.98
71, CONTRAFILÉ,7.52,4.26,2.54,0.64,5.84,4.13,-0.63,1.73,5.34,12.25,4.93,5.41,4.54,5.05
72, FILÉ-MIGNON,3.92,0.0,0.0,-2.21,0.0,0.0,-0.48,0.0,3.15,2.96,2.86,0.0,-0.57,1.78
73, CHÃ DE DENTRO,1.01,0.94,2.2,2.66,4.9,6.5,-0.99,1.06,0.58,4.62,2.69,5.43,4.11,2.9
74, ALCATRA,5.3,3.32,5.28,0.77,2.46,4.95,-1.21,1.57,4.5,10.05,2.99,5.88,3.55,3.81
75, PATINHO,1.53,-3.07,-0.38,-0.2,0.47,2.9,-0.74,1.54,-1.03,-0.06,2.52,0.17,5.74,0.3
76, LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-2.16,0.0,1.27,0.0,0.0,0.0,0.0,-1.03
77, LAGARTO COMUM,0.0,0.0,0.0,0.0,0.09,-0.35,0.0,1.67,1.84,0.0,1.7,0.0,-0.12,0.5
78, MÚSCULO,0.35,0.99,3.86,0.78,-2.38,0.0,-1.65,0.0,-0.55,-1.81,0.1,-3.08,1.47,0.03
79, PÁ,0.0,-3.4,0.0,5.16,-4.84,-0.29,-0.02,0.0,1.05,8.02,0.0,0.0,6.02,-0.37
80, ACÉM,0.91,-5.86,2.85,-0.65,-0.71,-1.24,0.02,0.75,0.52,-2.36,-0.93,0.61,2.22,-0.32
81, PEITO,0.0,0.0,0.0,0.0,0.0,0.0,0.32,3.18,3.56,0.0,-0.69,0.0,1.8,1.66
82, CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,3.54
83, COSTELA,1.16,2.73,4.11,-0.34,0.02,-4.84,1.14,-2.54,-1.68,-1.11,1.57,0.89,-0.35,0.69
84, PESCADOS,0.33,-2.61,0.07,2.25,0.6,0.96,2.18,-1.73,1.25,-0.51,-0.11,5.65,5.66,0.91
85, PEIXE-ANCHOVA,-9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.49
86, PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,0.0,3.11
87, PEIXE-CORVINA,12.01,0.0,0.0,4.13,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,5.21
88, PEIXE-CAVALINHA,0.0,0.0,0.0,-1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.59
89, PEIXE,0.0,-2.61,0.07,0.0,0.0,0.96,0.0,0.0,0.0,-0.51,-0.11,0.0,0.0,-0.65
90, PEIXE-SARDINHA,0.0,0.0,0.0,2.24,6.45,0.0,0.0,0.0,-4.48,0.0,0.0,0.0,4.54,3.36
91, CAMARÃO,-4.22,0.0,0.0,0.46,0.0,0.0,0.9,0.0,1.78,0.0,0.0,5.57,0.89,-0.76
92, PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,0.0,0.0,0.0,2.97
93, PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.68,0.88,0.0,0.0,0.0,0.0,-1.89
94, PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.77,9.77
95, PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.15,0.0,-3.14
96, PEIXE-CAÇÃO,0.92,0.0,0.0,0.0,-4.76,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,-1.94
97, PEIXE-MERLUZA,5.23,0.0,0.0,2.79,0.6,0.0,0.0,0.0,-0.46,0.0,0.0,0.0,1.78,2.34
98, PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,-3.07,-0.82,0.0,0.0,0.0,0.0,0.0,-2.21
99, PEIXE-PESCADA,3.34,0.0,0.0,3.33,-0.95,0.0,1.57,0.0,-0.74,0.0,0.0,25.41,0.0,1.43
100, CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,-0.97,0.0,0.0,0.0,0.0,0.0,0.0,-0.97
101, PEIXE-CASTANHA,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19
102, PEIXE-SALMÃO,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,-1.73,0.0,0.0,0.0,0.0,5.66,-0.15
103, PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,0.0,0.0,0.0,0.0,0.0,-1.25
104, PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,2.18
105, PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,5.93,0.0,0.0,0.0,0.0,0.0,0.0,5.93
106, PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.22,0.0,-8.22
107, PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.15,16.15
108, CARNES E PEIXES INDUSTRIALIZADOS,0.64,-3.24,-2.79,-1.25,-0.26,-0.64,-0.56,-0.15,0.87,0.41,-1.34,2.17,-2.12,-0.61
109, PRESUNTO,0.27,-8.72,0.25,0.0,-0.88,-1.93,-0.12,-1.78,2.12,2.9,1.29,2.29,-2.39,-0.76
110, SALSICHA,1.75,-0.63,-3.01,-2.97,-0.76,-1.43,2.6,0.0,0.0,0.38,-2.65,-0.13,-1.41,-0.56
111, LINGUIÇA,-0.38,-5.25,-4.57,-0.97,-0.03,-0.44,-0.61,-0.9,-2.61,-2.24,-2.74,3.09,-2.76,-1.42
112, MORTADELA,2.78,-2.14,-0.57,-1.34,0.4,0.0,1.7,2.49,0.0,3.13,0.0,-2.83,-0.18,0.66
113, SALAME,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99
114, CARNE-SECA E DE SOL,-0.01,0.0,0.0,-1.06,0.0,0.0,-1.63,0.48,2.14,0.0,0.0,3.89,0.0,0.33
115, CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-2.21,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,-1.07
116, HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
117, AVES E OVOS,1.4,0.69,1.16,2.3,0.39,0.68,-0.75,2.92,1.81,-1.02,1.74,1.28,1.61,0.96
118, FRANGO INTEIRO,2.59,1.23,2.46,2.9,2.52,-0.75,-0.77,4.49,3.67,-3.1,2.48,2.83,1.44,2.04
119, FRANGO EM PEDAÇOS,0.38,0.06,0.3,3.26,-1.15,1.58,0.35,-1.16,0.8,-0.75,2.94,-0.18,3.21,0.05
120, OVO DE GALINHA,2.54,1.77,0.12,-0.48,0.73,1.97,-1.25,-0.06,-3.73,0.98,-1.3,-0.05,-1.0,0.27
121, LEITE E DERIVADOS,0.33,-1.98,-0.5,-0.48,-0.39,-1.44,-1.8,0.18,-1.83,-1.77,-1.03,-0.94,0.86,-0.76
122, LEITE LONGA VIDA,-0.13,-1.72,-1.07,1.19,-2.0,-1.74,-1.86,1.19,-1.8,-2.76,-1.73,-2.93,1.51,-1.43
123, LEITE CONDENSADO,0.0,0.1,0.0,0.0,0.0,0.0,-1.4,-1.12,0.0,0.0,0.0,0.0,-2.92,-0.85
124, LEITE EM PÓ,0.57,-2.41,0.0,-1.92,0.77,0.0,-2.26,-0.87,-1.37,-3.31,-0.82,0.74,0.86,-1.13
125, QUEIJO,0.87,-2.88,0.57,-0.39,0.74,-1.4,-2.5,0.67,-2.7,-0.32,-0.04,-0.19,1.01,-0.11
126, CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,0.0,0.0,-0.79
127, IOGURTE E BEBIDAS LÁCTEAS,-0.08,-1.66,-0.33,-0.1,2.86,-0.75,0.7,-1.01,-2.41,0.65,1.43,1.23,-0.71,0.55
128, MANTEIGA,0.0,0.0,0.0,-0.15,0.0,0.0,-1.12,0.63,-0.27,0.0,0.0,3.83,0.0,0.07
129, PANIFICADOS,-0.56,0.73,-0.79,1.67,2.33,0.68,-0.35,0.82,1.49,0.31,0.89,-0.19,0.2,0.86
130, BISCOITO,0.07,0.56,-0.16,3.37,2.11,0.18,-0.69,0.95,1.56,1.31,0.69,-0.13,0.68,1.12
131, PÃO FRANCÊS,-1.02,-1.17,-1.2,0.94,2.72,0.89,-0.33,0.41,1.7,0.16,0.78,0.19,-0.23,0.67
132, PÃO DOCE,-0.93,1.56,0.25,0.0,2.69,2.32,-0.43,2.65,-0.63,1.89,0.0,1.91,-0.66,1.4
133, PÃO DE FORMA,-0.04,9.21,-2.77,0.0,1.7,-2.27,0.0,0.0,0.0,0.67,0.67,-5.22,1.81,1.49
134, BOLO,2.79,0.13,-0.09,0.36,0.04,1.48,1.12,3.57,0.19,-2.39,3.58,2.16,1.63,0.43
135, PÃO DE QUEIJO,0.0,0.0,0.64,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.81
136, ÓLEOS E GORDURAS,1.55,1.1,0.59,0.9,2.0,3.58,0.08,1.41,-1.72,1.29,1.1,3.36,2.01,1.11
137, ÓLEO DE SOJA,2.17,1.57,0.67,1.38,4.14,5.58,1.04,1.64,-2.44,2.02,1.08,5.51,3.95,1.87
138, AZEITE DE OLIVA,2.82,0.0,0.0,0.0,-0.95,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.51
139, MARGARINA,0.28,0.19,0.35,0.52,-0.32,1.2,-1.5,1.14,-0.62,-0.23,1.16,-1.34,-2.76,-0.07
140, BEBIDAS E INFUSÕES,-0.32,-0.46,0.34,-0.97,0.9,0.05,1.17,0.77,0.22,0.23,0.18,0.29,0.09,0.33
141, SUCO DE FRUTAS,-1.01,-2.93,-1.81,-0.58,1.22,0.94,-0.29,0.66,0.26,-0.72,2.53,2.36,0.37,0.09
142, AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,3.93,0.0,0.0,0.0,0.0,0.0,0.0,3.93
143, CAFÉ MOÍDO,-2.15,1.05,0.83,-1.34,0.97,-1.35,-1.75,2.21,-1.9,0.91,0.39,-2.66,-0.79,0.06
144, CAFÉ SOLÚVEL,0.0,-0.36,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23
145, CHÁ,0.0,-2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,1.87,-1.59
146, REFRIGERANTE E ÁGUA MINERAL,-0.04,-0.19,0.27,-1.53,1.01,0.09,1.86,0.18,0.82,-0.2,0.02,1.98,0.1,0.4
147, CERVEJA,0.45,-0.14,0.43,0.08,0.73,0.76,-0.81,-0.77,2.29,0.78,-0.19,0.6,0.3,0.53
148, OUTRAS BEBIDAS ALCOÓLICAS,0.66,0.87,1.55,0.3,-0.02,0.39,-0.82,0.52,-1.45,-0.63,-1.2,-0.72,0.0,0.13
149, ENLATADOS E CONSERVAS,1.2,0.75,-0.88,-0.13,0.95,-0.3,-0.86,0.95,-0.89,0.78,-0.45,0.21,-0.01,0.37
150, COCO RALADO,0.0,0.0,0.0,0.0,1.63,-1.25,0.0,0.0,0.0,-0.42,0.0,0.0,-0.51,0.74
151, ERVILHA EM CONSERVA,0.16,1.29,0.0,0.0,0.0,-0.87,0.0,0.0,-0.56,0.0,0.0,0.0,-0.97,0.49
152, PALMITO EM CONSERVA,2.61,0.0,-3.03,0.0,-0.68,0.0,0.0,0.0,0.0,0.86,0.21,2.09,0.0,-0.3
153, PEPINO EM CONSERVA,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.08,-0.04
154, SARDINHA EM CONSERVA,1.97,3.32,1.16,-0.79,3.84,0.0,-1.09,1.91,-1.4,2.48,1.8,1.24,1.28,1.65
155, SALSICHA EM CONSERVA,0.0,0.0,0.0,-1.87,0.0,1.38,-2.25,-1.45,0.0,0.0,0.0,0.0,0.0,-1.57
156, CARNE EM CONSERVA,0.0,0.0,0.0,1.81,0.0,0.0,-0.89,0.38,0.0,0.0,0.0,0.0,0.0,0.56
157, PATÊ,0.17,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71
158, SOPA DESIDRATADA,0.0,0.07,-0.34,0.0,0.15,-0.82,0.0,0.0,0.0,0.0,-0.95,-0.33,0.0,-0.14
159, AZEITONA,-0.66,0.0,-1.31,-1.71,-0.72,-0.37,0.46,0.0,-2.37,-0.58,-2.77,-2.55,-1.8,-0.97
160, MILHO-VERDE EM CONSERVA,1.12,-1.05,-2.17,0.03,-1.42,-3.36,0.49,-1.28,0.1,0.73,1.46,-0.04,0.66,-0.65
161, ATUM EM CONSERVA,2.68,-0.56,0.5,0.0,2.9,1.89,0.0,2.06,0.5,1.52,0.0,0.0,0.0,1.96
162, SAL E CONDIMENTOS,-0.48,0.47,-0.3,-0.48,-1.65,-1.47,-1.89,1.28,-0.9,-0.5,0.93,-1.96,-1.33,-0.83
163, LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,3.18
164, ATOMATADO,0.6,0.45,-1.43,-2.63,-0.1,-0.73,-0.14,-0.06,-1.73,0.21,0.93,-1.69,-0.8,-0.35
165, ALHO,-2.05,0.0,2.26,-4.1,-6.21,-4.72,-0.7,3.5,-4.92,0.38,1.32,-4.78,-3.94,-2.67
166, SAL,0.0,0.0,0.0,0.0,0.0,-1.45,-1.88,-1.51,0.0,0.0,0.18,0.0,2.25,-0.77
167, FERMENTO,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,-0.56,0.0,-0.77
168, MAIONESE,1.21,0.83,-1.39,4.89,0.25,-1.7,-2.55,0.62,0.0,-0.53,-2.14,-0.48,-1.28,0.03
169, VINAGRE,0.0,0.0,0.0,-0.84,0.0,0.0,-2.21,0.0,0.0,0.0,0.0,0.0,0.0,-1.51
170, CALDO CONCENTRADO,-0.57,-0.34,-2.06,0.92,1.14,-0.81,0.0,-0.05,2.06,0.0,0.0,1.54,0.0,0.34
171, TEMPERO MISTO,0.0,1.13,0.17,4.69,-0.92,0.64,-4.02,0.09,0.88,-2.28,2.04,1.54,-1.46,-0.45
172, ALIMENTAÇÃO FORA DO DOMICÍLIO,1.08,-0.06,0.42,0.45,1.39,0.59,-0.13,-0.2,-0.85,1.12,1.13,0.48,0.8,0.74
173, ALIMENTAÇÃO FORA DO DOMICÍLIO,1.08,-0.06,0.42,0.45,1.39,0.59,-0.13,-0.2,-0.85,1.12,1.13,0.48,0.8,0.74
174, REFEIÇÃO,1.31,-0.06,0.58,1.04,1.75,0.77,-0.87,0.4,-1.9,2.39,0.49,0.63,2.78,1.04
175, LANCHE,0.67,-0.41,0.18,0.6,0.74,0.36,0.31,-1.89,0.62,-0.89,2.21,0.02,-1.87,0.3
176, CAFÉ DA MANHÃ,0.6,0.29,-1.52,-1.39,2.47,1.08,1.61,0.0,-0.72,0.0,0.0,-0.1,0.0,0.8
177, REFRIGERANTE E ÁGUA MINERAL,-0.69,1.09,0.56,-0.47,0.69,-0.12,-2.35,0.34,-1.04,-0.1,1.48,1.49,2.14,0.16
178, CAFEZINHO,1.26,0.98,0.0,0.0,-2.82,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,-1.09
179, CERVEJA,0.76,-0.37,0.33,-1.36,1.33,-0.76,0.38,1.68,-0.27,-0.22,1.46,-0.21,-2.66,0.41
180, OUTRAS BEBIDAS ALCOÓLICAS,0.44,0.0,0.79,-0.23,0.0,-0.71,0.35,0.6,-0.37,0.0,0.0,0.0,0.0,0.21
181, DOCES,1.05,0.17,1.26,0.42,1.35,0.12,3.88,-2.0,0.88,-1.38,2.18,2.53,-0.27,0.83
182, HABITAÇÃO,-0.11,-0.34,-0.89,-0.11,-0.01,-0.55,-1.88,0.28,-1.06,-0.75,0.15,-0.43,-1.84,-0.4
183, ENCARGOS E MANUTENÇÃO,0.52,0.09,0.06,0.14,0.69,0.13,0.49,0.54,0.04,0.12,-0.05,0.22,0.2,0.36
184, ALUGUEL E TAXAS,0.55,-0.21,-0.08,0.16,0.92,0.08,1.23,0.59,0.07,-0.13,-0.19,0.22,0.11,0.4
185, ALUGUEL RESIDENCIAL,-0.01,0.0,-0.43,0.32,0.45,-0.01,0.65,0.98,0.16,-0.04,-0.71,0.44,0.0,0.16
186, CONDOMÍNIO,-0.7,-0.94,0.97,0.0,0.79,0.37,0.64,0.04,0.03,-0.95,0.96,0.07,0.94,0.13
