Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
29, MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,5.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28
30, AÇÚCARES E DERIVADOS,0.09,-1.14,0.82,-6.0,-0.71,-1.16,-0.27,-2.42,-5.06,-1.39,-2.74,-1.82,-3.93,-1.4
31, AÇÚCAR REFINADO,1.59,-4.85,0.0,0.0,-0.43,0.0,2.15,-0.04,0.0,-1.79,0.0,0.0,0.0,0.0
32, AÇÚCAR CRISTAL,-1.83,-0.58,1.27,-8.77,0.14,-1.89,-1.1,-5.46,-6.22,-3.19,-4.86,-1.65,-6.86,-2.73
33, BALAS,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,1.46
34, CHOCOLATE EM BARRA E BOMBOM,-3.56,-2.79,1.16,-4.25,-2.61,-4.4,-4.7,0.0,-10.44,-4.14,-1.89,-4.24,-1.11,-2.92
35, SORVETE,0.05,0.19,-1.98,-0.02,-0.59,-0.53,0.0,-4.54,1.89,-1.02,0.8,-2.19,-0.2,-0.59
36, CHOCOLATE E ACHOCOLATADO EM PÓ,1.44,0.88,1.51,1.46,-0.07,0.87,1.78,1.05,1.16,2.01,2.43,-0.34,-0.95,0.88
37, DOCE  FRUTAS EM PASTA,0.0,0.0,0.0,-0.82,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
38, HORTALIÇAS E VERDURAS,-0.33,3.29,3.35,-7.67,0.54,0.27,0.96,0.02,-1.2,9.31,-0.68,1.85,-1.77,0.79
39, ALFACE,-2.12,0.7,4.74,1.37,0.47,-2.06,-1.39,0.91,-2.52,7.39,-2.97,-0.62,-1.7,0.82
40, COENTRO,0.0,0.0,0.0,-13.7,0.0,0.0,0.0,0.0,-0.42,0.0,0.0,0.0,0.0,-8.02
41, COUVE,0.06,0.0,1.79,0.0,5.35,2.59,0.0,0.0,0.0,3.76,2.24,-3.77,0.0,2.95
42, COUVE-FLOR,8.2,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,4.61
43, REPOLHO,-9.01,6.14,1.66,-4.21,4.44,4.14,-0.12,0.0,-1.49,13.94,3.63,9.09,-4.1,2.26
44, CHEIRO-VERDE,-0.63,0.0,0.0,0.0,-1.75,0.88,2.49,-0.12,-0.07,0.0,0.0,2.35,0.8,-0.04
45, AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,-0.08
46, BRÓCOLIS,5.45,12.52,-1.33,0.0,-4.78,1.12,0.0,0.0,0.0,16.2,0.0,0.0,0.0,3.08
47, FRUTAS,-0.59,1.39,-2.34,0.34,-1.54,1.24,1.67,-0.61,0.13,-5.01,-3.03,0.65,-1.53,-0.79
48, BANANA-DA-TERRA,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,-0.11,0.0,0.0,2.48,0.0,0.17
49, ABACAXI,-1.87,-6.49,-6.2,-0.74,-4.22,0.0,0.0,0.0,0.0,-5.84,-2.33,0.0,-4.5,-3.98
50, ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,-0.15
51, BANANA-D'AGUA,-1.74,7.96,0.0,0.0,0.49,-2.56,0.0,0.0,0.0,0.25,0.0,0.0,12.14,1.78
52, BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,-2.19,-7.37
53, BANANA-PRATA,0.47,-2.64,4.77,4.34,1.38,3.0,-1.12,2.87,-3.28,6.82,-0.09,0.06,0.0,1.03
54, LARANJA-BAIA,0.0,6.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.21
55, LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0.0,0.0,0.0,0.0,0.0,0.0,4.87
56, MAÇÃ,-8.46,-11.14,-9.32,-15.5,-4.59,2.31,-4.74,-1.58,-4.45,-7.89,-2.87,2.65,-8.9,-6.66
57, MAMÃO,0.18,5.02,1.76,0.03,1.28,4.09,28.72,-9.26,5.09,-0.57,0.0,-3.79,0.55,2.09
58, MANGA,7.42,0.0,0.0,-5.66,0.0,5.13,0.0,0.0,0.0,0.0,0.0,5.4,0.0,2.13
59, MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.09,-0.56,0.0,0.0,0.0,0.0,3.7
60, MELANCIA,0.0,0.0,-8.86,3.75,-3.42,0.17,2.89,-7.29,0.68,-2.94,-0.34,0.0,0.71,-1.59
61, PÊRA,-1.32,0.0,0.0,0.0,2.77,0.66,0.0,0.0,0.0,0.0,-0.04,-3.09,0.0,1.18
62, TANGERINA,0.0,1.39,0.0,0.0,-1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,1.26
63, UVA,4.67,0.0,5.95,4.61,-0.69,6.26,5.94,2.53,2.81,0.88,-2.21,2.95,9.02,1.9
64, LARANJA-PÊRA,-0.03,0.0,-7.67,2.53,-5.09,-5.76,2.55,-6.85,5.1,-19.09,-4.64,-0.8,-12.62,-4.4
65, MORANGO,0.0,27.08,7.42,0.0,0.0,0.0,0.0,0.0,0.0,19.81,0.0,0.0,0.0,16.22
66, GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,0.0,3.06
67, CARNES,-2.72,0.23,-1.07,0.87,2.6,-1.55,1.82,1.14,-2.19,-0.32,-1.24,0.15,-1.02,0.26
68, FÍGADO,0.0,0.0,0.0,-0.14,0.0,0.0,3.96,1.03,-4.79,0.0,0.0,0.0,0.0,-0.03
69, CARNE DE PORCO,-0.7,-0.44,-2.6,3.37,4.15,-1.08,2.23,-3.65,1.05,1.08,0.61,2.47,-2.53,0.75
70, CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,-4.54,0.0,0.0,0.0,0.0,-2.67
71, CONTRAFILÉ,-8.04,-5.46,-2.36,-3.1,0.07,-3.04,1.45,0.59,-2.49,-1.05,-0.86,-0.61,1.46,-2.28
72, FILÉ-MIGNON,-5.47,0.0,0.0,3.51,0.0,0.0,4.28,0.0,-4.7,-4.01,-2.02,0.0,-1.45,-1.71
73, CHÃ DE DENTRO,-2.12,-2.02,0.54,2.13,3.13,-2.1,2.98,5.29,-1.49,-2.6,-1.53,-0.7,-2.74,1.12
74, ALCATRA,-6.46,-2.93,-3.4,2.13,1.65,-3.53,-0.75,0.3,-1.66,-1.85,-3.24,-1.59,-2.05,-1.84
75, PATINHO,2.62,-1.31,-2.4,0.42,0.19,-0.22,2.64,1.58,-3.11,-0.8,-2.0,-2.82,-0.52,-0.3
76, LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0,-1.88,0.0,0.0,0.0,0.0,2.03
77, LAGARTO COMUM,0.0,0.0,0.0,0.0,1.62,-0.8,0.0,0.13,-2.09,0.0,-1.6,0.0,1.63,0.41
78, MÚSCULO,-0.18,1.23,3.51,1.61,1.34,0.0,3.21,0.0,-1.6,0.61,2.43,0.71,0.39,1.41
79, PÁ,0.0,2.85,0.0,-1.91,3.15,-0.84,2.38,0.0,-1.87,2.78,0.0,0.0,0.59,1.59
80, ACÉM,0.77,0.52,2.08,3.49,4.82,-3.92,1.82,0.11,-3.27,2.52,0.69,2.35,-3.37,2.37
81, PEITO,0.0,0.0,0.0,0.0,0.0,0.0,2.33,-0.14,-2.86,0.0,-0.15,0.0,0.19,-0.14
82, CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-0.19
83, COSTELA,4.53,3.72,0.66,0.98,3.51,0.88,1.28,1.51,-1.01,1.0,-1.14,0.95,-0.84,2.02
84, PESCADOS,2.65,4.71,2.72,-1.24,4.05,-0.88,0.47,-1.25,-0.5,0.29,-0.21,1.43,-0.62,1.1
85, PEIXE-ANCHOVA,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85
86, PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.25,0.0,-2.25
87, PEIXE-CORVINA,14.78,0.0,0.0,0.72,0.0,0.0,0.0,0.0,-0.49,0.0,0.0,0.0,0.0,3.84
88, PEIXE-CAVALINHA,0.0,0.0,0.0,-4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.95
89, PEIXE,0.0,4.71,2.72,0.0,0.0,-0.88,0.0,0.0,0.0,0.29,-0.21,0.0,0.0,1.88
90, PEIXE-SARDINHA,0.0,0.0,0.0,2.91,9.19,0.0,0.0,0.0,1.08,0.0,0.0,0.0,4.99,6.29
91, CAMARÃO,4.17,0.0,0.0,-6.45,0.0,0.0,-7.11,0.0,-3.08,0.0,0.0,2.65,-5.67,-1.78
92, PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.43,0.0,0.0,0.0,0.0,-1.43
93, PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,5.5,0.0,0.0,0.0,0.0,3.59
94, PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,4.46
95, PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.65,0.0,-4.65
96, PEIXE-CAÇÃO,2.94,0.0,0.0,0.0,3.54,0.0,0.0,0.0,0.0,0.0,0.0,3.95,0.0,3.31
97, PEIXE-MERLUZA,-9.72,0.0,0.0,3.69,-0.61,0.0,0.0,0.0,4.74,0.0,0.0,0.0,-1.27,-2.55
98, PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.54,-0.88,0.0,0.0,0.0,0.0,0.0,0.02
99, PEIXE-PESCADA,2.12,0.0,0.0,-3.37,6.44,0.0,2.65,0.0,0.48,0.0,0.0,6.01,0.0,3.17
100, CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,-7.45,0.0,0.0,0.0,0.0,0.0,0.0,-7.45
101, PEIXE-CASTANHA,0.0,0.0,0.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39
102, PEIXE-SALMÃO,0.0,0.0,0.0,0.0,-2.4,0.0,0.0,-1.25,0.0,0.0,0.0,0.0,-0.62,-2.04
103, PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.63,0.0,0.0,0.0,0.0,0.0,-1.63
104, PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.47
105, PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0,0.0,3.53
106, PEIXE-PEROA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,1.17
107, PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,1.77
108, CARNES E PEIXES INDUSTRIALIZADOS,-1.5,0.73,-0.3,0.21,0.59,1.47,-0.74,-0.96,0.87,-0.92,0.82,-0.48,1.31,0.11
109, PRESUNTO,-2.5,-0.89,0.34,0.0,-0.65,2.6,-1.71,-2.62,-2.32,-0.63,0.33,-2.95,0.42,-0.84
110, SALSICHA ,-1.7,0.34,-1.15,1.75,0.1,2.93,2.14,0.0,0.0,-1.07,-1.06,-1.21,2.24,0.02
111, LINGUIÇA,-1.34,2.09,-1.14,-2.03,1.13,0.4,-0.9,-1.12,-2.89,-2.98,1.61,0.87,2.46,-0.11
112, MORTADELA,-2.56,0.34,0.52,-0.82,1.03,0.0,0.32,1.8,0.0,2.89,0.0,-2.35,-2.67,0.36
113, SALAME ,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36
114, CARNE-SECA E DE SOL,0.58,0.0,0.0,0.64,0.0,0.0,-1.27,-1.81,2.77,0.0,0.0,-0.67,0.0,1.05
115, CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,1.62
116, HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87
117, AVES E OVOS,-2.14,-0.84,1.08,-1.54,5.83,0.01,-0.26,0.42,-0.77,2.46,0.76,2.14,1.96,1.05
118, FRANGO INTEIRO,-4.61,-1.47,3.64,-4.93,1.72,-1.41,-0.21,-0.17,-1.23,0.84,0.06,1.46,1.35,-0.64
119, FRANGO EM PEDAÇOS,-2.38,-0.86,-4.58,1.06,8.01,1.9,-0.88,-1.35,-0.42,-0.48,-0.3,-0.14,1.39,1.3
120, OVO DE GALINHA,1.29,-0.33,5.76,6.94,6.65,-0.1,-0.09,3.21,0.63,9.37,3.61,5.9,3.84,4.03
121, LEITES E DERIVADOS,0.65,2.11,0.27,-0.22,1.04,1.58,0.16,0.02,-0.57,1.98,0.41,0.83,-0.11,0.74
122, LEITE LONGA VIDA,0.96,3.29,0.61,2.83,1.16,2.83,1.06,0.21,-1.42,2.27,-0.01,1.08,1.24,1.25
123, LEITE CONDENSADO,0.0,0.03,0.0,0.0,0.0,0.0,-2.1,-2.33,0.0,0.0,0.0,0.0,-2.08,-1.28
124, LEITE EM PÓ,-3.5,1.03,0.0,-1.22,0.05,0.0,0.58,-0.17,-1.55,-0.91,1.41,0.03,-2.33,-0.84
125, QUEIJO,1.87,0.68,1.9,-0.63,0.75,1.28,-1.54,-0.95,1.15,3.74,1.37,0.49,-2.09,0.97
126, CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.19
127, IOGURTE E BEBIDAS LÁCTEAS,1.75,0.82,-4.74,-2.19,1.53,-1.72,-1.62,1.64,-0.99,-0.94,0.37,0.12,0.14,-0.22
128, MANTEIGA,0.0,0.0,0.0,2.66,0.0,0.0,3.26,2.01,2.86,0.0,0.0,2.08,0.0,2.7
129, PANIFICADOS,0.09,0.34,0.51,0.51,-0.63,1.97,-0.78,1.23,2.2,0.22,0.53,1.8,0.56,0.27
130, BISCOITO,-0.9,0.22,0.23,1.0,-0.75,2.09,-0.33,0.39,-1.22,-0.28,2.3,-0.84,-1.15,-0.2
131, PÃO FRANCÊS,0.51,0.87,-0.03,0.52,-0.96,2.8,-1.07,1.69,3.89,-0.25,-0.28,1.91,1.19,0.36
132, PÃO DOCE,-1.41,0.52,2.57,0.0,-1.38,0.38,0.25,-2.15,2.18,4.87,0.0,1.54,1.08,0.15
133, PÃO DE FORMA,0.64,-1.84,6.91,0.0,1.81,-1.57,0.0,0.0,0.0,-0.75,0.81,8.23,-3.19,1.26
134, BOLO,-0.77,1.11,0.44,-2.39,-0.1,0.65,0.52,1.64,0.81,1.83,-4.03,2.83,4.28,0.31
135, PÃO DE QUEIJO,0.0,0.0,-0.61,0.0,0.0,1.12,0.0,0.0,0.0,0.0,3.13,0.0,0.0,0.44
136, ÓLEOS E GORDURAS,-3.27,-5.04,-5.06,-3.22,-1.92,-0.15,-1.99,-0.97,-0.49,-2.9,-2.85,-6.16,-6.03,-2.83
137, ÓLEO DE SOJA,-5.49,-6.68,-6.32,-6.82,-2.87,-1.1,-2.49,-1.91,-0.28,-4.45,-3.64,-8.77,-8.49,-4.17
138, AZEITE DE OLIVA,-1.47,0.0,0.0,0.0,-2.98,0.0,0.0,0.0,0.0,0.0,0.0,-3.69,0.0,-2.49
139, MARGARINA,-1.64,-1.33,-0.92,0.13,0.41,1.06,-0.98,0.26,-0.85,0.68,0.61,-0.41,1.35,-0.32
140, BEBIDAS E INFUSÕES,1.47,1.4,0.59,0.17,0.87,0.15,1.1,0.89,1.98,0.37,0.47,0.21,0.26,0.93
141, SUCO DE FRUTAS,1.52,2.91,2.66,1.21,0.98,1.92,1.54,-0.32,1.83,2.48,2.37,-0.02,0.91,1.54
142, AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,2.45
143, CAFÉ MOÍDO,2.82,3.25,2.94,3.78,2.69,-0.13,1.34,3.27,4.54,1.98,0.98,1.19,1.18,2.65
144, CAFÉ SOLÚVEL,0.0,8.84,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67
145, CHÁ,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.13,0.0,0.0,-2.13,2.49
146, REFRIGERANTE E ÁGUA MINERAL,1.38,-0.14,-1.25,-1.0,-0.33,0.19,0.19,-1.23,-0.09,-0.07,0.06,-0.5,-0.56,-0.24
147, CERVEJA,1.05,-0.03,0.55,0.28,1.5,-0.22,-0.71,3.93,2.79,-0.51,0.05,-0.53,0.98,0.87
148, OUTRAS BEBIDAS ALCOÓLICAS,0.41,0.23,0.68,-1.82,-0.11,-1.36,0.86,0.2,-0.46,-0.79,0.61,1.27,0.0,0.0
149, ENLATADOS E CONSERVAS,-0.74,0.35,-1.25,1.05,-0.03,-0.18,1.0,-1.84,1.48,-0.01,0.09,0.74,-1.88,-0.06
150, COCO RALADO,0.0,0.0,0.0,0.0,2.33,1.26,0.0,0.0,0.0,-0.31,0.0,0.0,1.14,1.46
151, ERVILHA EM CONSERVA,-0.15,-0.33,0.0,0.0,0.0,-6.11,0.0,0.0,4.05,0.0,0.0,0.0,0.54,0.05
152, PALMITO EM CONSERVA,-4.74,0.0,0.38,0.0,-1.41,0.0,0.0,0.0,0.0,1.13,2.71,9.56,0.0,-0.48
153, PEPINO EM CONSERVA,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,1.68,1.99
154, SARDINHA EM CONSERVA,-0.23,0.09,-0.89,4.1,0.66,0.0,1.01,-2.04,1.3,-2.07,-2.18,-2.72,-2.08,0.26
155, SALSICHA EM CONSERVA,0.0,0.0,0.0,1.27,0.0,-5.19,-0.97,-5.16,0.0,0.0,0.0,0.0,0.0,-1.74
156, CARNE EM CONSERVA,0.0,0.0,0.0,-1.64,0.0,0.0,2.69,0.08,0.0,0.0,0.0,0.0,0.0,0.26
157, PATÊ,7.48,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01
158, SOPA  DESIDRATADA,0.0,-0.23,-1.85,0.0,1.82,0.8,0.0,0.0,0.0,0.0,1.66,3.48,0.0,0.51
159, AZEITONA,-5.49,0.0,-2.32,-2.82,0.28,3.11,0.57,0.0,1.66,-0.1,-1.18,-1.75,-3.58,-0.89
160, MILHO-VERDE EM CONSERVA,2.72,-1.0,-2.01,-1.13,-1.34,-0.95,0.99,-1.65,0.61,1.73,1.97,-0.42,-3.41,-0.32
161, ATUM EM CONSERVA,-1.0,-1.78,1.56,0.0,-1.92,1.86,0.0,0.8,0.29,0.26,0.0,0.0,0.0,-0.75
162, SAL E CONDIMENTOS,1.5,0.94,3.05,-0.02,2.18,0.87,0.05,1.18,0.35,1.83,0.52,5.25,2.04,1.62
163, LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.02,0.0,0.0,0.0,0.0,-6.02
164, ATOMATADO,-1.21,-1.07,-1.21,-2.95,1.06,0.43,0.58,0.75,0.42,0.5,0.59,1.32,0.95,0.08
165, ALHO,4.55,0.0,9.5,0.67,5.26,1.15,0.35,0.96,3.72,8.09,-0.27,9.33,5.57,4.83
166, SAL ,0.0,0.0,0.0,0.0,0.0,0.39,0.43,1.63,0.0,0.0,2.75,0.0,1.06,1.3
167, FERMENTO,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.0,0.8,0.0,2.79
168, MAIONESE,-1.51,3.09,1.46,1.05,0.33,-3.42,-0.4,2.0,0.0,-1.94,-1.79,0.54,-1.88,0.24
169, VINAGRE,0.0,0.0,0.0,1.86,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.26
170, CALDO CONCENTRADO,-1.28,0.6,0.84,4.43,-0.78,2.32,0.0,1.85,0.39,0.0,0.0,2.13,0.0,0.4
171, TEMPERO MISTO,0.0,2.05,2.06,-0.45,2.21,2.13,-1.87,1.02,-0.06,0.43,1.03,1.44,1.05,1.08
172, ALIMENTAÇÃO FORA DO DOMICÍLIO,1.38,0.15,0.31,0.63,0.12,1.3,0.51,0.2,0.26,-0.14,0.25,0.06,0.5,0.38
173, ALIMENTAÇÃO FORA DO DOMICÍLIO,1.38,0.15,0.31,0.63,0.12,1.3,0.51,0.2,0.26,-0.14,0.25,0.06,0.5,0.38
174, REFEIÇÃO,2.0,0.22,0.52,0.6,-0.11,1.71,0.32,-0.11,0.49,-0.45,-0.15,0.16,0.86,0.41
175, LANCHE,0.83,0.49,0.21,0.26,0.49,0.52,-0.08,0.47,-0.37,-0.26,0.23,0.09,0.33,0.31
176, CAFÉ DA MANHÃ,-1.18,3.43,-0.57,2.38,1.36,0.13,2.97,0.0,0.27,0.0,0.0,1.99,0.0,1.08
177, REFRIGERANTE E ÁGUA MINERAL,-0.67,-1.88,-0.01,3.3,1.25,1.64,1.92,1.32,-2.96,0.54,0.23,-0.52,0.77,0.33
178, CAFEZINHO,0.07,-1.84,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,4.05,0.0,0.0,0.16
179, CERVEJA,-1.43,-1.1,-0.25,1.7,-0.12,0.83,1.36,0.68,0.32,0.77,1.63,-2.02,-1.12,0.16
180, OUTRAS BEBIDAS ALCOÓLICAS,-1.75,0.0,-0.22,0.76,0.0,1.21,-1.07,0.07,0.28,0.0,0.0,0.0,0.0,-0.17
181, DOCES,-1.02,1.19,0.75,-4.11,0.42,-0.74,1.31,1.21,4.87,2.52,2.01,1.1,0.76,0.93
182, HABITAÇÃO,0.12,-1.26,-1.36,-0.62,-1.45,-0.25,-1.19,-1.67,-1.15,-1.34,-0.36,-1.61,-3.3,-1.09
183, ENCARGOS E MANUTENÇÃO,0.28,0.39,0.18,1.1,0.14,0.25,0.21,0.25,0.19,-0.05,0.15,0.14,0.15,0.22
184, ALUGUEL E TAXAS,0.26,0.65,0.23,1.41,0.06,0.14,0.74,0.14,0.18,0.1,0.02,0.18,0.15,0.25
185, ALUGUEL RESIDENCIAL,0.43,1.26,0.01,0.43,0.0,0.06,0.97,0.22,0.35,0.15,0.12,0.09,0.13,0.23
186, CONDOMÍNIO,0.06,0.38,1.47,0.46,0.27,0.46,0.05,0.0,0.14,0.11,0.13,0.55,0.84,0.32
