Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
37,DOCE  FRUTAS EM PASTA,0.0,0.0,0.0,3.05,0.0,-3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
38,HORTALIÇAS E VERDURAS,4.11,9.57,1.64,11.19,1.79,2.67,6.85,1.81,3.63,-2.8,-1.97,1.06,9.93,3.32
39,ALFACE,3.56,18.39,0.04,9.31,-1.25,7.07,9.16,-1.24,-2.98,2.49,-2.66,-5.08,8.28,1.99
40,COENTRO,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,11.93
41,COUVE,2.48,0.0,2.52,0.0,4.22,-3.22,0.0,0.0,0.0,-1.66,-0.96,-2.31,0.0,2.31
42,COUVE-FLOR,8.92,-2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.71,0.0,2.98
43,REPOLHO,12.64,-3.72,8.12,8.02,9.85,12.1,-3.19,0.0,8.48,-21.43,-0.65,35.32,18.01,4.15
44,CHEIRO-VERDE,1.78,0.0,0.0,0.0,7.54,-4.35,8.92,2.32,2.2,0.0,0.0,-1.12,10.91,4.63
45,AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39,-0.39
46,BRÓCOLIS,1.05,6.65,2.76,0.0,3.69,-1.03,0.0,0.0,0.0,-1.56,0.0,0.0,0.0,2.61
47,FRUTAS,1.29,1.76,2.56,2.79,-2.07,1.72,-3.33,6.91,5.74,-6.33,-2.11,0.52,-0.15,0.4
48,BANANA-DA-TERRA,0.0,0.0,0.0,-1.43,0.0,0.0,0.0,0.0,-5.7,0.0,0.0,-6.32,0.0,-4.07
49,ABACAXI,17.59,10.96,10.69,5.53,6.35,0.0,0.0,0.0,0.0,2.93,2.62,0.0,3.73,8.19
50,ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-17.52,0.0,0.0,0.0,0.0,0.0,0.0,-17.52
51,BANANA-D'AGUA,0.81,5.74,0.0,0.0,-5.77,2.52,0.0,0.0,0.0,-16.19,0.0,0.0,0.09,-4.97
52,BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.65,0.0,-1.27,-7.17
53,BANANA-PRATA,3.24,1.71,0.92,9.06,3.88,3.25,-1.6,13.43,3.06,3.4,0.02,2.08,0.0,3.58
54,LARANJA-BAIA,0.0,-2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.61
55,LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,-15.21,0.0,0.0,0.0,0.0,0.0,0.0,-15.21
56,MAÇÃ,1.23,1.0,4.05,-14.72,-2.21,0.53,1.08,-2.0,5.34,-1.58,-1.48,-3.05,-5.69,-0.29
57,MAMÃO,-11.81,-3.38,-16.46,-8.59,-1.3,-7.2,7.14,-3.7,2.96,-18.38,0.0,-9.95,-18.44,-6.1
58,MANGA,5.73,0.0,0.0,-0.25,0.0,0.94,0.0,0.0,0.0,0.0,0.0,3.47,0.0,2.61
59,MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,30.23,0.0,0.0,0.0,0.0,21.9
60,MELANCIA,0.0,0.0,19.58,-4.81,1.48,5.2,1.09,0.49,-4.16,3.64,4.4,0.0,15.77,1.96
61,PÊRA,1.8,0.0,0.0,0.0,-0.09,-1.02,0.0,0.0,0.0,0.0,-2.9,-1.76,0.0,0.17
62,TANGERINA,0.0,1.76,0.0,0.0,-2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.59
63,UVA,-2.83,0.0,-1.75,15.13,-8.7,4.47,-8.44,-3.44,1.64,-8.82,-6.68,-2.59,-8.57,-4.63
64,LARANJA-PÊRA,3.08,0.0,8.56,18.36,1.05,4.16,-8.9,18.36,22.15,3.76,-2.09,9.97,3.88,6.05
65,MORANGO,0.0,1.76,-4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,-1.42
66,GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.91,0.0,0.0,0.0,0.0,0.0,-2.91
67,CARNES,1.11,0.95,0.47,0.18,-0.35,-0.98,1.8,2.81,-1.13,-0.05,-0.43,1.76,-0.81,0.31
68,FÍGADO,0.0,0.0,0.0,3.9,0.0,0.0,3.3,1.46,2.8,0.0,0.0,0.0,0.0,3.06
69,CARNE DE PORCO,0.54,-0.4,0.06,-0.8,0.29,0.8,2.55,0.19,-4.27,-0.76,-1.01,-2.82,-0.8,-0.19
70,CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66,-2.49,0.0,0.0,0.0,0.0,0.49
71,CONTRAFILÉ,1.7,3.52,1.26,1.76,0.39,2.86,2.29,2.71,2.89,4.51,1.92,5.05,-0.26,1.94
72,FILÉ-MIGNON,0.65,0.0,0.0,2.33,0.0,0.0,1.64,0.0,-0.25,1.73,-0.99,0.0,3.67,1.18
73,CHÃ DE DENTRO,-0.43,2.73,-0.51,0.32,-2.65,-0.94,2.45,3.89,0.02,-0.61,-0.29,1.69,-3.64,-0.51
74,ALCATRA,2.07,-0.12,1.42,-2.24,0.87,-1.02,3.16,4.18,-0.66,-1.91,-0.13,6.29,1.68,0.77
75,PATINHO,-2.42,-0.88,0.07,-5.38,1.02,0.44,1.62,4.1,1.19,-3.36,-2.02,3.09,-5.95,0.07
76,LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,3.69,0.0,-0.97,0.0,0.0,0.0,0.0,2.11
77,LAGARTO COMUM,0.0,0.0,0.0,0.0,-1.12,-2.65,0.0,2.47,0.92,0.0,-0.9,0.0,-2.14,-0.93
78,MÚSCULO,1.03,3.85,-0.02,-0.17,-0.98,0.0,1.34,0.0,-2.59,5.79,-0.71,-2.25,3.86,0.24
79,PÁ,0.0,-6.16,0.0,1.63,1.65,-2.32,0.8,0.0,-1.49,-0.42,0.0,0.0,2.53,-0.85
80,ACÉM,-0.04,-4.28,-1.1,0.08,1.13,-5.17,-0.71,2.89,-1.02,-7.0,-0.86,0.71,0.11,-0.23
81,PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-2.83,0.33,-5.36,0.0,-0.99,0.0,-1.82,-3.16
82,CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.67
83,COSTELA,2.06,2.9,0.32,2.95,-3.53,-0.23,3.02,0.71,-5.11,0.54,-1.12,0.43,-3.02,0.18
84,PESCADOS,4.91,0.5,-2.46,3.69,1.42,-1.27,4.23,-2.58,2.71,0.24,1.18,3.75,1.38,2.39
85,PEIXE-ANCHOVA,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59
86,PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,2.21
87,PEIXE-CORVINA,13.48,0.0,0.0,1.17,0.0,0.0,0.0,0.0,-1.78,0.0,0.0,0.0,0.0,2.57
88,PEIXE-CAVALINHA,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33
89,PEIXE,0.0,0.5,-2.46,0.0,0.0,-1.27,0.0,0.0,0.0,0.24,1.18,0.0,0.0,-0.55
90,PEIXE-SARDINHA,0.0,0.0,0.0,10.46,7.17,0.0,0.0,0.0,10.35,0.0,0.0,0.0,1.53,8.18
91,CAMARÃO,3.04,0.0,0.0,11.86,0.0,0.0,-2.71,0.0,6.8,0.0,0.0,9.19,-2.44,3.65
92,PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,0.0,0.0,0.0,0.0,3.95
93,PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.15,-0.89,0.0,0.0,0.0,0.0,-2.23
94,PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,5.56
95,PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.74,0.0,5.74
96,PEIXE-CAÇÃO,-0.74,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,1.98
97,PEIXE-MERLUZA,5.42,0.0,0.0,3.87,-3.61,0.0,0.0,0.0,-1.31,0.0,0.0,0.0,8.55,0.81
98,PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,5.53,-2.32,0.0,0.0,0.0,0.0,0.0,2.58
99,PEIXE-PESCADA,7.84,0.0,0.0,-6.21,0.86,0.0,6.53,0.0,-0.26,0.0,0.0,-9.03,0.0,3.61
100,CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,7.09
101,PEIXE-CASTANHA,0.0,0.0,0.0,8.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49
102,PEIXE-SALMÃO,0.0,0.0,0.0,0.0,0.14,0.0,0.0,-2.58,0.0,0.0,0.0,0.0,1.38,-0.16
103,PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.37,0.0,0.0,0.0,0.0,0.0,-2.37
104,PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,4.23
105,PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,3.63
106,PEIXE-PEROA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.98,0.0,11.98
107,PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68
108,CARNES E PEIXES INDUSTRIALIZADOS,0.43,0.81,0.77,0.39,1.91,2.73,1.19,0.78,0.01,-1.23,2.63,4.83,2.1,1.01
109,PRESUNTO,3.4,2.62,-1.4,0.0,1.77,1.54,1.05,2.91,4.27,-1.6,7.36,5.9,2.67,1.77
110,SALSICHA,0.94,0.3,0.77,2.77,3.13,5.67,-2.22,0.0,0.0,0.53,3.38,1.59,-0.56,1.73
111,LINGUIÇA,-1.57,0.66,2.6,2.33,1.86,2.9,4.83,2.18,3.19,-1.06,-0.51,5.98,2.78,1.64
112,MORTADELA,1.9,-0.19,-2.03,-0.66,0.68,0.0,0.73,-2.52,0.0,-2.16,0.0,2.89,1.59,0.01
113,SALAME,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74
114,CARNE-SECA E DE SOL,-0.84,0.0,0.0,-0.15,0.0,0.0,0.59,-0.87,-1.27,0.0,0.0,2.65,0.0,-0.55
115,CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-0.31,0.0,0.0,0.0,0.0,0.0,-2.84,0.0,0.0,0.0,0.0,-1.66
116,HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04
117,AVES E OVOS,1.11,-0.3,1.49,-2.21,-0.37,0.75,0.17,-1.84,-0.02,-2.45,0.67,-1.49,0.65,-0.34
118,FRANGO INTEIRO,-0.78,-2.77,1.41,-2.98,1.48,-0.63,0.59,-2.02,0.16,1.14,1.42,-2.68,1.62,-0.33
119,FRANGO EM PEDAÇOS,1.51,0.96,-0.25,-4.07,-1.24,1.5,-1.62,-1.26,0.43,-4.76,-3.53,-1.69,2.45,-0.66
120,OVO DE GALINHA,2.61,-1.29,4.9,2.88,-1.01,2.39,-0.29,-1.41,-1.65,-2.45,1.56,1.61,-4.3,0.17
121,LEITES E DERIVADOS,0.46,3.44,-0.87,0.51,0.13,-0.43,-2.98,0.13,-0.68,0.24,-1.28,0.05,3.0,0.13
122,LEITE LONGA VIDA,3.9,5.29,-0.78,-1.64,-0.12,-0.63,-6.04,-0.45,-0.9,1.51,-1.75,0.15,6.43,0.66
123,LEITE CONDENSADO,0.0,0.97,0.0,0.0,0.0,0.0,-2.34,0.15,0.0,0.0,0.0,0.0,0.82,-0.19
124,LEITE EM PÓ,-0.2,0.95,0.0,-1.43,-1.78,0.0,-2.6,0.26,-1.61,3.1,1.21,-0.18,1.08,-1.06
125,QUEIJO,-3.33,0.98,-1.01,1.68,0.45,-2.59,-3.41,-0.83,-0.64,-3.81,-1.37,-1.23,-2.29,-0.7
126,CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,1.97
127,IOGURTE E BEBIDAS LÁCTEAS,0.15,2.79,-1.02,4.26,1.17,2.96,-0.12,2.07,1.85,0.28,0.39,0.94,0.93,1.15
128,MANTEIGA,0.0,0.0,0.0,3.6,0.0,0.0,-0.97,3.3,-0.37,0.0,0.0,2.21,0.0,0.95
129,PANIFICADOS,0.7,0.94,0.41,-0.34,0.73,0.31,0.32,0.41,2.74,-1.07,0.53,1.66,0.64,0.65
130,BISCOITO,-0.79,-0.11,0.74,-1.41,-0.85,0.56,0.41,0.94,2.47,-0.74,0.93,-0.29,-0.91,-0.01
131,PÃO FRANCÊS,1.07,1.03,-0.25,0.12,0.81,-0.36,0.19,0.24,3.24,-1.89,0.1,1.4,1.59,0.65
132,PÃO DOCE,0.24,2.54,2.25,0.0,0.66,3.81,-0.28,2.91,-2.08,0.87,0.0,2.52,-3.07,0.91
133,PÃO DE FORMA,1.22,-0.6,2.89,0.0,0.4,0.21,0.0,0.0,0.0,-1.47,1.17,4.94,-1.2,0.58
134,BOLO,2.43,6.12,1.23,0.37,6.26,0.02,2.43,-1.28,3.18,1.4,0.8,6.18,2.48,3.34
135,PÃO DE QUEIJO,0.0,0.0,0.56,0.0,0.0,2.1,0.0,0.0,0.0,0.0,1.51,0.0,0.0,1.0
136,ÓLEOS E GORDURAS,6.51,6.39,5.79,2.33,4.71,0.88,8.66,3.75,5.6,8.37,3.36,7.75,5.21,5.55
137,ÓLEO DE SOJA,9.12,6.71,6.72,4.86,7.53,2.58,13.72,5.28,6.55,11.58,3.77,10.93,6.17,7.66
138,AZEITE DE OLIVA,0.3,0.0,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,1.26
139,MARGARINA,6.79,5.65,2.68,0.03,0.92,-1.27,-0.19,1.75,3.93,1.65,1.59,3.8,2.43,2.4
140,BEBIDAS E INFUSÕES,0.88,0.88,0.77,-0.37,-1.03,2.0,2.36,1.21,0.25,-0.44,1.46,1.83,0.93,0.28
141,SUCO DE FRUTAS,-1.26,2.24,0.2,-0.12,0.73,3.92,-1.51,1.78,-3.19,-0.24,1.12,1.75,0.06,0.25
142,AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,2.76
143,CAFÉ MOÍDO,4.21,0.19,2.39,0.43,-0.37,5.33,0.72,3.1,3.23,-0.9,2.66,3.1,3.05,1.4
144,CAFÉ SOLÚVEL,0.0,0.56,0.0,-1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12
145,CHÁ,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,-2.07,1.92
146,REFRIGERANTE E ÁGUA MINERAL,0.35,1.08,1.19,-0.02,-1.33,1.07,3.94,0.77,-0.1,1.29,1.08,2.94,1.31,0.37
147,CERVEJA,0.63,-0.64,-2.02,-2.89,-2.32,-0.71,2.44,-2.56,-1.4,-2.86,0.87,-0.11,-0.2,-1.38
148,OUTRAS BEBIDAS ALCOÓLICAS,-0.71,1.12,0.56,1.09,0.74,1.62,0.07,0.86,0.8,-1.17,2.49,-0.74,0.0,0.28
149,ENLATADOS E CONSERVAS,-0.54,0.87,-0.9,2.17,2.26,1.82,-1.1,0.81,0.48,-0.95,-0.29,-1.05,1.37,0.66
150,COCO RALADO,0.0,0.0,0.0,0.0,4.94,0.64,0.0,0.0,0.0,-0.67,0.0,0.0,1.56,2.85
151,ERVILHA EM CONSERVA,-0.08,1.28,0.0,0.0,0.0,3.37,0.0,0.0,2.08,0.0,0.0,0.0,5.66,1.27
152,PALMITO EM CONSERVA,-2.79,0.0,2.89,0.0,2.93,0.0,0.0,0.0,0.0,-0.65,-2.76,1.7,0.0,1.41
153,PEPINO EM CONSERVA,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.29,0.0,0.0,-1.22,-0.64
154,SARDINHA EM CONSERVA,0.67,-0.93,-1.37,2.2,2.12,0.0,-1.07,0.18,2.68,-0.55,-0.51,-1.25,0.6,0.65
155,SALSICHA EM CONSERVA,0.0,0.0,0.0,10.92,0.0,-0.85,0.13,1.27,0.0,0.0,0.0,0.0,0.0,2.76
156,CARNE EM CONSERVA,0.0,0.0,0.0,-0.16,0.0,0.0,-0.81,-1.31,0.0,0.0,0.0,0.0,0.0,-0.55
157,PATÊ,3.62,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62
158,SOPA  DESIDRATADA,0.0,2.15,-0.63,0.0,1.36,1.97,0.0,0.0,0.0,0.0,1.57,1.58,0.0,1.02
159,AZEITONA,1.93,0.0,1.17,2.53,3.5,3.14,-1.5,0.0,-4.61,-1.45,0.51,-4.09,1.94,1.37
160,MILHO-VERDE EM CONSERVA,-3.29,0.25,-6.13,0.23,1.9,2.0,-2.89,6.01,2.03,0.69,-0.36,-1.53,1.02,-0.51
161,ATUM EM CONSERVA,-3.9,3.9,-0.56,0.0,-1.16,2.39,0.0,0.87,-0.06,-1.82,0.0,0.0,0.0,-0.93
162,SAL E CONDIMENTOS,0.68,2.04,1.16,-0.37,-0.39,3.64,0.92,-0.25,1.74,0.58,1.52,3.72,0.7,0.68
163,LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,0.0,0.0,0.0,0.0,3.81
164,ATOMATADO,2.53,1.04,0.6,-1.29,1.7,2.48,-0.22,3.17,1.79,0.61,1.1,3.72,3.92,1.41
165,ALHO,-1.26,0.0,1.77,-4.66,-2.9,12.42,-0.83,-1.73,2.97,0.07,2.61,6.16,-3.88,-0.48
166,SAL,0.0,0.0,0.0,0.0,0.0,-0.54,0.63,-0.86,0.0,0.0,0.9,0.0,0.64,0.36
167,FERMENTO,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,1.19,0.0,1.46
168,MAIONESE,3.64,4.72,-0.55,2.24,0.11,0.61,5.69,-2.59,0.0,-0.19,0.09,-0.81,2.03,1.3
169,VINAGRE,0.0,0.0,0.0,5.54,0.0,0.0,-2.45,0.0,0.0,0.0,0.0,0.0,0.0,1.58
170,CALDO CONCENTRADO,1.02,-0.05,3.29,1.98,-0.08,3.04,0.0,2.44,-3.78,0.0,0.0,0.7,0.0,0.34
171,TEMPERO MISTO,0.0,2.12,1.41,0.81,-1.94,-2.67,4.09,2.96,1.32,1.87,1.57,1.19,2.88,0.61
172,ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.06,0.3,0.63,0.94,0.67,1.25,0.59,0.85,1.46,1.48,0.27,0.62,1.77,0.69
173,ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.06,0.3,0.63,0.94,0.67,1.25,0.59,0.85,1.46,1.48,0.27,0.62,1.77,0.69
174,REFEIÇÃO,-0.25,-0.09,0.91,1.28,0.82,1.8,0.98,1.11,0.88,1.51,0.07,0.74,1.53,0.68
175,LANCHE,0.74,0.03,0.69,1.54,0.78,0.17,0.02,0.34,2.1,0.68,0.07,0.53,2.79,0.76
176,CAFÉ DA MANHÃ,0.1,3.75,0.1,-2.55,0.23,0.65,-0.6,0.0,0.87,0.0,0.0,-1.99,0.0,0.47
177,REFRIGERANTE E ÁGUA MINERAL,0.37,1.15,-1.09,1.1,-1.43,0.6,-0.73,-0.8,1.65,2.62,0.78,2.41,0.97,0.0
178,CAFEZINHO,-2.93,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,0.0,0.0,-0.13
179,CERVEJA,-0.63,2.7,1.14,-0.13,0.55,0.56,1.34,1.77,3.25,2.07,1.37,1.07,0.15,1.24
180,OUTRAS BEBIDAS ALCOÓLICAS,0.7,0.0,0.24,0.33,0.0,0.43,0.92,-0.64,1.8,0.0,0.0,-2.05,0.0,0.33
181,DOCES,1.37,0.67,-1.36,-2.35,0.65,0.64,1.22,3.44,-2.92,2.81,0.1,0.05,3.85,0.31
182,HABITAÇÃO,0.53,0.19,0.58,-0.07,-0.13,0.09,-0.09,0.03,0.2,0.01,0.57,0.06,1.26,0.17
183,ENCARGOS E MANUTENÇÃO,0.64,0.25,0.2,0.33,0.38,0.24,0.22,0.37,0.35,0.1,0.38,0.1,1.9,0.36
184,ALUGUEL E TAXAS,0.84,0.13,0.23,0.25,0.37,0.13,0.35,0.38,0.21,-0.09,0.33,0.31,2.38,0.37
185,ALUGUEL RESIDENCIAL,-0.27,0.6,0.06,0.23,0.54,-0.02,0.5,0.53,-0.12,-0.5,0.4,0.47,-0.15,0.2
186,CONDOMÍNIO,0.99,-0.57,1.28,0.46,0.25,0.65,-0.29,0.4,0.8,0.92,0.74,0.35,1.86,0.55
187,TAXA DE ÁGUA E ESGOTO,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37,0.61
