Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
18, MASSA SEMIPREPARADA,-2.64,0.97,0.75,0.0,1.41,-1.76,0.0,0.0,0.0,-4.7,-0.63,0.79,-1.6,0.03
19," TUBÉRCULOS, RAÍZES E LEGUMES",-9.93,-0.09,-5.37,-5.2,-3.56,-10.67,-0.79,-6.49,-4.81,-3.99,-16.85,-11.71,-5.93,-5.31
20, BATATA-INGLESA,-1.02,7.72,-9.1,0.7,-0.05,-4.19,-7.31,5.98,-8.18,4.18,-11.38,-11.72,2.45,-1.48
21, INHAME,0.0,0.0,0.0,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54
22, MANDIOCA (AIPIM),0.0,0.03,0.0,-1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.27,3.17,-0.41
23, ABÓBORA,-2.63,0.0,26.23,0.0,0.0,1.11,0.0,0.0,0.0,0.0,3.43,0.0,0.0,8.4
24, PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.87,0.0,0.0,0.0,0.0,9.87
25, QUIABO,0.0,0.0,12.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.04
26, TOMATE,-23.64,-10.27,-14.23,-17.04,-9.87,-19.66,-2.46,-22.92,-8.45,-14.45,-27.47,-21.43,-15.09,-13.85
27, CEBOLA,-2.31,11.84,4.24,-2.92,-1.08,-3.3,6.89,1.21,0.27,5.57,-5.59,-2.62,8.96,1.44
28, CENOURA,-6.55,0.0,-0.65,0.0,4.95,-3.8,0.0,4.32,-15.8,2.74,-6.92,1.03,0.0,-1.54
29, MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14
30, AÇÚCARES E DERIVADOS,-3.39,-1.25,-4.69,-1.53,-3.14,-0.35,-2.26,-0.96,0.08,-2.94,-5.3,-5.42,-3.74,-2.7
31, AÇÚCAR REFINADO,-5.86,-4.11,0.0,0.0,-3.44,0.0,0.06,0.05,0.0,-3.46,0.0,0.0,0.0,-3.42
32, AÇÚCAR CRISTAL,-4.17,-4.67,-8.38,-1.9,-11.32,-3.06,-4.29,-3.08,-0.06,-9.33,-9.42,-8.01,-8.04,-5.9
33, BALAS,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,0.0,0.0,1.88
34, CHOCOLATE EM BARRA E BOMBOM,-3.17,0.64,-1.94,-4.47,-0.87,0.8,-0.62,0.0,2.08,0.57,0.73,-1.57,-0.8,-0.77
35, SORVETE,0.18,2.15,-1.17,-0.65,3.04,0.33,0.0,3.45,-0.28,0.0,0.71,1.03,1.21,1.44
36, CHOCOLATE E ACHOCOLATADO EM PÓ,-0.41,-0.98,1.75,0.8,-2.7,0.93,0.71,-0.29,-0.12,-1.62,1.0,-2.05,0.19,-0.95
37, DOCE  FRUTAS EM PASTA,0.0,0.0,0.0,1.47,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75
38, HORTALIÇAS E VERDURAS,-2.96,-13.07,-3.05,-6.49,-3.49,0.05,-2.25,3.33,1.32,-4.13,-10.84,-1.56,0.29,-3.68
39, ALFACE,-4.2,-25.62,-2.86,-7.13,-4.86,1.22,-5.78,-3.4,4.41,-8.02,-17.53,-3.27,-3.04,-6.94
40, COENTRO,0.0,0.0,0.0,-5.08,0.0,0.0,0.0,0.0,-3.8,0.0,0.0,0.0,0.0,-4.49
41, COUVE,-2.43,0.0,-3.57,0.0,-2.37,-3.8,0.0,0.0,0.0,1.26,-4.94,-1.67,0.0,-2.63
42, COUVE-FLOR,-5.88,8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.29,0.0,-0.17
43, REPOLHO,1.54,2.97,-3.87,-10.43,1.93,-6.14,0.3,0.0,4.49,14.78,0.19,6.96,14.19,2.21
44, CHEIRO-VERDE,-1.91,0.0,0.0,0.0,-0.16,2.08,-1.34,4.34,1.67,0.0,0.0,-0.27,-6.01,0.77
45, AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32,-0.32
46, BRÓCOLIS,-3.05,-3.4,-1.59,0.0,-6.12,4.22,0.0,0.0,0.0,-8.39,0.0,0.0,0.0,-4.63
47, FRUTAS,-4.07,-5.35,-4.45,-2.96,-2.08,-1.74,-2.14,0.12,0.34,0.12,-3.87,-2.26,-2.65,-2.57
48, BANANA-DA-TERRA,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,10.54,0.0,0.0,-4.27,0.0,4.51
49, ABACAXI,-5.0,-4.24,1.94,-4.66,-3.8,0.0,0.0,0.0,0.0,-14.69,-3.44,0.0,-3.59,-4.19
50, ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,4.92
51, BANANA-D'AGUA,-5.0,-4.34,0.0,0.0,-4.56,3.61,0.0,0.0,0.0,0.72,0.0,0.0,-11.42,-3.93
52, BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,0.0,-3.93,-0.93
53, BANANA-PRATA,-5.11,-3.01,-1.44,-7.56,-2.78,-7.81,-5.62,-0.66,2.07,-7.37,-1.76,-0.99,0.0,-3.05
54, LARANJA-BAIA,0.0,-12.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.52
55, LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,12.72,0.0,0.0,0.0,0.0,0.0,0.0,12.72
56, MAÇÃ,-0.27,-2.19,-5.4,-1.99,5.46,3.07,1.91,6.1,0.41,4.94,-1.93,-0.34,0.85,1.44
57, MAMÃO,-4.81,-3.75,-12.18,2.88,-7.98,2.08,3.05,2.36,4.42,3.07,0.0,-6.63,-4.89,-3.7
58, MANGA,-10.07,0.0,0.0,-5.81,0.0,-7.05,0.0,0.0,0.0,0.0,0.0,-9.66,0.0,-8.14
59, MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,11.54,0.0,0.0,0.0,0.0,9.23
60, MELANCIA,0.0,0.0,-1.76,0.92,3.53,-2.31,-8.67,-3.58,-1.16,5.87,-11.2,0.0,-0.8,-0.58
61, PÊRA,-0.31,0.0,0.0,0.0,7.91,-1.53,0.0,0.0,0.0,0.0,-4.87,-2.26,0.0,3.9
62, TANGERINA,0.0,-5.35,0.0,0.0,-2.08,0.0,0.0,0.0,0.0,0.0,0.0,-2.26,0.0,-5.14
63, UVA,-5.74,0.0,-1.89,3.61,0.07,3.9,-0.44,-4.86,-6.2,-4.98,-11.14,1.11,-3.38,-2.14
64, LARANJA-PÊRA,-3.03,0.0,-4.83,-3.84,-6.76,0.64,1.82,1.52,-4.69,2.65,-2.85,-1.42,3.75,-3.55
65, MORANGO,0.0,-20.09,-13.69,0.0,0.0,0.0,0.0,0.0,0.0,-10.42,0.0,0.0,0.0,-14.63
66, GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.78,0.0,0.0,0.0,0.0,0.0,-6.78
67, CARNES,-2.62,-1.84,-1.64,-1.68,-1.18,-1.3,-3.56,-2.07,-0.99,-1.64,-0.61,-2.01,-2.79,-1.75
68, FÍGADO,0.0,0.0,0.0,-2.28,0.0,0.0,1.13,-3.63,0.63,0.0,0.0,0.0,0.0,-0.41
69, CARNE DE PORCO,1.82,1.47,1.92,-1.95,-2.31,-2.42,-0.17,-1.24,-5.35,-0.21,-0.2,1.2,-1.36,-0.41
70, CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,-1.45,0.0,0.0,0.0,0.0,-0.21
71, CONTRAFILÉ,-3.71,-3.82,-1.15,-5.87,-1.02,-3.38,-3.17,0.5,-2.37,-3.68,0.84,-3.68,-3.16,-2.31
72, FILÉ-MIGNON,-4.45,0.0,0.0,-4.23,0.0,0.0,-1.3,0.0,-4.04,-1.19,-0.65,0.0,-3.98,-2.69
73, CHÃ DE DENTRO,1.58,-4.89,-2.49,-0.44,0.2,-3.61,-5.81,-5.43,-0.67,-2.17,0.52,-1.25,-0.37,-1.63
74, ALCATRA,-3.33,-4.32,-5.42,-2.75,-3.29,-2.58,-5.58,-1.47,-0.3,-1.13,-1.21,-4.8,-4.25,-3.36
75, PATINHO,-1.06,-0.73,-2.46,0.32,-0.91,-1.43,-4.75,-3.63,-0.58,-0.69,-0.72,-3.38,-2.2,-1.47
76, LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,-0.13,0.0,0.0,0.0,0.0,0.0
77, LAGARTO COMUM,0.0,0.0,0.0,0.0,-1.33,-0.03,0.0,-2.27,-1.52,0.0,-1.64,0.0,-7.75,-1.51
78, MÚSCULO,-4.87,-0.97,-0.35,-1.38,-0.3,0.0,-1.75,0.0,-0.59,-3.46,0.79,1.31,-0.81,-1.07
79, PÁ,0.0,-0.88,0.0,-1.94,-1.23,0.14,-4.93,0.0,-1.02,-2.56,0.0,0.0,-1.62,-1.93
80, ACÉM,-0.56,-2.97,-4.49,2.18,-0.82,-2.28,-2.92,-1.31,-1.6,-4.27,0.3,-2.32,-4.28,-1.59
81, PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-1.41,-0.25,5.87,0.0,-1.16,0.0,-3.46,1.15
82, CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.79,-3.79
83, COSTELA,-4.02,-0.47,3.02,-1.29,-1.09,1.2,-4.09,-0.76,-2.99,-0.54,-1.76,-1.75,-2.04,-1.2
84, PESCADOS,0.04,-2.49,-0.72,-1.93,0.92,-5.36,-1.52,-0.09,1.08,-0.56,2.78,1.18,2.07,-0.4
85, PEIXE-ANCHOVA,7.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86
86, PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.0,2.05
87, PEIXE-CORVINA,-5.74,0.0,0.0,-1.97,0.0,0.0,0.0,0.0,-3.61,0.0,0.0,0.0,0.0,-3.79
88, PEIXE-CAVALINHA,0.0,0.0,0.0,-3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.04
89, PEIXE,0.0,-2.49,-0.72,0.0,0.0,-5.36,0.0,0.0,0.0,-0.56,2.78,0.0,0.0,-1.41
90, PEIXE-SARDINHA,0.0,0.0,0.0,-3.01,-8.69,0.0,0.0,0.0,-4.46,0.0,0.0,0.0,11.44,-6.49
91, CAMARÃO,3.79,0.0,0.0,-0.6,0.0,0.0,5.3,0.0,5.24,0.0,0.0,0.03,2.75,3.95
92, PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
93, PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.89,7.07,0.0,0.0,0.0,0.0,7.41
94, PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.96,-1.96
95, PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,2.85
96, PEIXE-CAÇÃO,9.73,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,4.8
97, PEIXE-MERLUZA,-7.04,0.0,0.0,0.52,0.92,0.0,0.0,0.0,3.92,0.0,0.0,0.0,-0.36,-1.41
98, PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,1.59,10.63,0.0,0.0,0.0,0.0,0.0,5.11
99, PEIXE-PESCADA,-6.02,0.0,0.0,-5.13,6.87,0.0,-0.96,0.0,-1.27,0.0,0.0,0.03,0.0,0.51
100, CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,-12.25,0.0,0.0,0.0,0.0,0.0,0.0,-12.25
101, PEIXE-CASTANHA,0.0,0.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41
102, PEIXE-SALMÃO,0.0,0.0,0.0,0.0,-0.54,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,2.07,-0.21
103, PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,0.0,0.0,0.0,0.0,0.0,-2.6
104, PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,-1.52,0.0,0.0,0.0,0.0,0.0,0.0,-1.52
105, PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-2.46,0.0,0.0,0.0,0.0,0.0,0.0,-2.46
106, PEIXE-PEROA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,3.16
107, PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.92,-0.92
108, CARNES E PEIXES INDUSTRIALIZADOS,-0.28,1.06,0.69,-1.8,-1.61,0.01,-1.68,0.77,0.48,-0.09,0.15,1.88,-2.16,-0.52
109, PRESUNTO,-4.16,3.84,0.85,0.0,-1.94,-0.54,-8.17,-2.93,-2.67,-2.36,0.83,0.87,2.43,-1.36
110, SALSICHA ,-4.45,1.18,0.69,-0.8,-0.22,-4.41,-2.88,0.0,0.0,-2.24,-2.79,2.86,-1.51,-0.67
111, LINGUIÇA,1.88,-0.45,-0.39,-1.97,-2.95,1.75,-0.66,1.74,-0.74,0.37,0.45,1.86,-4.8,-1.14
112, MORTADELA,2.08,1.24,3.22,-0.07,2.0,0.0,-0.48,5.09,0.0,2.38,0.0,4.56,1.4,1.92
113, SALAME ,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
114, CARNE-SECA E DE SOL,1.51,0.0,0.0,-2.19,0.0,0.0,-1.17,-2.99,0.98,0.0,0.0,0.79,0.0,-0.39
115, CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,3.23
116, HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4
117, AVES E OVOS,-1.65,-0.73,-4.86,0.37,-0.93,-1.7,-0.82,-0.04,-0.32,-3.09,-2.45,-0.64,-1.72,-1.24
118, FRANGO INTEIRO,-3.08,-2.01,-3.75,0.78,0.44,-2.16,-1.43,-0.06,-0.19,-0.19,-2.65,-0.84,-2.59,-0.86
119, FRANGO EM PEDAÇOS,-0.8,-0.37,-4.3,-0.13,-2.54,2.3,1.92,-1.29,0.61,-4.42,-0.59,1.53,-0.8,-1.52
120, OVO DE GALINHA,-2.12,-0.58,-7.3,-0.32,0.38,-6.42,-0.23,0.55,-2.56,-3.82,-3.12,-2.47,-2.16,-1.54
121, LEITES E DERIVADOS,-3.85,-3.28,-3.87,-2.06,-3.02,-2.47,-0.64,-0.67,-1.32,-1.0,-1.12,-2.32,0.35,-2.5
122, LEITE LONGA VIDA,-7.81,-6.93,-5.34,-1.56,-3.85,-5.59,-2.59,-0.83,-3.01,-2.19,-1.93,-3.97,0.89,-4.26
123, LEITE CONDENSADO,0.0,-0.75,0.0,0.0,0.0,0.0,-1.49,-1.97,0.0,0.0,0.0,0.0,-5.99,-1.7
124, LEITE EM PÓ,-0.4,-0.75,0.0,0.11,-2.58,0.0,-0.83,-2.34,-0.86,-1.46,-1.91,-1.4,-2.31,-1.09
125, QUEIJO,-0.46,2.77,0.24,-2.13,-2.37,1.22,-0.69,0.81,0.45,0.38,0.39,0.18,1.44,-0.67
126, CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,0.0,0.0,0.0,0.0,0.0,-0.66
127, IOGURTE E BEBIDAS LÁCTEAS,-1.88,-0.75,-5.82,-6.41,-1.08,1.76,3.56,3.24,-1.72,2.13,2.01,1.16,0.12,-1.17
128, MANTEIGA,0.0,0.0,0.0,-5.25,0.0,0.0,0.45,0.14,0.03,0.0,0.0,-4.33,0.0,-1.31
129, PANIFICADOS,0.19,-1.78,0.05,-0.01,-1.61,0.17,-0.37,-0.45,-2.65,0.73,-0.28,0.41,1.2,-0.78
130, BISCOITO,-0.58,-0.2,0.43,-2.21,0.84,-2.16,-0.17,0.58,1.19,1.93,0.16,-0.82,1.96,0.24
131, PÃO FRANCÊS,1.28,-1.51,-0.19,0.89,-2.27,1.59,-0.38,-0.66,-4.85,1.34,-0.6,0.72,1.3,-0.93
132, PÃO DOCE,-0.35,-2.36,-2.07,0.0,0.55,-7.43,-2.23,2.18,-0.01,-0.35,0.0,-1.18,2.02,-0.54
133, PÃO DE FORMA,-2.33,-6.91,0.89,0.0,-2.97,3.18,0.0,0.0,0.0,-2.65,0.49,-0.63,-2.99,-2.74
134, BOLO,-4.6,-0.8,3.52,2.09,-3.92,1.32,0.06,-3.72,1.79,-1.91,1.24,5.1,0.65,-1.39
135, PÃO DE QUEIJO,0.0,0.0,-0.8,0.0,0.0,-1.1,0.0,0.0,0.0,0.0,-1.17,0.0,0.0,-0.93
136, ÓLEOS E GORDURAS,-0.64,-2.53,-2.94,-3.4,-1.96,-3.04,-0.28,0.35,1.42,0.8,0.09,-1.9,-0.39,-1.22
137, ÓLEO DE SOJA,-3.8,-3.57,-4.26,-5.05,-2.6,-3.82,-1.22,-0.08,2.23,1.85,-0.14,-3.33,-1.28,-1.95
138, AZEITE DE OLIVA,5.18,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,0.0,2.83
139, MARGARINA,-0.18,-0.54,0.84,-2.01,-2.49,-2.07,1.35,0.87,0.18,-1.21,0.97,0.54,1.85,-0.65
140, BEBIDAS E INFUSÕES,0.33,-0.29,-0.77,0.55,0.2,0.19,-1.12,0.9,0.68,0.04,-0.85,0.53,-0.14,-0.02
141, SUCO DE FRUTAS,1.79,0.07,-3.14,1.02,-0.66,-1.25,1.39,0.41,-0.65,-0.74,0.2,3.37,-0.54,-0.36
142, AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-5.54,0.0,0.0,0.0,0.0,0.0,0.0,-5.54
143, CAFÉ MOÍDO,-0.1,-0.34,-3.16,0.16,-0.16,1.0,-0.3,1.82,-0.85,0.59,-0.15,-0.14,0.09,-0.43
144, CAFÉ SOLÚVEL,0.0,-1.44,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.79
145, CHÁ,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,-0.77,-2.13
146, REFRIGERANTE E ÁGUA MINERAL,-0.04,0.62,-0.31,-0.08,-0.14,0.43,1.18,0.86,0.5,-0.54,-2.04,-0.19,-0.25,-0.01
147, CERVEJA,0.06,0.08,2.14,2.95,1.25,0.43,1.52,-0.62,3.27,0.59,-0.01,1.74,0.08,1.09
148, OUTRAS BEBIDAS ALCOÓLICAS,1.76,0.63,2.73,0.58,1.31,-2.47,0.14,-1.49,1.94,-0.29,1.63,-0.27,0.0,1.05
149, ENLATADOS E CONSERVAS,-0.24,3.41,-0.05,-2.54,0.63,1.37,-1.47,-0.72,6.38,0.66,1.56,-0.76,-0.26,0.57
150, COCO RALADO,0.0,0.0,0.0,0.0,2.44,-4.78,0.0,0.0,0.0,-0.71,0.0,0.0,0.31,0.9
151, ERVILHA EM CONSERVA,-0.5,-0.53,0.0,0.0,0.0,1.65,0.0,0.0,0.94,0.0,0.0,0.0,-1.65,-0.2
152, PALMITO EM CONSERVA,2.97,0.0,3.65,0.0,4.58,0.0,0.0,0.0,0.0,2.06,1.7,1.11,0.0,3.6
153, PEPINO EM CONSERVA,0.0,7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,3.81,4.7
154, SARDINHA EM CONSERVA,0.23,9.49,4.19,-1.51,2.3,0.0,-2.16,0.46,15.62,2.52,2.67,1.82,0.43,2.24
155, SALSICHA EM CONSERVA,0.0,0.0,0.0,-1.14,0.0,2.69,-3.48,-5.52,0.0,0.0,0.0,0.0,0.0,-2.52
156, CARNE EM CONSERVA,0.0,0.0,0.0,-4.96,0.0,0.0,-1.44,0.43,0.0,0.0,0.0,0.0,0.0,-2.92
157, PATÊ,6.46,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17
158, SOPA  DESIDRATADA,0.0,1.72,1.46,0.0,2.69,2.26,0.0,0.0,0.0,0.0,2.91,1.72,0.0,2.18
159, AZEITONA,-2.06,0.0,-0.03,-3.25,-3.34,0.52,1.2,0.0,-0.39,0.78,0.01,-2.8,0.33,-1.52
160, MILHO-VERDE EM CONSERVA,-3.23,-2.65,-9.1,-0.13,-1.38,5.11,0.75,-2.14,5.55,-3.95,2.24,-6.63,-3.87,-2.4
161, ATUM EM CONSERVA,-1.56,5.98,2.75,0.0,-0.01,1.37,0.0,0.25,5.04,2.85,0.0,0.0,0.0,1.13
162, SAL E CONDIMENTOS,-3.87,-0.63,-2.04,-2.38,-1.14,0.94,-0.66,-2.47,-2.87,-1.18,-2.73,-3.97,-0.4,-1.73
163, LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5
164, ATOMATADO,-2.29,-0.23,1.59,-1.61,0.88,0.13,-1.95,-0.6,2.78,-1.43,-0.25,0.06,1.23,0.21
165, ALHO,-6.1,0.0,-9.1,-3.24,-3.96,-0.62,-1.64,-4.52,-14.37,-1.62,-10.83,-8.2,-3.86,-5.83
166, SAL ,0.0,0.0,0.0,0.0,0.0,-1.26,1.12,-0.44,0.0,0.0,1.79,0.0,1.7,0.88
167, FERMENTO,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,1.48
168, MAIONESE,-0.63,-2.71,-0.15,-6.48,-2.64,-2.57,-0.36,0.11,0.0,-3.42,-0.09,0.54,0.74,-2.02
169, VINAGRE,0.0,0.0,0.0,0.77,0.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,0.0,2.6
170, CALDO CONCENTRADO,-1.55,-1.29,0.13,-3.08,0.22,3.29,0.0,-4.21,-0.17,0.0,0.0,-0.59,0.0,-0.56
171, TEMPERO MISTO,0.0,0.39,3.32,-2.88,-0.51,4.94,-1.71,0.25,1.48,0.69,2.07,-0.22,0.56,0.45
172, ALIMENTAÇÃO FORA DO DOMICÍLIO,0.47,1.0,0.03,0.69,0.08,0.79,-0.79,0.25,2.49,-0.54,0.24,0.28,0.07,0.35
173, ALIMENTAÇÃO FORA DO DOMICÍLIO,0.47,1.0,0.03,0.69,0.08,0.79,-0.79,0.25,2.49,-0.54,0.24,0.28,0.07,0.35
174, REFEIÇÃO,0.73,1.34,-0.32,0.91,0.23,1.06,-4.17,-0.51,4.35,-1.53,0.62,0.2,-0.35,0.39
175, LANCHE,-0.17,0.65,0.05,0.81,-0.38,0.45,1.1,1.12,0.04,1.52,-0.02,0.4,0.91,0.22
176, CAFÉ DA MANHÃ,0.0,0.12,0.74,5.05,1.59,-0.56,3.17,0.0,0.54,0.0,0.0,-1.1,0.0,1.15
177, REFRIGERANTE E ÁGUA MINERAL,-0.3,-0.22,0.83,0.82,-1.3,1.09,0.41,2.6,-0.04,0.85,-0.53,1.59,-0.25,-0.15
178, CAFEZINHO,0.83,3.75,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,-1.39,0.0,0.0,0.6
179, CERVEJA,-0.13,-0.87,1.01,-0.98,0.38,-1.32,1.35,1.34,2.95,-0.15,-0.52,-0.79,-0.44,0.61
180, OUTRAS BEBIDAS ALCOÓLICAS,0.18,0.0,0.06,0.74,0.0,-0.07,2.09,0.56,0.58,0.0,0.0,0.15,0.0,0.56
181, DOCES,0.34,1.09,0.41,0.36,0.6,0.39,1.18,-0.05,-2.29,0.35,-0.42,1.95,1.75,0.3
182, HABITAÇÃO,0.7,1.13,0.99,-0.88,0.79,0.57,1.98,-0.37,-1.28,0.71,-0.46,2.13,0.47,0.57
