Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
14, FLOCOS DE MILHO,0.0,0.0,0.0,1.71,0.0,-0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36
15, FARINHA DE TRIGO,-0.18,-1.87,-1.95,0.0,-3.49,0.0,-2.22,0.0,0.0,-7.69,-3.16,-0.15,-1.56,-3.5
16, FARINHA VITAMINADA,0.0,0.0,0.0,-0.82,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,-0.16
17, FARINHA DE MANDIOCA,0.06,0.0,0.0,1.82,0.0,2.43,0.12,1.6,-0.05,0.0,0.0,2.8,0.0,0.4
18, MASSA SEMIPREPARADA,3.28,0.4,0.79,0.0,0.25,2.22,0.0,0.0,0.0,0.64,-1.86,1.88,0.39,0.73
19," TUBÉRCULOS, RAÍZES E LEGUMES",8.86,6.86,6.16,7.49,4.04,3.55,4.73,8.34,2.33,13.76,14.1,6.41,1.0,6.25
20, BATATA-INGLESA,11.77,6.44,8.06,10.32,1.92,-2.14,3.91,2.27,-1.25,3.94,9.97,3.86,-0.58,5.08
21, INHAME,0.0,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58
22, MANDIOCA (AIPIM),0.0,-5.25,0.0,-2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-8.98,-4.35
23, ABÓBORA,-2.84,0.0,-4.51,0.0,0.0,0.65,0.0,0.0,0.0,0.0,-1.62,0.0,0.0,-2.9
24, PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.34,0.0,0.0,0.0,0.0,-2.34
25, QUIABO,0.0,0.0,-8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.53
26, TOMATE,11.12,14.27,12.2,20.83,15.96,7.56,5.41,22.6,7.61,25.98,22.97,17.12,7.65,14.47
27, CEBOLA,1.79,3.94,1.77,0.57,-3.87,-1.31,4.37,-0.78,-3.24,-3.26,3.25,1.8,-3.85,-0.63
28, CENOURA,10.18,0.0,2.9,0.0,-0.69,8.46,0.0,6.89,10.24,34.26,12.04,-0.02,0.0,6.83
29, MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.8
30, AÇÚCARES E DERIVADOS,-1.61,-1.9,-2.47,-0.77,-1.25,-1.23,-1.65,0.5,-1.04,-2.87,-1.71,-0.57,-2.64,-1.55
31, AÇÚCAR REFINADO,-4.01,-0.94,0.0,0.0,-1.42,0.0,-1.13,2.48,0.0,-2.23,0.0,0.0,0.0,-1.65
32, AÇÚCAR CRISTAL,-1.16,-3.14,-4.83,1.13,-1.72,-1.3,-2.25,-1.52,-1.1,-3.88,-2.82,-0.9,-3.52,-2.19
33, BALAS,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.62,0.0,0.0,0.0,-2.09
34, CHOCOLATE EM BARRA E BOMBOM,-3.74,-4.54,0.94,-11.51,-4.76,-2.39,0.3,0.0,-3.43,-7.38,-0.16,-0.36,-4.36,-4.19
35, SORVETE,1.17,2.03,0.03,-0.46,0.83,-0.18,0.0,1.38,-0.86,1.35,0.73,-1.47,0.47,0.81
36, CHOCOLATE E ACHOCOLATADO EM PÓ,2.9,-0.26,0.94,-1.44,1.26,0.39,-0.98,0.67,0.57,-0.34,0.02,1.05,-1.84,0.73
37, DOCE  FRUTAS EM PASTA,0.0,0.0,0.0,-1.6,0.0,-2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1
38, HORTALIÇAS E VERDURAS,1.22,13.59,1.87,5.82,-3.35,3.15,5.62,0.04,-3.28,9.94,4.23,-4.16,5.22,1.32
39, ALFACE,1.01,9.37,3.56,5.5,-5.07,5.44,3.54,1.54,3.7,7.91,3.46,-4.22,0.05,0.5
40, COENTRO,0.0,0.0,0.0,6.65,0.0,0.0,0.0,0.0,-2.82,0.0,0.0,0.0,0.0,2.4
41, COUVE,0.96,0.0,-3.36,0.0,-5.56,-6.77,0.0,0.0,0.0,13.88,2.1,0.94,0.0,-2.39
42, COUVE-FLOR,0.54,14.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,6.48
43, REPOLHO,6.67,31.91,4.9,3.15,-0.88,11.31,17.08,0.0,-18.35,14.39,8.51,-7.98,26.69,6.29
44, CHEIRO-VERDE,-1.06,0.0,0.0,0.0,-1.32,3.73,3.5,-0.19,-1.4,0.0,0.0,-7.52,-0.82,-0.21
45, AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,2.36
46, BRÓCOLIS,0.99,5.33,-0.9,0.0,6.38,-0.22,0.0,0.0,0.0,12.48,0.0,0.0,0.0,4.73
47, FRUTAS,3.04,-1.32,0.08,5.62,2.39,1.03,3.09,1.15,-1.41,3.38,-1.31,-0.4,0.43,1.39
48, BANANA-DA-TERRA,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,-2.83,0.0,0.0,9.55,0.0,-0.41
49, ABACAXI,-3.23,-7.68,-1.41,-3.0,5.91,0.0,0.0,0.0,0.0,-5.85,-3.62,0.0,-4.61,-1.04
50, ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-13.67,0.0,0.0,0.0,0.0,0.0,0.0,-13.67
51, BANANA-D'AGUA,4.11,-0.05,0.0,0.0,-1.86,7.93,0.0,0.0,0.0,7.34,0.0,0.0,-2.03,0.14
52, BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.22,0.0,-6.18,-5.42
53, BANANA-PRATA,3.01,-4.9,-1.96,11.26,2.17,-3.84,3.18,4.78,1.1,-4.11,-0.32,0.0,0.0,1.82
54, LARANJA-BAIA,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49
55, LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,-8.94,0.0,0.0,0.0,0.0,0.0,0.0,-8.94
56, MAÇÃ,-9.67,-3.79,-15.72,-7.32,-0.86,-8.31,-3.84,-10.76,-7.26,-12.18,-8.14,-9.92,-10.21,-7.24
57, MAMÃO,12.96,4.49,15.33,1.03,9.59,8.61,15.2,5.09,-9.92,9.69,0.0,17.71,21.26,7.76
58, MANGA,16.26,0.0,0.0,24.96,0.0,15.91,0.0,0.0,0.0,0.0,0.0,5.27,0.0,18.35
59, MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.66,-14.3,0.0,0.0,0.0,0.0,-15.72
60, MELANCIA,0.0,0.0,11.04,1.22,10.13,10.21,12.88,11.37,5.0,8.22,14.65,0.0,11.13,8.52
61, PÊRA,-0.78,0.0,0.0,0.0,-5.49,-5.42,0.0,0.0,0.0,0.0,-0.42,-6.04,0.0,-4.04
62, TANGERINA,0.0,-1.32,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,-1.16
63, UVA,0.33,0.0,-1.13,-2.78,7.4,5.48,3.21,-2.14,0.49,11.59,-5.45,0.11,0.79,3.73
64, LARANJA-PÊRA,11.39,0.0,8.4,13.22,2.94,3.09,5.06,-1.21,0.41,10.62,0.76,-4.48,-0.17,5.29
65, MORANGO,0.0,-7.24,9.33,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,3.11
66, GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,3.15
67, CARNES,-2.04,1.12,-2.09,-0.94,-0.71,-2.43,-0.49,-0.67,-0.57,-1.88,-1.88,-3.73,0.55,-0.96
68, FÍGADO,0.0,0.0,0.0,-2.05,0.0,0.0,-2.53,-0.76,-3.29,0.0,0.0,0.0,0.0,-2.43
69, CARNE DE PORCO,4.22,1.37,1.4,2.0,2.64,0.31,0.53,2.72,3.73,-3.88,2.83,-3.72,1.15,1.43
70, CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,2.75,0.0,0.0,0.0,0.0,2.74
71, CONTRAFILÉ,-4.81,0.03,-3.75,-2.5,0.83,-0.24,-2.88,-1.82,-2.44,-2.18,-1.94,-7.35,0.69,-1.84
72, FILÉ-MIGNON,-5.36,0.0,0.0,2.12,0.0,0.0,0.54,0.0,-0.11,-3.99,-2.93,0.0,-3.72,-2.31
73, CHÃ DE DENTRO,-1.19,2.64,-0.31,-1.57,-2.6,-2.03,-0.46,-3.19,-1.2,1.88,-2.95,-4.55,0.38,-1.35
74, ALCATRA,-4.41,0.84,-5.65,-1.66,-2.38,-4.56,-1.69,-2.08,-1.44,-3.9,-2.27,-3.58,-1.54,-2.83
75, PATINHO,0.18,3.0,0.46,2.24,1.14,-2.99,0.97,-1.22,1.4,0.93,-0.36,-0.05,3.02,0.75
76, LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-2.03,0.0,-0.63,0.0,0.0,0.0,0.0,-1.58
77, LAGARTO COMUM,0.0,0.0,0.0,0.0,-0.4,-2.11,0.0,-1.53,-0.47,0.0,-1.28,0.0,-0.1,-0.78
78, MÚSCULO,3.51,3.32,-2.81,0.23,-0.68,0.0,-3.9,0.0,-1.44,-1.33,-4.06,-4.74,-2.28,-0.83
79, PÁ,0.0,1.53,0.0,2.92,0.42,-1.94,2.66,0.0,1.1,-0.75,0.0,0.0,3.02,1.26
80, ACÉM,3.28,0.32,0.77,-2.53,-1.68,-0.94,1.27,1.82,-1.54,-3.41,-3.88,-1.44,2.95,-0.56
81, PEITO,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,-6.78,0.0,-0.98,0.0,3.73,-1.81
82, CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.16,-1.16
83, COSTELA,-3.65,0.89,-0.25,-3.67,-1.48,-3.35,0.45,-0.39,2.11,-0.98,-1.89,-3.6,0.91,-0.78
84, PESCADOS,2.73,3.26,3.48,2.66,2.15,-1.98,3.81,7.46,6.11,-3.45,1.57,1.75,4.08,3.43
85, PEIXE-ANCHOVA,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75
86, PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.61,0.0,-5.61
87, PEIXE-CORVINA,8.05,0.0,0.0,7.43,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,7.77
88, PEIXE-CAVALINHA,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21
89, PEIXE,0.0,3.26,3.48,0.0,0.0,-1.98,0.0,0.0,0.0,-3.45,1.57,0.0,0.0,0.75
90, PEIXE-SARDINHA,0.0,0.0,0.0,-5.25,-1.71,0.0,0.0,0.0,4.15,0.0,0.0,0.0,1.21,-0.81
91, CAMARÃO,1.24,0.0,0.0,0.36,0.0,0.0,1.27,0.0,6.55,0.0,0.0,5.25,3.67,2.91
92, PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,1.23
93, PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26,5.1,0.0,0.0,0.0,0.0,6.4
94, PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
95, PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.82,0.0,10.81
96, PEIXE-CAÇÃO,-7.83,0.0,0.0,0.0,-2.57,0.0,0.0,0.0,0.0,0.0,0.0,6.63,0.0,-4.39
97, PEIXE-MERLUZA,3.03,0.0,0.0,3.51,10.56,0.0,0.0,0.0,5.79,0.0,0.0,0.0,3.85,6.46
98, PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,3.67,-0.42,0.0,0.0,0.0,0.0,0.0,2.12
99, PEIXE-PESCADA,0.89,0.0,0.0,6.63,1.2,0.0,5.27,0.0,6.15,0.0,0.0,-0.44,0.0,3.82
100, CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101, PEIXE-CASTANHA,0.0,0.0,0.0,-7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.07
102, PEIXE-SALMÃO,0.0,0.0,0.0,0.0,0.48,0.0,0.0,7.46,0.0,0.0,0.0,0.0,4.08,1.91
103, PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.43,0.0,0.0,0.0,0.0,0.0,8.43
104, PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,3.81,0.0,0.0,0.0,0.0,0.0,0.0,3.81
105, PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,3.81,0.0,0.0,0.0,0.0,0.0,0.0,3.81
106, PEIXE-PEROA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.79,0.0,-3.79
107, PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,3.96
108, CARNES E PEIXES INDUSTRIALIZADOS,-1.14,0.25,0.67,-0.25,-0.31,-1.28,-0.64,0.0,-0.46,0.33,0.64,-0.78,-0.96,-0.26
109, PRESUNTO,0.15,1.81,-0.5,0.0,-0.18,1.52,-3.01,-0.35,4.67,-1.17,1.41,-2.2,0.38,0.17
110, SALSICHA ,-2.87,0.16,-0.81,-2.44,0.43,-1.36,-2.91,0.0,0.0,-1.65,-0.18,1.71,-0.08,-0.49
111, LINGUIÇA,-2.69,0.65,2.71,-0.03,-1.18,-2.68,-0.89,-0.89,-2.34,1.56,0.34,-1.11,-1.84,-0.59
112, MORTADELA,1.13,-0.03,-2.17,1.54,1.77,0.0,-1.1,-0.22,0.0,0.58,0.0,-1.47,-0.2,0.66
113, SALAME ,0.0,-2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.47
114, CARNE-SECA E DE SOL,-0.35,0.0,0.0,-0.28,0.0,0.0,0.32,2.52,-0.72,0.0,0.0,1.15,0.0,-0.24
115, CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-2.72,0.0,0.0,0.0,0.0,0.0,2.41,0.0,0.0,0.0,0.0,-0.05
116, HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,-1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.49
117, AVES E OVOS,2.11,1.39,-1.29,1.76,2.7,0.34,-1.44,0.69,1.03,2.88,1.06,-1.36,2.06,1.17
118, FRANGO INTEIRO,3.41,-2.59,-5.14,0.53,2.61,-3.3,-1.98,-0.28,0.16,-2.69,-0.32,-5.36,-0.03,-0.5
119, FRANGO EM PEDAÇOS,0.54,2.01,-0.05,4.63,-0.79,0.55,-1.91,0.18,-0.59,2.78,-2.19,-1.4,0.69,0.47
120, OVO DE GALINHA,4.56,3.17,4.28,2.87,9.13,7.7,0.78,4.43,8.37,10.18,7.99,6.98,7.9,5.86
121, LEITES E DERIVADOS,2.41,2.87,2.76,-0.46,1.55,1.11,-1.98,1.1,0.92,1.63,1.63,0.62,0.25,1.46
122, LEITE LONGA VIDA,6.27,3.96,3.36,-2.65,2.37,0.92,-3.31,-0.05,1.23,2.92,2.01,1.6,-0.26,2.6
123, LEITE CONDENSADO,0.0,-1.69,0.0,0.0,0.0,0.0,-2.15,0.28,0.0,0.0,0.0,0.0,-0.89,-1.29
124, LEITE EM PÓ,-0.44,0.5,0.0,1.82,0.25,0.0,-2.86,2.23,0.94,-0.81,1.39,0.01,0.46,0.13
125, QUEIJO,-0.81,3.07,1.74,-1.79,0.66,2.66,-1.57,1.01,1.5,-1.05,0.36,-1.06,0.4,0.45
126, CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5
127, IOGURTE E BEBIDAS LÁCTEAS,0.67,-0.04,2.21,-0.14,0.59,-0.22,3.1,1.41,-1.11,1.47,2.19,-0.3,2.88,0.77
128, MANTEIGA,0.0,0.0,0.0,4.69,0.0,0.0,-0.19,4.61,1.54,0.0,0.0,1.37,0.0,2.22
129, PANIFICADOS,0.32,0.07,0.43,1.81,0.98,0.02,-0.54,0.43,1.85,1.76,-0.41,0.59,-0.34,0.73
130, BISCOITO,1.3,0.67,-1.43,2.0,0.64,0.13,-1.26,0.23,0.26,2.73,-0.39,0.43,0.29,0.48
131, PÃO FRANCÊS,-0.02,-0.29,1.34,1.54,1.4,-0.02,-0.37,0.63,2.66,0.83,-0.63,0.87,-0.67,0.91
132, PÃO DOCE,0.52,0.99,-1.08,0.0,0.3,1.41,-0.03,0.22,1.04,2.64,0.0,1.58,1.01,0.48
133, PÃO DE FORMA,-0.35,-0.44,2.28,0.0,0.69,1.15,0.0,0.0,0.0,3.82,3.49,2.52,-0.9,0.8
134, BOLO,2.08,-0.26,0.51,4.04,-0.31,-1.48,0.41,-0.7,2.13,2.08,0.61,-3.69,-0.1,0.55
135, PÃO DE QUEIJO,0.0,0.0,-0.22,0.0,0.0,-0.95,0.0,0.0,0.0,0.0,-2.8,0.0,0.0,-0.89
136, ÓLEOS E GORDURAS,-2.0,-1.88,-1.44,1.33,0.34,-0.98,-0.24,-0.34,-1.06,-1.41,-0.73,-1.67,-2.66,-0.75
137, ÓLEO DE SOJA,-1.6,-2.11,-2.04,0.55,0.49,-1.75,-0.76,-1.2,-3.0,-2.19,-1.18,-2.34,-2.63,-1.25
138, AZEITE DE OLIVA,-2.73,0.0,0.0,0.0,-0.48,0.0,0.0,0.0,0.0,0.0,0.0,-3.69,0.0,-1.41
139, MARGARINA,-2.09,-1.35,0.56,2.07,0.43,0.02,0.83,0.84,2.41,0.43,1.31,1.38,-2.76,0.36
140, BEBIDAS E INFUSÕES,0.11,-0.08,-0.68,0.47,0.31,-0.39,2.65,-0.11,0.41,-0.05,0.19,0.27,0.08,0.25
141, SUCO DE FRUTAS,-0.11,4.2,-2.72,0.07,2.27,-0.04,-0.53,0.08,0.86,-2.07,1.33,0.64,0.97,0.77
142, AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,8.47,0.0,0.0,0.0,0.0,0.0,0.0,8.47
143, CAFÉ MOÍDO,1.48,0.27,1.46,0.45,3.2,-1.48,1.13,2.23,2.99,1.85,0.81,0.35,0.13,1.89
144, CAFÉ SOLÚVEL,0.0,-1.85,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38
145, CHÁ,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,-1.24,0.21
146, REFRIGERANTE E ÁGUA MINERAL,-0.78,-0.83,-0.83,-0.14,-0.94,-0.48,-0.39,-0.93,-1.5,-0.72,0.11,0.54,0.78,-0.75
147, CERVEJA,-0.09,0.51,-2.7,1.27,-0.94,-0.04,1.34,-3.79,0.16,-0.74,-0.94,0.29,-0.86,-0.63
148, OUTRAS BEBIDAS ALCOÓLICAS,1.19,-0.41,0.34,2.06,0.61,2.75,-0.36,0.02,0.18,0.61,1.3,-0.97,0.0,0.6
149, ENLATADOS E CONSERVAS,0.02,0.68,-0.15,1.86,1.0,-0.71,0.21,-0.1,-0.36,1.82,0.2,-0.39,-2.18,0.62
150, COCO RALADO,0.0,0.0,0.0,0.0,-0.21,3.38,0.0,0.0,0.0,-0.03,0.0,0.0,0.45,0.09
151, ERVILHA EM CONSERVA,1.41,1.15,0.0,0.0,0.0,3.1,0.0,0.0,-1.93,0.0,0.0,0.0,-2.15,0.76
152, PALMITO EM CONSERVA,8.43,0.0,-2.33,0.0,2.05,0.0,0.0,0.0,0.0,8.23,-2.44,-4.38,0.0,2.52
153, PEPINO EM CONSERVA,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0,1.57,1.09
154, SARDINHA EM CONSERVA,-0.34,-0.98,-3.01,-0.54,-0.43,0.0,-0.01,-0.5,-3.15,2.5,-0.5,1.48,-1.84,-0.44
155, SALSICHA EM CONSERVA,0.0,0.0,0.0,5.16,0.0,0.43,-0.59,2.84,0.0,0.0,0.0,0.0,0.0,1.53
156, CARNE EM CONSERVA,0.0,0.0,0.0,4.58,0.0,0.0,-0.13,0.78,0.0,0.0,0.0,0.0,0.0,2.25
157, PATÊ,-1.56,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
158, SOPA  DESIDRATADA,0.0,5.66,1.64,0.0,1.34,-0.88,0.0,0.0,0.0,0.0,-1.11,-1.84,0.0,1.65
159, AZEITONA,-2.15,0.0,1.06,2.3,1.78,-7.24,-0.4,0.0,2.36,1.88,2.18,0.22,-4.47,0.86
160, MILHO-VERDE EM CONSERVA,-0.19,-0.31,1.73,0.34,2.24,0.73,3.43,-3.85,1.7,-1.76,1.54,0.53,-2.43,0.78
161, ATUM EM CONSERVA,-0.46,-1.16,-2.47,0.0,0.51,-1.28,0.0,0.46,-0.52,-1.48,0.0,0.0,0.0,-0.46
162, SAL E CONDIMENTOS,2.57,-1.05,0.76,2.36,0.35,0.78,0.32,0.09,0.35,0.84,1.84,4.58,0.13,0.78
163, LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.54,0.0,0.0,0.0,0.0,-0.54
164, ATOMATADO,-0.08,0.96,0.36,6.72,-0.6,0.87,0.58,-1.01,3.57,0.53,0.48,-0.21,-0.64,0.53
165, ALHO,5.64,0.0,2.62,1.07,3.04,4.34,-2.25,-0.5,-3.73,-0.87,6.39,10.59,3.36,2.36
166, SAL ,0.0,0.0,0.0,0.0,0.0,-0.28,0.06,-0.38,0.0,0.0,-2.11,0.0,-2.23,-0.88
167, FERMENTO,0.0,-5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,-2.27,0.0,-0.32
168, MAIONESE,-1.69,-3.44,-1.74,2.63,-0.11,-1.85,-2.08,2.91,0.0,-0.07,3.14,0.26,-0.72,-0.84
169, VINAGRE,0.0,0.0,0.0,0.48,0.0,0.0,3.72,0.0,0.0,0.0,0.0,0.0,0.0,2.02
170, CALDO CONCENTRADO,3.28,0.72,0.65,-1.51,4.28,3.18,0.0,-0.14,2.72,0.0,0.0,-1.24,0.0,2.14
171, TEMPERO MISTO,0.0,-0.16,-0.13,-0.05,-3.71,-3.15,3.28,1.62,-0.46,1.95,-0.36,-0.32,-2.24,-0.78
172, ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.1,1.81,-0.45,1.48,0.42,0.4,0.59,-0.38,-0.1,0.83,0.39,0.74,0.22,0.41
173, ALIMENTAÇÃO FORA DO DOMICÍLIO,-0.1,1.81,-0.45,1.48,0.42,0.4,0.59,-0.38,-0.1,0.83,0.39,0.74,0.22,0.41
174, REFEIÇÃO,-0.49,2.1,-0.53,1.81,0.34,0.68,1.28,0.1,-0.37,0.5,0.45,0.88,0.39,0.37
175, LANCHE,0.73,1.37,-0.51,1.45,0.64,-0.09,0.08,-0.42,-0.08,1.95,0.41,0.35,0.16,0.52
176, CAFÉ DA MANHÃ,-1.2,-2.14,0.05,1.65,-0.89,1.05,-4.0,0.0,1.36,0.0,0.0,0.11,0.0,-0.67
177, REFRIGERANTE E ÁGUA MINERAL,-0.5,4.93,0.1,0.87,-0.15,-0.21,2.73,-1.03,0.93,0.18,-0.43,2.08,-1.12,0.63
178, CAFEZINHO,1.29,1.34,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,0.71
179, CERVEJA,1.45,0.03,-0.8,0.73,1.02,-0.97,0.38,-2.67,0.04,0.79,0.62,0.62,0.42,0.42
180, OUTRAS BEBIDAS ALCOÓLICAS,-0.01,0.0,0.27,-0.73,0.0,-0.05,1.44,-1.1,3.67,0.0,0.0,1.32,0.0,0.22
181, DOCES,2.61,-0.1,0.55,3.03,0.55,0.49,-2.51,-1.56,-0.31,0.59,0.43,0.95,0.3,0.53
182, HABITAÇÃO,1.6,0.95,1.33,1.0,1.06,1.13,0.44,1.67,1.05,1.23,1.34,1.34,1.13,1.18
183, ENCARGOS E MANUTENÇÃO,0.11,0.26,0.18,0.47,0.05,0.24,-0.01,0.68,0.28,0.21,0.12,0.31,0.24,0.17
184, ALUGUEL E TAXAS,0.0,0.33,0.13,0.46,0.02,0.33,0.41,0.99,0.19,0.2,0.11,0.31,0.27,0.16
185, ALUGUEL RESIDENCIAL,0.0,0.64,0.14,0.0,0.02,0.25,0.37,1.02,0.31,0.04,0.18,0.32,0.48,0.15
186, CONDOMÍNIO,0.0,0.02,0.35,0.0,0.04,0.88,1.09,2.67,0.21,0.95,0.36,0.65,0.03,0.23
