"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 CHOCOLATE EM BARRA E BOMBOM,-5.18,-1.78,-5.42,-1.13,-0.03,-1.46,-0.43,-1.88,-4.67,-3.96,-4.68,-0.55,-1.77,-1.31,-1.76,-0.68,-1.78
 SORVETE,-0.86,1.27,0.06,1.83,-0.95,-1.3,2.87,-0.4,-2.33,-1.32,-3.34,0.38,-3.05,       -,       -,-2.23,-0.66
 CHOCOLATE E ACHOCOLATADO EM PÓ,-1.94,-0.37,1.53,2.74,0.12,0.26,-0.26,-1.57,0.73,-2.58,-2.84,1.5,-3.42,-1.32,-0.25,3.51,-0.36
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,3.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.02
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.14,1.14
 HORTALIÇAS E VERDURAS,5.12,10.02,-1.08,12.45,9.12,-0.57,24.93,13.78,9.54,2.36,1.28,14.18,6.52,6.32,11.69,11.01,7.66
 ALFACE,-0.34,12.24,-3.41,10.64,10.48,-2.27,7.02,1.27,11.87,5.06,2.58,15.04,5.09,7.27,6.4,11.7,6.58
 COENTRO,       -,       -,       -,13.33,       -,       -,       -,       -,0.1,       -,       -,       -,       -,       -,       -,9.53,6.02
 COUVE,0.41,       -,1.77,       -,9.58,       -,       -,       -,       -,       -,       -,21.53,       -,1.24,       -,14.64,6.89
 COUVE-FLOR,16.52,       -,       -,       -,       -,-0.57,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,12.85
 REPOLHO,       -,18.14,       -,       -,9.77,       -,       -,       -,27.56,0.8,-5.92,       -,11.38,       -,9.78,       -,9.77
 CHEIRO-VERDE,7.63,11.16,4.02,13.48,13.02,1.84,36.75,18.08,15.33,7.97,2.64,13.7,8.14,7.09,14.45,       -,14.38
 BRÓCOLIS,8.02,0.4,1.28,       -,0.69,0.7,0.71,       -,       -,-6.53,       -,3.66,       -,       -,       -,       -,0.69
 FRUTAS,7.43,10.25,-0.47,4.65,8.41,6.9,5.93,3.35,3.18,4.46,2.66,9.81,6.37,-5.36,4.35,4.59,5.91
 BANANA-DA-TERRA,       -,       -,       -,-9.25,       -,       -,       -,       -,-9.21,       -,       -,-8.48,       -,-12.37,       -,       -,-9.25
 ABACAXI,6.96,19.02,       -,11.37,       -,       -,11.38,       -,       -,       -,2.78,26.78,2.59,       -,       -,20.53,11.37
 ABACATE,       -,       -,       -,       -,       -,       -,6.81,       -,       -,       -,       -,       -,       -,-10.68,       -,       -,4.58
 BANANA-D'ÁGUA,14.14,18.68,-5.89,       -,7.68,3.78,       -,       -,       -,9.35,       -,       -,15.14,       -,8.56,       -,8.68
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.34,       -,-0.77,       -,       -,       -,0.06
 BANANA-PRATA,4.63,5.6,-8.01,5.74,4.26,12.67,3.94,1.5,8.03,2.57,-2.07,18.42,       -,-8.43,2.99,2.98,2.83
 LARANJA-BAÍA,       -,-1.6,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.6
 LARANJA-LIMA,       -,       -,0.34,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.34
 LIMÃO,14.5,       -,       -,       -,10.16,1.62,       -,       -,       -,       -,17.48,34.89,       -,10.73,       -,       -,11.14
 MAÇÃ,1.87,8.28,1.56,7.68,2.37,4.26,2.3,2.69,-1.96,-0.09,1.09,7.75,-8.28,-4.21,2.31,0.73,2.3
 MAMÃO,12.11,10.25,28.42,4.64,30.73,11.66,       -,-0.61,15.79,17.49,9.1,34.13,14.6,-15.69,       -,31.8,21.33
 MANGA,3.29,-0.49,1.79,       -,-6.94,-3.1,       -,-3.09,2.95,-3.08,       -,-7.94,       -,       -,       -,1.86,-3.1
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,21.1,-5.06,       -,       -,       -,       -,       -,       -,-9.57,0.73
 MELANCIA,       -,       -,-3.38,11.07,       -,1.54,4.87,       -,-0.91,-1.68,-1.42,       -,7.57,0.36,0.63,       -,0.62
 MELÃO,13.87,       -,       -,-1.74,       -,6.93,8.99,       -,       -,12.06,       -,       -,       -,       -,8.98,       -,8.99
 PERA,       -,       -,       -,       -,2.22,       -,       -,       -,       -,       -,3.31,3.26,       -,       -,       -,       -,2.39
 TANGERINA,       -,       -,       -,       -,8.41,       -,       -,       -,       -,4.46,       -,       -,       -,       -,       -,       -,7.48
 UVA,3.39,11.36,2.06,7.33,5.26,5.27,5.28,5.29,5.3,5.31,5.32,3.02,4.54,5.68,5.33,1.84,5.28
 LARANJA-PERA,17.05,       -,1.17,0.04,15.92,8.44,10.94,2.34,23.61,2.95,8.17,10.51,5.45,1.61,10.93,13.46,10.93
 MORANGO,       -,15.61,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,15.61
 GOIABA,       -,       -,       -,       -,       -,       -,4.13,5.09,       -,       -,       -,       -,       -,       -,       -,1.44,4.12
 CARNES,-3.58,-2.49,-1.64,0.99,-1.8,-1.97,-2.32,0.16,-0.21,-4.83,-2.22,0.53,-1.56,-1.28,-2.11,-2.34,-2.01
 FÍGADO,       -,       -,       -,4.53,       -,       -,0.18,-5.48,3.86,       -,       -,       -,       -,       -,1.63,       -,1.62
 CARNE DE PORCO,-1.57,-2.88,-4.19,2.33,-2.37,-4.3,-2.11,1.94,-0.31,-4.29,-4.45,1.72,-6.85,-5.94,-2.7,-2.72,-2.72
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,0.16,       -,       -,       -,       -,       -,       -,       -,       -,0.16
 CUPIM,       -,       -,       -,-1.15,       -,       -,       -,       -,       -,       -,2.51,       -,       -,       -,       -,       -,0.66
 CONTRAFILÉ,-9.78,-5.27,-5.2,-0.01,-1.42,-0.12,-3.61,-6.15,-0.47,-6.87,-2.5,-1.48,-0.02,-1.48,-3.48,-4.29,-3.48
 FILÉ-MIGNON,-4,       -,       -,       -,       -,       -,0,       -,       -,-2.28,       -,       -,       -,-3.33,       -,       -,-2.73
 CHÃ DE DENTRO,-1.26,-1.37,1.15,3.85,-1.43,-2.16,-5.06,3.33,-0.05,-5.17,-0.57,5.75,-0.84,-0.01,-1,-2.1,-1.0
 ALCATRA,-8.16,-6.25,-2.12,-0.51,-5.29,-1.78,-1.21,2.87,-0.43,-6.91,-1.83,-3.94,-4.28,-4.29,-4.28,-3.14,-4.29
 PATINHO,-2.04,       -,1.6,0.46,-3.7,       -,-2.4,2.6,       -,-6.15,-1.27,-1.76,0.14,1.02,-2.34,-1.65,-2.35
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-5.33,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.33
 LAGARTO COMUM,       -,-4.16,       -,       -,-2.69,       -,       -,       -,-2.4,       -,0.09,       -,-1.41,0.02,       -,       -,-2.4
 MÚSCULO,2.71,-0.31,1.21,-0.82,-1.99,       -,1.39,       -,4.81,-2.26,-4.5,       -,5.47,5.2,-0.13,-3.01,-0.13
 PÁ,       -,-1.66,-0.08,0.7,-2.07,       -,-2.01,       -,       -,       -,       -,1.72,3.98,0.75,-1.13,-3.39,-1.13
 ACÉM,5.01,-2.23,1.27,-0.78,-1.47,-3.28,-1.78,-0.41,0.7,-3.01,-3.09,2.79,4.3,-1.28,-0.4,-1.78,-0.42
 PEITO,       -,       -,       -,       -,       -,       -,-2.84,       -,       -,       -,       -,       -,-5.46,-2.51,-2.99,-0.2,-2.99
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-2.32,       -,-2.23,-1.96,       -,-5.8,-1.02,-1.28,       -,       -,-2.24
 COSTELA,1.9,-0.26,-0.48,0.25,4.78,-1.07,-1.89,-0.16,-1.58,-4.13,0.16,1.88,-4.56,-3.5,-0.15,-1.33,-0.16
 PICANHA,       -,-5.58,1.59,       -,       -,-0.01,       -,-1.92,       -,       -,       -,       -,       -,       -,       -,       -,-2.0
 PESCADOS,2.65,-1.43,-0.15,0.12,0.6,-1.57,2.26,-0.14,-1.11,-0.55,0.82,2.18,3.06,0.08,4.05,-0.13,1.09
 PEIXE-ANCHOVA,       -,       -,       -,0.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.12
 PEIXE-CORVINA,1.08,       -,       -,1.61,       -,       -,       -,       -,1.09,       -,       -,       -,       -,       -,1.07,-0.44,1.08
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,29.91,       -,29.91
 PEIXE-SARDINHA,       -,-4.73,       -,-0.91,       -,       -,       -,       -,-6.58,       -,       -,       -,       -,       -,       -,       -,-4.73
 CAMARÃO,0.44,0.45,       -,0.46,       -,0.47,0.48,0.49,0.34,3.37,-0.07,-1.96,       -,       -,0.5,-0.28,0.47
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-0.6,       -,       -,       -,       -,       -,       -,       -,       -,-0.6
 PEIXE-CAÇÃO,       -,       -,       -,       -,-1.53,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.53
 PEIXE-MERLUZA,       -,       -,0.73,0,0.3,       -,       -,       -,0.32,       -,0.11,       -,       -,       -,       -,       -,0.3
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,0.83,       -,       -,       -,       -,       -,       -,       -,       -,0.83
 PEIXE-PESCADA,       -,       -,       -,       -,1.21,       -,1.53,       -,       -,       -,       -,       -,       -,       -,3.1,2,1.87
 CARANGUEJO,0,       -,       -,       -,       -,       -,5,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.65
 PEIXE-CASTANHA,       -,       -,       -,0.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.12
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,7.95,       -,       -,       -,       -,       -,       -,       -,       -,7.95
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.72,       -,       -,-1.72
 PEIXE-SALMÃO,12.5,       -,       -,       -,4.45,0,       -,-0.14,-7.29,       -,       -,       -,       -,       -,       -,       -,3.57
 PEIXE-TILÁPIA,       -,-0.95,-0.4,-0.94,-0.93,-4.34,       -,-0.98,-0.91,-1.31,0.86,3.78,2.82,       -,       -,-0.96,-0.95
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,1.69,3,       -,       -,       -,2.34,       -,3.12,0.59,2.35,       -,2.35
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,4.2,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.2
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-1.56,2.26,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.6
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.83,       -,       -,       -,       -,3.83
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.77,       -,       -,       -,3.77
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.82,       -,       -,       -,       -,       -,0.82
 CARNES E PEIXES INDUSTRIALIZADOS,1.23,-0.17,-0.83,-0.72,-2.02,-1.31,-1.51,0.12,1.81,-3.29,-8.47,5.16,-2.19,1.22,-0.07,-1.88,-1.04
 PRESUNTO,3.98,-0.42,3.58,       -,1.18,-4.46,       -,0.58,0.59,-4.64,1.21,-0.29,0.6,-1.65,       -,-1.19,0.58
 SALSICHA,       -,-1.83,       -,-1.74,-2.45,       -,       -,       -,       -,-0.21,       -,       -,       -,2.76,       -,       -,-1.83
 LINGUIÇA,1.73,1.64,-1.95,2.06,-3.63,-0.29,-2.01,-0.17,-1.09,-3.46,-11.53,7.21,-2.21,1.39,-0.27,1.86,-2.01
 MORTADELA,-1.51,       -,-4.54,-1.83,1.77,       -,       -,-0.59,       -,-3.54,-3.28,       -,-5.79,       -,       -,       -,-0.95
 SALAME,       -,-2.39,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.39
 BACALHAU,1.23,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.07,       -,1.06
 CARNE-SECA E DE SOL,-1.27,       -,       -,-1.21,       -,0.28,-1.28,1.1,3.25,       -,       -,2.59,       -,       -,0.29,-3.71,0.28
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,2.06,       -,       -,       -,       -,       -,       -,       -,-6.68,-0.17,       -,       -,       -,       -,-0.17
 AVES E OVOS,5.04,4.1,2.42,2.14,2.99,0.17,2.46,1.86,1.26,1.83,0.81,0.41,-1.06,1.15,1.93,1.85,2.55
 FRANGO INTEIRO,3.61,1.34,1.89,1.27,3.51,1.62,1.63,3.15,-0.85,0.92,-1.41,-1.08,1.29,-0.88,1.64,1.92,1.62
 FRANGO EM PEDAÇOS,4.36,3.28,-0.72,4.06,0.63,-1.21,1.66,-0.94,2.09,2.27,0.5,0.27,-3.41,-0.86,-0.87,0.3,1.51
 OVO DE GALINHA,8.02,7.98,10.37,1.13,8.8,0.22,6.31,1.13,3.78,1.59,6.32,2.98,2.15,8.95,6.33,5.28,6.31
 LEITES E DERIVADOS,2.01,7.91,3.56,-0.87,5.88,0.97,4.19,1.1,0.72,-0.34,5.91,6.1,7.34,3.12,3.55,2.9,3.83
 LEITE LONGA VIDA,6.68,16.34,9.59,1.07,12.29,5.71,4.54,2.42,3.83,-0.03,16.53,10.86,12.59,4.62,3.65,3.38,9.59
 LEITE CONDENSADO,1.11,1.75,       -,       -,       -,       -,2.45,       -,       -,       -,       -,       -,       -,6.57,       -,       -,1.75
 LEITE EM PÓ,6.54,       -,1.73,-1.35,2.79,       -,6.05,1.83,0.55,-2.82,-3.76,0.59,2.17,3.36,4.43,5.52,2.17
 QUEIJO,-1.05,-1.48,-5.64,-1.59,-0.58,-2.75,-0.14,-2.15,-1.24,-2.41,-1.43,2.73,2.64,1.05,-0.67,0.79,-1.48
 IOGURTE E BEBIDAS LÁCTEAS,-1.09,3.93,2.14,-0.09,2.43,1.92,3.74,-0.57,0.45,1.3,1.72,1.31,-2.92,-0.33,1.73,0.66,1.72
 REQUEIJÃO,0.91,       -,0.98,       -,2.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.62
 MANTEIGA,-5.65,       -,3,0.79,       -,-4.23,4.07,1.49,-1.76,       -,-4.22,0.56,       -,0.14,       -,0.95,-1.01
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.56,       -,       -,       -,       -,       -,       -,5.56
 PANIFICADOS,2.82,-0.09,1.53,1.01,-1.13,1.26,1.39,0.01,-0.18,0.76,-0.12,-0.24,-0.04,-1.68,-0.06,1.13,0.29
 BISCOITO,3.66,-0.54,1.89,1.83,1.58,3.24,4.34,1.75,-0.25,2.25,-2.83,-1.68,-1.21,-0.3,-2.04,3.59,1.43
 PÃO FRANCÊS,2.76,-0.77,2.4,0.39,-3.62,-0.08,0,-0.03,-0.49,0,1.64,0.29,0.78,-2.76,1.24,-0.04,-0.49
 PÃO DOCE,1.6,-0.07,1.16,       -,-0.65,       -,       -,       -,-0.44,-0.56,       -,0.98,-1.01,       -,       -,       -,-0.07
 PÃO DE FORMA,0.72,2.21,0.65,       -,-0.9,0.31,       -,       -,       -,1.42,       -,-0.74,       -,       -,       -,       -,0.31
 BOLO,4.03,1.92,-1.33,2.18,4.18,4.47,1.93,-5.45,3.69,0.07,1.3,2.1,-1.24,4.97,-2.26,0.38,1.92
 PÃO DE QUEIJO,       -,       -,-1.87,       -,       -,-0.35,       -,       -,       -,       -,-2.54,       -,       -,       -,       -,       -,-1.87
 ÓLEOS E GORDURAS,0.13,5.41,2.62,-0.82,0.14,-0.75,5.17,-0.6,2.38,0.05,-2.18,0.13,-1.7,1.63,3.62,4.71,1.11
 ÓLEO DE SOJA,-0.38,5.38,4.3,0.58,0.12,-0.53,3.55,-1.41,2.47,1.77,-3.14,0.69,-2.08,2.94,4.67,3.34,1.49
 AZEITE DE OLIVA,-0.47,       -,       -,       -,2.61,-1.03,14.13,       -,1.97,-0.99,       -,-1.18,2.11,-3.3,       -,       -,2.13
 MARGARINA,1.51,5.48,-2.31,-2.49,-2.48,       -,-0.33,0.31,2.51,-2.58,1.24,       -,-4.25,       -,1.52,6.44,-0.33
 BEBIDAS E INFUSÕES,2.1,4.32,2.15,1.63,1.2,0.03,3.56,2.14,-2.53,-0.07,0.95,-0.69,-0.47,-1.14,-1.5,0.05,1.52
 SUCO DE FRUTAS,5.91,6.06,0.62,-0.05,2.34,-0.48,       -,3.13,       -,3.15,2.66,-2.49,0.45,       -,       -,       -,2.9
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,1.87,1.03,2.68,       -,       -,       -,       -,0.77,0.34,       -,1.87
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,4.37,       -,       -,       -,       -,       -,       -,-0.71,0,       -,4.08
 CAFÉ MOÍDO,0.91,3.7,6.02,2.67,1.35,-1.84,1.3,1.57,-0.94,-0.91,1.55,-1.58,-3.46,-0.88,-1.72,3.06,1.3
 CAFÉ SOLÚVEL,       -,3.24,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.24
 REFRIGERANTE E ÁGUA MINERAL,3.07,4.92,-0.31,1.21,-0.01,0.24,5.97,2.41,-1.82,1.06,2.01,-0.86,-0.35,-2.08,-2.29,0.15,1.19
 CERVEJA,-0.09,2.56,2.29,2.71,1.17,1.27,3.33,2.36,-7.45,-1.53,-0.52,0.43,0.8,       -,-1.99,-2.02,0.65
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,1.21,       -,       -,-1.43,       -,       -,       -,       -,       -,       -,0.49
 VINHO,1.06,8.71,       -,       -,5.33,       -,       -,       -,       -,0.23,       -,       -,       -,       -,       -,       -,4.4
 SUCO EM PÓ,       -,1.66,0.75,       -,1.95,       -,       -,       -,       -,1.67,       -,       -,1.59,1.22,       -,       -,1.66
 CHÁ MATE (ERVA MATE),       -,4.67,       -,       -,       -,       -,       -,       -,       -,-0.1,       -,       -,0.51,       -,       -,       -,3.23
 ENLATADOS E CONSERVAS,-0.68,5.68,2.33,-0.49,-0.03,0.22,5.84,3.17,0.03,0.33,0.72,0.87,0.38,1.35,-0.18,-0.36,1.09
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,9.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.02
 PALMITO EM CONSERVA,       -,       -,1.21,       -,-3.91,0.42,       -,       -,       -,0.61,2.08,       -,       -,       -,       -,       -,-2.38
 PEPINO EM CONSERVA,       -,1.74,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.74
 SARDINHA EM CONSERVA,0.37,8.69,4.42,-0.52,2.59,0.91,3.51,4.53,0.65,1.13,       -,2.3,-3.22,2.75,-0.21,-1.24,2.25
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,8.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.47
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.6,       -,       -,-0.72,       -,       -,       -,-1.47
 AZEITONA,-0.26,8.74,2.16,0.73,-0.4,-1.96,       -,2.34,-1.23,0.86,0.73,0.03,2.35,0.07,       -,       -,0.63
 MILHO-VERDE EM CONSERVA,-3.5,6.68,1.42,-1.7,2.98,       -,3.31,0.84,-0.17,-1,-1.62,0.2,1.4,0.45,0.03,1.67,1.33
 ATUM EM CONSERVA,-0.08,4.5,       -,0.21,1.41,1.65,       -,       -,0.01,1.12,       -,       -,       -,       -,       -,       -,1.41
 SAL E CONDIMENTOS,9.93,1.83,9.19,3.87,4.74,7.8,5.62,4.39,10.33,3.7,11.32,8.6,4.79,9.7,4.42,2.03,6.17
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,0.33,       -,       -,       -,       -,       -,       -,       -,0.33
 ATOMATADO,4.8,5.17,4,2.29,3.58,3.87,0.43,1.66,-1.54,0.16,0.09,1.22,-0.52,2.6,-1.1,1.8,2.79
 ALHO,14.78,       -,19.16,10.42,13.46,19.96,11.7,6.65,25.71,12.12,25.14,14.75,11.64,17.32,10.7,1.71,15.41
 SAL,0.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.03,1.39,-1.35,0.75,0.48
 COLORAU,       -,       -,       -,       -,       -,       -,       -,1.82,       -,       -,       -,       -,       -,       -,       -,       -,1.82
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,1.97,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.97
 FERMENTO,       -,3.84,       -,       -,       -,       -,       -,       -,       -,1.45,       -,       -,       -,       -,       -,       -,2.56
 MAIONESE,4.19,-0.02,4.45,0.22,0.63,0.63,5.83,1.92,       -,1.38,       -,-1.58,-0.61,-0.99,       -,       -,1.48
 VINAGRE,       -,4.59,       -,-0.7,-1.66,-1.03,6.16,       -,1,       -,       -,       -,       -,       -,-0.44,3.27,0.71
 CALDO CONCENTRADO,       -,-3.3,       -,2.39,       -,       -,       -,4.16,1.2,       -,-0.34,-0.89,       -,       -,       -,       -,-0.49
 TEMPERO MISTO,       -,-2.43,-1.26,-0.52,-1.54,0.73,1.91,2.8,2.17,0.71,2.84,0.28,-0.85,1.41,-0.51,3.88,-0.52
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.31,1.08,1.22,0.26,0.42,1.5,0.99,0.19,1.68,0.87,0.98,0.7,0.82,0.63,0.84,1.87,0.76
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.31,1.08,1.22,0.26,0.42,1.5,0.99,0.19,1.68,0.87,0.98,0.7,0.82,0.63,0.84,1.87,0.76
