"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 PEIXE-SARDINHA,0.0,0.92,0.0,2.29,0.0,0.0,0.0,0.0,-0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59
 CAMARÃO,-2.71,-1.28,0.0,4.15,0.0,1.67,10.0,-2.24,3.94,-8.6,-2.11,3.58,0.0,0.0,-1.41,0.5,2.2
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61
 PEIXE-MERLUZA,0.0,0.0,-0.29,0.79,2.12,0.0,0.0,0.0,-0.23,0.0,0.58,0.0,0.0,0.0,0.0,0.0,1.27
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.03
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,3.63,0.0,10.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.99,6.3
 CARANGUEJO,3.28,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06
 PEIXE-CASTANHA,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.25
 PEIXE-SALMÃO,-1.23,0.0,0.0,0.0,-2.82,-1.21,0.0,-0.23,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.87
 PEIXE-TILÁPIA,0.0,1.46,2.17,-1.26,3.19,2.27,0.0,0.06,2.46,1.76,0.62,-0.89,9.33,0.0,0.0,-3.19,1.72
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,1.07,-0.99,0.0,0.0,0.0,-1.16,0.0,0.0,2.83,-1.42,0.0,-0.68
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,11.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,2.75,30.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.76
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,9.4
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,0.0,0.0,0.0,0.0,0.0,-0.45
 CARNES E PEIXES INDUSTRIALIZADOS,1.67,1.26,-0.49,2.03,1.96,0.59,4.81,0.5,1.99,1.42,0.34,2.79,1.92,-0.12,0.54,0.53,1.64
 PRESUNTO,0.51,2.52,-1.83,0.0,3.72,-0.64,0.0,-0.02,0.41,3.41,0.65,3.13,1.7,4.18,0.0,1.93,2.03
 SALSICHA,0.0,1.18,0.0,0.85,0.03,0.0,0.0,0.0,0.0,-3.22,0.0,0.0,0.0,-0.21,0.0,0.0,-0.17
 LINGUIÇA,2.43,-0.06,-0.21,1.64,1.67,1.09,3.14,0.54,0.16,2.23,1.12,2.47,2.28,-1.0,2.91,-1.16,1.41
 MORTADELA,-0.04,0.0,-1.67,0.45,2.54,0.0,0.0,-0.21,0.0,-0.36,-1.15,0.0,0.76,0.0,0.0,0.0,0.81
 SALAME,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71
 BACALHAU,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.61,0.0,1.28
 CARNE-SECA E DE SOL,2.45,0.0,0.0,2.59,0.0,0.99,5.63,1.38,2.99,0.0,0.0,9.06,0.0,0.0,-2.32,1.08,3.13
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.54,-1.93,0.0,0.0,0.0,0.0,0.13
 AVES E OVOS,1.74,0.31,-0.28,1.06,2.6,1.26,5.02,3.07,1.61,3.71,0.94,1.56,1.16,3.56,3.4,1.43,2.06
 FRANGO INTEIRO,4.6,1.63,-1.89,-0.22,-0.34,-2.7,5.04,3.92,2.85,-0.5,1.95,3.02,3.49,4.73,4.73,1.25,2.02
 FRANGO EM PEDAÇOS,1.72,-0.42,0.82,2.17,4.44,2.4,2.79,3.38,2.05,4.93,1.75,1.02,1.75,0.99,-0.77,2.3,2.56
 OVO DE GALINHA,0.31,2.08,-0.88,2.31,-0.35,5.5,7.49,0.29,-2.02,5.49,-4.42,0.63,-1.88,1.9,0.97,-0.32,0.87
 LEITES E DERIVADOS,-1.22,0.96,1.52,-0.15,-1.12,-0.13,1.04,0.46,-0.07,-0.72,0.27,-0.4,-1.29,0.46,-0.2,0.28,-0.27
 LEITE LONGA VIDA,-2.51,0.87,2.47,-0.94,-1.04,-1.88,-0.07,-0.25,0.62,-0.97,0.56,-0.64,-2.57,1.36,-3.02,-0.31,-0.38
 LEITE CONDENSADO,0.59,1.5,0.0,0.0,0.0,0.0,-1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.44
 LEITE EM PÓ,0.37,0.0,1.33,-0.7,0.21,0.0,1.05,1.34,-0.23,2.05,0.15,0.57,0.5,-0.13,1.53,1.06,0.51
 QUEIJO,-0.87,1.31,0.6,0.66,-2.11,0.79,1.13,0.88,-0.15,-0.79,0.22,-0.32,-0.23,0.56,-2.8,-0.04,-0.61
 IOGURTE E BEBIDAS LÁCTEAS,1.1,0.08,1.81,-0.89,-1.01,1.07,3.04,0.54,-0.89,-0.68,-0.41,0.38,0.92,-1.16,-0.59,1.29,0.07
 REQUEIJÃO,-0.13,0.0,0.3,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47
 MANTEIGA,-5.01,0.0,-1.03,-0.7,0.0,1.68,2.01,-1.74,-0.56,0.0,-0.12,-1.13,0.0,0.37,0.0,-1.02,-0.95
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.74,0.0,0.0,0.0,0.0,0.0,0.0,-1.74
 PANIFICADOS,-0.33,1.02,1.1,0.14,1.41,1.63,-0.24,0.87,0.0,0.54,1.03,0.4,0.43,0.06,-0.67,0.78,0.77
 BISCOITO,-0.52,2.86,1.17,0.75,0.57,2.68,-0.02,0.81,-0.55,0.63,0.36,-0.64,0.63,-0.87,-2.2,-0.44,0.59
 PÃO FRANCÊS,-0.28,1.14,1.75,-0.24,2.78,0.65,-0.3,1.39,0.52,-0.06,1.08,1.2,0.38,0.58,-0.22,1.15,1.24
 PÃO DOCE,-2.16,0.8,-1.03,0.0,-3.21,0.0,0.0,0.0,0.9,2.98,0.0,0.5,-1.25,0.0,0.0,0.0,-1.27
 PÃO DE FORMA,-0.41,-3.68,-0.63,0.0,-0.02,1.67,0.0,0.0,0.0,0.13,0.0,0.62,0.0,0.0,0.0,0.0,-0.61
 BOLO,2.36,1.59,-0.12,0.4,1.67,0.32,-0.58,-2.39,-3.12,0.7,1.4,-1.45,1.37,-2.39,0.35,3.41,0.71
 PÃO DE QUEIJO,0.0,0.0,0.15,0.0,0.0,5.64,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,1.46
 ÓLEOS E GORDURAS,0.81,2.57,3.6,0.32,0.69,2.78,0.91,1.82,-0.28,-0.47,3.64,2.75,0.96,0.13,1.13,2.41,1.25
 ÓLEO DE SOJA,1.22,3.69,4.83,0.03,3.06,4.18,1.06,3.98,1.92,-0.16,4.25,3.34,2.03,0.14,3.05,3.62,2.74
 AZEITE DE OLIVA,-0.01,0.0,0.0,0.0,-2.37,1.05,0.97,0.0,-2.57,-1.54,0.0,1.47,-0.22,0.12,0.0,0.0,-1.19
 MARGARINA,1.04,0.22,0.13,0.63,-0.23,0.0,0.58,-0.35,-2.06,-0.19,1.5,0.0,-0.72,0.0,-2.52,1.03,-0.02
 BEBIDAS E INFUSÕES,0.54,-0.21,-1.25,0.78,-0.56,0.32,5.66,0.77,-0.21,-1.09,-0.53,0.35,0.08,-0.56,1.79,0.72,0.12
 SUCO DE FRUTAS,2.28,1.17,1.37,0.81,0.64,1.94,0.0,0.3,0.0,-1.82,-3.69,-0.75,1.24,0.0,0.0,0.0,0.74
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,-0.61,0.09,-0.69,0.0,0.0,0.0,0.0,-0.03,-1.8,0.0,-0.62
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,13.44,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,15.39,0.0,13.37
 CAFÉ MOÍDO,-2.58,2.2,-1.45,1.35,-0.53,-0.59,-0.68,2.93,0.78,-0.16,0.96,2.48,-0.69,-1.34,-0.19,1.83,-0.23
 CAFÉ SOLÚVEL,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11
 REFRIGERANTE E ÁGUA MINERAL,2.05,-0.11,-2.31,0.21,-1.5,0.03,0.33,-0.21,0.27,-0.39,-0.96,-0.07,0.07,0.09,-0.62,0.74,-0.57
 CERVEJA,0.25,-1.75,-0.77,2.2,0.35,0.28,-0.67,0.16,-1.91,-2.46,-0.32,-0.47,0.55,0.0,1.22,-0.01,-0.49
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,-2.79,0.0,0.0,0.0,0.0,0.0,0.0,-0.18
 VINHO,0.52,0.36,0.0,0.0,-1.73,0.0,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0,0.0,-0.27
 SUCO EM PÓ,0.0,-1.22,-1.56,0.0,0.08,0.0,0.0,0.0,0.0,-1.22,0.0,0.0,-0.67,-1.97,0.0,0.0,-0.63
 CHÁ MATE (ERVA MATE),0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,0.0,0.0,-0.14,0.0,0.0,0.0,0.02
 ENLATADOS E CONSERVAS,2.25,1.72,2.78,2.33,0.99,0.3,1.12,1.02,1.02,1.16,0.15,0.85,0.13,0.68,1.75,2.05,1.35
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
 PALMITO EM CONSERVA,0.0,0.0,2.48,0.0,0.24,0.45,0.0,0.0,0.0,1.39,-0.19,0.0,0.0,0.0,0.0,0.0,0.53
 PEPINO EM CONSERVA,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08
 SARDINHA EM CONSERVA,2.78,1.86,1.85,3.0,1.87,-0.31,0.23,1.19,1.55,2.61,0.0,-0.92,-0.2,0.7,1.76,1.89,1.77
 SALSICHA EM CONSERVA,0.0,0.0,0.0,0.0,0.0,0.0,-1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.46
 SOPA DESIDRATADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.47,0.0,0.0,0.0,0.11
