"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 FARINHA DE TRIGO,       -,2.55,-0.72,       -,2.66,       -,       -,       -,2.26,0.44,-1.02,0.17,2.39,       -,       -,       -,1.54
 FARINHA DE MANDIOCA,0,       -,3.81,-0.13,0.81,0.96,-0.47,-0.04,4.48,       -,3.07,2.23,       -,2.57,4.12,2.08,1.38
 MASSA SEMIPREPARADA,0.46,-0.09,0.53,       -,1.92,1.66,-0.56,-0.4,-0.32,-1.15,-1.35,-0.68,0.89,       -,       -,       -,0.57
 MACARRÃO INSTANTÂNEO,-0.27,       -,       -,       -,0.41,1.73,       -,       -,       -,0.2,       -,1.13,-0.22,-0.67,       -,       -,0.28
" TUBÉRCULOS, RAÍZES E LEGUMES",24.09,7.47,9.26,21.5,14.34,10.56,8.74,12.69,19.27,15.96,6.52,27.17,14.59,1.47,7.27,10.59,14.14
 BATATA-DOCE,0.33,       -,       -,13.01,3.79,       -,       -,       -,22.5,       -,9.25,       -,       -,7.09,       -,       -,7.98
 BATATA-INGLESA,12.5,-0.3,13,14.77,10.74,4.07,3.21,1.77,0.63,11.62,2.14,6.65,6.98,2.22,0.55,5.74,8.16
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.3,       -,       -,       -,1.05,-1.61
 MANDIOCA (AIPIM),       -,       -,3.87,5.09,       -,5.84,       -,       -,-2.94,       -,       -,       -,0.78,-0.8,       -,       -,2.45
 ABOBRINHA,       -,       -,       -,       -,28.85,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,28.85
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.03,       -,       -,       -,       -,       -,       -,-7.02
 PIMENTÃO,       -,       -,       -,       -,5.44,6.81,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.61
 TOMATE,39.02,7.8,4.21,24.42,18.61,7.81,5.19,10,23.69,19.93,3.43,49.9,21.2,-4.36,4.49,5.54,15.74
 CEBOLA,23.52,23.97,12.85,44.81,13.55,19.77,6.87,25.19,30.27,31.1,13.52,18.06,19.39,10.28,18.23,21.82,20.31
 CENOURA,29.77,13.36,18.84,16.14,11.97,38.97,30.03,22.41,33.22,11.82,24.07,24.19,       -,       -,       -,38.4,20.39
 AÇÚCARES E DERIVADOS,-1.5,-0.59,0.05,0.8,0.08,-1.26,-0.71,0.92,-0.1,0.3,0.63,1.7,1.06,0.51,0.85,1.58,-0.06
 AÇÚCAR REFINADO,-3.28,0.5,       -,-1.44,2.01,1.18,-0.82,2.78,2.55,-1.13,       -,       -,       -,-1.54,1.23,       -,0.24
 AÇÚCAR CRISTAL,       -,-3,1.67,2.11,       -,1.08,-0.11,0.48,-1.03,-1.27,1.65,4.75,3.27,0.92,-0.31,4.08,0.67
 BALAS,       -,-0.12,       -,       -,       -,0.07,       -,       -,       -,0.58,0.42,       -,0.92,       -,       -,       -,0.26
 CHOCOLATE EM BARRA E BOMBOM,-2.94,-0.04,-1.97,-1.91,-1.25,-5.7,-1.1,1.13,-0.57,-0.25,-1.26,0.39,-3.59,-0.66,0,-1.07,-1.22
 SORVETE,0.37,-1.45,-1.13,0.95,-0.09,1.31,-1.84,-1,2.65,1.67,0.63,0.26,0.62,       -,       -,1.89,0.01
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.1,0.17,0.55,-0.02,1.45,-0.13,0.02,0.69,-1.21,1.75,0.29,-1.35,1.45,2.61,2.97,-2.25,0.88
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,0.87,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.87
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.13,-1.13
 HORTALIÇAS E VERDURAS,-1.55,6.83,5.7,2.67,4.48,3.23,-4.48,-3.19,1.86,7.2,4.66,3.13,5.05,2.43,1.01,14.42,3.7
 ALFACE,-0.57,6.1,4.03,3.97,1.52,3.87,-2.82,1.12,0.54,-0.7,6.04,0.58,5.13,2.32,6.91,7.03,2.44
 COENTRO,       -,       -,       -,3.35,       -,       -,       -,       -,5.63,       -,       -,       -,       -,       -,       -,20.8,6.22
 COUVE,0.37,       -,11.8,       -,5.92,       -,       -,       -,       -,       -,       -,1.84,       -,1.44,       -,10.4,6.11
 COUVE-FLOR,-7.21,       -,       -,       -,       -,-7.22,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.22
 REPOLHO,       -,3.23,       -,       -,2.08,       -,       -,       -,11.59,22.16,5.35,       -,12.13,       -,10.63,       -,7.29
 CHEIRO-VERDE,-1.25,4.76,6.51,-3.38,3.17,1.77,-5.74,-4.58,-6.05,5.58,-2.72,6.88,-0.85,2.79,-3.68,       -,0.05
 BRÓCOLIS,-0.76,11.66,4.94,       -,15.96,11.03,-1.43,       -,       -,15.81,       -,5.14,       -,       -,       -,       -,11.03
 FRUTAS,1.84,1.09,0.46,3.1,3.23,4.4,2.16,1,2.47,5.21,0.9,4.99,3.98,2.13,2.52,10.27,2.69
 BANANA-DA-TERRA,       -,       -,       -,-16.69,       -,       -,       -,       -,-9.05,       -,       -,2.61,       -,2.35,       -,       -,-9.02
 ABACAXI,1.99,-1.99,       -,1.14,       -,       -,3.01,       -,       -,       -,4.45,4.55,-4.48,       -,       -,10.96,1.41
 ABACATE,       -,       -,       -,       -,       -,       -,-9.7,       -,       -,       -,       -,       -,       -,-8.7,       -,       -,-9.57
 BANANA-D'ÁGUA,0.78,0.28,11.93,       -,4.5,6.13,       -,       -,       -,2.42,       -,       -,3.34,       -,1.48,       -,4.01
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.55,       -,1.96,       -,       -,       -,-4.51
 BANANA-PRATA,4.32,3.47,-2.34,18.53,4.43,3.71,6.75,4.14,7.81,4.59,9.05,5.86,       -,15.32,2.37,17.49,4.69
 LARANJA-BAÍA,       -,8.65,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.65
 LARANJA-LIMA,       -,       -,-9.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-9.83
 LIMÃO,6,       -,       -,       -,6.86,6.11,       -,       -,       -,       -,-9.47,9.09,       -,-17.8,       -,       -,5.28
 MAÇÃ,-5.48,-3.93,-7.7,-6.62,-1.91,-5.11,1.84,-5.82,3.5,-3.08,-3.47,1.56,1.29,1.5,-0.16,3.34,-3.1
 MAMÃO,1.41,-3.64,9.17,-1.87,6.54,-0.12,       -,9.64,-1.02,2.04,5.48,5.16,8.51,5.08,       -,7.22,3.72
 MANGA,15.22,5.81,10.65,       -,9.62,13.17,       -,8.84,6.68,24.88,       -,18.33,       -,       -,       -,11.69,11.56
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-15.13,0.92,       -,       -,       -,       -,       -,       -,-6.69,-5.16
 MELANCIA,       -,       -,15.39,7.21,       -,6.92,-1.79,       -,7.88,3.82,-0.74,       -,19.24,-0.72,2.21,       -,6.41
 MELÃO,1.52,       -,       -,12.81,       -,15.63,0.25,       -,       -,20.17,       -,       -,       -,       -,20.24,       -,11.25
 PERA,       -,       -,       -,       -,-3.17,       -,       -,       -,       -,       -,1.88,5.95,       -,       -,       -,       -,-2.31
 TANGERINA,       -,       -,       -,       -,3.23,       -,       -,       -,       -,5.21,       -,       -,       -,       -,       -,       -,3.69
 UVA,-3.11,1.56,-0.91,0.74,3.94,1.58,-3.81,1.27,1.09,1.57,-2.76,1.66,1.51,-4.26,1.59,11.72,1.56
 LARANJA-PERA,2.45,       -,5.61,3.99,1.16,7.62,4.56,6,10.83,7.95,5.42,6.42,2.84,-4.3,-0.64,17.03,3.95
 MORANGO,       -,8.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.03
 GOIABA,       -,       -,       -,       -,       -,       -,-5.34,1.49,       -,       -,       -,       -,       -,       -,       -,16.3,1.75
 CARNES,0.25,-2.54,-1.04,0.4,0.34,2.76,-1.6,-0.32,-2.17,1.82,-2.2,-1.04,1.71,1.24,1.35,2.7,-0.3
 FÍGADO,       -,       -,       -,0.77,       -,       -,-1.01,0.61,-4.45,       -,       -,       -,       -,       -,-0.97,       -,-1.62
 CARNE DE PORCO,-1.36,-3.88,-2.64,4.82,1.81,1.86,0.73,-4.36,-3.88,-1.34,-2.91,-1.39,3.25,-1.55,-0.09,2.58,-1.06
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-7.05,       -,       -,       -,       -,       -,       -,       -,       -,-7.05
 CUPIM,       -,       -,       -,4.55,       -,       -,       -,       -,       -,       -,0.82,       -,       -,       -,       -,       -,2.68
 CONTRAFILÉ,4.35,-5.35,0.33,-6.98,-5.53,2.36,-2.38,2.03,-2.55,-1.55,-3.78,-4.32,0.3,1.14,3.47,2.91,-2.37
 FILÉ-MIGNON,1.96,       -,       -,       -,       -,       -,-0.53,       -,       -,-7.44,       -,       -,       -,-7.46,       -,       -,-2.24
 CHÃ DE DENTRO,-0.51,-1.17,-3.48,-0.41,1.85,3.95,-1.34,0.78,-3.28,5.68,-0.14,-2.17,1.07,2.7,2.82,4.07,0.52
 ALCATRA,-0.11,-3.15,-1.74,0.11,0.21,5.11,-3.42,-1.4,-2.66,-3.63,-0.73,-2.22,4.32,0.92,-3.6,2.99,-1.06
 PATINHO,-2.26,       -,-2.07,0.5,2.85,       -,-1.5,1.57,       -,4.94,-0.44,-4.15,0.17,4.81,4.39,4.75,1.57
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-2.91,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.91
 LAGARTO COMUM,       -,0.46,       -,       -,3.92,       -,       -,       -,-7.44,       -,-1.87,       -,5.32,0.94,       -,       -,0.86
 MÚSCULO,-3.58,-6.78,-0.76,3.02,-0.74,       -,4.62,       -,0.23,6.41,-1.85,       -,2.46,-0.25,-2.82,4.66,-0.84
 PÁ,       -,-4.83,1.99,1.28,1.35,       -,-2.4,       -,       -,       -,       -,3.72,2.01,2.03,1.51,3.2,-0.17
 ACÉM,-1.86,-4.12,-0.32,2.71,4.31,-0.98,-0.13,3.23,0.68,6.92,1.18,2.68,1.85,1.24,1.11,2.46,1.71
 PEITO,       -,       -,       -,       -,       -,       -,-2.83,       -,       -,       -,       -,       -,1.34,4.4,3,5.95,-0.44
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-2.33,       -,0.62,4.67,       -,-1.43,-3.89,1.24,       -,       -,-0.04
 COSTELA,2.22,2.01,4.25,0.4,-2.66,3.29,-1.39,-1.14,-0.03,6.81,0.88,3.49,1.33,2.19,3.56,0.17,1.12
 PICANHA,       -,-3.96,-0.16,       -,       -,2.5,       -,1.81,       -,       -,       -,       -,       -,       -,       -,       -,-0.64
 PESCADOS,0.37,0.55,2.06,1.94,1.57,-0.29,-1.61,3.3,1.82,2.21,1.45,-0.28,1.85,-0.03,1.61,0.1,0.87
 PEIXE-ANCHOVA,       -,       -,       -,1.94,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.94
 PEIXE-CORVINA,0.84,       -,       -,2.63,       -,       -,       -,       -,4.6,       -,       -,       -,       -,       -,1.34,1.69,2.53
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.91,       -,3.91
 PEIXE-SARDINHA,       -,-0.59,       -,-0.83,       -,       -,       -,       -,-0.47,       -,       -,       -,       -,       -,       -,       -,-0.59
 CAMARÃO,-1.34,-1.88,       -,1.99,       -,1.58,-2.29,2.52,0.45,-3.79,-0.71,-0.6,       -,       -,0.77,-0.23,-0.71
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-0.89,       -,       -,       -,       -,       -,       -,       -,       -,-0.89
 PEIXE-CAÇÃO,       -,       -,       -,       -,-2.57,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.57
 PEIXE-MERLUZA,       -,       -,1.49,1.59,1.57,       -,       -,       -,1.92,       -,1.33,       -,       -,       -,       -,       -,1.59
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,-0.38,       -,       -,       -,       -,       -,       -,       -,       -,-0.38
 PEIXE-PESCADA,       -,       -,       -,       -,1.16,       -,-1.14,       -,       -,       -,       -,       -,       -,       -,2.02,0.91,0.2
 CARANGUEJO,0,       -,       -,       -,       -,       -,-1.33,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.71
 PEIXE-CASTANHA,       -,       -,       -,-4.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.15
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,6.42,       -,       -,       -,       -,       -,       -,       -,       -,6.42
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.94,       -,       -,2.94
 PEIXE-SALMÃO,1.54,       -,       -,       -,1.37,1.39,       -,3.3,0,       -,       -,       -,       -,       -,       -,       -,1.39
 PEIXE-TILÁPIA,       -,2.84,2.22,4.68,4.35,-2.53,       -,4.06,-4.1,3.47,2.46,-1.27,4.11,       -,       -,-1.33,2.84
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.76,2.42,       -,       -,       -,2.47,       -,-1.24,-0.84,1.3,       -,1.3
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-5.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.78
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,5.95,-1.26,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.09
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.64,       -,       -,       -,       -,0.64
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.73,       -,       -,       -,-0.73
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.45,       -,       -,       -,       -,       -,1.45
 CARNES E PEIXES INDUSTRIALIZADOS,1.14,-0.58,-1,2.61,2.27,-1.7,0.7,1.88,-1.17,0.28,1.4,0.3,-1.16,0.86,0.89,3.01,0.89
 PRESUNTO,-1.06,4.82,1.95,       -,3.36,2.25,       -,3.22,1.24,0.49,0.45,3.62,0.29,2.73,       -,-1.04,2.28
 SALSICHA,       -,-2.32,       -,1.9,1.01,       -,       -,       -,       -,-0.15,       -,       -,       -,-2.43,       -,       -,0.1
 LINGUIÇA,1.22,-2.54,-2.51,-0.19,2.55,-3.22,-2.07,2.65,2.48,0.16,2.49,-0.79,-1.66,1.55,2.27,2.41,0.75
 MORTADELA,1.5,       -,1.69,0.94,0.32,       -,       -,2.11,       -,0.96,-1.33,       -,-1.01,       -,       -,       -,0.75
 SALAME,       -,-2.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.15
 BACALHAU,1.43,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.69,       -,0.73
 CARNE-SECA E DE SOL,3.15,       -,       -,3.82,       -,-2.96,2.09,-1.46,-3.02,       -,       -,2.27,       -,       -,0.67,3.99,0.71
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-0.45,       -,       -,       -,       -,       -,       -,       -,-0.75,2.26,       -,       -,       -,       -,-0.11
 AVES E OVOS,2.2,1.15,-0.17,2.17,1,-0.11,-0.12,0.41,1.04,1.27,1.23,1.19,2.19,2.04,0.03,3.1,1.0
 FRANGO INTEIRO,1.66,0.96,-1.97,2.62,1.59,-1.36,-0.25,-0.58,1.51,0.02,-0.22,-1.77,-0.38,1.15,-0.67,1.78,0.31
 FRANGO EM PEDAÇOS,1.51,-0.63,0.73,-1.56,-0.82,1.86,0.39,0,-0.42,-0.36,0.19,-0.17,0.74,0.52,1.19,0.93,-0.08
 OVO DE GALINHA,4.82,6.95,-0.13,7.42,5.62,-1.18,-0.19,3.83,3.52,8.46,8.21,9.81,7.23,6.07,2.64,11.54,4.67
 LEITES E DERIVADOS,-0.79,-0.69,0.08,0.05,1.56,1.07,0.15,1.4,0.45,1.55,-0.41,1.77,-0.71,-0.64,2.06,0.66,0.64
 LEITE LONGA VIDA,-4.1,0.94,0.7,3.2,3.77,2.52,-0.56,1.33,-0.35,3.87,-2.2,3.94,0.53,-1.04,2.45,3,1.75
 LEITE CONDENSADO,0.54,-2.8,       -,       -,       -,       -,-0.33,       -,       -,       -,       -,       -,       -,-1.41,       -,       -,-0.99
 LEITE EM PÓ,2.1,       -,1.04,3.17,-0.53,       -,0.74,2.76,0.85,0.69,1.06,0.64,0.54,-0.26,2.15,1.64,1.28
 QUEIJO,0.09,-2.58,-1.05,-2.97,0.24,-0.85,0.27,-0.33,1.02,-0.75,0.99,-0.52,-3.85,0.12,1.5,-2.33,-0.55
 IOGURTE E BEBIDAS LÁCTEAS,1.84,-0.66,-0.93,0.22,0.07,0.88,0.78,1.11,-2.08,0.4,2.01,-2.05,-0.9,0.42,0.74,-0.02,0.04
 REQUEIJÃO,0.82,       -,-0.23,       -,-2.63,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.55
 MANTEIGA,0.52,       -,1.63,0.33,       -,3.61,-2.13,0.22,1.91,       -,0.21,2.01,       -,-1.19,       -,1.61,0.94
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.84,       -,       -,       -,       -,       -,       -,-0.84
 PANIFICADOS,-0.18,0.71,-0.29,-0.97,0.94,-1.56,0.91,0.38,-0.51,1.71,0.15,0.34,0.62,-0.89,-1.2,0.44,0.33
 BISCOITO,0.08,2.55,-0.75,-0.14,0.95,-3.29,0.75,-1.21,-0.4,1.01,1.32,1.38,-0.3,-0.88,0.59,-0.42,0.35
 PÃO FRANCÊS,-1.58,-0.51,0.34,-1.6,0.61,-1.3,1.12,1.11,-0.93,4.03,-0.62,-0.44,1.32,-1.29,-1.92,0.68,0.13
 PÃO DOCE,0.48,-2.12,1.16,       -,1.39,       -,       -,       -,0.42,-1.18,       -,0.96,1.57,       -,       -,       -,0.52
 PÃO DE FORMA,2.93,2.14,1.37,       -,0.09,1.38,       -,       -,       -,-2.73,       -,0.43,       -,       -,       -,       -,0.62
 BOLO,3.56,1.25,-2.66,0.3,2.98,-1.13,-0.27,0.56,2.43,2.12,-1.11,0.95,-1.69,2.9,-1.31,2.39,1.25
 PÃO DE QUEIJO,       -,       -,-2.06,       -,       -,-0.85,       -,       -,       -,       -,1.72,       -,       -,       -,       -,       -,-0.69
 ÓLEOS E GORDURAS,1.62,0.59,-2.22,0.32,2.22,-0.08,-1.04,2.45,0.48,-1.58,1.28,0.08,0.49,-0.34,0.93,-1.03,0.66
 ÓLEO DE SOJA,-0.11,0.46,-2.13,2.8,2.84,0.12,-0.96,5.41,2.77,-1.34,1.57,0.7,0.43,-0.22,0.66,0.08,0.85
 AZEITE DE OLIVA,2.29,       -,       -,       -,0.74,-0.36,-1.94,       -,-2.34,-4.54,       -,-1.34,2.68,-0.83,       -,       -,0.03
 MARGARINA,3.58,0.89,-2.48,-2.49,2.66,       -,-0.32,-0.64,-1.33,0.37,0.28,       -,-1.33,       -,1.49,-2.41,0.69
 BEBIDAS E INFUSÕES,0.85,1.9,3.24,1.34,1.1,0.44,2.5,1.31,1.44,1.59,0.36,0.83,-0.15,-0.25,1.58,-0.62,1.47
 SUCO DE FRUTAS,0.18,1.55,1.99,0.05,1.52,0.55,       -,1.62,       -,-0.22,1.62,0.86,-1.02,       -,       -,       -,1.01
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,-0.81,0.43,-1.37,       -,       -,       -,       -,-0.12,-0.98,       -,-0.81
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,4.87,       -,       -,       -,       -,       -,       -,4.84,4.24,       -,4.83
 CAFÉ MOÍDO,2.79,2.55,3.29,-0.66,0.68,1.86,-0.1,0.58,1.04,1.36,-1.06,1.25,0.51,-1.7,1.1,-2.68,1.23
 CAFÉ SOLÚVEL,       -,0.66,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.66
 REFRIGERANTE E ÁGUA MINERAL,1.13,1.94,2.43,1.96,1.83,-1.59,-0.19,1.62,2.88,2.64,0.26,2.6,0.34,-0.69,1.09,-0.02,1.69
 CERVEJA,-0.1,1.77,4.44,1.66,0.79,1.23,-2.17,2.27,1.17,1.64,0.93,-0.73,-0.86,       -,2.29,-0.15,1.24
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,2.9,       -,       -,2.1,       -,       -,       -,       -,       -,       -,2.68
 VINHO,-0.18,3.94,       -,       -,-0.37,       -,       -,       -,       -,0.69,       -,       -,       -,       -,       -,       -,0.69
 SUCO EM PÓ,       -,0.95,2.1,       -,0.13,       -,       -,       -,       -,0.64,       -,       -,0.32,0.32,       -,       -,0.64
 CHÁ MATE (ERVA MATE),       -,1.27,       -,       -,       -,       -,       -,       -,       -,0,       -,       -,-0.35,       -,       -,       -,0.85
 ENLATADOS E CONSERVAS,2.46,1.26,-2.18,1.82,0.96,-1.42,0.94,-0.55,-0.22,0.39,0.94,-0.33,1.36,-0.02,-0.63,3.77,0.61
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,1.55,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.55
 PALMITO EM CONSERVA,       -,       -,-4.55,       -,1.36,-1.04,       -,       -,       -,0.84,-0.1,       -,       -,       -,       -,       -,0.58
 PEPINO EM CONSERVA,       -,2.06,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.06
 SARDINHA EM CONSERVA,2.5,-0.95,-1.43,2.65,0.88,-1.11,-0.12,-1.84,-0.58,-1.35,       -,-2.01,-0.64,-0.63,-1.05,4.01,0.14
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,-1.67,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.67
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.42,       -,       -,0.79,       -,       -,       -,1.33
 AZEITONA,2.67,3.27,1.61,-0.77,-0.19,-0.84,       -,0.64,-0.75,0.39,1.17,0.92,2.34,0.35,       -,       -,0.68
 MILHO-VERDE EM CONSERVA,0.92,2.35,-4.89,1.87,3.75,       -,3.09,1.37,1.32,2.65,2.06,0.25,2.04,0.61,2.36,3.22,1.32
 ATUM EM CONSERVA,3.6,0.61,       -,0.49,0.23,-2.64,       -,       -,-1.12,-0.97,       -,       -,       -,       -,       -,       -,0.21
 SAL E CONDIMENTOS,2.19,1.67,2.77,2.34,1.62,2.26,0.87,0.67,4.46,0.76,3.67,6.39,3.05,1.41,4.96,2.78,2.13
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,1.92,       -,       -,       -,       -,       -,       -,       -,1.92
 ATOMATADO,0.04,1.34,1.41,0.75,-0.32,0.14,-0.8,0.32,2.12,-1.24,-1.4,1.11,1.48,-0.2,-0.96,1.58,0.15
 ALHO,4.34,       -,7.88,7.68,3.18,5.92,2.12,2.54,9.04,6.07,9.45,10.83,6.45,2.62,11.95,4.48,5.56
 SAL,1.06,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.71,2.32,0.05,1.84,0.78
 COLORAU,       -,       -,       -,       -,       -,       -,       -,0.77,       -,       -,       -,       -,       -,       -,       -,       -,0.77
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-1.05,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.05
 FERMENTO,       -,-0.77,       -,       -,       -,       -,       -,       -,       -,-0.34,       -,       -,       -,       -,       -,       -,-0.54
 MAIONESE,-2.13,1.08,-1.79,0.76,2.86,0.1,-1.37,-2.19,       -,-1.36,       -,1.64,0.94,-2.2,       -,       -,0.5
 VINAGRE,       -,0.06,       -,-0.5,-0.12,-0.36,0.59,       -,0.89,       -,       -,       -,       -,       -,-0.12,3.44,0.09
 CALDO CONCENTRADO,       -,7.56,       -,-1.19,       -,       -,       -,-1.57,-0.9,       -,0.93,-0.34,       -,       -,       -,       -,2.51
 TEMPERO MISTO,       -,1.09,-2.12,0.24,2.23,2.45,1.8,-1.18,1.82,-0.37,0.68,-0.36,-1.09,0.33,0.46,0.77,0.98
 ALIMENTAÇÃO FORA DO DOMICÍLIO,1.02,1.11,0.76,0.52,0.49,0.69,-1.03,0.69,-0.81,0.67,0.85,0.3,0.2,-0.61,0.69,0.04,0.51
 ALIMENTAÇÃO FORA DO DOMICÍLIO,1.02,1.11,0.76,0.52,0.49,0.69,-1.03,0.69,-0.81,0.67,0.85,0.3,0.2,-0.61,0.69,0.04,0.51
