"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 BATATA-DOCE,-11.69,0.0,0.0,-9.84,2.85,0.0,0.0,0.0,-9.8,0.0,-5.81,0.0,0.0,-4.48,0.0,0.0,-4.43
 BATATA-INGLESA,-15.35,-6.74,-13.32,-4.04,-14.49,-5.35,-12.4,-8.07,-21.11,-11.87,-9.21,-18.18,-5.24,-6.86,-12.55,-2.55,-12.4
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.91,0.0,0.0,0.0,-2.94,0.21
 MANDIOCA (AIPIM),0.0,0.0,7.74,3.52,0.0,6.22,0.0,0.0,6.87,0.0,0.0,0.0,8.6,1.06,0.0,0.0,6.22
 ABOBRINHA,0.0,0.0,0.0,0.0,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.88,0.0,0.0,0.0,0.0,0.0,0.0,-9.88
 PIMENTÃO,0.0,0.0,0.0,0.0,12.62,12.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.62
 TOMATE,21.77,0.36,27.39,6.75,15.47,24.39,12.98,-7.07,-1.84,24.04,20.52,44.47,32.71,3.75,-8.53,-14.8,12.98
 CEBOLA,-24.42,-5.25,-19.24,-23.64,-13.66,-12.79,-17.18,-14.19,-23.3,-21.46,-15.89,-32.24,-22.17,-0.75,-8.21,-14.23,-17.18
 CENOURA,-1.88,-0.32,7.61,8.35,-0.79,18.08,0.38,-14.11,-16.77,9.56,14.84,23.13,0.0,0.0,0.0,0.6,0.37
 AÇÚCARES E DERIVADOS,0.61,-0.8,2.71,-1.42,1.75,-0.92,-1.4,1.73,0.61,1.62,0.41,0.58,0.15,-0.52,0.46,1.3,0.97
 AÇÚCAR REFINADO,0.43,-4.54,0.0,1.68,0.38,1.13,-6.15,-0.25,0.62,-0.56,0.0,0.0,0.0,-0.45,-0.11,0.0,-0.45
 AÇÚCAR CRISTAL,0.0,0.32,2.86,-2.77,0.0,0.36,-1.02,2.08,-0.5,1.84,-0.47,1.0,-1.35,-1.65,0.58,1.26,0.49
 BALAS,0.0,-0.84,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,-0.69,0.0,-0.99,0.0,0.0,0.0,-0.42
 CHOCOLATE EM BARRA E BOMBOM,0.51,-2.5,1.09,-3.14,3.34,-1.71,1.03,2.12,1.62,2.23,0.5,1.45,4.29,0.72,1.87,3.03,1.7
 SORVETE,0.12,1.85,3.39,0.61,-0.44,-1.89,0.69,2.72,5.03,1.38,1.23,-1.37,-0.26,0.0,0.0,1.84,0.69
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.42,1.14,3.42,0.43,2.82,-0.44,0.82,2.73,-0.92,2.86,1.06,-0.18,0.91,1.49,0.38,0.16,2.01
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,-0.22
 HORTALIÇAS E VERDURAS,-6.82,-0.57,-4.2,-5.27,-7.04,-4.4,-5.84,-4.54,-3.33,-2.39,-1.64,-0.11,4.79,1.02,1.37,-8.64,-4.77
 ALFACE,-1.33,2.75,-4.21,-15.35,-3.49,-4.6,-2.26,-1.84,-0.93,2.37,-2.95,0.19,6.85,-0.53,3.83,-6.27,-2.26
 COENTRO,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,-3.98,0.0,0.0,0.0,0.0,0.0,0.0,-12.46,-3.44
 COUVE,-9.08,0.0,-7.51,0.0,-7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.88,0.0,-2.5,-7.16
 COUVE-FLOR,-7.85,0.0,0.0,0.0,0.0,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.14
 REPOLHO,0.0,-8.73,0.0,0.0,-10.21,0.0,0.0,0.0,-9.82,-5.09,1.92,0.0,2.1,0.0,6.1,0.0,-7.41
 CHEIRO-VERDE,-10.89,1.26,-0.75,2.13,-12.89,-6.14,-6.15,-5.34,-2.0,-2.77,2.18,-1.01,-1.12,2.83,-0.62,0.0,-6.15
 BRÓCOLIS,-8.91,-2.53,-2.94,0.0,-12.75,-1.52,-8.72,0.0,0.0,-9.85,0.0,0.68,0.0,0.0,0.0,0.0,-8.72
 FRUTAS,-0.08,-1.93,6.84,-1.44,7.33,3.87,-1.38,-3.81,-4.57,7.89,4.05,6.91,9.54,3.36,-3.75,-4.55,3.37
 BANANA-DA-TERRA,0.0,0.0,0.0,-1.44,0.0,0.0,0.0,0.0,-3.66,0.0,0.0,1.65,0.0,-14.84,0.0,0.0,-2.92
 ABACAXI,-1.49,-7.91,0.0,-2.61,0.0,0.0,-2.93,0.0,0.0,0.0,-2.91,0.11,9.12,0.0,0.0,-0.8,-2.94
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-1.38,0.0,0.0,0.0,0.0,0.0,0.0,8.26,0.0,0.0,-0.27
 BANANA-D'ÁGUA,0.18,3.73,10.45,0.0,7.35,1.34,0.0,0.0,0.0,26.49,0.0,0.0,8.12,0.0,3.21,0.0,8.84
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,0.0,-2.05,0.0,0.0,0.0,2.54
 BANANA-PRATA,-7.58,-16.17,0.64,-3.06,-5.48,-11.13,-7.54,-7.04,-15.02,-5.84,-9.07,1.33,0.0,-0.23,-8.48,-5.44,-7.54
 LARANJA-BAÍA,0.0,-7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.72
 LARANJA-LIMA,0.0,0.0,14.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.11
 LIMÃO,29.01,0.0,0.0,0.0,44.62,56.32,0.0,0.0,0.0,0.0,27.98,41.48,0.0,45.43,0.0,0.0,42.25
 MAÇÃ,-1.22,3.72,6.08,5.05,3.26,5.99,3.27,3.14,-0.17,2.37,6.38,3.29,11.25,3.59,-5.04,-0.93,3.27
 MAMÃO,8.96,9.81,23.48,0.84,22.5,32.12,0.0,-5.38,-0.64,24.85,7.06,26.91,24.24,-8.01,0.0,-2.09,16.27
 MANGA,-5.68,-3.66,-7.35,0.0,4.89,-5.06,0.0,0.18,-0.03,1.97,0.0,-8.82,0.0,0.0,0.0,-0.32,0.65
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,7.39,0.0,0.0,0.0,0.0,0.0,0.0,2.02,4.55
 MELANCIA,0.0,0.0,24.94,5.85,0.0,11.37,11.36,0.0,2.43,9.37,10.46,0.0,26.47,13.58,-0.4,0.0,11.36
 MELÃO,-6.68,0.0,0.0,-14.75,0.0,-7.33,-7.35,0.0,0.0,-3.84,0.0,0.0,0.0,0.0,-7.34,0.0,-7.34
 PERA,0.0,0.0,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,1.81,-0.55,0.0,0.0,0.0,0.0,3.74
 TANGERINA,0.0,0.0,0.0,0.0,7.33,0.0,0.0,0.0,0.0,7.89,0.0,0.0,0.0,0.0,0.0,0.0,7.46
 UVA,4.47,1.76,0.45,-1.03,0.24,0.26,0.22,-5.33,2.24,-4.51,0.25,18.79,-5.76,0.97,0.23,-7.05,0.23
 LARANJA-PERA,3.37,0.0,8.41,-6.35,0.25,-2.72,1.52,-5.1,-12.63,11.93,9.45,5.44,5.85,9.16,8.93,-12.47,1.52
 MORANGO,0.0,-3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.05
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,-1.38,-7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.5,-6.33
 CARNES,3.3,1.38,5.44,3.04,2.37,4.54,4.57,1.97,3.25,3.54,5.32,3.52,6.28,3.62,1.66,3.06,3.33
 FÍGADO,0.0,0.0,0.0,5.5,0.0,0.0,3.41,2.52,4.28,0.0,0.0,0.0,0.0,0.0,-0.91,0.0,3.41
 CARNE DE PORCO,4.57,2.85,10.71,8.58,4.29,6.12,5.96,2.38,2.14,4.67,7.46,10.36,6.42,10.41,7.68,7.96,5.96
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97
 CUPIM,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,1.62
 CONTRAFILÉ,1.64,-0.81,0.22,1.61,-0.58,5.4,10.0,2.71,3.65,4.95,5.33,-1.45,7.98,3.11,-1.96,3.74,2.25
 FILÉ-MIGNON,1.58,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.41,0.0,0.0,0.0,1.35,0.0,0.0,1.05
 CHÃ DE DENTRO,3.95,-5.95,2.51,1.61,2.31,5.86,1.6,3.9,2.16,-0.71,3.82,4.5,2.92,2.73,-0.78,1.78,1.6
 ALCATRA,1.26,0.26,4.17,2.88,0.34,4.55,4.76,1.65,2.8,2.12,2.52,2.41,3.16,4.4,-0.11,1.17,1.98
 PATINHO,3.43,0.0,2.19,1.88,3.31,0.0,2.46,-0.97,0.0,0.35,3.96,0.8,3.58,2.84,3.21,1.88,2.46
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57
 LAGARTO COMUM,0.0,-0.28,0.0,0.0,3.62,0.0,0.0,0.0,4.52,0.0,3.79,0.0,7.6,6.24,0.0,0.0,3.65
 MÚSCULO,1.77,4.25,6.18,5.11,0.3,0.0,3.62,0.0,6.38,4.67,5.96,0.0,6.25,1.44,3.63,2.06,3.62
 PÁ,0.0,2.51,5.92,0.19,4.64,0.0,4.07,0.0,0.0,0.0,0.0,4.33,8.67,1.86,1.19,6.42,4.07
 ACÉM,6.16,3.89,5.62,1.25,4.23,1.92,4.31,1.23,3.14,4.32,5.9,0.73,9.51,1.62,-1.13,5.13,4.31
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0,0.0,7.88,6.37,2.85,1.15,4.54
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,1.26,2.59,0.0,1.65,5.61,3.62,0.0,0.0,2.6
 COSTELA,7.28,3.04,5.0,5.69,2.89,4.45,4.49,3.06,3.54,7.41,6.99,3.5,6.39,7.81,4.94,2.38,4.49
 PICANHA,0.0,-0.34,1.6,0.0,0.0,1.75,0.0,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
 PESCADOS,0.74,-0.75,1.11,0.9,-0.18,0.91,-0.51,0.11,0.09,0.12,-1.1,1.36,1.77,-1.66,-0.4,0.21,-0.04
 PEIXE-ANCHOVA,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
 PEIXE-CORVINA,1.17,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,-0.5,-0.29,0.74
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,-0.4
 PEIXE-SARDINHA,0.0,2.71,0.0,0.9,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13
 CAMARÃO,0.26,0.27,0.0,0.28,0.0,2.91,0.0,2.37,2.76,0.36,-2.31,0.67,0.0,0.0,-1.09,0.41,0.26
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.46
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18
 PEIXE-MERLUZA,0.0,0.0,0.03,0.13,-0.1,0.0,0.0,0.0,0.27,0.0,-0.97,0.0,0.0,0.0,0.0,0.0,-0.1
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,-1.38,0.0,-0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.62,-0.62
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-CASTANHA,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-SALMÃO,0.74,0.0,0.0,0.0,-0.45,0.91,0.0,0.11,-2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29
 PEIXE-TILÁPIA,0.0,-3.24,1.43,0.0,0.65,0.5,0.0,0.12,-2.79,0.07,-0.21,1.59,1.15,0.0,0.0,0.82,0.12
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,-0.81,-0.51,0.0,0.0,0.0,-1.1,0.0,2.03,-2.14,-0.82,0.0,-0.82
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,3.32,-0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,1.67
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,3.32
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.0,0.0,0.0,0.0,0.0,-1.1
 CARNES E PEIXES INDUSTRIALIZADOS,-0.87,2.22,2.75,2.79,1.89,2.12,0.01,3.44,3.88,2.66,-2.34,6.75,1.7,7.41,-1.0,2.49,1.95
 PRESUNTO,3.08,1.41,2.45,0.0,-3.11,1.2,0.0,-0.05,1.58,0.86,-0.03,2.62,-0.04,0.09,0.0,5.14,-0.05
 SALSICHA,0.0,-0.34,0.0,4.0,4.68,0.0,0.0,0.0,0.0,9.77,0.0,0.0,0.0,8.05,0.0,0.0,4.35
 LINGUIÇA,-2.83,3.79,2.98,1.94,2.46,3.79,2.28,6.24,0.28,1.9,-3.8,8.52,2.14,8.85,-1.42,3.72,2.09
 MORTADELA,-3.8,0.0,1.98,3.06,4.3,0.0,0.0,-0.33,0.0,1.78,2.99,0.0,2.1,0.0,0.0,0.0,2.1
 SALAME,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22
 BACALHAU,-0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.87,0.0,-0.87
 CARNE-SECA E DE SOL,1.24,0.0,0.0,2.81,0.0,-0.19,-1.09,1.44,5.84,0.0,0.0,-0.57,0.0,0.0,-0.35,1.48,2.52
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.34,6.75,0.0,0.0,0.0,0.0,2.31
 AVES E OVOS,0.77,0.26,1.2,-1.13,2.01,-1.43,-0.49,0.04,0.73,-0.17,-0.72,-0.3,1.01,-0.31,-2.28,0.77,0.51
 FRANGO INTEIRO,-0.57,-0.61,1.53,-2.66,0.17,-0.6,-0.62,-0.98,0.54,-0.26,-2.72,0.76,1.28,1.26,-3.3,3.31,-0.62
 FRANGO EM PEDAÇOS,1.79,1.03,3.02,0.65,3.05,-0.62,1.08,1.57,1.73,0.84,-0.14,0.64,1.76,-1.07,0.65,0.12,1.86
 OVO DE GALINHA,-2.05,-1.47,-3.61,-0.54,0.44,-3.87,-1.71,1.36,-1.16,-3.61,1.27,-4.31,-0.67,-4.38,0.2,-2.83,-1.11
 LEITES E DERIVADOS,2.4,1.57,2.79,0.75,4.35,2.21,1.72,2.2,2.22,3.33,0.49,5.12,1.69,4.41,3.2,2.95,2.94
 LEITE LONGA VIDA,6.09,2.67,3.99,2.13,6.67,3.22,1.25,2.93,5.16,4.39,0.29,4.47,1.7,6.33,4.47,6.91,4.84
 LEITE CONDENSADO,3.09,0.25,0.0,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,1.88
 LEITE EM PÓ,1.7,0.0,3.36,1.39,3.26,0.0,1.39,0.79,0.85,1.45,1.53,3.57,0.39,4.2,3.24,0.53,1.82
 QUEIJO,0.03,0.81,1.78,0.33,1.9,1.62,1.58,4.2,1.69,2.52,0.26,11.03,3.51,1.66,1.65,4.17,1.65
 IOGURTE E BEBIDAS LÁCTEAS,-1.14,-0.65,0.52,0.18,1.21,0.77,0.22,0.15,1.43,2.42,1.09,0.32,-1.17,0.02,0.35,-0.63,0.59
 REQUEIJÃO,1.34,0.0,1.19,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14
 MANTEIGA,0.62,0.0,1.09,-1.28,0.0,1.78,5.64,1.1,-0.11,0.0,0.82,-0.69,0.0,3.92,0.0,-1.16,0.93
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2
 PANIFICADOS,0.3,-0.39,-0.88,0.31,1.19,-0.05,0.42,0.31,0.19,1.04,1.37,1.3,0.65,0.38,0.06,0.53,0.46
 BISCOITO,2.47,0.02,0.78,0.01,1.68,-0.48,-1.01,2.43,-0.83,3.23,-0.01,2.32,2.76,0.44,3.3,0.51,1.17
 PÃO FRANCÊS,-0.48,0.6,-1.6,0.72,2.22,-0.97,1.48,-0.28,1.17,1.12,2.12,0.69,0.0,0.72,-1.31,0.54,0.71
 PÃO DOCE,1.93,-1.73,-1.43,0.0,1.41,0.0,0.0,0.0,-0.15,-0.11,0.0,2.15,-0.19,0.0,0.0,0.0,0.54
 PÃO DE FORMA,-1.12,-2.98,-3.29,0.0,-1.46,7.64,0.0,0.0,0.0,-2.6,0.0,2.42,0.0,0.0,0.0,0.0,-1.48
 BOLO,-3.54,-2.89,2.27,-1.38,-2.59,-0.24,-3.12,-2.82,-4.28,-0.71,-1.19,-0.99,-0.49,-2.86,0.0,0.51,-1.71
 PÃO DE QUEIJO,0.0,0.0,-3.5,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,-1.04
 ÓLEOS E GORDURAS,4.42,1.6,8.52,2.85,7.07,8.31,3.9,4.66,5.37,7.15,7.44,9.09,2.79,7.36,4.2,4.96,5.82
 ÓLEO DE SOJA,7.96,2.52,11.56,5.77,12.82,13.98,7.65,8.08,8.32,11.22,10.28,12.45,3.7,9.53,6.18,9.8,9.48
 AZEITE DE OLIVA,4.02,0.0,0.0,0.0,1.08,0.71,0.93,0.0,1.78,4.05,0.0,1.58,2.52,-1.45,0.0,0.0,1.97
 MARGARINA,-0.54,-0.65,-0.71,-0.52,2.97,0.0,-0.56,0.91,2.81,1.0,-2.0,0.0,0.62,0.0,-0.01,-0.98,0.79
 BEBIDAS E INFUSÕES,-0.06,-0.25,-0.95,0.1,1.06,-1.11,-1.48,0.5,0.42,-0.98,-0.88,-1.57,0.64,0.65,0.66,-0.22,-0.05
 SUCO DE FRUTAS,0.41,0.59,0.81,0.02,0.75,-0.63,0.0,0.46,0.0,1.0,-0.62,-0.12,-0.6,0.0,0.0,0.0,0.52
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.54,-0.92,0.0,0.0,0.0,0.0,-0.69,1.79,0.0,-0.16
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-3.58,0.0,0.0,0.0,0.0,0.0,0.0,1.84,-6.41,0.0,-3.67
 CAFÉ MOÍDO,0.41,-1.66,-2.38,-0.38,0.48,-0.32,-0.75,0.07,-0.09,-4.27,-1.97,-1.14,0.99,2.01,1.82,0.43,-0.68
 CAFÉ SOLÚVEL,0.0,-0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.97
 REFRIGERANTE E ÁGUA MINERAL,-1.04,0.12,-0.43,0.47,1.73,-0.17,0.83,1.09,0.97,0.23,0.57,-1.36,1.2,-0.1,2.45,-0.6,0.66
 CERVEJA,0.41,-1.17,-1.13,-0.66,0.54,-2.64,1.84,-1.24,0.91,-1.59,-1.47,-2.34,0.99,0.0,1.85,-0.06,-0.37
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,-0.52,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
 VINHO,-0.02,0.79,0.0,0.0,2.28,0.0,0.0,0.0,0.0,-0.53,0.0,0.0,0.0,0.0,0.0,0.0,1.11
 SUCO EM PÓ,0.0,-0.63,1.55,0.0,0.48,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.06,-0.69,0.0,0.0,0.42
 CHÁ MATE (ERVA MATE),0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,-1.93,0.0,0.0,0.0,0.82
 ENLATADOS E CONSERVAS,0.98,-0.33,0.39,1.05,0.14,-0.62,0.93,1.69,-0.05,1.02,-0.7,1.9,1.05,0.55,2.94,0.04,0.43
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
 PALMITO EM CONSERVA,0.0,0.0,-1.19,0.0,1.77,0.86,0.0,0.0,0.0,1.63,-0.73,0.0,0.0,0.0,0.0,0.0,1.26
 PEPINO EM CONSERVA,0.0,-1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.77
 SARDINHA EM CONSERVA,0.28,-1.13,-0.48,0.78,-0.82,-1.9,-1.83,2.2,-1.25,0.14,0.0,-0.18,1.97,1.08,3.45,0.38,-0.17
 SALSICHA EM CONSERVA,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
 SOPA DESIDRATADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,-2.43,0.0,0.0,0.0,0.61
