"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 CERVEJA,-1.03,0.52,0.09,-0.87,1.8,-0.81,0.71,-1.12,-0.09,-1.95,1.34,-0.73,0.6,       -,0.6,3.68,0.37
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,2.67,       -,       -,1.1,       -,       -,       -,       -,       -,       -,2.27
 VINHO,2.78,0.33,       -,       -,0.86,       -,       -,       -,       -,1.32,       -,       -,       -,       -,       -,       -,1.23
 SUCO EM PÓ,       -,-2.87,1.56,       -,-0.77,       -,       -,       -,       -,0.61,       -,       -,0.54,1.42,       -,       -,-0.49
 CHÁ MATE (ERVA MATE),       -,-1.05,       -,       -,       -,       -,       -,       -,       -,1.92,       -,       -,-1.11,       -,       -,       -,-0.37
 ENLATADOS E CONSERVAS,3.73,2.71,1.92,2.69,3.04,2.2,3.39,1.93,2.3,2.78,0.32,2.79,0.21,1.81,0.59,-0.19,2.66
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,1.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.07
 PALMITO EM CONSERVA,       -,       -,2,       -,4.73,3.96,       -,       -,       -,1.83,2.37,       -,       -,       -,       -,       -,3.96
 PEPINO EM CONSERVA,       -,0.04,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.04
 SARDINHA EM CONSERVA,2.45,9.29,4.49,4.18,3.36,1.24,2.81,2.33,2.69,2.21,       -,2.64,0.73,3.01,0.38,-1.28,3.43
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,9.26,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.26
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.4,       -,       -,2.51,       -,       -,       -,4.13
 AZEITONA,2.26,2.68,-0.8,3.33,0.27,2.35,       -,1.25,2,2.21,-0.48,4.46,0.02,1.46,       -,       -,1.11
 MILHO-VERDE EM CONSERVA,4.82,-0.34,2.47,-1.21,3.08,       -,2.03,1.55,0.95,4.87,-1.01,0.98,-0.72,0.11,2.15,2.28,2.15
 ATUM EM CONSERVA,6.66,0.39,       -,0.54,3.53,2.61,       -,       -,3.59,1.79,       -,       -,       -,       -,       -,       -,3.16
 SAL E CONDIMENTOS,3.2,-0.08,0.22,-0.18,1.36,0.98,1.48,0.97,-4.08,0.3,-0.2,-5.42,0.43,-0.16,3.64,0.26,0.63
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-2.82,       -,       -,       -,       -,       -,       -,       -,-2.82
 ATOMATADO,-0.06,-0.56,1.62,0.42,3.09,2.77,0.55,0.3,-0.15,0.66,0.5,1.02,1.86,0.65,2.51,1.1,1.42
 ALHO,5.43,       -,-0.92,-6.64,-0.62,-0.77,-0.76,1.35,-10.05,-1.73,-1.13,-10.72,-0.39,-0.19,7.32,-1.45,-0.76
 SAL,2.93,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.59,0.19,1.51,0.16,2.16
 COLORAU,       -,       -,       -,       -,       -,       -,       -,1.16,       -,       -,       -,       -,       -,       -,       -,       -,1.16
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,2.52,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.52
 FERMENTO,       -,1.3,       -,       -,       -,       -,       -,       -,       -,0.71,       -,       -,       -,       -,       -,       -,0.99
 MAIONESE,2.56,-0.65,-0.54,2.1,1.16,0.81,2.55,-1.63,       -,-1.74,       -,1.49,-0.91,1.48,       -,       -,0.34
 VINAGRE,       -,1.43,       -,1.87,2.12,2.92,2.54,       -,-1.38,       -,       -,       -,       -,       -,0.12,3.07,1.67
 CALDO CONCENTRADO,       -,-1.17,       -,1.42,       -,       -,       -,2.61,3.34,       -,-0.53,1.27,       -,       -,       -,       -,0.53
 TEMPERO MISTO,       -,1.18,0.69,7.42,1.29,0.28,3.64,0.53,0.74,5.91,1.22,-0.51,1.84,-1.68,-0.56,-0.68,1.87
 ALIMENTAÇÃO FORA DO DOMICÍLIO,1.57,0.9,0.55,0.82,0.91,0.94,0.11,0.43,0.55,-0.04,0.73,0.19,1.14,0.6,1.51,-0.27,0.77
 ALIMENTAÇÃO FORA DO DOMICÍLIO,1.57,0.9,0.55,0.82,0.91,0.94,0.11,0.43,0.55,-0.04,0.73,0.19,1.14,0.6,1.51,-0.27,0.77
 REFEIÇÃO,1.09,1.02,1.05,0.94,0.56,0.75,0.58,0.5,0.99,0.49,0.6,0.38,0.9,0.13,0.54,0.23,0.74
 LANCHE,2.75,0.88,-0.19,0.95,1.73,1.4,-0.86,0.05,-0.27,-1.17,0.68,-0.7,1.18,1.21,2.75,-0.82,0.89
