"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 FARINHA DE MANDIOCA,-0.01,       -,0.68,-0.11,4.44,3.14,0.4,-0.15,0.01,       -,-0.64,0.82,       -,0.91,-4.5,1.69,0.4
 MASSA SEMIPREPARADA,-1.18,1.37,2.23,       -,-0.06,-0.68,0.02,3.1,-0.75,-2.43,2.44,-0.21,-1.94,       -,       -,       -,0.02
 MACARRÃO INSTANTÂNEO,2.52,       -,       -,       -,0.85,2.15,       -,       -,       -,-2.22,       -,-0.07,-1.7,1.18,       -,       -,0.56
" TUBÉRCULOS, RAÍZES E LEGUMES",9.89,11.48,12.78,1.96,-0.18,9.58,-0.46,5.92,11.8,4.52,2.61,15.51,11.98,12.61,7.55,-3.46,5.65
 BATATA-DOCE,-7.78,       -,       -,1.25,-6.11,       -,       -,       -,2.82,       -,-9.44,       -,       -,-6.04,       -,       -,-4.0
 BATATA-INGLESA,17.65,16.02,34.8,9.14,5.5,24.38,11.57,13.42,7.98,23.84,28.02,31.21,38.87,15.05,11,8.16,16.39
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.5,       -,       -,       -,3.14,-0.02
 MANDIOCA (AIPIM),       -,       -,-6.68,-2.84,       -,-2.85,       -,       -,2.58,       -,       -,       -,-2.83,-2.63,       -,       -,-2.85
 ABOBRINHA,       -,       -,       -,       -,-18.79,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-18.79
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.04,       -,       -,       -,       -,       -,       -,9.04
 PIMENTÃO,       -,       -,       -,       -,-1.2,-13.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.58
 TOMATE,-0.17,-1.62,-7.9,-14.15,-8.69,1.78,-7.33,-6.5,-2.16,-16.72,-12.86,7.97,-16.28,1.79,0.77,-21.21,-7.34
 CEBOLA,35.63,27.61,40.6,31.31,28.06,39.67,10.31,22.76,51.71,17.77,16.47,25.77,36.81,34.65,17.04,18.14,30.08
 CENOURA,-14.3,-0.17,-15.13,-21.47,-16.8,-9.87,-14.95,-16.47,-12.31,-21.99,-11.83,-21.09,       -,       -,       -,-8.56,-14.95
 AÇÚCARES E DERIVADOS,3.92,1.54,0.81,1.59,0.82,1.54,0.56,1.52,1.86,1.25,1.05,-0.34,1.71,0.86,2.05,-0.62,1.32
 AÇÚCAR REFINADO,2.8,1.38,       -,2.61,-0.81,3,0.58,1.04,1.08,-0.37,       -,       -,       -,-0.42,1.78,       -,0.58
 AÇÚCAR CRISTAL,       -,2.71,-1.22,3.85,       -,-2.83,-0.67,1.96,1.67,-3.79,-0.02,-1.15,0.16,1.64,0.28,0.38,0.29
 BALAS,       -,-2.46,       -,       -,       -,-2.08,       -,       -,       -,0.11,0.43,       -,0.53,       -,       -,       -,-1.09
 CHOCOLATE EM BARRA E BOMBOM,7.39,1.7,1.33,-1.01,1.79,3.14,1.7,1.13,5.52,3.15,4.59,0.27,5.6,-0.98,3.95,-1.14,2.37
 SORVETE,3.73,2.45,3.28,-2.91,2.54,4.9,2.25,2.15,1.46,-0.28,1.45,0.33,2.56,       -,       -,-3.69,2.25
 CHOCOLATE E ACHOCOLATADO EM PÓ,2.79,1.74,1.66,0.05,-1.99,-0.87,0.41,0.74,0.26,4.13,0.25,0.13,1.07,1.51,4.77,0.01,0.41
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,1.59,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.59
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.49,-0.49
 HORTALIÇAS E VERDURAS,-3.82,-2.78,-5.11,-1.09,-0.33,-0.66,0.14,6.56,5.27,-5,-6,-1.85,-14.72,-0.32,-0.63,1.07,-1.62
 ALFACE,-10.72,-8.64,-5.9,5.15,0.25,-1.17,-3.79,-2.34,-2.38,-8.45,-6.24,-3.92,-14.93,-0.22,-3.8,-1.6,-3.8
 COENTRO,       -,       -,       -,-5.33,       -,       -,       -,       -,10.03,       -,       -,       -,       -,       -,       -,1.73,3.03
 COUVE,8.3,       -,-3.76,       -,1.46,       -,       -,       -,       -,       -,       -,1.04,       -,6.1,       -,4.27,1.46
 COUVE-FLOR,-3.16,       -,       -,       -,       -,-0.66,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.68
 REPOLHO,       -,-0.49,       -,       -,-3.35,       -,       -,       -,4.45,-4.38,-8.44,       -,-22.16,       -,-3.36,       -,-3.35
 CHEIRO-VERDE,-2.2,8.78,-1.93,1.12,-0.99,0.79,1.36,9.18,6.71,0.23,-2.2,-3.92,-7.01,-2.11,1.37,       -,1.36
 BRÓCOLIS,-3.59,2.58,-7.22,       -,-1.34,-1.36,-1.35,       -,       -,-2.03,       -,5.54,       -,       -,       -,       -,-1.35
 FRUTAS,-2.96,1.36,-9.72,1.64,-1.43,-2.76,-1.7,0.09,-1.57,0.39,-2.55,-1.03,-5.59,-2.26,-4.36,-4.54,-2.1
 BANANA-DA-TERRA,       -,       -,       -,1.64,       -,       -,       -,       -,-2.06,       -,       -,19.01,       -,-5.72,       -,       -,0.76
 ABACAXI,3.17,1.07,       -,7.02,       -,       -,2.45,       -,       -,       -,1.05,-4.29,-1.3,       -,       -,2.48,2.45
 ABACATE,       -,       -,       -,       -,       -,       -,-1.7,       -,       -,       -,       -,       -,       -,3.11,       -,       -,-1.17
 BANANA-D'ÁGUA,-5.7,1.36,-19.19,       -,-9.22,2.92,       -,       -,       -,-3.68,       -,       -,-7.3,       -,-7.05,       -,-7.05
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.74,       -,-4.43,       -,       -,       -,-6.9
 BANANA-PRATA,-7.02,0.75,-14.5,1.2,0.79,-10.63,-0.74,-1.3,-3.95,0.3,-6.95,-18.13,       -,-6.61,-6.12,-4.61,-4.61
 LARANJA-BAÍA,       -,2.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.32
 LARANJA-LIMA,       -,       -,-10.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-10.99
 LIMÃO,5.76,       -,       -,       -,13.09,9.27,       -,       -,       -,       -,7.17,12.59,       -,31.92,       -,       -,11.44
 MAÇÃ,-1.7,1.22,-5.39,6.01,3.84,-4.55,0.57,1.64,-2.34,3.07,-2.35,1.77,-0.25,-3.67,0.58,-1.85,0.57
 MAMÃO,-1.19,-8.35,-14.34,1.55,-21.14,-0.03,       -,11.55,6.15,-10.82,-13.8,-7.58,-15.63,-5.64,       -,-10.5,-12.66
 MANGA,8.58,11.93,29.23,       -,30.67,18.28,       -,22.43,4.5,19.09,       -,37,       -,       -,       -,1.65,22.43
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-9.22,-4.95,       -,       -,       -,       -,       -,       -,-2.48,-5.83
 MELANCIA,       -,       -,-6.63,-6.49,       -,-1.72,-2.37,       -,5.41,-2.83,5.49,       -,-8.61,1.04,-1.73,       -,-1.73
 MELÃO,-1.4,       -,       -,-0.5,       -,-3.08,-3.07,       -,       -,-2.16,       -,       -,       -,       -,-3.09,       -,-2.08
 PERA,       -,       -,       -,       -,3.68,       -,       -,       -,       -,       -,-4.66,5.38,       -,       -,       -,       -,2.75
 TANGERINA,       -,       -,       -,       -,-1.43,       -,       -,       -,       -,0.39,       -,       -,       -,       -,       -,       -,-1.01
 UVA,-7.9,0.46,-3.62,-0.27,-2.19,-2.21,-2.2,-2.23,-2.83,2.61,3.11,-1.89,-3.58,-6.65,-2.22,-9.66,-2.21
 LARANJA-PERA,-4.68,       -,-18.69,0.14,-4.28,-5.45,-5.97,-5.73,-4.79,-2.7,-0.56,-6.97,-2.9,5.36,-7.61,-5.07,-5.97
 MORANGO,       -,10.38,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,10.38
 GOIABA,       -,       -,       -,       -,       -,       -,-1.7,-3.03,       -,       -,       -,       -,       -,       -,       -,-2.33,-2.51
 CARNES,3.26,-0.69,-0.77,0.47,-0.14,-1.56,-0.79,3.13,2.06,-2.28,1.03,0.51,0.1,-0.05,-3.69,1.91,0.05
 FÍGADO,       -,       -,       -,-0.32,       -,       -,0.94,5.98,6.77,       -,       -,       -,       -,       -,-0.45,       -,3.11
 CARNE DE PORCO,-2.43,-1.48,-1.71,-1.96,-2.84,2.59,4.38,2.28,5.24,5.06,-2.28,2.09,-4.94,2.64,-2.11,-5.61,-0.56
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,3.13,       -,       -,       -,       -,       -,       -,       -,       -,3.13
 CUPIM,       -,       -,       -,0.14,       -,       -,       -,       -,       -,       -,-3.5,       -,       -,       -,       -,       -,-1.7
 CONTRAFILÉ,5.16,-0.24,-0.96,-3.95,2.56,0.17,-0.81,6.33,-0.33,-0.96,1.21,2.18,-2.05,0.09,-3.39,-0.5,1.01
 FILÉ-MIGNON,-3.63,       -,       -,       -,       -,       -,-0.87,       -,       -,-4.41,       -,       -,       -,0.57,       -,       -,-3.35
 CHÃ DE DENTRO,0,2.64,-1.87,-0.83,0.04,-1.52,0,0.54,1.56,-5.94,0.78,-3.77,2.62,-3.48,-7.54,2.45,-0.55
 ALCATRA,4.99,-4.82,-0.4,2.96,-2.31,-4.18,-4.88,0.15,1.89,-3.44,0.89,0.39,-5.29,-1.68,-6.89,1.44,-0.94
 PATINHO,4.88,       -,-2.09,3.43,1.52,       -,-2.7,7.66,       -,-0.55,3.9,0.59,-1.64,-0.59,1.32,-0.27,1.32
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-0.91,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.92
 LAGARTO COMUM,       -,-0.12,       -,       -,1.87,       -,       -,       -,-0.32,       -,-1.41,       -,-1.06,-1.68,       -,       -,0.6
 MÚSCULO,4.49,0,0.56,1.56,-0.69,       -,0,       -,0.67,-1.24,3.79,       -,2.89,-2.43,0.53,2.58,0.53
 PÁ,       -,0.55,-0.8,-0.72,0.73,       -,-0.11,       -,       -,       -,       -,1.04,1.78,-0.98,1.26,2.7,0.37
 ACÉM,4.07,2.38,1.41,1.77,1.46,-5.46,0.66,2.03,1.88,-10.83,4.32,2.61,0.63,-0.05,-7.87,0.69,0.69
 PEITO,       -,       -,       -,       -,       -,       -,5.78,       -,       -,       -,       -,       -,6.56,-1.71,0.98,-1.8,4.25
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-7.14,       -,-1.35,-6.85,       -,0.07,0,-0.05,       -,       -,-4.47
 COSTELA,5.68,-2.13,0.41,1.97,-4.88,-4.64,2.16,3.23,3.53,-2.34,3.43,-1.79,2.83,6.13,-5.23,6.21,-0.18
 PICANHA,       -,1.23,-0.2,       -,       -,0.11,       -,2.35,       -,       -,       -,       -,       -,       -,       -,       -,0.88
 PESCADOS,-0.26,-0.34,0.42,0.1,-0.28,-1.21,-1.06,0.71,-0.78,0.25,-0.5,-1.04,-0.88,-0.53,-1.27,0.08,-0.51
 PEIXE-ANCHOVA,       -,       -,       -,0.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.1
 PEIXE-CORVINA,-0.26,       -,       -,-3.24,       -,       -,       -,       -,-0.25,       -,       -,       -,       -,       -,1.29,-1.45,-0.51
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.27,       -,-1.27
 PEIXE-SARDINHA,       -,0.41,       -,1.31,       -,       -,       -,       -,-0.05,       -,       -,       -,       -,       -,       -,       -,0.41
 CAMARÃO,-0.42,-0.45,       -,0.44,       -,0.46,-0.44,1.36,-3.69,0.43,-0.41,0.17,       -,       -,-0.43,-0.01,-0.44
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,1.01,       -,       -,       -,       -,       -,       -,       -,       -,1.01
 PEIXE-CAÇÃO,       -,       -,       -,       -,-0.25,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.25
 PEIXE-MERLUZA,       -,       -,0.5,4.12,0.96,       -,       -,       -,-0.91,       -,0.95,       -,       -,       -,       -,       -,0.95
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,-1.87,       -,       -,       -,       -,       -,       -,       -,       -,-1.87
 PEIXE-PESCADA,       -,       -,       -,       -,-1.26,       -,-2.13,       -,       -,       -,       -,       -,       -,       -,-0.24,-1.43,-1.43
 CARANGUEJO,0,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-CASTANHA,       -,       -,       -,0.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.1
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-0.03,       -,       -,       -,       -,       -,       -,       -,       -,-0.03
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.45,       -,       -,3.45
 PEIXE-SALMÃO,-0.26,       -,       -,       -,-1.46,-1.21,       -,0.71,-0.78,       -,       -,       -,       -,       -,       -,       -,-0.92
 PEIXE-TILÁPIA,       -,-0.65,0.39,0.19,0.18,-1.98,       -,1.03,-0.6,0.21,0.2,-1.89,-1.88,       -,       -,3.28,0.13
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.87,-3.88,       -,       -,       -,-2.88,       -,-0.17,-1.63,-2.89,       -,-2.89
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,2.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.99
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-1.21,-1.06,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.08
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.22,       -,       -,       -,       -,-1.22
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.31,       -,       -,       -,1.31
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.5,       -,       -,       -,       -,       -,-0.5
 CARNES E PEIXES INDUSTRIALIZADOS,0.12,-0.03,2.03,-1.14,0.03,-2.97,-0.79,0.44,-2.99,0.66,-0.01,-3.67,-0.08,0.01,-1.43,0.28,-0.3
 PRESUNTO,-3.6,-2.33,-2.85,       -,-1.76,-2.32,       -,-2.34,-3.44,-2.49,-1.42,-2.17,-1.59,-0.31,       -,0.29,-2.34
 SALSICHA,       -,-2.43,       -,-1.17,0.48,       -,       -,       -,       -,-0.53,       -,       -,       -,-1.24,       -,       -,-0.52
 LINGUIÇA,0.34,2.52,5.53,-4.02,1.19,-3.97,1.11,1.41,-1.3,2.23,1.12,-4.57,0.62,0.49,-1.24,-3.27,1.11
 MORTADELA,5.09,       -,-1.95,3.45,-3.36,       -,       -,-0.54,       -,-0.71,-0.93,       -,-0.92,       -,       -,       -,-0.93
 SALAME,       -,-0.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.03
 BACALHAU,0.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.63,       -,-0.11
 CARNE-SECA E DE SOL,0.81,       -,       -,-0.92,       -,-1.67,-1.69,0.94,-3.63,       -,       -,-0.97,       -,       -,-1.68,2.01,-1.69
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-3.7,       -,       -,       -,       -,       -,       -,       -,-3.59,-1.9,       -,       -,       -,       -,-3.41
 AVES E OVOS,1.57,-0.87,0.46,-0.38,-1.43,-0.72,-0.92,-0.47,0.05,0.63,0.37,-0.82,-1.13,-0.33,0.05,-1.1,-0.35
 FRANGO INTEIRO,-1.03,-0.43,0.2,0.01,-0.78,-0.41,-0.45,-1,-0.13,-1.82,0.98,-0.59,-0.42,-0.09,-0.44,0.48,-0.45
 FRANGO EM PEDAÇOS,2.75,-1.88,4.38,-1.32,0.44,0.53,-0.6,0.02,-0.18,2.18,1.03,0.03,-1.43,-1.94,0.77,-0.94,0.83
 OVO DE GALINHA,-0.96,1.79,-7.52,0.27,-6.34,-2.86,-2.88,0.59,0.95,-1.16,-2.87,-3.18,-1.04,0.07,1.83,-4.5,-2.88
 LEITES E DERIVADOS,-1.72,0.4,-2.79,1.1,-0.16,-3.06,-3.06,-1.2,-0.1,0.2,-0.18,-2.53,0.57,-0.68,0.44,0.18,-0.69
 LEITE LONGA VIDA,0.68,0.64,-6.39,-0.23,-0.1,-4.84,-1.84,-0.36,-0.39,-2.91,-2.99,-5.08,-0.38,-0.23,-2.18,2.46,-1.4
 LEITE CONDENSADO,-6.64,-1.35,       -,       -,       -,       -,-5.4,       -,       -,       -,       -,       -,       -,-0.11,       -,       -,-4.17
 LEITE EM PÓ,0.92,       -,0.86,1.94,-0.55,       -,-3.26,-0.86,-0.46,3.29,2.36,2.45,1.84,-1.26,1.88,0.52,0.1
 QUEIJO,-4.51,-0.39,2.73,1.41,-0.18,-2.9,-3.8,-3.43,2.63,4.34,3.58,-0.5,3.24,-4.16,-0.62,-1.75,0.06
 IOGURTE E BEBIDAS LÁCTEAS,-3.33,2.1,-1.85,-1.48,-1.62,-0.74,-1.95,-1.48,-1.82,0.68,-1.24,1.1,-0.91,0.8,-1.59,0.1,-1.02
 REQUEIJÃO,0.65,       -,0.6,       -,1.92,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.44
 MANTEIGA,0.58,       -,-2.32,1.56,       -,1.22,-2.56,-1.25,-2.86,       -,1.57,-2.3,       -,0.73,       -,-1.44,-0.84
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.27,       -,       -,       -,       -,       -,       -,0.27
 PANIFICADOS,0.04,-0.17,0.18,0.84,1.35,-0.26,1.13,-1.34,1.32,-1.09,0.77,0.37,-0.51,-0.29,0.84,-0.58,0.46
 BISCOITO,0.17,2.66,-1.06,0.48,3.82,0.09,1.38,-0.92,1.68,0.08,2.19,0.87,-1.11,1.1,2.42,-1.52,1.38
 PÃO FRANCÊS,1.13,0,0.05,1.3,0.46,0,0.86,-1.81,1.78,-2.01,0.35,-0.03,-0.11,-0.32,0,0,0.27
 PÃO DOCE,-2.97,0.2,2.91,       -,0.84,       -,       -,       -,-2.06,1.45,       -,1.84,-1.16,       -,       -,       -,0.43
 PÃO DE FORMA,-2.88,-3.9,-2.48,       -,2.32,-5.23,       -,       -,       -,-1.59,       -,0.8,       -,       -,       -,       -,-0.72
 BOLO,-0.61,-5.9,1.01,-0.9,-0.76,-1.43,2.48,0.68,-1.95,-2.42,0.17,-0.75,-0.94,-3.38,1.72,-1.45,-0.94
 PÃO DE QUEIJO,       -,       -,4.16,       -,       -,3.81,       -,       -,       -,       -,0.11,       -,       -,       -,       -,       -,2.8
 ÓLEOS E GORDURAS,-0.81,0.19,0.69,0.31,-1.64,0.46,1.78,1.01,0.92,1.66,-2.88,1.42,-0.92,1.32,-2.59,-0.36,-0.3
 ÓLEO DE SOJA,-0.82,0.45,0.27,-1.88,-2.59,0.98,3.95,0.82,1.78,1.72,-2.62,0.4,-1.46,2.51,-2.41,0.76,-0.44
 AZEITE DE OLIVA,-0.37,       -,       -,       -,-1.27,-0.23,-0.21,       -,1.51,3.65,       -,3.83,-1.78,-3.47,       -,       -,-0.21
 MARGARINA,-1.23,-0.42,1.99,3,-0.26,       -,-0.07,1.22,-0.85,-0.07,-3.75,       -,1.46,       -,-2.98,-1.72,-0.07
 BEBIDAS E INFUSÕES,-1.43,0.19,-0.88,0.17,-0.5,-0.69,-2.24,-0.11,-0.92,-0.18,-0.04,-0.65,-0.15,0.65,-1.26,-1,-0.63
 SUCO DE FRUTAS,-2.41,2.16,0.47,1.17,0.62,-0.73,       -,1.28,       -,1.25,0.32,0.13,-1.67,       -,       -,       -,0.13
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,0.11,2.4,-0.86,       -,       -,       -,       -,-0.69,0.12,       -,0.11
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-4.48,       -,       -,       -,       -,       -,       -,1.1,-4.42,       -,-4.42
 CAFÉ MOÍDO,0.62,1.21,4.51,0.1,0.48,0.69,1.16,-0.33,-0.05,3.77,-0.91,2.76,0.32,0.2,-1.26,-4.72,1.16
 CAFÉ SOLÚVEL,       -,0.9,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.9
 REFRIGERANTE E ÁGUA MINERAL,-2.17,1.24,-1.54,0.19,-0.31,-1.46,-2.78,-0.52,-1.77,-2.05,0.89,-2.19,-0.56,0.76,-0.05,-0.02,-0.68
 CERVEJA,-2.21,-2.42,-4.34,-0.19,-1.35,-0.87,-0.79,-0.09,-1,0.09,-0.36,-1.9,0.05,       -,-0.66,0.06,-1.56
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,1.28,       -,       -,-1.63,       -,       -,       -,       -,       -,       -,0.49
 VINHO,0.16,-1.33,       -,       -,-2.55,       -,       -,       -,       -,-1.75,       -,       -,       -,       -,       -,       -,-1.57
 SUCO EM PÓ,       -,-2.28,-1.57,       -,-0.45,       -,       -,       -,       -,-2.47,       -,       -,-0.41,2.23,       -,       -,-1.23
 CHÁ MATE (ERVA MATE),       -,3.34,       -,       -,       -,       -,       -,       -,       -,-0.97,       -,       -,0.71,       -,       -,       -,2.15
 ENLATADOS E CONSERVAS,0.8,0.81,-0.38,-0.33,0.34,1.24,-1.29,1.56,1.47,0.48,1.57,3.23,-0.39,1.84,-1.21,-2.46,0.43
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,-5.7,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.7
 PALMITO EM CONSERVA,       -,       -,-0.65,       -,-0.85,1.45,       -,       -,       -,1.5,-0.96,       -,       -,       -,       -,       -,-0.48
 PEPINO EM CONSERVA,       -,1,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.0
 SARDINHA EM CONSERVA,-1.58,1.76,0,-0.96,1.19,1.64,0.86,1.88,1.2,0.75,       -,4.73,1.59,2.01,-1.17,-4.52,0.58
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,0.51,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.51
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.75,       -,       -,-1.29,       -,       -,       -,0.46
 AZEITONA,0.12,-0.2,0.44,-0.4,0.3,3.35,       -,-0.35,2.52,1.85,3.12,3.31,-0.56,0.99,       -,       -,0.92
 MILHO-VERDE EM CONSERVA,3.49,1.43,-1.29,2.08,-1.07,       -,0.09,2.61,1.77,-2.7,1.5,1.51,-1.07,2.59,-1.5,2.15,0.09
 ATUM EM CONSERVA,2.62,-1.25,       -,-0.83,1.9,-1.67,       -,       -,0.81,1,       -,       -,       -,       -,       -,       -,1.09
 SAL E CONDIMENTOS,1.72,0.18,1.53,4.88,1.39,0.23,1.2,3.4,2.49,3.23,0.65,2.73,0.23,4.23,1.87,0.06,1.73
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,0.16,       -,       -,       -,       -,       -,       -,       -,0.16
 ATOMATADO,-2.93,-0.75,-0.74,4.94,-0.58,-1.52,-1.26,-1.62,0.47,0.22,1.22,-0.48,-0.94,1.57,0.85,-1.09,-0.51
 ALHO,4.93,       -,3.5,8.92,3.22,1.11,4.43,8.46,4.95,9.95,0.71,4.35,0.85,7.23,2.53,3.06,4.43
 SAL,-2.3,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1,-1.3,2.66,-0.97,-1.47
 COLORAU,       -,       -,       -,       -,       -,       -,       -,-0.86,       -,       -,       -,       -,       -,       -,       -,       -,-0.86
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-1.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.84
 FERMENTO,       -,1.3,       -,       -,       -,       -,       -,       -,       -,-2.06,       -,       -,       -,       -,       -,       -,-0.49
 MAIONESE,-1.74,1.81,-2.03,-0.09,1.96,4.09,1.41,2.19,       -,0.6,       -,-0.01,-1.64,1.17,       -,       -,0.77
 VINAGRE,       -,1.23,       -,3.06,1.87,1.47,0.52,       -,-0.83,       -,       -,       -,       -,       -,1.13,-2.77,1.32
 CALDO CONCENTRADO,       -,0.58,       -,2.19,       -,       -,       -,-1.63,2.87,       -,0.09,-1.25,       -,       -,       -,       -,0.77
