"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ALFACE,5.38,-6.32,-4.35,-3.09,-1.78,6.83,-1.79,1.88,2.41,-5.94,4.71,-1.45,-3.23,5.3,-13.5,2.16,-1.79
 COENTRO,0.0,0.0,0.0,-6.27,0.0,0.0,0.0,0.0,6.41,0.0,0.0,0.0,0.0,0.0,0.0,-7.69,0.25
 COUVE,-0.08,0.0,-3.22,0.0,-2.65,0.0,0.0,0.0,0.0,0.0,0.0,-14.25,0.0,-2.51,0.0,2.4,-2.65
 COUVE-FLOR,-4.23,0.0,0.0,0.0,0.0,-4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.22
 REPOLHO,0.0,-2.07,0.0,0.0,-4.76,0.0,0.0,0.0,0.34,-6.78,-13.23,0.0,-17.23,0.0,2.16,0.0,-4.76
 CHEIRO-VERDE,-1.44,3.02,-4.22,9.5,0.32,0.33,0.31,-2.05,6.02,-3.0,-1.57,6.86,-1.72,-5.68,3.1,0.0,0.32
 BRÓCOLIS,-0.6,0.74,-8.88,0.0,-0.92,-0.91,-0.93,0.0,0.0,1.0,0.0,-0.41,0.0,0.0,0.0,0.0,-0.92
 FRUTAS,-1.39,-2.74,2.24,3.22,1.27,3.23,-1.16,0.08,4.58,0.78,2.49,-1.22,0.85,-0.33,-4.32,-4.76,0.82
 BANANA-DA-TERRA,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,13.69,0.0,0.0,20.91,0.0,0.52,0.0,0.0,12.36
 ABACAXI,-3.35,0.61,0.0,-6.93,0.0,0.0,-2.27,0.0,0.0,0.0,2.0,-10.04,6.34,0.0,0.0,-8.41,-2.27
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-1.16,0.0,0.0,0.0,0.0,0.0,0.0,-2.99,0.0,0.0,-1.37
 BANANA-D'ÁGUA,-8.32,-13.67,1.31,0.0,-1.72,1.21,0.0,0.0,0.0,-6.18,0.0,0.0,-0.53,0.0,-4.16,0.0,-4.16
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.04,0.0,-5.49,0.0,0.0,0.0,6.02
 BANANA-PRATA,-5.25,-2.54,-8.38,-0.52,-1.65,-2.82,-3.79,-3.2,0.26,-2.59,-4.43,-20.12,0.0,-7.94,-3.98,-10.77,-3.79
 LARANJA-BAÍA,0.0,-3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.41
 LARANJA-LIMA,0.0,0.0,-4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.45
 LIMÃO,3.65,0.0,0.0,0.0,8.79,19.36,0.0,0.0,0.0,0.0,9.99,2.37,0.0,13.93,0.0,0.0,8.7
 MAÇÃ,0.66,-2.64,7.33,7.54,0.85,2.14,2.18,1.45,5.85,0.58,6.47,-2.2,4.48,-0.19,-5.11,-0.4,2.18
 MAMÃO,-0.86,1.31,8.01,8.83,3.43,-2.33,0.0,-0.33,5.04,-5.64,6.99,1.81,-6.36,11.98,0.0,-7.74,2.57
 MANGA,14.16,10.0,17.85,0.0,9.3,23.84,0.0,14.63,19.94,24.25,0.0,14.48,0.0,0.0,0.0,4.49,13.83
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,-0.89,0.0,0.0,0.0,0.0,0.0,0.0,-9.66,-1.15
 MELANCIA,0.0,0.0,9.95,15.66,0.0,5.77,5.76,0.0,3.85,3.87,5.11,0.0,3.84,-0.9,-2.54,0.0,5.76
 MELÃO,0.63,0.0,0.0,11.16,0.0,2.81,2.8,0.0,0.0,-0.58,0.0,0.0,0.0,0.0,7.57,0.0,2.8
 PERA,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.41,-0.46,0.0,0.0,0.0,0.0,4.31
 TANGERINA,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,1.15
 UVA,2.65,-2.7,4.8,0.61,1.92,1.93,1.91,-1.32,4.54,2.2,4.49,-1.65,11.36,0.24,-5.95,6.87,1.91
 LARANJA-PERA,-7.55,0.0,-0.35,2.05,-5.07,4.07,-4.57,4.54,-10.38,-7.25,-9.16,-4.94,-3.17,1.64,-12.89,-11.26,-4.57
 MORANGO,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,-1.16,-4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,-2.76
 CARNES,1.17,0.1,2.23,2.24,1.3,1.42,1.28,-0.48,2.34,2.34,-1.08,-0.19,0.69,0.8,0.05,2.76,1.19
 FÍGADO,0.0,0.0,0.0,7.13,0.0,0.0,-1.7,6.76,18.72,0.0,0.0,0.0,0.0,0.0,8.83,0.0,9.58
 CARNE DE PORCO,2.67,-0.68,0.95,2.76,0.42,-2.3,2.41,-0.2,1.0,-4.07,0.54,-2.21,5.14,0.09,0.06,-0.81,0.06
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48
 CUPIM,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,0.0,0.45
 CONTRAFILÉ,4.07,3.82,2.78,4.69,3.14,-1.45,1.28,-1.2,3.64,4.32,-2.67,-3.6,4.08,0.55,2.43,3.06,1.9
 FILÉ-MIGNON,-1.04,0.0,0.0,0.0,0.0,0.0,-0.88,0.0,0.0,1.39,0.0,0.0,0.0,2.14,0.0,0.0,-0.05
 CHÃ DE DENTRO,1.65,-2.07,1.15,4.34,-1.91,2.93,0.63,0.54,2.96,5.63,-0.4,0.5,1.94,-2.33,-5.2,3.05,0.63
 ALCATRA,1.88,1.54,2.88,-0.69,4.91,3.6,2.84,1.4,0.5,9.88,1.83,-0.17,-1.76,0.09,-0.67,2.6,2.84
 PATINHO,1.29,0.0,4.32,0.96,2.82,0.0,2.14,-3.7,0.0,3.09,2.17,0.78,1.43,1.37,-0.35,2.78,2.14
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28
 LAGARTO COMUM,0.0,2.34,0.0,0.0,0.22,0.0,0.0,0.0,1.85,0.0,2.6,0.0,0.06,2.59,0.0,0.0,1.03
 MÚSCULO,2.11,1.13,4.01,2.85,0.0,0.0,2.08,0.0,1.51,9.64,1.73,0.0,3.85,2.78,-1.13,-1.91,2.08
 PÁ,0.0,1.72,1.99,3.74,-2.24,0.0,0.06,0.0,0.0,0.0,0.0,-1.48,0.45,1.51,-1.97,2.84,0.06
 ACÉM,-0.89,0.01,3.16,0.46,-0.11,4.37,0.59,-3.13,0.83,0.6,-1.51,4.01,2.25,0.71,0.77,5.8,0.59
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-1.71,0.0,0.0,0.0,0.0,0.0,-1.72,3.88,-0.92,4.72,-0.86
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,2.52,0.65,0.0,-1.07,-1.88,0.8,0.0,0.0,0.65
 COSTELA,-3.23,-1.37,2.95,0.05,4.3,2.43,2.39,-2.13,1.05,-1.94,-3.19,4.35,-1.32,1.1,-1.47,2.6,0.33
 PICANHA,0.0,-2.19,-0.73,0.0,0.0,1.83,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
 PESCADOS,-1.71,-0.75,0.6,-0.47,0.43,-0.01,0.45,0.53,1.36,-0.37,1.62,-0.56,-0.07,-0.35,-1.35,-0.68,0.0
 PEIXE-ANCHOVA,0.0,0.0,0.0,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47
 PEIXE-CORVINA,-2.86,0.0,0.0,-1.52,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0,0.0,2.3,0.05,0.05
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35,0.0,-1.35
 PEIXE-SARDINHA,0.0,-0.75,0.0,-0.47,0.0,0.0,0.0,0.0,-6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.26
 CAMARÃO,-0.07,-0.06,0.0,-0.05,0.0,-0.04,-0.04,4.28,1.93,-1.5,2.45,-0.41,0.0,0.0,-1.64,-0.96,-0.06
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
 PEIXE-MERLUZA,0.0,0.0,2.34,1.97,2.55,0.0,0.0,0.0,3.15,0.0,2.56,0.0,0.0,0.0,0.0,0.0,2.55
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,0.43,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.56,-1.12,-0.47
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-CASTANHA,0.0,0.0,0.0,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-SALMÃO,-1.71,0.0,0.0,0.0,-0.94,-0.01,0.0,0.53,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.61
 PEIXE-TILÁPIA,0.0,-1.2,0.11,-1.23,-0.25,0.0,0.0,-0.24,0.51,-0.13,-0.23,-2.06,1.7,0.0,0.0,-0.34,-0.25
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,1.62,0.0,-4.7,-0.45,-0.05,0.0,0.06
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,-0.01,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.38
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.88
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,1.62
 CARNES E PEIXES INDUSTRIALIZADOS,-0.07,-0.95,-1.33,2.64,0.87,0.6,2.15,1.11,2.53,0.38,-0.4,2.55,-1.08,1.6,-0.37,1.25,0.69
 PRESUNTO,2.74,-1.2,-3.16,0.0,-2.75,-1.18,0.0,-1.21,1.7,-0.17,-1.19,2.66,-2.95,1.5,0.0,-1.72,-1.21
 SALSICHA,0.0,0.62,0.0,1.94,1.24,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,1.94,0.0,0.0,1.06
 LINGUIÇA,-1.57,-1.43,-1.72,1.63,2.21,0.8,0.79,2.27,0.61,1.06,0.04,3.65,-0.79,1.51,-2.18,1.95,0.79
 MORTADELA,-0.18,0.0,2.24,-1.44,-0.5,0.0,0.0,-0.12,0.0,-2.1,-3.31,0.0,0.3,0.0,0.0,0.0,-0.5
 SALAME,0.0,-0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95
 BACALHAU,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,-0.07
 CARNE-SECA E DE SOL,0.24,0.0,0.0,3.63,0.0,2.17,2.82,0.82,3.46,0.0,0.0,0.39,0.0,0.0,2.83,1.41,2.82
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,-2.67,0.0,0.0,0.0,0.0,-0.04
 AVES E OVOS,-1.71,-0.13,-2.76,-0.53,-0.77,-0.27,-0.39,-0.26,-1.52,0.61,0.35,0.04,1.53,-1.4,-0.46,-1.56,-0.79
 FRANGO INTEIRO,0.9,1.19,-1.62,-1.66,-0.66,-0.68,-0.69,-1.11,-0.8,0.98,0.27,-1.47,-0.65,-0.98,-0.23,-2.51,-0.69
 FRANGO EM PEDAÇOS,-2.17,-0.47,-3.95,-0.02,-1.15,1.39,-0.22,0.18,-2.32,1.09,0.58,0.06,3.21,-2.58,-0.55,-1.0,-1.07
 OVO DE GALINHA,-1.45,0.15,-1.23,1.22,0.15,-2.11,0.5,1.73,-1.16,-1.38,-0.26,2.22,-0.25,-1.81,-1.52,-0.9,-0.26
 LEITES E DERIVADOS,2.18,-0.81,1.33,0.97,1.6,5.93,1.74,1.26,2.18,3.59,3.03,3.0,1.97,-0.08,-0.4,1.27,1.72
 LEITE LONGA VIDA,4.35,-1.58,1.89,3.35,1.99,10.2,6.59,1.09,2.69,4.02,3.71,6.16,2.15,-0.86,-0.94,2.96,2.33
 LEITE CONDENSADO,2.4,-0.71,0.0,0.0,0.0,0.0,5.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,0.0,0.0,1.74
 LEITE EM PÓ,0.98,0.0,0.27,-0.86,1.66,0.0,0.71,-0.1,2.03,1.15,-1.05,2.5,1.13,1.08,-0.43,-0.27,0.72
 QUEIJO,2.06,1.09,0.64,2.04,1.97,4.73,0.64,4.94,3.91,6.83,5.0,-0.05,1.97,2.36,2.24,1.75,2.48
 IOGURTE E BEBIDAS LÁCTEAS,-0.56,-2.35,0.84,-0.61,-2.25,-0.56,0.22,-0.33,-0.3,-1.61,1.93,-0.78,1.78,-0.31,-2.0,0.42,-1.07
 REQUEIJÃO,-1.81,0.0,1.49,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04
 MANTEIGA,0.75,0.0,1.42,-0.15,0.0,1.08,0.14,0.49,-0.68,0.0,-0.65,-2.11,0.0,-1.97,0.0,1.62,0.14
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.11,0.0,0.0,0.0,0.0,0.0,0.0,-1.11
 PANIFICADOS,-0.24,-1.71,0.81,0.79,-1.56,0.69,4.02,2.54,1.07,-0.27,-2.09,-0.37,-1.11,-1.92,1.58,0.86,-0.2
 BISCOITO,-0.98,-0.69,1.26,2.36,0.56,0.72,2.14,0.81,0.5,-0.54,-1.34,1.46,0.81,0.01,0.4,-1.24,0.4
 PÃO FRANCÊS,0.27,-2.28,1.36,0.18,-2.83,1.06,5.52,3.87,1.8,0.18,-2.82,-1.62,-2.75,-2.66,2.01,2.11,-0.2
 PÃO DOCE,-0.86,0.88,0.06,0.0,-0.64,0.0,0.0,0.0,0.21,0.47,0.0,-1.27,0.13,0.0,0.0,0.0,-0.24
 PÃO DE FORMA,0.39,-2.72,-0.55,0.0,-1.13,-1.47,0.0,0.0,0.0,-1.27,0.0,1.48,0.0,0.0,0.0,0.0,-1.08
 BOLO,-0.83,-2.8,-1.36,-0.92,-1.96,-0.12,-1.23,-1.13,-2.5,-0.74,1.86,0.08,3.25,-0.25,1.96,-0.84,-1.23
 PÃO DE QUEIJO,0.0,0.0,-1.12,0.0,0.0,1.5,0.0,0.0,0.0,0.0,-3.25,0.0,0.0,0.0,0.0,0.0,-1.41
 ÓLEOS E GORDURAS,2.47,1.7,2.31,4.94,2.08,-0.18,3.67,0.06,1.83,1.47,1.42,0.08,3.51,0.77,-2.53,-0.14,1.98
 ÓLEO DE SOJA,2.37,2.03,3.12,7.68,3.47,-1.61,5.93,0.97,0.22,1.5,1.22,-0.73,3.19,0.44,-3.28,-0.09,2.47
 AZEITE DE OLIVA,6.08,0.0,0.0,0.0,-0.12,1.75,2.14,0.0,4.2,1.68,0.0,1.92,4.43,2.15,0.0,0.0,2.0
 MARGARINA,-1.08,0.93,-0.19,1.72,1.94,0.0,0.97,-0.93,2.99,1.23,2.12,0.0,3.5,0.0,-0.98,-0.2,0.97
 BEBIDAS E INFUSÕES,1.04,-0.18,0.5,-0.67,0.41,0.55,0.23,-0.12,-0.25,-0.43,0.01,-0.49,-0.34,-0.08,-1.47,-0.15,0.16
 SUCO DE FRUTAS,0.71,-1.01,-2.46,-0.12,1.51,-0.2,0.0,-2.12,0.0,-1.17,1.19,1.41,0.11,0.0,0.0,0.0,0.26
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,-0.48,-1.35,-1.19,0.0,0.0,0.0,0.0,0.14,4.15,0.0,-0.48
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,-1.04,0.14,0.0,0.14
 CAFÉ MOÍDO,-0.28,-1.29,-0.57,0.27,1.66,0.63,2.15,0.42,-1.04,1.12,1.3,-1.97,1.5,0.55,-2.48,0.02,0.47
 CAFÉ SOLÚVEL,0.0,-1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.94
 REFRIGERANTE E ÁGUA MINERAL,2.34,-0.95,1.25,-1.32,-0.67,0.83,-1.14,0.39,0.18,-0.75,-0.96,1.66,-1.14,-0.15,-2.56,0.08,-0.24
 CERVEJA,1.01,1.27,1.67,0.48,0.42,0.67,2.87,-1.82,0.65,-1.53,-0.15,-1.48,-1.76,0.0,-0.97,-0.58,0.44
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,-0.86,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,-0.06
 VINHO,0.46,0.57,0.0,0.0,0.72,0.0,0.0,0.0,0.0,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.45
 SUCO EM PÓ,0.0,-1.36,-0.93,0.0,0.59,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,1.51,-0.69,0.0,0.0,-0.05
 CHÁ MATE (ERVA MATE),0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,1.3,0.0,0.0,0.0,0.7
 ENLATADOS E CONSERVAS,0.43,-0.12,-0.51,0.94,0.59,-0.13,0.85,0.19,0.32,-0.46,1.74,2.31,-0.75,1.27,0.84,0.94,0.33
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51
 PALMITO EM CONSERVA,0.0,0.0,1.86,0.0,0.56,-1.21,0.0,0.0,0.0,-0.4,1.37,0.0,0.0,0.0,0.0,0.0,0.55
 PEPINO EM CONSERVA,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57
 SARDINHA EM CONSERVA,2.23,-0.97,-3.34,1.53,1.69,1.13,-0.12,0.37,-0.37,-0.41,0.0,1.99,2.48,2.15,0.93,0.47,0.56
 SALSICHA EM CONSERVA,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72
