"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MACARRÃO INSTANTÂNEO,-0.77,       -,       -,       -,1.42,-1.03,       -,       -,       -,0.88,       -,0.12,4.17,0,       -,       -,0.8
" TUBÉRCULOS, RAÍZES E LEGUMES",8.12,-0.07,13.08,7.9,0.85,7.32,10.21,21.65,15.82,7.36,9.6,4.09,4.47,5.57,23.03,23.19,7.22
 BATATA-DOCE,5.43,       -,       -,-1.19,14.87,       -,       -,       -,-4.34,       -,8.99,       -,       -,4.52,       -,       -,6.7
 BATATA-INGLESA,-3.6,3.11,-10.48,-7.37,-6.46,-10.33,-2.59,-0.06,9.63,1.38,-4.54,-1.31,-4.44,-0.58,4.6,-1.31,-3.65
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-9.85,       -,       -,       -,-4.28,-6.12
 MANDIOCA (AIPIM),       -,       -,12.6,1.09,       -,8.58,       -,       -,-6.67,       -,       -,       -,1.4,1.82,       -,       -,3.08
 ABOBRINHA,       -,       -,       -,       -,1.86,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.86
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.56,       -,       -,       -,       -,       -,       -,-0.56
 PIMENTÃO,       -,       -,       -,       -,-3.93,-4.43,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.99
 TOMATE,17.85,-2.55,33.13,34.11,5.19,25.31,22.41,55.84,47.73,18.46,17.81,12.36,11.94,21,36.09,56.79,18.86
 CEBOLA,5.15,-5.29,5.41,-13.94,-6.93,-11.81,-0.55,5.8,0.53,-2.65,1.24,-3.16,2.1,-10.37,7.89,3.67,-2.25
 CENOURA,26.79,7.43,35.55,35.68,14.73,17.62,19.55,23.39,8.18,16.12,22.99,10.43,       -,       -,       -,7.7,19.83
 AÇÚCARES E DERIVADOS,2.26,1.1,2.32,2.11,0.62,-0.47,1.71,2.13,3.71,-0.47,0.2,1.42,2.92,2.7,3.62,2.32,1.22
 AÇÚCAR REFINADO,3.62,-0.22,       -,-0.01,-0.02,1.32,-2.51,2.67,-2.12,-0.68,       -,       -,       -,1.84,2.39,       -,0.7
 AÇÚCAR CRISTAL,       -,-2.3,4.93,4.7,       -,3.19,6.17,1.48,8.67,5.1,2.24,3.22,6.93,4.43,7.4,5.45,4.54
 BALAS,       -,0.93,       -,       -,       -,-0.43,       -,       -,       -,-3.43,-0.93,       -,2.19,       -,       -,       -,-0.93
 CHOCOLATE EM BARRA E BOMBOM,1.99,2.38,3.22,0.76,1.23,-1.82,0.27,3.55,4.45,-0.9,-0.61,0.1,0.86,0.85,1.96,0.07,1.26
 SORVETE,1.2,0.68,-0.21,0.43,1.02,-1.26,0.85,0.54,-1.23,-0.01,-1.09,-0.88,1.28,       -,       -,1.89,0.5
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.29,2.11,-0.9,-0.41,-0.66,-0.64,-0.26,3.22,-0.17,-1.44,-0.22,1.31,0.37,0.45,1.49,0.05,-0.08
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-1.51,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.51
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.02,-3.02
 HORTALIÇAS E VERDURAS,2.37,1.41,5.3,10.39,4.64,0.25,2.81,-0.11,1.67,4,3.59,1.4,0.67,-2.44,8.39,-3.33,3.58
 ALFACE,4.13,3.26,5.81,10.8,6.52,6.1,7.72,0.57,2.25,6.54,3.75,4.38,-0.33,-8.28,2.5,-0.04,5.26
 COENTRO,       -,       -,       -,12.81,       -,       -,       -,       -,3.07,       -,       -,       -,       -,       -,       -,-5.17,5.65
 COUVE,4.3,       -,2.8,       -,-0.48,       -,       -,       -,       -,       -,       -,0.36,       -,1.07,       -,-4.28,0.88
 COUVE-FLOR,1.97,       -,       -,       -,       -,-9.54,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.73
 REPOLHO,       -,-7.58,       -,       -,7.55,       -,       -,       -,1.25,-0.69,5.59,       -,1.3,       -,2.88,       -,2.03
 CHEIRO-VERDE,-0.65,-1.34,6.42,0.62,2.14,-6.69,1.81,-0.33,-0.81,-1.58,0.88,-0.17,4.24,1.04,12.36,       -,1.27
 BRÓCOLIS,1.12,5.32,4.86,       -,4.22,3.3,1.4,       -,       -,7.12,       -,-2.91,       -,       -,       -,       -,4.07
 FRUTAS,0.54,1.62,4.09,-0.9,-1.45,-1.02,-3.09,0.2,-1.84,-2.45,0.03,-4.02,-2.66,1.29,3.24,2.84,-0.37
 BANANA-DA-TERRA,       -,       -,       -,1.32,       -,       -,       -,       -,0.63,       -,       -,-17.78,       -,6.3,       -,       -,-1.21
 ABACAXI,-0.93,-1.35,       -,0.83,       -,       -,-3.53,       -,       -,       -,4.5,-3.86,-2.52,       -,       -,1.8,-0.4
 ABACATE,       -,       -,       -,       -,       -,       -,-19.22,       -,       -,       -,       -,       -,       -,-29.59,       -,       -,-20.7
 BANANA-D'ÁGUA,-1.7,-2.94,0.27,       -,-3.76,-8.77,       -,       -,       -,-11.96,       -,       -,-6.11,       -,-0.06,       -,-4.7
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.4,       -,11.11,       -,       -,       -,3.58
 BANANA-PRATA,2.83,3.08,14.22,1.97,-1.08,1.79,-3.95,-0.35,-0.52,-0.06,-0.5,5.88,       -,4.59,9.59,5.24,3.13
 LARANJA-BAÍA,       -,5.91,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.91
 LARANJA-LIMA,       -,       -,2.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.12
 LIMÃO,-25.25,       -,       -,       -,-21.19,-10.8,       -,       -,       -,       -,-10.46,-32.86,       -,-17.5,       -,       -,-20.69
 MAÇÃ,5.29,5.24,-2.64,0.96,5.2,10.67,3.41,2.73,-1.15,7.93,4.49,3.1,0.46,9.97,2.44,1.13,3.33
 MAMÃO,-5.12,-2.38,-2.97,-5.54,-0.3,-5.58,       -,1.64,-6.83,-5.65,-4.26,-13.4,-9.31,-2.97,       -,-2.61,-2.73
 MANGA,4.35,10.1,17.93,       -,10.87,-0.93,       -,4.53,-2.37,1.56,       -,5.54,       -,       -,       -,-3.22,7.56
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-13.9,-8.23,       -,       -,       -,       -,       -,       -,5.51,-7.58
 MELANCIA,       -,       -,-11.37,-2.59,       -,-8.46,-4.43,       -,-1.48,-4.14,-3.14,       -,-6.74,1.16,-6.72,       -,-5.39
 MELÃO,-1.99,       -,       -,-11.31,       -,1.88,-7.06,       -,       -,-1.41,       -,       -,       -,       -,-1.96,       -,-3.54
 PERA,       -,       -,       -,       -,-1.22,       -,       -,       -,       -,       -,1.22,-8.68,       -,       -,       -,       -,-1.21
 TANGERINA,       -,       -,       -,       -,-1.45,       -,       -,       -,       -,-2.45,       -,       -,       -,       -,       -,       -,-1.68
 UVA,-2.4,0.06,-7.31,-2.48,-12,-1.16,-0.65,5.15,-4.34,-2.4,-6.12,-5.76,-5.57,4.17,0.07,3.27,-5.61
 LARANJA-PERA,6.73,       -,8.27,-0.35,-0.12,-2.09,0.46,5.84,1,-1.93,4.17,4.01,2.23,5.33,1.38,2.22,1.79
 MORANGO,       -,3.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.18
 GOIABA,       -,       -,       -,       -,       -,       -,-7.47,-0.93,       -,       -,       -,       -,       -,       -,       -,3.78,-2.38
 CARNES,-8.39,-0.27,-2.8,-2.28,-4.41,-6.05,-3.8,-1.52,-1.75,-3.43,-3.75,-3.41,-2.58,-0.48,-2.56,-2.01,-3.53
 FÍGADO,       -,       -,       -,-2.69,       -,       -,-2.61,-2.55,0.99,       -,       -,       -,       -,       -,-2.25,       -,-1.38
 CARNE DE PORCO,-1.69,-0.99,-3.41,-5.79,-5.06,-0.71,-2.75,0.05,2.22,-3.83,-2.79,-2.74,0.28,3.82,-5.19,1.98,-2.98
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-3.36,       -,       -,       -,       -,       -,       -,       -,       -,-3.36
 CUPIM,       -,       -,       -,1.58,       -,       -,       -,       -,       -,       -,-0.2,       -,       -,       -,       -,       -,0.68
 CONTRAFILÉ,-9.94,-0.17,-4.26,-2.69,-5.2,-9.11,-6.95,-3.03,-2.29,-6.36,-4.56,-2.77,-0.61,-1.31,-5.85,-2.87,-5.0
 FILÉ-MIGNON,-9.78,       -,       -,       -,       -,       -,-2.91,       -,       -,-6.2,       -,       -,       -,1.01,       -,       -,-7.13
 CHÃ DE DENTRO,-12.37,-4.12,-4.47,-6.86,-4.3,-9.56,-3.73,0.19,-4.1,1.86,-4.71,-6.99,-2.21,0.15,1.73,-1.93,-4.04
 ALCATRA,-14.4,-4.68,-2.59,0.53,-9.87,-11.18,-6.42,-4.11,-5.13,-3.5,-3.91,-4.1,-4.45,-0.51,-6.54,-0.37,-7.56
 PATINHO,-9.59,       -,-4.59,-8.8,-4.46,       -,-3.02,-1.57,       -,0.33,-4.62,-6.29,-0.03,-1.34,-5.25,-1.78,-4.22
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-2.62,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.62
 LAGARTO COMUM,       -,-0.5,       -,       -,-4.83,       -,       -,       -,-3.74,       -,-3.29,       -,-0.41,0.03,       -,       -,-3.52
 MÚSCULO,-5.24,4.66,-2.59,-1.69,-1.15,       -,-4.95,       -,0.66,-1.37,-2.26,       -,-3.26,1.68,0.82,-1.45,-0.84
 PÁ,       -,4.4,2.59,-0.94,-0.59,       -,-0.9,       -,       -,       -,       -,-4.44,-2.86,-0.57,1.45,1.58,0.6
 ACÉM,0.59,2.31,0.98,-2.04,-0.13,-0.48,-0.78,-1.83,-0.38,-1.23,-4.88,-1.42,-3.82,-0.48,1.71,-3.46,-0.29
 PEITO,       -,       -,       -,       -,       -,       -,-1.42,       -,       -,       -,       -,       -,-2.34,-1.46,1.59,-7.06,-1.67
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-5.67,       -,2.41,-10.95,       -,-1.97,-1.85,-0.48,       -,       -,-4.74
 COSTELA,-2.36,-0.33,-0.38,3.44,-5.4,-3.13,-1.21,1.42,-0.9,-3.97,-1.64,-0.07,-4.18,-0.83,4.42,-2.84,-1.73
 PICANHA,       -,-1.2,-7.54,       -,       -,-3.53,       -,-5.02,       -,       -,       -,       -,       -,       -,       -,       -,-4.02
 PESCADOS,-2.11,1.57,-0.56,0.39,0.8,-0.21,-1.27,0.59,-1.1,2.25,-0.26,-2.74,1.17,-0.22,2.46,-0.3,0.04
 PEIXE-ANCHOVA,       -,       -,       -,0.39,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.39
 PEIXE-CORVINA,-4.99,       -,       -,-0.85,       -,       -,       -,       -,-0.62,       -,       -,       -,       -,       -,2.63,2.21,-2.08
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.48,       -,4.48
 PEIXE-SARDINHA,       -,0.22,       -,2.43,       -,       -,       -,       -,-1.94,       -,       -,       -,       -,       -,       -,       -,-0.28
 CAMARÃO,3.2,3.34,       -,-0.17,       -,-2.28,-5.12,-1.27,-9.11,-0.85,-1.29,-2.14,       -,       -,1.84,-0.95,-1.54
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,2.47,       -,       -,       -,       -,       -,       -,       -,       -,2.47
 PEIXE-CAÇÃO,       -,       -,       -,       -,-0.94,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.94
 PEIXE-MERLUZA,       -,       -,-1.28,-3.12,0.8,       -,       -,       -,0,       -,-0.91,       -,       -,       -,       -,       -,-0.06
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,2.95,       -,       -,       -,       -,       -,       -,       -,       -,2.95
 PEIXE-PESCADA,       -,       -,       -,       -,0.19,       -,4.42,       -,       -,       -,       -,       -,       -,       -,8.25,-2.04,4.25
 CARANGUEJO,-0.44,       -,       -,       -,       -,       -,-0.44,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.44
 PEIXE-CASTANHA,       -,       -,       -,2,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.0
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-5.08,       -,       -,       -,       -,       -,       -,       -,       -,-5.08
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.99,       -,       -,0.99
 PEIXE-SALMÃO,-1.18,       -,       -,       -,5.53,2.51,       -,0.59,5.28,       -,       -,       -,       -,       -,       -,       -,3.53
 PEIXE-TILÁPIA,       -,1.11,-0.36,2.44,-0.88,2.16,       -,0.79,-0.43,2.92,3.75,0.3,1.46,       -,       -,0.22,0.71
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-3.8,-0.28,       -,       -,       -,-2.24,       -,0.13,-0.55,-1.81,       -,-1.33
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-7.48,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.48
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-3.81,-5.43,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.17
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.19,       -,       -,       -,       -,-5.19
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.79,       -,       -,       -,1.79
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.26,       -,       -,       -,       -,       -,-0.26
 CARNES E PEIXES INDUSTRIALIZADOS,0.03,1.37,1.22,1.82,1.21,-0.22,1.3,1.8,-0.19,-0.29,0.37,0.56,0.51,0.06,-3.55,-0.88,0.74
 PRESUNTO,-0.74,0.36,2.68,       -,1.24,-2.65,       -,0.42,2.25,0.09,0.13,-2.53,2.94,2.47,       -,-1.02,0.7
 SALSICHA,       -,1.85,       -,-0.31,2.81,       -,       -,       -,       -,2,       -,       -,       -,0.21,       -,       -,2.12
 LINGUIÇA,0.45,1.58,1.49,1.29,1.46,0.89,3.68,2.87,0.08,-0.47,0.47,1.1,0.63,-0.53,-1.79,2.03,1.1
 MORTADELA,2.43,       -,-0.54,-0.41,-1.64,       -,       -,1.3,       -,-2.14,0.66,       -,-2.96,       -,       -,       -,-0.78
 SALAME,       -,1.89,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.89
 BACALHAU,-0.77,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.23,       -,-0.69
 CARNE-SECA E DE SOL,-0.93,       -,       -,2.66,       -,0.27,0.16,0.55,-0.64,       -,       -,0.72,       -,       -,-8.08,-2.16,0.1
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-0.61,       -,       -,       -,       -,       -,       -,       -,-0.3,-0.25,       -,       -,       -,       -,-0.49
 AVES E OVOS,-0.41,-0.49,1.69,0.82,0.21,0.68,1.13,1.23,0.48,1.61,-0.93,1.48,2.25,1.39,1.1,0.86,0.56
 FRANGO INTEIRO,-1.11,-0.87,0.98,-0.14,0.28,-1.43,1.02,2.22,-0.19,3.2,-3.67,1.58,0.92,1.74,1.98,0.11,0.62
 FRANGO EM PEDAÇOS,-1.2,-1.54,0.37,1.52,-0.28,0.01,1.18,-0.02,0.45,0.65,-1.41,0.06,0.72,1.16,-1.98,1.31,-0.26
 OVO DE GALINHA,2.74,3.24,5.8,1.94,1.53,4.53,1.47,-0.31,2.02,2.76,7.61,5.37,6.84,0.43,-0.3,1.4,2.56
 LEITES E DERIVADOS,1.8,-0.51,0.35,0.34,1.9,0.12,-0.77,-0.15,0.59,2.39,-0.16,-1.07,1.02,0.21,0.1,1.42,0.99
 LEITE LONGA VIDA,2.11,0.32,0.29,2.47,0.57,1.15,-1.86,-0.1,0.94,3.86,-0.03,-1.92,1.53,0.16,-3.62,1.08,0.85
 LEITE CONDENSADO,7.2,-0.72,       -,       -,       -,       -,0.15,       -,       -,       -,       -,       -,       -,0.57,       -,       -,2.42
 LEITE EM PÓ,-0.06,       -,2.81,0.46,0.25,       -,-0.78,0.28,1.14,1.01,0.33,0.37,-0.14,0.71,1.35,-0.38,0.49
 QUEIJO,2.3,-2.24,-0.29,-1.01,3.64,0.06,0.08,-1.31,-1.46,0.92,-1.17,-0.26,1.37,-0.19,3.36,4.19,1.16
 IOGURTE E BEBIDAS LÁCTEAS,-2.07,1.41,0.89,2.15,1.67,-1.01,-1.44,0.64,2.63,2.8,-0.92,1.07,-0.98,0.17,-1.76,0.12,0.92
 REQUEIJÃO,-0.89,       -,0.06,       -,3.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.23
 MANTEIGA,5.07,       -,1.2,2.23,       -,-2.36,-0.19,0.23,1.28,       -,1.78,-2.62,       -,-0.71,       -,1.29,1.32
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.47,       -,       -,       -,       -,       -,       -,0.47
 PANIFICADOS,0.61,1.05,0.16,0.8,-0.13,-0.18,1.58,0.64,1.12,0.61,0.42,0.02,0.01,1.1,-0.71,-0.72,0.38
 BISCOITO,0.6,3.73,0.06,-1.37,-0.76,-2.48,1.54,0.61,0.54,-0.07,0.55,-0.33,0.64,-0.3,-1.77,-0.1,0.13
 PÃO FRANCÊS,1.18,0.86,-0.03,2.51,-0.93,0.94,1.86,0.85,1.77,0.9,1.1,-0.23,0.13,1.52,-0.3,-0.97,0.43
 PÃO DOCE,0.81,3.94,0.2,       -,2.24,       -,       -,       -,-1.58,-2.53,       -,1.74,-2.01,       -,       -,       -,0.97
 PÃO DE FORMA,-0.11,1.57,0.6,       -,4.74,-0.21,       -,       -,       -,2.34,       -,0.43,       -,       -,       -,       -,2.54
 BOLO,-2.7,-9.47,0.73,-2.48,-0.53,1.5,-0.74,-0.74,0.6,2.36,0.3,1.97,-0.96,0.73,-0.5,-1.31,-0.83
 PÃO DE QUEIJO,       -,       -,0.99,       -,       -,-0.86,       -,       -,       -,       -,-2.31,       -,       -,       -,       -,       -,-0.34
 ÓLEOS E GORDURAS,-2.41,5.7,0.68,2.37,0.76,-0.59,-0.37,0.72,0.58,2.11,-0.97,1.74,0.99,1.97,0.91,1.25,0.78
 ÓLEO DE SOJA,-3.73,8.63,0.35,5.85,0.23,1.1,-0.51,0.81,1.73,3.37,-1.37,2.89,1.82,3.29,1.04,3.45,1.29
 AZEITE DE OLIVA,-2.54,       -,       -,       -,0.99,-2.73,0.02,       -,1.5,-0.47,       -,-0.81,-0.4,-2.68,       -,       -,-0.24
 MARGARINA,-0.16,-0.61,1.67,-1.29,1.5,       -,-0.48,0.62,-1.75,1.73,0.44,       -,0.06,       -,0.64,-1.33,0.42
 BEBIDAS E INFUSÕES,0.76,-0.63,0.18,0.07,-0.37,-0.13,2.4,-0.17,0.73,-0.73,0.76,-0.12,0.19,0.41,-0.01,-0.42,0.07
 SUCO DE FRUTAS,-3.5,-2.63,0.79,0.87,1.42,-0.48,       -,-0.88,       -,1.05,1.14,-0.52,0.75,       -,       -,       -,-0.18
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,0.52,1.54,0.3,       -,       -,       -,       -,-0.83,1.07,       -,0.64
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,5.22,       -,       -,       -,       -,       -,       -,5.9,6.59,       -,5.3
 CAFÉ MOÍDO,-0.82,-2.53,-0.06,1.94,-0.43,-0.96,-0.02,-0.47,0.88,-2.98,1.84,0.17,1.09,0.95,0.02,0.15,-0.44
 CAFÉ SOLÚVEL,       -,0.22,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.22
 REFRIGERANTE E ÁGUA MINERAL,3.83,-0.21,0.73,-0.49,0.33,-0.38,0.3,0.25,-0.12,-0.37,1.14,-1.42,-0.13,-0.98,-2.73,-0.47,0.39
 CERVEJA,0.63,-1.49,-0.25,-0.13,-1.73,0.77,0.78,-1.81,1.79,-0.74,-0.17,0.74,-0.1,       -,-1.99,-0.74,-0.68
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,-0.4,       -,       -,1.35,       -,       -,       -,       -,       -,       -,0.08
 VINHO,2.45,1.02,       -,       -,-0.94,       -,       -,       -,       -,-0.26,       -,       -,       -,       -,       -,       -,0.33
 SUCO EM PÓ,       -,0.32,-0.14,       -,-0.39,       -,       -,       -,       -,-0.67,       -,       -,0.06,0.45,       -,       -,-0.26
 CHÁ MATE (ERVA MATE),       -,0.76,       -,       -,       -,       -,       -,       -,       -,-0.36,       -,       -,-0.45,       -,       -,       -,0.4
 ENLATADOS E CONSERVAS,-1.03,1.17,0.13,2.21,-0.9,-0.96,-0.45,0.57,-0.09,-0.95,0.74,1.36,0.23,1.14,-1.21,1.1,-0.27
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,-2.82,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.82
 PALMITO EM CONSERVA,       -,       -,0.17,       -,0.11,-0.29,       -,       -,       -,0.52,0.8,       -,       -,       -,       -,       -,0.19
 PEPINO EM CONSERVA,       -,3.68,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.68
 SARDINHA EM CONSERVA,-3.91,-1.19,-1.59,2.94,-1.42,-0.95,-1.94,0.39,0.45,-2.99,       -,1.04,-0.93,0.99,-1.57,1.18,-1.0
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,1.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.12
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.71,       -,       -,0.88,       -,       -,       -,-0.49
 AZEITONA,1.32,0.43,0.19,0.75,-0.54,-2,       -,-1.7,1.04,-0.06,1.63,1.52,0.46,0.67,       -,       -,0.07
 MILHO-VERDE EM CONSERVA,0.55,2.51,1.34,1.35,-3.91,       -,2.61,3.22,-2.68,-2.02,-1.81,1.54,0.55,2.01,1.45,0.92,-0.38
 ATUM EM CONSERVA,-1.82,-0.46,       -,1.6,-0.38,-0.1,       -,       -,1.5,0.39,       -,       -,       -,       -,       -,       -,-0.24
 SAL E CONDIMENTOS,4.58,-0.03,1.51,2.08,0.93,2.33,1.43,3.04,3.15,1.14,0.8,2.88,1.78,3.14,0.91,1.04,1.68
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-0.37,       -,       -,       -,       -,       -,       -,       -,-0.37
 ATOMATADO,1.17,-0.51,-0.51,-0.65,0.46,1.52,1.41,1.26,2.4,1.1,0.81,-0.26,-0.15,0.6,0.77,-0.11,0.54
 ALHO,7.47,       -,3.86,7.42,3.81,4.86,3.28,6.54,6.31,2.75,0.63,5.12,4.68,6.27,1.06,2.06,4.67
 SAL,0.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.35,0.04,-0.73,0.43,-0.02
 COLORAU,       -,       -,       -,       -,       -,       -,       -,0.9,       -,       -,       -,       -,       -,       -,       -,       -,0.9
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-1.71,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.71
 FERMENTO,       -,1.04,       -,       -,       -,       -,       -,       -,       -,-0.91,       -,       -,       -,       -,       -,       -,-0.02
 MAIONESE,3.11,-0.66,2.06,0.94,-3.78,1.59,1.99,1.87,       -,1.11,       -,-0.19,0.24,-0.11,       -,       -,-0.59
 VINAGRE,       -,-0.51,       -,-0.38,-1.07,0.5,-2.36,       -,0.08,       -,       -,       -,       -,       -,0.33,2.5,-0.75
 CALDO CONCENTRADO,       -,1.46,       -,0.14,       -,       -,       -,0.6,0.64,       -,0.81,-0.3,       -,       -,       -,       -,0.87
 TEMPERO MISTO,       -,0.67,-0.23,1.5,1.57,0.72,2.11,-0.77,0.35,-0.32,1.2,1.2,-1.19,-0.48,2.37,0.29,0.92
