"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 BRÓCOLIS,7.02,1.11,0.8,       -,1.82,-4.83,1.81,       -,       -,0.81,       -,0.78,       -,       -,       -,       -,1.81
 FRUTAS,1.25,1.49,1.6,1.68,-5.04,-1.99,-0.32,-2.4,-1.34,0.5,-1.67,0.76,0.07,1.45,-1.83,3.35,-1.59
 BANANA-DA-TERRA,       -,       -,       -,1.68,       -,       -,       -,       -,-4.16,       -,       -,0.44,       -,7.12,       -,       -,-2.34
 ABACAXI,-5.67,-3.13,       -,-6.07,       -,       -,-5.12,       -,       -,       -,-5.08,-2.01,-9.29,       -,       -,-6.07,-5.13
 ABACATE,       -,       -,       -,       -,       -,       -,-0.32,       -,       -,       -,       -,       -,       -,3.64,       -,       -,0.18
 BANANA-D'ÁGUA,6.27,3.1,11.1,       -,-2.3,-2.29,       -,       -,       -,18.16,       -,       -,5.9,       -,3.16,       -,3.16
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.81,       -,6.26,       -,       -,       -,0.76
 BANANA-PRATA,6.24,8.65,17.33,2.61,-5.87,6.87,3.13,-4.49,0.64,0.08,3.78,10.72,       -,2.34,-2.11,8.07,3.14
 LARANJA-BAÍA,       -,4.92,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.92
 LARANJA-LIMA,       -,       -,15.67,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,15.67
 LIMÃO,4.13,       -,       -,       -,13.79,0.85,       -,       -,       -,       -,5.5,17.99,       -,5.53,       -,       -,11.13
 MAÇÃ,9.63,1.74,0.62,3.84,1.71,0.89,2.17,3.3,1.53,2.86,-0.01,1.38,0.76,-0.5,-3.67,2.35,2.17
 MAMÃO,-9.43,-10.25,-20.95,0.79,-21.17,-18.4,       -,4.11,-1.1,-11.16,-13.06,-23.2,-17.03,-2.21,       -,5.82,-15.12
 MANGA,-10.95,-2.33,-9.55,       -,-13.31,-15.9,       -,-6.88,-4.09,-14.45,       -,0.02,       -,       -,       -,-1.55,-11.09
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-2.31,6.2,       -,       -,       -,       -,       -,       -,7.06,3.64
 MELANCIA,       -,       -,-17.39,-3.03,       -,-8.19,-8.21,       -,-1.36,-4.89,-7.78,       -,-13.59,0.13,-8.2,       -,-8.21
 MELÃO,4.06,       -,       -,8.51,       -,5.27,5.25,       -,       -,4.58,       -,       -,       -,       -,5.26,       -,5.26
 PERA,       -,       -,       -,       -,1.98,       -,       -,       -,       -,       -,1.42,13.36,       -,       -,       -,       -,2.29
 TANGERINA,       -,       -,       -,       -,-5.04,       -,       -,       -,       -,0.5,       -,       -,       -,       -,       -,       -,-3.77
 UVA,1.27,-0.34,0.69,4.4,-1.08,-1.07,-1.1,-3.96,-7.2,-3.73,-2.59,-0.03,0.57,-4.01,-1.09,3.55,-1.09
 LARANJA-PERA,-4.15,       -,3.49,-1,-9.62,1.28,-4.48,-5.1,-2.54,-3.21,-1.5,2.16,9.66,-0.12,0.43,-7.58,-4.48
 MORANGO,       -,6.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.78
 GOIABA,       -,       -,       -,       -,       -,       -,-0.32,-5.69,       -,       -,       -,       -,       -,       -,       -,3.56,-2.39
 CARNES,5.38,2.47,5.14,5.53,3.9,0.55,5.25,4.05,7.72,1.41,5.49,6.52,6.63,7.09,7.95,5.17,4.53
 FÍGADO,       -,       -,       -,-1.58,       -,       -,-0.71,2.17,-0.41,       -,       -,       -,       -,       -,-1.47,       -,-0.49
 CARNE DE PORCO,4.34,5.97,8.51,7.44,9.78,4.88,7.3,4.47,6.56,13.17,6.45,11.8,8.53,1.38,7.92,4.05,8.31
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,4.05,       -,       -,       -,       -,       -,       -,       -,       -,4.05
 CUPIM,       -,       -,       -,8.62,       -,       -,       -,       -,       -,       -,5.73,       -,       -,       -,       -,       -,7.2
 CONTRAFILÉ,4.28,5.04,2.3,6.64,6.76,0.23,7.07,2.33,6.95,-6.5,4.27,4.94,8.05,7.57,15.19,4.53,4.64
 FILÉ-MIGNON,-2.31,       -,       -,       -,       -,       -,-2.01,       -,       -,-1.81,       -,       -,       -,-0.03,       -,       -,-2.01
 CHÃ DE DENTRO,5,9.13,3.93,9.38,2.85,-2.19,6.01,4.31,4.32,5.38,2.61,4.72,6.74,7.87,5.84,5.4,4.59
 ALCATRA,7.68,-0.17,1.46,2.62,1.61,-2.1,7.07,4.59,6.45,0.39,3.96,10.46,5.06,9.28,4.64,3.28,3.7
 PATINHO,3.36,       -,4.14,4.32,4.37,       -,1.64,6.3,       -,-1.24,6.71,4.91,6.51,8.01,3.76,5.01,3.82
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,5.25,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.25
 LAGARTO COMUM,       -,1.01,       -,       -,0.51,       -,       -,       -,3.79,       -,4.67,       -,11.14,9.57,       -,       -,2.6
 MÚSCULO,2.49,2.04,2.34,3.79,3.95,       -,3.54,       -,4.61,-1.82,9.08,       -,2.82,11.81,3.55,4.76,3.22
 PÁ,       -,-0.42,5.91,4.73,-2.51,       -,4.76,       -,       -,       -,       -,1.57,4.14,6.71,3.28,1.43,1.05
 ACÉM,6.22,-4.31,6.28,4.11,2.7,1.08,4.76,3.93,11.36,2.19,6.06,4.53,5.49,3.94,7.61,6.83,3.94
 PEITO,       -,       -,       -,       -,       -,       -,5.25,       -,       -,       -,       -,       -,6.12,5.16,0.89,6.22,4.89
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,6.06,       -,7.03,6.07,       -,4.62,4.89,7.09,       -,       -,6.07
 COSTELA,7.56,2.42,4.55,4.47,1.27,0.48,4.77,4.88,15.1,-3.8,9.63,4.04,7.07,9.54,9.47,6.51,4.77
 PICANHA,       -,2.48,5.4,       -,       -,1.7,       -,1.48,       -,       -,       -,       -,       -,       -,       -,       -,2.85
 PESCADOS,0.32,-0.92,1.2,0.76,-0.44,-0.68,-0.51,-0.29,-1.42,0.51,0.5,-0.02,1.62,1,-0.4,-0.42,-0.27
 PEIXE-ANCHOVA,       -,       -,       -,0.76,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.76
 PEIXE-CORVINA,0.06,       -,       -,3.07,       -,       -,       -,       -,-0.78,       -,       -,       -,       -,       -,0,-0.09,0.03
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.4,       -,-0.4
 PEIXE-SARDINHA,       -,-1.3,       -,0.76,       -,       -,       -,       -,-1.7,       -,       -,       -,       -,       -,       -,       -,-1.01
 CAMARÃO,1.1,0.03,       -,0.04,       -,0.05,0,-1.21,-0.72,2.87,-0.62,-2.12,       -,       -,-0.02,-1.04,0.04
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-1.99,       -,       -,       -,       -,       -,       -,       -,       -,-1.99
 PEIXE-CAÇÃO,       -,       -,       -,       -,-2.48,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.48
 PEIXE-MERLUZA,       -,       -,0.84,-0.2,-0.44,       -,       -,       -,-1.42,       -,0.5,       -,       -,       -,       -,       -,-0.32
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,-0.29,       -,       -,       -,       -,       -,       -,       -,       -,-0.29
 PEIXE-PESCADA,       -,       -,       -,       -,1.13,       -,-0.51,       -,       -,       -,       -,       -,       -,       -,-1.46,-0.39,-0.39
 CARANGUEJO,0,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-CASTANHA,       -,       -,       -,0.76,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.76
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-0.29,       -,       -,       -,       -,       -,       -,       -,       -,-0.29
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1,       -,       -,1.0
 PEIXE-SALMÃO,0.32,       -,       -,       -,-0.76,-0.68,       -,-0.29,-3.4,       -,       -,       -,       -,       -,       -,       -,-0.83
 PEIXE-TILÁPIA,       -,-1.38,1.31,-0.02,-0.03,-0.94,       -,-0.01,-2.98,0.05,1.45,-0.77,1.06,       -,       -,0.93,-0.03
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.68,-0.51,       -,       -,       -,0.5,       -,2.61,1,0.23,       -,0.09
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-1.27,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.27
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-0.68,-0.51,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.54
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.92,       -,       -,       -,       -,1.92
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.05,       -,       -,       -,2.05
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.5,       -,       -,       -,       -,       -,0.5
 CARNES E PEIXES INDUSTRIALIZADOS,1.81,2.57,3.23,1.5,4.12,1.09,0.67,3.09,2.09,3.24,2.95,2.27,4.45,4.58,1,3.43,2.88
 PRESUNTO,-0.19,-0.79,-0.82,       -,-0.8,1.64,       -,1.93,-4.09,-2.56,-0.84,3.38,-0.35,2.94,       -,0.31,-0.84
 SALSICHA,       -,2.54,       -,2.77,2.47,       -,       -,       -,       -,2.53,       -,       -,       -,2.88,       -,       -,2.53
 LINGUIÇA,1.98,4.57,4.86,1.39,6.73,1.3,-2.89,4.57,2.42,5.2,3.7,2.1,6.75,5.45,-1.11,-0.04,4.6
 MORTADELA,1.61,       -,0.86,1.92,-1.17,       -,       -,2.3,       -,2.94,2.97,       -,0.61,       -,       -,       -,0.61
 SALAME,       -,2.57,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.57
 BACALHAU,1.81,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1,       -,1.7
 CARNE-SECA E DE SOL,3.94,       -,       -,1.28,       -,0.06,2.45,0.27,2.81,       -,       -,2.46,       -,       -,4.55,5.66,2.45
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,3.23,       -,       -,       -,       -,       -,       -,       -,2.95,2.27,       -,       -,       -,       -,3.02
 AVES E OVOS,-0.71,1.16,1.82,2.09,1.56,1.62,1.69,1.53,1.96,1.94,2.25,0.21,0.6,-0.11,1.47,0.62,1.38
 FRANGO INTEIRO,-2.71,0.59,1.67,3.22,2.87,2.22,2.2,1.43,3.95,3.56,4.19,-0.7,1.52,-0.37,2.21,0.17,2.2
 FRANGO EM PEDAÇOS,-0.43,1.7,1.96,0.85,1.54,1.76,1.15,2.37,0.46,2.2,1.3,1.63,1.91,1.27,-1.61,1.04,1.25
 OVO DE GALINHA,-0.72,-0.08,1.66,1.61,0.77,0.5,0.49,0.95,1.24,-1.28,1.74,-2.12,-2.75,-0.29,0.73,0.59,0.49
 LEITES E DERIVADOS,4.96,5.25,4.38,8.06,2.66,4.38,3.21,6.42,3.93,4.08,5.65,5.88,5.46,4.6,2.72,5.57,4.17
 LEITE LONGA VIDA,8.47,7.85,7.85,7.19,3.76,5.1,2.28,11.86,6.66,6.97,7.44,4.99,6.73,6.1,0.15,7.44,6.01
 LEITE CONDENSADO,2,4.15,       -,       -,       -,       -,10.89,       -,       -,       -,       -,       -,       -,4.77,       -,       -,4.69
 LEITE EM PÓ,3.16,       -,5.6,4.32,1.25,       -,1.92,2.21,4.57,1.48,1.21,3.05,3.87,4.04,4.3,4.68,3.09
 QUEIJO,3.71,2.22,0,12.18,1.81,4.82,2.56,6.05,2.32,2.95,5.53,11.26,4.97,3.3,2.73,6.98,3.29
 IOGURTE E BEBIDAS LÁCTEAS,2.65,2.14,-0.2,3.51,0.79,2.07,3.72,0.76,-1.34,0.27,4.16,3.44,1.06,-0.37,-2.55,0.82,1.26
 REQUEIJÃO,1.34,       -,3.05,       -,1.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.47
 MANTEIGA,2.42,       -,-0.44,5.71,       -,1.92,5.09,0.81,1.78,       -,2.43,0.9,       -,4.85,       -,2.01,2.28
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.18,       -,       -,       -,       -,       -,       -,-1.18
 PANIFICADOS,0.62,0.92,0.88,0.1,-0.93,0.73,0.34,2.47,0.77,1.75,0.23,-0.07,-0.98,0.41,0.18,0.96,0.33
 BISCOITO,1.93,1.63,1.12,1.16,1.31,3.89,2.74,3.57,2.62,1.33,-0.26,1.12,0.8,1.01,1.13,1.04,1.65
 PÃO FRANCÊS,0.2,0.17,0.34,-0.51,-1.57,0,-0.59,2.66,0.42,2.17,0.11,-0.6,-2.14,0.36,0.11,1.07,-0.12
 PÃO DOCE,0.92,-0.08,-2.02,       -,-2.95,       -,       -,       -,-0.4,0.19,       -,2.33,2.26,       -,       -,       -,-1.37
 PÃO DE FORMA,0.35,2.92,0.67,       -,-0.75,-3.05,       -,       -,       -,2.63,       -,-0.66,       -,       -,       -,       -,0.42
 BOLO,-2.66,0.59,1,0.3,-2.12,-4.26,-1.29,-3,-5.08,1.9,-2.6,-3.77,-1.11,-0.68,-1.55,-0.52,-1.29
 PÃO DE QUEIJO,       -,       -,5.74,       -,       -,4.72,       -,       -,       -,       -,3.61,       -,       -,       -,       -,       -,4.91
 ÓLEOS E GORDURAS,13.84,13.61,18.72,22.89,15.9,22.54,11.68,19.5,15.29,19.44,23.81,17.91,8.13,24.46,19.59,19.51,16.68
 ÓLEO DE SOJA,29.4,18.58,23.72,39.33,29.73,34.29,19.25,33.96,28.55,33.45,30.27,25.2,11.84,29.03,27.77,31.25,27.54
 AZEITE DE OLIVA,2.52,       -,       -,       -,2.11,4.72,4.28,       -,1.86,3.24,       -,-0.17,3.72,3.84,       -,       -,2.61
 MARGARINA,0.88,1.06,1.64,2.76,2.67,       -,2.99,2.54,0.65,0.16,-0.37,       -,2.22,       -,1.17,3.53,1.77
 BEBIDAS E INFUSÕES,1.05,0.39,1.26,1.42,0.8,0.77,-0.07,0.24,-0.01,0.2,-1,0.33,1.26,1.33,-1.16,1.2,0.58
 SUCO DE FRUTAS,1.67,0.41,1.84,2.33,0.37,-0.38,       -,-0.28,       -,0.03,-0.76,0.29,0.22,       -,       -,       -,0.68
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,0.06,0.43,0.71,       -,       -,       -,       -,0.14,-3.26,       -,0.07
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-2.1,       -,       -,       -,       -,       -,       -,6.47,0.47,       -,-1.87
 CAFÉ MOÍDO,1.2,1.96,-0.65,0.87,1.32,-1.13,1.32,0.85,-0.1,0.4,-1.32,-0.11,0.7,1.38,-1.65,0.52,0.58
 CAFÉ SOLÚVEL,       -,1.54,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.54
 REFRIGERANTE E ÁGUA MINERAL,1.36,1.12,1.96,1.44,2.02,2.77,3.59,-0.06,0.74,-2.02,-1.77,1.02,2.85,0.17,-0.31,0.91,1.2
 CERVEJA,0.58,-0.03,1.55,1.53,-0.31,0.91,2.39,0.23,-1.2,1.35,-0.29,0.11,0.16,       -,-3.04,2.04,0.4
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,-0.07,       -,       -,2.13,       -,       -,       -,       -,       -,       -,0.51
 VINHO,0.01,-1.55,       -,       -,-2.03,       -,       -,       -,       -,2.08,       -,       -,       -,       -,       -,       -,-0.99
 SUCO EM PÓ,       -,1.35,3.68,       -,0.88,       -,       -,       -,       -,1.98,       -,       -,1.06,0.94,       -,       -,1.55
 CHÁ MATE (ERVA MATE),       -,-1.1,       -,       -,       -,       -,       -,       -,       -,-0.17,       -,       -,2.67,       -,       -,       -,-0.64
 ENLATADOS E CONSERVAS,2.73,0.77,2.63,2.71,3.28,1.74,2.01,2.99,0.85,0.21,1.22,-0.24,0.63,1.87,-2.92,1.28,2.01
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,0.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.07
 PALMITO EM CONSERVA,       -,       -,2.63,       -,5.11,1.57,       -,       -,       -,-0.22,1.02,       -,       -,       -,       -,       -,3.85
 PEPINO EM CONSERVA,       -,0.11,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.11
 SARDINHA EM CONSERVA,5.19,1.79,4.45,2.86,5.17,1,3.24,3.34,2.13,1.75,       -,0.65,0.36,0.01,-3.37,1.84,2.92
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,4.6,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.6
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.62,       -,       -,1.24,       -,       -,       -,-0.37
 AZEITONA,1.64,0.42,2.82,3.21,1.5,2.31,       -,2.71,0.43,-1.77,1.71,0.25,1.41,4.71,       -,       -,1.27
 MILHO-VERDE EM CONSERVA,2.32,1.12,1.12,2.32,2.93,       -,1.1,2.41,0.24,0.67,0.02,-1.89,0.01,1.79,0.52,0.09,1.43
 ATUM EM CONSERVA,1.43,-0.02,       -,1.91,1.43,2.21,       -,       -,-0.43,1.49,       -,       -,       -,       -,       -,       -,1.24
 SAL E CONDIMENTOS,-1.65,1.93,-0.8,-1.43,0.8,-2.1,-0.5,-3.2,-2.07,-2.1,-3.39,-0.48,-0.59,-2.02,-1.72,-0.67,-0.62
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-1.16,       -,       -,       -,       -,       -,       -,       -,-1.16
 ATOMATADO,1.19,3.03,-0.62,1.51,3.19,-0.95,2.72,-0.48,1.16,0.65,1.47,-0.76,0.74,0.94,2.31,0.01,1.75
 ALHO,-4.7,       -,-3.25,-7.37,-2.57,-5.97,-4.54,-7.75,-4.84,-7.98,-8.84,-1.25,-2.21,-4.66,-4.7,-2.71,-4.54
 SAL,2.61,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.02,1.02,-1.32,0.02,1.8
 COLORAU,       -,       -,       -,       -,       -,       -,       -,1.94,       -,       -,       -,       -,       -,       -,       -,       -,1.94
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-0.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.5
 FERMENTO,       -,1.22,       -,       -,       -,       -,       -,       -,       -,2.24,       -,       -,       -,       -,       -,       -,1.76
 MAIONESE,3.13,2.44,2.68,-0.16,3.15,3.43,0.11,0.92,       -,-1.19,       -,1.17,-1.23,-0.48,       -,       -,2.0
 VINAGRE,       -,0.07,       -,1.98,2.11,1.39,0.25,       -,-2.09,       -,       -,       -,       -,       -,1.58,1.85,1.06
 CALDO CONCENTRADO,       -,-1.02,       -,-0.03,       -,       -,       -,3.16,-2.04,       -,1.7,1.56,       -,       -,       -,       -,-0.06
 TEMPERO MISTO,       -,2.49,1.66,0.23,-0.09,-1.47,1.96,0.75,0.49,-0.33,1.29,0.71,2.04,2.32,-1.31,0.61,0.5
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.88,1.09,0.93,0.45,0.63,0.67,0.55,2.21,0.08,0.84,1.13,1.54,1.28,0.95,1.46,2.74,0.82
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.88,1.09,0.93,0.45,0.63,0.67,0.55,2.21,0.08,0.84,1.13,1.54,1.28,0.95,1.46,2.74,0.82
 REFEIÇÃO,0.26,0.62,1.67,0.26,0.52,0.56,0.09,1.41,0.63,1,0.43,0.51,0.06,1.7,0.03,1.35,0.66
