"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 COENTRO,0.0,0.0,0.0,-0.69,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6.74,0.37
 COUVE,6.31,0.0,-0.67,0.0,8.09,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,-0.18,0.0,2.58,5.65
 COUVE-FLOR,5.31,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44
 REPOLHO,0.0,19.54,0.0,0.0,27.45,0.0,0.0,0.0,7.76,25.02,33.13,0.0,48.99,0.0,18.45,0.0,24.66
 CHEIRO-VERDE,4.45,-0.43,-0.81,11.89,-8.62,-0.42,-0.44,8.42,0.12,6.91,4.55,4.47,-4.23,-3.04,-1.22,0.0,-0.58
 BRÓCOLIS,3.67,5.21,1.45,0.0,1.94,-7.38,2.35,0.0,0.0,2.15,0.0,-0.51,0.0,0.0,0.0,0.0,2.35
 FRUTAS,2.45,3.56,5.3,-1.41,3.09,-2.53,0.77,2.47,0.53,-0.9,2.05,2.28,-1.93,6.76,5.27,1.33,2.2
 BANANA-DA-TERRA,0.0,0.0,0.0,-1.41,0.0,0.0,0.0,0.0,4.18,0.0,0.0,-3.98,0.0,14.69,0.0,0.0,2.46
 ABACAXI,-9.81,5.85,0.0,1.8,0.0,0.0,-0.4,0.0,0.0,0.0,-5.17,3.4,10.67,0.0,0.0,-3.9,-0.4
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,47.29,0.0,0.0,6.76
 BANANA-D'ÁGUA,5.95,-3.29,13.88,0.0,7.42,-4.85,0.0,0.0,0.0,-3.9,0.0,0.0,-9.9,0.0,2.94,0.0,2.95
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,12.44,0.0,0.0,0.0,14.05
 BANANA-PRATA,3.24,-3.36,12.22,-8.72,13.04,4.35,4.15,1.98,-2.8,-2.78,7.76,9.24,0.0,2.64,4.83,0.14,4.15
 LARANJA-BAÍA,0.0,28.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.33
 LARANJA-LIMA,0.0,0.0,13.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.93
 LIMÃO,-22.14,0.0,0.0,0.0,-23.36,-27.14,0.0,0.0,0.0,0.0,-29.44,-31.05,0.0,-14.64,0.0,0.0,-23.89
 MAÇÃ,4.67,9.78,4.26,-0.74,8.73,0.29,6.31,0.72,3.99,7.63,10.29,5.75,9.24,13.99,8.97,3.78,6.31
 MAMÃO,16.8,2.18,8.23,8.5,6.95,7.31,0.0,-2.0,8.39,6.06,-9.47,1.9,16.62,0.24,0.0,-1.75,6.41
 MANGA,2.05,2.25,-14.09,0.0,-12.24,-7.76,0.0,5.57,-21.48,-8.43,0.0,-4.37,0.0,0.0,0.0,-3.45,-9.86
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,3.98,-0.33
 MELANCIA,0.0,0.0,-15.64,-1.98,0.0,-6.14,-6.15,0.0,7.29,-11.89,-7.67,0.0,-11.34,1.2,7.18,0.0,-6.15
 MELÃO,-7.69,0.0,0.0,-13.61,0.0,-5.07,-4.96,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,3.86,0.0,-4.96
 PERA,0.0,0.0,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,6.43,7.44,0.0,0.0,0.0,0.0,4.68
 TANGERINA,0.0,0.0,0.0,0.0,3.09,0.0,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.12
 UVA,7.56,11.63,4.32,13.92,5.77,5.79,5.03,8.96,2.29,-2.56,5.78,2.96,3.2,8.14,5.76,1.9,5.74
 LARANJA-PERA,6.96,0.0,2.36,-6.16,9.09,-3.06,-7.27,3.94,3.34,5.08,3.31,12.02,-7.88,-5.04,2.52,4.63,4.37
 MORANGO,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.77,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,4.66
 CARNES,5.54,6.15,7.43,4.46,7.76,8.48,5.83,4.45,3.96,7.53,9.11,5.41,4.92,6.97,2.83,5.29,6.54
 FÍGADO,0.0,0.0,0.0,6.51,0.0,0.0,2.86,8.42,-3.27,0.0,0.0,0.0,0.0,0.0,7.12,0.0,2.41
 CARNE DE PORCO,8.02,13.56,10.72,3.23,8.78,10.54,8.83,2.84,2.6,9.93,11.91,5.58,6.84,4.38,0.59,5.75,8.84
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45
 CUPIM,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0,0.0,0.0,4.59
 CONTRAFILÉ,7.91,8.51,7.03,12.52,7.61,8.66,7.6,5.94,5.14,9.59,9.1,2.55,2.67,8.88,3.9,3.02,7.6
 FILÉ-MIGNON,5.29,0.0,0.0,0.0,0.0,0.0,7.47,0.0,0.0,10.07,0.0,0.0,0.0,9.68,0.0,0.0,7.47
 CHÃ DE DENTRO,10.25,2.96,6.25,2.88,8.3,9.25,6.22,2.91,4.92,6.43,8.67,2.27,6.23,6.03,0.5,4.46,6.22
 ALCATRA,2.58,9.84,5.45,7.17,6.1,3.86,4.91,3.4,3.27,3.18,11.06,7.02,1.59,4.8,0.79,8.05,4.91
 PATINHO,10.16,0.0,5.69,7.31,9.28,0.0,8.27,6.68,0.0,9.69,8.88,5.58,4.79,8.71,5.01,5.97,8.27
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83
 LAGARTO COMUM,0.0,4.84,0.0,0.0,10.54,0.0,0.0,0.0,3.3,0.0,8.46,0.0,1.65,7.31,0.0,0.0,7.49
 MÚSCULO,7.76,5.59,7.17,7.35,9.28,0.0,7.12,0.0,6.29,3.29,8.58,0.0,6.94,10.74,4.75,8.36,7.12
 PÁ,0.0,4.13,3.3,1.88,2.12,0.0,3.26,0.0,0.0,0.0,0.0,7.39,7.71,3.42,3.27,3.49,3.26
 ACÉM,1.38,4.4,5.66,1.92,5.91,8.59,5.13,1.44,6.64,7.15,4.63,7.1,2.43,6.59,5.95,5.73,5.13
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,5.83,0.0,0.0,0.0,0.0,0.0,3.93,7.08,0.25,5.45,4.85
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0,3.86,1.48,0.0,7.39,3.15,6.97,0.0,0.0,3.21
 COSTELA,6.97,2.17,8.4,2.96,9.53,8.19,5.88,4.88,3.68,8.49,7.85,6.83,7.81,6.55,2.17,3.72,5.88
 PICANHA,0.0,13.56,4.21,0.0,0.0,11.08,0.0,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09
 PESCADOS,6.25,0.6,2.36,1.19,2.36,0.71,-0.1,0.98,1.23,-0.39,1.31,1.11,-0.56,0.07,0.31,0.26,1.37
 PEIXE-ANCHOVA,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19
 PEIXE-CORVINA,11.44,0.0,0.0,1.13,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,5.27
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31
 PEIXE-SARDINHA,0.0,2.12,0.0,1.19,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06
 CAMARÃO,-1.08,0.7,0.0,-1.07,0.0,-2.91,-1.06,-1.64,-3.39,-1.09,2.7,-0.49,0.0,0.0,-1.72,-0.3,-1.07
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.87
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
 PEIXE-MERLUZA,0.0,0.0,0.09,2.51,2.36,0.0,0.0,0.0,1.36,0.0,3.28,0.0,0.0,0.0,0.0,0.0,2.09
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.12
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,2.22,0.0,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.52,0.52
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-CASTANHA,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.07
 PEIXE-SALMÃO,6.25,0.0,0.0,0.0,1.79,0.71,0.0,0.98,-1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18
 PEIXE-TILÁPIA,0.0,-0.31,2.99,2.03,3.96,2.04,0.0,2.02,2.82,-0.25,-2.28,2.49,-2.29,0.0,0.0,2.05,2.02
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,0.71,2.14,0.0,0.0,0.0,1.19,0.0,1.93,0.07,0.77,0.0,1.16
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,0.71,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,1.18
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,1.61
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,1.31
 CARNES E PEIXES INDUSTRIALIZADOS,-0.77,4.93,2.16,2.3,2.18,0.72,2.07,2.16,2.98,3.54,3.5,0.0,0.31,3.73,3.09,2.64,2.28
 PRESUNTO,2.76,4.2,3.47,0.0,3.0,0.14,0.0,-0.08,6.74,5.46,0.7,-0.54,0.49,1.24,0.0,3.53,3.31
 SALSICHA,0.0,1.04,0.0,2.2,0.64,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,5.67,0.0,0.0,1.03
 LINGUIÇA,-1.82,4.65,1.95,4.24,2.41,0.58,0.58,3.33,4.54,3.65,4.19,-0.89,0.15,3.63,3.76,3.75,2.37
 MORTADELA,1.04,0.0,0.54,-0.18,1.1,0.0,0.0,1.23,0.0,2.84,2.58,0.0,0.89,0.0,0.0,0.0,1.23
 SALAME,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1
 BACALHAU,-1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,0.0,-0.61
 CARNE-SECA E DE SOL,-3.14,0.0,0.0,2.09,0.0,1.61,2.81,0.98,1.86,0.0,0.0,2.88,0.0,0.0,2.03,1.92,1.61
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.89,0.0,0.0,0.0,0.0,3.25
 AVES E OVOS,5.34,0.71,3.53,2.97,1.82,4.01,3.61,4.42,1.59,3.12,4.33,5.56,2.33,6.79,3.77,2.59,3.0
 FRANGO INTEIRO,4.55,1.65,5.17,6.09,6.44,5.18,5.19,6.95,2.9,2.18,5.71,4.53,5.2,6.94,5.16,5.93,5.17
 FRANGO EM PEDAÇOS,5.51,0.24,3.32,-0.21,0.86,4.0,1.22,0.35,0.91,2.77,3.86,5.06,0.08,8.1,0.17,-1.6,2.01
 OVO DE GALINHA,5.13,1.67,1.92,1.21,1.31,2.22,0.48,1.58,0.32,6.1,3.18,8.76,5.23,5.29,-0.03,5.3,2.22
 LEITES E DERIVADOS,-1.18,-1.39,-2.64,-0.58,-1.02,-2.19,-2.74,1.04,1.04,-1.04,0.51,-0.97,-0.3,1.06,-2.3,0.72,-1.02
 LEITE LONGA VIDA,-6.28,-2.84,-6.57,-3.18,-2.68,-3.6,-4.36,-0.11,-3.64,-2.92,-3.32,-2.52,-2.02,-0.93,-2.77,-0.69,-3.47
 LEITE CONDENSADO,-2.15,0.5,0.0,0.0,0.0,0.0,-5.33,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,-1.72
 LEITE EM PÓ,1.87,0.0,2.99,1.78,3.34,0.0,-3.08,3.68,3.53,1.51,2.98,0.83,1.92,2.88,-3.05,-1.33,1.54
 QUEIJO,3.12,0.31,1.14,-1.39,0.16,-2.54,0.62,-0.81,2.78,0.09,4.81,-0.46,2.43,0.55,-0.14,3.08,0.71
 IOGURTE E BEBIDAS LÁCTEAS,-1.84,-0.2,1.55,0.59,0.92,2.18,-1.97,1.63,-0.11,0.29,-1.25,0.91,0.71,0.96,3.99,3.72,0.38
 REQUEIJÃO,-0.28,0.0,1.25,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03
 MANTEIGA,2.24,0.0,1.15,-0.56,0.0,0.88,-2.47,-0.32,4.59,0.0,3.7,3.2,0.0,2.37,0.0,1.3,1.74
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,1.42
 PANIFICADOS,1.43,4.01,0.3,-0.18,2.01,0.79,1.84,2.24,0.72,-0.29,2.63,0.3,1.06,-0.86,1.69,1.12,1.43
 BISCOITO,-0.41,-1.63,-0.24,1.03,0.28,0.78,0.2,0.53,1.4,0.83,0.78,-0.68,2.71,1.91,2.82,-0.37,0.26
 PÃO FRANCÊS,2.78,10.08,1.5,-1.03,2.93,0.86,2.85,3.31,0.2,-1.94,4.58,0.82,1.47,-1.69,1.56,2.06,2.36
 PÃO DOCE,-0.49,-0.44,-0.64,0.0,2.68,0.0,0.0,0.0,1.41,1.45,0.0,-0.5,-1.87,0.0,0.0,0.0,1.27
 PÃO DE FORMA,1.3,-0.46,-2.88,0.0,4.37,-1.98,0.0,0.0,0.0,4.63,0.0,2.68,0.0,0.0,0.0,0.0,2.32
 BOLO,2.51,-0.01,-0.68,1.27,-0.19,1.92,-0.12,0.17,1.93,-2.98,0.92,-0.74,-3.6,-0.68,-0.11,-1.11,-0.12
 PÃO DE QUEIJO,0.0,0.0,-2.65,0.0,0.0,1.49,0.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,-1.25
 ÓLEOS E GORDURAS,2.65,3.56,9.05,5.32,7.46,6.17,7.07,8.36,8.1,5.77,7.76,4.38,7.86,7.96,6.85,6.35,6.52
 ÓLEO DE SOJA,2.72,4.06,10.52,7.93,12.26,7.58,12.53,11.32,11.82,8.47,9.29,4.24,11.4,9.17,8.47,9.35,9.24
 AZEITE DE OLIVA,1.14,0.0,0.0,0.0,-0.07,3.01,-2.29,0.0,1.48,1.08,0.0,4.94,1.96,0.07,0.0,0.0,0.55
 MARGARINA,4.18,1.81,1.71,0.69,1.48,0.0,0.47,3.12,3.01,0.31,-0.81,0.0,1.84,0.0,1.78,0.33,1.78
 BEBIDAS E INFUSÕES,1.84,1.43,1.11,-0.48,0.93,1.58,1.08,1.23,1.22,-0.09,2.01,2.57,1.29,1.51,4.33,1.51,1.09
 SUCO DE FRUTAS,2.25,-1.53,-0.03,0.8,0.08,2.34,0.0,0.07,0.0,0.99,-0.5,3.41,1.35,0.0,0.0,0.0,0.61
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.97,1.3,0.0,0.0,0.0,0.0,1.39,3.41,0.0,1.5
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,6.81,8.82,0.0,2.83
 CAFÉ MOÍDO,3.13,1.64,1.95,3.16,0.65,0.5,1.97,1.89,2.47,0.6,1.97,3.66,1.39,0.73,2.39,1.38,1.59
 CAFÉ SOLÚVEL,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94
 REFRIGERANTE E ÁGUA MINERAL,1.48,0.14,0.15,-2.84,1.25,0.46,-1.27,1.09,1.23,0.88,1.19,3.34,0.95,0.33,3.83,0.55,0.64
 CERVEJA,1.68,3.92,1.6,3.88,1.55,2.79,-2.33,1.03,-0.53,-0.96,3.12,1.01,1.48,0.0,6.22,2.97,1.53
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,-2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.06
 VINHO,0.21,2.88,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
 SUCO EM PÓ,0.0,-0.58,1.37,0.0,-1.23,0.0,0.0,0.0,0.0,-0.56,0.0,0.0,0.53,2.18,0.0,0.0,-0.55
 CHÁ MATE (ERVA MATE),0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.89,0.0,0.0,1.82,0.0,0.0,0.0,0.46
 ENLATADOS E CONSERVAS,2.0,2.4,0.84,0.08,1.89,2.84,-1.17,1.35,1.58,3.23,5.18,2.39,-0.31,3.47,5.35,3.32,1.94
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,-2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.07
 PALMITO EM CONSERVA,0.0,0.0,4.03,0.0,0.03,1.33,0.0,0.0,0.0,4.45,5.94,0.0,0.0,0.0,0.0,0.0,1.33
 PEPINO EM CONSERVA,0.0,-1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.16
 SARDINHA EM CONSERVA,2.96,2.12,0.35,-0.73,2.97,3.62,-0.76,1.06,1.77,5.6,0.0,1.72,1.01,3.65,5.74,4.79,2.34
 SALSICHA EM CONSERVA,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08
 SOPA DESIDRATADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.58,0.0,0.0,2.67,0.0,0.0,0.0,-1.0
 AZEITONA,2.17,3.71,1.3,-1.74,0.25,1.86,0.0,3.79,0.38,5.26,5.17,1.84,-1.54,2.96,0.0,0.0,1.86
 MILHO-VERDE EM CONSERVA,1.33,5.2,-0.56,3.95,4.58,0.0,-2.22,-0.17,1.03,1.66,3.81,3.89,-1.14,3.76,2.59,0.13,2.16
 ATUM EM CONSERVA,1.06,4.5,0.0,0.15,3.41,3.52,0.0,0.0,2.86,1.08,0.0,0.0,0.0,0.0,0.0,0.0,2.8
