"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MACARRÃO,3.33,-1.28,4.51,-1.85,0.28,0.19,-1.73,-1.61,-1.95,-0.18,-3.12,-0.83,-2.83,2.12,-1.99,1.03,0.19
 FUBÁ DE MILHO,0.0,0.0,0.0,2.03,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.05,-0.57,0.86
 FLOCOS DE MILHO,0.0,0.0,0.0,-0.51,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.16,0.74,-0.84
 FARINHA DE TRIGO,0.0,-0.38,-2.29,0.0,-1.47,0.0,0.0,0.0,0.74,-0.44,-2.48,1.97,-6.91,0.0,0.0,0.0,-1.05
 FARINHA DE MANDIOCA,-6.38,0.0,-5.53,2.02,-0.52,2.45,-1.33,-1.02,0.2,0.0,0.54,0.4,0.0,0.75,-4.23,-0.9,-1.33
 MASSA SEMIPREPARADA,1.75,-1.41,0.12,0.0,-0.48,0.72,1.67,1.4,-0.56,0.23,-3.01,-1.58,-0.73,0.0,0.0,0.0,-0.19
 MACARRÃO INSTANTÂNEO,2.35,0.0,0.0,0.0,1.05,1.69,0.0,0.0,0.0,2.55,0.0,1.85,0.3,2.9,0.0,0.0,1.63
" TUBÉRCULOS, RAÍZES E LEGUMES",4.36,3.72,16.22,2.8,8.58,16.92,7.18,5.53,2.17,11.67,15.33,12.94,4.16,-3.76,6.61,3.64,8.18
 BATATA-DOCE,7.75,0.0,0.0,2.53,-4.59,0.0,0.0,0.0,3.74,0.0,6.02,0.0,0.0,-3.65,0.0,0.0,0.66
 BATATA-INGLESA,21.16,7.98,19.53,25.16,15.22,13.88,17.01,18.44,8.11,28.82,24.07,18.3,22.47,-8.75,4.22,18.33,17.01
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.42,0.0,0.0,0.0,-1.8,4.61
 MANDIOCA (AIPIM),0.0,0.0,26.94,7.25,0.0,8.3,0.0,0.0,-9.32,0.0,0.0,0.0,-4.66,1.92,0.0,0.0,8.31
 ABOBRINHA,0.0,0.0,0.0,0.0,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.61,0.0,0.0,0.0,0.0,0.0,0.0,15.6
 PIMENTÃO,0.0,0.0,0.0,0.0,13.35,16.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.72
 TOMATE,5.28,5.44,38.32,0.84,20.83,37.86,18.69,15.95,11.63,17.26,25.97,20.34,16.29,5.2,17.2,14.45,18.69
 CEBOLA,-11.87,-0.84,-13.85,-11.34,-18.31,-13.48,-12.57,-13.35,-10.91,-15.38,-5.04,-9.7,-23.19,-11.49,-6.46,-15.1,-12.57
 CENOURA,-7.52,-12.97,-16.73,-1.94,-4.92,-7.63,-6.36,1.61,2.83,-1.13,-8.43,-20.73,0.0,0.0,0.0,0.12,-6.36
 AÇÚCARES E DERIVADOS,1.5,0.8,0.63,1.07,0.46,0.79,0.25,1.01,0.17,0.31,1.72,1.88,0.7,-0.61,0.33,1.95,0.68
 AÇÚCAR REFINADO,3.72,-2.96,0.0,1.05,6.35,6.11,2.11,3.43,-1.09,-0.54,0.0,0.0,0.0,1.11,0.68,0.0,3.55
 AÇÚCAR CRISTAL,0.0,1.16,0.62,0.86,0.0,6.12,-0.34,1.06,0.76,-1.51,5.35,3.22,-0.15,-0.1,3.93,3.58,1.23
 BALAS,0.0,1.36,0.0,0.0,0.0,2.3,0.0,0.0,0.0,-0.68,0.72,0.0,0.63,0.0,0.0,0.0,0.63
 CHOCOLATE EM BARRA E BOMBOM,-2.57,-0.34,-1.31,-0.87,-2.48,-1.01,-0.64,-1.49,-0.97,-0.45,0.49,-1.09,-0.61,1.78,-3.71,-1.55,-1.67
 SORVETE,2.45,5.83,1.72,2.22,1.89,-1.53,-0.58,0.39,2.57,3.9,0.62,0.34,2.23,0.0,0.0,2.48,2.22
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.97,-2.54,1.57,1.57,-0.24,-0.35,1.09,0.2,-1.5,-0.15,-2.14,4.07,0.98,-5.57,-4.24,0.08,-0.1
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43
 HORTALIÇAS E VERDURAS,-2.99,-7.99,2.43,15.33,-0.6,6.99,-2.02,-7.98,7.37,3.37,5.89,-0.88,-2.76,2.8,1.13,4.0,0.11
 ALFACE,-4.85,-9.54,2.72,10.23,-1.95,15.22,-0.46,-4.26,11.84,4.46,6.51,-1.39,-7.77,3.89,1.1,2.11,-0.46
 COENTRO,0.0,0.0,0.0,19.98,0.0,0.0,0.0,0.0,7.91,0.0,0.0,0.0,0.0,0.0,0.0,6.58,12.0
 COUVE,-6.58,0.0,0.46,0.0,-6.45,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.18,0.0,0.76,-4.7
 COUVE-FLOR,7.02,0.0,0.0,0.0,0.0,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02
 REPOLHO,0.0,-6.26,0.0,0.0,15.59,0.0,0.0,0.0,-3.31,-1.9,11.84,0.0,6.2,0.0,11.01,0.0,5.63
 CHEIRO-VERDE,-4.32,-12.38,2.07,9.77,-6.21,-3.5,-3.51,-9.14,6.43,1.02,-1.68,-1.76,11.2,2.76,-1.26,0.0,-3.51
 BRÓCOLIS,-2.53,-3.58,4.77,0.0,7.96,-0.22,3.59,0.0,0.0,7.37,0.0,0.04,0.0,0.0,0.0,0.0,3.59
 FRUTAS,2.73,6.05,6.2,6.19,1.12,3.53,2.67,-1.68,-1.34,3.7,3.05,0.61,4.36,4.54,5.29,-1.96,2.59
 BANANA-DA-TERRA,0.0,0.0,0.0,6.19,0.0,0.0,0.0,0.0,1.31,0.0,0.0,-7.27,0.0,7.4,0.0,0.0,1.0
 ABACAXI,-3.55,7.94,0.0,3.53,0.0,0.0,1.91,0.0,0.0,0.0,4.0,-7.85,-2.84,0.0,0.0,-3.4,1.9
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,8.9
 BANANA-D'ÁGUA,8.45,18.22,-3.43,0.0,3.54,18.78,0.0,0.0,0.0,22.16,0.0,0.0,10.56,0.0,9.04,0.0,9.04
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53,0.0,-9.6,0.0,0.0,0.0,-4.18
 BANANA-PRATA,4.84,8.99,-2.67,10.51,-3.14,3.9,1.77,-6.63,1.14,16.59,2.04,-1.88,0.0,5.69,10.34,-3.25,1.77
 LARANJA-BAÍA,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42
 LARANJA-LIMA,0.0,0.0,42.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.53
 LIMÃO,9.42,0.0,0.0,0.0,-1.7,-3.12,0.0,0.0,0.0,0.0,-2.07,-0.6,0.0,-5.23,0.0,0.0,-0.57
 MAÇÃ,3.36,3.48,8.31,5.49,4.08,0.6,4.45,7.61,5.69,0.39,4.43,3.13,-0.5,3.36,6.24,0.65,4.45
 MAMÃO,2.38,-0.07,24.51,-7.69,6.01,5.75,0.0,4.83,-8.63,4.68,26.65,23.29,14.67,1.02,0.0,-3.0,5.58
 MANGA,-9.55,-2.13,-13.8,0.0,-4.36,-9.5,0.0,-27.82,-18.35,-17.43,0.0,-12.91,0.0,0.0,0.0,-4.69,-9.5
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.63,0.65,0.0,0.0,0.0,0.0,0.0,0.0,-3.38,-0.98
 MELANCIA,0.0,0.0,-2.18,-3.13,0.0,-5.94,-5.96,0.0,-12.48,-6.27,-6.6,0.0,-2.35,-2.46,-5.95,0.0,-5.96
 MELÃO,6.4,0.0,0.0,2.86,0.0,4.03,2.07,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,2.08,0.0,2.07
 PERA,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,1.61,-0.29,0.0,0.0,0.0,0.0,-5.03
 TANGERINA,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.73
 UVA,-4.97,5.99,7.36,10.13,1.04,2.99,3.0,0.58,4.18,6.91,2.98,2.06,-4.37,8.51,2.97,3.99,3.0
 LARANJA-PERA,7.06,0.0,14.48,16.39,3.78,7.07,5.24,1.39,0.87,-7.17,8.22,4.85,10.97,11.71,0.25,-7.66,5.24
 MORANGO,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,2.67,4.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,2.54
 CARNES,4.26,4.17,5.73,2.18,5.44,3.31,3.8,3.01,1.92,4.14,2.08,4.04,3.22,9.24,5.88,2.13,4.25
 FÍGADO,0.0,0.0,0.0,2.79,0.0,0.0,2.19,-1.39,3.35,0.0,0.0,0.0,0.0,0.0,1.58,0.0,2.19
 CARNE DE PORCO,5.4,2.33,5.48,2.54,7.67,5.78,5.83,1.44,10.17,5.39,2.88,8.32,5.84,3.18,8.81,3.0,5.83
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01
 CUPIM,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,3.31
 CONTRAFILÉ,7.69,5.22,5.14,-2.06,5.63,2.43,4.46,4.43,-1.96,6.01,2.18,1.18,4.28,7.06,7.36,1.5,4.46
 FILÉ-MIGNON,6.51,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,-1.16,0.0,0.0,0.0,8.99,0.0,0.0,3.22
 CHÃ DE DENTRO,3.15,6.54,7.65,3.3,4.95,4.63,4.47,1.35,2.24,4.93,1.21,3.22,4.48,8.07,7.37,0.15,4.47
 ALCATRA,8.33,4.06,6.36,2.67,4.16,3.28,4.2,1.75,0.42,1.45,3.85,1.44,1.32,13.21,2.29,1.32,4.2
 PATINHO,3.19,0.0,6.94,2.19,2.34,0.0,2.54,0.57,0.0,-1.11,1.2,4.76,2.55,5.16,3.12,0.04,2.54
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
 LAGARTO COMUM,0.0,4.38,0.0,0.0,6.36,0.0,0.0,0.0,7.83,0.0,0.11,0.0,5.68,11.25,0.0,0.0,5.68
 MÚSCULO,0.09,3.61,5.47,0.83,4.96,0.0,3.93,0.0,2.9,6.93,0.42,0.0,3.94,15.54,3.06,3.82,3.93
 PÁ,0.0,1.21,5.13,3.22,4.69,0.0,4.14,0.0,0.0,0.0,0.0,1.68,4.13,16.15,7.15,5.19,4.13
 ACÉM,-3.29,1.24,4.86,5.45,4.59,3.37,2.92,1.92,2.1,3.92,1.84,2.58,1.89,6.42,1.47,1.17,2.92
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.71,8.41,5.78,3.1,3.69
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,-2.73,-0.11,0.0,10.14,-0.1,9.24,0.0,0.0,0.05
 COSTELA,-0.51,6.72,4.65,0.42,8.85,0.56,4.55,5.6,-0.11,6.42,1.44,2.67,2.75,9.37,8.29,3.27,4.55
 PICANHA,0.0,0.4,7.74,0.0,0.0,0.36,0.0,10.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32
 PESCADOS,-1.57,0.11,2.89,1.19,0.3,-0.28,0.29,1.23,-1.21,-1.15,1.34,3.09,2.66,1.65,-0.78,1.01,0.11
 PEIXE-ANCHOVA,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19
 PEIXE-CORVINA,-3.08,0.0,0.0,3.24,0.0,0.0,0.0,0.0,-2.66,0.0,0.0,0.0,0.0,0.0,-1.94,2.02,-1.94
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.78,0.0,-0.78
 PEIXE-SARDINHA,0.0,-0.08,0.0,1.19,0.0,0.0,0.0,0.0,-1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45
 CAMARÃO,0.84,-0.06,0.0,1.38,0.0,0.86,0.87,3.3,0.98,-2.44,2.46,2.96,0.0,0.0,0.85,0.53,0.85
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89
 PEIXE-MERLUZA,0.0,0.0,0.25,-2.16,0.3,0.0,0.0,0.0,0.29,0.0,4.87,0.0,0.0,0.0,0.0,0.0,0.49
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.54
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,2.06,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,3.9,0.18
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-CASTANHA,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,1.65
 PEIXE-SALMÃO,-1.57,0.0,0.0,0.0,-2.7,-0.28,0.0,1.23,-1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.81
 PEIXE-TILÁPIA,0.0,0.34,3.65,1.01,1.0,-0.7,0.0,1.02,2.8,-0.89,-1.91,2.41,4.08,0.0,0.0,-0.85,1.0
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,-0.28,0.29,0.0,0.0,0.0,-0.48,0.0,0.71,1.65,-0.34,0.0,0.07
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,-0.28,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,3.64
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,1.34
 CARNES E PEIXES INDUSTRIALIZADOS,0.71,2.37,0.51,-1.14,-0.68,1.06,-1.94,1.78,1.43,5.26,0.04,0.72,3.54,3.18,3.66,-0.72,0.7
 PRESUNTO,-0.67,3.02,2.03,0.0,0.3,-2.28,0.0,-1.36,-3.86,5.83,-0.97,-0.52,0.77,1.54,0.0,-2.96,0.87
 SALSICHA,0.0,3.74,0.0,1.96,0.77,0.0,0.0,0.0,0.0,2.71,0.0,0.0,0.0,4.11,0.0,0.0,1.88
 LINGUIÇA,3.36,1.83,0.15,-0.91,-0.48,1.61,1.36,3.78,0.95,6.91,0.96,0.7,4.67,3.23,3.14,6.17,1.36
 MORTADELA,-2.64,0.0,0.71,-0.95,-5.01,0.0,0.0,-2.77,0.0,-0.81,-3.6,0.0,1.8,0.0,0.0,0.0,-2.77
 SALAME,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38
 BACALHAU,-3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,0.0,-2.74
 CARNE-SECA E DE SOL,2.06,0.0,0.0,-1.72,0.0,3.61,-3.5,1.83,2.33,0.0,0.0,1.5,0.0,0.0,4.5,-3.55,-0.01
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.17,0.0,0.0,0.0,0.0,0.14
 AVES E OVOS,0.88,0.26,1.89,1.16,0.13,0.75,1.86,1.23,3.13,1.29,0.99,0.75,-0.42,4.73,1.92,0.94,1.08
 FRANGO INTEIRO,2.55,1.95,4.78,0.44,1.49,2.45,2.41,1.88,3.82,2.43,2.11,3.4,2.44,6.99,2.42,1.54,2.41
 FRANGO EM PEDAÇOS,0.29,1.59,0.62,1.79,0.08,-0.04,2.25,1.76,2.66,2.72,0.46,0.35,1.15,2.28,1.38,1.08,0.92
 OVO DE GALINHA,2.15,-4.49,1.48,1.78,-0.64,-0.51,-0.52,-1.13,2.69,-5.89,0.56,-2.44,-5.9,-0.5,-0.16,-0.67,-0.52
 LEITES E DERIVADOS,0.01,1.3,-0.97,2.25,0.67,-2.28,2.28,2.77,2.64,1.52,-0.92,2.76,-1.01,2.33,-0.09,2.1,0.77
 LEITE LONGA VIDA,-2.24,-1.22,-3.57,5.93,0.88,-3.44,0.78,2.26,3.08,-2.34,-5.98,0.58,-3.44,2.95,-2.33,-0.23,-0.71
 LEITE CONDENSADO,1.56,4.74,0.0,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,7.11,0.0,0.0,3.42
 LEITE EM PÓ,1.13,0.0,0.68,0.8,1.13,0.0,3.78,4.17,1.53,1.23,1.47,2.6,2.74,2.34,0.36,-0.46,1.74
 QUEIJO,0.66,4.9,2.55,1.93,0.37,-1.09,-0.88,3.43,4.09,7.77,7.73,6.89,2.6,5.71,2.94,6.96,2.41
 IOGURTE E BEBIDAS LÁCTEAS,3.79,2.24,0.37,0.34,0.27,-2.39,-0.04,-1.96,3.41,1.87,0.17,1.61,1.26,-0.79,-0.58,2.48,1.03
 REQUEIJÃO,2.87,0.0,3.54,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52
 MANTEIGA,-0.24,0.0,0.78,4.73,0.0,-1.57,4.07,1.2,0.73,0.0,-3.85,4.68,0.0,-2.17,0.0,1.93,0.77
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,1.54
 PANIFICADOS,-0.57,-0.62,0.67,0.41,0.04,0.28,0.69,1.63,-0.99,-0.99,-2.23,1.31,0.25,1.13,-0.09,2.74,-0.05
 BISCOITO,-2.31,-0.52,2.89,-2.09,0.15,0.43,1.76,-2.49,-1.55,-2.15,-0.57,-0.37,-0.21,2.11,-4.31,-0.94,-0.45
 PÃO FRANCÊS,1.01,-0.66,0.12,1.95,-0.39,-0.67,0.17,2.94,-0.47,-0.04,-3.86,2.94,0.17,0.75,1.86,4.77,0.16
 PÃO DOCE,-1.81,-0.45,-1.09,0.0,1.17,0.0,0.0,0.0,-2.63,2.15,0.0,-0.62,1.03,0.0,0.0,0.0,0.23
 PÃO DE FORMA,-1.25,-1.43,2.89,0.0,-0.52,-3.37,0.0,0.0,0.0,-3.04,0.0,-0.88,0.0,0.0,0.0,0.0,-0.99
 BOLO,-1.18,0.34,0.45,-0.6,1.31,7.22,0.8,7.45,-2.0,-1.86,0.42,1.01,1.43,2.02,-0.23,1.26,0.8
 PÃO DE QUEIJO,0.0,0.0,-3.08,0.0,0.0,0.18,0.0,0.0,0.0,0.0,-0.67,0.0,0.0,0.0,0.0,0.0,-1.85
 ÓLEOS E GORDURAS,6.48,15.75,17.08,6.91,12.47,10.11,15.45,9.24,8.26,8.17,13.98,14.99,7.69,15.49,10.45,9.39,11.67
 ÓLEO DE SOJA,12.88,20.72,21.03,9.47,19.12,15.15,25.58,15.44,14.07,12.83,16.49,20.52,12.07,18.0,13.19,15.42,17.44
 AZEITE DE OLIVA,-0.66,0.0,0.0,0.0,5.79,0.31,4.22,0.0,3.04,1.08,0.0,-2.17,5.18,1.43,0.0,0.0,3.14
 MARGARINA,1.12,1.03,0.65,2.66,2.59,0.0,1.92,-0.27,-1.4,-0.3,1.65,0.0,-3.03,0.0,2.62,-1.01,1.24
 BEBIDAS E INFUSÕES,-0.68,1.07,1.17,0.28,-0.42,0.64,3.39,0.37,0.41,1.35,1.01,0.92,-0.12,1.46,1.42,2.72,0.58
 SUCO DE FRUTAS,-1.99,1.99,-1.16,-0.95,1.35,0.03,0.0,1.77,0.0,-0.7,0.03,-1.83,-2.86,0.0,0.0,0.0,0.08
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,-0.33,1.24,-1.38,0.0,0.0,0.0,0.0,1.26,0.56,0.0,-0.33
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,6.26,0.0,0.0,0.0,0.0,0.0,0.0,6.47,1.85,0.0,6.03
 CAFÉ MOÍDO,-0.73,-2.05,0.94,-0.96,-0.58,1.5,0.4,0.31,-0.49,0.4,-1.75,2.32,1.3,1.76,2.93,5.96,-0.08
 CAFÉ SOLÚVEL,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88
 REFRIGERANTE E ÁGUA MINERAL,-0.4,1.25,1.62,0.96,-2.12,-1.96,-0.51,0.33,0.13,1.14,0.4,0.06,-1.28,-0.48,0.02,1.06,-0.33
 CERVEJA,-0.26,2.99,1.95,-0.43,0.8,2.66,0.29,-0.95,2.78,3.94,3.08,1.25,0.3,0.0,0.79,3.12,1.66
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,2.44
 VINHO,-0.31,2.75,0.0,0.0,0.51,0.0,0.0,0.0,0.0,-2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.47
 SUCO EM PÓ,0.0,-0.05,-1.32,0.0,0.81,0.0,0.0,0.0,0.0,0.22,0.0,0.0,-1.57,3.57,0.0,0.0,0.22
 CHÁ MATE (ERVA MATE),0.0,-2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,1.55,0.0,0.0,0.0,-1.5
 ENLATADOS E CONSERVAS,0.45,1.89,1.05,2.28,1.5,1.16,3.24,2.63,1.35,1.67,-0.33,0.17,2.35,0.79,2.16,3.07,1.51
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93
 PALMITO EM CONSERVA,0.0,0.0,-1.32,0.0,0.4,0.23,0.0,0.0,0.0,-0.57,1.64,0.0,0.0,0.0,0.0,0.0,0.23
 PEPINO EM CONSERVA,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31
 SARDINHA EM CONSERVA,1.31,3.1,1.96,3.08,4.13,3.22,4.01,3.89,3.37,3.84,0.0,0.56,6.27,2.54,1.97,3.47,3.18
 SALSICHA EM CONSERVA,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96
 SOPA DESIDRATADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,-0.2,0.0,0.0,0.0,2.35
 AZEITONA,0.24,0.41,1.36,0.82,1.06,0.38,0.0,0.18,0.23,-0.87,-1.58,-0.78,0.86,-0.75,0.0,0.0,0.38
 MILHO-VERDE EM CONSERVA,-0.41,-0.68,1.09,1.44,0.38,0.0,3.3,1.82,0.36,2.69,0.07,0.89,1.98,-0.39,3.48,2.19,0.94
