"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 FRANGO EM PEDAÇOS,6.21,-0.7,3.58,2.04,7.02,6.24,0.8,4.16,0.71,4.1,2.31,4.22,2.22,0.92,3.81,3.62,4.28
 OVO DE GALINHA,0.14,-0.83,0.54,-0.29,2.05,-0.23,0.08,-0.56,1.87,7.48,-1.97,2.15,3.39,-1.39,-0.38,1.86,1.04
 LEITES E DERIVADOS,0.7,5.09,2.19,1,0.24,-0.74,0.68,1.06,-0.17,3.47,0.88,1.13,1.51,2.05,-0.54,0.75,1.28
 LEITE LONGA VIDA,1.94,10.1,2.71,3.97,3.66,-2.84,-0.08,2.19,-0.42,5.42,2.46,1.49,1.77,3.54,0.16,3.97,3.71
 LEITE CONDENSADO,-0.06,0.33,       -,       -,       -,       -,-3.12,       -,       -,       -,       -,       -,       -,0.22,       -,       -,-0.57
 LEITE EM PÓ,-2.31,       -,1.42,-0.08,0.23,       -,2.65,1.26,-1.15,1.32,0.2,0.99,0.31,1.92,-0.93,1.75,0.24
 QUEIJO,0.62,-0.7,1.64,0.82,-4.78,-0.22,-2.77,-1.1,1.23,0.85,-0.49,-0.16,1.09,-1.43,0.29,-2.26,-1.43
 IOGURTE E BEBIDAS LÁCTEAS,-1.52,1.56,1.76,0.89,0.48,4,2.21,0.85,-0.07,3.12,0.18,1.42,2.2,-1.11,-0.38,-0.32,1.05
 REQUEIJÃO,1.91,       -,1.34,       -,-0.6,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.23
 MANTEIGA,2.61,       -,2.6,1.19,       -,1.07,-0.92,-0.36,0.03,       -,-0.53,2.73,       -,2.91,       -,-1.17,0.94
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.59,       -,       -,       -,       -,       -,       -,5.59
 PANIFICADOS,0.18,0.5,0.95,2.26,-0.47,0.24,1.35,0.92,3.46,0.28,0.09,1.66,0.79,-0.49,1.66,-1.36,0.59
 BISCOITO,-0.67,-1.6,0.23,2.61,-1.98,-2.64,1.68,3.14,-1.8,-0.2,0.36,4.29,0.21,2.26,-0.41,0.69,-0.43
 PÃO FRANCÊS,0.58,1.96,1.5,2.58,0.23,2.44,1.25,0.11,6.71,-1.18,0.28,-0.03,1.31,-1.24,2.63,-2.51,1.28
 PÃO DOCE,0.87,1.15,-1.26,       -,-2.49,       -,       -,       -,-0.55,-0.65,       -,1,0.9,       -,       -,       -,-1.12
 PÃO DE FORMA,1.19,0.11,-0.26,       -,1.97,-2.83,       -,       -,       -,1.93,       -,1.16,       -,       -,       -,       -,1.16
 BOLO,-1.06,-0.55,2.81,-1.68,-0.37,-0.1,0.73,-0.88,1.83,5.69,0.84,4.08,-0.46,-1.25,1.34,0.27,0.73
 PÃO DE QUEIJO,       -,       -,-0.09,       -,       -,1.95,       -,       -,       -,       -,-1.74,       -,       -,       -,       -,       -,-0.28
 ÓLEOS E GORDURAS,0.38,0.55,0.54,-0.61,1.16,-0.11,-0.01,1.54,0.2,2.3,0.91,-0.19,0.85,-1.22,0.23,2.82,0.76
 ÓLEO DE SOJA,-1.57,-0.62,-0.29,-1.75,0.68,-0.7,-0.01,0.19,0.05,1.97,0.29,-1.01,-0.5,-1.58,-0.66,1.82,-0.01
 AZEITE DE OLIVA,1.25,       -,       -,       -,1.25,1.31,-1.28,       -,-0.95,0.75,       -,2.7,2.2,1.25,       -,       -,0.89
 MARGARINA,3.62,4.59,4.58,1.36,2.48,       -,1.44,3.87,1.39,4.68,4.53,       -,4.3,       -,3.17,4.66,3.17
 BEBIDAS E INFUSÕES,0.32,-1.42,1.29,0.32,1.22,1.05,-2.14,1.55,0.16,1.35,0.34,-0.3,1.13,0.04,-0.25,1.26,0.42
 SUCO DE FRUTAS,0.53,0.81,0.86,1.81,-0.89,0.59,       -,-0.02,       -,0.13,3.81,-0.23,0.13,       -,       -,       -,0.15
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,0.67,0.49,0.57,       -,       -,       -,       -,1.79,1.09,       -,0.67
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-3.13,       -,       -,       -,       -,       -,       -,-3.17,-3.13,       -,-3.13
 CAFÉ MOÍDO,0.2,-2.43,4.89,2.23,3.57,5.03,2.04,5.41,-0.83,4.41,1.54,1.15,4.54,0.58,0.91,1.54,2.68
 CAFÉ SOLÚVEL,       -,-0.97,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.97
 REFRIGERANTE E ÁGUA MINERAL,0.51,-1,-1.03,-0.89,-0.01,-1.03,-1.14,-0.44,-0.37,-0.33,0.86,-1.32,-2.67,0.21,-0.3,0.77,-0.36
 CERVEJA,0.48,-2.26,0.86,1.83,1.68,0.44,-2.85,0.87,2.1,1.54,-1.31,-0.67,1.81,       -,-0.5,1.77,0.58
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,-2.14,       -,       -,2.48,       -,       -,       -,       -,       -,       -,-1.01
 VINHO,-0.6,-2,       -,       -,1.73,       -,       -,       -,       -,-0.16,       -,       -,       -,       -,       -,       -,0.14
 SUCO EM PÓ,       -,-1.26,-0.18,       -,1.39,       -,       -,       -,       -,0.43,       -,       -,2.07,0.94,       -,       -,0.58
 CHÁ MATE (ERVA MATE),       -,-0.81,       -,       -,       -,       -,       -,       -,       -,1.75,       -,       -,1.01,       -,       -,       -,-0.08
 ENLATADOS E CONSERVAS,-1.22,1.15,0.22,0.89,-0.21,1.07,-0.12,0.85,-0.03,2.05,-0.28,1.79,1.47,1.99,1.51,-0.97,0.37
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,-2.27,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.27
 PALMITO EM CONSERVA,       -,       -,3.25,       -,1.65,1.02,       -,       -,       -,1.32,-0.32,       -,       -,       -,       -,       -,1.57
 PEPINO EM CONSERVA,       -,1.54,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.54
 SARDINHA EM CONSERVA,-2.98,0.23,0.45,1.66,0.07,0.59,-0.06,1.11,-0.23,2.51,       -,1.88,0.09,3.18,1.74,-0.41,0.43
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,0.44,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.44
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.35,       -,       -,2.25,       -,       -,       -,0.62
 AZEITONA,0.58,1.4,0.96,0.68,0.19,1.47,       -,1.49,-0.68,1.97,-0.97,1.41,2.62,0.64,       -,       -,0.68
 MILHO-VERDE EM CONSERVA,-2.84,2.65,-1.9,0.24,-3.7,       -,1.49,-0.44,0.28,2.94,2.06,2.11,1.35,1.3,-0.38,-2.31,-0.38
 ATUM EM CONSERVA,0.21,-0.05,       -,-2.49,-1.18,1.37,       -,       -,0.47,1.91,       -,       -,       -,       -,       -,       -,-0.25
 SAL E CONDIMENTOS,-1.05,-0.07,-2.85,-0.39,0.39,-0.33,1.17,-0.13,-1.08,0.59,-0.78,-0.73,0.37,-1.35,-1.04,0.25,-0.32
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,2.02,       -,       -,       -,       -,       -,       -,       -,2.02
 ATOMATADO,-0.89,0.93,0.48,0.48,2.04,-0.36,-0.06,1.98,-0.25,1.35,1.14,0.81,1.77,0.37,1.04,1.39,1.0
 ALHO,-1.61,       -,-8.81,-2.29,-1.01,-0.06,-0.18,-2.44,-2.83,-1.82,-2.29,-1.47,0.2,-3.24,-2.24,0.89,-2.27
 SAL,-1.39,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.03,0.8,-5.13,-0.42,-1.73
 COLORAU,       -,       -,       -,       -,       -,       -,       -,3.09,       -,       -,       -,       -,       -,       -,       -,       -,3.09
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-1.04,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.04
 FERMENTO,       -,-1.11,       -,       -,       -,       -,       -,       -,       -,1.18,       -,       -,       -,       -,       -,       -,0.12
 MAIONESE,1.55,-1.83,1.55,0.61,1.55,-0.56,-1.25,1.12,       -,1.74,       -,-1.97,-0.84,2.1,       -,       -,0.82
 VINAGRE,       -,1.47,       -,0.43,2.86,1.97,0.38,       -,-0.04,       -,       -,       -,       -,       -,0.26,-3.96,1.61
 CALDO CONCENTRADO,       -,0.89,       -,-0.82,       -,       -,       -,1.97,1.06,       -,-1.08,1.13,       -,       -,       -,       -,0.45
 TEMPERO MISTO,       -,-1.14,0.33,0.45,-1.64,-2.64,5.63,1.42,-1.81,1.3,0.11,1.01,-0.25,0.3,1.85,-0.13,-0.32
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.13,1.23,-0.06,0.93,-0.98,1.34,0.73,0.76,0.46,0.79,1.7,0.93,1.09,0.94,1.34,1.71,0.14
