"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MASSA SEMIPREPARADA,1.4,2.44,1.26,       -,-1.11,0.49,-0.69,1.14,2.78,2.59,1.05,-1.82,-1.8,       -,       -,       -,0.69
 MACARRÃO INSTANTÂNEO,2.15,       -,       -,       -,-2.17,0.01,       -,       -,       -,0.01,       -,-0.61,1.06,-0.75,       -,       -,-0.61
" TUBÉRCULOS, RAÍZES E LEGUMES",8.98,4.26,8.54,7.25,10.02,10.29,7.66,9.85,4.61,15.13,0.98,18.32,10.54,1.17,2.71,6.98,8.49
 BATATA-DOCE,20.93,       -,       -,10.17,15.28,       -,       -,       -,1.42,       -,3.5,       -,       -,2.73,       -,       -,12.44
 BATATA-INGLESA,6.66,5.09,9.87,15.75,12.65,22.13,10.84,26.64,14.42,14.54,0.33,15.44,0.44,4.52,8.43,20.16,10.84
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-13.47,       -,       -,       -,15.86,4.66
 MANDIOCA (AIPIM),       -,       -,4.52,11.71,       -,6.95,       -,       -,6.35,       -,       -,       -,6.94,-0.13,       -,       -,6.94
 ABOBRINHA,       -,       -,       -,       -,17.22,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,17.22
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,11.06,       -,       -,       -,       -,       -,       -,11.05
 PIMENTÃO,       -,       -,       -,       -,-9.77,-9.77,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-9.77
 TOMATE,8.56,-3.1,7.47,-2.5,9.8,4.03,4.89,-11.5,-13.61,15.38,2.06,24.93,13.06,-0.02,-4.86,-4.62,4.89
 CEBOLA,16.1,15.72,14.27,11.8,13.67,31.73,17.58,33.99,29.51,26.37,5.21,19.78,24.85,0.95,14.54,15.1,17.58
 CENOURA,-0.65,2.19,1.36,-0.96,5.43,3.04,-0.61,-9.4,-4.79,3.44,-11.01,-2.42,       -,       -,       -,-1.23,0.29
 AÇÚCARES E DERIVADOS,0.98,1.1,1.49,3.4,-0.42,0.54,2.63,0.29,2.17,2.12,0.34,2.56,1.77,3.08,1.84,1.28,0.89
 AÇÚCAR REFINADO,2.65,5.12,       -,3.01,1.89,4.53,6.71,0.85,0.07,3.64,       -,       -,       -,9.39,1.01,       -,2.62
 AÇÚCAR CRISTAL,       -,0.61,1.8,7.64,       -,4.66,0.54,0.31,2.27,4.38,-0.86,5.12,3.61,1.83,3.8,0.36,2.36
 BALAS,       -,1.78,       -,       -,       -,-2.61,       -,       -,       -,2.33,-0.41,       -,1.22,       -,       -,       -,1.22
 CHOCOLATE EM BARRA E BOMBOM,-0.15,0.56,1.3,-0.04,-0.74,-1.64,2.56,-0.02,6.22,5.91,0.26,1.12,3.28,0.8,2.54,2.56,0.73
 SORVETE,-0.74,0.48,0.54,-3.36,-1.09,0.31,2.36,0.74,1.46,-3.88,0.85,-0.13,-1.07,       -,       -,2.41,-0.65
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.73,0.94,2.12,-0.56,-1.03,1.14,1.7,-0.92,0.59,-0.82,2.66,0.39,1.65,2.41,-1.8,0.22,0.14
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-1.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.15
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.15,3.15
 HORTALIÇAS E VERDURAS,6.26,4.71,7.74,4.14,1.98,2.96,3.78,4.58,-0.11,3.78,-2.95,-0.32,5.76,3.4,0.39,8.55,3.13
 ALFACE,4.93,3.17,7.61,-5.55,2.84,0.7,3.83,6.95,6.22,11.7,-1.82,-0.51,3.84,13.48,8.58,18.58,3.83
 COENTRO,       -,       -,       -,10.42,       -,       -,       -,       -,-0.6,       -,       -,       -,       -,       -,       -,5.15,3.97
 COUVE,15.34,       -,6.36,       -,0.43,       -,       -,       -,       -,       -,       -,-1.44,       -,1.23,       -,-0.81,3.76
 COUVE-FLOR,8.26,       -,       -,       -,       -,8.26,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.26
 REPOLHO,       -,11.91,       -,       -,-9.83,       -,       -,       -,-11.57,-2.33,-16.48,       -,15.27,       -,-4.14,       -,-4.55
 CHEIRO-VERDE,4.69,9.94,9.97,6,3.92,3.81,3.79,3.89,-0.53,0.74,7.05,0.3,3.8,-2.96,-0.82,       -,3.79
 BRÓCOLIS,1.63,0.67,7.62,       -,6.92,5.57,3.7,       -,       -,-3.13,       -,0.31,       -,       -,       -,       -,3.7
 FRUTAS,6.43,0.86,4.86,1.65,1.81,4.72,4.8,0.45,1.11,2.37,1.28,-0.19,5.49,5.15,5.38,2.97,2.67
 BANANA-DA-TERRA,       -,       -,       -,1.65,       -,       -,       -,       -,-5.46,       -,       -,-26.1,       -,4.73,       -,       -,-6.42
 ABACAXI,27.4,3.49,       -,3.95,       -,       -,12.45,       -,       -,       -,6.54,46.81,29.15,       -,       -,1.66,12.46
 ABACATE,       -,       -,       -,       -,       -,       -,4.8,       -,       -,       -,       -,       -,       -,-12.67,       -,       -,1.43
 BANANA-D'ÁGUA,-1.84,1.46,-10.9,       -,0.5,0.9,       -,       -,       -,1.43,       -,       -,-4.63,       -,-5,       -,-0.55
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.71,       -,5.57,       -,       -,       -,4.92
 BANANA-PRATA,9.39,6.02,14.48,1.67,8.44,16.08,8.78,3.95,5.15,3.26,9.38,12.37,       -,13.8,6.51,7.83,8.78
 LARANJA-BAÍA,       -,-9.3,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-9.3
 LARANJA-LIMA,       -,       -,-3.64,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.64
 LIMÃO,-4.42,       -,       -,       -,12.29,-13.37,       -,       -,       -,       -,-0.33,14.49,       -,-28.89,       -,       -,6.75
 MAÇÃ,7.41,3.73,6.66,3.48,1.76,5.77,3.91,4.73,4.99,3.08,-1.37,3.23,8.4,19.32,-1.97,7.71,3.91
 MAMÃO,-2.97,-1.75,-13.92,-3.42,-8.21,-9.15,       -,-1.46,-4.37,-9.31,-3.39,-20.22,6.3,10.54,       -,0.23,-6.99
 MANGA,14.94,4.85,23.18,       -,16.24,14.21,       -,3.64,5.78,12.55,       -,15.5,       -,       -,       -,7.57,14.21
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-15.5,-4.22,       -,       -,       -,       -,       -,       -,-5.76,-7.97
 MELANCIA,       -,       -,-1.55,4.19,       -,4.33,1.93,       -,4.31,-0.69,-6.32,       -,15.81,0.6,10.86,       -,1.93
 MELÃO,16.19,       -,       -,18.91,       -,5.83,15.43,       -,       -,18.24,       -,       -,       -,       -,15.44,       -,15.43
 PERA,       -,       -,       -,       -,11.48,       -,       -,       -,       -,       -,1.4,1.64,       -,       -,       -,       -,10.02
 TANGERINA,       -,       -,       -,       -,1.81,       -,       -,       -,       -,2.37,       -,       -,       -,       -,       -,       -,1.95
 UVA,3.26,-2.98,2.49,-6.42,-1.25,-0.95,-0.98,8.01,0.26,-6.71,-0.96,-2.68,10.04,-1.67,-0.97,0.14,-0.98
 LARANJA-PERA,1.57,       -,4.37,1.23,-5.1,4.94,-0.37,-0.35,0.51,6.56,-1.75,1.21,8.48,2.38,14.65,1.16,-0.37
 MORANGO,       -,-4.96,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.96
 GOIABA,       -,       -,       -,       -,       -,       -,-10.99,-13.7,       -,       -,       -,       -,       -,       -,       -,-3.26,-10.99
 CARNES,-2.26,-0.27,-0.12,2.88,-0.78,4.45,-0.05,1.55,-0.18,0.39,0.66,-0.2,-2.17,4.63,1.12,0.3,-0.08
 FÍGADO,       -,       -,       -,0.47,       -,       -,-1.45,-1.43,-2.39,       -,       -,       -,       -,       -,-1.44,       -,-1.45
 CARNE DE PORCO,-4.17,-1.36,-2.56,-2.53,1.76,2.05,-0.57,-1.41,2.84,-1.85,-0.15,-3.34,1.57,5.31,1.47,2.95,-0.57
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,1.55,       -,       -,       -,       -,       -,       -,       -,       -,1.55
 CUPIM,       -,       -,       -,1.1,       -,       -,       -,       -,       -,       -,2.06,       -,       -,       -,       -,       -,1.57
 CONTRAFILÉ,-0.34,-0.73,0.45,6.21,-0.76,0.99,0.23,1.81,1.39,-0.03,0.51,6,-4.76,7.42,0.37,0.27,0.23
 FILÉ-MIGNON,-0.12,       -,       -,       -,       -,       -,0.47,       -,       -,0.53,       -,       -,       -,8.11,       -,       -,0.47
 CHÃ DE DENTRO,-3.73,-1.83,3.32,4.55,-2.75,6.51,0.18,0.33,1.45,2.77,7.31,0.27,-4.77,0.79,1.55,-0.44,0.18
 ALCATRA,-1.8,-1.73,5.11,1.3,-3.66,6.02,-0.39,4.17,0.13,0.39,3.13,0.98,-3.65,4.79,-2.15,-0.29,-0.39
 PATINHO,-3.7,       -,-1.38,1.05,-2.79,       -,-0.98,2.58,       -,2.7,5.69,-1.01,-0.99,1.82,1.36,3.3,-0.98
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-0.05,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.05
 LAGARTO COMUM,       -,1.72,       -,       -,-2.15,       -,       -,       -,-1.11,       -,2.73,       -,-5.97,4.87,       -,       -,-1.24
 MÚSCULO,-0.06,2.49,0.85,2.65,-2.08,       -,-0.39,       -,-0.11,-2,-1.76,       -,-5.46,4.92,-0.38,-1.74,-0.39
 PÁ,       -,1.19,-0.53,4.76,-0.87,       -,0.32,       -,       -,       -,       -,-1.74,0.34,3.95,0.33,2.39,0.32
 ACÉM,-2.37,5.76,-1.33,3.62,0.93,7.78,0.18,0.6,-4.16,-0.68,-3.93,-0.66,-3.12,2.93,0.45,0.63,0.18
 PEITO,       -,       -,       -,       -,       -,       -,-0.05,       -,       -,       -,       -,       -,-2.07,3.73,3.35,2.77,0.52
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,0.23,       -,0.76,0.25,       -,1.84,-1.62,4.63,       -,       -,0.31
 COSTELA,-4.51,-2.78,-0.26,2.35,2.84,2.7,0.08,1.91,-1.89,2.17,-1.23,-3.48,0.87,2.53,5.24,-0.52,0.08
 PICANHA,       -,3.03,0.25,       -,       -,5.61,       -,5.73,       -,       -,       -,       -,       -,       -,       -,       -,3.39
 PESCADOS,1.07,-0.21,2.21,1.16,0.55,-0.13,0.1,0.85,1.8,0.33,0.93,-0.24,-0.3,3.31,0.93,1.07,0.77
 PEIXE-ANCHOVA,       -,       -,       -,1.16,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.16
 PEIXE-CORVINA,1.44,       -,       -,1.37,       -,       -,       -,       -,0.35,       -,       -,       -,       -,       -,0.74,0.93,0.93
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.93,       -,0.93
 PEIXE-SARDINHA,       -,-0.4,       -,1.16,       -,       -,       -,       -,1.81,       -,       -,       -,       -,       -,       -,       -,0.85
 CAMARÃO,0.87,0.88,       -,0.89,       -,0.91,0,-2.23,4.85,1.29,1.65,0.67,       -,       -,0.92,0.9,0.88
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,3.93,       -,       -,       -,       -,       -,       -,       -,       -,3.93
 PEIXE-CAÇÃO,       -,       -,       -,       -,-0.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.32
 PEIXE-MERLUZA,       -,       -,5.6,2.05,1.47,       -,       -,       -,1.93,       -,1.98,       -,       -,       -,       -,       -,2.05
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,5.3,       -,       -,       -,       -,       -,       -,       -,       -,5.29
 PEIXE-PESCADA,       -,       -,       -,       -,0.55,       -,0.1,       -,       -,       -,       -,       -,       -,       -,2.39,2.28,0.83
 CARANGUEJO,0,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-CASTANHA,       -,       -,       -,1.16,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.16
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-0.42,       -,       -,       -,       -,       -,       -,       -,       -,-0.42
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0,       -,       -,0.0
 PEIXE-SALMÃO,1.07,       -,       -,       -,-1.5,-0.13,       -,0.85,4.45,       -,       -,       -,       -,       -,       -,       -,0.04
 PEIXE-TILÁPIA,       -,-0.88,1.35,0.76,1.59,-0.48,       -,0.47,2.6,0.15,-0.78,1.55,-0.9,       -,       -,0.77,0.76
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.13,0.1,       -,       -,       -,0.59,       -,0.31,4.29,-0.16,       -,0.43
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,0.25,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.25
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-0.13,0.1,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.06
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.09,       -,       -,       -,       -,-2.09
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.6,       -,       -,       -,0.6
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.93,       -,       -,       -,       -,       -,0.93
 CARNES E PEIXES INDUSTRIALIZADOS,0.33,0.51,1.82,2.32,0.72,1.64,-0.69,-0.77,3.2,0.9,-0.56,0.75,0.67,0.4,1.82,2.59,1.01
 PRESUNTO,0.8,1.34,0.26,       -,-1.21,2.21,       -,2.51,4.96,-0.58,0.41,-3.47,2.72,-2.44,       -,2.55,0.24
 SALSICHA,       -,-3.43,       -,3.01,0.71,       -,       -,       -,       -,-1.01,       -,       -,       -,3.17,       -,       -,-0.23
 LINGUIÇA,-0.67,2.73,2.7,3.22,1.81,2.33,1.8,-1.7,0.11,1.45,-0.75,1.99,0.21,0.11,3.9,2.53,1.54
 MORTADELA,0.51,       -,0.92,0.03,-3.04,       -,       -,0.17,       -,2.16,-2.52,       -,0.38,       -,       -,       -,-0.83
 SALAME,       -,-2.66,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.66
 BACALHAU,1.43,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.82,       -,1.49
 CARNE-SECA E DE SOL,1.08,       -,       -,2.25,       -,-0.41,-1.94,-1.06,4.34,       -,       -,-0.81,       -,       -,-1.57,2.64,1.73
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,2.04,-2.33,       -,       -,       -,       -,0.0
 AVES E OVOS,1.72,-1.25,1.15,0.57,1.16,-0.07,0.48,0.75,0.54,0.72,0.04,-0.37,1.06,-0.6,0.3,0.64,0.69
 FRANGO INTEIRO,1.22,-0.42,-0.06,-0.08,-0.49,-0.04,-0.08,0.73,0.31,0.81,-1.78,0.43,-0.05,-2.8,-0.07,-2.61,-0.07
 FRANGO EM PEDAÇOS,2.37,-1.08,2.6,1.62,2.1,0.26,2.08,1.97,0.63,1.21,0.85,0.94,1.55,5.01,0.45,1.98,1.54
 OVO DE GALINHA,-0.43,-2.23,-1,0.4,-0.27,-0.65,0.8,-0.47,0.82,-1.35,1.02,-5.22,0.9,2.84,2.22,4.72,-0.3
 LEITES E DERIVADOS,-0.54,-1.38,0.17,1.99,0.55,-3.72,1.79,0.03,0.11,1.99,-0.92,-2.09,-1.74,-0.35,0.19,2.01,0.15
 LEITE LONGA VIDA,-2.69,-2.7,-1.85,-0.87,-0.42,-4.17,-2.68,-0.56,2.35,-1.96,-2.19,-3.68,-2.92,-1.71,0.26,0.29,-1.35
 LEITE CONDENSADO,0.44,-0.78,       -,       -,       -,       -,3.94,       -,       -,       -,       -,       -,       -,-0.37,       -,       -,0.7
 LEITE EM PÓ,-1.42,       -,2.64,1.41,1.2,       -,1.94,0.61,-0.62,0.4,-0.04,-1.5,-0.66,-0.89,0.88,3.77,0.65
 QUEIJO,1.77,-0.34,1.94,4.08,1.89,-5.59,0.55,0.17,-1.8,8.76,-0.6,-0.84,-0.3,0.1,-2.6,1.9,1.65
 IOGURTE E BEBIDAS LÁCTEAS,1.58,1.25,1.77,0.27,-0.38,1.79,4.24,0.78,-1.36,3.3,-1.24,0.58,0.35,3.83,-2.68,2.92,0.92
 REQUEIJÃO,0.67,       -,2.64,       -,2.59,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.24
 MANTEIGA,-4.05,       -,2.92,-0.57,       -,-0.22,4.39,-0.7,1.3,       -,2.86,0.12,       -,2.8,       -,0.51,0.85
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.27,       -,       -,       -,       -,       -,       -,-1.27
 PANIFICADOS,3.53,0.45,0.86,1.19,0.4,-0.48,0.8,1.53,1.41,0.83,-0.88,-1.51,0.97,2.51,0.32,2.68,0.89
 BISCOITO,3.96,0.14,0.67,0.35,-1.11,-1.58,1.54,-0.18,-0.37,1.56,-1.62,-1.91,1.81,0.51,-1.31,0.77,0.23
 PÃO FRANCÊS,3.83,-1.41,0.41,2.4,0.68,0.58,0.36,2.42,2.07,-0.87,-1.01,-1.69,0.5,2.8,1.53,3.69,0.92
 PÃO DOCE,2.21,0.24,1.92,       -,0.23,       -,       -,       -,1.87,1.9,       -,0.49,1.77,       -,       -,       -,1.02
 PÃO DE FORMA,2.54,6.64,5.11,       -,3.4,3.61,       -,       -,       -,5.32,       -,2.1,       -,       -,       -,       -,4.11
 BOLO,2.1,4.89,1.71,-4.09,0.76,-3.17,1.77,0.58,4.59,-0.03,4.36,-4.16,0.75,5.45,-2.17,1.74,0.99
 PÃO DE QUEIJO,       -,       -,1.04,       -,       -,-3.02,       -,       -,       -,       -,-2.35,       -,       -,       -,       -,       -,-0.64
 ÓLEOS E GORDURAS,1.42,0.38,-2.24,2.99,-0.76,1.44,0.4,0.24,0.57,-1.52,0.75,-2.04,2.08,-0.29,-0.95,1.01,-0.17
 ÓLEO DE SOJA,1.11,-0.4,-2.6,1.84,-2.03,1.72,-0.84,-1.11,-0.14,-3.05,0.51,-2.1,2.16,-0.53,-1.8,0.63,-1.08
 AZEITE DE OLIVA,1.71,       -,       -,       -,0.71,0.74,2.95,       -,4.5,1.8,       -,-1.83,-0.77,1.46,       -,       -,1.34
 MARGARINA,1.84,3.21,-0.31,5.27,2.02,       -,2.06,3.04,-0.04,1.57,2.24,       -,4.71,       -,2.07,1.82,2.06
 BEBIDAS E INFUSÕES,1.73,0.23,1.96,0.39,0.86,0.27,2.44,0.69,1.13,2.13,1.27,0.84,0.66,1.58,-0.91,1.15,1.2
 SUCO DE FRUTAS,1.07,1.36,1.59,0.22,2.35,2.74,       -,1.5,       -,0.01,-0.74,0.52,1.13,       -,       -,       -,1.53
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,1.25,0.32,0.5,       -,       -,       -,       -,0.36,6.39,       -,1.25
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,4.92,       -,       -,       -,       -,       -,       -,4.38,-5.26,       -,4.38
 CAFÉ MOÍDO,1.18,-1.1,-0.02,1.38,0.47,-0.91,-0.6,0.94,0.56,0.14,-0.4,-1.27,1.7,1.53,-0.23,2.55,0.32
 CAFÉ SOLÚVEL,       -,1.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.15
 REFRIGERANTE E ÁGUA MINERAL,2.5,0.04,2.55,-0.57,1.13,1.27,-0.03,0.38,1.2,3.95,0.83,-0.48,-0.3,1.02,-1.05,1.4,1.23
 CERVEJA,2.28,0.03,2.99,2.79,-0.06,-1.06,-2.6,1.11,2.06,3.8,2.77,3.45,0.25,       -,-0.42,-0.03,1.23
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,2.44,       -,       -,2.38,       -,       -,       -,       -,       -,       -,2.42
 VINHO,0.4,-0.3,       -,       -,1.2,       -,       -,       -,       -,-3.65,       -,       -,       -,       -,       -,       -,0.14
 SUCO EM PÓ,       -,0.73,2.54,       -,1.76,       -,       -,       -,       -,0.85,       -,       -,0.85,0.81,       -,       -,1.53
 CHÁ MATE (ERVA MATE),       -,1.36,       -,       -,       -,       -,       -,       -,       -,-0.68,       -,       -,1.91,       -,       -,       -,0.91
 ENLATADOS E CONSERVAS,-0.3,1.24,2.09,0.21,-0.95,0.79,1.5,0.94,0.88,0.85,2.02,1.78,0.88,0.98,2.98,0.57,0.38
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,1.94,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.94
 PALMITO EM CONSERVA,       -,       -,0.18,       -,-0.05,-1.43,       -,       -,       -,0.9,0.72,       -,       -,       -,       -,       -,0.08
 PEPINO EM CONSERVA,       -,2.08,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.08
 SARDINHA EM CONSERVA,-0.54,-0.18,1.52,-0.2,-0.85,2.97,3.32,0.4,-0.45,0.3,       -,1.61,2.39,0.91,3.29,0.76,0.39
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,1.96,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.96
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.62,       -,       -,-1.32,       -,       -,       -,0.35
 AZEITONA,1.05,0.88,1.8,3.76,-0.1,0.71,       -,2.18,2.26,-0.19,2.26,2.04,0.84,3.13,       -,       -,0.84
 MILHO-VERDE EM CONSERVA,1.94,2.43,3.63,-0.73,-3.33,       -,-1.03,1.14,1.79,2.42,3.78,1.68,0.7,-1.53,0.69,0.13,0.68
 ATUM EM CONSERVA,-3.92,1.04,       -,-0.23,-1.66,-1.16,       -,       -,1.3,1.39,       -,       -,       -,       -,       -,       -,-0.99
 SAL E CONDIMENTOS,-0.97,1.55,-0.12,0.07,-0.09,-0.13,0.09,-2.4,-0.89,-0.26,0.75,-1.63,2.33,0.2,-1,1.18,-0.12
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,4.94,       -,       -,       -,       -,       -,       -,       -,4.94
 ATOMATADO,-0.05,0.62,0.4,0.79,-1.44,-0.78,0.81,-1.65,0.92,0.45,0.24,-0.81,2.49,0.65,-2.24,0.92,-0.27
 ALHO,-1.64,       -,-1.5,-1.2,0.95,0.16,-0.93,-6.63,-4.34,-2.65,1.71,-3.33,3.56,-0.42,-0.33,2.1,-0.93
 SAL,-1.52,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.01,-0.01,-0.5,0.97,-1.09
 COLORAU,       -,       -,       -,       -,       -,       -,       -,2.65,       -,       -,       -,       -,       -,       -,       -,       -,2.65
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-2.25,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.25
 FERMENTO,       -,-1.26,       -,       -,       -,       -,       -,       -,       -,2.28,       -,       -,       -,       -,       -,       -,0.62
 MAIONESE,-0.03,4.07,0.4,-1.2,0.9,-1.82,0.05,2.47,       -,0.41,       -,1.28,-0.83,0.31,       -,       -,0.99
 VINAGRE,       -,1.85,       -,-0.84,0.92,2.34,1.16,       -,-0.28,       -,       -,       -,       -,       -,-1.71,0.15,0.82
 CALDO CONCENTRADO,       -,1.94,       -,2.23,       -,       -,       -,2.75,-1.57,       -,-2.24,-1.85,       -,       -,       -,       -,0.55
 TEMPERO MISTO,       -,1.4,1.36,0.75,-0.26,0.27,0.81,0.66,1.49,-0.2,1.35,1.16,1.79,1.81,-0.82,0.37,0.37
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.73,1.16,0.78,0.26,0.77,0.88,0.42,1.12,1.69,1.31,1.13,1.54,0.54,1.38,1.49,0.94,0.91
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.73,1.16,0.78,0.26,0.77,0.88,0.42,1.12,1.69,1.31,1.13,1.54,0.54,1.38,1.49,0.94,0.91
 REFEIÇÃO,0.83,1.46,0.49,0.17,0.01,0.97,0.19,0.81,0.71,0.89,0.47,0.67,0.52,1.06,1.22,0.91,0.52
