"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 CENOURA,-5.88,-9.04,-3.12,-3.66,-16.94,-13.03,-8.1,-9.58,-3.17,-4.05,-6.02,4.59,       -,       -,       -,-2.26,-8.1
 AÇÚCARES E DERIVADOS,1.54,1.79,2.55,0.97,3.44,1.41,0.93,1.86,1.1,3.03,2.61,2.96,2.51,2.49,4.07,1.4,2.5
 AÇÚCAR REFINADO,1.34,-0.44,       -,1.81,4.05,-0.59,1.04,2.28,1.38,2.62,       -,       -,       -,2.19,2.53,       -,2.52
 AÇÚCAR CRISTAL,       -,4.59,3.14,-0.55,       -,-0.29,-0.9,1.53,1.93,6.42,2.15,6.29,0.24,3.13,2.25,2.52,2.25
 BALAS,       -,-1.31,       -,       -,       -,3.34,       -,       -,       -,3.25,-0.4,       -,1.01,       -,       -,       -,1.11
 CHOCOLATE EM BARRA E BOMBOM,-1.2,1.44,3.45,6.89,1.7,1.13,0.91,1.21,-1.2,0.77,1.62,2.13,2.38,1.29,8.72,0.55,1.5
 SORVETE,3.69,3.84,0.94,2,5.84,3.01,4.66,1.75,-0.33,3.73,3.64,-0.78,6.23,       -,       -,-2.47,4.08
 CHOCOLATE E ACHOCOLATADO EM PÓ,2.32,0.35,2.12,0.54,3.08,0.91,0.56,3.06,1.99,4.94,3.76,-1.47,2.45,1.96,9.27,3,2.59
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,0.74,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.74
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.9,1.9
 HORTALIÇAS E VERDURAS,5.96,-1.05,1.58,2,-1.57,1.96,-0.05,-3,6.67,5.01,-0.52,-2.03,-0.14,2.2,8.09,-4.64,0.65
 ALFACE,5.99,-0.91,3.78,2.53,-3.83,0.27,-0.46,3.46,7.69,7.48,-1.21,-2.53,-0.45,4.82,2.72,-2.65,-0.46
 COENTRO,       -,       -,       -,0.35,       -,       -,       -,       -,5.35,       -,       -,       -,       -,       -,       -,-7.51,2.39
 COUVE,7.4,       -,-2.42,       -,-1.78,       -,       -,       -,       -,       -,       -,-3.2,       -,3.24,       -,-0.19,-0.5
 COUVE-FLOR,4.06,       -,       -,       -,       -,4.06,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.06
 REPOLHO,       -,-0.48,       -,       -,13.84,       -,       -,       -,-0.4,13.99,-1.61,       -,1.27,       -,16.87,       -,8.89
 CHEIRO-VERDE,5.71,-2.79,-3.7,6.8,-3.77,0.7,-0.01,-4.89,10.54,2.68,4.4,-0.92,-0.02,-0.01,7.15,       -,-0.01
 BRÓCOLIS,6.41,-0.89,2.49,       -,0.17,7.05,0.28,       -,       -,-5.98,       -,-1.31,       -,       -,       -,       -,0.28
 FRUTAS,-5.02,-4.56,-9.31,-3.81,-5.08,-7.25,-3.67,-4.48,-2.92,-6.02,-3.69,-9.05,-3.34,-2.66,-1.56,0.18,-5.21
 BANANA-DA-TERRA,       -,       -,       -,-3.81,       -,       -,       -,       -,-1.43,       -,       -,-17.75,       -,-3.56,       -,       -,-3.91
 ABACAXI,-6.47,-2.9,       -,-4.9,       -,       -,-4.08,       -,       -,       -,2.71,-16.32,-5.19,       -,       -,-3.01,-4.08
 ABACATE,       -,       -,       -,       -,       -,       -,-6.33,       -,       -,       -,       -,       -,       -,-6.33,       -,       -,-6.33
 BANANA-D'ÁGUA,-7.18,-11.14,-20.35,       -,-6.47,-18.49,       -,       -,       -,-9.9,       -,       -,-8.21,       -,-5.57,       -,-9.29
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.79,       -,-3.89,       -,       -,       -,-4.55
 BANANA-PRATA,-5.39,-4.85,-7.73,-5.81,-6.05,-7.74,-5.64,-1.71,-3.08,-9.46,-8.42,-2.38,       -,-0.18,-5.27,-1.4,-5.64
 LARANJA-BAÍA,       -,-0.31,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.31
 LARANJA-LIMA,       -,       -,-21.95,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-21.95
 LIMÃO,-7.77,       -,       -,       -,-15.21,-12.35,       -,       -,       -,       -,-17.88,-5.98,       -,-7.96,       -,       -,-13.92
 MAÇÃ,-13.46,-11.42,-13.28,-7.85,-6.41,-8.61,-10.08,-7.1,-9.02,-17.35,-16.99,-11.87,-3.2,-10.09,-1.6,-7.37,-10.09
 MAMÃO,5.66,5.12,-15.25,3.03,-14.7,-11.81,       -,-12.36,3.28,-3.21,-6.3,-14.66,10.97,-3.63,       -,7.21,-7.84
 MANGA,-2.35,12.24,-10.93,       -,-3.28,-4.16,       -,-12.53,-5.22,-8.41,       -,-7.47,       -,       -,       -,9.53,-4.16
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-17.34,-3.68,       -,       -,       -,       -,       -,       -,-2.04,-7.65
 MELANCIA,       -,       -,12.87,12.32,       -,2.32,11.01,       -,3.8,15.3,19.07,       -,2.52,17.26,11.02,       -,11.01
 MELÃO,-5.84,       -,       -,-0.29,       -,2.7,-0.62,       -,       -,1.18,       -,       -,       -,       -,-0.61,       -,-0.62
 PERA,       -,       -,       -,       -,-2.89,       -,       -,       -,       -,       -,-1.98,-5.39,       -,       -,       -,       -,-2.88
 TANGERINA,       -,       -,       -,       -,-5.08,       -,       -,       -,       -,-6.02,       -,       -,       -,       -,       -,       -,-5.31
 UVA,-8.49,-0.33,2.86,-8.25,-5.16,-3.64,-3.67,10.43,-6.97,-0.66,-3.65,-10.58,-2.81,1.57,-3.66,-1.96,-3.67
 LARANJA-PERA,2.7,       -,-1.75,-3.43,13.59,-0.6,0,-0.94,3.64,4.34,3.82,1.08,-4.05,-4.65,5.58,11.2,5.58
 MORANGO,       -,-9.17,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-9.17
 GOIABA,       -,       -,       -,       -,       -,       -,0.12,-1.22,       -,       -,       -,       -,       -,       -,       -,4.19,0.12
 CARNES,-1.86,-0.01,1.39,0.06,1.96,1.27,1.74,2.14,0.22,0.42,0.75,0.38,4.12,1.74,1.56,-0.1,1.01
 FÍGADO,       -,       -,       -,-2.21,       -,       -,0.53,4.76,1.14,       -,       -,       -,       -,       -,-1.58,       -,0.53
 CARNE DE PORCO,0.84,-0.88,2.72,-0.54,0.78,0.87,0.47,-2.75,-1.65,-0.03,-1.96,-0.84,0.66,-0.53,1.76,0.76,0.48
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,2.14,       -,       -,       -,       -,       -,       -,       -,       -,2.14
 CUPIM,       -,       -,       -,-1.51,       -,       -,       -,       -,       -,       -,3.56,       -,       -,       -,       -,       -,1.06
 CONTRAFILÉ,-4.72,-1.1,-0.29,0.39,-2.33,-3.51,-1,3.57,1.04,-2.38,1.03,-0.71,1.72,3.71,0.51,-0.68,-1.01
 FILÉ-MIGNON,4.32,       -,       -,       -,       -,       -,3.11,       -,       -,1.91,       -,       -,       -,-0.39,       -,       -,3.11
 CHÃ DE DENTRO,2.04,0.07,-0.21,0.11,5.91,5.07,2.72,5.94,0.1,1.56,-1.95,1.14,4.39,4.19,1.06,-1.45,2.72
 ALCATRA,-5.54,-3.68,0.1,-2.42,3.3,0.46,4.72,0.08,0.26,3.08,0.04,-4.92,0.13,-3.74,1.71,0.56,0.0
 PATINHO,-0.26,       -,-1.04,0.22,3.93,       -,2.56,4.39,       -,3.36,1.01,1.81,3.25,-2.02,3.42,0.4,2.56
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,1.74,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.74
 LAGARTO COMUM,       -,-1.2,       -,       -,3.72,       -,       -,       -,2.95,       -,-1.08,       -,3.74,-0.9,       -,       -,2.41
 MÚSCULO,-2.21,2.28,1.54,1.92,0.77,       -,1.51,       -,1.78,1.92,3.56,       -,7.47,0.29,1.52,2.37,1.51
 PÁ,       -,2.27,1.74,4.81,2.15,       -,2.66,       -,       -,       -,       -,4.59,6.8,3.66,2.67,1.06,2.66
 ACÉM,1.32,4.31,2.44,1.31,1.63,3.87,1.97,1.15,4.02,-3.02,1.4,4.13,9.14,0.79,4.34,-0.24,1.97
 PEITO,       -,       -,       -,       -,       -,       -,1.74,       -,       -,       -,       -,       -,7.01,2.12,3.17,1.81,2.59
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-0.58,       -,-0.9,-3.36,       -,-1.77,6.96,1.74,       -,       -,-0.54
 COSTELA,0.16,-0.61,4.93,-0.97,2.68,1.3,1.05,1.9,-1.92,1.73,2.62,2.48,3.6,1.88,1.33,-1.32,1.05
 PICANHA,       -,-0.84,-0.45,       -,       -,0.93,       -,3.29,       -,       -,       -,       -,       -,       -,       -,       -,0.5
 PESCADOS,-0.33,0.87,-2.25,0.7,1.54,-1.36,-0.02,-0.17,0.52,-2.86,-1.7,-0.5,-0.26,1.22,0.74,0.71,0.23
 PEIXE-ANCHOVA,       -,       -,       -,0.7,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.7
 PEIXE-CORVINA,-0.18,       -,       -,3.14,       -,       -,       -,       -,2.58,       -,       -,       -,       -,       -,1.43,1.42,1.42
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.74,       -,0.74
 PEIXE-SARDINHA,       -,0.87,       -,-0.98,       -,       -,       -,       -,2.09,       -,       -,       -,       -,       -,       -,       -,0.97
 CAMARÃO,-0.88,-1.9,       -,0.59,       -,0.12,-0.87,-2.78,-3.91,-2.4,-3.51,0.22,       -,       -,0.34,1.67,-0.88
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,3.37,       -,       -,       -,       -,       -,       -,       -,       -,3.37
 PEIXE-CAÇÃO,       -,       -,       -,       -,1.36,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.36
 PEIXE-MERLUZA,       -,       -,0.26,1.03,1.76,       -,       -,       -,-1.15,       -,0.29,       -,       -,       -,       -,       -,1.03
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,-3.22,       -,       -,       -,       -,       -,       -,       -,       -,-3.22
 PEIXE-PESCADA,       -,       -,       -,       -,1.54,       -,0.13,       -,       -,       -,       -,       -,       -,       -,0.79,0.97,0.66
 CARANGUEJO,0,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-CASTANHA,       -,       -,       -,-1.51,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.51
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,3.87,       -,       -,       -,       -,       -,       -,       -,       -,3.87
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.78,       -,       -,0.78
 PEIXE-SALMÃO,-0.33,       -,       -,       -,-1.08,-1.36,       -,-1.32,-3.08,       -,       -,       -,       -,       -,       -,       -,-1.21
 PEIXE-TILÁPIA,       -,2.93,-2.89,-0.01,3,-1.98,       -,-0.02,-0.13,-2.95,-2.89,1.7,-2.34,       -,       -,-2.79,-0.02
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-1.36,-0.02,       -,       -,       -,-1.7,       -,2.16,1.34,0.74,       -,0.35
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,0.6,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.6
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-0.88,-0.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.17
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.55,       -,       -,       -,       -,-2.55
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.57,       -,       -,       -,2.57
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.7,       -,       -,       -,       -,       -,-1.7
 CARNES E PEIXES INDUSTRIALIZADOS,0.21,0.31,-0.1,-0.79,0.71,-0.76,-1.3,-1.09,1.13,0.19,1.32,0.26,1.83,0.54,0.73,0.41,0.3
 PRESUNTO,-2.05,-0.41,2.86,       -,3.93,-2.6,       -,1.16,-0.37,1.44,-0.4,1.62,1.45,-1.71,       -,1.95,1.44
 SALSICHA,       -,1.69,       -,1.98,0.07,       -,       -,       -,       -,0.45,       -,       -,       -,-1.89,       -,       -,0.63
 LINGUIÇA,1.8,0.11,-0.55,3.1,0.27,-0.3,-3.71,-1.49,-0.24,-0.4,0.73,-0.08,2.32,1.7,0.4,0.63,0.11
 MORTADELA,0.16,       -,-3.29,-1.58,-1.09,       -,       -,-0.4,       -,1.27,2.06,       -,-0.03,       -,       -,       -,-0.7
 SALAME,       -,0.63,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.63
 BACALHAU,1.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.73,       -,1.32
 CARNE-SECA E DE SOL,-1.42,       -,       -,-2.18,       -,0.23,-0.01,-2.09,1.96,       -,       -,0,       -,       -,1.29,0.04,-0.01
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,1.04,       -,       -,       -,       -,       -,       -,       -,6.34,1.96,       -,       -,       -,       -,2.19
 AVES E OVOS,1.18,4.24,2.16,3.13,0.81,0.49,1.21,0.86,1.26,1.35,-0.2,1.07,2.71,1.34,0.03,1.94,1.45
 FRANGO INTEIRO,2.51,0.63,1.8,4.4,0.97,1.07,1.06,0.16,-0.54,1.18,-0.45,2.15,1.53,1.34,-0.69,2.55,1.06
 FRANGO EM PEDAÇOS,1.2,5.94,2.56,1.09,1.3,-1.9,0,3.14,1.69,2.38,0.54,2.22,3.63,1.33,-0.27,1.85,1.95
 OVO DE GALINHA,0.48,1.17,1.6,3.37,-0.67,3.47,2.99,0.49,4.21,-2.27,-2.26,-3.1,1.73,1.36,3.8,0.89,0.81
 LEITES E DERIVADOS,0.64,2.09,0.78,0.46,3.08,-0.82,-1.28,-0.33,1.24,0.86,0.29,-0.18,0.32,1.68,0.32,1.36,1.45
 LEITE LONGA VIDA,1.09,3.14,0.75,0.6,4.15,2.17,-1.7,-0.6,1.45,1.56,0.9,0.31,0.55,1.57,2.95,1.35,2.4
 LEITE CONDENSADO,1.48,0.81,       -,       -,       -,       -,-2.95,       -,       -,       -,       -,       -,       -,2.12,       -,       -,0.25
 LEITE EM PÓ,4.12,       -,1.56,0.26,0.55,       -,-1.8,-0.5,-0.36,1.58,1.21,1.74,0.11,1.53,-0.79,2.81,0.38
 QUEIJO,-0.9,1.25,1.24,0.77,3.09,-3.21,1.21,0.82,2.82,-0.31,-1.39,-2.15,-0.36,1.29,0.38,-0.47,1.21
 IOGURTE E BEBIDAS LÁCTEAS,-0.69,0.71,0.74,-0.09,-0.54,-0.52,-0.33,-0.94,2.46,1.86,0.85,0.28,0.77,1,2.3,4,0.31
 REQUEIJÃO,2.13,       -,0.32,       -,1.7,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.53
 MANTEIGA,-0.03,       -,-1.34,-0.18,       -,-3.2,-1.54,-1.09,0.85,       -,1.8,0.57,       -,2.77,       -,-0.29,-0.25
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.29,       -,       -,       -,       -,       -,       -,-0.29
 PANIFICADOS,-0.3,2.79,0.38,0.11,0.2,0.06,0.46,1.11,0.74,0.57,1.85,-0.06,-1.3,1.42,0.37,0.38,0.54
 BISCOITO,2.8,3.93,0.48,-0.96,1.89,3.11,2.23,2.59,3.33,2.66,2.49,-0.65,-1.13,1.99,2.19,3.24,2.03
 PÃO FRANCÊS,-1.29,3.12,0.54,0.96,1.14,-0.84,-0.11,1.14,-0.57,-0.54,2.41,-0.03,-2.11,1.62,0,-0.87,0.56
 PÃO DOCE,-2.44,-0.92,-1.79,       -,-1.56,       -,       -,       -,3.32,0.03,       -,1.87,0.73,       -,       -,       -,-0.98
 PÃO DE FORMA,-2.32,0.07,0.98,       -,-2.25,-0.33,       -,       -,       -,1.31,       -,1.99,       -,       -,       -,       -,-1.03
 BOLO,-1.82,3.71,0.01,-1.71,-4.97,-3.47,-2.42,-4.64,-2.12,-1.54,-1.78,-1.58,1.41,-1.93,-1.75,0.1,-2.42
 PÃO DE QUEIJO,       -,       -,0.43,       -,       -,-0.26,       -,       -,       -,       -,0.96,       -,       -,       -,       -,       -,0.49
 ÓLEOS E GORDURAS,2.22,1.56,2.45,3.62,1.72,1.25,0.36,-1.24,2.97,2.36,3.63,2.07,-1.38,2.36,0.77,3.25,1.87
 ÓLEO DE SOJA,1.58,1.94,2.27,4.42,1.11,1.23,1.84,-2.29,4.21,2.26,3.77,2.44,-2.11,2.41,-0.02,5.29,1.84
 AZEITE DE OLIVA,4.51,       -,       -,       -,4.18,1.27,-1.24,       -,0.59,2.34,       -,0.73,-3.75,2.06,       -,       -,2.85
 MARGARINA,1.27,0.25,3.3,2.24,0.99,       -,-2.45,0.69,1.33,2.75,2.82,       -,3.54,       -,3.39,-0.44,1.33
 BEBIDAS E INFUSÕES,1.09,0.81,0.26,1.72,-0.64,0.62,2.61,-0.35,2.09,0.58,1.04,0.26,0.79,1.15,1.42,0.73,0.54
 SUCO DE FRUTAS,0.76,2.01,1.24,2.94,-1.24,0.3,       -,-0.4,       -,2.28,1.53,0.37,1.2,       -,       -,       -,0.34
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,-0.58,-2.54,0.67,       -,       -,       -,       -,0.19,-2.1,       -,-0.58
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,4.26,       -,       -,       -,       -,       -,       -,-0.6,4.2,       -,4.2
 CAFÉ MOÍDO,0.27,0.06,-1.5,1.69,0.86,-0.73,-0.48,-0.16,3.58,2.14,1.7,-0.63,2.68,2.58,1.88,1.02,0.74
 CAFÉ SOLÚVEL,       -,0.48,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.48
 REFRIGERANTE E ÁGUA MINERAL,2.96,1.06,0.75,2.01,-1.39,0.5,1.97,-0.55,1.47,0.89,1.84,-0.32,0.36,1.01,0.73,1.42,0.42
 CERVEJA,-0.51,0.1,0.53,0.4,0.01,1.75,-1.02,1.55,1.46,-1.1,0.07,1.34,-0.28,       -,0.16,-0.42,0.04
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,2.61,       -,       -,1.61,       -,       -,       -,       -,       -,       -,2.36
 VINHO,1.64,1.71,       -,       -,-0.86,       -,       -,       -,       -,-0.45,       -,       -,       -,       -,       -,       -,0.33
 SUCO EM PÓ,       -,-1.28,3,       -,-3.01,       -,       -,       -,       -,-0.04,       -,       -,0.2,0.45,       -,       -,-1.23
 CHÁ MATE (ERVA MATE),       -,1.87,       -,       -,       -,       -,       -,       -,       -,1.35,       -,       -,0.9,       -,       -,       -,1.68
 ENLATADOS E CONSERVAS,1.6,-0.9,0.12,3.58,1.29,-0.83,1.54,1.03,0.91,-0.12,0.32,-0.12,1.16,0.83,3.89,0.33,0.84
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,4.62,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.62
 PALMITO EM CONSERVA,       -,       -,-2.07,       -,2.31,-0.41,       -,       -,       -,-0.48,1.94,       -,       -,       -,       -,       -,1.5
 PEPINO EM CONSERVA,       -,0.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.07
 SARDINHA EM CONSERVA,3.39,-2.26,1.45,5.52,2.3,1.57,0.51,1.73,0.82,0.34,       -,1.4,0.86,1.21,4.35,0.47,1.83
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,0.04,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.04
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.18,       -,       -,2.27,       -,       -,       -,0.48
 AZEITONA,0.42,-0.15,0.65,0.53,-0.14,-2.98,       -,0.45,0.42,0.17,-0.6,-1.43,0.85,0.51,       -,       -,-0.11
 MILHO-VERDE EM CONSERVA,-1.07,-0.87,-0.45,2.17,1.49,       -,0.86,-0.18,2.38,-0.45,0.15,-0.43,1.24,0.5,0.35,0.02,0.35
 ATUM EM CONSERVA,3.44,-0.62,       -,-1.34,0.37,-2,       -,       -,-0.48,-0.64,       -,       -,       -,       -,       -,       -,0.2
 SAL E CONDIMENTOS,2.08,1.23,1.19,1.71,0.05,1.11,1.53,-0.35,1.96,0.63,1.84,1.81,4.03,3.01,1.13,0.95,1.0
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,0.46,       -,       -,       -,       -,       -,       -,       -,0.46
 ATOMATADO,-0.28,0.06,-0.38,2,-0.28,0.72,3.92,-0.19,-0.04,0.07,-0.74,0.72,2.28,1.34,0.83,0.68,0.05
 ALHO,3.67,       -,3.12,3.01,0.21,2.1,2.34,-1.26,4.62,3.15,4.83,2.45,6,4.66,0.18,1.42,2.34
 SAL,0.33,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.77,0.45,4.14,-0.38,1.18
 COLORAU,       -,       -,       -,       -,       -,       -,       -,0.94,       -,       -,       -,       -,       -,       -,       -,       -,0.94
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,1.53,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.53
 FERMENTO,       -,-0.39,       -,       -,       -,       -,       -,       -,       -,0.35,       -,       -,       -,       -,       -,       -,0.01
 MAIONESE,1.98,4.86,0.47,-1.56,0.38,-1.4,0.84,0.79,       -,-0.94,       -,2.29,3.7,1.73,       -,       -,1.03
 VINAGRE,       -,0.64,       -,1.75,0.14,2.54,0.48,       -,1.55,       -,       -,       -,       -,       -,3.16,1.16,0.8
 CALDO CONCENTRADO,       -,1.94,       -,2.4,       -,       -,       -,0.12,0.65,       -,1.6,-0.11,       -,       -,       -,       -,1.45
 TEMPERO MISTO,       -,-0.78,0.62,-0.08,0.11,0.41,-0.26,0.51,-0.09,-0.14,-1.43,0.64,0.98,1.32,1.08,1.2,0.04
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.59,0.75,0.5,0.19,-0.18,1.14,-0.08,1.12,0.42,-0.44,0.93,0.07,0.29,1.67,-0.6,0.06,0.23
