"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
" FARINHAS, FÉCULAS E MASSAS",0.28,-0.13,-0.03,2.76,1.42,0.99,1.3,3.42,0.72,1.26,1.85,2.03,0.63,1.59,2.25,2.2,1.16
 FARINHA DE ARROZ,       -,       -,       -,2.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.99
 MACARRÃO,-0.84,-1.19,-0.89,2.09,2.27,1.51,2.69,3.61,1.18,2.09,1.46,4.25,-0.51,4.18,-0.38,2.88,1.17
 FUBÁ DE MILHO,       -,       -,       -,3.66,       -,       -,       -,10.03,       -,       -,       -,       -,       -,       -,4.65,4.32,5.75
 FLOCOS DE MILHO,       -,       -,       -,4.12,       -,0.45,       -,       -,       -,       -,       -,       -,       -,       -,-2.08,5.29,2.47
 FARINHA DE TRIGO,       -,1.16,1.99,       -,2.07,       -,       -,       -,-0.12,1.04,1.03,1.5,3.78,       -,       -,       -,1.46
 FARINHA DE MANDIOCA,0.32,       -,-1.2,2,-2.1,1.87,1.28,1.03,0.86,       -,2.46,-0.73,       -,0.85,3.17,0.1,0.84
 MASSA SEMIPREPARADA,1.07,-0.22,0.8,       -,1.81,-0.7,-1.08,2.77,-0.24,0.61,2.1,1.4,-0.23,       -,       -,       -,0.9
 MACARRÃO INSTANTÂNEO,1.42,       -,       -,       -,-0.1,3.51,       -,       -,       -,1.14,       -,0.9,0.54,-0.06,       -,       -,0.65
" TUBÉRCULOS, RAÍZES E LEGUMES",-11.85,-0.92,-13.78,-8.3,-15.96,-16.47,-11.7,-7.96,-5.19,-8.5,-9.06,-12,-3.61,-6.1,-13.39,-11.33,-11.15
 BATATA-DOCE,-12.21,       -,       -,-0.07,-7.06,       -,       -,       -,6.52,       -,-3.94,       -,       -,-12.77,       -,       -,-4.59
 BATATA-INGLESA,-17.28,-0.78,-17.24,-17.75,-23.79,-24.11,-15.38,-3.5,-5.89,-9.31,-15.86,-28.04,-4.5,-7.08,-4.7,-14.75,-15.38
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.5,       -,       -,       -,-5.67,-5.18
 MANDIOCA (AIPIM),       -,       -,1.03,-4.77,       -,-0.92,       -,       -,0.3,       -,       -,       -,-0.93,3.7,       -,       -,-0.93
 ABOBRINHA,       -,       -,       -,       -,6.7,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.7
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.13,       -,       -,       -,       -,       -,       -,-1.13
 PIMENTÃO,       -,       -,       -,       -,-2.41,-7.33,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.93
 TOMATE,-5.27,1.06,-11.12,3.74,-18.42,-13.36,-9.35,1.18,-1.2,-5.11,-6.66,-1.26,-1.67,-1.87,-12.53,-11.49,-9.35
 CEBOLA,-10.82,-1.87,-23.01,-17.44,-13.91,-24.49,-13.7,-21.28,-13.97,-12.11,-10.9,-18.83,-7.16,-10.65,-17.39,-13.7,-13.7
 CENOURA,-8.87,-9.92,-4.81,-12.07,-15.91,-24.32,-9.87,-2.26,-3.88,-12.39,-1.88,-3.3,       -,       -,       -,-4.81,-9.87
 AÇÚCARES E DERIVADOS,1.44,0.99,0.07,1.59,1.71,1.09,3.34,3.46,2.08,1.69,1.91,0.87,2,1.62,2.63,3.6,1.6
 AÇÚCAR REFINADO,5.87,5.49,       -,8.41,6.46,1.56,4.58,6.18,2.4,8.56,       -,       -,       -,-0.88,3.55,       -,5.96
 AÇÚCAR CRISTAL,       -,2.15,1.85,1.93,       -,-0.17,4.93,4.37,4,8.05,3.94,1.95,4.61,3.97,5.8,5.63,3.43
 BALAS,       -,-0.33,       -,       -,       -,0.24,       -,       -,       -,-0.69,-1.67,       -,-1.85,       -,       -,       -,-0.58
 CHOCOLATE EM BARRA E BOMBOM,-2.72,-0.13,-3.61,1.23,1.73,0,1.57,-1.33,-0.81,-0.04,1.49,-1.09,2.89,-0.91,-3.93,0.2,0.38
 SORVETE,-1.1,0.39,0.85,-1.04,-0.77,3.66,0.6,2.18,-0.1,-1.49,1.07,-1.15,-0.56,       -,       -,1.94,-0.22
 CHOCOLATE E ACHOCOLATADO EM PÓ,-0.19,1.46,-0.99,0.58,0.22,0.77,1.77,1.43,1.21,1.12,-0.06,1.97,1.32,-0.58,-2.38,0.15,0.37
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-0.97,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.97
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.23,4.23
 HORTALIÇAS E VERDURAS,-6.12,-4.14,-2.19,-2.31,-1.02,-2.11,-2.01,2.37,3.76,2.21,-4.86,0.68,-14.27,-0.99,-1.82,-3.03,-1.66
 ALFACE,-9.23,-5.75,-1.82,-2.91,2.13,0.08,-0.56,2.85,-1.06,5.79,-3.04,1.32,-18.12,-2.84,1.32,-4.85,-0.56
 COENTRO,       -,       -,       -,-3.15,       -,       -,       -,       -,8.93,       -,       -,       -,       -,       -,       -,-2.99,3.73
 COUVE,4.27,       -,-3.2,       -,-1.34,       -,       -,       -,       -,       -,       -,0.28,       -,2.41,       -,0.64,-0.66
 COUVE-FLOR,-10.53,       -,       -,       -,       -,-2.11,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-8.96
 REPOLHO,       -,-3.65,       -,       -,-5.24,       -,       -,       -,-6.24,-0.63,-11.71,       -,-11,       -,8.17,       -,-4.17
 CHEIRO-VERDE,-10.67,-3.64,-0.93,2.76,-2.63,-5.09,-1.71,2.21,4.82,3.68,-5.51,0.16,-1.7,-0.49,-6.77,       -,-1.71
 BRÓCOLIS,-1.83,-1.37,-4.11,       -,-9.03,-4.25,-5.27,       -,       -,-3.1,       -,0.15,       -,       -,       -,       -,-5.27
 FRUTAS,-5.97,-1.95,-3.77,-2.36,-1.79,-7.53,-2.04,1.4,-1.05,-5.55,-3.73,-0.76,1.11,-1.7,0.93,-2.95,-2.69
 BANANA-DA-TERRA,       -,       -,       -,-2.36,       -,       -,       -,       -,0.98,       -,       -,7.17,       -,2.25,       -,       -,1.34
 ABACAXI,-6.9,-8.19,       -,-3.8,       -,       -,-3.88,       -,       -,       -,1.02,-0.01,5.19,       -,       -,5.8,-3.88
 ABACATE,       -,       -,       -,       -,       -,       -,-3.54,       -,       -,       -,       -,       -,       -,-3.54,       -,       -,-3.54
 BANANA-D'ÁGUA,0.41,-2.89,-4.05,       -,-4.14,-4.86,       -,       -,       -,-12.14,       -,       -,0.68,       -,-4.87,       -,-4.88
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.61,       -,-6.46,       -,       -,       -,-5.85
 BANANA-PRATA,-6.88,-0.17,-8.72,0.22,1.8,-17.91,-3.15,9.86,-4.11,-11.54,-11.09,-3.5,       -,-9.86,5.12,-2.33,-3.15
 LARANJA-BAÍA,       -,-5.3,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.3
 LARANJA-LIMA,       -,       -,-1.7,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.7
 LIMÃO,4.38,       -,       -,       -,-2.61,10.28,       -,       -,       -,       -,0.07,21.93,       -,26,       -,       -,-0.01
 MAÇÃ,-1.62,-0.99,7.7,-6.26,5.97,-12.95,2.37,-4.64,2.05,3.34,-0.37,4.53,2.68,2.36,4.83,2.85,2.36
 MAMÃO,-11.12,-6.74,-3.73,-6.23,0.2,-5.52,       -,4.79,-3.56,1.47,-3.38,-7.8,-2.42,6.12,       -,-0.86,-2.77
 MANGA,-15.34,-4.46,-14.26,       -,-10.54,-10.01,       -,-1.5,3.9,-12.81,       -,-15.76,       -,       -,       -,-9.65,-10.01
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-5.34,-6.23,       -,       -,       -,       -,       -,       -,0.79,-4.77
 MELANCIA,       -,       -,-13.86,6.67,       -,2.6,-3.13,       -,-1.26,2.76,-6.36,       -,5.58,0,-10.39,       -,-3.13
 MELÃO,-0.97,       -,       -,7.72,       -,-3.96,-1.67,       -,       -,-5.71,       -,       -,       -,       -,-1.66,       -,-1.67
 PERA,       -,       -,       -,       -,6.65,       -,       -,       -,       -,       -,3.29,5.61,       -,       -,       -,       -,6.25
 TANGERINA,       -,       -,       -,       -,-13.5,       -,       -,       -,       -,-7.15,       -,       -,       -,       -,       -,       -,-12.02
 UVA,-4.24,4.79,-5.1,-5.32,4.18,0.22,0.18,0.2,0.66,-1.66,0.21,-5.27,-6.55,-7.57,0.19,-6.68,0.18
 LARANJA-PERA,-7.78,       -,-1.59,-6.56,-5.78,-4.27,-4.58,-6.15,-0.5,-4.96,-5.6,-2.09,5.56,-4.26,0.53,-14,-4.58
 MORANGO,       -,2.04,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.04
 GOIABA,       -,       -,       -,       -,       -,       -,0.09,-0.6,       -,       -,       -,       -,       -,       -,       -,2.08,0.09
 CARNES,1.91,1.6,0.49,0.44,1.82,-1.63,1.46,-1.01,1.9,1.42,0.98,2.99,0.62,0.25,1.74,2.64,1.32
 FÍGADO,       -,       -,       -,8.87,       -,       -,4.94,3.38,3.81,       -,       -,       -,       -,       -,4.36,       -,4.94
 CARNE DE PORCO,-0.01,-1.71,-1.4,-5.6,4.07,-4.61,0.7,1.68,0.73,1.22,1.06,-1.31,-0.76,-2.57,-0.13,0.57,0.7
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-1.01,       -,       -,       -,       -,       -,       -,       -,       -,-1.01
 CUPIM,       -,       -,       -,3.83,       -,       -,       -,       -,       -,       -,3.76,       -,       -,       -,       -,       -,3.79
 CONTRAFILÉ,0.92,2.39,0.98,-3.89,2.59,-0.47,1.17,-2.48,1.84,-1.02,0.43,3.65,1.66,1.46,2.57,2.06,1.17
 FILÉ-MIGNON,5.24,       -,       -,       -,       -,       -,3.06,       -,       -,0.55,       -,       -,       -,0.72,       -,       -,3.06
 CHÃ DE DENTRO,1.44,3.64,0.01,-0.59,0.71,-0.87,1.13,-3.85,2.22,2.78,1.44,5.83,3.73,-0.49,3.92,0.72,1.13
 ALCATRA,4.27,-0.48,0.39,-1.93,0.13,-1.45,1.3,-3.26,1.74,3.51,3.77,4.82,-5.09,1.08,1.38,3.52,1.3
 PATINHO,4.56,       -,-1.99,0.73,3.02,       -,2.24,0.21,       -,4.32,0.4,2.52,2.43,1.97,4.4,0.01,2.24
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,1.46,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.46
 LAGARTO COMUM,       -,1.86,       -,       -,2.47,       -,       -,       -,0.62,       -,4.53,       -,4.96,1.17,       -,       -,2.47
 MÚSCULO,-0.02,5.95,1.4,1.72,4.22,       -,3.18,       -,2.79,2.32,2.34,       -,1.88,1.3,3.19,1.82,3.18
 PÁ,       -,4.09,3.64,5.99,-0.1,       -,1.93,       -,       -,       -,       -,5.46,-1.41,0.41,1.87,-0.05,1.93
 ACÉM,-1.08,-1.39,0.82,3.38,0.39,1.29,0.23,-1.7,0.02,-1.61,2.39,2.55,-0.68,-3.5,1.99,4.59,0.23
 PEITO,       -,       -,       -,       -,       -,       -,1.46,       -,       -,       -,       -,       -,1.49,3.94,4.37,5.34,2.29
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,1.71,       -,2.44,1.18,       -,0.33,2.13,0.25,       -,       -,1.67
 COSTELA,0.9,0.98,5.69,-0.71,0.81,-3.21,1.02,-1.53,2.56,1.82,-3,4.67,0.26,-1,-1.05,3.21,1.02
 PICANHA,       -,1.27,0.53,       -,       -,-1.51,       -,2.64,       -,       -,       -,       -,       -,       -,       -,       -,0.8
 PESCADOS,-0.98,0.63,-1.78,0.09,1.7,-1.04,0.53,0.82,0.2,-2.31,0.72,-0.61,0.2,2.82,0.44,0.9,0.42
 PEIXE-ANCHOVA,       -,       -,       -,0.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.09
 PEIXE-CORVINA,-0.98,       -,       -,0.05,       -,       -,       -,       -,0.44,       -,       -,       -,       -,       -,-0.13,1.56,-0.13
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.44,       -,0.44
 PEIXE-SARDINHA,       -,0.63,       -,-0.11,       -,       -,       -,       -,-0.75,       -,       -,       -,       -,       -,       -,       -,-0.11
 CAMARÃO,-1.6,-0.57,       -,-0.52,       -,-0.93,-0.51,3.01,-1.95,-0.45,1.2,-2.09,       -,       -,-0.5,0.93,-0.52
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-1.05,       -,       -,       -,       -,       -,       -,       -,       -,-1.05
 PEIXE-CAÇÃO,       -,       -,       -,       -,1.24,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.24
 PEIXE-MERLUZA,       -,       -,0.4,0.21,0.02,       -,       -,       -,0.28,       -,1.29,       -,       -,       -,       -,       -,0.24
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,4.33,       -,       -,       -,       -,       -,       -,       -,       -,4.33
 PEIXE-PESCADA,       -,       -,       -,       -,1.7,       -,-0.16,       -,       -,       -,       -,       -,       -,       -,0.45,-0.99,0.45
 CARANGUEJO,0,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-CASTANHA,       -,       -,       -,4.31,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.31
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-0.07,       -,       -,       -,       -,       -,       -,       -,       -,-0.07
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.82,       -,       -,2.82
 PEIXE-SALMÃO,-0.98,       -,       -,       -,1.46,-1.04,       -,0.37,-1.25,       -,       -,       -,       -,       -,       -,       -,0.36
 PEIXE-TILÁPIA,       -,1.44,-2.36,-0.64,3.24,-1.08,       -,0.49,3.86,-2.65,-0.51,-0.65,-0.3,       -,       -,1.6,0.49
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-1.04,0.53,       -,       -,       -,0.72,       -,1.36,2.82,0.87,       -,0.89
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,3.34,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.34
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-1.04,0.53,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.25
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.44,       -,       -,       -,       -,0.44
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.18,       -,       -,       -,0.18
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.72,       -,       -,       -,       -,       -,0.72
 CARNES E PEIXES INDUSTRIALIZADOS,1.08,2.48,1.2,0.18,-0.01,0.85,1.33,-1.39,1.84,0.35,-1.37,0.42,1.59,1.22,-0.58,0.56,0.67
 PRESUNTO,2.38,2.17,3.16,       -,-1.5,0.32,       -,0.47,1.41,2.15,1.8,1.91,1.41,2.91,       -,1.54,0.79
 SALSICHA,       -,1.99,       -,-0.52,3.22,       -,       -,       -,       -,0.54,       -,       -,       -,2.89,       -,       -,2.12
 LINGUIÇA,-0.25,2.8,0.57,-0.05,-0.39,1.26,0.4,-3.46,-0.33,-0.1,-2.84,0.2,2.14,0.42,-0.35,-1.11,-0.05
 MORTADELA,1.57,       -,0.55,0.82,1.82,       -,       -,-1.35,       -,0.07,2.71,       -,-0.78,       -,       -,       -,1.13
 SALAME,       -,2.59,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.59
 BACALHAU,0.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.58,       -,0.63
 CARNE-SECA E DE SOL,2.35,       -,       -,0.28,       -,0.5,1.81,3.91,2.89,       -,       -,2.22,       -,       -,-0.96,1.31,1.81
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,2.31,       -,       -,       -,       -,       -,       -,       -,-0.48,-1.44,       -,       -,       -,       -,1.18
 AVES E OVOS,2.69,1.72,0.53,4,1.24,1.11,0.07,1.66,3.11,1.28,0.59,1.75,0.85,0.15,1.95,2.72,1.61
 FRANGO INTEIRO,1.55,3.06,1.71,5.08,2.88,2.38,0,2.67,3.95,4.56,-0.24,1.67,2.46,1.01,2.01,1.87,2.38
 FRANGO EM PEDAÇOS,3.79,0.86,0.87,3.96,2.55,1.15,1.32,1.15,3.53,0.61,0.68,3.62,1.78,0.32,3.27,3.79,2.19
 OVO DE GALINHA,-0.47,3.68,-1.78,1.47,-3.63,-0.85,-0.97,-0.87,0.33,-1.08,1.96,-2.91,-2.14,-2.47,0.56,2.32,-0.97
 LEITES E DERIVADOS,0.91,3.22,1.41,4.73,1.67,5.33,-0.16,1.23,1.68,4.15,3.43,3.38,3.73,2.48,1.56,0.15,2.18
 LEITE LONGA VIDA,0.6,5.87,2.23,5.28,3.8,10.35,4.61,0.57,1.39,8.15,4.72,6.56,3.55,4.61,3.65,1.91,4.03
 LEITE CONDENSADO,2.49,1.32,       -,       -,       -,       -,1.36,       -,       -,       -,       -,       -,       -,1.4,       -,       -,1.78
 LEITE EM PÓ,2,       -,0.3,3.07,2.01,       -,-0.38,2.89,4.06,1.46,0.91,0.32,1.41,2.18,1.2,1.44,2.03
 QUEIJO,0.71,-0.63,0.05,6.23,-1.45,2.18,-2.66,0.7,-0.57,2.31,4.16,0.14,5.02,2.89,0.31,-2.65,0.31
 IOGURTE E BEBIDAS LÁCTEAS,3.79,3.99,1.99,3.19,-0.36,3.32,1.78,-1.12,1.85,-0.8,0.45,0.51,3.79,0.23,-0.39,-0.52,1.35
 REQUEIJÃO,-1.11,       -,2.36,       -,4.53,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.03
 MANTEIGA,-1.61,       -,-0.13,3.24,       -,-0.49,-4.54,-0.08,0.83,       -,-0.19,1.53,       -,-1,       -,0.9,-0.26
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.11,       -,       -,       -,       -,       -,       -,-0.11
 PANIFICADOS,0.79,0.55,0.97,2.35,1.44,0.95,-0.01,1.37,1.84,1.46,-0.03,-0.35,3.77,1.18,0.61,0.85,1.16
 BISCOITO,1.57,0.24,1.33,2.89,0.46,0.91,-1.69,-0.8,1.41,3.4,1.69,-0.02,5.32,-1.47,1.39,0.91,1.05
 PÃO FRANCÊS,-0.53,-0.81,0.5,2.68,0.87,-0.38,0.62,1.79,2.14,2.21,-0.93,-1.14,2.01,1.81,0.56,0.53,0.77
 PÃO DOCE,5.94,4,3.92,       -,2.62,       -,       -,       -,0.63,0.38,       -,0.19,4.73,       -,       -,       -,2.82
 PÃO DE FORMA,0.71,3.74,3.03,       -,3.7,4.67,       -,       -,       -,0.07,       -,2.6,       -,       -,       -,       -,2.69
 BOLO,1.65,2.69,1.4,-2.12,3.78,7.58,2.28,6.76,2.19,-3.86,3.54,1.15,8.75,3.14,-0.83,3.92,2.28
 PÃO DE QUEIJO,       -,       -,-0.54,       -,       -,-3.53,       -,       -,       -,       -,-2.34,       -,       -,       -,       -,       -,-1.55
 ÓLEOS E GORDURAS,2.09,-0.49,0.88,1.43,1.1,1.02,-0.24,2,0.38,0.54,1,0.84,1.6,2.24,2.17,1.09,0.94
 ÓLEO DE SOJA,3.38,-0.8,1.18,1.15,1.2,1.06,-1.26,1.01,-1.32,-0.31,0.69,0.66,1.54,2.61,2.92,0.35,0.78
 AZEITE DE OLIVA,0.29,       -,       -,       -,1.02,0.92,1.3,       -,2.82,0.69,       -,1.47,0.99,-0.16,       -,       -,0.99
 MARGARINA,1.27,0.58,-0.59,1.9,0.88,       -,1.45,3.77,3.37,3.39,2.87,       -,2.39,       -,-0.23,2.47,1.45
 BEBIDAS E INFUSÕES,0.58,0.91,0.97,1.67,0.71,1.32,-1.07,2.4,2.31,1.32,1.73,2.83,2.21,1.29,0.3,0.81,0.9
 SUCO DE FRUTAS,0.02,0.79,0.44,-0.12,-0.88,-1.09,       -,0.12,       -,0.25,-0.58,2.07,1.46,       -,       -,       -,-0.23
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,0,-0.03,0.1,       -,       -,       -,       -,2.79,-1.03,       -,0.01
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-3,       -,       -,       -,       -,       -,       -,3.63,-2.93,       -,-2.92
 CAFÉ MOÍDO,3.76,2.87,1.08,5.84,3.08,3.11,4.41,6.18,3.39,2.05,9.28,6.79,5.03,0.43,2.37,3.33,3.41
 CAFÉ SOLÚVEL,       -,-1.74,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.74
 REFRIGERANTE E ÁGUA MINERAL,-1.03,-0.04,0.61,1.03,0.15,1.82,-1.13,0.81,1,3.11,-0.82,0.83,1.79,0.86,-0.51,-0.18,0.43
 CERVEJA,0.17,2.27,0.97,0.42,0.8,1,3.42,1.98,3.37,0,0.4,1.59,0.46,       -,1.78,0.57,1.03
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,-1.07,       -,       -,-0.45,       -,       -,       -,       -,       -,       -,-0.92
 VINHO,0.9,0.1,       -,       -,-0.14,       -,       -,       -,       -,-3.47,       -,       -,       -,       -,       -,       -,-0.2
 SUCO EM PÓ,       -,1.95,3.2,       -,-0.58,       -,       -,       -,       -,2.48,       -,       -,2.83,1.82,       -,       -,1.0
 CHÁ MATE (ERVA MATE),       -,0.55,       -,       -,       -,       -,       -,       -,       -,3.71,       -,       -,2.29,       -,       -,       -,1.4
 ENLATADOS E CONSERVAS,2.22,0.7,0.09,-0.39,0.86,1.79,0.23,2.82,1.54,-0.18,1.58,-0.4,0.73,-1.08,3.85,1.74,0.83
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,-1.33,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.33
 PALMITO EM CONSERVA,       -,       -,-0.75,       -,-0.64,0.07,       -,       -,       -,0.29,3.47,       -,       -,       -,       -,       -,-0.21
 PEPINO EM CONSERVA,       -,1.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.41
 SARDINHA EM CONSERVA,2.78,-0.41,0.88,-0.6,3.57,5.04,0.63,1.94,3.99,-1.98,       -,1.85,3.91,0.54,4.25,3,1.83
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,1.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.12
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.99,       -,       -,-1.32,       -,       -,       -,-1.04
 AZEITONA,1.35,0.95,1.28,2.86,0.26,1.27,       -,5.66,1.35,0.97,0.82,-0.41,-3.95,-3.95,       -,       -,0.83
 MILHO-VERDE EM CONSERVA,3.6,0.95,-1.28,-2.14,1.2,       -,0.7,2.39,-0.54,2.05,0.38,-3.23,2.78,-0.57,0.71,-1.15,0.7
 ATUM EM CONSERVA,1.42,1.02,       -,0,0.51,-1.57,       -,       -,-0.28,-1.89,       -,       -,       -,       -,       -,       -,0.14
 SAL E CONDIMENTOS,0.12,0.86,0.97,-0.08,-0.18,-0.16,-0.28,-0.61,-0.25,-0.8,3.69,-2.42,0.37,-0.41,1.05,-0.23,0.1
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-4.22,       -,       -,       -,       -,       -,       -,       -,-4.22
 ATOMATADO,0.84,1.31,1.81,2.17,-1.59,1.21,1.84,-2.67,0.08,-0.59,3.55,2.4,1.83,0.76,-2.53,-0.67,0.08
 ALHO,-0.47,       -,0.59,-2.45,-1.03,-1.14,-0.42,1.51,-0.44,-0.83,4.35,-4.9,-0.86,-1.88,2.6,0.78,-0.42
 SAL,3.04,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.07,0.94,4.75,0.7,2.88
 COLORAU,       -,       -,       -,       -,       -,       -,       -,-1.45,       -,       -,       -,       -,       -,       -,       -,       -,-1.45
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-0.46,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.46
 FERMENTO,       -,0.75,       -,       -,       -,       -,       -,       -,       -,-0.58,       -,       -,       -,       -,       -,       -,0.03
 MAIONESE,-0.72,1.12,-0.22,-2.25,3.4,0.03,-3.1,-2.3,       -,0.15,       -,0.28,4.22,3.49,       -,       -,1.23
 VINAGRE,       -,0.07,       -,-0.37,-1.36,0.9,-1.6,       -,-0.38,       -,       -,       -,       -,       -,-0.39,-1.35,-0.79
 CALDO CONCENTRADO,       -,0.16,       -,-0.63,       -,       -,       -,-4.34,2.36,       -,3.75,0.83,       -,       -,       -,       -,0.59
 TEMPERO MISTO,       -,0.44,1.27,1.71,1.31,-1.59,0.01,-1.52,2.17,-2.61,2.17,-1.15,-1.79,0.75,-0.07,-2.13,0.55
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.71,1.29,0.5,-0.28,1.05,0.42,0.07,-0.29,0.59,0.08,1.41,-0.43,0.04,-0.27,-1.18,0.24,0.66
