"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 PIMENTÃO,       -,       -,       -,       -,7.64,3.38,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.22
 TOMATE,12.07,-0.88,15.01,-12.18,10.18,15.17,5.69,1.37,-14.63,18.18,7.22,0.79,10.54,3.41,-12.05,-10.23,5.69
 CEBOLA,-1.25,1.5,-2.37,-24.82,-16.38,-3.74,-6.44,2.41,0.34,-4.09,-7,3.59,-17.37,-2.04,-0.59,3.49,-6.43
 CENOURA,8.7,0.83,5.97,-2.05,-7.12,-3.2,7.13,1.97,-7.6,12.96,-3.16,-2.1,       -,       -,       -,-1.56,0.49
 AÇÚCARES E DERIVADOS,3.09,1.2,5.51,2.68,1.71,3.52,-1.24,1.01,1.57,1.29,4.83,4.64,4.04,4.13,4.02,0.53,2.26
 AÇÚCAR REFINADO,4.35,1.6,       -,4.47,5.1,3.13,-2.23,6.63,8.98,3.21,       -,       -,       -,8.59,4.69,       -,4.29
 AÇÚCAR CRISTAL,       -,0.58,11.1,3.97,       -,11.06,-1.9,-1.32,-0.16,6.12,10.27,7.9,10.59,5,5.15,-0.07,5.07
 BALAS,       -,0.22,       -,       -,       -,-0.2,       -,       -,       -,-1.46,0.38,       -,3.35,       -,       -,       -,-0.28
 CHOCOLATE EM BARRA E BOMBOM,4.47,0.53,-0.58,0.71,0.33,2.03,-2.04,-1.27,2.56,-0.24,4.11,0.96,0.22,-0.71,-0.44,0.08,0.56
 SORVETE,2.61,3.34,3.02,2.22,2.55,3.97,2.7,0.74,1.12,1.32,1.04,2.58,-1.29,       -,       -,-2.22,2.36
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.03,0.25,1.44,0.97,-0.61,-2.1,-2.17,1.32,1.13,0.59,-1.11,1.89,-0.18,0.75,3.02,2.39,0.06
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-2.56,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.56
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.91,5.91
 HORTALIÇAS E VERDURAS,-2.76,-2.74,0.08,-11.01,0.57,-1.99,0.97,0.27,-2.52,-2.97,1.58,-0.64,-4.28,1.7,-2.57,5.81,-0.97
 ALFACE,-3.24,-3.18,-2.2,-9.63,3.23,-6.36,0.11,-2.13,-5.04,-3.27,4.37,1.17,-3.38,-0.91,-6.72,7.26,0.11
 COENTRO,       -,       -,       -,-10.23,       -,       -,       -,       -,-1.01,       -,       -,       -,       -,       -,       -,5.04,-3.89
 COUVE,-4.57,       -,1.81,       -,-0.35,       -,       -,       -,       -,       -,       -,-2.51,       -,0.02,       -,5.16,-0.61
 COUVE-FLOR,-14.2,       -,       -,       -,       -,-1.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-11.66
 REPOLHO,       -,3.51,       -,       -,-17.41,       -,       -,       -,2.63,-7.82,-8.93,       -,-11.69,       -,0.91,       -,-9.99
 CHEIRO-VERDE,5.08,-3.07,2.46,-16.91,7.67,1.8,1.78,1.01,-4,0.95,0.75,-2.72,1.79,4.26,-2.4,       -,1.78
 BRÓCOLIS,1.07,-6,7.87,       -,-0.05,7.54,-1.87,       -,       -,-0.49,       -,-0.13,       -,       -,       -,       -,-0.35
 FRUTAS,8.3,-2.31,12.3,3.16,6.53,4.45,3.72,3.46,1.47,4.85,4.84,9.06,4.58,2.8,3.31,3.61,5.39
 BANANA-DA-TERRA,       -,       -,       -,4.96,       -,       -,       -,       -,2.86,       -,       -,2.78,       -,-0.63,       -,       -,3.05
 ABACAXI,-1.96,-0.63,       -,-0.42,       -,       -,-3.69,       -,       -,       -,8.41,2.74,2.39,       -,       -,-4.49,0.15
 ABACATE,       -,       -,       -,       -,       -,       -,3.72,       -,       -,       -,       -,       -,       -,20.76,       -,       -,6.45
 BANANA-D'ÁGUA,-2.75,-5.69,-7.95,       -,-0.53,-1.52,       -,       -,       -,2.76,       -,       -,-1.26,       -,-1.53,       -,-1.53
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.99,       -,5.45,       -,       -,       -,5.84
 BANANA-PRATA,15.65,-0.64,21.38,3.04,8.86,11.91,6.06,15.66,0.98,6.44,11.75,17.81,       -,-2.08,3.33,2.31,9.3
 LARANJA-BAÍA,       -,-4.62,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.62
 LARANJA-LIMA,       -,       -,21.59,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,21.59
 LIMÃO,-6.25,       -,       -,       -,4.66,-6.32,       -,       -,       -,       -,3.81,30.6,       -,11.61,       -,       -,2.83
 MAÇÃ,4.49,-1.74,2.87,-1.71,1.03,4.96,0.36,-0.76,4.22,0.57,-1.98,-0.08,8.78,8.13,2.02,-0.19,1.4
 MAMÃO,16.62,6.69,31.26,6.52,16.93,18.51,       -,6.64,4.33,19.26,16.62,29.14,25.81,3.45,       -,12.28,15.94
 MANGA,7.23,0.32,10.44,       -,-4.98,-4.26,       -,-7.52,-1.84,3.28,       -,1.45,       -,       -,       -,1.59,-0.85
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-17.64,2.78,       -,       -,       -,       -,       -,       -,-0.61,-4.79
 MELANCIA,       -,       -,1.9,-0.29,       -,2.54,2.53,       -,2.82,6.97,-2.18,       -,6.35,-3.34,2.6,       -,2.53
 MELÃO,9.89,       -,       -,6.47,       -,-5.17,1.84,       -,       -,-3.61,       -,       -,       -,       -,15.41,       -,2.76
 PERA,       -,       -,       -,       -,18.77,       -,       -,       -,       -,       -,0.24,4.59,       -,       -,       -,       -,16.44
 TANGERINA,       -,       -,       -,       -,15.17,       -,       -,       -,       -,4.85,       -,       -,       -,       -,       -,       -,12.65
 UVA,2.77,-8.67,0.28,7.34,9.22,3.66,3.63,-1.72,3.46,-0.39,3.65,0.6,3.1,0.15,3.64,7.79,3.64
 LARANJA-PERA,13.26,       -,16.37,5.71,6.31,2.47,7.56,1.48,-9.67,14.34,6.39,12.95,2.56,-0.55,-2.49,12.81,7.56
 MORANGO,       -,-7.27,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.27
 GOIABA,       -,       -,       -,       -,       -,       -,3.72,3.73,       -,       -,       -,       -,       -,       -,       -,0.85,3.2
 CARNES,0.23,0.55,0.47,-1.58,-1.14,-0.21,-1.17,2.28,0.86,1.02,-1.89,0.66,0.08,-0.76,0.08,-0.16,-0.21
 FÍGADO,       -,       -,       -,-1.39,       -,       -,-0.07,2.95,0.04,       -,       -,       -,       -,       -,-1.37,       -,-0.07
 CARNE DE PORCO,0.08,1.02,2.16,-2.24,0.45,1.92,0.64,3.78,-3.79,2.17,-2.39,0.85,0.48,0.25,-1.28,-1.55,0.75
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,2.29,       -,       -,       -,       -,       -,       -,       -,       -,2.29
 CUPIM,       -,       -,       -,-4.04,       -,       -,       -,       -,       -,       -,-4.41,       -,       -,       -,       -,       -,-4.23
 CONTRAFILÉ,5.33,1.42,0.8,-1.98,-0.53,-0.57,0.63,1,1.43,4.51,-2.24,1.45,1.12,-3.13,3.21,-1.81,0.63
 FILÉ-MIGNON,-2.5,       -,       -,       -,       -,       -,-0.35,       -,       -,2.73,       -,       -,       -,-1.16,       -,       -,-0.35
 CHÃ DE DENTRO,-0.96,-0.4,-1.21,-0.65,-2,-2.09,0,3.44,2.02,-1.49,-3.78,2,3.12,1.31,-0.92,-0.75,-0.67
 ALCATRA,-1,0.21,-1.07,0.97,-1.98,0.1,0.25,1.3,1.75,-0.9,-0.34,0.56,0.19,0.25,-0.38,-1.3,-0.53
 PATINHO,0.42,       -,0.46,-1.15,-4.71,       -,-3.84,1.75,       -,2.02,-0.18,2.12,-1.61,-1,1.54,0.49,-1.95
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-1.17,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.17
 LAGARTO COMUM,       -,-0.52,       -,       -,0.59,       -,       -,       -,-0.2,       -,-2.62,       -,0.09,-0.49,       -,       -,-0.08
 MÚSCULO,-0.33,-2.34,-0.28,-2.83,-4.27,       -,-4.84,       -,-0.13,-3.04,-1.47,       -,-2.45,-3.98,-2.42,1.34,-2.42
 PÁ,       -,0.07,2.13,-2.64,0.78,       -,-1.73,       -,       -,       -,       -,-1.74,-0.84,0.01,0.61,0.74,0.11
 ACÉM,-0.53,2.02,1.49,-3.99,2.55,-1.98,-3.03,1.32,1.94,3.11,-1.15,-0.62,-1.76,1.39,-0.65,0.43,1.04
 PEITO,       -,       -,       -,       -,       -,       -,-1.17,       -,       -,       -,       -,       -,-2.47,2.14,0.58,0.11,-0.85
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-2.08,       -,-0.58,-3.21,       -,0.03,-0.92,-0.76,       -,       -,-1.71
 COSTELA,-0.47,2.38,-1.55,-1.18,-3.66,-0.65,-1.8,4.59,1.82,0.35,-0.22,0.32,0.5,1.09,-1.93,0.33,-0.25
 PICANHA,       -,-2.46,-4.04,       -,       -,1.2,       -,-1.74,       -,       -,       -,       -,       -,       -,       -,       -,-1.98
 PESCADOS,1.4,-0.44,0.67,-1.03,0.95,0.92,0.36,0.27,-0.28,-1.42,1.22,1.63,0.7,-0.66,-0.82,-0.66,0.24
 PEIXE-ANCHOVA,       -,       -,       -,-1.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.03
 PEIXE-CORVINA,3.05,       -,       -,-4.29,       -,       -,       -,       -,-0.98,       -,       -,       -,       -,       -,-1.43,-1.75,0.11
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.82,       -,-0.82
 PEIXE-SARDINHA,       -,-0.44,       -,-1.03,       -,       -,       -,       -,-1.32,       -,       -,       -,       -,       -,       -,       -,-0.94
 CAMARÃO,-1.63,-1.62,       -,-1.6,       -,-3.97,-1.57,-2.5,-0.92,-2.34,-0.31,-0.03,       -,       -,-1.58,-1.59,-1.6
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,0.55,       -,       -,       -,       -,       -,       -,       -,       -,0.55
 PEIXE-CAÇÃO,       -,       -,       -,       -,0.64,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.64
 PEIXE-MERLUZA,       -,       -,2.05,0.68,1.74,       -,       -,       -,-0.29,       -,4.08,       -,       -,       -,       -,       -,1.67
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,0.27,       -,       -,       -,       -,       -,       -,       -,       -,0.27
 PEIXE-PESCADA,       -,       -,       -,       -,0.95,       -,2.32,       -,       -,       -,       -,       -,       -,       -,1.84,1.83,1.83
 CARANGUEJO,0,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-CASTANHA,       -,       -,       -,1.59,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.59
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-0.78,       -,       -,       -,       -,       -,       -,       -,       -,-0.78
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.59,       -,       -,-1.59
 PEIXE-SALMÃO,1.56,       -,       -,       -,1.52,0.92,       -,0,3.13,       -,       -,       -,       -,       -,       -,       -,1.56
 PEIXE-TILÁPIA,       -,0.34,0.28,0.35,0.22,2.48,       -,0.69,1.35,-1.25,-1.39,3.4,0.85,       -,       -,1.15,0.34
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,0.92,-1.37,       -,       -,       -,1.22,       -,0.23,-0.41,-2.31,       -,-1.37
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,0.36,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.36
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,0.92,0.36,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.46
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.45,       -,       -,       -,       -,1.45
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.85,       -,       -,       -,0.85
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.22,       -,       -,       -,       -,       -,1.22
 CARNES E PEIXES INDUSTRIALIZADOS,1.18,0.26,-0.58,0.62,2.31,1.3,-1.62,-0.12,-1.48,1.12,1.77,-2.66,0.85,1.36,-1.21,0.94,0.76
 PRESUNTO,1.74,0.51,-0.89,       -,2.55,-0.19,       -,0.11,1.23,0.1,1.24,-0.8,1.68,-0.23,       -,2.87,1.22
 SALSICHA,       -,1.63,       -,5.06,1.06,       -,       -,       -,       -,2.15,       -,       -,       -,3.02,       -,       -,1.78
 LINGUIÇA,1.16,-0.4,-0.83,1.7,2.43,2.88,-3.37,-1.38,-0.39,1.06,2.05,-3.35,0.96,1.16,-0.57,0.95,0.95
 MORTADELA,2.78,       -,-1.51,1.47,2.5,       -,       -,3.02,       -,1.76,0.9,       -,-0.73,       -,       -,       -,1.76
 SALAME,       -,0.4,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.4
 BACALHAU,1.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.21,       -,0.86
 CARNE-SECA E DE SOL,-0.4,       -,       -,-0.55,       -,-0.67,-0.72,1.6,-2.29,       -,       -,-1.51,       -,       -,-2.29,0.63,-1.15
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,2.69,       -,       -,       -,       -,       -,       -,       -,1.77,0.07,       -,       -,       -,       -,2.1
 AVES E OVOS,6.81,2.21,2.29,5.89,3.17,4.26,3.52,3.68,4.17,4.43,3.83,3.95,5.09,6.21,5.43,4.26,3.99
 FRANGO INTEIRO,6.31,5.05,4.51,4.83,2.8,4.53,4.5,2.72,6.13,2.83,4.52,6.56,7.43,6.45,6.65,5.12,4.5
 FRANGO EM PEDAÇOS,7.24,1.92,1.91,7.07,3.98,4.71,3.3,5.74,3.65,5.96,3.56,5.04,6.04,7.19,3.84,4.5,4.42
 OVO DE GALINHA,5.42,1.5,0.46,6.61,0.85,3.11,0.19,4.23,0.92,0.79,3.37,-3.1,1.37,4.82,0.54,1.94,2.0
 LEITES E DERIVADOS,1.98,0.96,2,1.25,2.77,1.16,-2.21,1.58,1.26,-0.3,0.05,0.62,1.65,2.08,0.16,1.93,1.58
 LEITE LONGA VIDA,2.94,-0.53,1.13,2.23,2.43,0.45,-1.51,-0.28,1.46,0.08,-0.17,-1.2,1.23,4.55,2.4,-0.5,1.35
 LEITE CONDENSADO,-2.44,-2.53,       -,       -,       -,       -,-6.75,       -,       -,       -,       -,       -,       -,0.83,       -,       -,-3.32
 LEITE EM PÓ,1.36,       -,1.02,-2.06,-0.2,       -,-2.49,0.83,-0.12,0.34,3.32,0.38,-1.35,0.1,-0.78,2.21,-0.25
 QUEIJO,2.44,3.92,3.55,3.22,4.07,1.73,2.32,5.04,2.09,-0.71,-1.16,2.95,2.64,0.65,-3.47,3.67,2.89
 IOGURTE E BEBIDAS LÁCTEAS,1.15,1.21,2.51,3.74,1.71,2.24,-1.23,5.43,3.01,-1.75,3.14,3.67,4.03,2.56,6.33,2.37,1.64
 REQUEIJÃO,1.67,       -,3.43,       -,3.07,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.86
 MANTEIGA,-0.17,       -,1,-2.53,       -,0.59,-5.14,2.95,1.64,       -,0.27,2.08,       -,1.42,       -,1.83,0.03
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.48,       -,       -,       -,       -,       -,       -,0.48
 PANIFICADOS,0.59,0.19,-0.46,0.03,-2.79,1.29,-1.14,-0.81,-1.54,-1.05,3.34,0.33,-1.01,0.92,1.57,0.7,-0.86
 BISCOITO,-0.39,-0.88,1.53,0.67,-1.29,2.99,-3.83,-0.1,1.65,-1.17,3.66,-0.87,-0.19,2.65,3.09,0.48,-0.11
 PÃO FRANCÊS,1.05,0.45,-2.81,-0.8,-5.16,-0.3,-0.03,-1.23,-3.05,-3.55,3.83,0.63,-0.85,0.48,1.58,0.88,-2.0
 PÃO DOCE,-0.85,1.2,0.84,       -,-2.48,       -,       -,       -,-1.56,2.92,       -,1.44,-2.21,       -,       -,       -,-0.73
 PÃO DE FORMA,3.46,0.36,-3.29,       -,2.96,1.85,       -,       -,       -,-0.03,       -,3.07,       -,       -,       -,       -,1.71
 BOLO,-1.31,1.54,2.06,3.78,-0.54,-1.23,1.63,0.02,-2.38,3.46,-0.01,-0.14,-3.12,-0.1,-1.7,-0.06,0.41
 PÃO DE QUEIJO,       -,       -,6.23,       -,       -,7.11,       -,       -,       -,       -,3.08,       -,       -,       -,       -,       -,5.46
 ÓLEOS E GORDURAS,1.18,-0.7,2.16,1.25,0.44,0.94,-1.7,1.95,0.52,-0.05,0.52,2.87,2.74,0.96,-0.35,1.38,0.63
 ÓLEO DE SOJA,0.96,-1.18,2.06,-0.35,0.78,0.34,-0.94,1.66,0.12,-1.74,0.1,2.92,2.99,0.67,-0.28,0.26,0.44
 AZEITE DE OLIVA,0.53,       -,       -,       -,-1.86,2.32,-3.78,       -,-0.7,3.45,       -,2.68,2.74,2.94,       -,       -,-0.49
 MARGARINA,2.26,0.83,2.62,3.91,1.71,       -,-1.86,2.42,2.33,2.76,2.98,       -,1.93,       -,-0.57,3.35,1.93
 BEBIDAS E INFUSÕES,1.97,-0.23,1.02,2.78,1.89,1.41,-1.68,2.37,3.39,1.62,3.75,3.52,2.58,5.81,1.07,3.08,1.48
 SUCO DE FRUTAS,-0.37,-0.32,1,0.46,0.29,-0.97,       -,-0.61,       -,-0.11,2.17,0.6,0.27,       -,       -,       -,0.11
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,0.64,1.37,-0.01,       -,       -,       -,       -,4.92,0.63,       -,0.64
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-3.45,       -,       -,       -,       -,       -,       -,10.35,-3.27,       -,-3.27
 CAFÉ MOÍDO,7.23,5.22,2.67,10.19,4.73,6.22,2.43,7.69,7.1,3.58,9.1,10.1,8.82,7.47,3.88,8.95,5.5
 CAFÉ SOLÚVEL,       -,1.04,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.04
 REFRIGERANTE E ÁGUA MINERAL,1.07,-0.5,1.41,0.97,2.06,0.21,-1,-0.77,1.06,0.7,1.77,-0.21,0.97,3.98,-0.14,0.49,1.04
 CERVEJA,0.42,-0.35,-0.68,1.32,0.09,-0.01,0.74,2.21,2.14,2.02,2.35,1.05,0.35,       -,0.07,2.46,0.51
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,-1.68,       -,       -,1.46,       -,       -,       -,       -,       -,       -,-0.87
 VINHO,0.42,-1.53,       -,       -,1.51,       -,       -,       -,       -,0.87,       -,       -,       -,       -,       -,       -,0.5
 SUCO EM PÓ,       -,0.78,0.94,       -,1.62,       -,       -,       -,       -,1.58,       -,       -,0.33,2.42,       -,       -,1.35
 CHÁ MATE (ERVA MATE),       -,-3.03,       -,       -,       -,       -,       -,       -,       -,-0.03,       -,       -,-0.5,       -,       -,       -,-2.13
 ENLATADOS E CONSERVAS,-0.45,0.25,0.89,2.42,1.22,-0.75,-3.22,0.21,1.21,0.18,-1.52,1.52,0.16,1.1,0.66,1.21,0.48
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,-2.52,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.52
 PALMITO EM CONSERVA,       -,       -,1.61,       -,1.58,3.14,       -,       -,       -,-0.36,-0.59,       -,       -,       -,       -,       -,1.26
 PEPINO EM CONSERVA,       -,1.17,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.17
 SARDINHA EM CONSERVA,-2.03,0.14,-0.85,4.44,-0.91,-1.08,-4.32,0.31,1.61,-1.1,       -,1.18,2.17,1.95,0.67,1.1,-0.09
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,-3.58,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.58
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.23,       -,       -,1.78,       -,       -,       -,2.16
 AZEITONA,1.63,0.38,1.03,1.22,1.71,-2.88,       -,1.47,-2.28,1,-2.67,0.64,-1.61,0.35,       -,       -,0.65
 MILHO-VERDE EM CONSERVA,-1.41,-0.62,1.91,-2.06,2.72,       -,-2.51,-1.26,1.69,0.73,0.37,3.01,-0.48,0.33,0.6,1.48,0.6
 ATUM EM CONSERVA,-0.33,-0.01,       -,0.1,1.6,0.43,       -,       -,2.36,-0.69,       -,       -,       -,       -,       -,       -,0.8
 SAL E CONDIMENTOS,0.66,-0.05,0.8,0.93,1.44,-1.83,0.75,1.32,0.16,1.72,0.22,1.97,-0.46,0.71,3.16,1.5,0.93
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-1.26,       -,       -,       -,       -,       -,       -,       -,-1.26
 ATOMATADO,-0.46,-1.57,0.37,1.67,0.35,-0.35,1.16,1.29,2.89,0.14,1.65,-0.28,1.21,1.47,-0.86,1.16,0.31
 ALHO,1.31,       -,0.79,-1.25,2.77,-5.82,1.27,1.52,-2.53,-0.31,-0.48,2.81,-2.71,-0.02,5.84,1.58,0.93
 SAL,0.94,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.83,2.1,0.64,2.57,0.77
 COLORAU,       -,       -,       -,       -,       -,       -,       -,-0.78,       -,       -,       -,       -,       -,       -,       -,       -,-0.78
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,-1.55,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.55
 FERMENTO,       -,-0.27,       -,       -,       -,       -,       -,       -,       -,0.08,       -,       -,       -,       -,       -,       -,-0.08
 MAIONESE,0.4,1.34,2.85,2.99,0.55,1,-3.18,3.26,       -,5.68,       -,3.04,1.23,0.16,       -,       -,1.8
 VINAGRE,       -,-1.19,       -,1.1,2.79,2.84,0.19,       -,-0.31,       -,       -,       -,       -,       -,3.42,2.87,1.39
 CALDO CONCENTRADO,       -,2.84,       -,1.09,       -,       -,       -,0.51,2.39,       -,-2.25,2.75,       -,       -,       -,       -,1.43
 TEMPERO MISTO,       -,0.19,-0.17,1.98,1.47,-0.37,1.93,1.48,2.57,4.64,1.25,-0.22,2.39,2.01,2.68,-0.83,1.55
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.34,0.66,0.06,0.02,0.71,0.62,1.52,0.19,0.57,1.06,0.03,0.95,0.86,0.19,1.13,0.66,0.59
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.34,0.66,0.06,0.02,0.71,0.62,1.52,0.19,0.57,1.06,0.03,0.95,0.86,0.19,1.13,0.66,0.59
