"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 CHEIRO-VERDE,-2.33,1.68,-2.32,-0.13,1.21,-0.73,0.11,4.2,-0.04,-3.3,-4.39,-3.36,0.12,4.01,-1.33,0.0,0.11
 BRÓCOLIS,-7.76,4.71,-0.9,0.0,-3.11,5.8,0.16,0.0,0.0,13.0,0.0,-0.42,0.0,0.0,0.0,0.0,0.16
 FRUTAS,-4.15,-1.36,-0.39,1.18,-1.04,4.52,-2.91,2.24,3.79,1.24,7.01,0.78,-0.85,-1.37,1.08,3.3,-0.01
 BANANA-DA-TERRA,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,-0.32,0.0,0.0,41.86,0.0,-1.93,0.0,0.0,3.52
 ABACAXI,-2.7,4.76,0.0,3.44,0.0,0.0,0.2,0.0,0.0,0.0,-0.82,-14.53,-1.2,0.0,0.0,-1.83,0.2
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,-10.46,0.0,0.0,-10.45
 BANANA-D'ÁGUA,-15.37,-2.81,-10.27,0.0,-13.3,0.56,0.0,0.0,0.0,-4.44,0.0,0.0,-3.91,0.0,-3.89,0.0,-9.4
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.04,0.0,6.89,0.0,0.0,0.0,9.2
 BANANA-PRATA,-8.75,1.95,-8.7,3.41,4.75,-2.12,-1.22,0.63,2.46,-3.62,7.0,-16.6,0.0,8.56,6.12,-2.2,-1.22
 LARANJA-BAÍA,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71
 LARANJA-LIMA,0.0,0.0,-5.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.21
 LIMÃO,3.89,0.0,0.0,0.0,-7.78,3.38,0.0,0.0,0.0,0.0,4.16,8.3,0.0,-8.61,0.0,0.0,-4.56
 MAÇÃ,-14.54,-10.38,-5.87,-5.83,-11.76,-5.22,-9.72,-8.93,-4.23,-14.32,0.17,-16.6,-16.44,-9.73,-9.81,-1.67,-9.73
 MAMÃO,16.59,11.7,41.26,4.34,20.36,29.24,0.0,9.1,18.49,25.45,42.18,41.18,27.41,-5.05,0.0,8.57,21.27
 MANGA,23.1,6.74,38.47,0.0,29.26,28.53,0.0,28.63,28.19,34.55,0.0,28.04,0.0,0.0,0.0,15.4,28.53
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,5.69,3.61
 MELANCIA,0.0,0.0,-1.88,11.79,0.0,3.24,1.29,0.0,3.92,-7.33,5.59,0.0,0.63,3.47,1.3,0.0,1.29
 MELÃO,-15.61,0.0,0.0,-4.3,0.0,4.15,-1.66,0.0,0.0,9.46,0.0,0.0,0.0,0.0,-1.65,0.0,-1.66
 PERA,0.0,0.0,0.0,0.0,-8.26,0.0,0.0,0.0,0.0,0.0,-1.28,-12.29,0.0,0.0,0.0,0.0,-7.73
 TANGERINA,0.0,0.0,0.0,0.0,-1.04,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,-0.49
 UVA,1.44,7.43,-3.21,-2.11,4.85,2.65,2.62,-4.34,2.51,2.47,2.64,-0.98,5.98,6.56,2.63,5.36,2.62
 LARANJA-PERA,-4.18,0.0,-1.17,5.54,-13.35,4.7,-4.17,15.75,6.72,0.77,13.2,-2.25,1.06,-3.42,-0.67,23.25,-4.17
 MORANGO,0.0,-17.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.37
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,2.41,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.04,2.41
 CARNES,1.67,2.42,0.5,1.45,0.18,2.06,1.12,1.44,0.87,1.82,1.54,0.32,-0.6,1.92,-4.22,0.28,0.85
 FÍGADO,0.0,0.0,0.0,-1.73,0.0,0.0,-1.97,-4.95,-0.43,0.0,0.0,0.0,0.0,0.0,-3.77,0.0,-1.97
 CARNE DE PORCO,-4.52,-2.26,-2.8,0.51,-1.95,1.2,-2.19,1.61,-2.86,-1.67,-0.32,-4.23,-4.39,-1.74,-7.76,-0.98,-2.19
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44
 CUPIM,0.0,0.0,0.0,-1.66,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.11
 CONTRAFILÉ,3.42,3.34,-0.11,0.49,-0.9,3.17,1.04,0.06,2.28,6.51,2.43,0.34,2.6,-0.42,-7.13,1.67,1.04
 FILÉ-MIGNON,1.06,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,1.65,0.0,0.0,0.0,0.46,0.0,0.0,1.28
 CHÃ DE DENTRO,1.57,2.59,0.64,1.01,-1.95,2.77,0.28,3.09,0.61,2.12,1.86,0.8,0.27,2.67,-6.44,1.03,0.29
 ALCATRA,-0.23,1.77,0.68,5.53,-0.3,1.05,0.46,3.92,0.22,-1.86,3.72,1.67,1.77,5.32,-1.58,-0.49,0.46
 PATINHO,2.96,0.0,3.1,3.25,2.42,0.0,2.2,0.89,0.0,4.46,0.44,0.59,1.12,5.81,-5.14,-3.06,2.21
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12
 LAGARTO COMUM,0.0,3.54,0.0,0.0,0.28,0.0,0.0,0.0,3.52,0.0,-0.64,0.0,0.68,3.0,0.0,0.0,1.17
 MÚSCULO,3.63,4.22,3.71,1.73,3.0,0.0,2.89,0.0,1.79,3.02,1.43,0.0,-2.14,2.23,2.9,-0.4,2.89
 PÁ,0.0,5.96,0.38,1.05,2.24,0.0,2.21,0.0,0.0,0.0,0.0,3.26,-6.1,2.66,2.22,-1.32,2.21
 ACÉM,5.94,5.4,3.88,0.76,3.52,2.8,3.58,3.38,0.74,5.57,0.58,4.03,1.91,2.62,3.59,-1.39,3.58
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-5.56,0.98,-5.72,2.25,-0.56
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,3.27,1.2,0.0,0.66,-2.92,1.92,0.0,0.0,1.1
 COSTELA,4.77,2.2,0.38,2.01,-1.33,3.78,0.73,0.54,1.2,0.14,0.21,0.74,-0.47,3.48,-3.4,2.29,0.73
 PICANHA,0.0,-1.5,3.75,0.0,0.0,0.97,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
 PESCADOS,-0.13,-1.9,0.97,-0.22,0.91,1.73,0.06,0.83,1.69,2.37,0.15,1.02,1.17,4.98,0.0,-0.36,0.55
 PEIXE-ANCHOVA,0.0,0.0,0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22
 PEIXE-CORVINA,0.03,0.0,0.0,-1.42,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.74,0.73,0.73
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-SARDINHA,0.0,-1.9,0.0,-0.43,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43
 CAMARÃO,-0.6,-1.0,0.0,-0.58,0.0,2.07,-0.57,-0.56,2.47,-0.64,-0.28,0.15,0.0,0.0,-2.87,-0.59,-0.59
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71
 PEIXE-MERLUZA,0.0,0.0,0.78,-0.6,-1.29,0.0,0.0,0.0,0.14,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.6
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,0.91,0.0,-1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.52,-1.37,-1.1
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-CASTANHA,0.0,0.0,0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,0.0,0.0,4.98
 PEIXE-SALMÃO,-0.13,0.0,0.0,0.0,1.54,1.73,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09
 PEIXE-TILÁPIA,0.0,-2.56,1.02,1.3,2.26,1.31,0.0,0.06,1.43,2.96,2.48,2.23,2.42,0.0,0.0,-0.08,1.3
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,1.73,2.61,0.0,0.0,0.0,-2.8,0.0,-1.31,4.98,2.92,0.0,2.55
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,3.03,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.76
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.83
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15
 CARNES E PEIXES INDUSTRIALIZADOS,0.77,-1.88,-0.26,0.05,-0.65,1.66,0.76,2.2,1.64,-0.42,0.25,1.4,-3.06,0.73,-0.77,0.91,-0.09
 PRESUNTO,1.19,0.47,-0.19,0.0,-2.34,2.54,0.0,2.99,0.19,-0.52,0.99,-0.02,-0.51,0.06,0.0,-1.27,-0.52
 SALSICHA,0.0,-0.93,0.0,-2.81,-0.53,0.0,0.0,0.0,0.0,-0.36,0.0,0.0,0.0,-2.48,0.0,0.0,-0.83
 LINGUIÇA,-0.98,-2.91,-0.37,-2.75,-0.37,2.29,-0.3,3.34,2.72,-0.21,0.02,1.7,-3.9,1.89,-0.29,2.05,-0.3
 MORTADELA,2.18,0.0,-1.89,1.84,0.25,0.0,0.0,-0.52,0.0,-1.43,0.53,0.0,-2.29,0.0,0.0,0.0,0.03
 SALAME,0.0,-3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.58
 BACALHAU,-0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.77,0.0,-0.57
 CARNE-SECA E DE SOL,4.36,0.0,0.0,1.05,0.0,-0.66,1.33,0.0,1.34,0.0,0.0,-0.51,0.0,0.0,-1.57,0.66,1.33
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,2.71,0.0,0.0,0.0,0.0,2.0
 AVES E OVOS,0.38,2.41,1.67,0.78,0.87,0.66,0.8,0.66,0.57,2.42,-0.1,1.51,1.77,0.03,-0.84,3.22,1.02
 FRANGO INTEIRO,-0.26,0.39,-0.19,0.61,-2.76,-0.18,-0.2,1.43,0.11,1.34,0.86,1.4,-1.82,-2.36,-2.2,4.0,-0.2
 FRANGO EM PEDAÇOS,-1.27,3.32,1.12,0.31,1.05,0.58,1.58,-0.11,0.43,2.4,-1.66,-1.48,0.54,-3.14,-0.35,0.69,0.77
 OVO DE GALINHA,6.79,0.89,5.65,1.91,3.1,2.11,3.55,-0.81,1.94,4.11,3.56,9.39,7.02,10.23,6.04,7.08,3.55
 LEITES E DERIVADOS,-1.33,-1.11,-0.03,1.1,-1.56,2.22,2.56,-0.63,0.62,-0.37,-1.42,-1.72,-0.21,-2.11,1.56,-0.29,-0.63
 LEITE LONGA VIDA,-3.66,-0.69,-0.21,-4.25,-3.96,0.62,1.49,-3.7,-3.78,-0.01,1.03,0.13,-1.47,-1.35,-0.58,-5.78,-2.27
 LEITE CONDENSADO,-0.25,-1.96,0.0,0.0,0.0,0.0,5.92,0.0,0.0,0.0,0.0,0.0,0.0,-5.24,0.0,0.0,0.28
 LEITE EM PÓ,-4.08,0.0,-1.48,0.86,-1.45,0.0,2.98,1.12,1.88,-0.12,-0.66,-3.2,0.54,-2.43,3.53,2.96,0.43
 QUEIJO,0.74,-1.55,-0.21,3.39,0.77,3.41,4.35,1.19,2.99,-2.06,-4.89,-5.38,2.49,-2.4,-7.48,0.19,0.29
 IOGURTE E BEBIDAS LÁCTEAS,0.43,-1.17,1.73,0.85,2.58,2.34,-3.2,2.6,3.37,1.72,-1.07,-0.8,-0.21,-0.03,3.53,0.43,1.17
 REQUEIJÃO,-0.36,0.0,0.78,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
 MANTEIGA,1.9,0.0,0.12,-0.91,0.0,3.69,4.11,0.79,1.6,0.0,-0.95,0.75,0.0,-2.67,0.0,2.8,1.17
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,1.52
 PANIFICADOS,0.73,1.63,0.57,0.38,1.59,1.75,1.33,2.11,2.99,1.29,1.55,1.26,1.32,1.09,3.24,0.46,1.42
 BISCOITO,-0.58,1.39,0.66,0.49,0.39,-0.06,3.03,1.67,1.85,1.45,4.42,2.55,-0.62,2.87,6.48,-2.42,1.02
 PÃO FRANCÊS,0.75,1.58,0.19,0.14,1.99,2.01,0.44,2.37,3.93,-0.12,-0.68,0.84,2.5,0.78,1.74,1.95,1.36
 PÃO DOCE,1.92,2.09,2.94,0.0,1.6,0.0,0.0,0.0,3.83,2.76,0.0,-1.76,0.43,0.0,0.0,0.0,2.05
 PÃO DE FORMA,1.24,2.99,-0.39,0.0,1.99,3.51,0.0,0.0,0.0,2.55,0.0,4.01,0.0,0.0,0.0,0.0,2.01
 BOLO,4.96,0.31,1.04,1.76,2.47,0.84,2.05,1.54,-1.77,3.22,4.2,-1.88,0.58,-0.98,4.03,-1.0,2.05
 PÃO DE QUEIJO,0.0,0.0,1.27,0.0,0.0,6.1,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,0.0,2.57
 ÓLEOS E GORDURAS,-1.83,0.2,-2.76,-4.34,-1.86,-2.71,1.66,-0.77,-1.39,-0.39,-2.12,-0.57,-2.15,-3.0,0.24,-0.83,-1.49
 ÓLEO DE SOJA,-0.76,-0.15,-3.52,-7.97,-3.1,-4.02,-0.62,-1.23,-0.91,-0.97,-2.6,-0.19,-2.07,-3.86,-0.42,-3.85,-2.3
 AZEITE DE OLIVA,-5.87,0.0,0.0,0.0,-1.13,0.4,3.81,0.0,-1.47,0.26,0.0,-1.89,-2.64,2.92,0.0,0.0,-1.43
 MARGARINA,0.21,1.41,1.05,2.68,1.12,0.0,6.74,0.09,-2.59,1.12,0.71,0.0,-1.98,0.0,2.52,5.13,1.16
 BEBIDAS E INFUSÕES,-0.54,0.86,-1.51,-0.39,-0.15,0.09,-0.23,0.59,0.15,0.06,0.03,0.55,-0.17,-0.53,1.75,-0.36,-0.12
 SUCO DE FRUTAS,0.65,0.0,0.75,-1.47,0.26,0.35,0.0,0.04,0.0,0.55,1.94,0.92,-0.25,0.0,0.0,0.0,0.39
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.13,0.0,0.0,0.0,0.0,-0.3,-0.07,0.0,0.05
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-1.09,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,-1.1,0.0,-1.1
 CAFÉ MOÍDO,0.75,1.07,-0.63,0.03,0.54,3.09,2.67,1.87,-0.2,-0.27,1.09,3.94,0.76,-0.49,5.24,2.02,0.7
 CAFÉ SOLÚVEL,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25
 REFRIGERANTE E ÁGUA MINERAL,-2.68,1.3,-2.92,-0.6,-0.75,-1.33,1.14,0.23,0.62,-0.91,0.26,-1.06,-0.1,-0.44,0.61,-0.73,-0.68
 CERVEJA,0.52,0.23,-1.59,0.26,-0.33,-0.7,-0.27,-0.82,-0.01,0.78,-0.97,-0.69,-0.98,0.0,-0.08,-1.32,-0.27
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,0.0,0.0,-0.87,0.0,0.0,0.0,0.0,0.0,0.0,-0.39
 VINHO,-1.17,1.69,0.0,0.0,0.59,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.5
 SUCO EM PÓ,0.0,-0.87,-0.97,0.0,0.58,0.0,0.0,0.0,0.0,1.36,0.0,0.0,-0.07,1.03,0.0,0.0,0.22
 CHÁ MATE (ERVA MATE),0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.01,0.0,0.0,0.0,0.69
 ENLATADOS E CONSERVAS,-0.61,0.87,2.12,1.37,-0.36,0.34,2.3,0.12,-0.88,1.2,0.96,1.96,1.65,2.04,5.43,-0.01,0.57
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,-0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.53
 PALMITO EM CONSERVA,0.0,0.0,1.9,0.0,0.14,1.4,0.0,0.0,0.0,2.41,0.87,0.0,0.0,0.0,0.0,0.0,0.63
 PEPINO EM CONSERVA,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
 SARDINHA EM CONSERVA,-0.98,1.2,1.33,1.55,-2.14,-1.65,5.51,-1.07,-2.26,0.99,0.0,7.06,4.52,2.58,6.07,-0.15,0.4
 SALSICHA EM CONSERVA,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33
