"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
" FARINHAS, FÉCULAS E MASSAS",0.57,-0.21,0.82,1.68,1.56,-0.18,0.31,0.89,0.72,2.4,-0.68,1.22,0.95,0.86,-1.04,0.37,0.92
 FARINHA DE ARROZ,       -,       -,       -,3.49,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.49
 MACARRÃO,2.56,2.94,-0.47,3.46,1.1,2.16,-0.3,1.7,1.03,2.47,3.27,1.14,-0.7,0.78,0.93,-2.33,1.51
 FUBÁ DE MILHO,       -,       -,       -,1.69,       -,       -,       -,3.65,       -,       -,       -,       -,       -,       -,1.01,2.32,2.22
 FLOCOS DE MILHO,       -,       -,       -,-1.97,       -,-1.15,       -,       -,       -,       -,       -,       -,       -,       -,-2.13,-1.2,-1.74
 FARINHA DE TRIGO,       -,-0.42,1.72,       -,2.04,       -,       -,       -,-0.52,4.46,-0.61,-0.13,4.43,       -,       -,       -,1.53
 FARINHA DE MANDIOCA,1.33,       -,3.22,1.44,2.07,-1.79,0.58,-1.35,0.55,       -,-0.42,4.25,       -,0.66,-1.77,1.57,0.58
 MASSA SEMIPREPARADA,-2.17,-2.31,1.08,       -,3.02,0.67,-0.75,1.16,1.86,2.08,-4.26,0.96,-0.27,       -,       -,       -,0.65
 MACARRÃO INSTANTÂNEO,1.52,       -,       -,       -,-2.42,0.23,       -,       -,       -,-1.12,       -,1.52,2.14,1.8,       -,       -,-0.86
" TUBÉRCULOS, RAÍZES E LEGUMES",14.6,6.69,17.08,1.97,16.07,19.41,16.22,6.95,9.83,12.25,21.59,33.27,15.58,4.13,13.77,9.05,14.05
 BATATA-DOCE,9.91,       -,       -,-10.82,-2.52,       -,       -,       -,-6.7,       -,6.59,       -,       -,14.75,       -,       -,-1.35
 BATATA-INGLESA,16.2,6.09,9.61,10.77,25.53,28.07,18.71,7.91,17.69,9.48,23.84,20.63,19.97,5.25,20,13.16,16.01
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.07,       -,       -,       -,-4.17,-1.03
 MANDIOCA (AIPIM),       -,       -,9.21,-4.88,       -,4.92,       -,       -,8.82,       -,       -,       -,4.91,8.42,       -,       -,4.91
 ABOBRINHA,       -,       -,       -,       -,-32.94,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-32.94
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-22.08,       -,       -,       -,       -,       -,       -,-22.08
 PIMENTÃO,       -,       -,       -,       -,8.13,0.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.36
 TOMATE,26.43,12.88,36.14,7.95,26.8,30.48,20.69,19.45,21.91,30.11,33.45,47.95,23.72,2.45,21.94,15.32,26.01
 CEBOLA,-4.12,-2.53,-7.55,-3.52,7.13,3.61,3.59,-9.87,-9.64,4.65,-1.32,2.22,-9.45,-0.18,-2.35,1.02,-1.31
 CENOURA,1.36,8.15,2.52,2.64,19.3,5.58,11.28,1.18,10.47,0.6,-0.83,14.59,       -,       -,       -,10.53,7.51
 AÇÚCARES E DERIVADOS,2.45,1,1.91,4.7,1.98,2.45,2.83,3.3,4.33,2.35,2.32,3.66,3.53,8.36,1.38,0.14,2.34
 AÇÚCAR REFINADO,6.67,4.13,       -,1.25,6.61,9.26,4.72,6.64,8.93,6.54,       -,       -,       -,17.8,4.51,       -,6.37
 AÇÚCAR CRISTAL,       -,4.49,2.02,5.44,       -,0.02,5.4,0.68,6.42,10.14,4.75,5.99,6.54,9.77,-1.52,0.19,4.23
 BALAS,       -,2.04,       -,       -,       -,1.68,       -,       -,       -,-0.72,0.82,       -,-1.36,       -,       -,       -,0.7
 CHOCOLATE EM BARRA E BOMBOM,0.09,0,3.28,12.43,0.31,5.1,0.35,5.86,2.91,2,2.94,1.82,1.54,0.75,0.23,-3.07,1.2
 SORVETE,-0.28,0.56,4.19,3.86,0.7,0.54,0.02,4.18,0.24,-1.16,0.33,0.36,4.03,       -,       -,0.08,0.91
 CHOCOLATE E ACHOCOLATADO EM PÓ,-1.55,-2.52,-2.44,-0.6,1.64,1.07,-3.23,2.37,-0.63,-1.11,-1.35,1.37,-1.67,-0.66,1.42,0.55,-0.25
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,0.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.18
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.94,2.94
 HORTALIÇAS E VERDURAS,5.93,0.36,3.06,-1.36,-7.18,0.65,-1.49,1.87,-0.15,-4.6,-3.87,-0.85,-3.72,2.05,4.09,6.11,-2.76
 ALFACE,1.24,3.87,2.61,-3.51,-11.1,-1.96,-5.43,0.28,-1.09,-3.81,-4.56,0.12,-0.65,-1.23,0.53,1.69,-5.44
 COENTRO,       -,       -,       -,-3.02,       -,       -,       -,       -,0.78,       -,       -,       -,       -,       -,       -,11.94,0.47
 COUVE,4.94,       -,1.25,       -,-3.51,       -,       -,       -,       -,       -,       -,-0.47,       -,3.67,       -,-0.48,-1.04
 COUVE-FLOR,18.26,       -,       -,       -,       -,12.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,16.82
 REPOLHO,       -,-7.04,       -,       -,-6.95,       -,       -,       -,-1.41,-11.19,-2.99,       -,-16.02,       -,10.58,       -,-6.8
 CHEIRO-VERDE,6.54,4.05,6.26,10.34,-7.81,-0.82,-0.84,2.34,-0.15,-1.99,-1.34,-5.04,-0.83,4.04,2.67,       -,-0.84
 BRÓCOLIS,7.09,-4.16,4.55,       -,8.52,3.99,0.75,       -,       -,-1.97,       -,4.09,       -,       -,       -,       -,3.99
 FRUTAS,3.72,-1.84,1.38,0.96,0.69,1.43,5.41,-0.17,1.35,1.5,-1.25,-1.06,0.96,1.83,2.69,1,1.03
 BANANA-DA-TERRA,       -,       -,       -,-0.99,       -,       -,       -,       -,3.15,       -,       -,-13.63,       -,7.08,       -,       -,0.01
 ABACAXI,-5.78,-9.2,       -,-1.85,       -,       -,2.97,       -,       -,       -,-4.25,-1.32,8.06,       -,       -,3.36,-3.57
 ABACATE,       -,       -,       -,       -,       -,       -,5.41,       -,       -,       -,       -,       -,       -,7.03,       -,       -,5.7
 BANANA-D'ÁGUA,6.43,-9.06,-3.74,       -,3.45,0.41,       -,       -,       -,-2.6,       -,       -,-1.32,       -,0.4,       -,0.4
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.6,       -,2.05,       -,       -,       -,-3.51
 BANANA-PRATA,4.02,-0.95,-2.68,-1.72,1.27,1.53,4.61,-7,1.65,-1.22,-9.81,-4.61,       -,8.2,-2.55,0.84,-0.27
 LARANJA-BAÍA,       -,1.44,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.44
 LARANJA-LIMA,       -,       -,16.51,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,16.51
 LIMÃO,7.99,       -,       -,       -,-19.94,-2.68,       -,       -,       -,       -,-5.7,3.28,       -,-6.85,       -,       -,-14.0
 MAÇÃ,1.01,-1.05,3.38,3.55,-6.82,4.8,5.13,1.86,-0.66,-1.22,-4.08,2.78,3.25,0.28,4.37,-2.02,-1.13
 MAMÃO,6.81,7.75,-0.69,5.04,-1.4,-0.7,       -,-1.48,1.67,6.88,7.15,6.18,5.08,-2.96,       -,6.14,1.9
 MANGA,0.6,-2.61,-7.48,       -,1.35,-7.39,       -,0.78,3.84,-1.6,       -,3.1,       -,       -,       -,0.02,-0.28
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,18.96,4.88,       -,       -,       -,       -,       -,       -,6.25,9.29
 MELANCIA,       -,       -,-6.69,-6.17,       -,1.69,7.45,       -,-0.4,8.42,11.96,       -,-10.48,-13.09,12.06,       -,1.69
 MELÃO,6.36,       -,       -,0.3,       -,10.63,12.1,       -,       -,7.53,       -,       -,       -,       -,22.38,       -,8.63
 PERA,       -,       -,       -,       -,-3.72,       -,       -,       -,       -,       -,5.27,6.21,       -,       -,       -,       -,-2.63
 TANGERINA,       -,       -,       -,       -,18.55,       -,       -,       -,       -,1.5,       -,       -,       -,       -,       -,       -,14.7
 UVA,0.66,-1.09,3.88,1.06,-3.24,-1.07,-1.11,-3.73,0.47,-0.5,-1.08,-0.78,-2.83,0.56,-1.1,-0.83,-1.1
 LARANJA-PERA,7.33,       -,8.92,9.84,9.94,1.87,7.21,4.58,-1.32,4.81,0.12,3.88,7.44,1.28,0.53,0.65,7.21
 MORANGO,       -,-5.37,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.37
 GOIABA,       -,       -,       -,       -,       -,       -,5.41,6.81,       -,       -,       -,       -,       -,       -,       -,-3.26,4.59
 CARNES,-0.15,-1.15,0.76,-0.05,-1.44,0.78,0.9,-0.15,0.5,1.03,2.43,1.49,-0.83,0.83,1.65,-0.76,-0.04
 FÍGADO,       -,       -,       -,2.36,       -,       -,2.95,-1.88,-0.74,       -,       -,       -,       -,       -,3.11,       -,0.84
 CARNE DE PORCO,-2.38,1.81,2.65,-1.51,-2.63,-1.13,1.5,-4.34,2.46,5.5,3.74,0.63,-0.9,3.72,1.94,1.17,0.54
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,2.55,       -,       -,       -,       -,       -,       -,       -,       -,2.55
 CUPIM,       -,       -,       -,3.1,       -,       -,       -,       -,       -,       -,1.95,       -,       -,       -,       -,       -,2.5
 CONTRAFILÉ,0.6,-3.35,2.32,3.05,0.59,-0.11,3.84,-0.2,-1.16,-5.11,2.98,4.05,-0.91,-0.31,2.5,0.05,0.58
 FILÉ-MIGNON,1.8,       -,       -,       -,       -,       -,0.02,       -,       -,7.96,       -,       -,       -,2.27,       -,       -,3.6
 CHÃ DE DENTRO,1.06,-0.39,1.51,-2.25,-0.75,1.03,4.02,-0.77,2.66,-4.24,0.33,2.9,-1.3,1.87,3.01,-1.65,-0.08
 ALCATRA,4.85,0.42,0.34,-0.18,1.22,0.77,2.52,2.19,-0.12,7.32,3.27,3.78,-0.14,-0.02,4.83,-1.17,2.34
 PATINHO,3.1,       -,0.26,1.47,-0.89,       -,1.69,0.87,       -,3.79,1.35,2.61,0.78,-0.79,0.12,0.7,0.51
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,0.9,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.9
 LAGARTO COMUM,       -,-1.08,       -,       -,-0.35,       -,       -,       -,2.94,       -,2.61,       -,-0.63,1.37,       -,       -,0.42
 MÚSCULO,-3.58,2.43,-2.13,-1.38,-2.4,       -,-0.11,       -,-1.91,4.21,3.56,       -,0.2,0.26,-0.31,1.92,-0.31
 PÁ,       -,-4.77,-2.38,1.26,-3.05,       -,-3.29,       -,       -,       -,       -,0.97,-0.25,1.95,-2.99,-3.31,-2.72
 ACÉM,-7.09,-2.97,-3,1.32,-4.14,0.84,1.21,-0.73,0.68,-4.19,-1.08,-2.52,-0.34,1.87,-0.5,-0.82,-2.89
 PEITO,       -,       -,       -,       -,       -,       -,0.9,       -,       -,       -,       -,       -,3.5,2.73,1.22,-0.08,1.22
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,0.29,       -,2.44,15.19,       -,4.67,0.95,0.83,       -,       -,4.7
 COSTELA,-5.62,-2.84,0.71,-1.1,-2.66,-1.7,-3.52,-2.08,-0.62,-1.24,0.26,-2.29,-2.59,0.33,0.13,-1.48,-2.01
 PICANHA,       -,3.88,5.76,       -,       -,6,       -,8.56,       -,       -,       -,       -,       -,       -,       -,       -,5.78
 PESCADOS,-0.05,-0.94,-0.36,-0.42,-0.9,-0.92,0.09,-3.23,1.83,2.61,-0.17,-0.55,-0.81,0.58,4.35,-0.13,0.25
 PEIXE-ANCHOVA,       -,       -,       -,-1.73,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.73
 PEIXE-CORVINA,-0.05,       -,       -,2.33,       -,       -,       -,       -,1.92,       -,       -,       -,       -,       -,0.05,1.68,1.06
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.47,       -,-1.47
 PEIXE-SARDINHA,       -,-0.94,       -,-0.42,       -,       -,       -,       -,0.63,       -,       -,       -,       -,       -,       -,       -,-0.16
 CAMARÃO,-0.62,-0.62,       -,-0.83,       -,-1.8,-0.6,-3.09,1.2,0.07,-1.16,-1.16,       -,       -,-0.59,-0.61,-0.61
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-3.23,       -,       -,       -,       -,       -,       -,       -,       -,-3.23
 PEIXE-CAÇÃO,       -,       -,       -,       -,-0.9,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.9
 PEIXE-MERLUZA,       -,       -,-0.72,-1.27,-1.82,       -,       -,       -,2.21,       -,-0.63,       -,       -,       -,       -,       -,-1.06
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,-3.23,       -,       -,       -,       -,       -,       -,       -,       -,-3.23
 PEIXE-PESCADA,       -,       -,       -,       -,-0.9,       -,0.48,       -,       -,       -,       -,       -,       -,       -,0,-0.01,-0.01
 CARANGUEJO,0,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-CASTANHA,       -,       -,       -,-0.42,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.42
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,3.61,       -,       -,       -,       -,       -,       -,       -,       -,3.61
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.61,       -,       -,1.61
 PEIXE-SALMÃO,0.56,       -,       -,       -,-0.06,-0.92,       -,0.57,3.72,       -,       -,       -,       -,       -,       -,       -,0.56
 PEIXE-TILÁPIA,       -,-1.15,-0.26,-1.5,-0.75,-0.65,       -,-4.58,1.02,3.07,1.36,0,-0.63,       -,       -,-0.82,-0.82
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.92,0.09,       -,       -,       -,-0.17,       -,-0.7,0.3,11.27,       -,5.06
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,0.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.09
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-0.92,0.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.09
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.55,       -,       -,       -,       -,-0.55
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.43,       -,       -,       -,-1.43
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.17,       -,       -,       -,       -,       -,-0.17
 CARNES E PEIXES INDUSTRIALIZADOS,-1.14,-1.05,-0.66,-0.74,0.27,-0.11,1.11,1.37,2.12,1.28,1.79,1.27,2.52,-0.08,0.97,1.63,0.31
 PRESUNTO,-2.77,-2.27,-2.11,       -,-2.06,1.01,       -,-0.19,-1.78,-1,-2.41,0.03,2.65,-1.78,       -,1.38,-1.79
 SALSICHA,       -,-0.84,       -,-0.66,-0.8,       -,       -,       -,       -,-0.24,       -,       -,       -,2.73,       -,       -,-0.66
 LINGUIÇA,-0.71,0.19,0.28,0.97,0.92,0.13,-2.42,1.64,2.59,2.93,2.87,2.17,2.64,-0.62,1.01,0.97,1.01
 MORTADELA,-0.81,       -,-1.7,1.21,1.06,       -,       -,0.94,       -,-1.99,0.35,       -,1.73,       -,       -,       -,0.04
 SALAME,       -,-2.79,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.79
 BACALHAU,0.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.97,       -,0.56
 CARNE-SECA E DE SOL,-1.51,       -,       -,-1.55,       -,-1.96,2.88,2.16,2.39,       -,       -,-2.85,       -,       -,0.91,2.01,0.91
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-2.81,       -,       -,       -,       -,       -,       -,       -,1.79,0.01,       -,       -,       -,       -,-1.45
 AVES E OVOS,4.38,1.55,3.07,2.28,4.02,1.91,2.82,3.7,3.42,1.26,3.14,1.88,2.41,1.92,4.23,3.14,3.19
 FRANGO INTEIRO,1.09,5.46,0.3,1.27,2.42,2.8,3.4,3.63,2.22,2,4.28,3.4,5.87,2,5.13,3.25,2.8
 FRANGO EM PEDAÇOS,5.79,1.37,4.57,3.23,5.8,1.42,2.59,4.05,5.04,1.47,3.68,3.03,3.58,2.76,3.04,4.37,4.34
 OVO DE GALINHA,0.58,-0.21,2.64,3.19,-0.63,1.31,0.88,3.5,2.23,-0.73,-1.29,-4.16,-2.87,1.07,0.38,0.13,0.62
 LEITES E DERIVADOS,1.05,-1.04,-0.85,1.41,0.98,1.98,-0.82,0.51,1.11,1.31,-0.11,0.58,1.08,1.19,1.18,0.61,0.58
 LEITE LONGA VIDA,-1.5,-1.64,-3.65,0.99,-2.22,0.18,-0.07,0.1,1.14,-1.54,-2.48,0.19,0.91,1.2,0.38,0.44,-1.71
 LEITE CONDENSADO,4.03,1.77,       -,       -,       -,       -,-1.51,       -,       -,       -,       -,       -,       -,1.61,       -,       -,1.96
 LEITE EM PÓ,-1.66,       -,0.16,0.69,0.38,       -,-1.21,1.37,-0.96,-0.14,1.59,1.85,1.48,0.94,1.28,0.07,-0.01
 QUEIJO,3.38,-0.6,1.35,2.01,4.28,4.45,-0.12,-0.87,3.06,6.79,3.22,-0.08,0.54,1.54,2.89,1.75,3.06
 IOGURTE E BEBIDAS LÁCTEAS,0.65,-0.66,4.38,3.22,5.35,3.75,0.88,3.28,1.86,1.66,0.54,1.88,2.63,0.85,0.91,0.3,2.77
 REQUEIJÃO,3.91,       -,4.04,       -,5.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.9
 MANTEIGA,2.74,       -,-1.98,-0.97,       -,-2.96,-2.44,-0.41,1.84,       -,-1.86,2.05,       -,1.53,       -,-0.44,-0.19
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.3,       -,       -,       -,       -,       -,       -,-3.3
 PANIFICADOS,1.71,-0.05,1.18,0.78,0.97,1.53,0.73,-0.44,-1.3,0.17,-1.2,1.41,0.92,2.33,0.36,-0.4,0.59
 BISCOITO,0.13,0.93,0.48,1.2,0.45,-0.43,-3.54,1.54,-0.59,1.05,-2.2,2.09,3.27,0.47,-0.06,0.02,0.25
 PÃO FRANCÊS,3.07,0.69,2.08,0.46,0.34,3.84,2.75,-1.19,-1.49,0.97,-0.89,0.31,0.06,2.98,0.24,-0.66,0.78
 PÃO DOCE,0.41,-2.34,-2.15,       -,-0.63,       -,       -,       -,-3.99,-0.17,       -,2.48,-0.95,       -,       -,       -,-0.95
 PÃO DE FORMA,0.42,-4.83,-0.49,       -,3.68,-3.33,       -,       -,       -,-0.17,       -,0.98,       -,       -,       -,       -,0.73
 BOLO,2.55,0.79,3.32,1.34,3.97,2.52,1.67,-1.93,-0.77,-4.03,-2.49,7.45,0.73,1.95,1.94,0.03,1.67
 PÃO DE QUEIJO,       -,       -,-1.41,       -,       -,-0.38,       -,       -,       -,       -,0.65,       -,       -,       -,       -,       -,-0.67
 ÓLEOS E GORDURAS,1.94,1.93,2.13,2.54,2.35,2.75,-1.29,2.3,2.08,1.42,2.03,-0.31,-0.77,4.22,0.58,0.96,1.81
 ÓLEO DE SOJA,2.39,1.86,2.62,2.24,2.99,3.05,-2.16,2.2,1.53,1.63,2.31,-0.97,-2.34,4.72,0.03,0.45,1.97
 AZEITE DE OLIVA,1.15,       -,       -,       -,0.96,2.04,-1.58,       -,2.85,0.15,       -,1.89,2.17,0.95,       -,       -,0.95
 MARGARINA,1.81,2.12,-0.01,3.03,1.87,       -,1.86,2.47,2.92,1.78,0.47,       -,1.88,       -,2.3,1.82,1.86
 BEBIDAS E INFUSÕES,0.6,-0.02,0.31,1.88,2.06,3.11,-4.44,2.02,2.84,2.42,3.7,2.67,2.4,4.07,1.73,2.29,1.19
 SUCO DE FRUTAS,0.55,-2.11,0.17,-0.99,-1.78,2.62,       -,1.55,       -,-0.2,1.1,-1.58,0.84,       -,       -,       -,-0.52
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,1.65,3.02,1.22,       -,       -,       -,       -,1.66,0.79,       -,1.65
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-8.77,       -,       -,       -,       -,       -,       -,0.36,-8.64,       -,-8.64
 CAFÉ MOÍDO,2.09,2.05,0.04,2.88,6.18,5.14,3.15,3.19,3.4,11.75,4.3,4.88,4.46,10.44,4.89,3.17,4.57
 CAFÉ SOLÚVEL,       -,2.33,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.33
 REFRIGERANTE E ÁGUA MINERAL,0.41,-0.47,-1.02,1.16,1.07,2.67,-0.69,1.18,2.62,-1.07,3.81,0.29,0.58,1.33,1.18,1.14,0.62
 CERVEJA,0.59,-0.56,1.92,4.06,2.16,2.1,0.33,1.44,2.84,1.44,3.74,3.3,3.19,       -,5.37,3.23,1.77
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,-4.44,       -,       -,1.35,       -,       -,       -,       -,       -,       -,-2.93
 VINHO,-2.19,0.36,       -,       -,0.02,       -,       -,       -,       -,-0.66,       -,       -,       -,       -,       -,       -,-0.5
 SUCO EM PÓ,       -,-1.92,-0.74,       -,-0.12,       -,       -,       -,       -,-0.06,       -,       -,1.91,2.14,       -,       -,-0.42
 CHÁ MATE (ERVA MATE),       -,1.33,       -,       -,       -,       -,       -,       -,       -,-0.44,       -,       -,-0.07,       -,       -,       -,0.8
 ENLATADOS E CONSERVAS,1.07,0.2,1.19,0.49,-0.11,0.35,0.86,3.23,2.04,-0.04,1.15,1.32,2.69,0.78,3.01,1.58,0.57
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,-0.44,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.44
 PALMITO EM CONSERVA,       -,       -,0.02,       -,-0.37,1.69,       -,       -,       -,0.7,-0.23,       -,       -,       -,       -,       -,-0.14
 PEPINO EM CONSERVA,       -,0.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.5
 SARDINHA EM CONSERVA,1.12,-0.2,1.11,0.04,-0.17,0.03,-1.23,3.12,1.91,-0.46,       -,0.4,2.7,1.04,3.18,1.83,0.53
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,1.66,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.66
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.65,       -,       -,-0.28,       -,       -,       -,0.51
 AZEITONA,0.08,-2.28,1.4,1.35,0.56,0.66,       -,1.38,2.39,-0.08,1.71,1.35,3.45,-0.5,       -,       -,0.62
 MILHO-VERDE EM CONSERVA,2.17,1.27,1.57,0.44,1.23,       -,3.61,5.34,2.96,-0.05,2.08,2.47,3.13,1.8,1.68,0.94,1.68
 ATUM EM CONSERVA,1.48,0.79,       -,2.4,-1.27,-0.18,       -,       -,0.77,-0.31,       -,       -,       -,       -,       -,       -,-0.26
 SAL E CONDIMENTOS,1.07,0.35,0.37,0.62,0.49,2.2,0.36,0.9,2.54,0.29,0.01,3.91,2.94,-0.7,1.34,0.36,0.79
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,1.18,       -,       -,       -,       -,       -,       -,       -,1.18
 ATOMATADO,-0.43,-0.54,0.34,-1.77,0.52,0.32,-1.25,3.15,1.45,0.99,1.29,1.47,2.25,1,-0.72,0.05,0.36
 ALHO,1.74,       -,1.12,5.35,-0.71,4.69,-0.95,0.99,5.18,-0.94,0.54,6.22,4.71,-1.9,4.37,1.04,1.22
 SAL,-0.17,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.38,2.63,-1.16,-0.11,0.09
 COLORAU,       -,       -,       -,       -,       -,       -,       -,-0.12,       -,       -,       -,       -,       -,       -,       -,       -,-0.12
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,3.08,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.08
 FERMENTO,       -,-1.71,       -,       -,       -,       -,       -,       -,       -,4.18,       -,       -,       -,       -,       -,       -,1.44
 MAIONESE,2.58,0.82,-0.94,-0.41,3.44,3.69,2.58,1.48,       -,1.61,       -,2.01,-0.85,0.87,       -,       -,1.93
 VINAGRE,       -,-1.05,       -,-1.2,2.72,0.82,4.45,       -,-1.24,       -,       -,       -,       -,       -,-1.61,-1.42,1.2
 CALDO CONCENTRADO,       -,3.7,       -,-0.96,       -,       -,       -,-0.39,2.2,       -,0.8,-0.6,       -,       -,       -,       -,1.75
 TEMPERO MISTO,       -,1.27,0.09,0.43,-0.52,-0.09,-0.44,0.22,0.12,-3.22,-4.11,1.21,2.22,-1.02,-1.06,2.16,-0.6
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.58,0.34,1.36,1.17,1.28,0.75,-0.17,0.34,-0.53,-0.63,2.43,1.19,1.6,0.67,-0.09,-0.15,0.78
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.58,0.34,1.36,1.17,1.28,0.75,-0.17,0.34,-0.53,-0.63,2.43,1.19,1.6,0.67,-0.09,-0.15,0.78
