"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 FILÉ-MIGNON,8.2,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,6.84,0.0,0.0,0.0,0.08,0.0,0.0,6.74
 CHÃ DE DENTRO,5.13,0.32,3.47,1.55,1.51,1.45,-2.4,3.15,3.81,-0.8,4.81,3.7,-0.8,0.38,-3.22,2.37,1.5
 ALCATRA,-1.1,3.34,4.07,5.11,1.02,-2.99,-2.45,0.77,2.71,-0.03,3.55,2.34,0.79,-1.45,-0.5,3.89,0.79
 PATINHO,-6.18,0.0,2.64,-0.68,0.44,0.0,-4.09,1.62,0.0,-5.31,4.49,1.05,-0.18,1.16,-3.34,4.59,-0.54
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17
 LAGARTO COMUM,0.0,-1.98,0.0,0.0,3.17,0.0,0.0,0.0,0.58,0.0,3.29,0.0,-0.28,3.92,0.0,0.0,1.84
 MÚSCULO,2.93,-3.21,3.27,-1.79,3.89,0.0,-1.09,0.0,0.61,4.42,2.1,0.0,-0.82,0.6,1.49,4.66,1.49
 PÁ,0.0,2.77,4.16,1.85,-1.48,0.0,-2.91,0.0,0.0,0.0,0.0,1.13,-1.68,0.27,-2.12,-1.72,0.18
 ACÉM,8.21,-1.69,4.7,4.02,2.86,5.97,-2.22,7.39,1.06,0.12,2.97,1.0,-4.14,3.02,-2.39,-0.09,2.55
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-1.74,0.0,0.0,0.0,0.0,0.0,1.35,0.54,-5.85,4.93,-1.18
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,1.65,0.21,0.0,0.85,-0.09,-0.07,0.0,0.0,0.58
 COSTELA,1.63,4.43,2.06,4.16,0.2,1.75,-1.6,0.69,1.11,-2.67,2.66,1.17,-0.65,-1.04,-5.04,1.08,0.85
 PICANHA,0.0,6.21,6.74,0.0,0.0,6.29,0.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26
 PESCADOS,-1.16,0.99,-0.34,0.89,-0.9,-0.5,1.12,-2.32,1.14,-0.81,0.16,0.9,-0.84,-1.81,0.15,0.23,-0.09
 PEIXE-ANCHOVA,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89
 PEIXE-CORVINA,-1.58,0.0,0.0,1.21,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.44,-1.55,0.43
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21
 PEIXE-SARDINHA,0.0,0.99,0.0,0.89,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03
 CAMARÃO,-0.89,-0.19,0.0,3.17,0.0,-0.13,1.85,0.05,1.29,1.79,1.04,0.38,0.0,0.0,1.05,0.74,1.04
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04
 PEIXE-MERLUZA,0.0,0.0,3.8,-2.92,1.73,0.0,0.0,0.0,-0.98,0.0,-2.16,0.0,0.0,0.0,0.0,0.0,0.84
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,-0.9,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,3.0,-0.06
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33
 PEIXE-CASTANHA,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.56,0.0,0.0,-1.56
 PEIXE-SALMÃO,-1.17,0.0,0.0,0.0,-1.23,-0.5,0.0,-1.16,-1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.16
 PEIXE-TILÁPIA,0.0,1.77,-1.53,1.27,-3.84,-0.61,0.0,-3.99,-2.24,-1.25,2.77,1.36,-0.74,0.0,0.0,-1.39,-1.99
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,-0.5,1.12,0.0,0.0,0.0,0.16,0.0,-1.46,-1.87,-0.07,0.0,0.02
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,-0.5,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,0.0,0.0,0.0,-0.36
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.16
 CARNES E PEIXES INDUSTRIALIZADOS,0.14,-0.5,-0.94,-0.4,-0.26,0.79,-2.3,0.05,0.59,-0.16,0.7,0.45,2.0,1.02,0.67,1.53,-0.18
 PRESUNTO,2.19,-1.65,-0.73,0.0,1.38,-0.22,0.0,1.12,1.84,-2.11,-0.15,-0.96,2.57,0.78,0.0,-0.12,0.39
 SALSICHA,0.0,-1.03,0.0,-0.62,0.87,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,-0.23,0.0,0.0,0.3
 LINGUIÇA,-0.03,0.01,-1.74,-1.83,-0.72,1.67,-2.65,0.36,-1.11,0.24,0.36,0.88,1.74,1.45,-0.48,2.84,-0.48
 MORTADELA,-2.48,0.0,2.96,0.19,-1.08,0.0,0.0,-2.12,0.0,-0.44,2.84,0.0,2.51,0.0,0.0,0.0,-0.44
 SALAME,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
 BACALHAU,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.13
 CARNE-SECA E DE SOL,-1.01,0.0,0.0,0.03,0.0,-0.2,-2.14,-0.15,1.22,0.0,0.0,-0.58,0.0,0.0,2.6,1.11,0.03
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,-0.51,0.0,0.0,0.0,0.0,-0.06
 AVES E OVOS,0.64,1.76,-0.75,-1.93,-0.25,0.32,0.8,0.01,-0.76,-0.23,0.7,0.59,-0.33,0.27,4.25,1.41,0.14
 FRANGO INTEIRO,-1.77,1.49,0.28,-2.78,-2.76,1.48,2.03,0.33,-2.21,2.31,1.11,1.01,0.75,0.02,5.14,2.93,0.23
 FRANGO EM PEDAÇOS,1.01,1.56,-1.66,-1.65,-1.35,-1.31,-0.51,-1.28,0.63,-1.18,0.37,-0.19,-0.32,0.23,2.14,0.64,-0.44
 OVO DE GALINHA,0.35,2.61,0.5,-0.24,6.1,1.3,-2.45,0.62,-0.91,-0.29,1.15,2.39,-1.26,1.11,1.14,-0.18,1.74
 LEITES E DERIVADOS,-1.34,-0.01,-0.98,0.17,-2.46,-2.44,-1.27,-0.28,0.25,-3.43,1.43,-1.69,-0.78,-0.21,2.74,-0.06,-1.36
 LEITE LONGA VIDA,-5.19,0.03,-1.74,-3.36,-3.68,-4.33,-3.0,-1.78,-0.84,-6.48,1.61,-3.52,-1.23,0.93,1.13,-1.69,-2.89
 LEITE CONDENSADO,2.6,1.69,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,2.01
 LEITE EM PÓ,0.53,0.0,-2.16,-0.44,1.01,0.0,-2.39,-0.07,-1.42,-0.56,0.04,-0.15,-3.1,-1.43,3.33,0.28,-0.36
 QUEIJO,0.48,-0.8,0.8,1.4,-3.06,-1.12,0.22,1.72,2.48,-2.68,2.27,-1.34,2.57,1.31,2.03,1.36,-0.92
 IOGURTE E BEBIDAS LÁCTEAS,0.94,1.31,-2.41,0.76,0.7,-3.15,2.25,0.28,1.81,0.89,1.14,3.09,-3.9,0.72,3.64,-2.13,0.4
 REQUEIJÃO,-0.92,0.0,-0.68,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47
 MANTEIGA,-0.27,0.0,-0.05,0.5,0.0,0.49,-2.57,0.92,1.12,0.0,-0.55,1.04,0.0,-1.62,0.0,0.96,0.05
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8
 PANIFICADOS,1.49,-1.04,1.0,-0.13,0.75,0.02,-0.39,0.42,2.2,0.54,0.75,0.74,0.76,2.56,0.75,-0.65,0.67
 BISCOITO,1.74,-2.13,2.3,0.24,-0.43,-0.28,1.81,1.55,0.43,1.92,-2.61,0.1,1.21,1.2,2.69,-0.27,0.49
 PÃO FRANCÊS,1.5,-1.08,0.65,-0.19,1.38,-0.42,-1.73,-0.37,3.4,-1.37,0.97,1.36,0.25,3.15,0.43,-1.07,0.66
 PÃO DOCE,2.38,2.94,-0.78,0.0,0.04,0.0,0.0,0.0,1.12,0.98,0.0,-2.31,-0.62,0.0,0.0,0.0,0.65
 PÃO DE FORMA,1.0,-0.95,0.08,0.0,1.82,1.2,0.0,0.0,0.0,2.46,0.0,0.64,0.0,0.0,0.0,0.0,1.2
 BOLO,0.08,-0.01,1.03,-1.27,0.29,-2.6,2.48,2.35,0.83,0.65,3.85,2.33,3.19,1.09,-1.82,1.66,0.56
 PÃO DE QUEIJO,0.0,0.0,0.11,0.0,0.0,5.7,0.0,0.0,0.0,0.0,5.18,0.0,0.0,0.0,0.0,0.0,2.4
 ÓLEOS E GORDURAS,2.23,2.26,1.65,1.43,3.0,2.69,2.1,0.43,2.59,1.78,0.93,1.49,2.38,3.13,2.63,1.64,2.23
 ÓLEO DE SOJA,2.52,2.59,1.27,2.14,4.09,2.6,3.01,1.18,2.94,1.29,1.05,1.72,3.45,3.35,2.61,1.94,2.6
 AZEITE DE OLIVA,0.77,0.0,0.0,0.0,1.53,2.9,-0.99,0.0,1.2,3.17,0.0,0.7,-0.17,1.58,0.0,0.0,1.32
 MARGARINA,3.09,1.25,3.38,0.33,1.22,0.0,2.42,-0.82,2.63,2.23,0.26,0.0,1.11,0.0,2.7,1.13,1.69
 BEBIDAS E INFUSÕES,2.16,1.31,2.54,2.96,3.27,3.35,3.34,1.43,3.95,2.4,1.22,3.49,3.32,1.87,6.41,2.89,2.74
 SUCO DE FRUTAS,2.97,1.01,0.38,0.1,0.77,1.38,0.0,0.6,0.0,0.29,2.98,1.57,2.01,0.0,0.0,0.0,1.25
 POLPA DE FRUTA (CONGELADA),0.0,0.0,0.0,0.0,0.0,0.0,1.79,2.5,1.32,0.0,0.0,0.0,0.0,3.46,1.8,0.0,1.79
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.44,5.16,0.0,5.16
 CAFÉ MOÍDO,8.88,5.33,9.87,7.84,9.77,9.22,5.52,3.18,8.41,7.04,1.43,5.48,10.81,3.94,12.63,10.16,8.24
 CAFÉ SOLÚVEL,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26
 REFRIGERANTE E ÁGUA MINERAL,-0.62,1.26,0.18,1.61,2.25,0.42,-0.55,0.08,1.39,1.87,1.78,4.92,1.99,-0.08,0.87,0.51,1.32
 CERVEJA,-1.98,0.27,-0.76,2.26,0.23,1.85,-0.46,0.67,0.83,1.17,0.36,0.76,-1.07,0.0,0.81,0.16,0.14
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,0.0,0.0,0.0,3.34,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,2.71
 VINHO,1.11,1.09,0.0,0.0,1.02,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
 SUCO EM PÓ,0.0,-2.39,-0.85,0.0,1.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,-1.44,0.48,0.0,0.0,0.13
 CHÁ MATE (ERVA MATE),0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,0.0,0.0,0.07,0.0,0.0,0.0,1.37
 ENLATADOS E CONSERVAS,1.42,0.98,0.57,3.15,1.16,0.86,-0.67,0.56,0.81,2.04,1.63,3.06,0.58,2.34,-3.95,-0.35,1.14
 ALIMENTO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12
 PALMITO EM CONSERVA,0.0,0.0,0.36,0.0,-0.05,3.67,0.0,0.0,0.0,2.67,1.49,0.0,0.0,0.0,0.0,0.0,0.54
 PEPINO EM CONSERVA,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67
 SARDINHA EM CONSERVA,1.86,0.21,1.86,4.78,2.0,-0.75,0.35,-0.9,1.11,5.57,0.0,2.43,-1.08,1.23,-4.58,-0.99,1.58
 SALSICHA EM CONSERVA,0.0,0.0,0.0,0.0,0.0,0.0,-1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.45
 SOPA DESIDRATADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.68,0.0,0.0,0.0,0.42
 AZEITONA,-0.05,0.78,1.09,0.25,1.16,3.62,0.0,1.25,0.57,-0.17,1.45,5.6,-2.53,3.04,0.0,0.0,1.01
