"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 TOMATE,-11.88,2.6,-16,-4.2,-9.13,-3.57,-8.55,-15.87,6.06,-22.25,-2.95,-12.99,-2.83,-14.06,-8.92,-10.41,-8.55
 CEBOLA,18.01,8.63,3.62,27.47,17.32,20.11,15.59,18.63,22.22,17.11,17.81,19.17,2.55,11.92,11.84,14.06,15.59
 CENOURA,7.84,1.28,4.71,-6.85,1.09,7.84,2.7,13.98,5.79,-5.77,3.23,14.67,       -,       -,       -,-5.7,2.7
 AÇÚCARES E DERIVADOS,1.09,0.85,1.55,-1.84,0.25,-0.54,-1,0.41,0.39,-1.01,-0.17,0.38,1.26,-0.1,-0.26,0.12,0.24
 AÇÚCAR REFINADO,1.87,2.98,       -,-2.84,2.49,2.26,-1.19,-0.54,-0.33,2.93,       -,       -,       -,0.68,-1.36,       -,1.65
 AÇÚCAR CRISTAL,       -,3.53,5.38,-3.22,       -,-3.03,-1.55,1.75,0.83,-1.99,0.07,0.85,2.05,-0.82,1.32,0.67,1.14
 BALAS,       -,-0.4,       -,       -,       -,2.05,       -,       -,       -,-1.08,-1.4,       -,-1.45,       -,       -,       -,-0.49
 CHOCOLATE EM BARRA E BOMBOM,-0.29,-0.42,-0.62,-0.3,-0.64,0.45,-2.2,0.17,-1.27,-2.19,-0.4,1.54,0.3,1.03,0.15,-0.59,-0.73
 SORVETE,0.6,0.32,-0.54,0.44,0.62,-0.8,0.34,-1.03,0.34,-0.63,-0.5,-4.58,2.6,       -,       -,0.33,0.2
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.42,2.07,-1.45,-0.48,-0.59,-2.05,0.53,-0.78,1.26,-0.9,0.33,0.89,-0.43,0.24,-1.93,0.1,-0.12
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,0.79,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.79
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.63,-1.63
 HORTALIÇAS E VERDURAS,4.56,6.4,6.68,-4.76,7.15,1.39,4.77,-3.1,2.91,3.78,2.14,1.58,1.34,-1.4,-5.25,-4.15,4.77
 ALFACE,4.16,12.81,8.82,-2.03,7.23,-1.57,5.89,-4.19,3.37,-0.64,1.93,2.86,5.9,-5.71,0.28,-7.53,5.89
 COENTRO,       -,       -,       -,-6.91,       -,       -,       -,       -,2.54,       -,       -,       -,       -,       -,       -,-1.46,-1.51
 COUVE,-0.75,       -,6.11,       -,8.31,       -,       -,       -,       -,       -,       -,1.4,       -,4.39,       -,-4.24,5.85
 COUVE-FLOR,4.77,       -,       -,       -,       -,-5.76,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.55
 REPOLHO,       -,0.67,       -,       -,0.6,       -,       -,       -,4.99,7.21,1.32,       -,-17.4,       -,-17.04,       -,0.63
 CHEIRO-VERDE,2.85,-2.88,0.36,-2.53,12.66,6.65,4.25,-2.78,2.21,6.64,3.9,0.31,4.26,0.53,-3.12,       -,4.26
 BRÓCOLIS,11.11,3.06,4.92,       -,5.26,7.57,5.83,       -,       -,7.81,       -,0.19,       -,       -,       -,       -,5.83
 FRUTAS,2.61,0.04,-6.93,1.65,2.59,1.68,-1.02,2.19,1.29,-1.2,-0.71,-3.01,-7.78,-0.93,1.76,-1.72,0.19
 BANANA-DA-TERRA,       -,       -,       -,1.65,       -,       -,       -,       -,-8.9,       -,       -,-18.81,       -,2.2,       -,       -,-7.46
 ABACAXI,4.14,3.7,       -,7.86,       -,       -,3.16,       -,       -,       -,-0.62,-1.19,-3.96,       -,       -,5.05,3.16
 ABACATE,       -,       -,       -,       -,       -,       -,-16.56,       -,       -,       -,       -,       -,       -,-16.56,       -,       -,-16.56
 BANANA-D'ÁGUA,3.58,-7.98,2.73,       -,-1.77,1.1,       -,       -,       -,-9.05,       -,       -,-2.85,       -,26.92,       -,-2.87
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-9.4,       -,0.14,       -,       -,       -,-7.03
 BANANA-PRATA,1.48,5.43,-7.11,13.8,4.88,1.47,1.21,0.63,4.35,-1.18,-4.04,-0.42,       -,5.9,-0.23,0.53,1.2
 LARANJA-BAÍA,       -,3.4,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.4
 LARANJA-LIMA,       -,       -,3.19,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.19
 LIMÃO,6.36,       -,       -,       -,6.34,21.29,       -,       -,       -,       -,19.39,2.13,       -,-23.38,       -,       -,7.72
 MAÇÃ,0.03,-4.87,-24.15,-8.78,0.06,-11.92,-5.64,-2.11,4.37,0.56,-4.42,-11.68,-15.3,-6.39,-3.8,-0.38,-5.64
 MAMÃO,0.7,-1.87,0.67,-7.42,3.85,7.31,       -,4.12,-4.68,-5.48,-5.19,-7.21,-13.36,19.48,       -,-19.34,0.21
 MANGA,14.86,4.25,14.03,       -,19.39,16.54,       -,32.1,13.1,17.35,       -,12.95,       -,       -,       -,1.89,16.54
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,3.49,-2.31,       -,       -,       -,       -,       -,       -,-2.3,-0.66
 MELANCIA,       -,       -,1.88,-0.04,       -,2.66,2.32,       -,-1.87,6.21,12.01,       -,-9.64,-0.64,2.33,       -,2.32
 MELÃO,10.8,       -,       -,-4.21,       -,1.47,0.54,       -,       -,-5.11,       -,       -,       -,       -,0.55,       -,0.54
 PERA,       -,       -,       -,       -,0.35,       -,       -,       -,       -,       -,-1.62,6.54,       -,       -,       -,       -,0.37
 TANGERINA,       -,       -,       -,       -,2.59,       -,       -,       -,       -,-1.2,       -,       -,       -,       -,       -,       -,1.65
 UVA,3.26,1.01,3.12,1.6,1.34,2.18,2.15,1.45,1.7,6.47,2.17,6.55,-6.1,2.83,2.16,0.9,2.15
 LARANJA-PERA,-3.75,       -,0.29,3.81,-0.61,1.6,0.02,7.53,9.09,-1.44,4.02,0.71,-12.92,-0.41,-1.1,2.86,0.02
 MORANGO,       -,9.89,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.89
 GOIABA,       -,       -,       -,       -,       -,       -,-4.1,-1.35,       -,       -,       -,       -,       -,       -,       -,-11.1,-4.1
 CARNES,2.99,2.47,-0.89,0.93,3.98,0.81,1.99,2,0.42,0.33,-0.6,-1.21,0.25,3.43,0.57,1.49,1.72
 FÍGADO,       -,       -,       -,-1.43,       -,       -,-0.97,0.73,-0.95,       -,       -,       -,       -,       -,-2.08,       -,-0.97
 CARNE DE PORCO,-0.47,0.49,-4.19,-4.63,-1.97,-2.06,-2.05,0.4,0.15,-2.54,-2.08,-2.44,-4.04,0.35,-1.74,0.71,-2.05
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,2,       -,       -,       -,       -,       -,       -,       -,       -,2.0
 CUPIM,       -,       -,       -,1.42,       -,       -,       -,       -,       -,       -,2.11,       -,       -,       -,       -,       -,1.76
 CONTRAFILÉ,3.38,4.67,0.49,-0.23,4,2.09,2.06,4.38,0.5,2.16,-1.05,-3.97,0.53,4.34,1.73,1.22,2.06
 FILÉ-MIGNON,3.6,       -,       -,       -,       -,       -,0.19,       -,       -,-4.16,       -,       -,       -,4.16,       -,       -,0.19
 CHÃ DE DENTRO,3.73,5.1,-0.29,2.73,5.78,1.05,2.92,2.22,0.84,0.18,-1,1,1.88,7.08,-0.51,2.48,2.92
 ALCATRA,5.02,4.18,0.09,0.7,6.74,2.72,3.05,1.27,0.2,1.31,-3.21,2.15,3.09,2.33,-0.36,0.34,3.05
 PATINHO,2.89,       -,2.14,-1.55,4.84,       -,2.52,1.83,       -,-2.69,-0.32,-1.17,-0.06,2.89,0.78,2.55,2.52
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,1.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.99
 LAGARTO COMUM,       -,3.55,       -,       -,5.42,       -,       -,       -,1.91,       -,0.32,       -,0.5,2.95,       -,       -,3.6
 MÚSCULO,2.85,1.25,-0.65,2.23,4.77,       -,2.21,       -,0.44,2.03,2.85,       -,1.74,5.42,2.22,0.82,2.21
 PÁ,       -,2.12,-0.27,-1.4,5.57,       -,2.66,       -,       -,       -,       -,-2.09,-0.47,3.11,2.67,1.82,2.66
 ACÉM,2.21,1.12,0.73,1.45,4.07,0.09,2.22,1.93,-0.07,1.11,1.79,-0.06,-0.15,1.11,2.25,4.06,2.22
 PEITO,       -,       -,       -,       -,       -,       -,1.99,       -,       -,       -,       -,       -,0.13,1.79,-2,1.06,1.1
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-0.78,       -,0.04,-0.77,       -,-5.04,0.11,3.43,       -,       -,-0.7
 COSTELA,1.27,2.89,0.44,2.48,4.54,2.66,2.26,3.88,0.36,3.16,0.91,0.5,-0.34,2.83,1.13,0.27,2.26
 PICANHA,       -,-2.23,-0.63,       -,       -,0.27,       -,-0.28,       -,       -,       -,       -,       -,       -,       -,       -,-0.9
 PESCADOS,0.25,1.72,-0.55,-0.88,1.32,1.39,0,1,-1.69,-1.15,-0.24,0.93,0.43,6.65,0.11,-0.13,0.29
 PEIXE-ANCHOVA,       -,       -,       -,-0.88,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.88
 PEIXE-CORVINA,0.97,       -,       -,-2.89,       -,       -,       -,       -,-3.08,       -,       -,       -,       -,       -,-1.28,-1.29,-1.29
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.11,       -,0.11
 PEIXE-SARDINHA,       -,1.72,       -,-0.88,       -,       -,       -,       -,1.22,       -,       -,       -,       -,       -,       -,       -,0.93
 CAMARÃO,-1.3,2.24,       -,-0.53,       -,-0.52,0,1.04,-2.74,0.27,-3.18,3.6,       -,       -,-1.58,-0.54,-0.54
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-1,       -,       -,       -,       -,       -,       -,       -,       -,-1.0
 PEIXE-CAÇÃO,       -,       -,       -,       -,1.23,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.23
 PEIXE-MERLUZA,       -,       -,-2.76,-1.9,1.93,       -,       -,       -,-2.58,       -,0.36,       -,       -,       -,       -,       -,0.36
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,1.42,       -,       -,       -,       -,       -,       -,       -,       -,1.42
 PEIXE-PESCADA,       -,       -,       -,       -,1.32,       -,0,       -,       -,       -,       -,       -,       -,       -,-1.45,1.41,-0.02
 CARANGUEJO,0,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-CASTANHA,       -,       -,       -,-0.88,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.88
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,2.01,       -,       -,       -,       -,       -,       -,       -,       -,2.01
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.65,       -,       -,6.65
 PEIXE-SALMÃO,0.25,       -,       -,       -,-1.45,1.39,       -,1,-0.05,       -,       -,       -,       -,       -,       -,       -,-0.51
 PEIXE-TILÁPIA,       -,1.34,0.03,1.04,2.6,2.05,       -,1.05,2.57,-1.42,-0.77,-2.54,-0.39,       -,       -,1.03,1.04
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,1.39,0,       -,       -,       -,1.96,       -,1.25,6.65,2.28,       -,1.95
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,1.39,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.25
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.7,       -,       -,       -,       -,1.7
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.66,       -,       -,       -,1.66
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.24,       -,       -,       -,       -,       -,-0.24
 CARNES E PEIXES INDUSTRIALIZADOS,1.61,2.79,1.41,-0.48,2.61,0.83,-0.31,1.02,1.96,2.66,0.97,1.34,0.88,-2.23,-2.48,1.57,1.78
 PRESUNTO,2.97,1.73,2.85,       -,4.31,-0.34,       -,-1.77,1.62,3.31,2.67,-1.1,2.16,-0.48,       -,-2.05,2.85
 SALSICHA,       -,0.88,       -,-3.97,2.04,       -,       -,       -,       -,0.45,       -,       -,       -,-0.08,       -,       -,0.88
 LINGUIÇA,3.31,3.72,1.02,-3.85,2.32,1.47,2.37,1.27,6.6,3.61,2.02,2.38,0.8,-3.22,-3.69,2.4,2.37
 MORTADELA,-0.81,       -,2.4,1.8,2.22,       -,       -,1.27,       -,-0.71,-2.47,       -,-0.4,       -,       -,       -,1.05
 SALAME,       -,3.79,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.79
 BACALHAU,-1.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.48,       -,-1.33
 CARNE-SECA E DE SOL,-0.05,       -,       -,0.79,       -,0.73,-1.7,2.26,0.01,       -,       -,0.38,       -,       -,-0.39,1.74,0.01
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,0.18,       -,       -,       -,       -,       -,       -,       -,-3.4,-3.04,       -,       -,       -,       -,-1.04
 AVES E OVOS,-0.3,-0.42,0.79,0.52,1.5,1.53,1.51,0.06,0.35,2.2,1.64,-0.29,2.78,1.25,0.72,-0.13,0.86
 FRANGO INTEIRO,0.62,-1.39,0.86,1.21,3.55,0.88,0.85,-0.79,-1.35,3.88,0.72,-1.36,0.87,0.6,0.6,1.52,0.85
 FRANGO EM PEDAÇOS,-0.7,-0.83,-0.72,-0.21,0.48,1.37,0.13,0.05,0.76,0.59,2.65,-3.15,2.42,2.04,-0.77,-1.57,0.08
 OVO DE GALINHA,0.75,1.41,4.83,0.06,2.88,2.84,5.56,2.66,3.31,6.18,-0.05,9.86,5.06,2.79,2.77,-0.34,2.89
 LEITES E DERIVADOS,-0.85,1.57,-0.1,-2.6,-1.5,0.03,1.44,-0.24,0.38,-0.97,0.47,-1.71,0.01,-0.24,-3.58,-0.79,-0.64
 LEITE LONGA VIDA,-3.73,-2.31,-0.25,-4.48,-4.38,-5.19,-1.58,-1.22,-4.58,-3.85,-2.64,-3.81,-0.3,-1.15,-4.38,-1.89,-3.3
 LEITE CONDENSADO,2.07,5.92,       -,       -,       -,       -,1.08,       -,       -,       -,       -,       -,       -,-1.05,       -,       -,3.2
 LEITE EM PÓ,2.73,       -,-0.39,0.5,0.14,       -,1.56,0.6,0.99,-0.53,1.71,-1.13,-0.45,-0.62,-4.46,-1.65,0.35
 QUEIJO,-1.48,6.78,-0.49,-5.43,2.04,4.82,-1.16,-0.76,5.08,-0.51,4.4,-0.11,-1.74,2.04,0.94,-0.78,1.28
 IOGURTE E BEBIDAS LÁCTEAS,3.84,2.01,0.09,1.37,3.11,1.92,3.66,1.82,0.68,5.04,2.84,2.38,5.99,3.49,1.87,4.34,2.66
 REQUEIJÃO,3.63,       -,1.76,       -,-2.76,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.74
 MANTEIGA,0.42,       -,1.06,1.96,       -,1.48,5.78,1.69,2.14,       -,-1.08,0.62,       -,0.46,       -,1.02,1.54
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.25,       -,       -,       -,       -,       -,       -,5.25
 PANIFICADOS,-0.3,1.27,0.7,-0.83,1.49,1.2,0.52,-0.6,0.16,-0.49,-0.9,1.09,0.79,0.62,0.48,0.77,0.55
 BISCOITO,-1.74,2.35,-0.21,0.12,0.74,1.55,0.7,0.88,-0.15,0.4,-1.2,1.89,-0.55,1.24,-1.37,0.76,0.3
 PÃO FRANCÊS,-0.17,0.71,0.78,-1.74,1.53,0.67,0.28,-0.98,0,-1.72,-0.75,1.27,0.22,0.13,0.98,0.86,0.33
 PÃO DOCE,-0.29,2.55,0.93,       -,0.34,       -,       -,       -,0.43,0.1,       -,-2.19,1,       -,       -,       -,0.46
 PÃO DE FORMA,2.75,-1.06,2.54,       -,2.85,2.79,       -,       -,       -,1.78,       -,-1.82,       -,       -,       -,       -,1.98
 BOLO,0.89,3.34,1.92,2.13,3.04,3.51,1.91,-2.86,3.78,-1.23,-0.22,2.34,7.59,3.42,2.05,0,1.91
 PÃO DE QUEIJO,       -,       -,1.14,       -,       -,-1.43,       -,       -,       -,       -,-1.42,       -,       -,       -,       -,       -,-0.04
 ÓLEOS E GORDURAS,-2.84,0.28,-0.21,1.57,-1.23,-2.11,-2.17,-2.48,-2.52,-2.26,-3.06,-3.13,-1.2,-2.23,-0.95,-2.41,-1.44
 ÓLEO DE SOJA,-6.54,-0.05,-0.87,1.59,-3.91,-3.56,-4.89,-4.51,-5.24,-3.81,-3.59,-4.05,-3.15,-2.46,-1.07,-5.25,-3.15
 AZEITE DE OLIVA,0.37,       -,       -,       -,2.21,1.51,2.85,       -,-0.39,-0.77,       -,0.23,2.01,-0.66,       -,       -,1.34
 MARGARINA,2.25,1.42,3.21,1.53,3.89,       -,1.81,1.54,3.7,2.29,0.19,       -,3.2,       -,-0.53,3.74,2.62
 BEBIDAS E INFUSÕES,-1.26,0.72,0.08,-0.32,-0.01,1.44,1.87,0.53,0.06,0.24,0.12,-0.25,0.86,-0.93,-0.06,-0.02,0.2
 SUCO DE FRUTAS,-1.44,0.81,0.32,0.07,-2.16,0.66,       -,-0.15,       -,-0.04,-0.25,-0.17,1.34,       -,       -,       -,-0.96
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,0.66,-0.57,1.37,       -,       -,       -,       -,0,0.37,       -,0.66
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,2.26,       -,       -,       -,       -,       -,       -,-9.12,2.11,       -,2.11
 CAFÉ MOÍDO,-0.98,1.2,-0.39,0.48,-1.36,0.82,1.24,1.24,-0.26,1.35,0.46,1.25,0.36,1.21,-1.33,-0.01,-0.23
 CAFÉ SOLÚVEL,       -,0.38,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.38
 REFRIGERANTE E ÁGUA MINERAL,-1.8,0.54,-0.08,-0.92,0.84,1.78,0.53,0.35,-0.82,-0.12,-0.69,0.94,2.08,0.16,0.45,0.06,0.14
 CERVEJA,-2.16,1.04,0.94,0.74,0.73,1.95,2.46,0.51,1.21,-0.57,0.63,-2.19,0.08,       -,-1.15,-0.14,0.41
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,1.87,       -,       -,-0.36,       -,       -,       -,       -,       -,       -,1.31
 VINHO,2.01,0.36,       -,       -,0.41,       -,       -,       -,       -,2.45,       -,       -,       -,       -,       -,       -,0.99
 SUCO EM PÓ,       -,-0.24,-2.53,       -,-0.59,       -,       -,       -,       -,0.33,       -,       -,0.65,-0.07,       -,       -,-0.65
 CHÁ MATE (ERVA MATE),       -,0.89,       -,       -,       -,       -,       -,       -,       -,2.32,       -,       -,1.04,       -,       -,       -,1.23
 ENLATADOS E CONSERVAS,-0.4,0.86,1.02,0.58,0.71,-0.15,3.18,1.69,0.26,-0.36,0.16,-1.6,0.39,1.71,-0.97,2.3,0.53
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,2.17,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.17
 PALMITO EM CONSERVA,       -,       -,1.98,       -,0.45,0.1,       -,       -,       -,-1.44,0.42,       -,       -,       -,       -,       -,0.36
 PEPINO EM CONSERVA,       -,-0.13,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.13
 SARDINHA EM CONSERVA,1.33,2.21,2.07,-0.42,2.9,0.73,4.01,2.66,2.19,1.52,       -,-4.21,-0.29,2.51,-1.17,3.18,1.62
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,2.48,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.48
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.61,       -,       -,1.38,       -,       -,       -,-1.21
 AZEITONA,-0.65,0.4,0,0.4,1.56,0.69,       -,1.91,-0.19,-0.81,-0.16,-1.11,0.41,-0.34,       -,       -,0.4
 MILHO-VERDE EM CONSERVA,-1.36,0.52,0.71,3.35,-0.13,       -,3.88,-0.96,-0.83,0.15,0.69,0.95,0.48,2.8,0.47,0.37,0.47
 ATUM EM CONSERVA,-1.49,0.93,       -,1.79,-1.52,-2.45,       -,       -,-1.72,-1.29,       -,       -,       -,       -,       -,       -,-1.19
 SAL E CONDIMENTOS,0.58,1.44,1.55,-0.22,1.16,-0.4,1.56,2.6,0.73,2.14,1.45,8.87,1.74,-2.58,1.34,0.32,1.34
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-0.71,       -,       -,       -,       -,       -,       -,       -,-0.71
 ATOMATADO,-2.19,2.46,0.77,-2.15,-1.38,-1.8,0.32,-0.98,-1.93,0.73,-0.12,-0.89,0.5,1.07,-1.63,-0.24,-0.57
 ALHO,2.78,       -,3.05,1.48,5.44,0.95,4.55,6.74,4.72,6.78,2.4,18.49,3.45,-4.73,2.54,1.03,4.55
 SAL,-2.05,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.29,0.15,-0.41,0.66,-1.3
 COLORAU,       -,       -,       -,       -,       -,       -,       -,-0.47,       -,       -,       -,       -,       -,       -,       -,       -,-0.47
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,1.71,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.71
 FERMENTO,       -,1.38,       -,       -,       -,       -,       -,       -,       -,1.23,       -,       -,       -,       -,       -,       -,1.3
 MAIONESE,-0.14,2.55,1.46,1.35,0.53,-1.47,1.48,0.85,       -,1.21,       -,-0.73,1.54,0.73,       -,       -,0.96
 VINAGRE,       -,0.22,       -,1.88,-2.61,-0.52,-0.02,       -,-1.41,       -,       -,       -,       -,       -,1.35,-0.61,-1.03
 CALDO CONCENTRADO,       -,-0.56,       -,-0.43,       -,       -,       -,-2.91,-2.31,       -,1.1,-3.15,       -,       -,       -,       -,-0.92
 TEMPERO MISTO,       -,-0.75,0.04,-1.35,0.84,0.29,-0.07,0.5,0,-0.51,2.02,0.5,-0.93,-2.1,3.54,1.16,0.36
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.47,0.22,0.21,0.17,-0.02,-0.22,0.48,1.3,0.59,0.65,0.65,0.4,0.79,0.42,1.01,0.08,0.27
