"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,2.22,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.22
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.69,2.69
 HORTALIÇAS E VERDURAS,2.79,0.08,-8.85,2.2,0.38,3.45,-0.22,-1.7,0.72,0.56,-0.96,0.34,6.55,2.82,7.3,2.98,0.05
 ALFACE,-0.36,-0.27,-11.01,4.23,1.17,9.74,-0.77,-1.02,4.13,-6.5,-4.07,-0.96,5.75,1.2,-4.16,8.84,-0.77
 COENTRO,       -,       -,       -,3.08,       -,       -,       -,       -,-0.32,       -,       -,       -,       -,       -,       -,0.66,0.91
 COUVE,0.66,       -,-3.38,       -,-0.2,       -,       -,       -,       -,       -,       -,1.7,       -,0.41,       -,-1.87,-0.64
 COUVE-FLOR,7.54,       -,       -,       -,       -,3.45,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.76
 REPOLHO,       -,-0.79,       -,       -,1.61,       -,       -,       -,1.6,4.96,8.01,       -,19.25,       -,8.02,       -,2.91
 CHEIRO-VERDE,1.23,6.95,-6.89,-6.25,-4.71,-2.22,-0.36,-1.91,-1.46,8.83,4.91,1.89,-0.35,4.74,11.66,       -,-0.36
 BRÓCOLIS,7.76,-1.82,-7.39,       -,1.54,-4.45,1.17,       -,       -,4.82,       -,-0.12,       -,       -,       -,       -,1.17
 FRUTAS,-6.12,-6.15,-10.96,-6.03,-10.95,-10.68,-6,-5.49,-2.75,-10.34,-7.67,-1.11,-13.79,-5.44,-1.01,-0.49,-8.39
 BANANA-DA-TERRA,       -,       -,       -,-6.03,       -,       -,       -,       -,3.1,       -,       -,49.64,       -,-11.61,       -,       -,5.3
 ABACAXI,-7.23,2.48,       -,-7.77,       -,       -,-3.84,       -,       -,       -,-6.2,2.7,-8.26,       -,       -,1.7,-3.84
 ABACATE,       -,       -,       -,       -,       -,       -,-6,       -,       -,       -,       -,       -,       -,-12.11,       -,       -,-7.01
 BANANA-D'ÁGUA,-5.34,-8.69,-8.88,       -,-8.63,-20.2,       -,       -,       -,-15.4,       -,       -,-20.15,       -,-4.66,       -,-10.58
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-13.38,       -,-4.8,       -,       -,       -,-11.12
 BANANA-PRATA,-4.41,-15.02,-18.57,-10.46,-10.16,-15.65,-9.07,-10.19,2.14,5.12,-10.5,-3.8,       -,-4.19,2.38,1.88,-9.07
 LARANJA-BAÍA,       -,-7.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.84
 LARANJA-LIMA,       -,       -,-11.92,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-11.92
 LIMÃO,-9.86,       -,       -,       -,-0.63,-18.04,       -,       -,       -,       -,5.93,-22.52,       -,8.04,       -,       -,-3.46
 MAÇÃ,-4.76,-4.84,-3.76,-0.77,-12.4,2.53,-7.6,-10.46,-14.04,-6.53,0.92,-2.17,-9.76,-7.61,-5.11,-0.5,-7.61
 MAMÃO,-10.83,-11.86,-18.49,-2.31,-15.42,-23.28,       -,0.09,-8.42,-15.33,-11.8,-15.66,-28.99,-1.34,       -,-7.01,-13.87
 MANGA,-16.45,-7.6,-22.15,       -,-21.83,-18.66,       -,-17.81,-5.81,-17.91,       -,-25.62,       -,       -,       -,-5.61,-18.66
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,21.59,-3.43,       -,       -,       -,       -,       -,       -,-3.68,3.47
 MELANCIA,       -,       -,0.02,-12.65,       -,0.56,-4.97,       -,-0.59,-4.9,-11.71,       -,-9.36,0.44,-4.96,       -,-4.97
 MELÃO,-2.55,       -,       -,4.56,       -,5.73,3.22,       -,       -,4.99,       -,       -,       -,       -,3.23,       -,3.22
 PERA,       -,       -,       -,       -,-2.98,       -,       -,       -,       -,       -,-0.16,7.85,       -,       -,       -,       -,-2.31
 TANGERINA,       -,       -,       -,       -,-11.26,       -,       -,       -,       -,-15.2,       -,       -,       -,       -,       -,       -,-12.21
 UVA,-0.62,-6.28,-9.98,-4.66,-5.61,-5.16,-5.2,-5.18,-1.58,-7.28,-5.17,-5.94,-4.8,-3.72,-5.19,-1.19,-5.2
 LARANJA-PERA,-1.78,       -,1.67,-8.18,-8.92,-4.9,-5.73,-2.42,2.4,-10.71,-12.06,-1.25,-8.72,-1.15,-1,5.41,-5.73
 MORANGO,       -,22.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,22.41
 GOIABA,       -,       -,       -,       -,       -,       -,1.68,1.62,       -,       -,       -,       -,       -,       -,       -,1.85,1.68
 CARNES,3.8,3.57,2.26,2.19,1.18,0.53,2.47,3.44,1.99,2.56,2.8,2.65,1.69,2.78,3.02,-0.02,2.24
 FÍGADO,       -,       -,       -,6.61,       -,       -,6.89,5.74,5.99,       -,       -,       -,       -,       -,11.3,       -,6.89
 CARNE DE PORCO,-2.28,1.61,1.91,0.91,0.61,-2.25,0.29,2.67,-1.13,-2.63,1.16,1.06,-4.87,-1.03,1.32,-0.77,0.29
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,3.44,       -,       -,       -,       -,       -,       -,       -,       -,3.44
 CUPIM,       -,       -,       -,3.63,       -,       -,       -,       -,       -,       -,2.74,       -,       -,       -,       -,       -,3.17
 CONTRAFILÉ,3.1,3.66,0.39,3.1,0.54,-0.36,2.13,2.46,1.03,6.13,3.91,4.9,2.93,3.54,-1.99,-0.73,2.13
 FILÉ-MIGNON,1.04,       -,       -,       -,       -,       -,2.87,       -,       -,5.11,       -,       -,       -,4.38,       -,       -,2.87
 CHÃ DE DENTRO,2.69,3.95,2.81,-0.58,-1.19,0.24,1.15,3.71,1.56,5.22,-0.03,0.89,-1.99,0.45,4.32,0.46,1.15
 ALCATRA,7.47,2.42,1.82,-0.37,1.66,-0.37,2.52,3.95,2.02,-0.77,1.38,3.72,0.23,2.25,1.37,-1.8,2.52
 PATINHO,3.24,       -,4.58,3.97,2.29,       -,2.89,3.05,       -,2.64,3.15,6.48,1.66,1.03,2.44,2.82,2.89
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,2.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.47
 LAGARTO COMUM,       -,5.23,       -,       -,-1.91,       -,       -,       -,1.99,       -,2.57,       -,-4.78,4.78,       -,       -,-0.08
 MÚSCULO,5.02,3.08,2.98,1.01,4.05,       -,3.14,       -,0.56,3.61,2.72,       -,4.21,3.17,1.63,0.58,3.1
 PÁ,       -,4.18,3.38,1.41,4.5,       -,3.95,       -,       -,       -,       -,4.3,6.01,0.97,1.19,5.02,3.95
 ACÉM,1.6,2.81,3.03,1.45,1.87,6.02,2.34,5.64,0.2,1.39,2.68,3.63,5.14,4.14,7.83,-1.86,2.35
 PEITO,       -,       -,       -,       -,       -,       -,2.47,       -,       -,       -,       -,       -,1.71,1.72,2.02,0.84,2.13
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-2.16,       -,-1.76,-3.28,       -,-2.31,-0.58,2.78,       -,       -,-2.07
 COSTELA,6.13,4.79,1.93,5.88,1.68,4.87,4.3,5.05,5.44,5.75,2.38,1.27,4.66,4.46,10.11,0.43,4.3
 PICANHA,       -,3.04,1.9,       -,       -,-0.38,       -,1.06,       -,       -,       -,       -,       -,       -,       -,       -,1.6
 PESCADOS,-5.27,2.34,2.28,-1.19,-1.1,-0.41,-1.84,-0.87,-0.28,1.06,-0.8,1.85,0.14,0.93,-1.29,-0.1,-1.11
 PEIXE-ANCHOVA,       -,       -,       -,-1.19,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.19
 PEIXE-CORVINA,-8.3,       -,       -,-4.17,       -,       -,       -,       -,-0.49,       -,       -,       -,       -,       -,-4.16,0.07,-4.17
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.29,       -,-1.29
 PEIXE-SARDINHA,       -,2.34,       -,2.19,       -,       -,       -,       -,2.06,       -,       -,       -,       -,       -,       -,       -,2.19
 CAMARÃO,-1.2,-0.95,       -,-1.01,       -,-5.88,-1,-2.11,-2.3,-2.08,1.65,1.85,       -,       -,0.55,-1.02,-1.02
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-0.62,       -,       -,       -,       -,       -,       -,       -,       -,-0.62
 PEIXE-CAÇÃO,       -,       -,       -,       -,2.11,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.11
 PEIXE-MERLUZA,       -,       -,2.1,-1.73,-2.67,       -,       -,       -,-0.63,       -,-1.44,       -,       -,       -,       -,       -,-1.72
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,-1.11,       -,       -,       -,       -,       -,       -,       -,       -,-1.11
 PEIXE-PESCADA,       -,       -,       -,       -,-1.1,       -,-1.97,       -,       -,       -,       -,       -,       -,       -,-1.59,1.39,-1.59
 CARANGUEJO,0,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 PEIXE-CASTANHA,       -,       -,       -,-1.19,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.19
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,-2.35,       -,       -,       -,       -,       -,       -,       -,       -,-2.35
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.76,       -,       -,-0.76
 PEIXE-SALMÃO,-5.27,       -,       -,       -,0.11,-0.41,       -,-1.06,1.03,       -,       -,       -,       -,       -,       -,       -,-1.06
 PEIXE-TILÁPIA,       -,4.67,2.32,0.18,-2.13,1.5,       -,-0.55,-0.48,1.66,-2.01,0.05,1.13,       -,       -,1.15,0.18
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,-0.41,-1.84,       -,       -,       -,-0.8,       -,-2.62,1.41,-1.29,       -,-1.09
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-3.21,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.21
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,-0.41,-1.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.58
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.19,       -,       -,       -,       -,3.19
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.82,       -,       -,       -,0.82
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.8,       -,       -,       -,       -,       -,-0.8
 CARNES E PEIXES INDUSTRIALIZADOS,0.73,0.6,-0.54,1.93,2.64,1.47,-1.42,1.74,1.45,1.03,-0.38,-0.09,-0.31,1.64,0.05,1.93,1.28
 PRESUNTO,2.53,2.88,-1.69,       -,1.22,1.26,       -,2.03,-0.75,-1.77,0.9,0.13,-1.53,1.85,       -,2.11,0.9
 SALSICHA,       -,-1.63,       -,2.16,-1.34,       -,       -,       -,       -,2.03,       -,       -,       -,1.36,       -,       -,-0.46
 LINGUIÇA,0.49,0.45,-0.75,2.79,3.66,2.06,-1.79,2.31,2.9,1.4,-0.65,-0.15,-0.52,1.68,-0.45,2.66,1.84
 MORTADELA,-0.35,       -,1.06,2.03,2.73,       -,       -,2.71,       -,2.08,-1.09,       -,2.37,       -,       -,       -,1.79
 SALAME,       -,-0.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.32
 BACALHAU,-3.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.05,       -,-2.89
 CARNE-SECA E DE SOL,2.86,       -,       -,1.63,       -,0.4,-1.23,-1.09,1.08,       -,       -,0.89,       -,       -,0.88,1.52,0.89
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,1.16,       -,       -,       -,       -,       -,       -,       -,0.74,-0.94,       -,       -,       -,       -,0.74
 AVES E OVOS,0.96,0.51,0.95,0.73,0.16,1.69,1.43,1.77,2.99,1.54,3.01,1.02,0.06,-0.59,0.59,1.16,1.05
 FRANGO INTEIRO,3.42,-2.73,-0.61,0.86,1.88,1.65,1.64,1.97,4.1,2.89,2.99,0.87,-0.24,-0.56,1.03,2.74,1.64
 FRANGO EM PEDAÇOS,0.47,0.87,0.69,0.85,-0.37,1.2,1.76,2,2.84,1.28,3.45,2.35,0.82,0.23,0.29,0.39,0.75
 OVO DE GALINHA,1.44,1.24,3.62,0.27,0.43,2.51,0.36,0.93,1.02,0.55,1.52,-1.99,-1.24,-1.21,-1.28,-0.5,0.92
 LEITES E DERIVADOS,2.79,-0.01,0.77,-0.9,0.67,0.75,0.31,1.66,-0.34,0.01,0.29,1.2,0.43,-0.96,1.35,0.8,0.65
 LEITE LONGA VIDA,4.18,0.02,-0.22,-2.96,-0.85,1.54,-2.1,2.21,-1.18,-1.72,0.53,2.19,-0.06,-2.73,-0.18,-0.83,-0.14
 LEITE CONDENSADO,1.08,1.58,       -,       -,       -,       -,0.4,       -,       -,       -,       -,       -,       -,-0.63,       -,       -,1.08
 LEITE EM PÓ,-0.19,       -,1.4,1.17,-0.19,       -,1.51,1.55,0.51,1.26,-0.62,1.3,0.49,-0.86,2.22,0.78,0.81
 QUEIJO,2.89,0.06,3.41,-1.97,2.03,0.74,-1.03,1.29,-0.72,2.01,2.47,1.36,2.04,-0.52,-0.59,1.55,1.49
 IOGURTE E BEBIDAS LÁCTEAS,2.38,-1.04,-1.07,0.47,4.09,-2.27,-0.64,0.52,-0.5,-1.07,-2.3,0.06,-0.6,2.97,0.84,1.95,0.87
 REQUEIJÃO,1.55,       -,-0.46,       -,1.88,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.38
 MANTEIGA,3.51,       -,1.21,-0.51,       -,1.18,0.93,1.18,0.41,       -,-4.5,-3.62,       -,1.3,       -,1.84,0.34
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.67,       -,       -,       -,       -,       -,       -,1.67
 PANIFICADOS,0.3,0.86,1.12,-0.69,-1.01,-0.94,1.18,0.54,1.7,-0.28,-0.65,1.19,-1.85,0.56,-0.96,-0.31,0.02
 BISCOITO,-1.27,-0.31,1.11,0.4,-1.73,-1.05,2.44,2.76,2.05,-0.22,0.43,0.89,-2.79,0.71,-3.18,1.46,-0.12
 PÃO FRANCÊS,0.43,0.98,1.29,-1.57,-2.2,-1.95,0.53,-0.16,1.72,-1.42,-0.21,1.8,-0.97,0.78,-0.33,-1.24,-0.39
 PÃO DOCE,-0.47,1.91,0.85,       -,2.31,       -,       -,       -,-0.58,-0.77,       -,-0.52,0.27,       -,       -,       -,1.07
 PÃO DE FORMA,3.97,2.31,3.52,       -,0.43,1.27,       -,       -,       -,1.1,       -,-0.9,       -,       -,       -,       -,1.61
 BOLO,1.86,1.54,0.34,1.41,2.91,0.3,1.35,-2.17,1.62,2.36,-4.15,1.65,-5.33,-1.84,0.91,0.8,1.35
 PÃO DE QUEIJO,       -,       -,-0.22,       -,       -,1.43,       -,       -,       -,       -,-2.17,       -,       -,       -,       -,       -,-0.58
 ÓLEOS E GORDURAS,2,1.26,1.7,0.52,1.11,2.75,0.82,2.27,1.45,1.85,1.61,0.56,2.17,2.12,2.25,0.1,1.45
 ÓLEO DE SOJA,1.39,1.4,2.01,-0.25,2.32,4.52,2.43,2.16,1.84,2.99,2.42,-0.08,2.41,2.4,2.31,-0.55,2.03
 AZEITE DE OLIVA,2.57,       -,       -,       -,-1.64,-1.28,-1.7,       -,2.11,-2.21,       -,2.9,2.22,0.35,       -,       -,-0.44
 MARGARINA,2.68,0.79,0.21,1.89,0.49,       -,-1.53,2.46,-0.06,1.33,-2.98,       -,1.32,       -,2.06,1.35,0.85
 BEBIDAS E INFUSÕES,1.16,0.11,0.62,0.49,1.39,1.13,1.43,0.86,1.61,-0.12,-0.33,0.74,0.26,1.15,1.9,0.2,0.87
 SUCO DE FRUTAS,3.08,-0.19,0.03,1.53,0.48,1.5,       -,0.48,       -,-0.81,-2.63,1.42,0.32,       -,       -,       -,0.75
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,1.47,1.38,1.51,       -,       -,       -,       -,-0.39,1.99,       -,1.47
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,1.45,       -,       -,       -,       -,       -,       -,0.77,1.44,       -,1.44
 CAFÉ MOÍDO,0.32,-0.35,3.02,1.32,1.47,2.6,1.92,0.08,2.77,1.38,1.76,2.34,0.36,3.17,3.24,0.18,1.57
 CAFÉ SOLÚVEL,       -,1.38,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.38
 REFRIGERANTE E ÁGUA MINERAL,0.89,-0.02,0.86,0.38,2.35,2.37,-0.49,1.73,0.97,0.58,-0.77,1.43,-1.47,0.58,0.79,1.01,1.14
 CERVEJA,0.86,-0.12,-0.95,-0.3,0.73,-1,3.38,-1.23,0.89,-1.1,-0.56,-1.11,1.91,       -,1.46,-0.92,0.13
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,1.43,       -,       -,0.52,       -,       -,       -,       -,       -,       -,1.21
 VINHO,1.23,1.93,       -,       -,-0.3,       -,       -,       -,       -,-1.46,       -,       -,       -,       -,       -,       -,0.43
 SUCO EM PÓ,       -,-0.97,-1.11,       -,2.06,       -,       -,       -,       -,-0.98,       -,       -,-0.4,-1.46,       -,       -,0.49
 CHÁ MATE (ERVA MATE),       -,-0.05,       -,       -,       -,       -,       -,       -,       -,-1.29,       -,       -,-0.06,       -,       -,       -,-0.34
 ENLATADOS E CONSERVAS,0.29,1.2,0.43,0.32,0.65,1.86,0.27,1.83,0.01,1.5,1.37,0.84,0.68,0.33,-1.27,2.87,0.77
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,2.49,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.49
 PALMITO EM CONSERVA,       -,       -,-1.69,       -,-1.2,0.78,       -,       -,       -,1.8,-0.42,       -,       -,       -,       -,       -,-0.79
 PEPINO EM CONSERVA,       -,-1.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.03
 SARDINHA EM CONSERVA,-0.32,3.04,2.25,-0.88,0.05,0.36,-2.31,2.28,-0.8,2.87,       -,2.13,0.32,-0.07,-1.6,3.46,0.55
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,-1.08,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.08
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.52,       -,       -,-0.21,       -,       -,       -,0.41
 AZEITONA,1.08,1.31,0.61,1.55,1.63,3.5,       -,-0.48,-0.84,-0.32,2.85,-0.42,0.38,1.19,       -,       -,1.18
 MILHO-VERDE EM CONSERVA,0.21,0.91,-0.28,3.22,2.61,       -,1.81,2.93,0.65,2.07,0.16,0.71,1.44,0.03,1.4,1.52,1.4
 ATUM EM CONSERVA,0.09,1.98,       -,0.57,1.51,2.71,       -,       -,1.43,1.87,       -,       -,       -,       -,       -,       -,1.49
 SAL E CONDIMENTOS,2.88,-0.21,0.85,1.63,2.41,2.1,0.73,3.07,1.89,2,-2.12,1.57,-1.18,0.83,1.65,1.18,1.65
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,3.31,       -,       -,       -,       -,       -,       -,       -,3.31
 ATOMATADO,1.01,-0.69,1.49,0.34,1.85,2.23,1.96,2.79,2.67,0.9,0.63,1.27,-0.67,-1.14,-1.08,0.76,1.23
 ALHO,4.77,       -,1.29,2.3,4.67,2.77,2.94,3.68,2.21,2.8,-5.15,1.94,-1.58,2.07,3.48,2.27,2.94
 SAL,1.96,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.77,3.44,1.97,0.2,2.03
 COLORAU,       -,       -,       -,       -,       -,       -,       -,3.58,       -,       -,       -,       -,       -,       -,       -,       -,3.58
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,0.73,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.73
 FERMENTO,       -,0.3,       -,       -,       -,       -,       -,       -,       -,1.54,       -,       -,       -,       -,       -,       -,0.96
 MAIONESE,-0.61,-1.44,0.48,0.04,0.32,0.45,2.96,0.78,       -,0.38,       -,0.45,-1.74,-1.11,       -,       -,0.0
 VINAGRE,       -,0.66,       -,1.07,1.85,4.33,-0.45,       -,0.7,       -,       -,       -,       -,       -,1.15,-0.81,1.29
 CALDO CONCENTRADO,       -,2.41,       -,2.66,       -,       -,       -,2.91,0.26,       -,-1.72,1.76,       -,       -,       -,       -,1.38
 TEMPERO MISTO,       -,0.08,-1.08,3.83,1.49,-0.33,-2.79,2.54,-1.69,5.81,1.29,1.32,-2.43,-1.9,0.26,2.64,1.12
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.53,0.46,1.07,0.9,1.73,0.38,0.63,0.88,-1.09,1.43,0.15,0.93,0.22,-0.14,2.54,0.17,0.98
