"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2021",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ABOBRINHA,       -,       -,       -,       -,-11.92,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-11.92
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,-21.09,       -,       -,       -,       -,       -,       -,-21.09
 PIMENTÃO,       -,       -,       -,       -,-5.42,-0.85,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.01
 TOMATE,0.45,4.78,-8.31,10.49,-1.27,-6.55,7.31,8.64,12.69,-0.59,-2.04,0.87,4.49,24.93,35.95,17.22,1.46
 CEBOLA,24.35,5.4,30.5,31.76,12.54,29.28,10.69,23.97,12.9,6.46,27.76,18.11,47.43,6.69,10.1,14.07,16.34
 CENOURA,11.8,0.5,-7.9,7.31,-6.29,-3.77,3.93,4.24,4.18,-1.65,1.4,-4.37,       -,       -,       -,13.43,0.16
 AÇÚCARES E DERIVADOS,0.85,0.64,0.76,0.85,-0.62,0.19,0.69,3.55,2.85,2.02,2.03,1.75,3.93,0.82,3.84,3.78,0.79
 AÇÚCAR REFINADO,2.09,3.24,       -,1.18,3.11,1.13,5.49,5.55,4.39,4.3,       -,       -,       -,0.19,3.34,       -,3.23
 AÇÚCAR CRISTAL,       -,4.95,0.39,1.53,       -,2.74,-1.69,5.77,3.4,1.52,3.43,2.1,7.69,0.98,5.28,4.98,2.4
 BALAS,       -,-0.07,       -,       -,       -,1.98,       -,       -,       -,1.41,1.81,       -,1.54,       -,       -,       -,0.96
 CHOCOLATE EM BARRA E BOMBOM,-0.62,-1.43,3.16,-1.33,-0.86,-0.92,1.42,-0.82,0.27,1.47,-0.25,1.23,1.11,3.02,2.27,6.8,-0.17
 SORVETE,-0.87,-0.57,0.5,1.47,-3.04,-0.19,-2.04,1.17,3.07,3.82,-0.04,0.64,0.61,       -,       -,0.38,-0.9
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.91,1.77,-0.56,-2.12,-1.59,-2.55,1.91,-2.02,1.89,-0.27,3.12,2.06,1.81,-0.69,2.68,3.18,-0.22
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,2.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.32
 AÇÚCAR DEMERARA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.57,0.57
 HORTALIÇAS E VERDURAS,2.3,1.94,14.79,7.03,-0.16,0.63,-0.79,-1.74,0.73,-6.15,1.4,1.11,-2.03,1.75,-1.29,-7.13,1.09
 ALFACE,-1.06,2.94,18.49,10.28,2.03,0.72,-3.97,-1.58,2.65,-5.44,1.83,-1.01,1.02,6.17,4.35,-2.82,2.95
 COENTRO,       -,       -,       -,5.81,       -,       -,       -,       -,0.04,       -,       -,       -,       -,       -,       -,-10.67,0.89
 COUVE,3.16,       -,10.54,       -,2.09,       -,       -,       -,       -,       -,       -,11.14,       -,-2.79,       -,-5.15,3.97
 COUVE-FLOR,6.14,       -,       -,       -,       -,-1.53,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.44
 REPOLHO,       -,-4.7,       -,       -,-14.09,       -,       -,       -,-2.72,-14.64,-1.77,       -,-16.03,       -,-4.51,       -,-10.7
 CHEIRO-VERDE,6.49,5.14,7.12,4.17,-3.45,-0.18,-0.66,-1.79,1.2,-10.83,2.77,-0.67,0.45,-0.08,-1.84,       -,-0.67
 BRÓCOLIS,1.14,2.43,11.45,       -,1.93,2.98,2.8,       -,       -,4.77,       -,0.5,       -,       -,       -,       -,2.98
 FRUTAS,-1.48,2.23,2.45,-4.12,-0.9,-3.97,-2.68,0.56,-1.16,-1.98,1.68,-1.16,6.5,2.33,0.53,0.64,-0.43
 BANANA-DA-TERRA,       -,       -,       -,-3.94,       -,       -,       -,       -,-2.68,       -,       -,-3.32,       -,3.32,       -,       -,-2.73
 ABACAXI,4.93,4.32,       -,-2.78,       -,       -,-2.67,       -,       -,       -,-1.31,-1.51,3.98,       -,       -,-0.52,1.22
 ABACATE,       -,       -,       -,       -,       -,       -,-2.68,       -,       -,       -,       -,       -,       -,18.92,       -,       -,1.27
 BANANA-D'ÁGUA,-1.43,6.97,13.46,       -,-2.97,0.09,       -,       -,       -,-3.22,       -,       -,8.74,       -,1.4,       -,0.09
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,15.59,       -,7.46,       -,       -,       -,13.22
 BANANA-PRATA,-3.06,-1.67,-0.38,-10.02,-3.9,-9.55,-6.14,-0.94,-1.79,-5.03,1.29,-7.59,       -,7.17,0.5,-0.33,-3.1
 LARANJA-BAÍA,       -,11.25,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,11.25
 LARANJA-LIMA,       -,       -,9.63,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.63
 LIMÃO,-5.81,       -,       -,       -,6.41,-6.34,       -,       -,       -,       -,1.36,-2.98,       -,-1.09,       -,       -,2.92
 MAÇÃ,-2.75,1.2,1.8,-0.32,-1.83,-0.3,3.03,-0.41,-1.86,-3.07,0.16,1.27,3.55,-0.97,0.21,6.36,-0.47
 MAMÃO,4.7,1.68,7.29,9.31,3.66,-4.05,       -,3.83,-0.83,-1.14,-3.67,8.7,4.32,-12.77,       -,-0.6,3.07
 MANGA,-0.78,0.45,3.71,       -,-2.29,-6.23,       -,0.95,-1.61,1.43,       -,-0.07,       -,       -,       -,-6.48,-1.02
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,5.46,7.81,       -,       -,       -,       -,       -,       -,3.96,6.36
 MELANCIA,       -,       -,24.81,-5.33,       -,2.48,1,       -,-1.55,-10.35,1.07,       -,12.86,-2.76,3.52,       -,2.48
 MELÃO,-10.95,       -,       -,-7.44,       -,-6.04,-7.27,       -,       -,-9.99,       -,       -,       -,       -,-0.66,       -,-7.84
 PERA,       -,       -,       -,       -,-0.72,       -,       -,       -,       -,       -,1.92,-2.04,       -,       -,       -,       -,-0.53
 TANGERINA,       -,       -,       -,       -,-0.27,       -,       -,       -,       -,6.95,       -,       -,       -,       -,       -,       -,1.17
 UVA,-2.65,-1.39,2.57,-10.33,-0.87,-1.38,-1.4,1.05,-2.39,0.78,-1.41,-0.3,-3.71,0.43,-0.49,-1.37,-1.41
 LARANJA-PERA,1.91,       -,-9.62,1.81,-1.26,-2.74,-1.63,3.4,0.99,0.83,0.15,-2.78,6.67,2.99,-0.51,6.74,-1.63
 MORANGO,       -,3.79,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.79
 GOIABA,       -,       -,       -,       -,       -,       -,-2.68,-4.31,       -,       -,       -,       -,       -,       -,       -,-0.93,-3.25
 CARNES,-1,-2.16,-1.72,-3.54,-1.29,-1.79,-1.29,-2.37,0.26,-0.77,-1.94,-0.95,-2.69,0.64,0,-1.47,-1.38
 FÍGADO,       -,       -,       -,1.11,       -,       -,2.17,0.82,-0.27,       -,       -,       -,       -,       -,1.97,       -,0.86
 CARNE DE PORCO,1.9,-3.54,-1.06,0.97,-5.97,-0.83,0.98,-5.56,-3.41,-3.71,-0.09,0.95,-2.84,-3.21,2.87,0.41,-2.72
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-1.6,       -,       -,       -,       -,       -,       -,       -,       -,-1.6
 CUPIM,       -,       -,       -,0.68,       -,       -,       -,       -,       -,       -,1.36,       -,       -,       -,       -,       -,1.03
 CONTRAFILÉ,2.62,3.53,-1.01,-3.45,2.68,1.82,-2.38,-0.01,3.26,3.74,-1.93,-0.54,-0.04,1.2,1.06,-1.94,1.07
 FILÉ-MIGNON,-0.16,       -,       -,       -,       -,       -,3.68,       -,       -,1.1,       -,       -,       -,-1.01,       -,       -,0.92
 CHÃ DE DENTRO,-1.48,-1.41,0.2,-3.38,2.79,-1.85,-1.71,-0.25,0.21,-0.33,-2.99,-1.29,-1.52,1.48,-0.56,0.12,0.12
 ALCATRA,0.59,-3.09,-0.39,0.26,1.8,-3.9,-0.32,-0.82,0.55,-1.13,-1.53,-0.31,-0.26,3,2.11,-0.62,-0.01
 PATINHO,3.52,       -,-0.85,-5.65,0.9,       -,-0.35,-2.62,       -,3.59,-3.19,-0.56,-3.08,0.78,0.2,-4.41,0.33
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-1.29,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.29
 LAGARTO COMUM,       -,0.69,       -,       -,-2.11,       -,       -,       -,0.16,       -,-2.16,       -,-0.6,-1.39,       -,       -,-1.27
 MÚSCULO,-5.9,-0.27,-3.61,-1.24,-4.16,       -,-0.49,       -,0.22,-3.13,-3.11,       -,-1.17,4.12,-2.49,-3.08,-2.49
 PÁ,       -,-4.12,-3.63,-6.41,-2.75,       -,-0.26,       -,       -,       -,       -,-3.86,-6.43,1.07,-1.3,-2.05,-3.16
 ACÉM,-7.57,-3.22,-5.13,-2.74,-6.9,-4.48,-1.57,-9.45,-1.03,-2.69,-2.85,-4.86,-4.52,-1.17,-5.41,-2.4,-5.1
 PEITO,       -,       -,       -,       -,       -,       -,-1.29,       -,       -,       -,       -,       -,-4.88,-0.47,-2,-2.49,-1.92
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,-0.04,       -,2.97,-1.63,       -,1.09,-3.55,0.64,       -,       -,-0.13
 COSTELA,-6.64,-4.09,-1.47,-7.6,-2.27,-2.62,-4.16,-3.78,0.18,-3.26,-3.49,0.3,-3.7,-0.32,-1.89,-0.66,-3.09
 PICANHA,       -,-1.39,-1.72,       -,       -,-0.74,       -,1.08,       -,       -,       -,       -,       -,       -,       -,       -,-0.8
 PESCADOS,-0.71,0.83,2.48,0.45,1.26,1.53,2,0.93,-1.11,1.87,0.29,-0.58,0.94,0.99,-0.08,0.22,0.8
 PEIXE-ANCHOVA,       -,       -,       -,3.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.02
 PEIXE-CORVINA,-1.72,       -,       -,-0.29,       -,       -,       -,       -,-2.57,       -,       -,       -,       -,       -,1.86,-0.54,-1.62
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.59,       -,2.59
 PEIXE-SARDINHA,       -,0.83,       -,0.45,       -,       -,       -,       -,-0.22,       -,       -,       -,       -,       -,       -,       -,0.3
 CAMARÃO,-0.92,1.49,       -,-0.91,       -,-0.9,-1.82,2.97,-2.24,-0.44,-0.89,-1.11,       -,       -,-0.88,-0.75,-0.91
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-1.13,       -,       -,       -,       -,       -,       -,       -,       -,-1.13
 PEIXE-CAÇÃO,       -,       -,       -,       -,-0.87,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.87
 PEIXE-MERLUZA,       -,       -,2.95,1.41,1.23,       -,       -,       -,0.86,       -,1.42,       -,       -,       -,       -,       -,1.41
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,       -,2.05,       -,       -,       -,       -,       -,       -,       -,       -,2.05
 PEIXE-PESCADA,       -,       -,       -,       -,1.26,       -,4.88,       -,       -,       -,       -,       -,       -,       -,1.17,2.98,2.99
 CARANGUEJO,0,       -,       -,       -,       -,       -,-2.65,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.43
 PEIXE-CASTANHA,       -,       -,       -,-1.23,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.23
 PEIXE-PALOMBETA,       -,       -,       -,       -,       -,       -,       -,0.45,       -,       -,       -,       -,       -,       -,       -,       -,0.45
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.26,       -,       -,-0.26
 PEIXE-SALMÃO,1.69,       -,       -,       -,1.87,1.53,       -,1.7,-0.06,       -,       -,       -,       -,       -,       -,       -,1.54
 PEIXE-TILÁPIA,       -,0.41,2.35,1.67,1.92,2.25,       -,0.71,2.75,2.27,-0.31,-0.12,1.68,       -,       -,1.5,1.67
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,1.53,2,       -,       -,       -,0.29,       -,-0.23,1.33,-1.4,       -,0.14
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,2,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.0
 PEIXE-FILHOTE,       -,       -,       -,       -,       -,1.53,2,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.92
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.58,       -,       -,       -,       -,-0.58
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.33,       -,       -,       -,0.33
 PEIXE-ARUANÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.29,       -,       -,       -,       -,       -,0.29
 CARNES E PEIXES INDUSTRIALIZADOS,0.33,1.47,0.92,-0.96,1.31,1.52,-1.38,0.17,-1.1,-0.76,-0.26,-2.6,-1.62,1.21,-1.51,0.3,0.3
 PRESUNTO,0.26,-0.13,2.28,       -,2.1,0.79,       -,-1.75,2.56,-2.12,-1.84,-1.93,-1.18,0.94,       -,-0.3,0.79
 SALSICHA,       -,1.7,       -,0.73,-0.24,       -,       -,       -,       -,-0.89,       -,       -,       -,-0.69,       -,       -,0.13
 LINGUIÇA,1.29,1.99,1.02,2.07,1.59,1.97,0.41,0.32,1.35,-0.41,0.06,-2.92,-2.17,1.85,-2.35,1.48,0.97
 MORTADELA,0.38,       -,0.19,-0.95,-0.17,       -,       -,1.82,       -,-0.5,-0.46,       -,0.5,       -,       -,       -,-0.06
 SALAME,       -,2.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.32
 BACALHAU,2.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.51,       -,2.39
 CARNE-SECA E DE SOL,-3.64,       -,       -,-2.22,       -,1.27,-2.23,-0.01,-2.64,       -,       -,-1.9,       -,       -,-0.04,-0.21,-2.23
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-1.47,       -,       -,       -,       -,       -,       -,       -,-0.26,-1.31,       -,       -,       -,       -,-1.19
 AVES E OVOS,-0.97,1.52,1.58,1.97,1.47,0.1,-1.02,0.53,1.23,2.49,0.46,1.49,1.64,2.16,0.27,0.79,0.93
 FRANGO INTEIRO,-0.43,0.11,0,2.76,-0.54,-1.04,-1.68,0.1,-0.1,3.78,-2.63,0.02,-1.76,2.8,0.04,0.01,0.0
 FRANGO EM PEDAÇOS,-0.73,3.13,2.56,3.74,2.97,2.79,1.47,1.85,2.66,2.22,2.65,2.68,3.62,4.59,3.02,3.52,2.24
 OVO DE GALINHA,-2.3,-2.67,0.91,-2.89,-2.18,-2.53,-1.28,0.26,0.74,1.56,-1.05,0.4,-0.22,-1.66,-1.1,-3.84,-1.28
 LEITES E DERIVADOS,-3.37,-3.72,-0.55,2.91,-1.7,-1.28,-1.73,0.81,2.22,-3.36,-3.74,-0.66,-0.04,-0.09,-0.22,0.77,-1.47
 LEITE LONGA VIDA,-4.22,-7.68,-3.16,2.2,-5.66,-5.69,-4.72,1.12,0.81,-8.25,-5.66,-2.07,-1.17,-0.25,-1.35,0.81,-4.83
 LEITE CONDENSADO,-4.71,1.54,       -,       -,       -,       -,-5.22,       -,       -,       -,       -,       -,       -,-0.52,       -,       -,-2.38
 LEITE EM PÓ,-2.69,       -,-0.16,1.87,0.51,       -,-0.21,0.24,1.66,0.55,1.48,0.49,1.16,0.54,-1.33,2.31,0.39
 QUEIJO,-5.19,0.85,2.26,4.36,3.49,1.14,-1.88,1.25,3.94,0.42,-5.29,0.87,1.97,-3.22,7.07,-1.01,1.39
 IOGURTE E BEBIDAS LÁCTEAS,1.29,-1.02,1.32,0.31,0.15,2.35,-1.02,0.26,2.51,-0.12,-0.84,1.49,0.01,1.65,5.24,3.29,0.45
 REQUEIJÃO,1.18,       -,3.12,       -,-2.32,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.63
 MANTEIGA,1.36,       -,0.32,1.86,       -,3.08,-2.67,1.42,3.02,       -,3.5,-0.41,       -,0.14,       -,-2.13,1.37
 LEITE FERMENTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.08,       -,       -,       -,       -,       -,       -,0.08
 PANIFICADOS,-1.76,0.91,0.95,1.41,2.34,1.38,-0.61,-1.19,-1.59,1.22,0.82,0.87,1.61,-1.05,0.66,3.04,0.77
 BISCOITO,-2.46,1.37,0.92,0.29,1.74,3.88,-0.22,0.17,3.27,0.62,3.21,2.61,0.98,-1.07,1.04,3.22,1.09
 PÃO FRANCÊS,-1.86,0.63,1.13,2.58,3.87,-0.07,-1.04,-2.3,-4.62,1.63,-0.46,-0.16,2.67,-0.93,-0.33,2.84,0.67
 PÃO DOCE,0.75,0.89,-0.64,       -,2.07,       -,       -,       -,-0.53,3.21,       -,-0.81,-2.67,       -,       -,       -,1.33
 PÃO DE FORMA,-1.44,3.42,1.59,       -,0.42,3.75,       -,       -,       -,-0.73,       -,4.52,       -,       -,       -,       -,0.69
 BOLO,-0.89,-2.73,-0.97,-2.49,-1.04,1.36,1.81,2.84,3.73,1.9,-1.12,-2.42,0.15,-2.13,4.91,4.17,-0.21
 PÃO DE QUEIJO,       -,       -,2.73,       -,       -,-1.3,       -,       -,       -,       -,2.39,       -,       -,       -,       -,       -,2.01
 ÓLEOS E GORDURAS,1.94,0.79,1.28,1.55,1.12,1.54,-0.17,2.34,2.62,0.6,0.21,1.18,0.9,2.04,0.61,1.59,1.2
 ÓLEO DE SOJA,3.27,0.16,1.54,0.7,2.12,1.3,-0.16,3.33,3.09,0.29,0.09,1.55,2.17,2.3,0.69,1.54,1.54
 AZEITE DE OLIVA,2.41,       -,       -,       -,-0.13,2.09,-2.74,       -,1.73,0.3,       -,-0.02,0.48,0.31,       -,       -,0.48
 MARGARINA,-1.18,2.74,0.08,2.9,-0.49,       -,2.5,0.74,2.07,1.83,0.93,       -,-2.78,       -,0.35,1.68,0.65
 BEBIDAS E INFUSÕES,3.39,0.99,2.4,3.13,2.33,2.1,-0.13,4.66,4.28,2.49,1.18,3.27,3.06,3.05,2.68,4.19,2.31
 SUCO DE FRUTAS,-2.5,-4.53,0.3,0.81,0.84,0.19,       -,-1.09,       -,0.24,0.21,2.1,0.62,       -,       -,       -,-0.46
 POLPA DE FRUTA (CONGELADA),       -,       -,       -,       -,       -,       -,0.73,1.15,0.53,       -,       -,       -,       -,1.98,0.37,       -,0.73
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-1.99,       -,       -,       -,       -,       -,       -,0.62,-1.95,       -,-1.94
 CAFÉ MOÍDO,10.37,6.11,4.07,5.09,8.62,4.09,4.66,10.2,7.51,5.47,0.02,3.77,7.01,6.88,4.83,8.79,6.87
 CAFÉ SOLÚVEL,       -,3.57,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.57
 REFRIGERANTE E ÁGUA MINERAL,1.67,0.76,0.19,1.73,-0.32,1.86,-1.92,2.18,1.48,3.15,0.76,3.84,1.01,1.18,1.75,2.13,0.81
 CERVEJA,3.29,2.39,3.61,6.01,1.81,1.63,4.05,1.97,4.13,1.36,2.43,2.6,2.29,       -,3.64,3.44,2.55
 OUTRAS BEBIDAS ALCOÓLICAS,       -,       -,       -,       -,       -,       -,-0.13,       -,       -,0.66,       -,       -,       -,       -,       -,       -,0.09
 VINHO,1.33,-1.14,       -,       -,-1.12,       -,       -,       -,       -,1.75,       -,       -,       -,       -,       -,       -,-0.26
 SUCO EM PÓ,       -,-1.8,0.84,       -,1.03,       -,       -,       -,       -,0.28,       -,       -,2.35,1.57,       -,       -,0.48
 CHÁ MATE (ERVA MATE),       -,-1.21,       -,       -,       -,       -,       -,       -,       -,-0.05,       -,       -,0.92,       -,       -,       -,-0.78
 ENLATADOS E CONSERVAS,-0.82,0.79,0.92,1.56,-0.12,3.97,-0.66,0.76,2.07,1.86,0.33,1.8,1.69,1.24,-3.46,0.49,0.59
 ALIMENTO INFANTIL,       -,       -,       -,       -,       -,       -,-0.66,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.66
 PALMITO EM CONSERVA,       -,       -,1.81,       -,-1.36,0.71,       -,       -,       -,-0.63,-0.86,       -,       -,       -,       -,       -,-0.9
 PEPINO EM CONSERVA,       -,0.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.78
 SARDINHA EM CONSERVA,-1.57,1.04,1.74,2.2,1.09,7.63,0.24,0.86,3.04,2.93,       -,3.02,2.27,2.4,-4.01,0.7,1.37
 SALSICHA EM CONSERVA,       -,       -,       -,       -,       -,       -,-1.91,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.91
 SOPA DESIDRATADA,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.24,       -,       -,1.39,       -,       -,       -,0.4
 AZEITONA,1.24,1.67,0.46,-1.3,0.35,-0.73,       -,0.92,0.11,0.12,1.05,-0.97,-0.09,0.36,       -,       -,0.41
 MILHO-VERDE EM CONSERVA,-0.53,-0.92,0.29,2.33,0.74,       -,-0.63,0.36,2.74,3.46,0.33,3.43,2.59,-0.03,0.93,-0.05,0.93
 ATUM EM CONSERVA,-3.18,2.08,       -,-0.15,-0.79,5.46,       -,       -,0.53,3.67,       -,       -,       -,       -,       -,       -,0.36
 SAL E CONDIMENTOS,-1.01,-0.59,0.01,2.42,1.32,-0.47,-0.56,-0.08,3.88,1.22,1.95,-1.65,0.6,1.71,-1.25,1.01,0.72
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,4.87,       -,       -,       -,       -,       -,       -,       -,4.87
 ATOMATADO,0.28,2.12,0.59,5.73,4.82,3.29,0.02,0.84,3.17,1.57,4.76,0.45,3.14,3.99,2.52,2.31,2.9
 ALHO,-2.84,       -,-1.16,0.8,0.8,-4.19,-0.27,-0.59,5.73,-1.69,-0.23,-3.78,-1.3,2.6,-4.85,-0.46,-0.53
 SAL,1.06,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.6,-1.28,0.58,2.43,0.94
 COLORAU,       -,       -,       -,       -,       -,       -,       -,0.55,       -,       -,       -,       -,       -,       -,       -,       -,0.55
 CALDO DE TUCUPI,       -,       -,       -,       -,       -,       -,0.7,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.7
 FERMENTO,       -,-2.46,       -,       -,       -,       -,       -,       -,       -,2.7,       -,       -,       -,       -,       -,       -,0.37
 MAIONESE,2.94,-2.72,1.08,2.75,-0.12,-1.07,-0.84,0.67,       -,1.87,       -,3.06,1.9,-1.7,       -,       -,0.4
 VINAGRE,       -,0.51,       -,-0.27,-1.48,2.52,-4.28,       -,1.73,       -,       -,       -,       -,       -,0.65,1.01,-0.7
 CALDO CONCENTRADO,       -,-3.37,       -,1.69,       -,       -,       -,-0.05,-1.28,       -,2.57,-0.97,       -,       -,       -,       -,-0.96
 TEMPERO MISTO,       -,-1.09,0.32,0.79,-1.73,-1.05,0.53,-0.04,3.53,3.55,2.03,0.02,0.22,0.49,2.17,0.46,-0.17
